|6.6.6
Archiving\03_Data\frac/QFM_m4.5/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           Ni             iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1972.43        2500.00        99.7186       0.263173       0.862234E-002  0.958251E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.7065       0.263219       0.862357E-002  0.216248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.6944       0.263265       0.862480E-002  0.336874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.6824       0.263311       0.862603E-002  0.457053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.6703       0.263356       0.862726E-002  0.577411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.6583       0.263402       0.862848E-002  0.697046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.6462       0.263448       0.862970E-002  0.817000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.6342       0.263493       0.863093E-002  0.936656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.6222       0.263539       0.863215E-002  0.105630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.6102       0.263584       0.863337E-002  0.117561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.5982       0.263630       0.863459E-002  0.129489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.5863       0.263675       0.863581E-002  0.141408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.5668       0.263739       0.863764E-002  0.160832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.5624       0.263766       0.863824E-002  0.165190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.5555       0.263799       0.863904E-002  0.172020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.5386       0.263856       0.864067E-002  0.188910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.5267       0.263901       0.864188E-002  0.200738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.5148       0.263947       0.864309E-002  0.212564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.5030       0.263992       0.864430E-002  0.224382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.4912       0.264037       0.864551E-002  0.236161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        98.9187       0.264142       0.837741E-002  0.235728       0.573062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.6080                 NaN            NaN  0.330136E-002  0.388700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.4240                 NaN            NaN            NaN  0.575954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3070                 NaN            NaN            NaN  0.693010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.7700                 NaN            NaN            NaN  0.229985       0.156383E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        98.9821                 NaN            NaN  0.383698E-002   1.01410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3786                 NaN            NaN            NaN  0.621418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3830                 NaN            NaN            NaN  0.616983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3860                 NaN            NaN            NaN  0.613982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3905                 NaN            NaN            NaN  0.609521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.3908                 NaN            NaN            NaN  0.609223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3967                 NaN            NaN            NaN  0.603260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3991                 NaN            NaN            NaN  0.600932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3488                 NaN            NaN            NaN  0.651209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4612                 NaN            NaN            NaN  0.538832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4009                 NaN            NaN            NaN  0.599055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4146                 NaN            NaN            NaN  0.585387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4112                 NaN            NaN            NaN  0.588772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4158                 NaN            NaN            NaN  0.584194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4180                 NaN            NaN            NaN  0.582012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4187                 NaN            NaN            NaN  0.581331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3843                 NaN            NaN            NaN  0.615714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4892                 NaN            NaN            NaN  0.510758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.3968                 NaN            NaN            NaN  0.602341       0.858820E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        98.7368                 NaN            NaN            NaN   1.25215       0.110917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5472                 NaN            NaN            NaN  0.444343       0.850090E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4197                 NaN            NaN            NaN  0.569884       0.104067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4243                 NaN            NaN            NaN  0.565407       0.103011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4247                 NaN            NaN            NaN  0.564993       0.102943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.6105                 NaN            NaN            NaN  0.382568       0.694872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.2402                 NaN            NaN            NaN  0.746201       0.135996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4261                 NaN            NaN            NaN  0.563649       0.102023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4298                 NaN            NaN            NaN  0.560075       0.101632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4296                 NaN            NaN            NaN  0.560295       0.101431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4302                 NaN            NaN            NaN  0.559677       0.101215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4307                 NaN            NaN            NaN  0.559171       0.100954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4316                 NaN            NaN            NaN  0.558317       0.100501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.6287                 NaN            NaN            NaN  0.364774       0.657527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2306                 NaN            NaN            NaN  0.755849       0.135611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4360                 NaN            NaN            NaN  0.554120       0.990723E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4318                 NaN            NaN            NaN  0.558219       0.995368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4323                 NaN            NaN            NaN  0.557759       0.992031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4325                 NaN            NaN            NaN  0.557581       0.988183E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4319                 NaN            NaN            NaN  0.558254       0.986880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4317                 NaN            NaN            NaN  0.558467       0.983585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4311                 NaN            NaN            NaN  0.559037       0.982087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4293                 NaN            NaN            NaN  0.560872       0.982733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4312                 NaN            NaN            NaN  0.559036       0.974350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.3760                 NaN            NaN            NaN  0.613392       0.106472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4935                 NaN            NaN            NaN  0.497911       0.860324E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4188                 NaN            NaN            NaN  0.571386       0.986026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4271                 NaN            NaN            NaN  0.563249       0.966607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4252                 NaN            NaN            NaN  0.565150       0.966193E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4267                 NaN            NaN            NaN  0.563689       0.959170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4243                 NaN            NaN            NaN  0.566073       0.960358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4218                 NaN            NaN            NaN  0.568562       0.961048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4233                 NaN            NaN            NaN  0.567178       0.952864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4662                 NaN            NaN            NaN  0.525060       0.878781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3725                 NaN            NaN            NaN  0.617242       0.102841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4188                 NaN            NaN            NaN  0.571710       0.945922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4159                 NaN            NaN            NaN  0.574606       0.948033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4156                 NaN            NaN            NaN  0.574969       0.942221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4127                 NaN            NaN            NaN  0.577856       0.942917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4116                 NaN            NaN            NaN  0.579008       0.940365E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4101                 NaN            NaN            NaN  0.580524       0.939482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4079                 NaN            NaN            NaN  0.582715       0.936734E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.8788                 NaN            NaN            NaN  0.119264       0.192140E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        98.9306                 NaN            NaN            NaN   1.05266       0.167917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3788                 NaN            NaN            NaN  0.611470       0.970985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4273                 NaN            NaN            NaN  0.563864       0.887961E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3941                 NaN            NaN            NaN  0.596528       0.939248E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4015                 NaN            NaN            NaN  0.589364       0.915761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3940                 NaN            NaN            NaN  0.596710       0.925773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4069                 NaN            NaN            NaN  0.584054       0.901035E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3772                 NaN            NaN            NaN  0.613395       0.941879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3893                 NaN            NaN            NaN  0.601555       0.919123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3866                 NaN            NaN            NaN  0.604228       0.918704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3859                 NaN            NaN            NaN  0.604962       0.915616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3827                 NaN            NaN            NaN  0.608159       0.915931E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3824                 NaN            NaN            NaN  0.608528       0.912125E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3323                 NaN            NaN            NaN  0.657856       0.981666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4271                 NaN            NaN            NaN  0.564574       0.836750E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3754                 NaN            NaN            NaN  0.615494       0.908932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3767                 NaN            NaN            NaN  0.614299       0.903157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.1130                 NaN            NaN            NaN  0.874264       0.127707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.6325                 NaN            NaN            NaN  0.362179       0.527312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3712                 NaN            NaN            NaN  0.619782       0.901053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3707                 NaN            NaN            NaN  0.620325       0.898418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        98.8626                 NaN            NaN            NaN   1.12161       0.157888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.9131                 NaN            NaN            NaN  0.856240E-001  0.124052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3304                 NaN            NaN            NaN  0.660108       0.944511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3683                 NaN            NaN            NaN  0.622760       0.889033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        98.9343                 NaN            NaN            NaN   1.05076       0.149422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.8297                 NaN            NaN            NaN  0.167892       0.237664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3334                 NaN            NaN            NaN  0.657275       0.929859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3658                 NaN            NaN            NaN  0.625353       0.883217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3627                 NaN            NaN            NaN  0.628431       0.886529E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3679                 NaN            NaN            NaN  0.623297       0.877801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3625                 NaN            NaN            NaN  0.628694       0.884631E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3696                 NaN            NaN            NaN  0.621658       0.870640E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3670                 NaN            NaN            NaN  0.624263       0.873354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3641                 NaN            NaN            NaN  0.627080       0.878163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3715                 NaN            NaN            NaN  0.619833       0.864624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3694                 NaN            NaN            NaN  0.621908       0.867390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.7317                 NaN            NaN            NaN   1.25030       0.179892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9966                 NaN            NaN            NaN            NaN  0.336583E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3864                 NaN            NaN            NaN  0.609118       0.452395E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3760                 NaN            NaN            NaN  0.615444       0.855689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3761                 NaN            NaN            NaN  0.615304       0.857757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3800                 NaN            NaN            NaN  0.611514       0.850082E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3804                 NaN            NaN            NaN  0.611100       0.850436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3855                 NaN            NaN            NaN  0.606096       0.842817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3856                 NaN            NaN            NaN  0.605964       0.842786E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3867                 NaN            NaN            NaN  0.604814       0.844047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.3944                 NaN            NaN            NaN  0.597285       0.833848E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3929                 NaN            NaN            NaN  0.598706       0.839700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3984                 NaN            NaN            NaN  0.593325       0.827654E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3183                 NaN            NaN            NaN  0.543721       0.660904E-002  0.131356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6688                 NaN            NaN            NaN  0.190335       0.291069E-004   1.14083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6957                 NaN            NaN            NaN  0.183226                 NaN   1.12110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7282                 NaN            NaN            NaN  0.183459                 NaN   1.08833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7455                 NaN            NaN            NaN  0.131640                 NaN   1.12289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7605                 NaN            NaN            NaN  0.218004                 NaN   1.02152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7851                 NaN            NaN            NaN  0.167882                 NaN   1.04698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.8098                 NaN            NaN            NaN  0.166216                 NaN   1.02394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8297                 NaN            NaN            NaN  0.163250                 NaN   1.00703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8477                 NaN            NaN            NaN  0.160288                 NaN  0.991971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8669                 NaN            NaN            NaN  0.156476                 NaN  0.976669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8831                 NaN            NaN            NaN  0.154825                 NaN  0.962071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8655                 NaN            NaN            NaN  0.155818                 NaN  0.978719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9603                 NaN            NaN            NaN  0.137974                 NaN  0.901751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9383                 NaN            NaN            NaN  0.146713                 NaN  0.915004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9514                 NaN            NaN            NaN  0.138970                 NaN  0.909664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9374                 NaN            NaN            NaN  0.145563                 NaN  0.917016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.4974                 NaN            NaN            NaN  0.654093E-001            NaN  0.437165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.5251                 NaN            NaN            NaN  0.219644                 NaN   1.25522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.0123                 NaN            NaN            NaN  0.100947                 NaN  0.886758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8302                 NaN            NaN            NaN  0.137568                 NaN   1.03225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.2367                 NaN            NaN            NaN  0.977107E-001            NaN  0.665551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0632                 NaN            NaN            NaN  0.122538                 NaN  0.814299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0608                 NaN            NaN            NaN  0.120113                 NaN  0.819057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0589                 NaN            NaN            NaN  0.126387                 NaN  0.814727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.1396                 NaN            NaN            NaN  0.108547                 NaN  0.751824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.1123                 NaN            NaN            NaN  0.112228                 NaN  0.775445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.1235                 NaN            NaN            NaN  0.108911                 NaN  0.767605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.1366                 NaN            NaN            NaN  0.107728                 NaN  0.755698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.1466                 NaN            NaN            NaN  0.104368                 NaN  0.749056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.1407                 NaN            NaN            NaN  0.909133E-001            NaN  0.768403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.1912                 NaN            NaN            NaN  0.115517                 NaN  0.693326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1790                 NaN            NaN            NaN  0.968242E-001            NaN  0.724138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1918                 NaN            NaN            NaN  0.945887E-001            NaN  0.713638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.2026                 NaN            NaN            NaN  0.936398E-001            NaN  0.703749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.2104                 NaN            NaN            NaN  0.895916E-001            NaN  0.700000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
