|6.6.6
Archiving\03_Data\frac/QFM_m4.5/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           Ni             iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1939.85        2500.00        99.1283       0.441835       0.236722E-001  0.406177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.1115       0.441856       0.236733E-001  0.422940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.0700       0.441908       0.236761E-001  0.464423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.0409       0.441945       0.236781E-001  0.493462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.0118       0.441982       0.236801E-001  0.522488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        98.9828       0.442019       0.236821E-001  0.551491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        98.9539       0.442055       0.236840E-001  0.580393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        98.3457       0.442053       0.229411E-001  0.579099       0.610216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.5758                 NaN            NaN  0.815512E-002  0.416000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3834                 NaN            NaN            NaN  0.616563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.2579                 NaN            NaN            NaN  0.742150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.7537                 NaN            NaN            NaN  0.246323       0.227864E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        98.9038                 NaN            NaN  0.947500E-002   1.08677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3336                 NaN            NaN            NaN  0.666395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3381                 NaN            NaN            NaN  0.661879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3410                 NaN            NaN            NaN  0.659046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3455                 NaN            NaN            NaN  0.654490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.3455                 NaN            NaN            NaN  0.654465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3515                 NaN            NaN            NaN  0.648476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3539                 NaN            NaN            NaN  0.646120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.2993                 NaN            NaN            NaN  0.700665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4200                 NaN            NaN            NaN  0.580038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.3551                 NaN            NaN            NaN  0.644935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.3694                 NaN            NaN            NaN  0.630640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.3654                 NaN            NaN            NaN  0.634631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.3700                 NaN            NaN            NaN  0.630012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.3721                 NaN            NaN            NaN  0.627926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.3724                 NaN            NaN            NaN  0.627574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3350                 NaN            NaN            NaN  0.664983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4480                 NaN            NaN            NaN  0.552000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.3475                 NaN            NaN            NaN  0.651215       0.126481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        98.6317                 NaN            NaN            NaN   1.35200       0.162840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5063                 NaN            NaN            NaN  0.481183       0.125376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.3672                 NaN            NaN            NaN  0.617461       0.153498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.3719                 NaN            NaN            NaN  0.612862       0.151985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.3720                 NaN            NaN            NaN  0.612782       0.151943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5744                 NaN            NaN            NaN  0.415355       0.102666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.1696                 NaN            NaN            NaN  0.810271       0.200870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.3725                 NaN            NaN            NaN  0.612446       0.150799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.3761                 NaN            NaN            NaN  0.608860       0.150284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.3754                 NaN            NaN            NaN  0.609574       0.150048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.3758                 NaN            NaN            NaN  0.609218       0.149797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.3760                 NaN            NaN            NaN  0.609004       0.149484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.3766                 NaN            NaN            NaN  0.608558       0.148894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5924                 NaN            NaN            NaN  0.397840       0.975434E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.1551                 NaN            NaN            NaN  0.824764       0.200958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.3802                 NaN            NaN            NaN  0.605085       0.146903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.3752                 NaN            NaN            NaN  0.610064       0.147732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.3753                 NaN            NaN            NaN  0.609931       0.147286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3752                 NaN            NaN            NaN  0.610137       0.146802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.3740                 NaN            NaN            NaN  0.611300       0.146679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.3734                 NaN            NaN            NaN  0.611944       0.146268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.3724                 NaN            NaN            NaN  0.613001       0.146095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.3700                 NaN            NaN            NaN  0.615399       0.146265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.3716                 NaN            NaN            NaN  0.613880       0.145083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.3103                 NaN            NaN            NaN  0.673884       0.158624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4396                 NaN            NaN            NaN  0.547590       0.128260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3566                 NaN            NaN            NaN  0.628697       0.147008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.3653                 NaN            NaN            NaN  0.620281       0.144207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.3626                 NaN            NaN            NaN  0.622946       0.144239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.3640                 NaN            NaN            NaN  0.621661       0.143226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3609                 NaN            NaN            NaN  0.624709       0.143470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3577                 NaN            NaN            NaN  0.627945       0.143617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3589                 NaN            NaN            NaN  0.626837       0.142485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4061                 NaN            NaN            NaN  0.580794       0.131470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3012                 NaN            NaN            NaN  0.683358       0.153941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3525                 NaN            NaN            NaN  0.633375       0.141677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3488                 NaN            NaN            NaN  0.637000       0.142060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.3478                 NaN            NaN            NaN  0.638059       0.141270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3441                 NaN            NaN            NaN  0.641783       0.141436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3424                 NaN            NaN            NaN  0.643499       0.141115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.3403                 NaN            NaN            NaN  0.645570       0.141033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3372                 NaN            NaN            NaN  0.648734       0.140716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.8642                 NaN            NaN            NaN  0.132898       0.288978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        98.8016                 NaN            NaN            NaN   1.17313       0.252289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3031                 NaN            NaN            NaN  0.682269       0.146034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3568                 NaN            NaN            NaN  0.629840       0.133643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3190                 NaN            NaN            NaN  0.666899       0.141392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3267                 NaN            NaN            NaN  0.659540       0.138015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3177                 NaN            NaN            NaN  0.668323       0.139583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3316                 NaN            NaN            NaN  0.654782       0.135922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2976                 NaN            NaN            NaN  0.688206       0.142155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3105                 NaN            NaN            NaN  0.675592       0.138799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3069                 NaN            NaN            NaN  0.679171       0.138814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3055                 NaN            NaN            NaN  0.680687       0.138403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3012                 NaN            NaN            NaN  0.684936       0.138540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3002                 NaN            NaN            NaN  0.685953       0.138043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2433                 NaN            NaN            NaN  0.741834       0.148666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3496                 NaN            NaN            NaN  0.637706       0.126819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2904                 NaN            NaN            NaN  0.695850       0.137858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2911                 NaN            NaN            NaN  0.695188       0.137019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        98.9897                 NaN            NaN            NaN  0.990905       0.193928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5811                 NaN            NaN            NaN  0.410868       0.801004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2829                 NaN            NaN            NaN  0.703405       0.136941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2816                 NaN            NaN            NaN  0.704788       0.136614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        98.7007                 NaN            NaN            NaN   1.27517       0.241070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.9005                 NaN            NaN            NaN  0.976023E-001  0.189067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2334                 NaN            NaN            NaN  0.752222       0.143918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2760                 NaN            NaN            NaN  0.710426       0.135523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        98.7772                 NaN            NaN            NaN   1.20004       0.227846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.8041                 NaN            NaN            NaN  0.192242       0.363111E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2336                 NaN            NaN            NaN  0.752152       0.142010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2700                 NaN            NaN            NaN  0.716477       0.134972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2655                 NaN            NaN            NaN  0.720957       0.135522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2710                 NaN            NaN            NaN  0.715558       0.134267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2641                 NaN            NaN            NaN  0.722361       0.135426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2713                 NaN            NaN            NaN  0.715329       0.133376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2674                 NaN            NaN            NaN  0.719187       0.133871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2636                 NaN            NaN            NaN  0.722918       0.134681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.2710                 NaN            NaN            NaN  0.715747       0.132683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2678                 NaN            NaN            NaN  0.718898       0.133222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.5234                 NaN            NaN            NaN   1.44894       0.276355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9948                 NaN            NaN            NaN            NaN  0.518384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.2865                 NaN            NaN            NaN  0.706499       0.696320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.2722                 NaN            NaN            NaN  0.714602       0.131786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.2717                 NaN            NaN            NaN  0.715102       0.132151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.2751                 NaN            NaN            NaN  0.711749       0.131110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.2750                 NaN            NaN            NaN  0.711832       0.131222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.2798                 NaN            NaN            NaN  0.707142       0.130148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.2792                 NaN            NaN            NaN  0.707781       0.130261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.2799                 NaN            NaN            NaN  0.707074       0.130498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.2879                 NaN            NaN            NaN  0.699159       0.128996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.2856                 NaN            NaN            NaN  0.701411       0.129942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.2910                 NaN            NaN            NaN  0.696176       0.128302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.2026                 NaN            NaN            NaN  0.638645       0.102449E-001  0.148483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4866                 NaN            NaN            NaN  0.223679       0.451118E-004   1.28969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5168                 NaN            NaN            NaN  0.215429                 NaN   1.26779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5521                 NaN            NaN            NaN  0.215973                 NaN   1.23197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5730                 NaN            NaN            NaN  0.155137                 NaN   1.27189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5849                 NaN            NaN            NaN  0.257148                 NaN   1.15799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6141                 NaN            NaN            NaN  0.198268                 NaN   1.18768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6412                 NaN            NaN            NaN  0.196463                 NaN   1.16231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6629                 NaN            NaN            NaN  0.193129                 NaN   1.14395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6825                 NaN            NaN            NaN  0.189841                 NaN   1.12766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7035                 NaN            NaN            NaN  0.185525                 NaN   1.11096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7209                 NaN            NaN            NaN  0.183749                 NaN   1.09535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7004                 NaN            NaN            NaN  0.185022                 NaN   1.11456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8081                 NaN            NaN            NaN  0.164070                 NaN   1.02787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7814                 NaN            NaN            NaN  0.174682                 NaN   1.04388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7964                 NaN            NaN            NaN  0.165581                 NaN   1.03801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7786                 NaN            NaN            NaN  0.173664                 NaN   1.04769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.4219                 NaN            NaN            NaN  0.781995E-001            NaN  0.499931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.3030                 NaN            NaN            NaN  0.262341                 NaN   1.43466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8643                 NaN            NaN            NaN  0.120747                 NaN   1.01494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.6534                 NaN            NaN            NaN  0.164910                 NaN   1.18165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.1197                 NaN            NaN            NaN  0.117177                 NaN  0.763163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9190                 NaN            NaN            NaN  0.147045                 NaN  0.934002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9155                 NaN            NaN            NaN  0.144276                 NaN  0.940245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9114                 NaN            NaN            NaN  0.152187                 NaN  0.936394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0051                 NaN            NaN            NaN  0.130696                 NaN  0.864217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9729                 NaN            NaN            NaN  0.135225                 NaN  0.891856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9851                 NaN            NaN            NaN  0.131380                 NaN  0.883495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9995                 NaN            NaN            NaN  0.130086                 NaN  0.870388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0102                 NaN            NaN            NaN  0.126173                 NaN  0.863614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0036                 NaN            NaN            NaN  0.110024                 NaN  0.886349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0598                 NaN            NaN            NaN  0.139922                 NaN  0.800276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0461                 NaN            NaN            NaN  0.117448                 NaN  0.836448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0606                 NaN            NaN            NaN  0.114795                 NaN  0.824612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0722                 NaN            NaN            NaN  0.113821                 NaN  0.813940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0809                 NaN            NaN            NaN  0.108985                 NaN  0.810142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
