|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1563.66        2500.00                 NaN            NaN   99.2843       0.660318       0.553876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00                 NaN            NaN   99.2802       0.669221       0.505518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00                 NaN            NaN   99.3052       0.637640       0.571426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00                 NaN            NaN   99.3009       0.647500       0.515523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN            NaN   99.3043       0.643738       0.519132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00                 NaN            NaN   99.3136       0.635189       0.511878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00                 NaN            NaN   99.1677       0.777180       0.551601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00                 NaN            NaN   99.4720       0.490596       0.374294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN            NaN   99.3290       0.623837       0.471638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00                 NaN            NaN   99.3320       0.621891       0.461485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00                 NaN            NaN   99.3374       0.617002       0.455843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00                 NaN            NaN   99.3014       0.650241       0.483532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00                 NaN            NaN   99.3891       0.570322       0.405553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00                 NaN            NaN   99.3517       0.605831       0.424417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00                 NaN            NaN   99.3553       0.603043       0.416420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00                 NaN            NaN   99.3614       0.597720       0.408909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00                 NaN            NaN   99.3663       0.593680       0.400576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00                 NaN            NaN   99.8653       0.348677E-001  0.998628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00                 NaN            NaN   98.8785        1.09398       0.275401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00                 NaN            NaN   99.3782       0.615271       0.654478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00                 NaN            NaN   99.5844       0.415634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00                 NaN            NaN   99.1776       0.775274       0.471235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00                 NaN            NaN   99.3924       0.534678       0.729558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00                 NaN            NaN   99.3922       0.581943       0.258468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00                 NaN            NaN   99.3918       0.573640       0.152871E-001            NaN            NaN  0.192660E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00                 NaN            NaN   99.2038       0.768477E-002            NaN            NaN            NaN  0.788551                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00                 NaN            NaN   99.2052       0.597546E-001            NaN            NaN            NaN  0.735016                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00                 NaN            NaN   99.2019                 NaN            NaN            NaN            NaN  0.798060                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00                 NaN            NaN   99.2474                 NaN            NaN            NaN            NaN  0.752619                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00                 NaN            NaN   99.1430                 NaN            NaN            NaN            NaN  0.857037                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00                 NaN            NaN   99.1926                 NaN            NaN            NaN            NaN  0.807412                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00                 NaN            NaN   99.1846                 NaN            NaN            NaN            NaN  0.815422                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00                 NaN            NaN   99.1755                 NaN            NaN            NaN            NaN  0.824537                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00                 NaN            NaN   99.1654                 NaN            NaN            NaN            NaN  0.834600                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00                 NaN            NaN   98.8852                 NaN            NaN            NaN            NaN  0.473412       0.641415                 NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00                 NaN            NaN   98.7042                 NaN            NaN            NaN            NaN  0.787107       0.508653                 NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00                 NaN            NaN   98.7181                 NaN            NaN            NaN            NaN  0.778566       0.503338                 NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00                 NaN            NaN   98.7307                 NaN  0.984656E-006            NaN            NaN  0.498323       0.770962                 NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00                 NaN            NaN   98.7415                 NaN            NaN            NaN            NaN  0.764672       0.493815                 NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00                 NaN            NaN   98.7598                 NaN            NaN            NaN            NaN  0.753684       0.486492                 NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00                 NaN            NaN   98.7688                 NaN            NaN            NaN            NaN  0.748801       0.482406                 NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00                 NaN            NaN   98.7846                 NaN            NaN            NaN            NaN  0.739352       0.476058                 NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00                 NaN            NaN   98.7934                 NaN            NaN            NaN            NaN  0.734148       0.472418                 NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00                 NaN            NaN   98.8064                 NaN            NaN            NaN            NaN  0.727832       0.465789                 NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00                 NaN            NaN   98.8182                 NaN            NaN            NaN            NaN  0.719340       0.462471                 NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00                 NaN            NaN   97.6755                 NaN            NaN            NaN            NaN   1.41687       0.907582                 NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00                 NaN            NaN   98.8509                 NaN            NaN            NaN            NaN  0.449017       0.700111                 NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00                 NaN            NaN   98.8610                 NaN            NaN            NaN            NaN  0.443780       0.695270                 NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00                 NaN            NaN   98.8771                 NaN  0.397077E-001            NaN            NaN  0.701542       0.381684                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00                 NaN            NaN   98.8826                 NaN            NaN            NaN            NaN  0.682574       0.434825                 NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00                 NaN            NaN   98.8932                 NaN            NaN            NaN            NaN  0.676212       0.430635                 NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00                 NaN            NaN   98.9020                 NaN            NaN            NaN            NaN  0.426519       0.671493                 NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00                 NaN            NaN   98.9096                 NaN  0.550969E-002            NaN            NaN  0.414478       0.670422                 NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00                 NaN            NaN   98.9342                 NaN  0.614101E-001            NaN            NaN  0.327152       0.677242                 NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00                 NaN            NaN   98.9329                 NaN  0.732676E-001            NaN            NaN  0.312445       0.681352                 NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00                 NaN            NaN   98.9513                 NaN            NaN            NaN            NaN  0.641581       0.407087                 NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00                 NaN            NaN   98.9476                 NaN            NaN            NaN            NaN  0.406669       0.645711                 NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00                 NaN            NaN   98.9564                 NaN            NaN            NaN            NaN  0.402473       0.641113                 NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00                 NaN            NaN   98.9646                 NaN            NaN            NaN            NaN  0.636337       0.399072                 NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00                 NaN            NaN   98.9730                 NaN            NaN            NaN            NaN  0.632021       0.394987                 NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN            NaN   98.9792                 NaN            NaN            NaN            NaN  0.391629       0.629157                 NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00                 NaN            NaN   98.9901                 NaN            NaN            NaN            NaN  0.387516       0.622398                 NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00                 NaN            NaN   98.9968                 NaN            NaN            NaN            NaN  0.384490       0.618739                 NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00                 NaN            NaN   99.0041                 NaN  0.340686E-005            NaN            NaN  0.380814       0.615057                 NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00                 NaN            NaN   99.0263                 NaN  0.888384E-001            NaN            NaN  0.249470       0.635405                 NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00                 NaN            NaN   99.0153                 NaN            NaN            NaN            NaN  0.375291       0.609368                 NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00                 NaN            NaN   99.0326                 NaN            NaN            NaN            NaN  0.599245       0.368202                 NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00                 NaN            NaN   99.0320                 NaN            NaN            NaN            NaN  0.367471       0.600552                 NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00                 NaN            NaN   99.0398                 NaN            NaN            NaN            NaN  0.596053       0.364132                 NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN            NaN   97.3987                 NaN  0.101710                 NaN            NaN  0.975316       0.777207       0.747090                 NaN            NaN            NaN            NaN
  1451.87        2500.00                 NaN            NaN   97.3425                 NaN  0.257539                 NaN            NaN  0.791774       0.809510       0.798627                 NaN            NaN            NaN            NaN
  1450.30        2500.00                 NaN            NaN   97.3994                 NaN  0.256457                 NaN            NaN  0.766627       0.794949       0.782569                 NaN            NaN            NaN            NaN
  1448.72        2500.00                 NaN            NaN   97.4578                 NaN  0.252953                 NaN            NaN  0.746783       0.777977       0.764522                 NaN            NaN            NaN            NaN
  1447.15        2500.00                 NaN            NaN   97.5199                 NaN  0.249953                 NaN            NaN  0.758101       0.725422       0.746666                 NaN            NaN            NaN            NaN
  1445.57        2500.00                 NaN            NaN   97.5754                 NaN  0.248328                 NaN            NaN  0.701387       0.744864       0.729996                 NaN            NaN            NaN            NaN
  1444.00        2500.00                 NaN            NaN   97.6224                 NaN  0.247098                 NaN            NaN  0.730983       0.682938       0.716612                 NaN            NaN            NaN            NaN
  1442.42        2500.00                 NaN            NaN   97.6767                 NaN  0.244039                 NaN            NaN  0.715567       0.663336       0.700322                 NaN            NaN            NaN            NaN
  1440.85        2500.00                 NaN            NaN   97.7267                 NaN  0.241526                 NaN            NaN  0.701514       0.644773       0.685520                 NaN            NaN            NaN            NaN
  1439.27        2500.00                 NaN            NaN   97.7715                 NaN  0.241008                 NaN            NaN  0.689919       0.625239       0.672379                 NaN            NaN            NaN            NaN
  1437.70        2500.00                 NaN            NaN   97.8158                 NaN  0.238208                 NaN            NaN  0.678004       0.608938       0.659090                 NaN            NaN            NaN            NaN
  1436.13        2500.00                 NaN            NaN   97.8608                 NaN  0.237006                 NaN            NaN  0.664524       0.591856       0.645842                 NaN            NaN            NaN            NaN
  1434.55        2500.00                 NaN            NaN   97.9025                 NaN  0.235114                 NaN            NaN  0.576082       0.653023       0.633322                 NaN            NaN            NaN            NaN
  1432.98        2500.00                 NaN            NaN   97.9437                 NaN  0.233408                 NaN            NaN  0.641541       0.560383       0.620992                 NaN            NaN            NaN            NaN
  1431.40        2500.00                 NaN            NaN   97.9883                 NaN  0.232669                 NaN            NaN  0.539299       0.630762       0.608974                 NaN            NaN            NaN            NaN
  1429.83        2500.00                 NaN            NaN   97.9926                 NaN  0.234465                 NaN            NaN  0.540242       0.624961       0.607743                 NaN            NaN            NaN            NaN
  1428.25        2500.00                 NaN            NaN   98.0837                 NaN  0.223195                 NaN            NaN  0.603089       0.512833       0.577210                 NaN            NaN            NaN            NaN
  1426.68        2500.00                 NaN            NaN   98.0925                 NaN  0.227402                 NaN            NaN  0.503631       0.599902       0.576588                 NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN            NaN   98.1268                 NaN  0.225842                 NaN            NaN  0.590232       0.490800       0.566295                 NaN            NaN            NaN            NaN
  1423.53        2500.00                 NaN            NaN   98.1572                 NaN  0.225769                 NaN            NaN  0.582424       0.477216       0.557403                 NaN            NaN            NaN            NaN
  1421.96        2500.00                 NaN            NaN   98.1971                 NaN  0.221963                 NaN            NaN  0.569354       0.466572       0.545008                 NaN            NaN            NaN            NaN
  1420.38        2500.00                 NaN            NaN   98.2241                 NaN  0.221867                 NaN            NaN  0.562610       0.454208       0.537238                 NaN            NaN            NaN            NaN
  1418.81        2500.00                 NaN            NaN   98.2498                 NaN  0.222693                 NaN            NaN  0.557180       0.440170       0.530180                 NaN            NaN            NaN            NaN
  1417.23        2500.00                 NaN            NaN   98.2895                 NaN  0.216833                 NaN            NaN  0.433538       0.543388       0.516785                 NaN            NaN            NaN            NaN
  1415.66        2500.00                 NaN            NaN   98.3111                 NaN  0.218136                 NaN            NaN  0.538311       0.421452       0.511021                 NaN            NaN            NaN            NaN
  1414.08        2500.00                 NaN            NaN   98.3407                 NaN  0.216761                 NaN            NaN  0.410811       0.529646       0.502120                 NaN            NaN            NaN            NaN
  1412.51        2500.00                 NaN            NaN   98.3673                 NaN  0.215800                 NaN            NaN  0.521836       0.400956       0.494129                 NaN            NaN            NaN            NaN
  1410.93        2500.00                 NaN            NaN   98.3934                 NaN  0.214205                 NaN            NaN  0.392234       0.514275       0.485883                 NaN            NaN            NaN            NaN
  1409.36        2500.00                 NaN            NaN   98.4194                 NaN  0.213302                 NaN            NaN  0.507485       0.381598       0.478241                 NaN            NaN            NaN            NaN
  1407.79        2500.00                 NaN            NaN   98.4443                 NaN  0.212147                 NaN            NaN  0.372766       0.500149       0.470657                 NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN            NaN   98.4679                 NaN  0.210878                 NaN            NaN  0.493750       0.364074       0.463444                 NaN            NaN            NaN            NaN
  1404.64        2500.00                 NaN            NaN   98.4912                 NaN  0.209887                 NaN            NaN  0.355104       0.487524       0.456295                 NaN            NaN            NaN            NaN
  1403.06        2500.00                 NaN            NaN   98.5139                 NaN  0.208749                 NaN            NaN  0.481284       0.346704       0.449325                 NaN            NaN            NaN            NaN
  1401.49        2500.00                 NaN            NaN   98.5232                 NaN  0.224895                 NaN            NaN  0.320058       0.482462       0.449387                 NaN            NaN            NaN            NaN
  1399.91        2500.00                 NaN            NaN   98.5687                 NaN  0.190235                 NaN            NaN  0.351427       0.460175       0.429480                 NaN            NaN            NaN            NaN
  1398.34        2500.00                 NaN            NaN   98.5802                 NaN  0.205109                 NaN            NaN  0.462467       0.323269       0.428992                 NaN            NaN            NaN            NaN
  1396.76        2500.00                 NaN            NaN   98.5944                 NaN  0.206713                 NaN            NaN  0.459494       0.314330       0.425036                 NaN            NaN            NaN            NaN
  1395.19        2500.00                 NaN            NaN   98.6251                 NaN  0.200685                 NaN            NaN  0.311429       0.448166       0.414636                 NaN            NaN            NaN            NaN
  1393.62        2500.00                 NaN            NaN   98.6400                 NaN  0.201908                 NaN            NaN  0.302256       0.445163       0.410625                 NaN            NaN            NaN            NaN
  1392.04        2500.00                 NaN            NaN   98.6586                 NaN  0.201128                 NaN            NaN  0.295195       0.440128       0.404997                 NaN            NaN            NaN            NaN
  1390.47        2500.00                 NaN            NaN   98.6786                 NaN  0.199404                 NaN            NaN  0.434230       0.289161       0.398583                 NaN            NaN            NaN            NaN
  1388.89        2500.00                 NaN            NaN   98.6963                 NaN  0.198449                 NaN            NaN  0.429582       0.282569       0.393087                 NaN            NaN            NaN            NaN
  1387.32        2500.00                 NaN            NaN   98.7137                 NaN  0.197289                 NaN            NaN  0.424382       0.276933       0.387718                 NaN            NaN            NaN            NaN
  1385.74        2500.00                 NaN            NaN   98.7309                 NaN  0.196168                 NaN            NaN  0.271026       0.419612       0.382328                 NaN            NaN            NaN            NaN
  1384.17        2500.00                 NaN            NaN   98.7480                 NaN  0.195038                 NaN            NaN  0.414541       0.265394       0.376989                 NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN            NaN   98.7644                 NaN  0.193847                 NaN            NaN  0.259781       0.410119       0.371877                 NaN            NaN            NaN            NaN
  1381.02        2500.00                 NaN            NaN   98.7810                 NaN  0.192474                 NaN            NaN  0.405148       0.254805       0.366617                 NaN            NaN            NaN            NaN
  1379.45        2500.00                 NaN            NaN   98.7966                 NaN  0.191134                 NaN            NaN  0.249935       0.400668       0.361711                 NaN            NaN            NaN            NaN
  1377.87        2500.00                 NaN            NaN   98.8118                 NaN  0.190152                 NaN            NaN  0.396376       0.244685       0.357008                 NaN            NaN            NaN            NaN
  1376.30        2500.00                 NaN            NaN   98.8270                 NaN  0.188485                 NaN            NaN  0.391662       0.240870       0.351999                 NaN            NaN            NaN            NaN
  1374.72        2500.00                 NaN            NaN   98.8406                 NaN  0.187453                 NaN            NaN  0.236377       0.387810       0.347799                 NaN            NaN            NaN            NaN
  1373.15        2500.00                 NaN            NaN   98.8569                 NaN  0.185814                 NaN            NaN  0.231458       0.383277       0.342514                 NaN            NaN            NaN            NaN
  1371.57        2500.00                 NaN            NaN   98.8703                 NaN  0.184564                 NaN            NaN  0.379459       0.227448       0.338276                 NaN            NaN            NaN            NaN
  1370.00        2500.00                 NaN            NaN   98.8842                 NaN  0.183073                 NaN            NaN  0.224018       0.374908       0.333815                 NaN            NaN            NaN            NaN
  1368.42        2500.00                 NaN            NaN   98.8979                 NaN  0.181761                 NaN            NaN  0.370759       0.220145       0.329466                 NaN            NaN            NaN            NaN
  1366.85        2500.00                 NaN            NaN   98.9108                 NaN  0.180486                 NaN            NaN  0.216072       0.367314       0.325316                 NaN            NaN            NaN            NaN
  1365.27        2500.00                 NaN            NaN   98.9239                 NaN  0.178482                 NaN            NaN  0.213316       0.363344       0.321005                 NaN            NaN            NaN            NaN
  1363.70        2500.00                 NaN            NaN   98.9354                 NaN  0.177678                 NaN            NaN  0.359272       0.210238       0.317376                 NaN            NaN            NaN            NaN
  1362.13        2500.00                 NaN            NaN   98.9506                 NaN  0.175161                 NaN            NaN  0.354843       0.207093       0.312314                 NaN            NaN            NaN            NaN
  1360.55        2500.00                 NaN            NaN   98.9615                 NaN  0.174058                 NaN            NaN  0.351394       0.204161       0.308863                 NaN            NaN            NaN            NaN
  1358.98        2500.00                 NaN            NaN   98.9732                 NaN  0.172376                 NaN            NaN  0.347768       0.201633       0.305009                 NaN            NaN            NaN            NaN
  1357.40        2500.00                 NaN            NaN   98.9852                 NaN  0.171568                 NaN            NaN  0.198781       0.343062       0.301403                 NaN            NaN            NaN            NaN
  1355.83        2500.00                 NaN            NaN   98.9966                 NaN  0.168791                 NaN            NaN  0.197146       0.340176       0.297300                 NaN            NaN            NaN            NaN
  1354.25        2500.00                 NaN            NaN   99.0072                 NaN  0.166448                 NaN            NaN  0.337074       0.195669       0.293623                 NaN            NaN            NaN            NaN
  1352.68        2500.00                 NaN            NaN   99.0193                 NaN  0.166456                 NaN            NaN  0.333987       0.190099       0.290187                 NaN            NaN            NaN            NaN
  1351.10        2500.00                 NaN            NaN   99.0299                 NaN  0.163048                 NaN            NaN  0.329154       0.191631       0.286297                 NaN            NaN            NaN            NaN
  1349.53        2500.00                 NaN            NaN   99.0398                 NaN  0.161385                 NaN            NaN  0.326025       0.189824       0.282945                 NaN            NaN            NaN            NaN
  1347.96        2500.00                 NaN            NaN   99.0487                 NaN  0.159735                 NaN            NaN  0.323146       0.188379       0.280074                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN            NaN   99.0605                 NaN  0.158041                 NaN            NaN  0.185625       0.319725       0.276111                 NaN            NaN            NaN            NaN
  1344.81        2500.00                 NaN            NaN   99.0702                 NaN  0.156276                 NaN            NaN  0.316611       0.184004       0.272922                 NaN            NaN            NaN            NaN
  1343.23        2500.00                 NaN            NaN   99.0801                 NaN  0.153549                 NaN            NaN  0.310524       0.186205       0.269580                 NaN            NaN            NaN            NaN
