|6.6.6
Archiving\03_Data\eq/QFM_m5/YM20/YM20_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1878.21        2500.00        91.8762       0.693359                 NaN   4.27749       0.373314E-001   3.11566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        91.2530       0.693349                 NaN   4.27290       0.368087E-001   3.74393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        90.6299       0.693340                 NaN   4.26831       0.362860E-001   4.37218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        90.0326       0.693323                 NaN   4.26002       0.357601E-001   4.97830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        89.4353       0.693306                 NaN   4.25173       0.352342E-001   5.58440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        88.8381       0.693289                 NaN   4.24344       0.347084E-001   6.19047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        88.2409       0.693272                 NaN   4.23515       0.341825E-001   6.79651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        87.6574       0.693250                 NaN   4.22437       0.336513E-001   7.39134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        87.0750       0.693226                 NaN   4.21212       0.331184E-001   7.98172       0.481356E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        86.4883       0.693195                 NaN   4.19715       0.325844E-001   8.56574       0.230691E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        85.9016       0.693165                 NaN   4.18218       0.320504E-001   9.14970       0.413231E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        85.3343       0.693124                 NaN   4.16176       0.314995E-001   9.72037       0.589185E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        84.7671       0.693084                 NaN   4.14135       0.309486E-001   10.2910       0.765117E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        84.2000       0.693043                 NaN   4.12094       0.303978E-001   10.8615       0.941029E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        83.6329       0.693002                 NaN   4.10053       0.298470E-001   11.4320       0.111692                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        83.0659       0.692961                 NaN   4.08012       0.292963E-001   12.0024       0.129279                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        82.4990       0.692920                 NaN   4.05971       0.287457E-001   12.5727       0.146864                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        81.9321       0.692880                 NaN   4.03931       0.281951E-001   13.1430       0.164447                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        81.3654       0.692839                 NaN   4.01891       0.276446E-001   13.7132       0.182028                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        80.8190       0.692780                 NaN   3.98942       0.270622E-001   14.2730       0.198708                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        80.2728       0.692721                 NaN   3.95994       0.264799E-001   14.8327       0.215385                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        79.7267       0.692663                 NaN   3.93046       0.258977E-001   15.3922       0.232059                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        79.1807       0.692604                 NaN   3.90099       0.253156E-001   15.9517       0.248731                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        78.6347       0.692545                 NaN   3.87152       0.247335E-001   16.5111       0.265399                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        78.0889       0.692487                 NaN   3.84205       0.241516E-001   17.0704       0.282065                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        77.5431       0.692428                 NaN   3.81260       0.235698E-001   17.6296       0.298728                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        76.9974       0.692370                 NaN   3.78314       0.229880E-001   18.1887       0.315388                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        76.4604       0.692291                 NaN   3.74356       0.223637E-001   18.7501       0.331235                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        75.9236       0.692212                 NaN   3.70399       0.217395E-001   19.3114       0.347078                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        75.3868       0.692134                 NaN   3.66443       0.211155E-001   19.8726       0.362918                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        74.8502       0.692055                 NaN   3.62488       0.204916E-001   20.4336       0.378754                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        74.3137       0.691977                 NaN   3.58533       0.198678E-001   20.9945       0.394587                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        73.7773       0.691898                 NaN   3.54580       0.192442E-001   21.5553       0.410416                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        73.2411       0.691820                 NaN   3.50627       0.186207E-001   22.1160       0.426242                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        72.7050       0.691741                 NaN   3.46675       0.179974E-001   22.6765       0.442063                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        72.1702       0.691642                 NaN   3.41673       0.173316E-001   23.2469       0.457277                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        71.6355       0.691543                 NaN   3.36672       0.166660E-001   23.8171       0.472485                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        71.1010       0.691444                 NaN   3.31672       0.160006E-001   24.3871       0.487690                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        70.5667       0.691345                 NaN   3.26674       0.153354E-001   24.9570       0.502890                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        70.0325       0.691246                 NaN   3.21678       0.146704E-001   25.5267       0.518085                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        69.4985       0.691147                 NaN   3.16682       0.140055E-001   26.0962       0.533277                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        68.9646       0.691048                 NaN   3.11689       0.133409E-001   26.6656       0.548464                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        68.4309       0.690949                 NaN   3.06696       0.126764E-001   27.2349       0.563646                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        67.8934       0.690828                 NaN   3.00562       0.119668E-001   27.8198       0.578321                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        67.3562       0.690706                 NaN   2.94430       0.112573E-001   28.4046       0.592991                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        66.8191       0.690585                 NaN   2.88301       0.105481E-001   28.9891       0.607655                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        66.2822       0.690464                 NaN   2.82173       0.983922E-002   29.5735       0.622315                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        65.7455       0.690343                 NaN   2.76048       0.913054E-002   30.1576       0.636969                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        65.2089       0.690221                 NaN   2.69925       0.842211E-002   30.7416       0.651618                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        64.6726       0.690100                 NaN   2.63804       0.771393E-002   31.3253       0.666262                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        64.1365       0.689979                 NaN   2.57685       0.700600E-002   31.9088       0.680901                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        63.5946       0.689832                 NaN   2.50232       0.624377E-002   32.5121       0.694958                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        63.0529       0.689684                 NaN   2.42782       0.548187E-002   33.1151       0.709009                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        62.5115       0.689537                 NaN   2.35336       0.472030E-002   33.7178       0.723054                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        61.9703       0.689390                 NaN   2.27893       0.395905E-002   34.3203       0.737093                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        61.4293       0.689243                 NaN   2.20453       0.319813E-002   34.9226       0.751126                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        60.8886       0.689096                 NaN   2.13016       0.243753E-002   35.5245       0.765153                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        60.3481       0.688949                 NaN   2.05582       0.167725E-002   36.1263       0.779174                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        59.8079       0.688802                 NaN   1.98151       0.917302E-003   36.7277       0.793189                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        59.2672       0.688641                 NaN   1.90026       0.138478E-003   37.3369       0.806841                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        58.7296       0.688479                 NaN   1.81731                 NaN   37.9441       0.820546                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        58.1958       0.688315                 NaN   1.73358                 NaN   38.5481       0.834231                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        57.6623       0.688151                 NaN   1.64989                 NaN   39.1518       0.847910                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        57.1275       0.687973                 NaN   1.55937                 NaN   39.7637       0.861437                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        56.5931       0.687796                 NaN   1.46889                 NaN   40.3753       0.874957                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        56.0589       0.687619                 NaN   1.37846                 NaN   40.9866       0.888470                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        55.5250       0.687442                 NaN   1.28808                 NaN   41.5975       0.901976                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        55.0023       0.687250                 NaN   1.18986                 NaN   42.2053       0.915261                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        54.4800       0.687057                 NaN   1.09169                 NaN   42.8127       0.928539                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        53.9579       0.686865                 NaN  0.993585                 NaN   43.4198       0.941810                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        53.4362       0.686673                 NaN  0.895529                 NaN   44.0265       0.955074                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        52.9147       0.686481                 NaN  0.797529                 NaN   44.6329       0.968329                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        52.3935       0.686289                 NaN  0.699583                 NaN   45.2390       0.981578                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        51.8726       0.686097                 NaN  0.601692                 NaN   45.8447       0.994819                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        51.3521       0.685906                 NaN  0.503856                 NaN   46.4501        1.00805                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        50.8269       0.685692                 NaN  0.395051                 NaN   47.0600        1.02029       0.120159E-001            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        49.8066       0.685597                 NaN  0.345832                 NaN   47.3283        1.01830       0.815329                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        48.7489       0.685506                 NaN  0.299346                 NaN   47.5488        1.01329        1.70413                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        47.6914       0.685415                 NaN  0.252872                 NaN   47.7693        1.00829        2.59269                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        46.7500       0.685318                 NaN  0.202930                 NaN   47.9862        1.00380        3.37175                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        45.8088       0.685221                 NaN  0.153003                 NaN   48.2030       0.999319        4.15059                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        44.8679       0.685123                 NaN  0.103089                 NaN   48.4198       0.994835        4.92921                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        43.9273       0.685026                 NaN  0.531900E-001            NaN   48.6365       0.990352        5.70761                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        43.0713       0.684923                 NaN  0.479084E-003            NaN   48.8519       0.985997        6.40543                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        42.2139       0.684922                 NaN            NaN            NaN   48.9228       0.977913        7.20045                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        41.4002       0.684923                 NaN            NaN            NaN   48.9874       0.969589        7.95788                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        40.5864       0.684924                 NaN            NaN            NaN   49.0521       0.961266        8.71532                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        39.8466       0.684924                 NaN            NaN            NaN   49.1069       0.952669        9.40886                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        39.1067       0.684925                 NaN            NaN            NaN   49.1618       0.944072        10.1024                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        38.3669       0.684925                 NaN            NaN            NaN   49.2167       0.935475        10.7960                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        37.6271       0.684926                 NaN            NaN            NaN   49.2716       0.926878        11.4895                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        37.0028       0.684926                 NaN            NaN            NaN   49.3114       0.918006        12.0828                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        36.3786       0.684927                 NaN            NaN            NaN   49.3512       0.909134        12.6762                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        35.7543       0.684927                 NaN            NaN            NaN   49.3910       0.900262        13.2695                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        35.1301       0.684928                 NaN            NaN            NaN   49.4307       0.891391        13.8628                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        34.5059       0.684928                 NaN            NaN            NaN   49.4705       0.882519        14.4562                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        33.8816       0.684928                 NaN            NaN            NaN   49.5103       0.873647        15.0495                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        33.2574       0.684929                 NaN            NaN            NaN   49.5501       0.864775        15.6428                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        32.6331       0.684929                 NaN            NaN            NaN   49.5899       0.855904        16.2362                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        32.1193       0.684930                 NaN            NaN            NaN   49.6160       0.846299        16.7335                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        31.6055       0.684930                 NaN            NaN            NaN   49.6421       0.836695        17.2308                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        31.0917       0.684930                 NaN            NaN            NaN   49.6681       0.827091        17.7281                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        30.5779       0.684931                 NaN            NaN            NaN   49.6942       0.817487        18.2254                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        30.0641       0.684931                 NaN            NaN            NaN   49.7203       0.807883        18.7227                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        29.5503       0.684931                 NaN            NaN            NaN   49.7464       0.798278        19.2201                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        29.0365       0.684932                 NaN            NaN            NaN   49.7725       0.788674        19.7174                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        28.5227       0.684932                 NaN            NaN            NaN   49.7986       0.779070        20.2147                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        28.0820       0.684932                 NaN            NaN            NaN   49.8173       0.768624        20.6471                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        27.6414       0.684932                 NaN            NaN            NaN   49.8359       0.758178        21.0796                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        27.2007       0.684933                 NaN            NaN            NaN   49.8545       0.747732        21.5121                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        26.7601       0.684933                 NaN            NaN            NaN   49.8732       0.737287        21.9445                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        26.3194       0.684933                 NaN            NaN            NaN   49.8918       0.726841        22.3770                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        25.8788       0.684933                 NaN            NaN            NaN   49.9104       0.716395        22.8095                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        25.4381       0.684934                 NaN            NaN            NaN   49.9291       0.705949        23.2419                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        24.9975       0.684934                 NaN            NaN            NaN   49.9477       0.695503        23.6744                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        24.6053       0.684934                 NaN            NaN            NaN   49.9617       0.684424        24.0636                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        24.2131       0.684934                 NaN            NaN            NaN   49.9757       0.673346        24.4529                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        23.8209       0.684934                 NaN            NaN            NaN   49.9897       0.662267        24.8422                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        23.4287       0.684934                 NaN            NaN            NaN   50.0037       0.651188        25.2314                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        23.0365       0.684935                 NaN            NaN            NaN   50.0178       0.640110        25.6207                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        22.6443       0.684935                 NaN            NaN            NaN   50.0318       0.629031        26.0099                 NaN            NaN            NaN            NaN            NaN
  1490.38        2500.00        22.2521       0.684935                 NaN            NaN            NaN   50.0458       0.617953        26.3992                 NaN            NaN            NaN            NaN            NaN
  1487.18        2500.00        21.8599       0.684935                 NaN            NaN            NaN   50.0598       0.606874        26.7885                 NaN            NaN            NaN            NaN            NaN
  1483.97        2500.00        21.4911       0.684935                 NaN            NaN            NaN   50.0729       0.595363        27.1557                 NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        20.9353       0.684935                 NaN            NaN            NaN   50.0892       0.595413        27.3490       0.346126                 NaN            NaN            NaN            NaN
  1477.56        2500.00        20.3312       0.684935                 NaN            NaN            NaN   50.1025       0.601849        27.4590       0.820513                 NaN            NaN            NaN            NaN
  1474.36        2500.00        19.7271       0.684936                 NaN            NaN            NaN   50.1158       0.608284        27.5690        1.29490                 NaN            NaN            NaN            NaN
  1471.15        2500.00        19.1798       0.684936                 NaN            NaN            NaN   50.1176       0.617903        27.6682        1.73154                 NaN            NaN            NaN            NaN
  1467.95        2500.00        18.6325       0.684936                 NaN            NaN            NaN   50.1193       0.627522        27.7675        2.16818                 NaN            NaN            NaN            NaN
  1464.74        2500.00        18.0852       0.684936                 NaN            NaN            NaN   50.1211       0.637140        27.8668        2.60482                 NaN            NaN            NaN            NaN
  1461.54        2500.00        17.5380       0.684936                 NaN            NaN            NaN   50.1228       0.646759        27.9661        3.04146                 NaN            NaN            NaN            NaN
  1458.33        2500.00        17.0379       0.684936                 NaN            NaN            NaN   50.1132       0.659533        28.0585        3.44587                 NaN            NaN            NaN            NaN
  1455.13        2500.00        16.5379       0.684937                 NaN            NaN            NaN   50.1036       0.672307        28.1510        3.85028                 NaN            NaN            NaN            NaN
  1451.92        2500.00        16.0644       0.684937                 NaN            NaN            NaN   50.0895       0.686414        28.2383        4.23637                 NaN            NaN            NaN            NaN
  1448.72        2500.00        15.5010       0.684937                 NaN            NaN            NaN   50.0195       0.729629        27.7241        4.54658       0.794235                 NaN            NaN            NaN
  1445.51        2500.00        15.5010       0.684937                 NaN            NaN            NaN   50.0195       0.729629        27.7241        4.54658       0.794235                 NaN            NaN            NaN
  1442.31        2500.00        15.5010       0.684937                 NaN            NaN            NaN   50.0195       0.729629        27.7241        4.54658       0.794235                 NaN            NaN            NaN
  1439.10        2500.00        15.5010       0.684937                 NaN            NaN            NaN   50.0195       0.729629        27.7241        4.54658       0.794235                 NaN            NaN            NaN
  1435.90        2500.00        13.7108       0.684938                 NaN            NaN            NaN   49.8635       0.830233        27.3403        1.75722        5.81295                 NaN            NaN            NaN
  1432.69        2500.00        13.7108       0.684938                 NaN            NaN            NaN   49.8635       0.830233        27.3403        1.75722        5.81295                 NaN            NaN            NaN
  1429.49        2500.00        12.9114       0.684938                 NaN            NaN            NaN   49.7773       0.881166        27.2290        6.38385        2.13239                 NaN            NaN            NaN
  1426.28        2500.00        12.5367       0.684938                 NaN            NaN            NaN   49.7345       0.906308        27.1870        6.65210        2.29846                 NaN            NaN            NaN
  1423.08        2500.00        12.1556       0.684938                 NaN            NaN            NaN   49.7028       0.929529        27.1411        2.46703        6.89652       0.224657E-001            NaN            NaN
  1419.87        2500.00        12.1556       0.684938                 NaN            NaN            NaN   49.7028       0.929529        27.1411        2.46703        6.89652       0.224657E-001            NaN            NaN
  1416.67        2500.00        12.1556       0.684938                 NaN            NaN            NaN   49.7028       0.929529        27.1411        2.46703        6.89652       0.224657E-001            NaN            NaN
  1413.46        2500.00        12.1556       0.684938                 NaN            NaN            NaN   49.7028       0.929529        27.1411        2.46703        6.89652       0.224657E-001            NaN            NaN
  1410.26        2500.00        10.4359       0.684940                 NaN            NaN            NaN   49.8465       0.970527        26.6825        3.37472        7.40532       0.599610                 NaN            NaN
  1407.05        2500.00        10.4359       0.684940                 NaN            NaN            NaN   49.8465       0.970527        26.6825        3.37472        7.40532       0.599610                 NaN            NaN
  1403.85        2500.00        10.4359       0.684940                 NaN            NaN            NaN   49.8465       0.970527        26.6825        3.37472        7.40532       0.599610                 NaN            NaN
  1400.64        2500.00        10.4359       0.684940                 NaN            NaN            NaN   49.8465       0.970527        26.6825        3.37472        7.40532       0.599610                 NaN            NaN
  1397.44        2500.00        10.4359       0.684940                 NaN            NaN            NaN   49.8465       0.970527        26.6825        3.37472        7.40532       0.599610                 NaN            NaN
