|6.6.6
Archiving\03_Data\eq/QFM_m5/YM20/YM20_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1782.05        2500.00        78.4546       0.577199                 NaN   1.47345       0.746152E-002   19.2246       0.262731                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        77.9343       0.577326                 NaN   1.45779       0.723621E-002   19.7496       0.273706                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        77.4139       0.577452                 NaN   1.44212       0.701081E-002   20.2748       0.284686                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        76.8933       0.577577                 NaN   1.42644       0.678535E-002   20.8002       0.295670                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        76.3726       0.577701                 NaN   1.41075       0.655982E-002   21.3257       0.306659                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        75.8518       0.577803                 NaN   1.39077       0.631865E-002   21.8561       0.317190                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        75.3309       0.577904                 NaN   1.37079       0.607743E-002   22.3866       0.327725                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        74.8099       0.578005                 NaN   1.35079       0.583616E-002   22.9172       0.338263                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        74.2888       0.578104                 NaN   1.33079       0.559483E-002   23.4479       0.348804                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        73.7675       0.578202                 NaN   1.31078       0.535344E-002   23.9788       0.359348                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        73.2461       0.578300                 NaN   1.29076       0.511201E-002   24.5098       0.369895                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        72.7247       0.578396                 NaN   1.27074       0.487053E-002   25.0409       0.380446                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        72.2031       0.578491                 NaN   1.25071       0.462899E-002   25.5721       0.390999                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        71.6767       0.578565                 NaN   1.22600       0.437082E-002   26.1132       0.401165                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        71.1502       0.578638                 NaN   1.20130       0.411261E-002   26.6544       0.411333                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        70.6237       0.578710                 NaN   1.17658       0.385437E-002   27.1957       0.421503                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        70.0971       0.578781                 NaN   1.15186       0.359611E-002   27.7370       0.431675                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        69.5704       0.578851                 NaN   1.12714       0.333781E-002   28.2784       0.441848                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        69.0437       0.578920                 NaN   1.10241       0.307949E-002   28.8199       0.452024                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        68.5170       0.578988                 NaN   1.07767       0.282115E-002   29.3614       0.462201                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        67.9902       0.579054                 NaN   1.05293       0.256278E-002   29.9029       0.472380                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        67.4566       0.579098                 NaN   1.02272       0.228444E-002   30.4572       0.482114                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        66.9230       0.579141                 NaN  0.992512       0.200610E-002   31.0115       0.491850                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        66.3894       0.579183                 NaN  0.962299       0.172775E-002   31.5658       0.501586                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        65.8558       0.579224                 NaN  0.932083       0.144941E-002   32.1201       0.511323                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        65.3223       0.579263                 NaN  0.901863       0.117107E-002   32.6744       0.521060                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        64.7887       0.579302                 NaN  0.871641       0.892739E-003   33.2287       0.530797                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        64.2552       0.579339                 NaN  0.841416       0.614412E-003   33.7829       0.540535                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        63.7217       0.579375                 NaN  0.811188       0.336092E-003   34.3372       0.550273                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        63.1871       0.579398                 NaN  0.778103       0.507473E-004   34.8956       0.559741                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        62.6552       0.579419                 NaN  0.744302                 NaN   35.4518       0.569259                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        62.1270       0.579436                 NaN  0.710167                 NaN   36.0046       0.578792                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        61.5988       0.579451                 NaN  0.676031                 NaN   36.5574       0.588326                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        61.0687       0.579456                 NaN  0.639079                 NaN   37.1150       0.597744                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        60.5387       0.579460                 NaN  0.602130                 NaN   37.6725       0.607161                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        60.0088       0.579463                 NaN  0.565182                 NaN   38.2300       0.616577                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        59.4790       0.579464                 NaN  0.528236                 NaN   38.7873       0.625993                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        58.9596       0.579451                 NaN  0.488060                 NaN   39.3376       0.635297                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        58.4402       0.579437                 NaN  0.447888                 NaN   39.8878       0.644600                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        57.9210       0.579422                 NaN  0.407721                 NaN   40.4379       0.653902                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        57.4020       0.579406                 NaN  0.367559                 NaN   40.9879       0.663202                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        56.8830       0.579388                 NaN  0.327402                 NaN   41.5377       0.672500                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        56.3642       0.579369                 NaN  0.287251                 NaN   42.0874       0.681796                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        55.8455       0.579349                 NaN  0.247106                 NaN   42.6369       0.691091                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        55.3270       0.579328                 NaN  0.206967                 NaN   43.1863       0.700384                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        54.8026       0.579298                 NaN  0.162308                 NaN   43.7354       0.708907       0.114213E-001            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        53.7815       0.579796                 NaN  0.142221                 NaN   44.0123       0.708543       0.775568                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        52.7200       0.580345                 NaN  0.123231                 NaN   44.2481       0.706098        1.62219                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        51.6566       0.580895                 NaN  0.104207                 NaN   44.4843       0.703647        2.47038                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        50.7076       0.581370                 NaN  0.837030E-001            NaN   44.7114       0.701493        3.21447                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        49.7572       0.581846                 NaN  0.631670E-001            NaN   44.9387       0.699335        3.95975                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        48.8052       0.582322                 NaN  0.425992E-001            NaN   45.1664       0.697172        4.70622                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        47.8519       0.582797                 NaN  0.219996E-001            NaN   45.3944       0.695005        5.45389                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        46.9824       0.583218                 NaN  0.198315E-003            NaN   45.6168       0.692844        6.12450                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        46.1195       0.583764                 NaN            NaN            NaN   45.7183       0.688248        6.89019                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        45.2992       0.584286                 NaN            NaN            NaN   45.8123       0.683378        7.62084                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        44.4775       0.584809                 NaN            NaN            NaN   45.9064       0.678498        8.35277                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        43.7292       0.585290                 NaN            NaN            NaN   45.9885       0.673367        9.02364                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        42.9797       0.585771                 NaN            NaN            NaN   46.0707       0.668226        9.69558                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        42.2290       0.586253                 NaN            NaN            NaN   46.1530       0.663077        10.3686                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        41.4773       0.586734                 NaN            NaN            NaN   46.2354       0.657919        11.0427                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        40.8417       0.587151                 NaN            NaN            NaN   46.2990       0.652483        11.6196                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        40.2054       0.587568                 NaN            NaN            NaN   46.3627       0.647039        12.1973                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        39.5682       0.587986                 NaN            NaN            NaN   46.4264       0.641587        12.7758                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        38.9302       0.588403                 NaN            NaN            NaN   46.4901       0.636127        13.3551                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        38.2913       0.588820                 NaN            NaN            NaN   46.5539       0.630659        13.9352                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        37.6517       0.589237                 NaN            NaN            NaN   46.6178       0.625183        14.5161                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        37.0112       0.589655                 NaN            NaN            NaN   46.6817       0.619699        15.0978                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        36.3699       0.590072                 NaN            NaN            NaN   46.7456       0.614207        15.6802                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        35.8406       0.590428                 NaN            NaN            NaN   46.7924       0.608086        16.1685                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        35.3107       0.590784                 NaN            NaN            NaN   46.8393       0.601957        16.6572                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        34.7803       0.591140                 NaN            NaN            NaN   46.8862       0.595820        17.1466                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        34.2493       0.591496                 NaN            NaN            NaN   46.9331       0.589676        17.6365                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        33.7177       0.591852                 NaN            NaN            NaN   46.9800       0.583525        18.1269                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        33.1855       0.592207                 NaN            NaN            NaN   47.0269       0.577366        18.6180                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        32.6528       0.592563                 NaN            NaN            NaN   47.0739       0.571199        19.1095                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        32.1195       0.592919                 NaN            NaN            NaN   47.1209       0.565025        19.6017                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        31.6608       0.593235                 NaN            NaN            NaN   47.1580       0.558157        20.0298                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        31.2016       0.593551                 NaN            NaN            NaN   47.1951       0.551281        20.4584                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        30.7421       0.593867                 NaN            NaN            NaN   47.2323       0.544399        20.8874                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        30.2821       0.594183                 NaN            NaN            NaN   47.2694       0.537508        21.3168                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        29.8216       0.594499                 NaN            NaN            NaN   47.3066       0.530611        21.7467                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        29.3608       0.594815                 NaN            NaN            NaN   47.3437       0.523706        22.1770                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        28.8995       0.595130                 NaN            NaN            NaN   47.3809       0.516794        22.6077                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        28.4377       0.595446                 NaN            NaN            NaN   47.4181       0.509875        23.0388                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        28.0254       0.595737                 NaN            NaN            NaN   47.4494       0.502447        23.4271                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        27.6126       0.596028                 NaN            NaN            NaN   47.4807       0.495012        23.8157                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        27.1996       0.596319                 NaN            NaN            NaN   47.5120       0.487570        24.2046                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        26.7861       0.596609                 NaN            NaN            NaN   47.5433       0.480121        24.5939                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        26.3724       0.596900                 NaN            NaN            NaN   47.5746       0.472665        24.9835                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        25.9583       0.597191                 NaN            NaN            NaN   47.6059       0.465202        25.3734                 NaN            NaN            NaN            NaN            NaN
  1490.38        2500.00        25.5438       0.597482                 NaN            NaN            NaN   47.6372       0.457732        25.7637                 NaN            NaN            NaN            NaN            NaN
  1487.18        2500.00        25.1290       0.597773                 NaN            NaN            NaN   47.6686       0.450254        26.1544                 NaN            NaN            NaN            NaN            NaN
  1483.97        2500.00        24.7379       0.598052                 NaN            NaN            NaN   47.6982       0.442391        26.5235                 NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        24.1462       0.598502                 NaN            NaN            NaN   47.7425       0.443506        26.7275       0.341760                 NaN            NaN            NaN            NaN
  1477.56        2500.00        23.5014       0.599004                 NaN            NaN            NaN   47.7873       0.449521        26.8521       0.810699                 NaN            NaN            NaN            NaN
  1474.36        2500.00        22.8555       0.599507                 NaN            NaN            NaN   47.8321       0.455549        26.9770        1.28041                 NaN            NaN            NaN            NaN
  1471.15        2500.00        22.2688       0.599973                 NaN            NaN            NaN   47.8636       0.463989        27.0904        1.71319                 NaN            NaN            NaN            NaN
  1467.95        2500.00        21.6813       0.600440                 NaN            NaN            NaN   47.8952       0.472444        27.2040        2.14663                 NaN            NaN            NaN            NaN
  1464.74        2500.00        21.0929       0.600907                 NaN            NaN            NaN   47.9267       0.480914        27.3178        2.58073                 NaN            NaN            NaN            NaN
  1461.54        2500.00        20.5037       0.601373                 NaN            NaN            NaN   47.9583       0.489398        27.4317        3.01549                 NaN            NaN            NaN            NaN
  1458.33        2500.00        19.9638       0.601811                 NaN            NaN            NaN   47.9775       0.500323        27.5380        3.41854                 NaN            NaN            NaN            NaN
  1455.13        2500.00        19.4232       0.602248                 NaN            NaN            NaN   47.9966       0.511266        27.6445        3.82216                 NaN            NaN            NaN            NaN
  1451.92        2500.00        18.9102       0.602668                 NaN            NaN            NaN   48.0105       0.523250        27.7453        4.20798                 NaN            NaN            NaN            NaN
  1448.72        2500.00        18.2978       0.603160                 NaN            NaN            NaN   47.9768       0.557722        27.2585        4.51974       0.786257                 NaN            NaN            NaN
  1445.51        2500.00        18.2971       0.603172                 NaN            NaN            NaN   47.9771       0.557743        27.2588        4.51978       0.786268                 NaN            NaN            NaN
  1442.31        2500.00        18.2965       0.603184                 NaN            NaN            NaN   47.9774       0.557764        27.2591        4.51981       0.786278                 NaN            NaN            NaN
  1439.10        2500.00        18.2958       0.603197                 NaN            NaN            NaN   47.9777       0.557785        27.2594        4.51985       0.786288                 NaN            NaN            NaN
  1435.90        2500.00        16.3432       0.604782                 NaN            NaN            NaN   47.9341       0.640464        26.9405        1.74365        5.79328                 NaN            NaN            NaN
  1432.69        2500.00        16.3426       0.604793                 NaN            NaN            NaN   47.9344       0.640488        26.9408        1.74367        5.79332                 NaN            NaN            NaN
  1429.49        2500.00        15.4645       0.605527                 NaN            NaN            NaN   47.9015       0.682666        26.8577        6.36976        2.11825                 NaN            NaN            NaN
  1426.28        2500.00        15.0516       0.605882                 NaN            NaN            NaN   47.8837       0.703581        26.8295        6.64124        2.28445                 NaN            NaN            NaN
  1423.08        2500.00        14.6297       0.606218                 NaN            NaN            NaN   47.8752       0.722899        26.7968        2.45332        6.88910       0.267233E-001            NaN            NaN
  1419.87        2500.00        14.6293       0.606229                 NaN            NaN            NaN   47.8754       0.722925        26.7970        2.45335        6.88914       0.267251E-001            NaN            NaN
  1416.67        2500.00        14.6288       0.606239                 NaN            NaN            NaN   47.8755       0.722950        26.7972        2.45337        6.88918       0.267268E-001            NaN            NaN
  1413.46        2500.00        14.6283       0.606250                 NaN            NaN            NaN   47.8757       0.722976        26.7974        2.45340        6.88922       0.267286E-001            NaN            NaN
  1410.26        2500.00        12.6977       0.607180                 NaN            NaN            NaN   48.0703       0.756129        26.3804        3.36262        7.41116       0.714513                 NaN            NaN
  1407.05        2500.00        12.6973       0.607189                 NaN            NaN            NaN   48.0704       0.756154        26.3806        3.36266        7.41119       0.714559                 NaN            NaN
  1403.85        2500.00        12.6969       0.607199                 NaN            NaN            NaN   48.0705       0.756179        26.3807        3.36269        7.41122       0.714604                 NaN            NaN
  1400.64        2500.00        12.6965       0.607208                 NaN            NaN            NaN   48.0705       0.756205        26.3809        3.36272        7.41125       0.714649                 NaN            NaN
  1397.44        2500.00        12.6962       0.607217                 NaN            NaN            NaN   48.0706       0.756230        26.3810        3.36275        7.41128       0.714695                 NaN            NaN
