|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1549.83        2500.00        98.4700                 NaN  0.539709E-002  0.954075E-001   1.42924                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.4318                 NaN  0.540751E-002  0.149642        1.41320                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.4520                 NaN  0.527929E-002  0.148960        1.39378                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.4738                 NaN  0.518451E-002  0.143014        1.37798                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.4988                 NaN  0.503111E-002  0.144162        1.35203                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.5224                 NaN  0.488451E-002  0.144734        1.32796                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.5378                 NaN  0.484329E-002  0.134670       0.362960E-002   1.31906                 NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.5646                 NaN  0.466524E-002  0.135905        1.29485                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.5861                 NaN  0.451210E-002  0.138142        1.27121                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.6039                 NaN  0.441314E-002  0.132919        1.25877                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.6220                 NaN  0.433773E-002  0.126987        1.23958       0.705919E-002            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.6437                 NaN  0.419178E-002  0.128546        1.22361                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.6622                 NaN  0.406640E-002  0.127660        1.20609                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.6816                 NaN  0.394799E-002  0.126509        1.18796                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.6879                 NaN  0.396416E-002  0.109512        1.13840       0.602374E-001            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.7148                 NaN  0.374615E-002  0.122892       0.860519E-002   1.14996                 NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.7376                 NaN  0.360124E-002  0.123108        1.13573                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.7512                 NaN  0.349804E-002  0.125376        1.11997                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.7636                 NaN  0.346338E-002  0.113199        1.09966       0.200849E-001            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.7757                 NaN  0.340754E-002  0.106010       0.468190E-001   1.06806                 NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.7904                 NaN  0.331843E-002  0.103785        1.05094       0.515981E-001            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.7867                 NaN  0.329397E-002  0.104045        1.05639       0.495361E-001            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        98.8358                 NaN  0.310686E-002  0.970972E-001  0.998343       0.656870E-001            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.8329                 NaN  0.305308E-002  0.972557E-001   1.00187       0.649310E-001            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.8470                 NaN  0.295766E-002  0.950389E-001  0.678829E-001  0.987105                 NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.8598                 NaN  0.288042E-002  0.933558E-001  0.704423E-001  0.973538                 NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.8720                 NaN  0.280166E-002  0.911783E-001  0.958017       0.760398E-001            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.8859                 NaN  0.271350E-002  0.892497E-001  0.943165       0.790008E-001            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.8969                 NaN  0.263636E-002  0.873918E-001  0.817836E-001  0.931268                 NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.9104                 NaN  0.255350E-002  0.853165E-001  0.916701       0.849943E-001            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        99.3565                 NaN  0.157532E-002  0.499109E-001  0.538126       0.538397E-001            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.4957                 NaN  0.340820E-002  0.115678       0.128820        1.25643                 NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.9438                 NaN  0.232997E-002  0.800429E-001  0.879586       0.942182E-001            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.9547                 NaN  0.225213E-002  0.782890E-001  0.968179E-001  0.867913                 NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.9655                 NaN  0.219714E-002  0.765557E-001  0.855298       0.100498                 NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.9646                 NaN  0.224438E-002  0.588239E-001  0.807666       0.166647                 NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.9984                 NaN  0.192413E-002  0.894933E-001  0.866558       0.436414E-001            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.6854                 NaN  0.259401E-002  0.941084E-001  0.136171        1.08176                 NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.3170                 NaN  0.131280E-002  0.476812E-001  0.771738E-001  0.556828                 NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        99.0155                 NaN  0.181672E-002  0.752271E-001  0.972822E-001  0.810151                 NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        99.0270                 NaN  0.180367E-002  0.602494E-001  0.128313       0.782644                 NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        99.0339                 NaN  0.172502E-002  0.655779E-001  0.780733       0.118028                 NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.0427                 NaN  0.166249E-002  0.641204E-001  0.771774       0.119722                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        99.0503                 NaN  0.160417E-002  0.627156E-001  0.764184       0.121205                 NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        99.0602                 NaN  0.154557E-002  0.613262E-001  0.752926       0.124001                 NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        99.0690                 NaN  0.148377E-002  0.599387E-001  0.744181       0.125404                 NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.2856                 NaN  0.109535E-002  0.451089E-001  0.573059       0.951690E-001            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        98.8746                 NaN  0.169528E-002  0.707038E-001  0.158595       0.894357                 NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        99.0934                 NaN  0.131877E-002  0.559011E-001  0.718062       0.131364                 NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        99.0939                 NaN  0.126024E-002  0.540247E-001  0.132362       0.718493                 NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        99.1138                 NaN  0.121550E-002  0.539224E-001  0.696345       0.134715                 NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        99.1155                 NaN  0.116306E-002  0.524277E-001  0.694575       0.136319                 NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        97.9231                 NaN  0.257928E-002  0.121528       0.314517        1.63830                 NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.4711                 NaN  0.635550E-003  0.283035E-001  0.936202E-001  0.406370                 NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.1422                 NaN  0.969263E-003  0.475850E-001  0.141625       0.667618                 NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.1466                 NaN  0.917434E-003  0.469424E-001  0.142737       0.662841                 NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.1578                 NaN  0.877310E-003  0.450912E-001  0.652284       0.143899                 NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.1241                 NaN  0.979547E-003  0.247717E-001  0.663786       0.186334                 NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.2048                 NaN  0.720177E-003  0.631159E-001  0.101329       0.630078                 NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.1740                 NaN  0.745754E-003  0.421302E-001  0.147170       0.636001                 NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.1764                 NaN  0.732060E-003  0.301755E-001  0.623504       0.169195                 NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1871                 NaN  0.632521E-003  0.514653E-001  0.126587       0.634240                 NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.1880                 NaN  0.621935E-003  0.394625E-001  0.622234       0.149646                 NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        98.4283                 NaN  0.107292E-002  0.690341E-001  0.306386        1.19525                 NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.9784                 NaN  0.549815E-004  0.122289E-001  0.935249E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2084                 NaN  0.477772E-003  0.307414E-001  0.613883       0.146522                 NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.2111                 NaN  0.469056E-003  0.355464E-001  0.599752       0.153116                 NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.2154                 NaN  0.432034E-003  0.345757E-001  0.596329       0.153259                 NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.2180                 NaN  0.394270E-003  0.339696E-001  0.593592       0.154040                 NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.2264                 NaN  0.363528E-003  0.325479E-001  0.154965       0.585762                 NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.2316                 NaN  0.305656E-003  0.387805E-001  0.141942       0.587362                 NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.2287                 NaN  0.307823E-003  0.246135E-001  0.577869       0.168533                 NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.2410                 NaN  0.266034E-003  0.296889E-001  0.157492       0.571570                 NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.2419                 NaN  0.227089E-003  0.294437E-001  0.571978       0.156435                 NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.2450                 NaN  0.201815E-003  0.283163E-001  0.157961       0.568551                 NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.2467                 NaN  0.172459E-003  0.277648E-001  0.156798       0.568530                 NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.2560                 NaN  0.145566E-003  0.266112E-001  0.558064       0.159169                 NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.2569                 NaN  0.106953E-003  0.258978E-001  0.158778       0.558311                 NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.2626                 NaN  0.887473E-004  0.254889E-001  0.158791       0.553007                 NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.2648                 NaN  0.597341E-004  0.243999E-001  0.551519       0.159248                 NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.2674                 NaN  0.341965E-004  0.235702E-001  0.160411       0.548605                 NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.3089                 NaN            NaN  0.209344E-001  0.519117       0.151014                 NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.2345                 NaN  0.175741E-003  0.237425E-001  0.573105       0.168448                 NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.2157                 NaN            NaN  0.345357E-001  0.166157       0.547665                 NaN  0.359698E-001            NaN            NaN            NaN
  1422.83        2500.00        98.1761                 NaN            NaN  0.263151       0.218207       0.719406                 NaN  0.623092                 NaN            NaN            NaN
  1421.34        2500.00        98.0849                 NaN            NaN  0.285033       0.725735       0.221890                 NaN  0.682441                 NaN            NaN            NaN
  1419.84        2500.00        98.0888                 NaN            NaN  0.297834       0.191363       0.736090                 NaN  0.685869                 NaN            NaN            NaN
  1418.35        2500.00        98.1636                 NaN            NaN  0.286101       0.712526       0.181373                 NaN  0.656376                 NaN            NaN            NaN
  1416.86        2500.00        98.1739                 NaN            NaN  0.287854       0.713880       0.170856                 NaN  0.653521                 NaN            NaN            NaN
  1415.36        2500.00        98.1979                 NaN            NaN  0.287397       0.713204       0.155723                 NaN  0.645745                 NaN            NaN            NaN
  1413.87        2500.00        98.2281                 NaN            NaN  0.285818       0.706134       0.144783                 NaN  0.635133                 NaN            NaN            NaN
  1412.37        2500.00        98.2536                 NaN            NaN  0.285246       0.703818       0.130759                 NaN  0.626603                 NaN            NaN            NaN
  1410.88        2500.00        98.2774                 NaN            NaN  0.284266       0.116768       0.703289                 NaN  0.618270                 NaN            NaN            NaN
  1409.39        2500.00        98.3039                 NaN            NaN  0.283327       0.698856       0.104826                 NaN  0.609124                 NaN            NaN            NaN
  1407.89        2500.00        98.3290                 NaN            NaN  0.282221       0.695648       0.925311E-001            NaN  0.600553                 NaN            NaN            NaN
  1406.40        2500.00        98.3534                 NaN            NaN  0.281126       0.693753       0.796946E-001            NaN  0.592016                 NaN            NaN            NaN
  1404.90        2500.00        98.3772                 NaN            NaN  0.280181       0.691389       0.673125E-001            NaN  0.583941                 NaN            NaN            NaN
  1403.41        2500.00        98.3922                 NaN            NaN  0.281695       0.539314E-001  0.692729                 NaN  0.579460                 NaN            NaN            NaN
  1401.92        2500.00        98.4218                 NaN            NaN  0.276598       0.685178       0.490549E-001            NaN  0.567418                 NaN            NaN            NaN
  1400.42        2500.00        98.4517                 NaN            NaN  0.275324       0.681431       0.341355E-001            NaN  0.557438                 NaN            NaN            NaN
  1398.93        2500.00        98.4665                 NaN            NaN  0.275205       0.682794       0.229497E-001            NaN  0.552533                 NaN            NaN            NaN
  1397.43        2500.00        98.4873                 NaN            NaN  0.274447       0.681113       0.120149E-001            NaN  0.545124                 NaN            NaN            NaN
  1395.94        2500.00        98.5075                 NaN            NaN  0.272753       0.680114       0.165787E-002            NaN  0.537949                 NaN            NaN            NaN
  1394.45        2500.00        98.5293                 NaN            NaN  0.267785       0.672583       0.913476E-003            NaN  0.529390                 NaN            NaN            NaN
  1392.95        2500.00        98.5448                 NaN            NaN  0.263868       0.667979                 NaN            NaN  0.523328                 NaN            NaN            NaN
  1391.46        2500.00        98.5624                 NaN            NaN  0.263623       0.656707                 NaN            NaN  0.517236                 NaN            NaN            NaN
  1389.96        2500.00        98.5796                 NaN            NaN  0.251647       0.138421E-001  0.646319                 NaN  0.508621                 NaN            NaN            NaN
  1388.47        2500.00        98.5996                 NaN            NaN  0.260336       0.635881                 NaN            NaN  0.504198                 NaN            NaN            NaN
  1386.97        2500.00        98.6151                 NaN            NaN  0.251259       0.637243                 NaN            NaN  0.496403                 NaN            NaN            NaN
  1385.48        2500.00        98.6387                 NaN            NaN  0.254911       0.616963                 NaN            NaN  0.489438                 NaN            NaN            NaN
  1383.99        2500.00        98.6485                 NaN            NaN  0.244684       0.623508                 NaN            NaN  0.483325                 NaN            NaN            NaN
  1382.49        2500.00        98.6660                 NaN            NaN  0.245646       0.610790                 NaN            NaN  0.477573                 NaN            NaN            NaN
  1381.00        2500.00        98.6838                 NaN            NaN  0.237886       0.608666                 NaN            NaN  0.469615                 NaN            NaN            NaN
  1379.50        2500.00        98.6998                 NaN            NaN  0.239629       0.595766                 NaN            NaN  0.464850                 NaN            NaN            NaN
  1378.01        2500.00        98.7140                 NaN            NaN  0.230793       0.597700                 NaN            NaN  0.457509                 NaN            NaN            NaN
  1376.52        2500.00        98.7404                 NaN            NaN  0.213529       0.601729                 NaN            NaN  0.444358                 NaN            NaN            NaN
  1375.02        2500.00        98.7207                 NaN            NaN  0.240173       0.581160                 NaN            NaN  0.457946                 NaN            NaN            NaN
  1373.53        2500.00        98.7577                 NaN            NaN  0.223437       0.578490                 NaN            NaN  0.440419                 NaN            NaN            NaN
  1372.03        2500.00        98.7722                 NaN            NaN  0.220987       0.571612                 NaN            NaN  0.435226                 NaN            NaN            NaN
  1370.54        2500.00        98.7867                 NaN            NaN  0.218325       0.565329                 NaN            NaN  0.429679                 NaN            NaN            NaN
  1369.05        2500.00        98.7990                 NaN            NaN  0.216008       0.560329                 NaN            NaN  0.424679                 NaN            NaN            NaN
  1367.55        2500.00        98.8127                 NaN            NaN  0.211758       0.556575                 NaN            NaN  0.419009                 NaN            NaN            NaN
  1366.06        2500.00        98.8223                 NaN            NaN  0.204165       0.559400                 NaN            NaN  0.414184                 NaN            NaN            NaN
  1364.56        2500.00        98.8423                 NaN            NaN  0.209727       0.539811                 NaN            NaN  0.408204                 NaN            NaN            NaN
  1363.07        2500.00        98.8528                 NaN            NaN  0.205759       0.537874                 NaN            NaN  0.403567                 NaN            NaN            NaN
  1361.57        2500.00        98.8650                 NaN            NaN  0.200250       0.536577                 NaN            NaN  0.398147                 NaN            NaN            NaN
  1360.08        2500.00        98.8770                 NaN            NaN  0.203725       0.524723                 NaN            NaN  0.394563                 NaN            NaN            NaN
  1358.59        2500.00        98.8906                 NaN            NaN  0.198087       0.522545                 NaN            NaN  0.388792                 NaN            NaN            NaN
  1357.09        2500.00        98.9010                 NaN            NaN  0.195478       0.519294                 NaN            NaN  0.384260                 NaN            NaN            NaN
  1355.60        2500.00        98.9110                 NaN            NaN  0.197294       0.510478                 NaN            NaN  0.381201                 NaN            NaN            NaN
  1354.10        2500.00        98.8977                 NaN            NaN  0.182703       0.536366                 NaN            NaN  0.383197                 NaN            NaN            NaN
  1352.61        2500.00        98.9161                 NaN            NaN  0.190105       0.513736                 NaN            NaN  0.380030                 NaN            NaN            NaN
  1351.12        2500.00        98.9677                 NaN            NaN  0.182075       0.497323                 NaN            NaN  0.352854                 NaN            NaN            NaN
  1349.62        2500.00        98.9575                 NaN            NaN  0.180270       0.501288                 NaN            NaN  0.360942                 NaN            NaN            NaN
  1348.13        2500.00        98.9650                 NaN            NaN  0.176926       0.500498                 NaN            NaN  0.357622                 NaN            NaN            NaN
  1346.63        2500.00        98.9749                 NaN            NaN  0.174653       0.496829                 NaN            NaN  0.353612                 NaN            NaN            NaN
  1345.14        2500.00        98.9848                 NaN            NaN  0.171625       0.493881                 NaN            NaN  0.349682                 NaN            NaN            NaN
  1343.65        2500.00        98.9945                 NaN            NaN  0.168764       0.491370                 NaN            NaN  0.345321                 NaN            NaN            NaN
  1342.15        2500.00        99.0037                 NaN            NaN  0.166893       0.487618                 NaN            NaN  0.341749                 NaN            NaN            NaN
  1340.66        2500.00        99.0136                 NaN            NaN  0.163775       0.484960                 NaN            NaN  0.337681                 NaN            NaN            NaN
  1339.16        2500.00        99.0225                 NaN            NaN  0.160503       0.483203                 NaN            NaN  0.333821                 NaN            NaN            NaN
  1337.67        2500.00        99.0320                 NaN            NaN  0.158219       0.479671                 NaN            NaN  0.330153                 NaN            NaN            NaN
  1336.17        2500.00        99.0397                 NaN            NaN  0.155338       0.478453                 NaN            NaN  0.326542                 NaN            NaN            NaN
  1334.68        2500.00        98.9982                 NaN            NaN  0.146882       0.498221                 NaN            NaN  0.336998       0.197151E-001            NaN            NaN
  1333.19        2500.00        98.9503                 NaN            NaN  0.140925       0.516306                 NaN            NaN  0.349492       0.429357E-001            NaN            NaN
  1331.69        2500.00        98.9640                 NaN            NaN  0.138112       0.511162                 NaN            NaN  0.344725       0.419788E-001            NaN            NaN
  1330.20        2500.00        98.9772                 NaN            NaN  0.136696       0.504732                 NaN            NaN  0.340235       0.411222E-001            NaN            NaN
  1328.70        2500.00        98.9918                 NaN            NaN  0.135389       0.497223                 NaN            NaN  0.335334       0.402762E-001            NaN            NaN
  1327.21        2500.00        99.0046                 NaN            NaN  0.133786       0.491266                 NaN            NaN  0.330919       0.394661E-001            NaN            NaN
  1325.72        2500.00        99.0180                 NaN            NaN  0.131320       0.485965                 NaN            NaN  0.326109       0.385925E-001            NaN            NaN
  1324.22        2500.00        99.0314                 NaN            NaN  0.129661       0.479535                 NaN            NaN  0.321658       0.377869E-001            NaN            NaN
  1322.73        2500.00        99.0453                 NaN            NaN  0.127750       0.472822                 NaN            NaN  0.317147       0.369925E-001            NaN            NaN
  1321.23        2500.00        99.0572                 NaN            NaN  0.126895       0.466868                 NaN            NaN  0.312867       0.362121E-001            NaN            NaN
  1319.74        2500.00        99.0692                 NaN            NaN  0.123613       0.463368                 NaN            NaN  0.308494       0.353736E-001            NaN            NaN
  1318.25        2500.00        99.0810                 NaN            NaN  0.121586       0.458421                 NaN            NaN  0.304417       0.346052E-001            NaN            NaN
  1316.75        2500.00        99.0927                 NaN            NaN  0.119269       0.453912                 NaN            NaN  0.300301       0.338348E-001            NaN            NaN
  1315.26        2500.00        99.1044                 NaN            NaN  0.116834       0.449531                 NaN            NaN  0.296159       0.330582E-001            NaN            NaN
  1313.76        2500.00        99.1149                 NaN            NaN  0.114748       0.445725                 NaN            NaN  0.292343       0.323252E-001            NaN            NaN
  1312.27        2500.00        99.1272                 NaN            NaN  0.112896       0.440076                 NaN            NaN  0.288231       0.315971E-001            NaN            NaN
  1310.77        2500.00        99.1377                 NaN            NaN  0.110537       0.436438                 NaN            NaN  0.284457       0.308645E-001            NaN            NaN
  1309.28        2500.00        99.1487                 NaN            NaN  0.108849       0.431677                 NaN            NaN  0.280604       0.301866E-001            NaN            NaN
  1307.79        2500.00        99.1594                 NaN            NaN  0.106694       0.427483                 NaN            NaN  0.276869       0.295068E-001            NaN            NaN
  1306.29        2500.00        99.1696                 NaN            NaN  0.103238       0.425343                 NaN            NaN  0.273096       0.287350E-001            NaN            NaN
  1304.80        2500.00        99.1802                 NaN            NaN  0.101323       0.420951                 NaN            NaN  0.269448       0.280737E-001            NaN            NaN
  1303.30        2500.00        99.1898                 NaN            NaN  0.990828E-001  0.417680                 NaN            NaN  0.266031       0.273891E-001            NaN            NaN
  1301.81        2500.00        93.3838                 NaN            NaN  0.349105        1.47803                 NaN            NaN   1.04554       0.144442        3.59905                 NaN
  1300.32        2500.00        72.1370                 NaN            NaN   1.31538        5.40997                 NaN            NaN   3.90525       0.561024        16.6714                 NaN
  1298.82        2500.00        75.5541                 NaN            NaN   1.17109        4.83464                 NaN            NaN   3.44254       0.481157        14.5165                 NaN
  1297.33        2500.00        78.5154                 NaN            NaN   1.02883        4.34381                 NaN            NaN   3.04039       0.413426        12.6582                 NaN
  1295.83        2500.00        81.2043                 NaN            NaN  0.887698        3.89026                 NaN            NaN   2.67232       0.354366        10.9911                 NaN
  1294.34        2500.00        83.2031                 NaN            NaN  0.759174        3.56335                 NaN            NaN   2.39942       0.311016        9.76395                 NaN
  1292.85        2500.00        85.6895                 NaN            NaN  0.648875        3.10766                 NaN            NaN   2.05124       0.259905        8.24281                 NaN
  1291.35        2500.00        86.9950                 NaN            NaN  0.593341        2.81895                 NaN            NaN   1.87051       0.237181        7.48497                 NaN
  1289.86        2500.00        88.6264                 NaN            NaN  0.485428        2.56866                 NaN            NaN   1.64499       0.200913        6.47357                 NaN
  1288.36        2500.00        89.3840                 NaN            NaN  0.435113        2.44176                 NaN            NaN   1.54100       0.185580        6.01252                 NaN
  1286.87        2500.00        89.8301                 NaN            NaN  0.400690        2.39598                 NaN            NaN   1.47942       0.175112        5.71867                 NaN
  1285.38        2500.00        93.1982                 NaN            NaN  0.538267       0.885512                 NaN            NaN   1.06343       0.137675        4.17693                 NaN
  1283.88        2500.00        81.7483                 NaN            NaN  0.934513        3.55622                 NaN            NaN   2.75810       0.351103        10.6518                 NaN
