|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1467.66        2500.00        99.0137                 NaN  0.148151E-002  0.589295E-001  0.163540       0.762374                 NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0183                 NaN  0.140184E-002  0.581775E-001  0.164925       0.757215                 NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0307                 NaN  0.133963E-002  0.559582E-001  0.745647       0.166388                 NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        98.9929                 NaN  0.149506E-002  0.307663E-001  0.759188       0.215654                 NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.0819                 NaN  0.109886E-002  0.785258E-001  0.117329       0.721098                 NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.0477                 NaN  0.113713E-002  0.524535E-001  0.170515       0.728171                 NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.0509                 NaN  0.111554E-002  0.376023E-001  0.714198       0.196148                 NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.0611                 NaN  0.963344E-003  0.642004E-001  0.146839       0.726888                 NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0626                 NaN  0.946765E-003  0.492827E-001  0.713456       0.173708                 NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        98.1868                 NaN  0.163122E-002  0.862173E-001  0.355606        1.36977                 NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.9738                 NaN  0.837180E-004  0.153237E-001  0.107492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.0852                 NaN  0.726144E-003  0.385175E-001  0.705085       0.170445                 NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.0873                 NaN  0.712485E-003  0.445832E-001  0.689176       0.178221                 NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.0917                 NaN  0.655970E-003  0.434162E-001  0.685674       0.178517                 NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.0943                 NaN  0.598287E-003  0.427058E-001  0.682876       0.179552                 NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.1034                 NaN  0.551348E-003  0.409575E-001  0.180756       0.674300                 NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1085                 NaN  0.463332E-003  0.488557E-001  0.165680       0.676490                 NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1058                 NaN  0.466261E-003  0.310364E-001  0.665885       0.196842                 NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.1190                 NaN  0.402776E-003  0.374819E-001  0.184083       0.659040                 NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.1196                 NaN  0.343631E-003  0.372195E-001  0.659895       0.182979                 NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1226                 NaN  0.305151E-003  0.358304E-001  0.184903       0.656365                 NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.1241                 NaN  0.260619E-003  0.351609E-001  0.183691       0.656808                 NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.1345                 NaN  0.219876E-003  0.337503E-001  0.644978       0.186572                 NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.1350                 NaN  0.161496E-003  0.328871E-001  0.186246       0.645673                 NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1412                 NaN  0.133876E-003  0.323965E-001  0.186395       0.639913                 NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.1432                 NaN  0.900542E-004  0.310508E-001  0.638579       0.187059                 NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.1458                 NaN  0.515429E-004  0.300305E-001  0.188566       0.635599                 NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.1937                 NaN            NaN  0.267127E-001  0.601957       0.177675                 NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.1064                 NaN  0.264499E-003  0.303153E-001  0.664718       0.198261                 NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.0906                 NaN            NaN  0.441537E-001  0.195750       0.635697                 NaN  0.338349E-001            NaN            NaN            NaN
  1422.83        2500.00        97.9845                 NaN            NaN  0.336977       0.257182       0.835377                 NaN  0.585947                 NaN            NaN            NaN
  1421.34        2500.00        97.8868                 NaN            NaN  0.365770       0.843604       0.261821                 NaN  0.642002                 NaN            NaN            NaN
  1419.84        2500.00        97.8892                 NaN            NaN  0.382890       0.225994       0.856382                 NaN  0.645526                 NaN            NaN            NaN
  1418.35        2500.00        97.9683                 NaN            NaN  0.368886       0.830162       0.214516                 NaN  0.618097                 NaN            NaN            NaN
  1416.86        2500.00        97.9774                 NaN            NaN  0.371860       0.832724       0.202330                 NaN  0.615714                 NaN            NaN            NaN
  1415.36        2500.00        98.0015                 NaN            NaN  0.372122       0.833013       0.184654                 NaN  0.608709                 NaN            NaN            NaN
  1413.87        2500.00        98.0325                 NaN            NaN  0.370925       0.825643       0.171881                 NaN  0.599036                 NaN            NaN            NaN
  1412.37        2500.00        98.0582                 NaN            NaN  0.371035       0.824015       0.155427                 NaN  0.591324                 NaN            NaN            NaN
  1410.88        2500.00        98.0820                 NaN            NaN  0.370666       0.138981       0.824510                 NaN  0.583798                 NaN            NaN            NaN
  1409.39        2500.00        98.1089                 NaN            NaN  0.370260       0.820357       0.124928                 NaN  0.575507                 NaN            NaN            NaN
  1407.89        2500.00        98.1346                 NaN            NaN  0.369651       0.817563       0.110408                 NaN  0.567759                 NaN            NaN            NaN
  1406.40        2500.00        98.1593                 NaN            NaN  0.369049       0.816415       0.952156E-001            NaN  0.560040                 NaN            NaN            NaN
  1404.90        2500.00        98.1834                 NaN            NaN  0.368580       0.814736       0.805290E-001            NaN  0.552758                 NaN            NaN            NaN
  1403.41        2500.00        98.1977                 NaN            NaN  0.371608       0.645955E-001  0.817236                 NaN  0.548876                 NaN            NaN            NaN
  1401.92        2500.00        98.2280                 NaN            NaN  0.365830       0.809529       0.588386E-001            NaN  0.537836                 NaN            NaN            NaN
  1400.42        2500.00        98.2594                 NaN            NaN  0.364706       0.806154       0.409954E-001            NaN  0.528747                 NaN            NaN            NaN
  1398.93        2500.00        98.2736                 NaN            NaN  0.365412       0.808952       0.276003E-001            NaN  0.524459                 NaN            NaN            NaN
  1397.43        2500.00        98.2945                 NaN            NaN  0.365276       0.807928       0.144672E-001            NaN  0.517798                 NaN            NaN            NaN
  1395.94        2500.00        98.3150                 NaN            NaN  0.363782       0.807879       0.199891E-002            NaN  0.511357                 NaN            NaN            NaN
  1394.45        2500.00        98.3371                 NaN            NaN  0.358033       0.800169       0.110293E-002            NaN  0.503596                 NaN            NaN            NaN
  1392.95        2500.00        98.3524                 NaN            NaN  0.353573       0.795829                 NaN            NaN  0.498204                 NaN            NaN            NaN
  1391.46        2500.00        98.3698                 NaN            NaN  0.354128       0.783253                 NaN            NaN  0.492782                 NaN            NaN            NaN
  1389.96        2500.00        98.3873                 NaN            NaN  0.338738       0.167797E-001  0.772210                 NaN  0.484950                 NaN            NaN            NaN
  1388.47        2500.00        98.4073                 NaN            NaN  0.351324       0.760239                 NaN            NaN  0.481114                 NaN            NaN            NaN
  1386.97        2500.00        98.4228                 NaN            NaN  0.339711       0.763437                 NaN            NaN  0.474054                 NaN            NaN            NaN
  1385.48        2500.00        98.4474                 NaN            NaN  0.345437       0.739413                 NaN            NaN  0.467787                 NaN            NaN            NaN
  1383.99        2500.00        98.4562                 NaN            NaN  0.332399       0.749068                 NaN            NaN  0.462320                 NaN            NaN            NaN
  1382.49        2500.00        98.4740                 NaN            NaN  0.334465       0.734300                 NaN            NaN  0.457200                 NaN            NaN            NaN
  1381.00        2500.00        98.4922                 NaN            NaN  0.324641       0.733196                 NaN            NaN  0.449959                 NaN            NaN            NaN
  1379.50        2500.00        98.5083                 NaN            NaN  0.327745       0.718231                 NaN            NaN  0.445774                 NaN            NaN            NaN
  1378.01        2500.00        98.5225                 NaN            NaN  0.316316       0.722034                 NaN            NaN  0.439110                 NaN            NaN            NaN
  1376.52        2500.00        98.5518                 NaN            NaN  0.293334       0.727990                 NaN            NaN  0.426854                 NaN            NaN            NaN
  1375.02        2500.00        98.5245                 NaN            NaN  0.330791       0.704470                 NaN            NaN  0.440277                 NaN            NaN            NaN
  1373.53        2500.00        98.5660                 NaN            NaN  0.308376       0.701784                 NaN            NaN  0.423822                 NaN            NaN            NaN
  1372.03        2500.00        98.5808                 NaN            NaN  0.305625       0.694337                 NaN            NaN  0.419200                 NaN            NaN            NaN
  1370.54        2500.00        98.5955                 NaN            NaN  0.302614       0.687619                 NaN            NaN  0.414230                 NaN            NaN            NaN
  1369.05        2500.00        98.6076                 NaN            NaN  0.300062       0.682571                 NaN            NaN  0.409782                 NaN            NaN            NaN
  1367.55        2500.00        98.6215                 NaN            NaN  0.294835       0.678991                 NaN            NaN  0.404682                 NaN            NaN            NaN
  1366.06        2500.00        98.6310                 NaN            NaN  0.284828       0.683756                 NaN            NaN  0.400390                 NaN            NaN            NaN
  1364.56        2500.00        98.6516                 NaN            NaN  0.293316       0.660147                 NaN            NaN  0.394980                 NaN            NaN            NaN
  1363.07        2500.00        98.6619                 NaN            NaN  0.288368       0.658851                 NaN            NaN  0.390860                 NaN            NaN            NaN
  1361.57        2500.00        98.6744                 NaN            NaN  0.281191       0.658398                 NaN            NaN  0.385976                 NaN            NaN            NaN
  1360.08        2500.00        98.6859                 NaN            NaN  0.286790       0.644414                 NaN            NaN  0.382866                 NaN            NaN            NaN
  1358.59        2500.00        98.7002                 NaN            NaN  0.279414       0.642790                 NaN            NaN  0.377631                 NaN            NaN            NaN
  1357.09        2500.00        98.7103                 NaN            NaN  0.276391       0.639734                 NaN            NaN  0.373590                 NaN            NaN            NaN
  1355.60        2500.00        98.7200                 NaN            NaN  0.279570       0.629490                 NaN            NaN  0.370978                 NaN            NaN            NaN
  1354.10        2500.00        98.7038                 NaN            NaN  0.259342       0.663589                 NaN            NaN  0.373277                 NaN            NaN            NaN
  1352.61        2500.00        98.7221                 NaN            NaN  0.271503       0.635853                 NaN            NaN  0.370564                 NaN            NaN            NaN
  1351.12        2500.00        98.7797                 NaN            NaN  0.259558       0.616274                 NaN            NaN  0.344424                 NaN            NaN            NaN
  1349.62        2500.00        98.7675                 NaN            NaN  0.257588       0.622239                 NaN            NaN  0.352662                 NaN            NaN            NaN
  1348.13        2500.00        98.7746                 NaN            NaN  0.253366       0.622294                 NaN            NaN  0.349766                 NaN            NaN            NaN
  1346.63        2500.00        98.7845                 NaN            NaN  0.250668       0.618598                 NaN            NaN  0.346192                 NaN            NaN            NaN
  1345.14        2500.00        98.7946                 NaN            NaN  0.246785       0.615940                 NaN            NaN  0.342690                 NaN            NaN            NaN
  1343.65        2500.00        98.8044                 NaN            NaN  0.243206       0.613664                 NaN            NaN  0.338760                 NaN            NaN            NaN
  1342.15        2500.00        98.8135                 NaN            NaN  0.241046       0.609831                 NaN            NaN  0.335597                 NaN            NaN            NaN
  1340.66        2500.00        98.8236                 NaN            NaN  0.237010       0.607452                 NaN            NaN  0.331943                 NaN            NaN            NaN
  1339.16        2500.00        98.8325                 NaN            NaN  0.232755       0.606221                 NaN            NaN  0.328485                 NaN            NaN            NaN
  1337.67        2500.00        98.8422                 NaN            NaN  0.229896       0.602667                 NaN            NaN  0.325211                 NaN            NaN            NaN
  1336.17        2500.00        98.8497                 NaN            NaN  0.226215       0.602077                 NaN            NaN  0.321985                 NaN            NaN            NaN
  1334.68        2500.00        98.7919                 NaN            NaN  0.214277       0.627916                 NaN            NaN  0.332631       0.332925E-001            NaN            NaN
  1333.19        2500.00        98.7245                 NaN            NaN  0.206069       0.651467                 NaN            NaN  0.345359       0.725895E-001            NaN            NaN
  1331.69        2500.00        98.7392                 NaN            NaN  0.202426       0.646168                 NaN            NaN  0.341110       0.710694E-001            NaN            NaN
  1330.20        2500.00        98.7532                 NaN            NaN  0.200846       0.639097                 NaN            NaN  0.337124       0.697149E-001            NaN            NaN
  1328.70        2500.00        98.7690                 NaN            NaN  0.199367       0.630557                 NaN            NaN  0.332720       0.683747E-001            NaN            NaN
  1327.21        2500.00        98.7827                 NaN            NaN  0.197442       0.624016                 NaN            NaN  0.328783       0.670915E-001            NaN            NaN
  1325.72        2500.00        98.7973                 NaN            NaN  0.194221       0.618346                 NaN            NaN  0.324443       0.656966E-001            NaN            NaN
  1324.22        2500.00        98.8118                 NaN            NaN  0.192202       0.611150                 NaN            NaN  0.320447       0.644134E-001            NaN            NaN
  1322.73        2500.00        98.8272                 NaN            NaN  0.189775       0.603528                 NaN            NaN  0.316380       0.631457E-001            NaN            NaN
  1321.23        2500.00        98.8397                 NaN            NaN  0.188935       0.596931                 NaN            NaN  0.312530       0.618977E-001            NaN            NaN
  1319.74        2500.00        98.8529                 NaN            NaN  0.184447       0.593482                 NaN            NaN  0.308575       0.605471E-001            NaN            NaN
  1318.25        2500.00        98.8658                 NaN            NaN  0.181829       0.588152                 NaN            NaN  0.304905       0.593123E-001            NaN            NaN
  1316.75        2500.00        98.8786                 NaN            NaN  0.178760       0.583357                 NaN            NaN  0.301184       0.580704E-001            NaN            NaN
  1315.26        2500.00        98.8916                 NaN            NaN  0.175477       0.578686                 NaN            NaN  0.297426       0.568143E-001            NaN            NaN
  1313.76        2500.00        98.9029                 NaN            NaN  0.172722       0.574809                 NaN            NaN  0.293983       0.556294E-001            NaN            NaN
  1312.27        2500.00        98.9166                 NaN            NaN  0.170287       0.568431                 NaN            NaN  0.290233       0.544495E-001            NaN            NaN
  1310.77        2500.00        98.9281                 NaN            NaN  0.167088       0.564701                 NaN            NaN  0.286810       0.532583E-001            NaN            NaN
  1309.28        2500.00        98.9403                 NaN            NaN  0.164871       0.559414                 NaN            NaN  0.283297       0.521581E-001            NaN            NaN
  1307.79        2500.00        98.9522                 NaN            NaN  0.161947       0.554887                 NaN            NaN  0.279893       0.510513E-001            NaN            NaN
  1306.29        2500.00        98.9637                 NaN            NaN  0.157013       0.553117                 NaN            NaN  0.276438       0.497817E-001            NaN            NaN
  1304.80        2500.00        98.9755                 NaN            NaN  0.154413       0.548269                 NaN            NaN  0.273099       0.487002E-001            NaN            NaN
  1303.30        2500.00        98.9862                 NaN            NaN  0.151303       0.544977                 NaN            NaN  0.269984       0.475750E-001            NaN            NaN
  1301.81        2500.00        92.8461                 NaN            NaN  0.532578        1.92386                 NaN            NaN   1.05800       0.250173        3.38930                 NaN
  1300.32        2500.00        70.7307                 NaN            NaN   1.98954        6.95353                 NaN            NaN   3.89499       0.957745        15.4735                 NaN
  1298.82        2500.00        74.2199                 NaN            NaN   1.78289        6.23794                 NaN            NaN   3.43961       0.822877        13.4968                 NaN
  1297.33        2500.00        77.2528                 NaN            NaN   1.57606        5.62767                 NaN            NaN   3.04372       0.708437        11.7913                 NaN
  1295.83        2500.00        80.0203                 NaN            NaN   1.36758        5.06165                 NaN            NaN   2.68122       0.608601        10.2607                 NaN
  1294.34        2500.00        82.0866                 NaN            NaN   1.17509        4.65689                 NaN            NaN   2.41254       0.535298        9.13360                 NaN
  1292.85        2500.00        84.6633                 NaN            NaN   1.01008        4.07840                 NaN            NaN   2.06808       0.448559        7.73153                 NaN
  1291.35        2500.00        86.0254                 NaN            NaN  0.927370        3.71062                 NaN            NaN   1.89013       0.410274        7.03619                 NaN
  1289.86        2500.00        87.7248                 NaN            NaN  0.761920        3.39761                 NaN            NaN   1.66652       0.348439        6.10069                 NaN
  1288.36        2500.00        88.5081                 NaN            NaN  0.685665        3.24122                 NaN            NaN   1.56450       0.322541        5.67802                 NaN
  1286.87        2500.00        88.9526                 NaN            NaN  0.633703        3.19234                 NaN            NaN   1.50507       0.304978        5.41127                 NaN
  1285.38        2500.00        92.6608                 NaN            NaN  0.854546        1.18299                 NaN            NaN   1.08765       0.241064        3.97295                 NaN
  1283.88        2500.00        80.3295                 NaN            NaN   1.47559        4.72809                 NaN            NaN   2.80001       0.610225        10.0566                 NaN
