|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1444.19        2500.00       0.479958E-003   99.3361                 NaN  0.201704       0.461676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.450829E-003   99.3394                 NaN  0.459099       0.201070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.424644E-003   99.3416                 NaN  0.199701       0.458261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.384082E-003   99.3439                 NaN  0.456902       0.198807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.371339E-003   99.3488                 NaN  0.198479       0.452310                 NaN            NaN  0.118539E-005            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.346570E-003   99.3512                 NaN  0.196785       0.451709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.321667E-003   99.3530                 NaN  0.450752       0.195957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.287075E-003   99.3558                 NaN  0.195036       0.448828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.284055E-003   99.3588                 NaN  0.194095       0.446821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.273240E-003   99.3354                 NaN  0.463667       0.200631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.204362E-003   99.3884                 NaN  0.426414       0.184983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.576553E-003   99.0798                 NaN  0.446945       0.337913                 NaN            NaN            NaN            NaN  0.134770                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.4039                 NaN  0.682193       0.459477                 NaN            NaN            NaN            NaN  0.454422                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.3841                 NaN  0.523147       0.463840                 NaN            NaN  0.146381                 NaN  0.482541                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3776                 NaN  0.564718       0.317571                 NaN            NaN  0.241320                 NaN  0.498837                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.3991                 NaN  0.559428       0.308559                 NaN            NaN  0.240676                 NaN  0.492204                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4195                 NaN  0.299397       0.554181                 NaN            NaN  0.240667                 NaN  0.486266                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.4395                 NaN  0.549666       0.291198                 NaN            NaN  0.239599                 NaN  0.480007                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4565                 NaN  0.546244       0.281898                 NaN            NaN  0.240251                 NaN  0.475098                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4830                 NaN  0.539252       0.273090                 NaN            NaN  0.237928                 NaN  0.466747                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4982                 NaN  0.536585       0.264171                 NaN            NaN  0.238574                 NaN  0.462441                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5173                 NaN  0.531465       0.256585                 NaN            NaN  0.237976                 NaN  0.456657                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.5348                 NaN  0.247575       0.528846                 NaN            NaN  0.237572                 NaN  0.451161                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5526                 NaN  0.524993       0.239303                 NaN            NaN  0.237282                 NaN  0.445802                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5637                 NaN  0.229584       0.525651                 NaN            NaN  0.238310                 NaN  0.442742                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5914                 NaN  0.224196       0.515783                 NaN            NaN  0.234997                 NaN  0.433650                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.5963                 NaN  0.215757       0.517503                 NaN            NaN  0.237694                 NaN  0.432773                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6250                 NaN  0.209374       0.508095                 NaN            NaN  0.234144                 NaN  0.423357                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.6346                 NaN  0.507894       0.201441                 NaN            NaN  0.235257                 NaN  0.420834                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.6499                 NaN  0.194370       0.504857                 NaN            NaN  0.234870                 NaN  0.416052                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.6669                 NaN  0.187883       0.499911                 NaN            NaN  0.234363                 NaN  0.410955                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6809                 NaN  0.180465       0.498174                 NaN            NaN  0.233997                 NaN  0.406470                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6937                 NaN  0.496514       0.173570                 NaN            NaN  0.233724                 NaN  0.402524                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.7110                 NaN  0.167450       0.491445                 NaN            NaN  0.232829                 NaN  0.397271                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.7247                 NaN  0.488755       0.160606                 NaN            NaN  0.232804                 NaN  0.393128                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7210                 NaN  0.137380       0.493652                 NaN            NaN  0.250201                 NaN  0.397803                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7723                 NaN  0.473540       0.164940                 NaN            NaN  0.214052                 NaN  0.375205                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.7654                 NaN  0.481885       0.141115                 NaN            NaN  0.231129                 NaN  0.380450                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7767                 NaN  0.133508       0.480814                 NaN            NaN  0.231648                 NaN  0.377344                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7687                 NaN  0.482008       0.135224                 NaN            NaN  0.233608                 NaN  0.380447                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8252                 NaN  0.469219       0.118830                 NaN            NaN  0.226269                 NaN  0.360516                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.6456                 NaN  0.135022       0.537025                 NaN            NaN  0.264426                 NaN  0.417934                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9993                 NaN  0.402130       0.958156E-001            NaN            NaN  0.194851                 NaN  0.307903                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.8402                 NaN  0.466669       0.108777                 NaN            NaN  0.227468                 NaN  0.356914                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8520                 NaN  0.101935       0.464905                 NaN            NaN  0.227708                 NaN  0.353464                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8630                 NaN  0.463246       0.965197E-001            NaN            NaN  0.227282                 NaN  0.349995                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.8747                 NaN  0.911431E-001  0.461151                 NaN            NaN  0.226614                 NaN  0.346426                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8835                 NaN  0.459068       0.870607E-001            NaN            NaN  0.226726                 NaN  0.343612                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.8978                 NaN  0.456130       0.831145E-001            NaN            NaN  0.224250                 NaN  0.338750                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9042                 NaN  0.784364E-001  0.455718                 NaN            NaN  0.224749                 NaN  0.336924                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.9181                 NaN  0.454991       0.710176E-001            NaN            NaN  0.223614                 NaN  0.332319                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.9019                 NaN  0.369112       0.224994                 NaN            NaN  0.173486                 NaN  0.330480                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.9505                 NaN  0.482724                 NaN            NaN            NaN  0.241931                 NaN  0.324799                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9580                 NaN  0.474920                 NaN            NaN            NaN  0.244034                 NaN  0.323084                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9619                 NaN  0.460447       0.286118E-001            NaN            NaN  0.229426                 NaN  0.319604                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9669                 NaN  0.445733       0.509362E-001            NaN            NaN  0.219765                 NaN  0.316686                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9776                 NaN  0.444255       0.451338E-001            NaN            NaN  0.219476                 NaN  0.313509                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9870                 NaN  0.441509       0.430936E-001            NaN            NaN  0.218143                 NaN  0.310221                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9962                 NaN  0.440608       0.391548E-001            NaN            NaN  0.216871                 NaN  0.307193                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0039                 NaN  0.339576E-001  0.440723                 NaN            NaN  0.216634                 NaN  0.304743                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0145                 NaN  0.316404E-001  0.437657                 NaN            NaN  0.214895                 NaN  0.301286                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.0234                 NaN  0.436630       0.272812E-001            NaN            NaN  0.214160                 NaN  0.298481                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0328                 NaN  0.435972       0.227287E-001            NaN            NaN  0.213115                 NaN  0.295431                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.0407                 NaN  0.203664E-001  0.434220                 NaN            NaN  0.211986                 NaN  0.292693                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0497                 NaN  0.431884       0.172937E-001            NaN            NaN  0.211045                 NaN  0.290039                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0575                 NaN  0.432543       0.131260E-001            NaN            NaN  0.209767                 NaN  0.287089                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0653                 NaN  0.430461       0.114538E-001            NaN            NaN  0.208378                 NaN  0.284450                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0746                 NaN  0.611088E-002  0.429052                 NaN            NaN  0.208399                 NaN  0.281836                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0809                 NaN  0.786908E-002  0.426980                 NaN            NaN  0.205191                 NaN  0.279031                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0891                 NaN  0.421961E-002  0.425474                 NaN            NaN  0.204701                 NaN  0.276495                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0941                 NaN  0.182790E-001  0.416197                 NaN            NaN  0.197432                 NaN  0.273946                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1019                 NaN  0.418515                 NaN            NaN            NaN  0.206602                 NaN  0.273030                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1033                 NaN  0.105215       0.359513                 NaN            NaN  0.165499                 NaN  0.266477                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1186                 NaN  0.415884                 NaN            NaN            NaN  0.199116                 NaN  0.266442                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1263                 NaN  0.410465                 NaN            NaN            NaN  0.199220                 NaN  0.264053                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.1314                 NaN  0.412839                 NaN            NaN            NaN  0.194099                 NaN  0.261613                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0761                 NaN  0.435534                 NaN            NaN            NaN  0.208367                 NaN  0.280032                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.2119                 NaN  0.379397                 NaN            NaN            NaN  0.173587                 NaN  0.235112                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1532                 NaN  0.404818                 NaN            NaN            NaN  0.187891                 NaN  0.254068                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1579                 NaN  0.403341                 NaN            NaN            NaN  0.186381                 NaN  0.252369                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1658                 NaN  0.398888                 NaN            NaN            NaN  0.185689                 NaN  0.249597                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.1722                 NaN  0.399953                 NaN            NaN            NaN  0.180713                 NaN  0.247115                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.2227                 NaN  0.371121                 NaN            NaN            NaN  0.173294                 NaN  0.232839                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1409                 NaN  0.416019                 NaN            NaN            NaN  0.187840                 NaN  0.255252                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1852                 NaN  0.387231       0.188929E-001            NaN            NaN  0.167251                 NaN  0.241402                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1968                 NaN  0.393392                 NaN            NaN            NaN  0.171937                 NaN  0.237865                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2032                 NaN  0.386554                 NaN            NaN            NaN  0.173811                 NaN  0.236390                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1988                 NaN  0.350034       0.690352E-001            NaN            NaN  0.147595                 NaN  0.234565                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.2148                 NaN  0.386340                 NaN            NaN            NaN  0.167106                 NaN  0.231743                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2196                 NaN  0.389185                 NaN            NaN            NaN  0.161194                 NaN  0.229991                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2250                 NaN  0.384003                 NaN            NaN            NaN  0.163073                 NaN  0.227875                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.2301                 NaN  0.386988                 NaN            NaN            NaN  0.156862                 NaN  0.226008                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.2363                 NaN  0.381561                 NaN            NaN            NaN  0.158243                 NaN  0.223886                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.2426                 NaN  0.375345                 NaN            NaN            NaN  0.159901                 NaN  0.222112                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.2481                 NaN  0.376228                 NaN            NaN            NaN  0.155588                 NaN  0.220055                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2530                 NaN  0.374797                 NaN            NaN            NaN  0.154104                 NaN  0.218137                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.2571                 NaN  0.375537                 NaN            NaN            NaN  0.150910                 NaN  0.216431                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.2640                 NaN  0.372467                 NaN            NaN            NaN  0.149276                 NaN  0.214251                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.2702                 NaN  0.364597                 NaN            NaN            NaN  0.152594                 NaN  0.212595                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2679                 NaN  0.386788                 NaN            NaN            NaN  0.134126                 NaN  0.211188                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2779                 NaN  0.371945                 NaN            NaN            NaN  0.141363                 NaN  0.208798                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2830                 NaN  0.369798                 NaN            NaN            NaN  0.140082                 NaN  0.207137                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2875                 NaN  0.365768                 NaN            NaN            NaN  0.141108                 NaN  0.205639                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2918                 NaN  0.369086                 NaN            NaN            NaN  0.135302                 NaN  0.203786                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2968                 NaN  0.366695                 NaN            NaN            NaN  0.134453                 NaN  0.202094                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3015                 NaN  0.364718                 NaN            NaN            NaN  0.133319                 NaN  0.200494                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3060                 NaN  0.365709                 NaN            NaN            NaN  0.129583                 NaN  0.198708                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.3087                 NaN  0.368093                 NaN            NaN            NaN  0.125882                 NaN  0.197360                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3157                 NaN  0.361841                 NaN            NaN            NaN  0.127056                 NaN  0.195363                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.3162                 NaN  0.370282                 NaN            NaN            NaN  0.119172                 NaN  0.194324                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3234                 NaN  0.360271                 NaN            NaN            NaN  0.123804                 NaN  0.192489                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.3269                 NaN  0.363592                 NaN            NaN            NaN  0.118647                 NaN  0.190878                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.3279                 NaN  0.372533                 NaN            NaN            NaN  0.109877                 NaN  0.189739                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.3326                 NaN  0.369198                 NaN            NaN            NaN  0.109931                 NaN  0.188229                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.3372                 NaN  0.368146                 NaN            NaN            NaN  0.107911                 NaN  0.186699                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.3420                 NaN  0.362814                 NaN            NaN            NaN  0.109992                 NaN  0.185241                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.3427                 NaN  0.372478                 NaN            NaN            NaN  0.100522                 NaN  0.184344                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.3496                 NaN  0.365732                 NaN            NaN            NaN  0.102451                 NaN  0.182188                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.3529                 NaN  0.363650                 NaN            NaN            NaN  0.102217                 NaN  0.181252                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   94.7798                 NaN   1.43735                 NaN            NaN            NaN  0.363522                 NaN  0.747833        2.67151                 NaN            NaN
  1305.38        2500.00                 NaN   89.5276                 NaN   2.63435                 NaN            NaN            NaN  0.700644                 NaN   1.39806        5.73935                 NaN            NaN
  1304.22        2500.00                 NaN   90.0299                 NaN   2.53218                 NaN            NaN            NaN  0.667975                 NaN   1.33585        5.43413                 NaN            NaN
  1303.07        2500.00                 NaN   90.4499                 NaN   2.53713                 NaN            NaN            NaN  0.570167                 NaN   1.28482        5.15799                 NaN            NaN
  1301.91        2500.00                 NaN   90.9415                 NaN   2.38758                 NaN            NaN            NaN  0.575995                 NaN   1.22241        4.87254                 NaN            NaN
  1300.75        2500.00                 NaN   91.3073                 NaN   2.31025                 NaN            NaN            NaN  0.554214                 NaN   1.17742        4.65081                 NaN            NaN
  1299.60        2500.00                 NaN   88.4195                 NaN   2.94748                 NaN            NaN            NaN  0.702292                 NaN   1.55900        6.17635       0.195407                 NaN
  1298.44        2500.00                 NaN   82.5707                 NaN   4.19372                 NaN            NaN            NaN   1.05533                 NaN   2.32128        9.27953       0.579423                 NaN
  1297.28        2500.00                 NaN   83.6646                 NaN   3.90069                 NaN            NaN            NaN   1.05804                 NaN   2.17796        8.66059       0.538139                 NaN
  1296.13        2500.00                 NaN   84.8112                 NaN   3.64415                 NaN            NaN            NaN   1.00891                 NaN   2.02733        8.01435       0.494116                 NaN
  1294.97        2500.00                 NaN   85.8754                 NaN   3.41371                 NaN            NaN            NaN  0.953290                 NaN   1.88767        7.41666       0.453277                 NaN
  1293.81        2500.00                 NaN   86.8675                 NaN   3.20157                 NaN            NaN            NaN  0.893540                 NaN   1.75752        6.86395       0.415949                 NaN
  1292.66        2500.00                 NaN   87.7727                 NaN   3.01188                 NaN            NaN            NaN  0.832270                 NaN   1.63847        6.36237       0.382331                 NaN
  1291.50        2500.00                 NaN   88.5806                 NaN   2.84280                 NaN            NaN            NaN  0.776151                 NaN   1.53224        5.91563       0.352618                 NaN
  1290.34        2500.00                 NaN   89.2007                 NaN   2.72386                 NaN            NaN            NaN  0.722346                 NaN   1.45035        5.57329       0.329423                 NaN
  1289.19        2500.00                 NaN   89.7075                 NaN   2.57777                 NaN            NaN            NaN  0.722728                 NaN   1.38694        5.29184       0.313195                 NaN
  1288.03        2500.00                 NaN   87.3438                 NaN   3.51281                 NaN            NaN            NaN  0.520159                 NaN   1.73065        6.52265       0.369884                 NaN
  1286.87        2500.00                 NaN   91.7429                 NaN   2.34434                 NaN            NaN            NaN  0.140487       0.190145        1.07787        4.24610       0.258110                 NaN
  1285.72        2500.00                 NaN   83.9221                 NaN   4.54058                 NaN            NaN            NaN  0.404576       0.346893        2.27100        8.08197       0.432889                 NaN
  1284.56        2500.00                 NaN   99.4904                 NaN  0.153713                 NaN            NaN            NaN            NaN            NaN            NaN  0.344749       0.110981E-001            NaN
  1283.40        2500.00                 NaN   92.3930                 NaN   2.05915                 NaN            NaN            NaN  0.427637                 NaN   1.05528        3.85497       0.209996                 NaN
  1282.25        2500.00                 NaN   94.9748                 NaN   1.27846                 NaN            NaN            NaN  0.430840                 NaN  0.681633        2.48922       0.145034                 NaN
  1281.09        2500.00                 NaN   93.2775                 NaN   2.17579                 NaN            NaN            NaN  0.352710                 NaN  0.873156        3.15795       0.162924                 NaN
  1279.93        2500.00                 NaN   95.9243                 NaN   1.25505                 NaN            NaN            NaN  0.232894                 NaN  0.535228        1.94053       0.111970                 NaN
  1278.77        2500.00                 NaN   93.5583                 NaN   1.80722                 NaN            NaN            NaN  0.358852                 NaN  0.872200        3.22618       0.177272                 NaN
  1277.62        2500.00                 NaN   94.0780                 NaN   1.70358                 NaN            NaN            NaN  0.327158                 NaN  0.798719        2.93412       0.158463                 NaN
  1276.46        2500.00                 NaN   86.7912                 NaN   3.50551                 NaN            NaN            NaN  0.867421                 NaN   1.80349        6.64164       0.390735                 NaN
  1275.30        2500.00                 NaN   99.3166                 NaN  0.210862                 NaN            NaN            NaN  0.411411E-001            NaN  0.827454E-001  0.335297       0.133080E-001            NaN
  1274.15        2500.00                 NaN   94.0692                 NaN   1.75383                 NaN            NaN            NaN  0.329019                 NaN  0.812656        2.88035       0.154933                 NaN
  1272.99        2500.00                 NaN   89.1243                 NaN   2.60590                 NaN            NaN            NaN  0.605035                 NaN   1.49584        5.83053       0.338429                 NaN
  1271.83        2500.00                 NaN   99.5488                 NaN  0.442072                 NaN            NaN            NaN            NaN            NaN            NaN  0.910622E-002            NaN            NaN
  1270.68        2500.00                 NaN   98.3613                 NaN  0.651013                 NaN            NaN            NaN            NaN            NaN  0.203804       0.736011       0.479146E-001            NaN
  1269.52        2500.00                 NaN   59.8777        30.1399       0.854543                 NaN            NaN            NaN   1.39293                 NaN   1.38039        6.05284       0.301669                 NaN
  1268.36        2500.00                 NaN   98.2011                 NaN  0.530098       0.973411                 NaN            NaN            NaN            NaN  0.280530                 NaN  0.148294E-001            NaN
  1267.21        2500.00                 NaN   96.0807                 NaN   1.42453                 NaN            NaN            NaN            NaN            NaN  0.499502        1.96397       0.313361E-001            NaN
  1266.05        2500.00                 NaN   96.3140                 NaN   1.40300                 NaN            NaN            NaN            NaN            NaN  0.503874        1.67600       0.103125                 NaN
  1264.89        2500.00                 NaN   97.2832                 NaN  0.934814                 NaN            NaN            NaN            NaN            NaN  0.333629        1.38364       0.646704E-001            NaN
  1263.74        2500.00                 NaN   94.4214                 NaN   1.87854                 NaN            NaN            NaN            NaN            NaN  0.746551        2.75237       0.201147                 NaN
  1262.58        2500.00                 NaN   97.9452                 NaN  0.810786                 NaN            NaN            NaN            NaN            NaN  0.243568        1.00044                 NaN            NaN
  1261.42        2500.00                 NaN   96.2468                 NaN   1.35103                 NaN            NaN            NaN            NaN            NaN  0.495330        1.82969       0.771647E-001            NaN
  1260.27        2500.00                 NaN   90.0352                 NaN   2.60814                 NaN            NaN            NaN  0.431784                 NaN   1.44585        5.18841       0.290658                 NaN
  1259.11        2500.00                 NaN   99.7510                 NaN  0.176609       0.517280E-001            NaN            NaN            NaN            NaN  0.206495E-001            NaN            NaN            NaN
  1257.95        2500.00                 NaN   98.1235                 NaN  0.754640                 NaN            NaN            NaN            NaN            NaN  0.173851       0.948007                 NaN            NaN
  1256.80        2500.00                 NaN   97.4427                 NaN  0.975272                 NaN            NaN            NaN            NaN            NaN  0.339186        1.20967       0.331590E-001            NaN
  1255.64        2500.00                 NaN   96.6135                 NaN   1.07260                 NaN            NaN            NaN            NaN            NaN  0.416346        1.78651       0.111045                 NaN
  1254.48        2500.00                 NaN   97.0441                 NaN   1.11574                 NaN            NaN            NaN            NaN            NaN  0.406410        1.39093       0.428077E-001            NaN
  1253.33        2500.00                 NaN   94.3766                 NaN  0.790341                 NaN            NaN            NaN  0.280677                 NaN  0.838175        3.51370       0.200506                 NaN
  1252.17        2500.00                 NaN   99.1937                 NaN  0.371145                 NaN            NaN            NaN            NaN            NaN  0.107666       0.317458       0.100219E-001            NaN
  1251.01        2500.00                 NaN   99.7451                 NaN  0.177866                 NaN            NaN            NaN            NaN            NaN  0.631131E-001  0.138756E-001            NaN            NaN
  1249.86        2500.00                 NaN   98.8549                 NaN  0.139401       0.456681                 NaN            NaN            NaN            NaN  0.144432       0.394669       0.992746E-002            NaN
  1248.70        2500.00                 NaN   90.3143                 NaN   3.71832                 NaN            NaN            NaN            NaN            NaN   1.20474        4.63289       0.129713                 NaN
  1247.54        2500.00                 NaN   91.0864                 NaN  0.468733       0.206754                 NaN            NaN            NaN            NaN  0.794230        6.97714       0.466766                 NaN
