|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1419.90        2500.00                 NaN   98.6712                 NaN  0.451893       0.215129                 NaN            NaN  0.184928                 NaN  0.476864                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6882                 NaN  0.207349       0.449222                 NaN            NaN  0.184300                 NaN  0.470893                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.7054                 NaN  0.445539       0.200219                 NaN            NaN  0.183771                 NaN  0.465066                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.7166                 NaN  0.191921       0.445623                 NaN            NaN  0.184186                 NaN  0.461642                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.7426                 NaN  0.187201       0.436887                 NaN            NaN  0.181361                 NaN  0.451925                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.7481                 NaN  0.179983       0.438118                 NaN            NaN  0.183047                 NaN  0.450779                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7752                 NaN  0.174454       0.429568                 NaN            NaN  0.180072                 NaN  0.440733                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7849                 NaN  0.428959       0.167673                 NaN            NaN  0.180609                 NaN  0.437873                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7997                 NaN  0.161641       0.426007                 NaN            NaN  0.180001                 NaN  0.432661                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.8161                 NaN  0.156059       0.421379                 NaN            NaN  0.179301                 NaN  0.427124                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.8298                 NaN  0.149747       0.419522                 NaN            NaN  0.178703                 NaN  0.422227                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.8424                 NaN  0.417677       0.143862                 NaN            NaN  0.178166                 NaN  0.417891                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8589                 NaN  0.138664       0.413056                 NaN            NaN  0.177214                 NaN  0.412199                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8722                 NaN  0.410415       0.132852                 NaN            NaN  0.176891                 NaN  0.407665                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8701                 NaN  0.113599       0.414245                 NaN            NaN  0.189785                 NaN  0.412270                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.9163                 NaN  0.396844       0.136151                 NaN            NaN  0.162071                 NaN  0.388611                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.9117                 NaN  0.403405       0.116364                 NaN            NaN  0.174699                 NaN  0.393818                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.9228                 NaN  0.109974       0.402089                 NaN            NaN  0.174773                 NaN  0.390367                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.9167                 NaN  0.402734       0.111280                 NaN            NaN  0.175902                 NaN  0.393342                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9682                 NaN  0.391555       0.976645E-001            NaN            NaN  0.170102                 NaN  0.372491                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.8112                 NaN  0.110907       0.447808                 NaN            NaN  0.198471                 NaN  0.431606                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   99.1230                 NaN  0.334835       0.785864E-001            NaN            NaN  0.145957                 NaN  0.317671                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9845                 NaN  0.388193       0.891205E-001            NaN            NaN  0.170126                 NaN  0.368082                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9959                 NaN  0.834237E-001  0.386363                 NaN            NaN  0.170023                 NaN  0.364291                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.0066                 NaN  0.384572       0.789054E-001            NaN            NaN  0.169405                 NaN  0.360482                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.0179                 NaN  0.744318E-001  0.382433                 NaN            NaN  0.168620                 NaN  0.356573                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   99.0269                 NaN  0.380187       0.710292E-001            NaN            NaN  0.168396                 NaN  0.353445                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0403                 NaN  0.377459       0.677266E-001            NaN            NaN  0.166261                 NaN  0.348211                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0471                 NaN  0.638343E-001  0.376640                 NaN            NaN  0.166320                 NaN  0.346105                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0602                 NaN  0.375668       0.577385E-001            NaN            NaN  0.165225                 NaN  0.341143                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0458                 NaN  0.304532       0.182714                 NaN            NaN  0.127936                 NaN  0.339042                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0911                 NaN  0.397749                 NaN            NaN            NaN  0.178155                 NaN  0.332972                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0987                 NaN  0.391002                 NaN            NaN            NaN  0.179353                 NaN  0.330984                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.1028                 NaN  0.378553       0.231611E-001            NaN            NaN  0.168340                 NaN  0.327193                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.1078                 NaN  0.366036       0.411869E-001            NaN            NaN  0.160961                 NaN  0.323981                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.1180                 NaN  0.364486       0.364614E-001            NaN            NaN  0.160505                 NaN  0.320505                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.1273                 NaN  0.361803       0.347710E-001            NaN            NaN  0.159238                 NaN  0.316921                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.1361                 NaN  0.360670       0.315595E-001            NaN            NaN  0.158042                 NaN  0.313606                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.1439                 NaN  0.273385E-001  0.360330                 NaN            NaN  0.157587                 NaN  0.310883                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.1539                 NaN  0.254463E-001  0.357443                 NaN            NaN  0.156075                 NaN  0.307136                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.1625                 NaN  0.356233       0.219181E-001            NaN            NaN  0.155278                 NaN  0.304058                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.1714                 NaN  0.355301       0.182400E-001            NaN            NaN  0.154285                 NaN  0.300733                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.1793                 NaN  0.163258E-001  0.353449                 NaN            NaN  0.153196                 NaN  0.297730                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.1879                 NaN  0.351182       0.138482E-001            NaN            NaN  0.152276                 NaN  0.294815                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.1955                 NaN  0.351296       0.104991E-001            NaN            NaN  0.151074                 NaN  0.291604                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.2031                 NaN  0.349216       0.915155E-002            NaN            NaN  0.149811                 NaN  0.288711                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.2119                 NaN  0.487776E-002  0.347728                 NaN            NaN  0.149624                 NaN  0.285846                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.2183                 NaN  0.627363E-002  0.345602                 NaN            NaN  0.146998                 NaN  0.282793                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.2262                 NaN  0.336024E-002  0.343983                 NaN            NaN  0.146437                 NaN  0.280014                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.2311                 NaN  0.145416E-001  0.336099                 NaN            NaN  0.140986                 NaN  0.277227                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.2387                 NaN  0.337882                 NaN            NaN            NaN  0.147309                 NaN  0.276092                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.2397                 NaN  0.835251E-001  0.289676                 NaN            NaN  0.117798                 NaN  0.269269                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.2547                 NaN  0.334820                 NaN            NaN            NaN  0.141470                 NaN  0.269031                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.2621                 NaN  0.330132                 NaN            NaN            NaN  0.141318                 NaN  0.266417                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.2672                 NaN  0.331578                 NaN            NaN            NaN  0.137425                 NaN  0.263756                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.2211                 NaN  0.349556                 NaN            NaN            NaN  0.147232                 NaN  0.282121                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.3369                 NaN  0.303950                 NaN            NaN            NaN  0.122500                 NaN  0.236654                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2880                 NaN  0.324025                 NaN            NaN            NaN  0.132407                 NaN  0.255565                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.2927                 NaN  0.322462                 NaN            NaN            NaN  0.131127                 NaN  0.253664                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.3003                 NaN  0.318597                 NaN            NaN            NaN  0.130396                 NaN  0.250685                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.3063                 NaN  0.318983                 NaN            NaN            NaN  0.126736                 NaN  0.248002                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.3495                 NaN  0.295682                 NaN            NaN            NaN  0.121340                 NaN  0.233489                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2817                 NaN  0.331136                 NaN            NaN            NaN  0.131325                 NaN  0.255794                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.3192                 NaN  0.307589       0.148101E-001            NaN            NaN  0.116717                 NaN  0.241713                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.3299                 NaN  0.312311                 NaN            NaN            NaN  0.119802                 NaN  0.237988                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.3361                 NaN  0.306661                 NaN            NaN            NaN  0.120891                 NaN  0.236329                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.3321                 NaN  0.277093       0.539345E-001            NaN            NaN  0.102507                 NaN  0.234328                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.3471                 NaN  0.305707                 NaN            NaN            NaN  0.115888                 NaN  0.231329                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.3515                 NaN  0.307431                 NaN            NaN            NaN  0.111643                 NaN  0.229403                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.3570                 NaN  0.303170                 NaN            NaN            NaN  0.112728                 NaN  0.227119                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.3616                 NaN  0.305003                 NaN            NaN            NaN  0.108297                 NaN  0.225084                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.3676                 NaN  0.300541                 NaN            NaN            NaN  0.109033                 NaN  0.222799                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.3737                 NaN  0.295396                 NaN            NaN            NaN  0.110009                 NaN  0.220863                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.3788                 NaN  0.295698                 NaN            NaN            NaN  0.106876                 NaN  0.218648                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.3835                 NaN  0.294238                 NaN            NaN            NaN  0.105691                 NaN  0.216575                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.3876                 NaN  0.294402                 NaN            NaN            NaN  0.103332                 NaN  0.214715                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3938                 NaN  0.291741                 NaN            NaN            NaN  0.102088                 NaN  0.212387                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.3998                 NaN  0.285448                 NaN            NaN            NaN  0.104165                 NaN  0.210582                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.3978                 NaN  0.301788                 NaN            NaN            NaN  0.914226E-001            NaN  0.209029                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.4070                 NaN  0.290257                 NaN            NaN            NaN  0.962198E-001            NaN  0.206503                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.4118                 NaN  0.288262                 NaN            NaN            NaN  0.952023E-001            NaN  0.204703                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.4163                 NaN  0.284905                 NaN            NaN            NaN  0.957118E-001            NaN  0.203065                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.4202                 NaN  0.287016                 NaN            NaN            NaN  0.916749E-001            NaN  0.201080                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.4249                 NaN  0.284879                 NaN            NaN            NaN  0.909587E-001            NaN  0.199256                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.4294                 NaN  0.283055                 NaN            NaN            NaN  0.900508E-001            NaN  0.197527                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.4335                 NaN  0.283452                 NaN            NaN            NaN  0.873928E-001            NaN  0.195617                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.4362                 NaN  0.284876                 NaN            NaN            NaN  0.847834E-001            NaN  0.194141                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.4426                 NaN  0.279883                 NaN            NaN            NaN  0.854466E-001            NaN  0.192028                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.4433                 NaN  0.285810                 NaN            NaN            NaN  0.800275E-001            NaN  0.190862                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.4500                 NaN  0.278082                 NaN            NaN            NaN  0.830037E-001            NaN  0.188914                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.4532                 NaN  0.280177                 NaN            NaN            NaN  0.794339E-001            NaN  0.187189                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.4541                 NaN  0.286489                 NaN            NaN            NaN  0.734610E-001            NaN  0.185932                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.4586                 NaN  0.283670                 NaN            NaN            NaN  0.733910E-001            NaN  0.184311                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.4628                 NaN  0.282558                 NaN            NaN            NaN  0.719402E-001            NaN  0.182674                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.4674                 NaN  0.278285                 NaN            NaN            NaN  0.732181E-001            NaN  0.181109                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.4680                 NaN  0.285074                 NaN            NaN            NaN  0.668399E-001            NaN  0.180097                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.4744                 NaN  0.279784                 NaN            NaN            NaN  0.679962E-001            NaN  0.177855                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.4775                 NaN  0.277934                 NaN            NaN            NaN  0.677357E-001            NaN  0.176807                 NaN            NaN            NaN
  1306.54        2500.00                 NaN   95.1213                 NaN   1.09875                 NaN            NaN            NaN  0.241071                 NaN  0.731262        2.80759                 NaN            NaN
  1305.38        2500.00                 NaN   90.0885                 NaN   2.02015                 NaN            NaN            NaN  0.464792                 NaN   1.37219        6.05433                 NaN            NaN
  1304.22        2500.00                 NaN   90.5682                 NaN   1.94089                 NaN            NaN            NaN  0.442087                 NaN   1.31211        5.73676                 NaN            NaN
  1303.07        2500.00                 NaN   90.9698                 NaN   1.94092                 NaN            NaN            NaN  0.376522                 NaN   1.26300        5.44973                 NaN            NaN
  1301.91        2500.00                 NaN   91.4389                 NaN   1.82727                 NaN            NaN            NaN  0.379536                 NaN   1.20249        5.15179                 NaN            NaN
  1300.75        2500.00                 NaN   91.7878                 NaN   1.76760                 NaN            NaN            NaN  0.364452                 NaN   1.15908        4.92106                 NaN            NaN
  1299.60        2500.00                 NaN   89.0717                 NaN   2.26082                 NaN            NaN            NaN  0.461732                 NaN   1.53907        6.55399       0.112703                 NaN
  1298.44        2500.00                 NaN   83.5419                 NaN   3.23320                 NaN            NaN            NaN  0.694374                 NaN   2.30210        9.89275       0.335715                 NaN
  1297.28        2500.00                 NaN   84.6025                 NaN   3.00486                 NaN            NaN            NaN  0.693410                 NaN   2.15883        9.22879       0.311627                 NaN
  1296.13        2500.00                 NaN   85.7101                 NaN   2.80277                 NaN            NaN            NaN  0.658744                 NaN   2.00801        8.53448       0.285915                 NaN
  1294.97        2500.00                 NaN   86.7369                 NaN   2.62111                 NaN            NaN            NaN  0.620029                 NaN   1.86807        7.89189       0.262053                 NaN
  1293.81        2500.00                 NaN   87.6920                 NaN   2.45369                 NaN            NaN            NaN  0.579133                 NaN   1.73758        7.29735       0.240235                 NaN
  1292.66        2500.00                 NaN   88.5622                 NaN   2.30377                 NaN            NaN            NaN  0.537654                 NaN   1.61816        6.75767       0.220582                 NaN
  1291.50        2500.00                 NaN   89.3385                 NaN   2.17011                 NaN            NaN            NaN  0.499774                 NaN   1.51157        6.27684       0.203210                 NaN
  1290.34        2500.00                 NaN   89.9349                 NaN   2.07471                 NaN            NaN            NaN  0.463675                 NaN   1.42922        5.90789       0.189632                 NaN
  1289.19        2500.00                 NaN   90.4288                 NaN   1.95992                 NaN            NaN            NaN  0.462872                 NaN   1.36516        5.60319       0.180081                 NaN
  1288.03        2500.00                 NaN   88.1841                 NaN   2.65170                 NaN            NaN            NaN  0.333208                 NaN   1.70473        6.91342       0.212830                 NaN
  1286.87        2500.00                 NaN   92.3162                 NaN   1.78330                 NaN            NaN            NaN  0.906541E-001  0.120187        1.05776        4.48396       0.147957                 NaN
  1285.72        2500.00                 NaN   85.0299                 NaN   3.42373                 NaN            NaN            NaN  0.262303       0.220303        2.23922        8.57518       0.249322                 NaN
  1284.56        2500.00                 NaN   99.5168                 NaN  0.115565                 NaN            NaN            NaN            NaN            NaN            NaN  0.361289       0.631149E-002            NaN
  1283.40        2500.00                 NaN   92.9719                 NaN   1.54675                 NaN            NaN            NaN  0.269459                 NaN   1.03249        4.05939       0.120011                 NaN
  1282.25        2500.00                 NaN   95.4040                 NaN  0.963000                 NaN            NaN            NaN  0.270751                 NaN  0.665035        2.61452       0.826513E-001            NaN
  1281.09        2500.00                 NaN   93.8818                 NaN   1.63302                 NaN            NaN            NaN  0.221548                 NaN  0.852194        3.31857       0.928773E-001            NaN
  1279.93        2500.00                 NaN   96.2997                 NaN  0.937899                 NaN            NaN            NaN  0.145815                 NaN  0.520536        2.03243       0.636042E-001            NaN
  1278.77        2500.00                 NaN   94.0954                 NaN   1.34923                 NaN            NaN            NaN  0.224741                 NaN  0.848683        3.38123       0.100748                 NaN
  1277.62        2500.00                 NaN   94.5911                 NaN   1.26840                 NaN            NaN            NaN  0.204176                 NaN  0.775897        3.07049       0.899077E-001            NaN
  1276.46        2500.00                 NaN   87.8860                 NaN   2.61745                 NaN            NaN            NaN  0.542481                 NaN   1.75809        6.97349       0.222465                 NaN
  1275.30        2500.00                 NaN   99.3836                 NaN  0.155815                 NaN            NaN            NaN  0.254208E-001            NaN  0.796962E-001  0.348027       0.748605E-002            NaN
  1274.15        2500.00                 NaN   94.6260                 NaN   1.29635                 NaN            NaN            NaN  0.203976                 NaN  0.785331        3.00092       0.874440E-001            NaN
  1272.99        2500.00                 NaN   89.9528                 NaN   1.93784                 NaN            NaN            NaN  0.376247                 NaN   1.44769        6.09413       0.191290                 NaN
  1271.83        2500.00                 NaN   99.6669                 NaN  0.323707                 NaN            NaN            NaN            NaN            NaN            NaN  0.941538E-002            NaN            NaN
  1270.68        2500.00                 NaN   98.5415                 NaN  0.475310                 NaN            NaN            NaN            NaN            NaN  0.195417       0.760912       0.268311E-001            NaN
  1269.52        2500.00                 NaN   60.3652        30.3460       0.632975                 NaN            NaN            NaN  0.860190                 NaN   1.32888        6.29715       0.169602                 NaN
  1268.36        2500.00                 NaN   98.6212                 NaN  0.390546       0.711713                 NaN            NaN            NaN            NaN  0.268307                 NaN  0.828287E-002            NaN
  1267.21        2500.00                 NaN   96.4425                 NaN   1.03982                 NaN            NaN            NaN            NaN            NaN  0.477061        2.02316       0.174775E-001            NaN
  1266.05        2500.00                 NaN   96.7204                 NaN   1.01688                 NaN            NaN            NaN            NaN            NaN  0.480696        1.72461       0.574522E-001            NaN
  1264.89        2500.00                 NaN   97.5466                 NaN  0.679366                 NaN            NaN            NaN            NaN            NaN  0.317546        1.42059       0.359446E-001            NaN
  1263.74        2500.00                 NaN   94.9880                 NaN   1.35832                 NaN            NaN            NaN            NaN            NaN  0.711410        2.83034       0.111932                 NaN
  1262.58        2500.00                 NaN   98.1615                 NaN  0.583123                 NaN            NaN            NaN            NaN            NaN  0.231043        1.02431                 NaN            NaN
  1261.42        2500.00                 NaN   96.6416                 NaN  0.971632                 NaN            NaN            NaN            NaN            NaN  0.470044        1.87400       0.427591E-001            NaN
  1260.27        2500.00                 NaN   90.9953                 NaN   1.86776                 NaN            NaN            NaN  0.263319                 NaN   1.37475        5.33746       0.161378                 NaN
  1259.11        2500.00                 NaN   99.8175                 NaN  0.126312       0.367533E-001            NaN            NaN            NaN            NaN  0.194296E-001            NaN            NaN            NaN
  1257.95        2500.00                 NaN   98.3334                 NaN  0.539249                 NaN            NaN            NaN            NaN            NaN  0.163700       0.963633                 NaN            NaN
  1256.80        2500.00                 NaN   97.7385                 NaN  0.694413                 NaN            NaN            NaN            NaN            NaN  0.319267        1.22957       0.182246E-001            NaN
  1255.64        2500.00                 NaN   96.9555                 NaN  0.777036                 NaN            NaN            NaN            NaN            NaN  0.391591        1.81493       0.609835E-001            NaN
  1254.48        2500.00                 NaN   97.3996                 NaN  0.783753                 NaN            NaN            NaN            NaN            NaN  0.381641        1.41151       0.234714E-001            NaN
  1253.33        2500.00                 NaN   94.8219                 NaN  0.556607                 NaN            NaN            NaN  0.167863                 NaN  0.786638        3.55712       0.109872                 NaN
  1252.17        2500.00                 NaN   99.3134                 NaN  0.260389                 NaN            NaN            NaN            NaN            NaN  0.100629       0.320146       0.546899E-002            NaN
  1251.01        2500.00                 NaN   99.8024                 NaN  0.124680                 NaN            NaN            NaN            NaN            NaN  0.589281E-001  0.139860E-001            NaN            NaN
  1249.86        2500.00                 NaN   99.0433                 NaN  0.983487E-001  0.320009                 NaN            NaN            NaN            NaN  0.134890       0.398045       0.541318E-002            NaN
  1248.70        2500.00                 NaN   91.4782                 NaN   2.61932                 NaN            NaN            NaN            NaN            NaN   1.13012        4.70136       0.710405E-001            NaN
