|6.6.6
Archiving\03_Data\eqfracLP/QFM/Y98/Y98_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1436.06        500.000        98.7018       0.762412       0.535732                 NaN  0.203331E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.1681       0.346142       0.485720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.1726       0.344410       0.482944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.1781       0.341726       0.480210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.1815       0.478581       0.339930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.1861       0.338056       0.475879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.1902       0.335897       0.473916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.1951       0.471188       0.333736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.1984       0.332578       0.469012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        99.2028       0.330147       0.467009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        99.2077       0.464440       0.327887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        99.2103       0.463471       0.326252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        99.2154       0.324257       0.460351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        99.2193       0.458225       0.322520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        99.1441       0.502802       0.353098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        99.3036       0.409180       0.287221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.9638       0.485929       0.433456                 NaN            NaN  0.116796                 NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.1780       0.582377       0.776862                 NaN            NaN  0.462732                 NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.2024       0.575153       0.766301                 NaN            NaN  0.456184                 NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.2283       0.567470       0.754959                 NaN            NaN  0.449313                 NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.2536       0.559730       0.744120                 NaN            NaN  0.442533                 NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.2766       0.553167       0.734005                 NaN            NaN  0.436241                 NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.2989       0.546314       0.724723                 NaN            NaN  0.430098                 NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        98.3222       0.714493       0.539451                 NaN            NaN  0.423888                 NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.3429       0.533087       0.705720                 NaN            NaN  0.418249                 NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.3567       0.540082       0.586149                 NaN  0.881071E-001  0.428979                 NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.3726       0.498499       0.543123                 NaN  0.150750       0.435070                 NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.3928       0.537497       0.488180                 NaN  0.152097       0.429401                 NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.4112       0.532452       0.477847                 NaN  0.153614       0.424851                 NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.4304       0.467722       0.526944                 NaN  0.155058       0.419849                 NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.4488       0.457509       0.521702                 NaN  0.156668       0.415314                 NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.4686       0.447738       0.515920                 NaN  0.157719       0.410019                 NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.4854       0.511315       0.438242                 NaN  0.159425       0.405606                 NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.5024       0.506603       0.428840                 NaN  0.160949       0.401189                 NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.0410       0.555307       0.663797                 NaN  0.215156       0.524714                 NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        99.0020       0.340157       0.278174                 NaN  0.112380       0.267301                 NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.5525       0.492675       0.401082                 NaN  0.165328       0.388413                 NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        97.9112       0.568437       0.712467                 NaN  0.246362       0.561520                 NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        99.2518       0.204174       0.255893                 NaN  0.880043E-001  0.200159                 NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.5997       0.479247       0.375265                 NaN  0.169771       0.376051                 NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.6152       0.366788       0.474720                 NaN  0.171188       0.372138                 NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.6268       0.471300       0.358499                 NaN  0.173970       0.369422                 NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.6477       0.465314       0.350101                 NaN  0.173218       0.363628                 NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        98.6568       0.463179       0.342538                 NaN  0.175984       0.361527                 NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.6719       0.334043       0.459151                 NaN  0.177294       0.357646                 NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.6835       0.455522       0.326920                 NaN  0.179292       0.354768                 NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.6979       0.451344       0.319127                 NaN  0.180631       0.350996                 NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.7105       0.447937       0.311757                 NaN  0.182047       0.347716                 NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.7230       0.304292       0.444769                 NaN  0.183453       0.344491                 NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.7352       0.441457       0.296920                 NaN  0.185116       0.341320                 NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.7435       0.290767       0.439681                 NaN  0.186933       0.339100                 NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        99.1485       0.190134       0.299009                 NaN  0.131352       0.231014                 NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.3763       0.569857       0.369484                 NaN  0.246905       0.437426                 NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.7818       0.428860       0.268821                 NaN  0.191202       0.329338                 NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.7932       0.262314       0.425576                 NaN  0.192619       0.326242                 NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.8031       0.255628       0.423134                 NaN  0.194433       0.323700                 NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.8143       0.419822       0.249251                 NaN  0.195810       0.320862                 NaN            NaN            NaN            NaN            NaN
  1371.50        500.000        98.8229       0.243162       0.417763                 NaN  0.197429       0.318753                 NaN            NaN            NaN            NaN            NaN
  1370.37        500.000        98.8376       0.235443       0.413737                 NaN  0.198503       0.314711                 NaN            NaN            NaN            NaN            NaN
  1369.24        500.000        98.8448       0.230303       0.411480                 NaN  0.200489       0.312920                 NaN            NaN            NaN            NaN            NaN
  1368.11        500.000        98.8553       0.223960       0.408914                 NaN  0.201615       0.310161                 NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        98.8584       0.407563       0.223960                 NaN  0.201197       0.308904                 NaN            NaN            NaN            NaN            NaN
  1365.84        500.000        98.8807       0.206472       0.402613                 NaN  0.206550       0.303638                 NaN            NaN            NaN            NaN            NaN
  1364.71        500.000        98.8817       0.402516       0.204364                 NaN  0.207179       0.304209                 NaN            NaN            NaN            NaN            NaN
  1363.57        500.000        98.8938       0.200577       0.398934                 NaN  0.206744       0.299934                 NaN            NaN            NaN            NaN            NaN
  1362.44        500.000        98.9049       0.194115       0.396018                 NaN  0.207969       0.296977                 NaN            NaN            NaN            NaN            NaN
  1361.31        500.000        98.9109       0.188682       0.394453                 NaN  0.210268       0.295678                 NaN            NaN            NaN            NaN            NaN
  1360.18        500.000        98.9196       0.392185       0.183163                 NaN  0.211697       0.293320                 NaN            NaN            NaN            NaN            NaN
  1359.04        500.000        98.9126       0.191809       0.392178                 NaN  0.201502       0.292736       0.918308E-002            NaN            NaN            NaN            NaN
  1357.91        500.000        98.8049       0.268827       0.415245                 NaN  0.138779       0.306573       0.656606E-001            NaN            NaN            NaN            NaN
  1356.78        500.000        98.7768       0.296768       0.424965                 NaN  0.104094       0.305361       0.920446E-001            NaN            NaN            NaN            NaN
  1355.65        500.000        98.7259       0.325360       0.443970                 NaN  0.762372E-001  0.311269       0.117251                 NaN            NaN            NaN            NaN
  1354.51        500.000        98.6626       0.365004       0.468671                 NaN  0.349648E-001  0.317135       0.151654                 NaN            NaN            NaN            NaN
  1353.38        500.000        98.6116       0.494050       0.366706                 NaN  0.231958E-001  0.325000       0.179492                 NaN            NaN            NaN            NaN
  1352.25        500.000        98.5601       0.381437       0.518854                 NaN  0.130973E-005  0.331018       0.208614                 NaN            NaN            NaN            NaN
  1351.12        500.000        98.5266       0.368218       0.539975                 NaN            NaN  0.337228       0.228027                 NaN            NaN            NaN            NaN
  1349.98        500.000        98.5183       0.356327       0.548538                 NaN            NaN  0.338300       0.238552                 NaN            NaN            NaN            NaN
  1348.85        500.000        98.5125       0.554982       0.346583                 NaN            NaN  0.339184       0.246777                 NaN            NaN            NaN            NaN
  1347.72        500.000        98.5225       0.339025       0.553065                 NaN            NaN  0.336953       0.248441                 NaN            NaN            NaN            NaN
  1346.59        500.000        98.5237       0.327373       0.557935                 NaN            NaN  0.336115       0.254839                 NaN            NaN            NaN            NaN
  1345.45        500.000        98.5349       0.320386       0.555320                 NaN            NaN  0.333743       0.255604                 NaN            NaN            NaN            NaN
  1344.32        500.000        98.5514       0.550162       0.313549                 NaN            NaN  0.330273       0.254602                 NaN            NaN            NaN            NaN
  1343.19        500.000        98.5686       0.306727       0.544696                 NaN            NaN  0.326634       0.253307                 NaN            NaN            NaN            NaN
  1342.05        500.000        98.5868       0.538165       0.300785                 NaN            NaN  0.322879       0.251321                 NaN            NaN            NaN            NaN
  1340.92        500.000        98.6049       0.531592       0.295100                 NaN            NaN  0.319095       0.249303                 NaN            NaN            NaN            NaN
  1339.79        500.000        98.6232       0.289755       0.524624                 NaN            NaN  0.315372       0.247036                 NaN            NaN            NaN            NaN
  1338.66        500.000        98.6418       0.284065       0.518142                 NaN            NaN  0.311483       0.244503                 NaN            NaN            NaN            NaN
  1337.52        500.000        98.6609       0.510785       0.279014                 NaN            NaN  0.307534       0.241743                 NaN            NaN            NaN            NaN
  1336.39        500.000        98.6787       0.273919       0.504280                 NaN            NaN  0.303860       0.239230                 NaN            NaN            NaN            NaN
  1335.26        500.000        98.6972       0.269834       0.496659                 NaN            NaN  0.300092       0.236246                 NaN            NaN            NaN            NaN
  1334.13        500.000        98.7171       0.264440       0.489254                 NaN            NaN  0.295924       0.233303                 NaN            NaN            NaN            NaN
  1332.99        500.000        98.7340       0.260182       0.482663                 NaN            NaN  0.292461       0.230726                 NaN            NaN            NaN            NaN
  1331.86        500.000        98.7517       0.255737       0.475925                 NaN            NaN  0.288770       0.227894                 NaN            NaN            NaN            NaN
  1330.73        500.000        98.7695       0.468875       0.251473                 NaN            NaN  0.285108       0.224997                 NaN            NaN            NaN            NaN
  1329.60        500.000        98.7871       0.461810       0.247589                 NaN            NaN  0.281471       0.222042                 NaN            NaN            NaN            NaN
  1328.46        500.000        98.8037       0.455508       0.243241                 NaN            NaN  0.278004       0.219527                 NaN            NaN            NaN            NaN
  1327.33        500.000        98.8211       0.448467       0.239481                 NaN            NaN  0.274446       0.216549                 NaN            NaN            NaN            NaN
  1326.20        500.000        98.8374       0.442256       0.235455                 NaN            NaN  0.270965       0.213924                 NaN            NaN            NaN            NaN
  1325.07        500.000        98.8530       0.435999       0.231994                 NaN            NaN  0.267765       0.211208                 NaN            NaN            NaN            NaN
  1323.93        500.000        98.8695       0.429332       0.228449                 NaN            NaN  0.264358       0.208348                 NaN            NaN            NaN            NaN
  1322.80        500.000        98.8832       0.225707       0.423615                 NaN            NaN  0.261522       0.205966                 NaN            NaN            NaN            NaN
  1321.67        500.000        98.9004       0.417365       0.221250                 NaN            NaN  0.257746       0.203196                 NaN            NaN            NaN            NaN
  1320.53        500.000        98.9155       0.411144       0.218005                 NaN            NaN  0.254695       0.200622                 NaN            NaN            NaN            NaN
  1319.40        500.000        98.9295       0.405076       0.215566                 NaN            NaN  0.251837       0.198016                 NaN            NaN            NaN            NaN
  1318.27        500.000        98.9451       0.399703       0.211165                 NaN            NaN  0.248401       0.195651                 NaN            NaN            NaN            NaN
  1317.14        500.000        98.9591       0.393575       0.208777                 NaN            NaN  0.245574       0.193022                 NaN            NaN            NaN            NaN
  1316.00        500.000        98.9717       0.388121       0.206742                 NaN            NaN  0.243032       0.190362                 NaN            NaN            NaN            NaN
  1314.87        500.000        98.9886       0.382349       0.201804                 NaN            NaN  0.239201       0.188005                 NaN            NaN            NaN            NaN
  1313.74        500.000        99.0004       0.377380       0.199824                 NaN            NaN  0.236823       0.185547                 NaN            NaN            NaN            NaN
  1312.61        500.000        99.0144       0.196848       0.371600                 NaN            NaN  0.233845       0.183293                 NaN            NaN            NaN            NaN
  1311.47        500.000        99.0267       0.366532       0.194651                 NaN            NaN  0.231295       0.180775                 NaN            NaN            NaN            NaN
  1310.34        500.000        99.0393       0.361625       0.191835                 NaN            NaN  0.228638       0.178624                 NaN            NaN            NaN            NaN
  1309.21        500.000        99.0537       0.188996       0.355798                 NaN            NaN  0.225471       0.175999                 NaN            NaN            NaN            NaN
  1308.08        500.000        99.0654       0.351272       0.186282                 NaN            NaN  0.223027       0.174026                 NaN            NaN            NaN            NaN
  1306.94        500.000        99.0773       0.346352       0.184221                 NaN            NaN  0.220504       0.171614                 NaN            NaN            NaN            NaN
  1305.81        500.000        99.0897       0.341191       0.181911                 NaN            NaN  0.217833       0.169322                 NaN            NaN            NaN            NaN
  1304.68        500.000        99.1012       0.180275       0.336188                 NaN            NaN  0.215467       0.166837                 NaN            NaN            NaN            NaN
  1303.55        500.000        99.1130       0.332721       0.176099                 NaN            NaN  0.212765       0.165388                 NaN            NaN            NaN            NaN
  1302.41        500.000        99.1247       0.327252       0.174933                 NaN            NaN  0.210320       0.162816                 NaN            NaN            NaN            NaN
  1301.28        500.000        99.1362       0.172542       0.322718                 NaN            NaN  0.207867       0.160664                 NaN            NaN            NaN            NaN
  1300.15        500.000        99.1470       0.170555       0.318348                 NaN            NaN  0.205579       0.158513                 NaN            NaN            NaN            NaN
  1299.01        500.000        99.1582       0.168323       0.313856                 NaN            NaN  0.203127       0.156500                 NaN            NaN            NaN            NaN
  1297.88        500.000        99.1691       0.309607       0.166126                 NaN            NaN  0.200765       0.154434                 NaN            NaN            NaN            NaN
  1296.75        500.000        99.1792       0.305084       0.164752                 NaN            NaN  0.198569       0.152408                 NaN            NaN            NaN            NaN
  1295.62        500.000        99.1900       0.162111       0.301214                 NaN            NaN  0.196297       0.150417                 NaN            NaN            NaN            NaN
  1294.48        500.000        99.2002       0.296927       0.160469                 NaN            NaN  0.193992       0.148373                 NaN            NaN            NaN            NaN
  1293.35        500.000        99.2104       0.292859       0.158593                 NaN            NaN  0.191832       0.146363                 NaN            NaN            NaN            NaN
  1292.22        500.000        99.2199       0.156918       0.288835                 NaN            NaN  0.189765       0.144614                 NaN            NaN            NaN            NaN
  1291.09        500.000        99.2303       0.155059       0.284748                 NaN            NaN  0.187472       0.142445                 NaN            NaN            NaN            NaN
  1289.95        500.000        99.2396       0.153491       0.280885                 NaN            NaN  0.185435       0.140571                 NaN            NaN            NaN            NaN
  1288.82        500.000        99.2491       0.151541       0.277221                 NaN            NaN  0.183325       0.138793                 NaN            NaN            NaN            NaN
  1287.69        500.000        99.2586       0.273047       0.150495                 NaN            NaN  0.181267       0.136602                 NaN            NaN            NaN            NaN
  1286.56        500.000        99.2676       0.148790       0.269486                 NaN            NaN  0.179248       0.134858                 NaN            NaN            NaN            NaN
  1285.42        500.000        99.2765       0.266004       0.147036                 NaN            NaN  0.177374       0.133038                 NaN            NaN            NaN            NaN
  1284.29        500.000        99.2857       0.262117       0.145319                 NaN            NaN  0.175365       0.131459                 NaN            NaN            NaN            NaN
  1283.16        500.000        99.2943       0.258643       0.144425                 NaN            NaN  0.173365       0.129289                 NaN            NaN            NaN            NaN
  1282.03        500.000        99.3030       0.143025       0.254871                 NaN            NaN  0.171562       0.127568                 NaN            NaN            NaN            NaN
  1280.89        500.000        99.3117       0.251525       0.141422                 NaN            NaN  0.169566       0.125809                 NaN            NaN            NaN            NaN
  1279.76        500.000        99.3199       0.140057       0.248253                 NaN            NaN  0.167719       0.124080                 NaN            NaN            NaN            NaN
  1278.63        500.000        99.3284       0.244706       0.138732                 NaN            NaN  0.165878       0.122319                 NaN            NaN            NaN            NaN
  1277.49        500.000        99.3363       0.137398       0.241470                 NaN            NaN  0.164140       0.120721                 NaN            NaN            NaN            NaN
  1276.36        500.000        99.3442       0.238071       0.136581                 NaN            NaN  0.162343       0.118833                 NaN            NaN            NaN            NaN
  1275.23        500.000        99.3526       0.134876       0.234842                 NaN            NaN  0.160406       0.117233                 NaN            NaN            NaN            NaN
  1274.10        500.000        99.3599       0.134113       0.231488                 NaN            NaN  0.158941       0.115573                 NaN            NaN            NaN            NaN
  1272.96        500.000        99.3675       0.228504       0.133218                 NaN            NaN  0.157082       0.113698                 NaN            NaN            NaN            NaN
  1271.83        500.000        99.3755       0.131474       0.225326                 NaN            NaN  0.155378       0.112318                 NaN            NaN            NaN            NaN
  1270.70        500.000        99.3826       0.130661       0.222284                 NaN            NaN  0.153810       0.110599                 NaN            NaN            NaN            NaN
  1269.57        500.000        98.0665       0.320832       0.368076                 NaN            NaN  0.296964       0.187455                 NaN  0.760145                 NaN            NaN
  1268.43        500.000        92.4136       0.989683        1.14129                 NaN            NaN  0.912592       0.513235                 NaN   4.02957                 NaN            NaN
  1267.30        500.000        93.0672        1.03131       0.911112                 NaN            NaN  0.837347       0.474661                 NaN   3.67833                 NaN            NaN
  1266.17        500.000        93.6127       0.938881       0.845571                 NaN            NaN  0.774431       0.442500                 NaN   3.38596                 NaN            NaN
  1265.04        500.000        94.0818       0.790608       0.857316                 NaN            NaN  0.720062       0.415780                 NaN   3.13439                 NaN            NaN
  1263.90        500.000        94.4788       0.744103       0.786947                 NaN            NaN  0.674027       0.393551                 NaN   2.92254                 NaN            NaN
  1262.77        500.000        94.8285       0.725884       0.702471                 NaN            NaN  0.633192       0.373748                 NaN   2.73616                 NaN            NaN
  1261.64        500.000        95.1312       0.671259       0.667783                 NaN            NaN  0.597644       0.356658                 NaN   2.57546                 NaN            NaN
  1260.51        500.000        95.4021       0.636239       0.622383                 NaN            NaN  0.565778       0.341934                 NaN   2.43160                 NaN            NaN
  1259.37        500.000        95.6413       0.609168       0.576730                 NaN            NaN  0.537630       0.329570                 NaN   2.30565                 NaN            NaN
  1258.24        500.000        95.8577       0.537052       0.584418                 NaN            NaN  0.511970       0.317604                 NaN   2.19127                 NaN            NaN
  1257.11        500.000        96.0556       0.561259       0.500510                 NaN            NaN  0.488140       0.306982                 NaN   2.08753                 NaN            NaN
  1255.97        500.000        96.2309       0.541811       0.466777                 NaN            NaN  0.467367       0.297543                 NaN   1.99560                 NaN            NaN
  1254.84        500.000        96.3916       0.436757       0.523447                 NaN            NaN  0.447825       0.288691                 NaN   1.91170                 NaN            NaN
  1253.71        500.000        96.5410       0.506237       0.407911                 NaN            NaN  0.429829       0.280964                 NaN   1.83407                 NaN            NaN
  1252.58        500.000        96.6758       0.490869       0.382614                 NaN            NaN  0.413369       0.273218                 NaN   1.76411                 NaN            NaN
  1251.44        500.000        96.8021       0.476656       0.357820                 NaN            NaN  0.397850       0.266475                 NaN   1.69914                 NaN            NaN
  1250.31        500.000        96.9199       0.335415       0.462841                 NaN            NaN  0.383454       0.260130                 NaN   1.63827                 NaN            NaN
  1249.18        500.000        97.0287       0.450234       0.314235                 NaN            NaN  0.369951       0.253870                 NaN   1.58301                 NaN            NaN
  1248.05        500.000        97.1316       0.438607       0.294808                 NaN            NaN  0.357204       0.247965                 NaN   1.52982                 NaN            NaN
  1246.91        500.000        94.1581        1.17056                 NaN            NaN            NaN  0.740354       0.836665                 NaN   3.09434                 NaN            NaN
  1245.78        500.000        97.5109       0.508258       0.253820                 NaN            NaN  0.303633                 NaN            NaN   1.42344                 NaN            NaN
  1244.65        500.000        97.9739       0.671469                 NaN            NaN            NaN  0.264732       0.786991E-002            NaN   1.08203                 NaN            NaN
  1243.52        500.000        99.1426       0.263882                 NaN            NaN            NaN  0.950319E-001  0.127492                 NaN  0.371001                 NaN            NaN
  1242.38        500.000        98.1365       0.122518       0.358175                 NaN            NaN  0.220870       0.125200                 NaN   1.03677                 NaN            NaN
  1241.25        500.000        97.5586       0.385890       0.213734                 NaN            NaN  0.302952       0.220468                 NaN   1.31836                 NaN            NaN
  1240.12        500.000        97.7814       0.358574       0.177594                 NaN            NaN  0.274336       0.208930                 NaN   1.19919                 NaN            NaN
  1238.99        500.000        95.6921       0.185644       0.788962                 NaN            NaN  0.531019       0.441819                 NaN   2.36044                 NaN            NaN
  1237.85        500.000        99.3834       0.217344                 NaN            NaN            NaN  0.799031E-001  0.969547E-002            NaN  0.309639                 NaN            NaN
  1236.72        500.000        98.1285       0.290892       0.174013                 NaN            NaN  0.227177       0.118084                 NaN   1.02389       0.374739E-001            NaN
  1235.59        500.000        93.4802       0.988247       0.635973                 NaN            NaN  0.786042       0.354129                 NaN   3.59234       0.163068                 NaN
  1234.45        500.000        99.8687       0.194249E-001  0.135247E-001            NaN            NaN  0.158522E-001  0.672506E-002            NaN  0.724050E-001  0.335175E-002            NaN
  1233.32        500.000        99.9058       0.929295E-002  0.142413E-001            NaN            NaN  0.113179E-001  0.496888E-002            NaN  0.520431E-001  0.233719E-002            NaN
  1232.19        500.000        99.8881       0.107704E-001  0.170958E-001            NaN            NaN  0.134556E-001  0.600221E-002            NaN  0.617928E-001  0.273744E-002            NaN
  1231.06        500.000        97.0295       0.447284       0.292572                 NaN            NaN  0.358419       0.155096                 NaN   1.64288       0.742785E-001            NaN
  1229.92        500.000        99.6263       0.857160E-002  0.477714E-001            NaN            NaN  0.433350E-001  0.431395E-001            NaN  0.230836                 NaN            NaN
  1228.79        500.000        93.1065       0.676472        1.02684                 NaN            NaN  0.830281       0.363464                 NaN   3.82817       0.168249                 NaN
  1227.66        500.000       100.0000                 NaN            NaN            NaN  0.316352E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1226.53        500.000        99.9998       0.123860E-004  0.426594E-004            NaN  0.182139E-005  0.168677E-004            NaN            NaN  0.797920E-004  0.687688E-005            NaN
  1225.39        500.000        99.9990       0.219061E-003            NaN            NaN            NaN  0.110338E-003  0.769149E-004            NaN  0.529484E-003  0.171708E-004            NaN
  1224.26        500.000        95.7302        1.05725                 NaN            NaN            NaN  0.485016       0.310067                 NaN   2.33060       0.869123E-001            NaN
  1223.13        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN  0.176710E-005            NaN  0.173221E-005            NaN            NaN
  1222.00        500.000       100.0000       0.284987E-005            NaN            NaN            NaN  0.179440E-005            NaN            NaN  0.537138E-005            NaN            NaN
  1220.86        500.000        95.9942       0.845349       0.167194                 NaN            NaN  0.499380       0.872654E-001            NaN   2.29455       0.112067                 NaN
  1219.73        500.000        98.4571       0.101120       0.270933                 NaN            NaN  0.180391       0.942600E-001            NaN  0.864631       0.315839E-001            NaN
  1218.60        500.000        99.9352       0.748108E-002            NaN            NaN            NaN  0.778419E-002  0.789074E-002            NaN  0.412382E-001  0.412234E-003            NaN
  1217.47        500.000        98.0383       0.307254       0.160629                 NaN            NaN  0.228884       0.114146                 NaN   1.11165       0.391636E-001            NaN
  1216.33        500.000        94.5525       0.693178       0.202696                 NaN            NaN  0.561287       0.347691                 NaN   2.72883       0.503890E-001  0.863474     
  1215.20        500.000        99.9999       0.117096E-004            NaN            NaN            NaN  0.119536E-004  0.653982E-005            NaN  0.549107E-004            NaN  0.562058E-004
  1214.07        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN  0.162784E-005            NaN  0.221590E-005            NaN  0.146789E-005
  1212.93        500.000        99.9999       0.113132E-005  0.585523E-005            NaN            NaN  0.586904E-005  0.364327E-005            NaN  0.258655E-004            NaN  0.255358E-004
  1211.80        500.000        74.8169        2.28403                 NaN            NaN            NaN   2.11046        1.24495                 NaN   10.1682       0.108122        9.26734     
  1210.67        500.000        77.7478        1.80740                 NaN            NaN            NaN   1.85005        1.24745                 NaN   8.60675                 NaN   8.74059     
  1209.54        500.000        99.9998       0.142174E-004            NaN            NaN            NaN  0.165231E-004  0.153251E-004            NaN  0.749374E-004            NaN  0.764863E-004
  1208.40        500.000       100.0000       0.403327E-005            NaN            NaN            NaN  0.261786E-005            NaN            NaN  0.150418E-004            NaN  0.154522E-004
  1207.27        500.000        73.0728        2.24726                 NaN            NaN            NaN   2.20918        1.38088                 NaN   10.5758       0.124524E-001   10.5017     
  1206.14        500.000        84.1230        1.30998                 NaN            NaN            NaN   1.30779       0.651072       0.163711        6.23275                 NaN   6.21170     
  1205.01        500.000        98.7832       0.108989                 NaN            NaN            NaN  0.986901E-001  0.427608E-001            NaN  0.485642       0.131720E-001  0.467577     
