|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1402.66        500.000        98.4910       0.550781       0.367741                 NaN  0.154042       0.436448                 NaN            NaN            NaN
  1401.52        500.000        98.5108       0.545736       0.357406                 NaN  0.155067       0.430980                 NaN            NaN            NaN
  1400.38        500.000        98.5285       0.541913       0.347126                 NaN  0.156323       0.426173                 NaN            NaN            NaN
  1399.24        500.000        98.5448       0.334767       0.540544                 NaN  0.157957       0.421934                 NaN            NaN            NaN
  1398.10        500.000        98.5205       0.486788       0.496627                 NaN  0.801019E-001  0.416007                 NaN            NaN            NaN
  1396.96        500.000        98.6287       0.144598       0.577953                 NaN  0.238691       0.410066                 NaN            NaN            NaN
  1395.81        500.000        98.6002       0.524708       0.307994                 NaN  0.160758       0.406348                 NaN            NaN            NaN
  1394.67        500.000        98.6159       0.298593       0.521196                 NaN  0.162113       0.402202                 NaN            NaN            NaN
  1393.53        500.000        98.6359       0.515632       0.289644                 NaN  0.162423       0.396410                 NaN            NaN            NaN
  1392.39        500.000        98.6484       0.281296       0.513655                 NaN  0.163713       0.392969                 NaN            NaN            NaN
  1391.25        500.000        98.6644       0.267962       0.510588                 NaN  0.167426       0.389590                 NaN            NaN            NaN
  1390.11        500.000        98.6839       0.267508       0.503396                 NaN  0.162818       0.382348                 NaN            NaN            NaN
  1388.97        500.000        98.6888       0.250937       0.507679                 NaN  0.169849       0.382743                 NaN            NaN            NaN
  1387.83        500.000        98.7161       0.246896       0.498075                 NaN  0.165482       0.373463                 NaN            NaN            NaN
  1386.69        500.000        98.7272       0.496216       0.237435                 NaN  0.168031       0.371082                 NaN            NaN            NaN
  1385.55        500.000        98.7333       0.494597       0.233124                 NaN  0.169361       0.369589                 NaN            NaN            NaN
  1384.41        500.000        98.7429       0.494714       0.232519                 NaN  0.164881       0.364997                 NaN            NaN            NaN
  1383.27        500.000        98.7803       0.482729       0.206428                 NaN  0.174420       0.356095                 NaN            NaN            NaN
  1382.13        500.000        98.7803       0.485020       0.207659                 NaN  0.171103       0.355905                 NaN            NaN            NaN
  1380.99        500.000        98.7927       0.482529       0.200053                 NaN  0.172270       0.352458                 NaN            NaN            NaN
  1379.85        500.000        98.8054       0.479572       0.194125                 NaN  0.172194       0.348719                 NaN            NaN            NaN
  1378.70        500.000        98.8182       0.186066       0.477066                 NaN  0.173317       0.345367                 NaN            NaN            NaN
  1377.56        500.000        98.8323       0.179334       0.473225                 NaN  0.173860       0.341274                 NaN            NaN            NaN
  1376.42        500.000        98.8443       0.471599       0.171593                 NaN  0.174639       0.337870                 NaN            NaN            NaN
  1375.28        500.000        98.8547       0.470123       0.165982                 NaN  0.174551       0.334599                 NaN            NaN            NaN
  1374.14        500.000        98.8682       0.466220       0.159207                 NaN  0.175369       0.330957                 NaN            NaN            NaN
  1373.00        500.000        98.8771       0.152967       0.464358                 NaN  0.176976       0.328647                 NaN            NaN            NaN
  1371.86        500.000        98.8838       0.148979       0.464231                 NaN  0.176145       0.326879                 NaN            NaN            NaN
  1370.72        500.000        98.9096       0.139841       0.457923                 NaN  0.174430       0.318173                 NaN            NaN            NaN
  1369.58        500.000        98.9122       0.458882       0.133953                 NaN  0.176830       0.318118                 NaN            NaN            NaN
  1368.44        500.000        98.9227       0.456695       0.128554                 NaN  0.176973       0.315039                 NaN            NaN            NaN
  1367.30        500.000        98.9277       0.457628       0.122007                 NaN  0.178939       0.313678                 NaN            NaN            NaN
  1366.16        500.000        98.9451       0.115314       0.453280                 NaN  0.177795       0.308516                 NaN            NaN            NaN
  1365.02        500.000        98.9533       0.450130       0.116131                 NaN  0.175071       0.305358                 NaN            NaN            NaN
  1363.88        500.000        98.7740       0.119492       0.534237                 NaN  0.213036       0.359228                 NaN            NaN            NaN
  1362.74        500.000        99.1679       0.863376E-001  0.361096                 NaN  0.142390       0.242246                 NaN            NaN            NaN
  1361.59        500.000        98.9833       0.445402       0.969319E-001            NaN  0.177315       0.297069                 NaN            NaN            NaN
  1360.45        500.000        98.9932       0.444032       0.911970E-001            NaN  0.177367       0.294228                 NaN            NaN            NaN
  1359.31        500.000        99.0022       0.866894E-001  0.442419                 NaN  0.177209       0.291509                 NaN            NaN            NaN
  1358.17        500.000        99.0103       0.441475       0.810549E-001            NaN  0.178038       0.289163                 NaN            NaN            NaN
  1357.03        500.000        99.0186       0.773212E-001  0.439797                 NaN  0.177571       0.286702                 NaN            NaN            NaN
  1355.89        500.000        99.0318       0.435130       0.762611E-001            NaN  0.174675       0.282178                 NaN            NaN            NaN
  1354.75        500.000        99.0379       0.707856E-001  0.435372                 NaN  0.175422       0.280563                 NaN            NaN            NaN
  1353.61        500.000        99.0465       0.433089       0.667313E-001            NaN  0.175594       0.278066                 NaN            NaN            NaN
  1352.47        500.000        99.0563       0.601120E-001  0.433622                 NaN  0.175139       0.274825                 NaN            NaN            NaN
  1351.33        500.000        99.0640       0.430083       0.594177E-001            NaN  0.173954       0.272575                 NaN            NaN            NaN
  1350.19        500.000        99.0721       0.429649       0.546728E-001            NaN  0.173596       0.270000                 NaN            NaN            NaN
  1349.05        500.000        99.0808       0.428282       0.495494E-001            NaN  0.173771       0.267556                 NaN            NaN            NaN
  1347.91        500.000        99.0880       0.427313       0.476213E-001            NaN  0.172123       0.264973                 NaN            NaN            NaN
  1346.77        500.000        98.6906       0.358108       0.544072E-002            NaN  0.569606       0.376279                 NaN            NaN            NaN
  1345.63        500.000        99.3747       0.410964                 NaN            NaN  0.168320E-003  0.214119                 NaN            NaN            NaN
  1344.48        500.000        99.2616       0.538475                 NaN            NaN  0.427799E-002  0.195666                 NaN            NaN            NaN
  1343.34        500.000        99.1162       0.374364       0.153678                 NaN  0.107679       0.248074                 NaN            NaN            NaN
  1342.20        500.000        99.1262       0.419427       0.337062E-001            NaN  0.167726       0.252959                 NaN            NaN            NaN
  1341.06        500.000        99.1330       0.418751       0.310893E-001            NaN  0.166544       0.250657                 NaN            NaN            NaN
  1339.92        500.000        99.1404       0.417419       0.281374E-001            NaN  0.165720       0.248369                 NaN            NaN            NaN
  1338.78        500.000        99.1476       0.252947E-001  0.416234                 NaN  0.164771       0.246115                 NaN            NaN            NaN
  1337.64        500.000        99.1528       0.415369       0.245794E-001            NaN  0.163075       0.244215                 NaN            NaN            NaN
  1336.50        500.000        99.1609       0.412654       0.232523E-001            NaN  0.161565       0.241621                 NaN            NaN            NaN
  1335.36        500.000        99.1680       0.411536       0.209594E-001            NaN  0.160285       0.239248                 NaN            NaN            NaN
  1334.22        500.000        99.1728       0.412583       0.183506E-001            NaN  0.158816       0.237476                 NaN            NaN            NaN
  1333.08        500.000        99.1776       0.183746E-001  0.411696                 NaN  0.156583       0.235777                 NaN            NaN            NaN
  1331.94        500.000        99.1883       0.150062E-001  0.408177                 NaN  0.156013       0.232513                 NaN            NaN            NaN
  1330.80        500.000        99.1935       0.118804E-001  0.408539                 NaN  0.155142       0.230961                 NaN            NaN            NaN
  1329.66        500.000        99.1982       0.122721E-001  0.406772                 NaN  0.153222       0.229486                 NaN            NaN            NaN
  1328.51        500.000        99.2076       0.116539E-001  0.404429                 NaN  0.150457       0.225840                 NaN            NaN            NaN
  1327.37        500.000        99.2106       0.403111       0.128488E-001            NaN  0.148677       0.224811                 NaN            NaN            NaN
  1326.23        500.000        99.2166       0.402804       0.105973E-001            NaN  0.147162       0.222795                 NaN            NaN            NaN
  1325.09        500.000        99.2174       0.149369E-001  0.402744                 NaN  0.143013       0.221895                 NaN            NaN            NaN
  1323.95        500.000        99.2311       0.402272       0.367224E-002            NaN  0.144842       0.218066                 NaN            NaN            NaN
  1322.81        500.000        99.2330       0.399815       0.915798E-002            NaN  0.141000       0.216983                 NaN            NaN            NaN
  1321.67        500.000        99.2380       0.914098E-002  0.398723                 NaN  0.138840       0.215273                 NaN            NaN            NaN
  1320.53        500.000        99.2412       0.405634       0.440746E-003            NaN  0.138539       0.214194                 NaN            NaN            NaN
  1319.39        500.000        99.2508       0.392692       0.127479E-001            NaN  0.133083       0.210656                 NaN            NaN            NaN
  1318.25        500.000        99.2534       0.379385       0.387969E-001            NaN  0.120078       0.208306                 NaN            NaN            NaN
  1317.11        500.000        99.2586       0.395654                 NaN            NaN  0.136995       0.208712                 NaN            NaN            NaN
  1315.97        500.000        99.2654       0.398474                 NaN            NaN  0.130245       0.205898                 NaN            NaN            NaN
  1314.83        500.000        99.2667       0.399458                 NaN            NaN  0.128591       0.205244                 NaN            NaN            NaN
  1313.69        500.000        99.2748       0.386348       0.168178E-001            NaN  0.120232       0.201831                 NaN            NaN            NaN
  1312.55        500.000        98.9638       0.614082                 NaN            NaN  0.127705       0.278562       0.158164E-001            NaN            NaN
  1311.40        500.000        99.5566       0.151470       0.497791E-001            NaN  0.112315       0.129842                 NaN            NaN            NaN
  1310.26        500.000        99.2873       0.389157       0.111928E-001            NaN  0.114767       0.197560                 NaN            NaN            NaN
  1309.12        500.000        99.2923       0.608641E-002  0.392105                 NaN  0.113496       0.196030                 NaN            NaN            NaN
  1307.98        500.000        99.2878       0.400932                 NaN            NaN  0.110444       0.196166       0.461109E-002            NaN            NaN
  1306.84        500.000        99.2521       0.398295       0.261271E-001            NaN  0.949987E-001  0.202604       0.258670E-001            NaN            NaN
  1305.70        500.000        99.2237       0.423058                 NaN            NaN  0.975393E-001  0.208646       0.470646E-001            NaN            NaN
  1304.56        500.000        99.2313       0.419377                 NaN            NaN  0.963476E-001  0.206646       0.463488E-001            NaN            NaN
  1303.42        500.000        99.2390       0.413223                 NaN            NaN  0.976026E-001  0.204375       0.457861E-001            NaN            NaN
  1302.28        500.000        99.2476       0.407595                 NaN            NaN  0.973777E-001  0.202269       0.451489E-001            NaN            NaN
  1301.14        500.000        99.2554       0.403342                 NaN            NaN  0.968144E-001  0.200010       0.444581E-001            NaN            NaN
  1300.00        500.000        99.2627       0.398267                 NaN            NaN  0.970855E-001  0.198086       0.438732E-001            NaN            NaN
  1298.86        500.000        99.2693       0.398091                 NaN            NaN  0.935008E-001  0.196044       0.430622E-001            NaN            NaN
  1297.72        500.000        99.2790       0.388803                 NaN            NaN  0.957201E-001  0.193911       0.425730E-001            NaN            NaN
  1296.58        500.000        99.2828       0.391503                 NaN            NaN  0.918215E-001  0.192035       0.417926E-001            NaN            NaN
  1295.44        500.000        99.2910       0.384819                 NaN            NaN  0.928234E-001  0.190093       0.412408E-001            NaN            NaN
  1294.29        500.000        99.2981       0.382481                 NaN            NaN  0.909549E-001  0.187974       0.405368E-001            NaN            NaN
  1293.15        500.000        99.3050       0.378630                 NaN            NaN  0.903112E-001  0.186067       0.399609E-001            NaN            NaN
  1292.01        500.000        99.3121       0.374564                 NaN            NaN  0.897927E-001  0.184169       0.393698E-001            NaN            NaN
  1290.87        500.000        99.3182       0.374527                 NaN            NaN  0.862616E-001  0.182419       0.386315E-001            NaN            NaN
  1289.73        500.000        99.3249       0.371264                 NaN            NaN  0.853349E-001  0.180442       0.380440E-001            NaN            NaN
  1288.59        500.000        99.3308       0.368145                 NaN            NaN  0.849669E-001  0.178629       0.374531E-001            NaN            NaN
  1287.45        500.000        99.3379       0.362190                 NaN            NaN  0.860576E-001  0.176805       0.370289E-001            NaN            NaN
  1286.31        500.000        99.3403       0.363546                 NaN            NaN  0.834439E-001  0.176168       0.365646E-001            NaN            NaN
  1285.17        500.000        99.3534       0.356431                 NaN            NaN  0.824605E-001  0.172152       0.355236E-001            NaN            NaN
  1284.03        500.000        99.3566       0.355379                 NaN            NaN  0.813695E-001  0.171448       0.352067E-001            NaN            NaN
  1282.89        500.000        99.3624       0.353849                 NaN            NaN  0.792539E-001  0.169913       0.345462E-001            NaN            NaN
  1281.75        500.000        99.3685       0.351817                 NaN            NaN  0.777565E-001  0.167921       0.340353E-001            NaN            NaN
  1280.61        500.000        99.3739       0.348891                 NaN            NaN  0.771778E-001  0.166515       0.335041E-001            NaN            NaN
  1279.47        500.000        99.3797       0.346661                 NaN            NaN  0.759409E-001  0.164825       0.328990E-001            NaN            NaN
  1278.33        500.000        97.3413       0.835584                 NaN            NaN  0.127786       0.392962       0.975787E-001   1.20475                 NaN
  1277.18        500.000        91.0495        2.37319                 NaN            NaN  0.271528        1.09604       0.293193        4.91651                 NaN
  1276.04        500.000        91.8124        2.21420                 NaN            NaN  0.224993        1.00743       0.264640        4.47636                 NaN
  1274.90        500.000        92.4551        2.07451                 NaN            NaN  0.191927       0.931918       0.240991        4.10556                 NaN
  1273.76        500.000        93.0080        1.93750                 NaN            NaN  0.174857       0.866961       0.221581        3.79105                 NaN
  1272.62        500.000        93.4805        1.84483                 NaN            NaN  0.140636       0.811405       0.203689        3.51894                 NaN
  1271.48        500.000        93.9015        1.75006                 NaN            NaN  0.118689       0.761670       0.188443        3.27963                 NaN
  1270.34        500.000        94.2671        1.66054                 NaN            NaN  0.105775       0.718137       0.175577        3.07288                 NaN
  1269.20        500.000        94.5957        1.58474                 NaN            NaN  0.894784E-001  0.678968       0.163778        2.88736                 NaN
  1268.06        500.000        94.8881        1.50756                 NaN            NaN  0.830181E-001  0.643793       0.153807        2.72369                 NaN
  1266.92        500.000        95.1497        1.45080                 NaN            NaN  0.661641E-001  0.612420       0.144226        2.57670                 NaN
  1265.78        500.000        95.3895        1.38033                 NaN            NaN  0.672445E-001  0.583111       0.136374        2.44345                 NaN
  1264.64        500.000        95.5984        1.31802                 NaN            NaN  0.680862E-001  0.557490       0.129614        2.32837                 NaN
  1263.50        500.000        95.8028        1.27751                 NaN            NaN  0.509728E-001  0.532697       0.121906        2.21410                 NaN
  1262.36        500.000        95.9793        1.22846                 NaN            NaN  0.483980E-001  0.510890       0.115943        2.11696                 NaN
  1261.21        500.000        96.1439        1.17896                 NaN            NaN  0.492044E-001  0.490408       0.110568        2.02692                 NaN
  1260.07        500.000        96.2977        1.14173                 NaN            NaN  0.419361E-001  0.471398       0.105059        1.94215                 NaN
  1258.93        500.000        96.4421        1.10390                 NaN            NaN  0.371218E-001  0.453334       0.100021        1.86354                 NaN
  1257.79        500.000        96.5778        1.07083                 NaN            NaN  0.300774E-001  0.436443       0.951839E-001   1.78967                 NaN
  1256.65        500.000        96.6952        1.03490                 NaN            NaN  0.314560E-001  0.421408       0.913201E-001   1.72569                 NaN
  1255.51        500.000        96.8132        1.00478                 NaN            NaN  0.263596E-001  0.406520       0.871207E-001   1.66205                 NaN
  1254.37        500.000        96.9178       0.972805                 NaN            NaN  0.272851E-001  0.393053       0.836317E-001   1.60546                 NaN
  1253.23        500.000        97.0198       0.945639                 NaN            NaN  0.239755E-001  0.379910       0.800621E-001   1.55066                 NaN
  1252.09        500.000        97.1151       0.921110                 NaN            NaN  0.202177E-001  0.367709       0.766212E-001   1.49922                 NaN
  1250.95        500.000        97.2050       0.892423                 NaN            NaN  0.212281E-001  0.356082       0.736104E-001   1.45170                 NaN
  1249.81        500.000        97.2845       0.872297                 NaN            NaN  0.187846E-001  0.345279       0.708067E-001   1.40830                 NaN
  1248.67        500.000        97.3657       0.849329                 NaN            NaN  0.168677E-001  0.334767       0.679686E-001   1.36539                 NaN
  1247.53        500.000        97.4454       0.830222                 NaN            NaN  0.118758E-001  0.324541       0.649910E-001   1.32293                 NaN
  1246.39        500.000        97.5162       0.810771                 NaN            NaN  0.101701E-001  0.315079       0.624414E-001   1.28533                 NaN
  1245.25        500.000        97.5840       0.791711                 NaN            NaN  0.881302E-002  0.306056       0.600608E-001   1.24940                 NaN
  1244.10        500.000        97.6501       0.774659                 NaN            NaN  0.602003E-002  0.297208       0.576185E-001   1.21436                 NaN
  1242.96        500.000        97.7121       0.757697                 NaN            NaN  0.413623E-002  0.288998       0.553959E-001   1.18164                 NaN
  1241.82        500.000        97.7716       0.736766                 NaN            NaN  0.663218E-002  0.281393       0.531990E-001   1.15043                 NaN
  1240.68        500.000        97.8391       0.694487                 NaN            NaN  0.229439E-001  0.272891       0.517284E-001   1.11885                 NaN
  1239.54        500.000        97.8864       0.709363                 NaN            NaN  0.104895E-004  0.265786       0.489860E-001   1.08942                 NaN
  1238.40        500.000        97.9383       0.692039                 NaN            NaN            NaN  0.258909       0.471933E-001   1.06361                 NaN
  1237.26        500.000        97.9938       0.674042                 NaN            NaN            NaN  0.251138       0.455685E-001   1.03541                 NaN
  1236.12        500.000        98.0390       0.660725                 NaN            NaN            NaN  0.245735       0.435004E-001   1.01104                 NaN
  1234.98        500.000        98.0873       0.645136                 NaN            NaN            NaN  0.238825       0.420555E-001  0.986730                 NaN
  1233.84        500.000        98.1408       0.626237                 NaN            NaN  0.127073E-005  0.231972       0.403204E-001  0.960646                 NaN
  1232.70        500.000        98.1823       0.613540                 NaN            NaN            NaN  0.225545       0.391040E-001  0.939492                 NaN
  1231.56        500.000        96.9617       0.788878       0.799628E-001            NaN            NaN  0.384832       0.856551E-001   1.69894                 NaN
  1230.42        500.000        97.9767       0.797602                 NaN            NaN            NaN  0.242490       0.387570E-001  0.944496                 NaN
  1229.28        500.000        98.7916       0.357499                 NaN            NaN  0.116827E-005  0.131473       0.324792E-001  0.686921                 NaN
  1228.14        500.000        99.3692       0.131703                 NaN            NaN  0.126742       0.937097E-001            NaN  0.278630                 NaN
  1226.99        500.000        98.0867       0.761721E-001  0.605866                 NaN            NaN  0.234541       0.284379E-001  0.968248                 NaN
  1225.85        500.000        98.5745       0.510069                 NaN            NaN            NaN  0.158769       0.312282E-001  0.725399                 NaN
  1224.71        500.000        98.5566       0.482293                 NaN            NaN            NaN  0.181048       0.266379E-001  0.753372                 NaN
  1223.57        500.000        97.1378       0.778018                 NaN            NaN            NaN  0.351923       0.597154E-001   1.67259                 NaN
  1222.43        500.000        99.7366       0.232715                 NaN            NaN            NaN            NaN  0.166293E-001  0.140629E-001            NaN
  1221.29        500.000        98.8279       0.299761       0.107255                 NaN            NaN  0.144310       0.197112E-001  0.601066                 NaN
  1220.15        500.000        98.6284       0.360706       0.862546E-001            NaN            NaN  0.163518       0.273190E-001  0.733817                 NaN
  1219.01        500.000        98.5599       0.485690                 NaN            NaN  0.229890E-001  0.178703       0.223410E-001  0.730410                 NaN
  1217.87        500.000        98.4116       0.470950                 NaN            NaN            NaN  0.186044       0.330743E-001  0.898306                 NaN
  1216.73        500.000        98.9983       0.383261                 NaN            NaN  0.112595E-001  0.113935       0.179758E-001  0.475220                 NaN
  1215.59        500.000        91.3749       0.930293                 NaN            NaN  0.458689       0.798195       0.704757E-001   3.34679        3.02064     
  1214.45        500.000        99.9999       0.119458E-004            NaN            NaN            NaN  0.664979E-005            NaN  0.289313E-004  0.295644E-004
  1213.31        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN  0.243251E-005  0.239156E-005
  1212.17        500.000        79.6208        3.61281                 NaN            NaN            NaN   1.73707       0.172833        7.82414        7.03232     
  1211.03        500.000        88.9402       0.597523        1.03828                 NaN            NaN  0.932540       0.773903E-001   4.11599        4.29809     
  1209.88        500.000        83.0393        1.52301        1.25800                 NaN            NaN   1.40905       0.111333        6.18488        6.47439     
  1208.74        500.000        91.0181        1.48892                 NaN            NaN            NaN  0.743727       0.613079E-001   3.32156        3.36642     
  1207.60        500.000        89.1733        1.75086                 NaN            NaN            NaN  0.918411       0.638550E-001   3.96880        4.12480     
  1206.46        500.000        93.4305       0.596001       0.334817                 NaN            NaN  0.501757       0.617987E-001   2.49810        2.57699     
  1205.32        500.000        86.3981        2.22443       0.206450E-003            NaN            NaN   1.18465       0.633271E-001   4.96279        5.16654     
  1204.18        500.000        78.7983        3.29710                 NaN            NaN            NaN   1.71628       0.149795        7.88641        8.15211     
  1203.04        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1200.76        500.000        99.9909       0.272828E-003  0.115949E-002            NaN            NaN  0.769730E-003  0.482327E-004  0.337629E-002  0.349321E-002
  1199.62        500.000        76.9043        1.92214        1.59293                 NaN            NaN   1.90391       0.133758        8.56296        8.98004     
  1198.48        500.000        95.6201       0.808864                 NaN            NaN            NaN  0.363083       0.219492E-001   1.66976        1.51624     
  1197.34        500.000        93.2181       0.970366                 NaN            NaN            NaN  0.564895       0.390117E-001   2.57789        2.62970     
  1196.20        500.000        80.3051        2.64147       0.754981E-001            NaN            NaN   1.57476       0.113098        7.42308        7.86700     
  1195.06        500.000        99.2285       0.412600                 NaN            NaN            NaN  0.751070E-001            NaN  0.283754                 NaN
  1193.92        500.000        94.1855       0.301436       0.490114                 NaN            NaN  0.470457       0.303543E-001   2.28581        2.23633     
  1192.77        500.000        88.9826       0.298866        1.18054                 NaN            NaN  0.871680       0.547946E-001   4.31024        4.30123     
  1191.63        500.000       0.201748E-005   9.84769                 NaN            NaN   1.18853        7.16166       0.701669        41.2710        39.8295     
  1190.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.35        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1188.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1187.07        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1185.93        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1184.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1183.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1182.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1181.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1180.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1179.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1177.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1176.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1175.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1174.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1173.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1172.24        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1171.10        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
