|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1373.00        500.000        99.0286       0.123456       0.382170                 NaN  0.129608       0.336118                 NaN            NaN            NaN
  1371.86        500.000        99.0355       0.120101       0.381620                 NaN  0.128708       0.334092                 NaN            NaN            NaN
  1370.72        500.000        99.0591       0.112619       0.376069                 NaN  0.127279       0.324978                 NaN            NaN            NaN
  1369.58        500.000        99.0623       0.376451       0.107753                 NaN  0.128786       0.324710                 NaN            NaN            NaN
  1368.44        500.000        99.0725       0.374235       0.103291                 NaN  0.128658       0.321354                 NaN            NaN            NaN
  1367.30        500.000        99.0780       0.374513       0.978976E-001            NaN  0.129861       0.319752                 NaN            NaN            NaN
  1366.16        500.000        99.0938       0.924470E-001  0.370633                 NaN  0.128809       0.314275                 NaN            NaN            NaN
  1365.02        500.000        99.1020       0.367575       0.929803E-001            NaN  0.126582       0.310847                 NaN            NaN            NaN
  1363.88        500.000        98.9492       0.955758E-001  0.435849                 NaN  0.153906       0.365485                 NaN            NaN            NaN
  1362.74        500.000        99.2881       0.689566E-001  0.294154                 NaN  0.102577       0.246193                 NaN            NaN            NaN
  1361.59        500.000        99.1308       0.362522       0.773493E-001            NaN  0.127545       0.301784                 NaN            NaN            NaN
  1360.45        500.000        99.1403       0.360987       0.726909E-001            NaN  0.127376       0.298688                 NaN            NaN            NaN
  1359.31        500.000        99.1490       0.690229E-001  0.359285                 NaN  0.127019       0.295721                 NaN            NaN            NaN
  1358.17        500.000        99.1569       0.358102       0.644603E-001            NaN  0.127408       0.293133                 NaN            NaN            NaN
  1357.03        500.000        99.1650       0.614105E-001  0.356331                 NaN  0.126824       0.290431                 NaN            NaN            NaN
  1355.89        500.000        99.1772       0.352125       0.605079E-001            NaN  0.124570       0.285642                 NaN            NaN            NaN
  1354.75        500.000        99.1834       0.560971E-001  0.351893                 NaN  0.124839       0.283804                 NaN            NaN            NaN
  1353.61        500.000        99.1916       0.349679       0.528276E-001            NaN  0.124797       0.281075                 NaN            NaN            NaN
  1352.47        500.000        99.2010       0.475307E-001  0.349651                 NaN  0.124243       0.277596                 NaN            NaN            NaN
  1351.33        500.000        99.2084       0.346418       0.469282E-001            NaN  0.123175       0.275123                 NaN            NaN            NaN
  1350.19        500.000        99.2162       0.345662       0.431315E-001            NaN  0.122721       0.272323                 NaN            NaN            NaN
  1349.05        500.000        99.2245       0.344181       0.390475E-001            NaN  0.122661       0.269659                 NaN            NaN            NaN
  1347.91        500.000        99.2314       0.342960       0.374826E-001            NaN  0.121262       0.266859                 NaN            NaN            NaN
  1346.77        500.000        98.9290       0.287399       0.428201E-002            NaN  0.400602       0.378701                 NaN            NaN            NaN
  1345.63        500.000        99.4558       0.328989                 NaN            NaN  0.117989E-003  0.215097                 NaN            NaN            NaN
  1344.48        500.000        99.3700       0.430492                 NaN            NaN  0.299716E-002  0.196539                 NaN            NaN            NaN
  1343.34        500.000        99.2561       0.299061       0.120412                 NaN  0.753522E-001  0.249090                 NaN            NaN            NaN
  1342.20        500.000        99.2680       0.334637       0.263793E-001            NaN  0.117178       0.253810                 NaN            NaN            NaN
  1341.06        500.000        99.2746       0.333695       0.243039E-001            NaN  0.116139       0.251310                 NaN            NaN            NaN
  1339.92        500.000        99.2816       0.332246       0.219721E-001            NaN  0.115379       0.248827                 NaN            NaN            NaN
  1338.78        500.000        99.2884       0.197308E-001  0.330916                 NaN  0.114526       0.246381                 NaN            NaN            NaN
  1337.64        500.000        99.2936       0.329759       0.191499E-001            NaN  0.113150       0.244294                 NaN            NaN            NaN
  1336.50        500.000        99.3012       0.327276       0.180950E-001            NaN  0.111918       0.241513                 NaN            NaN            NaN
  1335.36        500.000        99.3079       0.325981       0.162923E-001            NaN  0.110849       0.238959                 NaN            NaN            NaN
  1334.22        500.000        99.3127       0.326360       0.142481E-001            NaN  0.109639       0.237008                 NaN            NaN            NaN
  1333.08        500.000        99.3175       0.142499E-001  0.325225                 NaN  0.107917       0.235131                 NaN            NaN            NaN
  1331.94        500.000        99.3271       0.116278E-001  0.322168                 NaN  0.107366       0.231695                 NaN            NaN            NaN
  1330.80        500.000        99.3322       0.919549E-002  0.322050                 NaN  0.106595       0.229972                 NaN            NaN            NaN
  1329.66        500.000        99.3368       0.948870E-002  0.320249                 NaN  0.105125       0.228327                 NaN            NaN            NaN
  1328.51        500.000        99.3454       0.899972E-002  0.318008                 NaN  0.103029       0.224525                 NaN            NaN            NaN
  1327.37        500.000        99.3486       0.316571       0.991148E-002            NaN  0.101632       0.223330                 NaN            NaN            NaN
  1326.23        500.000        99.3543       0.315950       0.816621E-002            NaN  0.100441       0.221155                 NaN            NaN            NaN
  1325.09        500.000        99.3556       0.114989E-001  0.315405                 NaN  0.974495E-001  0.220092                 NaN            NaN            NaN
  1323.95        500.000        99.3677       0.314763       0.282375E-002            NaN  0.985431E-001  0.216125                 NaN            NaN            NaN
  1322.81        500.000        99.3699       0.312414       0.703403E-002            NaN  0.957724E-001  0.214886                 NaN            NaN            NaN
  1321.67        500.000        99.3746       0.701317E-002  0.311149                 NaN  0.941673E-001  0.213026                 NaN            NaN            NaN
  1320.53        500.000        99.3779       0.316131       0.337845E-003            NaN  0.938061E-001  0.211794                 NaN            NaN            NaN
  1319.39        500.000        99.3864       0.305688       0.976002E-002            NaN  0.899867E-001  0.208132                 NaN            NaN            NaN
  1318.25        500.000        99.3886       0.294991       0.296741E-001            NaN  0.810470E-001  0.205653                 NaN            NaN            NaN
  1317.11        500.000        99.3945       0.307298                 NaN            NaN  0.923155E-001  0.205894                 NaN            NaN            NaN
  1315.97        500.000        99.4004       0.309043                 NaN            NaN  0.876368E-001  0.202958                 NaN            NaN            NaN
  1314.83        500.000        99.4021       0.309373                 NaN            NaN  0.863579E-001  0.202157                 NaN            NaN            NaN
  1313.69        500.000        99.4090       0.298892       0.128119E-001            NaN  0.806427E-001  0.198639                 NaN            NaN            NaN
  1312.55        500.000        99.1574       0.474277                 NaN            NaN  0.851713E-001  0.274023       0.908248E-002            NaN            NaN
  1311.40        500.000        99.6428       0.116818       0.378273E-001            NaN  0.750694E-001  0.127517                 NaN            NaN            NaN
  1310.26        500.000        99.4210       0.299882       0.850104E-002            NaN  0.766163E-001  0.193966                 NaN            NaN            NaN
  1309.12        500.000        99.4256       0.461817E-002  0.301773                 NaN  0.756666E-001  0.192314                 NaN            NaN            NaN
  1307.98        500.000        99.4235       0.308112                 NaN            NaN  0.734966E-001  0.192299       0.263852E-002            NaN            NaN
  1306.84        500.000        99.3981       0.305731       0.197874E-001            NaN  0.631396E-001  0.198457       0.147897E-001            NaN            NaN
  1305.70        500.000        99.3797       0.324518                 NaN            NaN  0.647216E-001  0.204196       0.268857E-001            NaN            NaN
  1304.56        500.000        99.3864       0.321251                 NaN            NaN  0.638209E-001  0.202041       0.264504E-001            NaN            NaN
  1303.42        500.000        99.3935       0.316260                 NaN            NaN  0.645413E-001  0.199624       0.261033E-001            NaN            NaN
  1302.28        500.000        99.4010       0.311601                 NaN            NaN  0.642869E-001  0.197374       0.257144E-001            NaN            NaN
  1301.14        500.000        99.4079       0.307979                 NaN            NaN  0.638150E-001  0.194979       0.252959E-001            NaN            NaN
  1300.00        500.000        99.4145       0.303754                 NaN            NaN  0.638849E-001  0.192916       0.249384E-001            NaN            NaN
  1298.86        500.000        99.4202       0.303157                 NaN            NaN  0.614299E-001  0.190742       0.244534E-001            NaN            NaN
  1297.72        500.000        99.4287       0.295847                 NaN            NaN  0.627925E-001  0.188484       0.241518E-001            NaN            NaN
  1296.58        500.000        99.4323       0.297419                 NaN            NaN  0.601286E-001  0.186482       0.236860E-001            NaN            NaN
  1295.44        500.000        99.4395       0.292046                 NaN            NaN  0.606708E-001  0.184418       0.233505E-001            NaN            NaN
  1294.29        500.000        99.4456       0.289889                 NaN            NaN  0.593656E-001  0.182189       0.229296E-001            NaN            NaN
  1293.15        500.000        99.4518       0.286644                 NaN            NaN  0.588541E-001  0.180168       0.225820E-001            NaN            NaN
  1292.01        500.000        99.4580       0.283244                 NaN            NaN  0.584172E-001  0.178162       0.222265E-001            NaN            NaN
  1290.87        500.000        99.4631       0.282781                 NaN            NaN  0.560404E-001  0.176302       0.217888E-001            NaN            NaN
  1289.73        500.000        99.4690       0.279983                 NaN            NaN  0.553635E-001  0.174228       0.214370E-001            NaN            NaN
  1288.59        500.000        99.4743       0.277284                 NaN            NaN  0.550248E-001  0.172317       0.210840E-001            NaN            NaN
  1287.45        500.000        99.4805       0.272594                 NaN            NaN  0.556460E-001  0.170398       0.208254E-001            NaN            NaN
  1286.31        500.000        99.4828       0.273134                 NaN            NaN  0.538666E-001  0.169627       0.205449E-001            NaN            NaN
  1285.17        500.000        99.4938       0.267543                 NaN            NaN  0.531561E-001  0.165605       0.199410E-001            NaN            NaN
  1284.03        500.000        99.4967       0.266446                 NaN            NaN  0.523784E-001  0.164777       0.197448E-001            NaN            NaN
  1282.89        500.000        99.5016       0.264902                 NaN            NaN  0.509449E-001  0.163152       0.193564E-001            NaN            NaN
  1281.75        500.000        99.5069       0.263096                 NaN            NaN  0.499014E-001  0.161093       0.190525E-001            NaN            NaN
  1280.61        500.000        99.5116       0.260563                 NaN            NaN  0.494568E-001  0.159599       0.187379E-001            NaN            NaN
  1279.47        500.000        99.5166       0.258597                 NaN            NaN  0.485956E-001  0.157837       0.183825E-001            NaN            NaN
  1278.33        500.000        97.6215       0.623225                 NaN            NaN  0.817390E-001  0.376536       0.545558E-001   1.24249                 NaN
  1277.18        500.000        91.7437        1.77361                 NaN            NaN  0.173920        1.05425       0.164549        5.08999                 NaN
  1276.04        500.000        92.4637        1.64923                 NaN            NaN  0.143611       0.967613       0.148306        4.62759                 NaN
  1274.90        500.000        93.0705        1.54044                 NaN            NaN  0.122050       0.893825       0.134861        4.23831                 NaN
  1273.76        500.000        93.5920        1.43480                 NaN            NaN  0.110795       0.830368       0.123824        3.90819                 NaN
  1272.62        500.000        94.0368        1.36186                 NaN            NaN  0.888390E-001  0.776099       0.113670        3.62275                 NaN
  1271.48        500.000        94.4327        1.28819                 NaN            NaN  0.747417E-001  0.727546       0.105018        3.37184                 NaN
  1270.34        500.000        94.7767        1.21911                 NaN            NaN  0.664062E-001  0.685050       0.977163E-001   3.15507                 NaN
  1269.20        500.000        95.0852        1.16033                 NaN            NaN  0.560026E-001  0.646825       0.910269E-001   2.96065                 NaN
  1268.06        500.000        95.3600        1.10118                 NaN            NaN  0.518211E-001  0.612504       0.853708E-001   2.78914                 NaN
  1266.92        500.000        95.6050        1.05684                 NaN            NaN  0.411870E-001  0.581890       0.799463E-001   2.63515                 NaN
  1265.78        500.000        95.8305        1.00338                 NaN            NaN  0.417458E-001  0.553312       0.754934E-001   2.49559                 NaN
  1264.64        500.000        96.0269       0.956091                 NaN            NaN  0.421596E-001  0.528304       0.716555E-001   2.37492                 NaN
  1263.50        500.000        96.2175       0.924205                 NaN            NaN  0.314844E-001  0.504138       0.673039E-001   2.25537                 NaN
  1262.36        500.000        96.3830       0.886761                 NaN            NaN  0.298187E-001  0.482867       0.639269E-001   2.15359                 NaN
  1261.21        500.000        96.5374       0.849337                 NaN            NaN  0.302410E-001  0.462898       0.608819E-001   2.05927                 NaN
  1260.07        500.000        96.6810       0.820606                 NaN            NaN  0.257112E-001  0.444366       0.577712E-001   1.97055                 NaN
  1258.93        500.000        96.8156       0.791653                 NaN            NaN  0.227081E-001  0.426775       0.549276E-001   1.88829                 NaN
  1257.79        500.000        96.9418       0.766212                 NaN            NaN  0.183579E-001  0.410334       0.522016E-001   1.81106                 NaN
  1256.65        500.000        97.0520       0.739073                 NaN            NaN  0.191550E-001  0.395681       0.500165E-001   1.74404                 NaN
  1255.51        500.000        97.1616       0.716014                 NaN            NaN  0.160141E-001  0.381200       0.476530E-001   1.67751                 NaN
  1254.37        500.000        97.2595       0.691926                 NaN            NaN  0.165418E-001  0.368091       0.456843E-001   1.61828                 NaN
  1253.23        500.000        97.3543       0.671189                 NaN            NaN  0.145051E-001  0.355318       0.436764E-001   1.56099                 NaN
  1252.09        500.000        97.4429       0.652419                 NaN            NaN  0.122063E-001  0.343457       0.417441E-001   1.50724                 NaN
  1250.95        500.000        97.5265       0.630917                 NaN            NaN  0.127889E-001  0.332163       0.400509E-001   1.45756                 NaN
  1249.81        500.000        97.6009       0.615559                 NaN            NaN  0.112932E-001  0.321669       0.384749E-001   1.41215                 NaN
  1248.67        500.000        97.6760       0.598158                 NaN            NaN  0.101215E-001  0.311469       0.368841E-001   1.36734                 NaN
  1247.53        500.000        97.7495       0.583465                 NaN            NaN  0.711202E-002  0.301563       0.352219E-001   1.32309                 NaN
  1246.39        500.000        97.8152       0.568721                 NaN            NaN  0.607867E-002  0.292395       0.337962E-001   1.28383                 NaN
  1245.25        500.000        97.8779       0.554340                 NaN            NaN  0.525762E-002  0.283657       0.324654E-001   1.24634                 NaN
  1244.10        500.000        97.9390       0.541335                 NaN            NaN  0.358464E-002  0.275104       0.311050E-001   1.20984                 NaN
  1242.96        500.000        97.9963       0.528486                 NaN            NaN  0.245833E-002  0.267163       0.298666E-001   1.17573                 NaN
  1241.82        500.000        98.0515       0.512927                 NaN            NaN  0.393445E-002  0.259802       0.286452E-001   1.14322                 NaN
  1240.68        500.000        98.1135       0.483111                 NaN            NaN  0.135822E-001  0.251627       0.278170E-001   1.11040                 NaN
  1239.54        500.000        98.1570       0.492035                 NaN            NaN  0.620063E-005  0.244769       0.263089E-001   1.07984                 NaN
  1238.40        500.000        98.2045       0.479146                 NaN            NaN            NaN  0.238136       0.253139E-001   1.05292                 NaN
  1237.26        500.000        98.2551       0.466022                 NaN            NaN            NaN  0.230700       0.244114E-001   1.02372                 NaN
  1236.12        500.000        98.2971       0.455796                 NaN            NaN            NaN  0.225457       0.232743E-001  0.998391                 NaN
  1234.98        500.000        98.3411       0.444427                 NaN            NaN            NaN  0.218846       0.224730E-001  0.973173                 NaN
  1233.84        500.000        98.3893       0.430631                 NaN            NaN  0.744782E-006  0.212304       0.215189E-001  0.946280                 NaN
  1232.70        500.000        98.4273       0.421387                 NaN            NaN            NaN  0.206171       0.208440E-001  0.924312                 NaN
  1231.56        500.000        97.3317       0.545659       0.542898E-001            NaN            NaN  0.351656       0.456415E-001   1.67105                 NaN
  1230.42        500.000        98.2862       0.545318                 NaN            NaN            NaN  0.221076       0.206039E-001  0.926846                 NaN
  1229.28        500.000        98.9473       0.243407                 NaN            NaN  0.678389E-006  0.119588       0.172267E-001  0.672506                 NaN
  1228.14        500.000        99.4794       0.894378E-001            NaN            NaN  0.736014E-001  0.851332E-001            NaN  0.272439                 NaN
  1226.99        500.000        98.3602       0.523911E-001  0.412296                 NaN            NaN  0.213136       0.150684E-001  0.946934                 NaN
  1225.85        500.000        98.7808       0.350385                 NaN            NaN            NaN  0.144029       0.165181E-001  0.708228                 NaN
  1224.71        500.000        98.7610       0.326069                 NaN            NaN            NaN  0.164063       0.140747E-001  0.734766                 NaN
  1223.57        500.000        97.4847       0.533949                 NaN            NaN            NaN  0.318881       0.315487E-001   1.63093                 NaN
  1222.43        500.000        99.8184       0.159174                 NaN            NaN            NaN            NaN  0.875646E-002  0.136690E-001            NaN
  1221.29        500.000        98.9999       0.202127       0.730866E-001            NaN            NaN  0.130331       0.103792E-001  0.584214                 NaN
  1220.15        500.000        98.8229       0.244359       0.580727E-001            NaN            NaN  0.147565       0.143739E-001  0.712779                 NaN
  1219.01        500.000        98.7789       0.326285                 NaN            NaN  0.132304E-001  0.161112       0.117432E-001  0.708694                 NaN
  1217.87        500.000        98.6246       0.319919                 NaN            NaN            NaN  0.167545       0.173654E-001  0.870602                 NaN
  1216.73        500.000        99.1644       0.257314                 NaN            NaN  0.645654E-002  0.102457       0.942427E-002  0.459905                 NaN
  1215.59        500.000        92.1611       0.632548                 NaN            NaN  0.264016       0.721859       0.371579E-001   3.25686        2.92651     
  1214.45        500.000        99.9999       0.805305E-005            NaN            NaN            NaN  0.596258E-005            NaN  0.279167E-004  0.283996E-004
  1213.31        500.000       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN  0.234753E-005  0.229741E-005
  1212.17        500.000        81.2676        2.48170                 NaN            NaN            NaN   1.58635       0.920142E-001   7.69188        6.88045     
  1211.03        500.000        89.8445       0.401894       0.703643                 NaN            NaN  0.842783       0.407734E-001   4.00473        4.16172     
  1209.88        500.000        84.4050        1.04576       0.855805                 NaN            NaN   1.28028       0.589707E-001   6.05143        6.30280     
  1208.74        500.000        91.8142        1.00880                 NaN            NaN            NaN  0.670249       0.322083E-001   3.22395        3.25057     
  1207.60        500.000        90.1115        1.18219                 NaN            NaN            NaN  0.828558       0.335817E-001   3.85699        3.98720     
  1206.46        500.000        93.9815       0.404714       0.233138                 NaN            NaN  0.450639       0.323541E-001   2.41770        2.47992     
  1205.32        500.000        87.5589        1.49994       0.140084E-003            NaN            NaN   1.07068       0.333632E-001   4.83356        5.00344     
  1204.18        500.000        80.4246        2.26556                 NaN            NaN            NaN   1.56033       0.793829E-001   7.72859        7.94157     
  1203.04        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1200.76        500.000        99.9918       0.183624E-003  0.771492E-003            NaN            NaN  0.685655E-003  0.250433E-004  0.324462E-002  0.333452E-002
  1199.62        500.000        78.6355        1.32287        1.08287                 NaN            NaN   1.73152       0.709051E-001   8.40425        8.75208     
  1198.48        500.000        96.0601       0.544090                 NaN            NaN            NaN  0.324174       0.114225E-001   1.60941        1.45078     
  1197.34        500.000        93.8145       0.651221                 NaN            NaN            NaN  0.505057       0.203297E-001   2.48920        2.51971     
  1196.20        500.000        81.7739        1.81686       0.510884E-001            NaN            NaN   1.42378       0.595989E-001   7.25193        7.62287     
  1195.06        500.000        99.3839       0.276600                 NaN            NaN            NaN  0.667242E-001            NaN  0.272758                 NaN
  1193.92        500.000        94.6926       0.200451       0.330209                 NaN            NaN  0.419403       0.157716E-001   2.20484        2.13674     
  1192.77        500.000        89.8860       0.203530       0.795695                 NaN            NaN  0.780346       0.285894E-001   4.17880        4.12701     
  1191.63        500.000       0.220304E-005   7.21187                 NaN            NaN  0.731884        6.93176       0.395816        43.4089        41.3197     
  1190.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.35        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1188.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1187.07        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1185.93        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1184.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1183.65        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1182.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1181.37        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1180.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1179.09        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1177.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1176.80        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1175.66        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1174.52        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
