|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1319.16        500.000        99.3041       0.265783       0.762937E-001  0.191675       0.162166                 NaN            NaN            NaN            NaN            NaN
  1318.13        500.000        99.3079       0.757472E-001  0.264405       0.190489       0.161498                 NaN            NaN            NaN            NaN            NaN
  1317.09        500.000        99.3133       0.262948       0.743323E-001  0.188762       0.160683                 NaN            NaN            NaN            NaN            NaN
  1316.05        500.000        99.3170       0.261921       0.732294E-001  0.187683       0.160207                 NaN            NaN            NaN            NaN            NaN
  1315.02        500.000        99.3209       0.728728E-001  0.260216       0.186462       0.159545                 NaN            NaN            NaN            NaN            NaN
  1313.98        500.000        99.3245       0.718026E-001  0.259502       0.185295       0.158926                 NaN            NaN            NaN            NaN            NaN
  1312.94        500.000        99.3223       0.259201       0.764659E-001  0.184578       0.152152       0.527216E-002            NaN            NaN            NaN            NaN
  1311.91        500.000        99.2478       0.279821       0.118444       0.193961       0.933833E-001  0.666143E-001            NaN            NaN            NaN            NaN
  1310.87        500.000        99.2436       0.121416       0.282692       0.193565       0.857235E-001  0.729715E-001            NaN            NaN            NaN            NaN
  1309.84        500.000        99.2351       0.288868       0.122975       0.193931       0.773361E-001  0.817593E-001            NaN            NaN            NaN            NaN
  1308.80        500.000        99.2329       0.291022       0.124591       0.193441       0.713286E-001  0.867180E-001            NaN            NaN            NaN            NaN
  1307.76        500.000        99.2279       0.294967       0.126220       0.193414       0.647545E-001  0.927538E-001            NaN            NaN            NaN            NaN
  1306.73        500.000        99.2309       0.126034       0.295131       0.191959       0.610733E-001  0.948750E-001            NaN            NaN            NaN            NaN
  1305.69        500.000        99.2319       0.295706       0.126358       0.191150       0.572412E-001  0.976902E-001            NaN            NaN            NaN            NaN
  1304.65        500.000        99.2330       0.296277       0.127269       0.190214       0.532091E-001  0.100081                 NaN            NaN            NaN            NaN
  1303.62        500.000        99.2375       0.295265       0.125970       0.188847       0.514099E-001  0.100983                 NaN            NaN            NaN            NaN
  1302.58        500.000        99.2394       0.126457       0.295569       0.187858       0.479699E-001  0.102717                 NaN            NaN            NaN            NaN
  1301.55        500.000        99.2453       0.293764       0.125338       0.186249       0.465640E-001  0.102818                 NaN            NaN            NaN            NaN
  1300.51        500.000        99.2508       0.124993       0.291619       0.184807       0.449137E-001  0.102892                 NaN            NaN            NaN            NaN
  1299.47        500.000        99.2550       0.290628       0.124593       0.183520       0.429879E-001  0.103283                 NaN            NaN            NaN            NaN
  1298.44        500.000        99.2605       0.288795       0.124237       0.181967       0.413007E-001  0.103156                 NaN            NaN            NaN            NaN
  1297.40        500.000        99.2668       0.123469       0.286305       0.180451       0.402973E-001  0.102674                 NaN            NaN            NaN            NaN
  1296.36        500.000        99.2727       0.283348       0.124328       0.178959       0.387983E-001  0.101912                 NaN            NaN            NaN            NaN
  1295.33        500.000        99.2786       0.281258       0.123479       0.177446       0.377088E-001  0.101462                 NaN            NaN            NaN            NaN
  1294.29        500.000        99.2837       0.279317       0.123623       0.176080       0.360146E-001  0.101295                 NaN            NaN            NaN            NaN
  1293.26        500.000        99.2904       0.276428       0.123417       0.174403       0.351141E-001  0.100226                 NaN            NaN            NaN            NaN
  1292.22        500.000        99.2965       0.273516       0.123738       0.172934       0.339098E-001  0.994056E-001            NaN            NaN            NaN            NaN
  1291.18        500.000        99.3025       0.270745       0.123856       0.171445       0.328167E-001  0.985992E-001            NaN            NaN            NaN            NaN
  1290.15        500.000        99.3077       0.268667       0.123920       0.170090       0.313745E-001  0.981998E-001            NaN            NaN            NaN            NaN
  1289.11        500.000        99.3167       0.125468       0.262772       0.168257       0.306583E-001  0.961778E-001            NaN            NaN            NaN            NaN
  1288.07        500.000        99.3206       0.122403       0.263389       0.166975       0.301674E-001  0.964156E-001            NaN            NaN            NaN            NaN
  1287.04        500.000        99.3262       0.260037       0.124597       0.165580       0.280796E-001  0.954948E-001            NaN            NaN            NaN            NaN
  1286.00        500.000        99.3329       0.123686       0.256892       0.164092       0.278967E-001  0.944847E-001            NaN            NaN            NaN            NaN
  1284.97        500.000        99.3385       0.254093       0.125195       0.162603       0.261426E-001  0.934333E-001            NaN            NaN            NaN            NaN
  1283.93        500.000        99.3141       0.222102       0.209825       0.166373                 NaN  0.875854E-001            NaN            NaN            NaN            NaN
  1282.89        500.000        99.3817       0.289237       0.278548E-001  0.154582       0.503166E-001  0.963564E-001            NaN            NaN            NaN            NaN
  1281.86        500.000        99.3553       0.127031       0.245762       0.158458       0.223691E-001  0.911063E-001            NaN            NaN            NaN            NaN
  1280.82        500.000        99.3609       0.242465       0.128165       0.157153       0.212989E-001  0.899827E-001            NaN            NaN            NaN            NaN
  1279.78        500.000        99.3670       0.239648       0.128041       0.155717       0.205326E-001  0.890303E-001            NaN            NaN            NaN            NaN
  1278.75        500.000        99.3722       0.236975       0.128784       0.154429       0.193669E-001  0.882065E-001            NaN            NaN            NaN            NaN
  1277.71        500.000        99.3781       0.129587       0.233852       0.152995       0.182110E-001  0.872200E-001            NaN            NaN            NaN            NaN
  1276.68        500.000        99.3831       0.130294       0.231200       0.151834       0.171585E-001  0.863816E-001            NaN            NaN            NaN            NaN
  1275.64        500.000        99.3885       0.228117       0.131801       0.150468       0.155491E-001  0.855447E-001            NaN            NaN            NaN            NaN
  1274.60        500.000        99.3938       0.132250       0.225570       0.149181       0.145464E-001  0.847016E-001            NaN            NaN            NaN            NaN
  1273.57        500.000        99.3993       0.222629       0.132779       0.147886       0.136183E-001  0.838063E-001            NaN            NaN            NaN            NaN
  1272.53        500.000        99.4044       0.219857       0.133533       0.146677       0.126269E-001  0.829001E-001            NaN            NaN            NaN            NaN
  1271.50        500.000        97.7269       0.360657       0.440616       0.332799                 NaN  0.194646                 NaN  0.944392                 NaN            NaN
  1270.46        500.000        89.4807        1.53804        1.40640        1.25242                 NaN  0.725624                 NaN   5.59677                 NaN            NaN
  1269.42        500.000        90.6091        1.37497        1.26344        1.12412                 NaN  0.645950                 NaN   4.98241                 NaN            NaN
  1268.39        500.000        91.5265        1.24123        1.14808        1.01950                 NaN  0.580588                 NaN   4.48412                 NaN            NaN
  1267.35        500.000        92.2800        1.13282        1.04902       0.933300                 NaN  0.528873                 NaN   4.07601                 NaN            NaN
  1266.31        500.000        92.9094       0.965975        1.04244       0.860890                 NaN  0.485344                 NaN   3.73592                 NaN            NaN
  1265.28        500.000        93.4445       0.965817       0.894300       0.799381                 NaN  0.448946                 NaN   3.44710                 NaN            NaN
  1264.24        500.000        93.8846       0.902517       0.837938       0.748683                 NaN  0.417413                 NaN   3.20887                 NaN            NaN
  1263.21        500.000        94.3094       0.774248       0.844045       0.699049                 NaN  0.391016                 NaN   2.98219                 NaN            NaN
  1262.17        500.000        94.6500       0.796101       0.725111       0.659427                 NaN  0.368973                 NaN   2.80042                 NaN            NaN
  1261.13        500.000        94.9612       0.752360       0.680628       0.623045                 NaN  0.348483                 NaN   2.63429                 NaN            NaN
  1260.10        500.000        95.2353       0.714299       0.640280       0.590872                 NaN  0.330801                 NaN   2.48850                 NaN            NaN
  1259.06        500.000        95.4792       0.604504       0.680752       0.562082                 NaN  0.314921                 NaN   2.35853                 NaN            NaN
  1258.02        500.000        95.7034       0.570402       0.649817       0.535599                 NaN  0.300742                 NaN   2.24006                 NaN            NaN
  1256.99        500.000        95.9010       0.622898       0.539666       0.512075                 NaN  0.288516                 NaN   2.13587                 NaN            NaN
  1255.95        500.000        96.0847       0.597857       0.512396       0.490060                 NaN  0.276371                 NaN   2.03858                 NaN            NaN
  1254.92        500.000        96.2511       0.486804       0.574769       0.470241                 NaN  0.265699                 NaN   1.95138                 NaN            NaN
  1253.88        500.000        96.4059       0.553986       0.462264       0.451541                 NaN  0.255914                 NaN   1.87042                 NaN            NaN
  1252.84        500.000        96.5468       0.440464       0.534717       0.434501                 NaN  0.246896                 NaN   1.79662                 NaN            NaN
  1251.81        500.000        96.6772       0.419830       0.516744       0.418715                 NaN  0.238583                 NaN   1.72897                 NaN            NaN
  1250.77        500.000        96.8015       0.500216       0.399660       0.403346                 NaN  0.230751                 NaN   1.66454                 NaN            NaN
  1249.73        500.000        96.9142       0.484475       0.382539       0.389541                 NaN  0.223445                 NaN   1.60576                 NaN            NaN
  1248.70        500.000        97.0200       0.364402       0.470419       0.376615                 NaN  0.216860                 NaN   1.55167                 NaN            NaN
  1247.66        500.000        97.1226       0.348589       0.455946       0.363888                 NaN  0.210109                 NaN   1.49888                 NaN            NaN
  1246.63        500.000        97.2126       0.443593       0.334729       0.352740                 NaN  0.204210                 NaN   1.45213                 NaN            NaN
  1245.59        500.000        97.3028       0.431168       0.320014       0.341343                 NaN  0.198291                 NaN   1.40638                 NaN            NaN
  1244.55        500.000        97.3849       0.307811       0.419232       0.331065                 NaN  0.192661                 NaN   1.36428                 NaN            NaN
  1243.52        500.000        97.4624       0.408402       0.295397       0.321303                 NaN  0.187462                 NaN   1.32505                 NaN            NaN
  1242.48        500.000        97.5423       0.282668       0.397447       0.311177                 NaN  0.182170                 NaN   1.28422                 NaN            NaN
  1241.44        500.000        97.6103       0.272502       0.387207       0.302438                 NaN  0.177404                 NaN   1.25017                 NaN            NaN
  1240.41        500.000        97.6777       0.377536       0.262320       0.293824                 NaN  0.172679                 NaN   1.21597                 NaN            NaN
  1239.37        500.000        97.7429       0.368070       0.252558       0.285506                 NaN  0.168027                 NaN   1.18296                 NaN            NaN
  1238.34        500.000        97.8053       0.243152       0.357158       0.277377                 NaN  0.163763                 NaN   1.15327                 NaN            NaN
  1237.30        500.000        97.8660       0.351982       0.232287       0.269342                 NaN  0.159595                 NaN   1.12082                 NaN            NaN
  1236.26        500.000        97.8725       0.361624       0.209423       0.268849                 NaN  0.167136                 NaN   1.12047                 NaN            NaN
  1235.23        500.000        95.4496       0.353689       0.742890       0.586749                 NaN  0.271608                 NaN   2.55405       0.414384E-001            NaN
  1234.19        500.000        98.9161       0.103791       0.297094       0.119687                 NaN            NaN            NaN  0.526163       0.371889E-001            NaN
  1233.15        500.000        99.1459       0.141693       0.191654       0.114471                 NaN  0.596436E-001            NaN  0.346673                 NaN            NaN
  1232.12        500.000        98.7291       0.165808       0.207838       0.151549                 NaN  0.682282E-001            NaN  0.666399       0.111155E-001            NaN
  1231.08        500.000        97.9899       0.236597       0.314461       0.253948                 NaN  0.643017E-001  0.815601E-001   1.05919                 NaN            NaN
  1230.05        500.000        98.3511       0.256073       0.215769       0.204258                 NaN  0.821825E-001            NaN  0.870735       0.198940E-001            NaN
  1229.01        500.000        98.2201       0.250621       0.260847       0.221642                 NaN  0.704045E-001            NaN  0.945951       0.304501E-001            NaN
  1227.97        500.000        97.7848       0.302096       0.320135       0.284311                 NaN  0.920324E-001            NaN   1.17886       0.377230E-001            NaN
  1226.94        500.000        98.8056       0.173509       0.182219       0.139145                 NaN  0.443125E-001            NaN  0.636312       0.189002E-001            NaN
  1225.90        500.000        97.6262       0.318371       0.358343       0.307579                 NaN  0.836628E-001            NaN   1.25885       0.469577E-001            NaN
  1224.86        500.000        97.2481       0.574738       0.288101       0.393873                 NaN            NaN            NaN   1.37870       0.116440                 NaN
  1223.83        500.000        99.6292       0.858145E-001            NaN  0.319541E-001            NaN            NaN            NaN  0.253035                 NaN            NaN
  1222.79        500.000        98.5079       0.197814       0.230540       0.134530                 NaN            NaN            NaN  0.873033       0.562100E-001            NaN
  1221.76        500.000        99.0117       0.198706       0.132390       0.112679                 NaN  0.389047E-001            NaN  0.505577                 NaN            NaN
  1220.72        500.000        98.4800       0.171575       0.238755       0.188715                 NaN  0.106104                 NaN  0.814885                 NaN            NaN
  1219.68        500.000        97.2054       0.443902       0.190158       0.357517                 NaN  0.162696                 NaN   1.62285       0.174699E-001            NaN
  1218.65        500.000        99.0729       0.270989       0.132214       0.974330E-001            NaN            NaN            NaN  0.381927       0.445529E-001            NaN
  1217.61        500.000        98.5417       0.756807E-001  0.253344       0.185502                 NaN  0.113159                 NaN  0.830614                 NaN            NaN
  1216.57        500.000        99.8996       0.811184E-001            NaN  0.499978E-003            NaN            NaN            NaN  0.407683E-002  0.147048E-001            NaN
  1215.54        500.000        98.0083       0.613200                 NaN  0.267783                 NaN  0.281532E-001            NaN   1.08258                 NaN            NaN
  1214.50        500.000        99.9699       0.117736E-001            NaN  0.512455E-003            NaN  0.178308E-001            NaN            NaN            NaN            NaN
  1213.47        500.000        97.2676       0.740479                 NaN  0.316165                 NaN  0.184186                 NaN   1.47413       0.174141E-001            NaN
  1212.43        500.000        98.9947       0.236379                 NaN  0.135868                 NaN  0.767741E-001            NaN  0.556291                 NaN            NaN
  1211.39        500.000        96.4298       0.212407       0.974974       0.439152                 NaN  0.260301E-002            NaN   1.85772       0.833768E-001            NaN
  1210.36        500.000        99.8715       0.252863E-001            NaN  0.262234E-002            NaN            NaN            NaN  0.993057E-001  0.130383E-002            NaN
  1209.32        500.000        99.7540       0.765993E-001            NaN  0.248991E-001            NaN            NaN            NaN  0.140145       0.439396E-002            NaN
  1208.28        500.000        99.6118       0.788386E-001  0.445475E-001  0.535679E-001            NaN            NaN            NaN  0.203070       0.816373E-002            NaN
  1207.25        500.000        99.9251       0.226843E-001  0.130036E-002  0.118019E-001            NaN            NaN            NaN  0.383418E-001  0.788232E-003            NaN
  1206.21        500.000        99.8756       0.326990E-001            NaN  0.971318E-002            NaN            NaN            NaN  0.755150E-001  0.643552E-002            NaN
  1205.18        500.000        97.0724       0.772816                 NaN  0.326437                 NaN  0.132232                 NaN   1.63902       0.571334E-001            NaN
  1204.14        500.000        98.8555       0.709123E-001  0.219849       0.136659       0.168538E-001  0.826606E-001            NaN  0.617613                 NaN            NaN
  1203.10        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1202.07        500.000        75.7707        2.32549       0.310188        1.99387                 NaN  0.735027                 NaN   9.39952       0.109257        9.35590     
  1201.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1198.96        500.000        89.3445       0.504272        1.14598       0.930279                 NaN  0.217171                 NaN   3.96381                 NaN   3.89395     
  1197.92        500.000        92.4060       0.732972                 NaN  0.637601       0.165891       0.257195                 NaN   2.86718                 NaN   2.93320     
  1196.89        500.000        93.3556       0.630788                 NaN  0.542521                 NaN  0.299020                 NaN   2.54980                 NaN   2.62229     
  1195.85        500.000        93.2933       0.461571                 NaN  0.574940       0.339145       0.151901                 NaN   2.52678                 NaN   2.65240     
  1194.81        500.000        94.6894       0.596888                 NaN  0.437430       0.636484E-001  0.196256                 NaN   1.99731                 NaN   2.01906     
  1193.78        500.000        89.2841       0.934217                 NaN  0.899599       0.405443       0.297383                 NaN   4.05449                 NaN   4.12472     
  1192.74        500.000        89.4735       0.878761                 NaN  0.881465       0.375801       0.299046                 NaN   4.02760                 NaN   4.06382     
  1191.70        500.000        99.4864       0.544230E-001            NaN  0.353578E-001  0.756429E-002  0.156954E-001            NaN  0.163815                 NaN  0.236705     
  1190.67        500.000        91.2106       0.817015                 NaN  0.718677       0.180549       0.290036                 NaN   3.38107                 NaN   3.40200     
  1189.63        500.000        92.8585       0.611497                 NaN  0.583769       0.192309       0.208535                 NaN   2.75777                 NaN   2.78758     
  1188.60        500.000        92.7853       0.646230                 NaN  0.580298       0.136629       0.232243                 NaN   2.80583                 NaN   2.81343     
  1187.56        500.000        94.0805       0.462647                 NaN  0.478713       0.207955       0.147902                 NaN   2.30907                 NaN   2.31325     
  1186.52        500.000        87.5363       0.963922                 NaN  0.979185       0.261444       0.387239                 NaN   4.95755                 NaN   4.91432     
  1185.49        500.000        87.4703       0.967887                 NaN  0.967131       0.276969       0.358779                 NaN   5.04018                 NaN   4.91875     
  1184.45        500.000        68.1560        2.23280                 NaN   2.38022       0.654919       0.893338                 NaN   13.0571                 NaN   12.6256     
  1183.41        500.000                 NaN   6.58337                 NaN   7.31371        1.94597        2.79519                 NaN   41.3841                 NaN   39.9776     
  1182.38        500.000                 NaN   6.58711                 NaN   7.31180        1.91249        2.82006                 NaN   41.3816                 NaN   39.9870     
  1181.34        500.000                 NaN   6.58247                 NaN   7.31364        1.92517        2.81280                 NaN   41.3803                 NaN   39.9856     
  1180.31        500.000                 NaN   6.58906                 NaN   7.31628        1.97474        2.76842                 NaN   41.3857                 NaN   39.9658     
  1179.27        500.000                 NaN   6.58259                 NaN   7.31762        1.98755        2.76191                 NaN   41.3856                 NaN   39.9647     
  1178.23        500.000                 NaN   6.58136                 NaN   7.31581        1.95185        2.79113                 NaN   41.3834                 NaN   39.9765     
  1177.20        500.000                 NaN   6.57249                 NaN   7.31901        1.98690        2.76788                 NaN   41.3845                 NaN   39.9692     
  1176.16        500.000                 NaN   6.53569                 NaN   7.32214        2.00175        2.77891                 NaN   41.3781                 NaN   39.9834     
  1175.12        500.000                 NaN   6.55919                 NaN   7.32178        2.01278        2.75494                 NaN   41.3839                 NaN   39.9674     
