|6.6.6
Archiving\03_Data\eqfracLP/QFM/EETA/EETA_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         O(HP)          San(TH)        ilm            q              hed           
  1396.88        500.000        99.3838       0.360073       0.256085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.84        500.000        99.4398       0.232472       0.327687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1394.81        500.000        99.2512       0.354029       0.316473       0.783344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.77        500.000        98.7630       0.534617       0.390010       0.312401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.74        500.000        98.7755       0.386003       0.529452       0.309066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1391.70        500.000        98.7876       0.524335       0.382375       0.305702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.66        500.000        98.8002       0.378345       0.519177       0.302246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.8118       0.374880       0.514200       0.299100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1388.59        500.000        98.8239       0.371244       0.509080       0.295799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.55        500.000        98.8357       0.367502       0.504242       0.292508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.52        500.000        98.8456       0.499967       0.364607       0.289783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1385.48        500.000        98.8573       0.360946       0.495107       0.286666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.45        500.000        98.8106       0.515463       0.375620       0.298297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1383.41        500.000        98.9361       0.461637       0.335906       0.266353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.37        500.000        99.9821       0.123336E-001            NaN  0.540595E-002  0.190806E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1381.34        500.000        97.8073       0.697920       0.947909       0.546908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1380.30        500.000        98.9109       0.344055       0.473308       0.271775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.26        500.000        98.9184       0.470275       0.341583       0.269775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1378.23        500.000        98.9277       0.338484       0.466627       0.267162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1377.19        500.000        98.9375       0.462585       0.335448       0.264442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.16        500.000        98.9463       0.332748       0.458996       0.261909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1375.12        500.000        98.9537       0.423481       0.334580       0.263915                 NaN            NaN  0.243274E-001            NaN            NaN            NaN            NaN
  1374.08        500.000        98.9583       0.256521       0.354644       0.281874                 NaN            NaN  0.148655                 NaN            NaN            NaN            NaN
  1373.05        500.000        98.9681       0.251400       0.351885       0.279274                 NaN            NaN  0.149363                 NaN            NaN            NaN            NaN
  1372.01        500.000        98.9759       0.349710       0.246568       0.277169                 NaN            NaN  0.150624                 NaN            NaN            NaN            NaN
  1370.97        500.000        98.9844       0.241464       0.347535       0.275008                 NaN            NaN  0.151614                 NaN            NaN            NaN            NaN
  1369.94        500.000        98.9763       0.241329       0.345908       0.278281       0.148472E-002            NaN  0.156686                 NaN            NaN            NaN            NaN
  1368.90        500.000        99.0212       0.229073       0.337730       0.263841                 NaN            NaN  0.148178                 NaN            NaN            NaN            NaN
  1367.87        500.000        99.0090       0.340476       0.227430       0.268595                 NaN            NaN  0.154496                 NaN            NaN            NaN            NaN
  1366.83        500.000        99.0179       0.338144       0.222483       0.266239                 NaN            NaN  0.155220                 NaN            NaN            NaN            NaN
  1365.79        500.000        99.0246       0.336871       0.217547       0.264548                 NaN            NaN  0.156470                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.0329       0.213739       0.334134       0.262256                 NaN            NaN  0.156986                 NaN            NaN            NaN            NaN
  1363.72        500.000        99.0395       0.209362       0.332528       0.260488                 NaN            NaN  0.158134                 NaN            NaN            NaN            NaN
  1362.68        500.000        99.0488       0.329699       0.204620       0.258158                 NaN            NaN  0.158739                 NaN            NaN            NaN            NaN
  1361.65        500.000        99.0535       0.199853       0.328814       0.257028                 NaN            NaN  0.160805                 NaN            NaN            NaN            NaN
  1360.61        500.000        99.0649       0.325042       0.196544       0.253810                 NaN            NaN  0.159724                 NaN            NaN            NaN            NaN
  1359.58        500.000        99.0699       0.191767       0.324236       0.252586                 NaN            NaN  0.161469                 NaN            NaN            NaN            NaN
  1358.54        500.000        99.3202       0.236807       0.139337       0.184664                 NaN            NaN  0.118977                 NaN            NaN            NaN            NaN
  1357.50        500.000        98.8402       0.405798       0.232401       0.315003                 NaN            NaN  0.206561                 NaN            NaN            NaN            NaN
  1356.47        500.000        99.0912       0.318347       0.179959       0.246768                 NaN            NaN  0.163726                 NaN            NaN            NaN            NaN
  1355.43        500.000        99.0974       0.175999       0.316562       0.245213                 NaN            NaN  0.164855                 NaN            NaN            NaN            NaN
  1354.39        500.000        99.1039       0.171863       0.315071       0.243605                 NaN            NaN  0.165519                 NaN            NaN            NaN            NaN
  1353.36        500.000        99.1112       0.313002       0.168031       0.241587                 NaN            NaN  0.166130                 NaN            NaN            NaN            NaN
  1352.32        500.000        99.1162       0.162854       0.312223       0.240541                 NaN            NaN  0.168163                 NaN            NaN            NaN            NaN
  1351.29        500.000        99.1256       0.161895       0.308569       0.237464                 NaN            NaN  0.166452                 NaN            NaN            NaN            NaN
  1350.25        500.000        99.1277       0.161218       0.306586       0.236798       0.251231E-002            NaN  0.165221                 NaN            NaN            NaN            NaN
  1349.21        500.000        99.1205       0.302795       0.173339       0.236922       0.121894E-001            NaN  0.154299                 NaN            NaN            NaN            NaN
  1348.18        500.000        99.1217       0.174978       0.301658       0.235743       0.158371E-001            NaN  0.150132                 NaN            NaN            NaN            NaN
  1347.14        500.000        99.1172       0.302395       0.178688       0.235720       0.208385E-001            NaN  0.145120                 NaN            NaN            NaN            NaN
  1346.10        500.000        99.1165       0.301869       0.184532       0.234001       0.267792E-001            NaN  0.136367                 NaN            NaN            NaN            NaN
  1345.07        500.000        99.1072       0.304080       0.192243       0.234583       0.342051E-001            NaN  0.127714                 NaN            NaN            NaN            NaN
  1344.03        500.000        99.0945       0.203660       0.307787       0.234862       0.447646E-001            NaN  0.114441                 NaN            NaN            NaN            NaN
  1343.00        500.000        99.0657       0.317945       0.223878       0.237454       0.621061E-001            NaN  0.929397E-001            NaN            NaN            NaN            NaN
  1341.96        500.000        99.0569       0.235356       0.319968       0.236513       0.730314E-001            NaN  0.782618E-001            NaN            NaN            NaN            NaN
  1340.92        500.000        99.0291       0.329249       0.256973       0.238738       0.906058E-001            NaN  0.553115E-001            NaN            NaN            NaN            NaN
  1339.89        500.000        98.9888       0.343957       0.287086       0.242023       0.114714                 NaN  0.234352E-001            NaN            NaN            NaN            NaN
  1338.85        500.000        98.7401       0.496964                 NaN  0.336701       0.140765                 NaN  0.285495                 NaN            NaN            NaN            NaN
  1337.81        500.000        99.2127       0.223612       0.272339       0.184162       0.107210                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.78        500.000        98.9348       0.286441       0.374165       0.248541       0.156010                 NaN  0.204135E-005            NaN            NaN            NaN            NaN
  1335.74        500.000        98.9226       0.276780       0.383598       0.250641       0.166424                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.71        500.000        98.9183       0.268802       0.388572       0.251270       0.173045                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.67        500.000        98.9107       0.259561       0.396286       0.252413       0.181026                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.63        500.000        98.9205       0.393046       0.255094       0.250292       0.181117                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.60        500.000        98.9229       0.248291       0.395005       0.249562       0.184247                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.56        500.000        98.9310       0.393017       0.243282       0.247779       0.184969                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.52        500.000        98.9392       0.391149       0.238760       0.245955       0.184930                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.49        500.000        98.9483       0.233918       0.388757       0.243966       0.185016                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.45        500.000        98.9588       0.385377       0.229961       0.241754       0.184100                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.42        500.000        98.9698       0.226198       0.381684       0.239409       0.182897                 NaN            NaN            NaN            NaN            NaN            NaN
  1325.38        500.000        98.9803       0.378284       0.222462       0.237186       0.181816                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.34        500.000        98.9923       0.219226       0.373665       0.234662       0.180107                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.31        500.000        99.0034       0.215835       0.369763       0.232321       0.178669                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.27        500.000        99.0154       0.365146       0.212863       0.229829       0.176746                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.23        500.000        99.0256       0.361421       0.209813       0.227664       0.175490                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.20        500.000        99.0373       0.357245       0.206663       0.225187       0.173620                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.16        500.000        99.0494       0.204292       0.352210       0.222666       0.171397                 NaN            NaN            NaN            NaN            NaN            NaN
  1318.13        500.000        99.0602       0.348067       0.201702       0.220385       0.169595                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.09        500.000        99.0721       0.343113       0.199178       0.217945       0.167650                 NaN            NaN            NaN            NaN            NaN            NaN
  1316.05        500.000        99.0826       0.196655       0.339101       0.215740       0.165876                 NaN            NaN            NaN            NaN            NaN            NaN
  1315.02        500.000        99.0935       0.334942       0.194137       0.213408       0.163971                 NaN            NaN            NaN            NaN            NaN            NaN
  1313.98        500.000        99.1039       0.330922       0.191695       0.211235       0.162243                 NaN            NaN            NaN            NaN            NaN            NaN
  1312.94        500.000        99.1148       0.326342       0.189635       0.209041       0.160229                 NaN            NaN            NaN            NaN            NaN            NaN
  1311.91        500.000        99.1252       0.187111       0.322443       0.206715       0.158508                 NaN            NaN            NaN            NaN            NaN            NaN
  1310.87        500.000        99.1361       0.318318       0.184337       0.204407       0.156796                 NaN            NaN            NaN            NaN            NaN            NaN
  1309.84        500.000        99.1460       0.314403       0.182420       0.202336       0.154818                 NaN            NaN            NaN            NaN            NaN            NaN
  1308.80        500.000        99.1557       0.310420       0.180564       0.200334       0.152999                 NaN            NaN            NaN            NaN            NaN            NaN
  1307.76        500.000        99.1656       0.306234       0.178857       0.198207       0.151060                 NaN            NaN            NaN            NaN            NaN            NaN
  1306.73        500.000        99.1754       0.176331       0.302673       0.196134       0.149434                 NaN            NaN            NaN            NaN            NaN            NaN
  1305.69        500.000        99.1844       0.174538       0.299003       0.194199       0.147812                 NaN            NaN            NaN            NaN            NaN            NaN
  1304.65        500.000        99.1945       0.172614       0.294880       0.192071       0.145890                 NaN            NaN            NaN            NaN            NaN            NaN
  1303.62        500.000        99.2030       0.291391       0.171380       0.190293       0.143924                 NaN            NaN            NaN            NaN            NaN            NaN
  1302.58        500.000        99.2135       0.167979       0.287739       0.187924       0.142817                 NaN            NaN            NaN            NaN            NaN            NaN
  1301.55        500.000        99.2220       0.283723       0.167288       0.186229       0.140722                 NaN            NaN            NaN            NaN            NaN            NaN
  1300.51        500.000        99.2307       0.165579       0.280314       0.184384       0.139014                 NaN            NaN            NaN            NaN            NaN            NaN
  1299.47        500.000        99.2399       0.163351       0.276968       0.182368       0.137411                 NaN            NaN            NaN            NaN            NaN            NaN
  1298.44        500.000        99.2484       0.273269       0.162006       0.180577       0.135769                 NaN            NaN            NaN            NaN            NaN            NaN
  1297.40        500.000        99.2569       0.269812       0.160550       0.178764       0.133993                 NaN            NaN            NaN            NaN            NaN            NaN
  1296.36        500.000        99.2655       0.158536       0.266520       0.176879       0.132525                 NaN            NaN            NaN            NaN            NaN            NaN
  1295.33        500.000        99.2736       0.157119       0.263273       0.175158       0.130858                 NaN            NaN            NaN            NaN            NaN            NaN
  1294.29        500.000        99.2823       0.259635       0.155659       0.173287       0.129111                 NaN            NaN            NaN            NaN            NaN            NaN
  1293.26        500.000        99.2896       0.256872       0.153965       0.171739       0.127778                 NaN            NaN            NaN            NaN            NaN            NaN
  1292.22        500.000        99.2980       0.152678       0.253374       0.169912       0.126049                 NaN            NaN            NaN            NaN            NaN            NaN
  1291.18        500.000        99.3056       0.151530       0.250114       0.168301       0.124452                 NaN            NaN            NaN            NaN            NaN            NaN
  1290.15        500.000        99.3137       0.247104       0.149732       0.166488       0.122999                 NaN            NaN            NaN            NaN            NaN            NaN
  1289.11        500.000        99.3213       0.148414       0.243966       0.164870       0.121449                 NaN            NaN            NaN            NaN            NaN            NaN
  1288.07        500.000        99.3287       0.240876       0.147230       0.163306       0.119847                 NaN            NaN            NaN            NaN            NaN            NaN
  1287.04        500.000        99.3363       0.145675       0.237954       0.161614       0.118501                 NaN            NaN            NaN            NaN            NaN            NaN
  1286.00        500.000        99.3434       0.234982       0.144597       0.160032       0.116946                 NaN            NaN            NaN            NaN            NaN            NaN
  1284.97        500.000        99.3508       0.231745       0.143478       0.158559       0.115463                 NaN            NaN            NaN            NaN            NaN            NaN
  1283.93        500.000        99.3579       0.142105       0.229151       0.156863       0.113941                 NaN            NaN            NaN            NaN            NaN            NaN
  1282.89        500.000        99.3647       0.226244       0.141066       0.155445       0.112518                 NaN            NaN            NaN            NaN            NaN            NaN
  1281.86        500.000        99.3714       0.223468       0.139978       0.153952       0.111154                 NaN            NaN            NaN            NaN            NaN            NaN
  1280.82        500.000        99.3784       0.220724       0.138709       0.152420       0.109710                 NaN            NaN            NaN            NaN            NaN            NaN
  1279.78        500.000        99.3852       0.217897       0.137688       0.150927       0.108267                 NaN            NaN            NaN            NaN            NaN            NaN
  1278.75        500.000        99.3919       0.215139       0.136518       0.149531       0.106864                 NaN            NaN            NaN            NaN            NaN            NaN
  1277.71        500.000        99.3986       0.212554       0.135376       0.147984       0.105499                 NaN            NaN            NaN            NaN            NaN            NaN
  1276.68        500.000        99.4048       0.209936       0.134469       0.146630       0.104134                 NaN            NaN            NaN            NaN            NaN            NaN
  1275.64        500.000        99.4112       0.207128       0.133731       0.145264       0.102653                 NaN            NaN            NaN            NaN            NaN            NaN
  1274.60        500.000        99.4174       0.204736       0.132586       0.143880       0.101364                 NaN            NaN            NaN            NaN            NaN            NaN
  1273.57        500.000        99.4237       0.131681       0.202158       0.142509       0.999845E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1272.53        500.000        99.4299       0.199540       0.130740       0.141130       0.986908E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1271.50        500.000        96.1771       0.575642       0.594465       0.498336       0.299692                 NaN            NaN   1.85480                 NaN            NaN            NaN
  1270.46        500.000        91.0147        1.33250        1.16045        1.06266       0.610756                 NaN            NaN   4.81894                 NaN            NaN            NaN
  1269.42        500.000        91.9018        1.19492        1.05008       0.961989       0.553586                 NaN            NaN   4.33767                 NaN            NaN            NaN
  1268.39        500.000        92.6300       0.959695        1.08098       0.879129       0.507073                 NaN            NaN   3.94311                 NaN            NaN            NaN
  1267.35        500.000        93.2410       0.884533       0.983254       0.809359       0.469217                 NaN            NaN   3.61268                 NaN            NaN            NaN
  1266.31        500.000        93.7510       0.822285       0.900571       0.750900       0.437761                 NaN            NaN   3.33753                 NaN            NaN            NaN
  1265.28        500.000        94.1887       0.769339       0.828606       0.700723       0.411156                 NaN            NaN   3.10146                 NaN            NaN            NaN
  1264.24        500.000        94.5718       0.723325       0.764812       0.656616       0.388353                 NaN            NaN   2.89510                 NaN            NaN            NaN
  1263.21        500.000        94.9032       0.709261       0.683378       0.618224       0.368555                 NaN            NaN   2.71741                 NaN            NaN            NaN
  1262.17        500.000        95.1887       0.649548       0.659064       0.585111       0.352487                 NaN            NaN   2.56505                 NaN            NaN            NaN
  1261.13        500.000        95.4614       0.613598       0.617511       0.553415       0.335971                 NaN            NaN   2.41812                 NaN            NaN            NaN
  1260.10        500.000        95.6889       0.573474       0.590593       0.526795       0.323149                 NaN            NaN   2.29706                 NaN            NaN            NaN
  1259.06        500.000        95.8991       0.536322       0.566035       0.502197       0.311308                 NaN            NaN   2.18508                 NaN            NaN            NaN
  1258.02        500.000        96.0875       0.502994       0.543793       0.480066       0.300486                 NaN            NaN   2.08515                 NaN            NaN            NaN
  1256.99        500.000        96.2604       0.471510       0.524123       0.459617       0.290924                 NaN            NaN   1.99340                 NaN            NaN            NaN
  1255.95        500.000        96.4173       0.443764       0.505456       0.441015       0.281995                 NaN            NaN   1.91045                 NaN            NaN            NaN
  1254.92        500.000        96.5613       0.489265       0.417164       0.423842       0.273906                 NaN            NaN   1.83452                 NaN            NaN            NaN
  1253.88        500.000        96.6947       0.392858       0.473629       0.407924       0.266474                 NaN            NaN   1.76444                 NaN            NaN            NaN
  1252.84        500.000        96.8171       0.459252       0.370548       0.393181       0.259558                 NaN            NaN   1.70039                 NaN            NaN            NaN
  1251.81        500.000        96.9322       0.348864       0.446269       0.379312       0.253190                 NaN            NaN   1.64015                 NaN            NaN            NaN
  1250.77        500.000        97.0391       0.433976       0.328849       0.366193       0.247153                 NaN            NaN   1.58478                 NaN            NaN            NaN
  1249.73        500.000        97.1355       0.311099       0.422454       0.354664       0.241710                 NaN            NaN   1.53461                 NaN            NaN            NaN
  1248.70        500.000        97.2305       0.411647       0.293542       0.342799       0.236014                 NaN            NaN   1.48545                 NaN            NaN            NaN
  1247.66        500.000        97.3152       0.279173       0.400813       0.332522       0.230605                 NaN            NaN   1.44170                 NaN            NaN            NaN
  1246.63        500.000        97.0073       0.307166       0.450689       0.370915       0.257767                 NaN            NaN   1.60619                 NaN            NaN            NaN
  1245.59        500.000        97.8812       0.207059       0.321610       0.262227       0.187077                 NaN            NaN   1.14086                 NaN            NaN            NaN
  1244.55        500.000        97.3400       0.331081       0.371223       0.322630       0.109638                 NaN            NaN   1.44448       0.809278E-001            NaN            NaN
  1243.52        500.000        97.4176       0.319955       0.360849       0.313525       0.104740                 NaN            NaN   1.40341       0.798872E-001            NaN            NaN
  1242.48        500.000        97.4986       0.350537       0.306357       0.303540       0.103058                 NaN            NaN   1.36118       0.767534E-001            NaN            NaN
  1241.44        500.000        97.5744       0.292498       0.342474       0.294541       0.102014                 NaN            NaN   1.32055       0.734696E-001            NaN            NaN
  1240.41        500.000        97.6461       0.333447       0.280571       0.285881       0.100574                 NaN            NaN   1.28298       0.704469E-001            NaN            NaN
  1239.37        500.000        97.6459       0.333354       0.277611       0.286676       0.101832                 NaN            NaN   1.28476       0.699088E-001            NaN            NaN
  1238.34        500.000        97.8514       0.307626       0.249023       0.260042       0.950385E-001            NaN            NaN   1.17442       0.624053E-001            NaN            NaN
  1237.30        500.000        96.9947       0.352444       0.443274       0.374213       0.165808                 NaN            NaN   1.66960                 NaN            NaN            NaN
  1236.26        500.000        98.5748       0.167635       0.183188       0.165197       0.225346E-001            NaN            NaN  0.752735       0.133905                 NaN            NaN
  1235.23        500.000        98.0851       0.280720       0.210533       0.231117       0.899341E-001            NaN            NaN   1.04955       0.530720E-001            NaN            NaN
  1234.19        500.000        97.9757       0.294065       0.223604       0.246868       0.944387E-001            NaN            NaN   1.10865       0.566357E-001            NaN            NaN
  1233.15        500.000        98.1871       0.264738       0.194454       0.216775       0.864300E-001            NaN            NaN   1.00176       0.487688E-001            NaN            NaN
  1232.12        500.000        98.1205       0.199802       0.274318       0.227341       0.910185E-001            NaN            NaN   1.03649       0.505136E-001            NaN            NaN
  1231.08        500.000        98.1426       0.271213       0.194430       0.224589       0.911103E-001            NaN            NaN   1.02674       0.492693E-001            NaN            NaN
  1230.05        500.000        97.6895       0.244817       0.337578       0.278513       0.110993                 NaN            NaN   1.27721       0.613732E-001            NaN            NaN
  1229.01        500.000        99.7803       0.220529E-001  0.326411E-001  0.262923E-001  0.111704E-001            NaN            NaN  0.121971       0.557608E-002            NaN            NaN
  1227.97        500.000        97.0495       0.395816       0.375946       0.348907                 NaN            NaN            NaN   1.65145       0.178387                 NaN            NaN
  1226.94        500.000        98.5215       0.224836       0.142044       0.179340       0.114524                 NaN            NaN  0.817756                 NaN            NaN            NaN
  1225.90        500.000        97.9332       0.326201       0.160493       0.252652       0.150326       0.366909E-001            NaN   1.14048                 NaN            NaN            NaN
  1224.86        500.000        99.9676       0.162640E-002  0.520887E-002  0.399067E-002  0.311196E-002            NaN            NaN  0.184216E-001            NaN            NaN            NaN
  1223.83        500.000        99.8839       0.816022E-002  0.189281E-001  0.140232E-001  0.110351E-001            NaN            NaN  0.640029E-001            NaN            NaN            NaN
  1222.79        500.000        96.1772       0.566600       0.366734       0.457131       0.204572                 NaN            NaN   2.13950       0.882747E-001            NaN            NaN
  1221.76        500.000        98.5427       0.134069       0.217514       0.173270       0.787919E-001            NaN            NaN  0.819977       0.336804E-001            NaN            NaN
  1220.72        500.000        99.2830       0.654849E-001  0.106590       0.853414E-001  0.391757E-001            NaN            NaN  0.404063       0.163388E-001            NaN            NaN
  1219.68        500.000        99.9753                 NaN            NaN  0.492203E-002  0.244949E-002            NaN            NaN  0.155703E-001  0.178639E-002            NaN            NaN
  1218.65        500.000        99.9948       0.240056E-002  0.117491E-002  0.546408E-003  0.165225E-003            NaN            NaN  0.935698E-003            NaN            NaN            NaN
  1217.61        500.000        99.8835       0.179671E-001  0.157842E-001  0.147916E-001  0.504756E-002            NaN            NaN  0.597624E-001  0.317695E-002            NaN            NaN
  1216.57        500.000        93.4947       0.931468       0.684966       0.795796       0.316111                 NaN            NaN   3.60647       0.170488                 NaN            NaN
  1215.54        500.000        98.8544       0.342022                 NaN  0.119913       0.192603E-001  0.170058E-002            NaN  0.662717                 NaN            NaN            NaN
  1214.50        500.000        99.2187       0.150136                 NaN  0.822653E-001  0.116944E-001            NaN            NaN  0.501250       0.359784E-001            NaN            NaN
  1213.47        500.000        98.0472       0.404472                 NaN  0.232769       0.191979                 NaN            NaN   1.11503       0.857335E-002            NaN            NaN
  1212.43        500.000        99.6541       0.563056E-001            NaN  0.280332E-001  0.129790E-001            NaN            NaN  0.224757       0.238324E-001            NaN            NaN
  1211.39        500.000        98.7232       0.379451E-001  0.323559       0.159042                 NaN            NaN            NaN  0.718121       0.380879E-001            NaN            NaN
  1210.36        500.000        97.3519       0.492235                 NaN  0.305541       0.293892                 NaN            NaN   1.54358       0.128864E-001            NaN            NaN
  1209.32        500.000        99.9398       0.155594E-001            NaN  0.554491E-002  0.552366E-002            NaN            NaN  0.319309E-001  0.168403E-002            NaN            NaN
  1208.28        500.000        99.9175       0.210350E-001            NaN  0.777081E-002  0.768048E-002            NaN            NaN  0.440177E-001  0.195762E-002            NaN            NaN
  1207.25        500.000        99.8929       0.216633E-001            NaN  0.119022E-001  0.964785E-002            NaN            NaN  0.624425E-001  0.140882E-002            NaN            NaN
  1206.21        500.000        72.6181        2.36749                 NaN   2.26352        1.41266                 NaN            NaN   10.8841       0.159667E-002   10.4525                 NaN
  1205.18        500.000       100.0000                 NaN            NaN  0.164713E-005            NaN            NaN  0.352480E-005  0.538006E-005            NaN  0.455543E-005            NaN
  1204.14        500.000       100.0000                 NaN            NaN  0.233866E-005            NaN            NaN            NaN  0.153722E-004            NaN  0.145243E-004  0.251305E-005
  1203.10        500.000        87.7155        1.02205                 NaN  0.999666       0.551632                 NaN            NaN   4.87074       0.523089E-001   4.78806                 NaN
  1202.07        500.000        82.8495       0.246260        1.08539        1.41988       0.851623                 NaN            NaN   6.76413                 NaN   6.78326                 NaN
  1201.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1198.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1197.92        500.000        82.1465        1.52250                 NaN   1.43706       0.886759                 NaN            NaN   7.03214                 NaN   6.97504                 NaN
  1196.89        500.000        93.4550       0.512463                 NaN  0.527629       0.321969                 NaN            NaN   2.60615       0.300789E-002   2.57382                 NaN
  1195.85        500.000        95.1381       0.350186                 NaN  0.389880       0.239033                 NaN            NaN   1.92042                 NaN   1.96242                 NaN
  1194.81        500.000        99.1886       0.674155E-001            NaN  0.646586E-001  0.393574E-001            NaN            NaN  0.321379                 NaN  0.318603                 NaN
  1193.78        500.000        84.8274        1.20040                 NaN   1.20546       0.729515                 NaN            NaN   6.05571       0.408629E-002   5.97744                 NaN
  1192.74        500.000        93.7605       0.470810                 NaN  0.492213       0.297707                 NaN            NaN   2.50888       0.304946E-002   2.46686                 NaN
  1191.70        500.000        93.0795       0.518014                 NaN  0.541914       0.323345                 NaN            NaN   2.78884       0.354042E-002   2.74483                 NaN
  1190.67        500.000        96.4379       0.189769                 NaN  0.278693       0.174897                 NaN            NaN   1.46430                 NaN   1.45444                 NaN
  1189.63        500.000        87.7863       0.837845                 NaN  0.939077       0.549278                 NaN            NaN   4.99752       0.114178E-001   4.87856                 NaN
  1188.60        500.000        89.6920       0.811314                 NaN  0.778302       0.437156                 NaN            NaN   4.23100       0.125438E-001   4.03767                 NaN
  1187.56        500.000        84.7122       0.964520                 NaN   1.12858       0.640301                 NaN            NaN   6.42047       0.172658E-001   6.11670                 NaN
