|6.6.6
Archiving\03_Data\frac/QFM_m3.5/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1972.43        2500.00        99.7737       0.212541       0.138015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.7736       0.212552       0.138018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.7736       0.212563       0.138020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.7736       0.212574       0.138023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.7736       0.212584       0.138026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.7736       0.212595       0.138028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.7736       0.212606       0.138031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.7736       0.212617       0.138034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.7736       0.212628       0.138037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.7736       0.212639       0.138039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.7735       0.212650       0.138042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.7735       0.212660       0.138045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.7735       0.212671       0.138048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.7735       0.212682       0.138050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.7735       0.212693       0.138053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.7735       0.212704       0.138056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.7735       0.212715       0.138059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.7735       0.212726       0.138062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.7735       0.212737       0.138065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.7734       0.212748       0.138068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.3816       0.212808       0.132015E-001  0.392349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.5755                 NaN            NaN  0.424468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.4202                 NaN            NaN  0.579842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.4201                 NaN            NaN  0.579903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.4251                 NaN            NaN  0.574936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.4282                 NaN            NaN  0.571759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4225                 NaN            NaN  0.577453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4454                 NaN            NaN  0.554582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4386                 NaN            NaN  0.561365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4421                 NaN            NaN  0.557891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4455                 NaN            NaN  0.554482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4492                 NaN            NaN  0.550768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4518                 NaN            NaN  0.548224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4845                 NaN            NaN  0.515543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4188                 NaN            NaN  0.581156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4688                 NaN            NaN  0.531151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4604                 NaN            NaN  0.539638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.7140                 NaN            NaN  0.285990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.2173                 NaN            NaN  0.776127                 NaN            NaN  0.654861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4604                 NaN            NaN  0.528757                 NaN            NaN  0.108641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4634                 NaN            NaN  0.525836                 NaN            NaN  0.108120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4654                 NaN            NaN  0.523859                 NaN            NaN  0.107620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4675                 NaN            NaN  0.521780                 NaN            NaN  0.107251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4685                 NaN            NaN  0.520780                 NaN            NaN  0.107437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4722                 NaN            NaN  0.517137                 NaN            NaN  0.106247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4712                 NaN            NaN  0.518121                 NaN            NaN  0.106327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4743                 NaN            NaN  0.515079                 NaN            NaN  0.105940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4786                 NaN            NaN  0.510842                 NaN            NaN  0.105153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4245                 NaN            NaN  0.563856                 NaN            NaN  0.116292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5350                 NaN            NaN  0.455661                 NaN            NaN  0.934901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4818                 NaN            NaN  0.507756                 NaN            NaN  0.104425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4833                 NaN            NaN  0.506294                 NaN            NaN  0.104050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4819                 NaN            NaN  0.507640                 NaN            NaN  0.104310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4872                 NaN            NaN  0.502537                 NaN            NaN  0.103091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.9245                 NaN            NaN  0.738539E-001            NaN            NaN  0.162923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.0497                 NaN            NaN  0.931370                 NaN            NaN  0.189607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4916                 NaN            NaN  0.498236                 NaN            NaN  0.101732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4894                 NaN            NaN  0.500416                 NaN            NaN  0.102135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4905                 NaN            NaN  0.499286                 NaN            NaN  0.101933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4919                 NaN            NaN  0.498004                 NaN            NaN  0.101190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4935                 NaN            NaN  0.496447                 NaN            NaN  0.100740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4924                 NaN            NaN  0.497524                 NaN            NaN  0.100781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4934                 NaN            NaN  0.496560                 NaN            NaN  0.100384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4942                 NaN            NaN  0.495778                 NaN            NaN  0.999704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4936                 NaN            NaN  0.496396                 NaN            NaN  0.996241E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4947                 NaN            NaN  0.495354                 NaN            NaN  0.993329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4948                 NaN            NaN  0.495329                 NaN            NaN  0.991623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4888                 NaN            NaN  0.501193                 NaN            NaN  0.100038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5008                 NaN            NaN  0.489548                 NaN            NaN  0.970111E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4955                 NaN            NaN  0.494724                 NaN            NaN  0.980559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4951                 NaN            NaN  0.495133                 NaN            NaN  0.978392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4948                 NaN            NaN  0.495433                 NaN            NaN  0.975734E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4942                 NaN            NaN  0.496038                 NaN            NaN  0.972626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5126                 NaN            NaN  0.478074                 NaN            NaN  0.937104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4748                 NaN            NaN  0.515151                 NaN            NaN  0.100070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4939                 NaN            NaN  0.496474                 NaN            NaN  0.963356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4918                 NaN            NaN  0.498599                 NaN            NaN  0.963558E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5587                 NaN            NaN  0.432944                 NaN            NaN  0.834195E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4256                 NaN            NaN  0.563580                 NaN            NaN  0.107990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4869                 NaN            NaN  0.503417                 NaN            NaN  0.965462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4958                 NaN            NaN  0.494824                 NaN            NaN  0.936719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4892                 NaN            NaN  0.501329                 NaN            NaN  0.947371E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4882                 NaN            NaN  0.502378                 NaN            NaN  0.946700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4894                 NaN            NaN  0.501259                 NaN            NaN  0.938064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4871                 NaN            NaN  0.503495                 NaN            NaN  0.939000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4865                 NaN            NaN  0.504183                 NaN            NaN  0.935824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4844                 NaN            NaN  0.506211                 NaN            NaN  0.934729E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4845                 NaN            NaN  0.506194                 NaN            NaN  0.930953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4828                 NaN            NaN  0.507888                 NaN            NaN  0.929092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4818                 NaN            NaN  0.508908                 NaN            NaN  0.926495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4796                 NaN            NaN  0.511116                 NaN            NaN  0.925574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4802                 NaN            NaN  0.510568                 NaN            NaN  0.919549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4789                 NaN            NaN  0.511912                 NaN            NaN  0.917337E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4738                 NaN            NaN  0.516998                 NaN            NaN  0.917600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4747                 NaN            NaN  0.516090                 NaN            NaN  0.924328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4752                 NaN            NaN  0.515769                 NaN            NaN  0.904855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4765                 NaN            NaN  0.514386                 NaN            NaN  0.907972E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5204                 NaN            NaN  0.471351                 NaN            NaN  0.823173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4211                 NaN            NaN  0.569025                 NaN            NaN  0.989266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4696                 NaN            NaN  0.521395                 NaN            NaN  0.903127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.1228                 NaN            NaN  0.862255                 NaN            NaN  0.149946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.8113                 NaN            NaN  0.185692                 NaN            NaN  0.297430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4667                 NaN            NaN  0.524403                 NaN            NaN  0.893489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4642                 NaN            NaN  0.526867                 NaN            NaN  0.894455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4637                 NaN            NaN  0.527354                 NaN            NaN  0.891356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4608                 NaN            NaN  0.530317                 NaN            NaN  0.892485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4629                 NaN            NaN  0.528278                 NaN            NaN  0.883935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4596                 NaN            NaN  0.531525                 NaN            NaN  0.884970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4588                 NaN            NaN  0.532331                 NaN            NaN  0.882962E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4575                 NaN            NaN  0.533665                 NaN            NaN  0.879651E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4559                 NaN            NaN  0.535255                 NaN            NaN  0.881589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4576                 NaN            NaN  0.533624                 NaN            NaN  0.874081E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.0857                 NaN            NaN  0.899669                 NaN            NaN  0.146421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.8453                 NaN            NaN  0.152227                 NaN            NaN  0.246850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4328                 NaN            NaN  0.558181                 NaN            NaN  0.903416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4534                 NaN            NaN  0.537950                 NaN            NaN  0.867967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4527                 NaN            NaN  0.538651                 NaN            NaN  0.866262E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4517                 NaN            NaN  0.539620                 NaN            NaN  0.864797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4542                 NaN            NaN  0.537189                 NaN            NaN  0.858582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4514                 NaN            NaN  0.540031                 NaN            NaN  0.858652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4494                 NaN            NaN  0.541989                 NaN            NaN  0.862191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4531                 NaN            NaN  0.538375                 NaN            NaN  0.851731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4511                 NaN            NaN  0.540361                 NaN            NaN  0.850314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.4050                 NaN            NaN   1.57023                 NaN            NaN  0.247332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9472                 NaN            NaN  0.520994E-001            NaN            NaN  0.690042E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.8777                 NaN            NaN  0.120369                 NaN            NaN  0.192134E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.0413                 NaN            NaN  0.944012                 NaN            NaN  0.146811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4536                 NaN            NaN  0.538028                 NaN            NaN  0.837400E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4329                 NaN            NaN  0.558423                 NaN            NaN  0.870328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.7582                 NaN            NaN  0.238115                 NaN            NaN  0.367279E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.1764                 NaN            NaN  0.811032                 NaN            NaN  0.126024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.7429                 NaN            NaN  0.252135                 NaN            NaN            NaN   1.00494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5528                 NaN            NaN  0.165610                 NaN            NaN            NaN   1.28155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5816                 NaN            NaN  0.163190                 NaN            NaN            NaN   1.25519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.6085                 NaN            NaN  0.158087                 NaN            NaN            NaN   1.23339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.6359                 NaN            NaN  0.154841                 NaN            NaN            NaN   1.20929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6603                 NaN            NaN  0.151493                 NaN            NaN            NaN   1.18818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6838                 NaN            NaN  0.149637                 NaN            NaN            NaN   1.16659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.7088                 NaN            NaN  0.145821                 NaN            NaN            NaN   1.14534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7349                 NaN            NaN  0.141270                 NaN            NaN            NaN   1.12379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7440                 NaN            NaN  0.136673                 NaN            NaN            NaN   1.11932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7835                 NaN            NaN  0.133895                 NaN            NaN            NaN   1.08258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7963                 NaN            NaN  0.129018                 NaN            NaN            NaN   1.07473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.8157                 NaN            NaN  0.126528                 NaN            NaN            NaN   1.05776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8370                 NaN            NaN  0.124680                 NaN            NaN            NaN   1.03832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8561                 NaN            NaN  0.123890                 NaN            NaN            NaN   1.01996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8814                 NaN            NaN  0.120125                 NaN            NaN            NaN  0.998486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8848                 NaN            NaN  0.117188                 NaN            NaN            NaN  0.998056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.9242                 NaN            NaN  0.112742                 NaN            NaN            NaN  0.963015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9286                 NaN            NaN  0.112331                 NaN            NaN            NaN  0.959098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9482                 NaN            NaN  0.107320                 NaN            NaN            NaN  0.944467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9652                 NaN            NaN  0.105966                 NaN            NaN            NaN  0.928850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9803                 NaN            NaN  0.102483                 NaN            NaN            NaN  0.917209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9943                 NaN            NaN  0.996898E-001            NaN            NaN            NaN  0.905990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.0115                 NaN            NaN  0.973329E-001            NaN            NaN            NaN  0.891159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.0262                 NaN            NaN  0.957196E-001            NaN            NaN            NaN  0.878109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0405                 NaN            NaN  0.925810E-001            NaN            NaN            NaN  0.866869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0540                 NaN            NaN  0.893468E-001            NaN            NaN            NaN  0.856608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0664                 NaN            NaN  0.863802E-001            NaN            NaN            NaN  0.847212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0795                 NaN            NaN  0.842099E-001            NaN            NaN            NaN  0.836340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0954                 NaN            NaN  0.820690E-001            NaN            NaN            NaN  0.822558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
