|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q              hed           
  1431.46        2500.00                 NaN   98.6713                 NaN  0.264494       0.561808                 NaN            NaN  0.170180       0.332243                 NaN            NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.2815                 NaN  0.319275       0.612315                 NaN            NaN  0.260424       0.526461                 NaN            NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.0850                 NaN  0.348556       0.685608                 NaN            NaN  0.294174       0.586672                 NaN            NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.5462                 NaN  0.258740       0.523753                 NaN            NaN  0.225554       0.445726                 NaN            NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.3448                 NaN  0.288167       0.599183                 NaN            NaN  0.260292       0.507600                 NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.3686                 NaN  0.280739       0.592380                 NaN            NaN  0.258386       0.499919                 NaN            NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3906                 NaN  0.270033       0.587544                 NaN            NaN  0.258196       0.493643                 NaN            NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4085                 NaN  0.259986       0.585008                 NaN            NaN  0.258227       0.488262                 NaN            NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4296                 NaN  0.250501       0.580192                 NaN            NaN  0.257841       0.481909                 NaN            NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4483                 NaN  0.576020       0.242137                 NaN            NaN  0.257326       0.476253                 NaN            NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.4667                 NaN  0.232441       0.572868                 NaN            NaN  0.257263       0.470757                 NaN            NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.4856                 NaN  0.569405       0.223311                 NaN            NaN  0.256752       0.464966                 NaN            NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5029                 NaN  0.566248       0.214736                 NaN            NaN  0.256437       0.459675                 NaN            NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5205                 NaN  0.562355       0.206574                 NaN            NaN  0.256200       0.454361                 NaN            NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5368                 NaN  0.559243       0.198282                 NaN            NaN  0.256263       0.449416                 NaN            NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.5469                 NaN  0.189689       0.560724                 NaN            NaN  0.256274       0.446450                 NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5757                 NaN  0.551132       0.181698                 NaN            NaN  0.254281       0.437221                 NaN            NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.5864                 NaN  0.549860       0.174655                 NaN            NaN  0.254885       0.434181                 NaN            NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.6032                 NaN  0.166673       0.546409                 NaN            NaN  0.254589       0.429120                 NaN            NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.6163                 NaN  0.544684       0.159588                 NaN            NaN  0.254480       0.424904                 NaN            NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6313                 NaN  0.542673       0.151473                 NaN            NaN  0.254105       0.420442                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6469                 NaN  0.140121       0.541448                 NaN            NaN  0.255433       0.416083                 NaN            NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.6553                 NaN  0.541302       0.135552                 NaN            NaN  0.254640       0.413225                 NaN            NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.6855                 NaN  0.528374       0.133615                 NaN            NaN  0.249527       0.402969                 NaN            NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.6903                 NaN  0.532338       0.122886                 NaN            NaN  0.252396       0.402069                 NaN            NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7039                 NaN  0.116107       0.529984                 NaN            NaN  0.251986       0.398004                 NaN            NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.7163                 NaN  0.107910       0.528689                 NaN            NaN  0.252576       0.394563                 NaN            NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7338                 NaN  0.104004       0.523483                 NaN            NaN  0.250141       0.388569                 NaN            NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7426                 NaN  0.960662E-001  0.524505                 NaN            NaN  0.250857       0.385942                 NaN            NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.7572                 NaN  0.521372       0.898768E-001            NaN            NaN  0.250136       0.381435                 NaN            NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.7692                 NaN  0.519924       0.835972E-001            NaN            NaN  0.249668       0.377656                 NaN            NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.7812                 NaN  0.518419       0.768777E-001            NaN            NaN  0.249501       0.373993                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.5700                 NaN  0.763372                 NaN            NaN            NaN  0.258426       0.408152                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.0314                 NaN  0.250824       0.150115                 NaN            NaN  0.238969       0.328650                 NaN            NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8153                 NaN  0.587098E-001  0.514993                 NaN            NaN  0.248017       0.363025                 NaN            NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.8292                 NaN  0.510646       0.553817E-001            NaN            NaN  0.246209       0.358605                 NaN            NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8384                 NaN  0.478174E-001  0.511730                 NaN            NaN  0.246305       0.355759                 NaN            NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.8511                 NaN  0.509194       0.426999E-001            NaN            NaN  0.245291       0.351753                 NaN            NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.8618                 NaN  0.371858E-001  0.507756                 NaN            NaN  0.244808       0.348422                 NaN            NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.8720                 NaN  0.315300E-001  0.507346                 NaN            NaN  0.244078       0.345054                 NaN            NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.8822                 NaN  0.269911E-001  0.505760                 NaN            NaN  0.243272       0.341740                 NaN            NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.8931                 NaN  0.504040       0.221691E-001            NaN            NaN  0.242372       0.338276                 NaN            NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9027                 NaN  0.502700       0.176432E-001            NaN            NaN  0.241717       0.335271                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9141                 NaN  0.117123E-001  0.502190                 NaN            NaN  0.240496       0.331476                 NaN            NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9235                 NaN  0.500203       0.801904E-002            NaN            NaN  0.239834       0.328458                 NaN            NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9331                 NaN  0.500081       0.281233E-002            NaN            NaN  0.238669       0.325351                 NaN            NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9348                 NaN  0.469670       0.514397E-001            NaN            NaN  0.221863       0.322230                 NaN            NaN            NaN            NaN
  1377.10        2500.00                 NaN   98.9506                 NaN  0.495454                 NaN            NaN            NaN  0.234636       0.319283                 NaN            NaN            NaN            NaN
  1375.94        2500.00                 NaN   97.7660                 NaN  0.222763       0.990901                 NaN            NaN  0.361033       0.659285                 NaN            NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.9879                 NaN  0.405891E-002            NaN            NaN            NaN  0.802138E-002            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.1304                 NaN  0.352721                 NaN            NaN            NaN  0.242492       0.274368                 NaN            NaN            NaN            NaN
  1372.47        2500.00                 NaN   98.9861                 NaN  0.478081                 NaN            NaN            NaN  0.228616       0.307242                 NaN            NaN            NaN            NaN
  1371.31        2500.00                 NaN   98.9784                 NaN  0.463356                 NaN            NaN            NaN  0.244119       0.314109                 NaN            NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0216                 NaN  0.466774                 NaN            NaN            NaN  0.218740       0.292936                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0111                 NaN  0.468604                 NaN            NaN            NaN  0.221833       0.298442                 NaN            NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0182                 NaN  0.460963                 NaN            NaN            NaN  0.224291       0.296531                 NaN            NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0271                 NaN  0.463247                 NaN            NaN            NaN  0.216934       0.292669                 NaN            NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0352                 NaN  0.457097                 NaN            NaN            NaN  0.217381       0.290371                 NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0426                 NaN  0.455906                 NaN            NaN            NaN  0.214032       0.287494                 NaN            NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.0499                 NaN  0.452601                 NaN            NaN            NaN  0.212584       0.284896                 NaN            NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.0572                 NaN  0.450538                 NaN            NaN            NaN  0.209931       0.282348                 NaN            NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.0642                 NaN  0.446623                 NaN            NaN            NaN  0.209194       0.279948                 NaN            NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.0717                 NaN  0.442375                 NaN            NaN            NaN  0.208159       0.277788                 NaN            NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.0799                 NaN  0.441618                 NaN            NaN            NaN  0.204442       0.274078                 NaN            NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.0863                 NaN  0.436281                 NaN            NaN            NaN  0.204850       0.272582                 NaN            NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.0942                 NaN  0.436419                 NaN            NaN            NaN  0.200276       0.269091                 NaN            NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.1001                 NaN  0.434648                 NaN            NaN            NaN  0.198218       0.267072                 NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1062                 NaN  0.432703                 NaN            NaN            NaN  0.196116       0.264995                 NaN            NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1136                 NaN  0.430646                 NaN            NaN            NaN  0.193606       0.262122                 NaN            NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1099                 NaN  0.440114                 NaN            NaN            NaN  0.187165       0.262857                 NaN            NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.1350                 NaN  0.422828                 NaN            NaN            NaN  0.187717       0.254494                 NaN            NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.1323                 NaN  0.424364                 NaN            NaN            NaN  0.187767       0.255544                 NaN            NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1388                 NaN  0.421074                 NaN            NaN            NaN  0.186674       0.253480                 NaN            NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1470                 NaN  0.417411                 NaN            NaN            NaN  0.185054       0.250517                 NaN            NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.0712                 NaN  0.460135                 NaN            NaN            NaN  0.196041       0.272620                 NaN            NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2339                 NaN  0.383609                 NaN            NaN            NaN  0.159756       0.222784                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1651                 NaN  0.413476                 NaN            NaN            NaN  0.177522       0.243908                 NaN            NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.1703                 NaN  0.409990                 NaN            NaN            NaN  0.177557       0.242198                 NaN            NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.1678                 NaN  0.424676                 NaN            NaN            NaN  0.166101       0.241399                 NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.1834                 NaN  0.397167                 NaN            NaN            NaN  0.181094       0.238291                 NaN            NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.1881                 NaN  0.405720                 NaN            NaN            NaN  0.170612       0.235615                 NaN            NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.1893                 NaN  0.402383                 NaN            NaN            NaN  0.172621       0.235660                 NaN            NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.2013                 NaN  0.401900                 NaN            NaN            NaN  0.166139       0.230707                 NaN            NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.1948                 NaN  0.383166                 NaN            NaN            NaN  0.184287       0.237755                 NaN            NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2216                 NaN  0.402880                 NaN            NaN            NaN  0.154805       0.220764                 NaN            NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.2133                 NaN  0.396849                 NaN            NaN            NaN  0.161922       0.227957                 NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.2029                 NaN  0.419803                 NaN            NaN            NaN  0.151398       0.225851                 NaN            NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.2368                 NaN  0.386279                 NaN            NaN            NaN  0.157188       0.219716                 NaN            NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2305                 NaN  0.394590                 NaN            NaN            NaN  0.154605       0.220296                 NaN            NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2339                 NaN  0.398095                 NaN            NaN            NaN  0.149332       0.218641                 NaN            NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2395                 NaN  0.395501                 NaN            NaN            NaN  0.148124       0.216855                 NaN            NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2426                 NaN  0.397307                 NaN            NaN            NaN  0.144821       0.215243                 NaN            NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2478                 NaN  0.394959                 NaN            NaN            NaN  0.143664       0.213584                 NaN            NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.2528                 NaN  0.393751                 NaN            NaN            NaN  0.141655       0.211767                 NaN            NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.2557                 NaN  0.397836                 NaN            NaN            NaN  0.136225       0.210254                 NaN            NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.2621                 NaN  0.390682                 NaN            NaN            NaN  0.138760       0.208495                 NaN            NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.2681                 NaN  0.387861                 NaN            NaN            NaN  0.137291       0.206720                 NaN            NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.2711                 NaN  0.389890                 NaN            NaN            NaN  0.133796       0.205230                 NaN            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2743                 NaN  0.392013                 NaN            NaN            NaN  0.130074       0.203600                 NaN            NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2778                 NaN  0.393169                 NaN            NaN            NaN  0.126792       0.202246                 NaN            NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.2803                 NaN  0.396833                 NaN            NaN            NaN  0.121922       0.200908                 NaN            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2867                 NaN  0.390770                 NaN            NaN            NaN  0.123390       0.199123                 NaN            NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.2904                 NaN  0.392923                 NaN            NaN            NaN  0.119065       0.197619                 NaN            NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.2933                 NaN  0.398657                 NaN            NaN            NaN  0.111550       0.196518                 NaN            NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.2966                 NaN  0.394496                 NaN            NaN            NaN  0.114191       0.194715                 NaN            NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.3010                 NaN  0.394702                 NaN            NaN            NaN  0.110868       0.193442                 NaN            NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.2355                 NaN  0.444272                 NaN            NaN            NaN  0.114779       0.205435                 NaN            NaN            NaN            NaN
  1307.69        2500.00                 NaN   99.3815                 NaN  0.333711                 NaN            NaN            NaN  0.107680       0.177106                 NaN            NaN            NaN            NaN
  1306.54        2500.00                 NaN   99.3118                 NaN  0.395960                 NaN            NaN            NaN  0.102728       0.189482                 NaN            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.3156                 NaN  0.394179                 NaN            NaN            NaN  0.102106       0.188135                 NaN            NaN            NaN            NaN
  1304.22        2500.00                 NaN   91.0989                 NaN   2.32587                 NaN            NaN            NaN  0.601090        1.21231        4.76187                 NaN            NaN            NaN
  1303.07        2500.00                 NaN   90.3980                 NaN   2.53122                 NaN            NaN            NaN  0.620015        1.30010        5.15071                 NaN            NaN            NaN
  1301.91        2500.00                 NaN   90.7502                 NaN   2.46639                 NaN            NaN            NaN  0.594589        1.25625        4.92800       0.459655E-002            NaN            NaN
  1300.75        2500.00                 NaN   77.8176                 NaN   5.31139                 NaN            NaN            NaN   1.36621        2.95853        11.8017       0.744544                 NaN            NaN
  1299.60        2500.00                 NaN   79.3983                 NaN   4.92614                 NaN            NaN            NaN   1.35130        2.75118        10.8900       0.683088                 NaN            NaN
  1298.44        2500.00                 NaN   81.1843                 NaN   4.53402                 NaN            NaN            NaN   1.27198        2.51793        9.87754       0.614274                 NaN            NaN
  1297.28        2500.00                 NaN   82.9258                 NaN   4.15798                 NaN            NaN            NaN   1.17316        2.29026        8.90383       0.548992                 NaN            NaN
  1296.13        2500.00                 NaN   84.4976                 NaN   3.83278                 NaN            NaN            NaN   1.06680        2.08447        8.02783       0.490471                 NaN            NaN
  1294.97        2500.00                 NaN   85.8964                 NaN   3.54693                 NaN            NaN            NaN  0.962543        1.90109        7.25380       0.439258                 NaN            NaN
  1293.81        2500.00                 NaN   87.1350                 NaN   3.28184                 NaN            NaN            NaN  0.873895        1.73828        6.57558       0.395417                 NaN            NaN
  1292.66        2500.00                 NaN   88.2267                 NaN   3.05556                 NaN            NaN            NaN  0.785800        1.59458        5.98048       0.356920                 NaN            NaN
  1291.50        2500.00                 NaN   88.7341                 NaN   2.91583                 NaN            NaN            NaN  0.783486        1.52991        5.69640       0.340249                 NaN            NaN
  1290.34        2500.00                 NaN   86.4215                 NaN   3.48677                 NaN            NaN            NaN  0.889261        1.87380        6.92132       0.407374                 NaN            NaN
  1289.19        2500.00                 NaN   92.7836                 NaN   2.11300                 NaN            NaN            NaN  0.403769       0.969962        3.52459       0.205059                 NaN            NaN
  1288.03        2500.00                 NaN   89.4827                 NaN   2.72173                 NaN            NaN            NaN  0.787035        1.44635        5.24901       0.313139                 NaN            NaN
  1286.87        2500.00                 NaN   95.3572                 NaN   1.53592                 NaN            NaN            NaN  0.194387       0.605641        2.18011       0.126735                 NaN            NaN
  1285.72        2500.00                 NaN   89.3373                 NaN   2.86526                 NaN            NaN            NaN  0.612457        1.49024        5.39536       0.299352                 NaN            NaN
  1284.56        2500.00                 NaN   93.3396                 NaN   1.87228                 NaN            NaN            NaN  0.349696       0.918192        3.29786       0.222427                 NaN            NaN
  1283.40        2500.00                 NaN   95.9394                 NaN   1.56374                 NaN            NaN            NaN  0.150201       0.518314        1.75148       0.768346E-001            NaN            NaN
  1282.25        2500.00                 NaN   91.1232                 NaN   2.59577                 NaN            NaN            NaN  0.363977        1.23359        4.44512       0.238369                 NaN            NaN
  1281.09        2500.00                 NaN   77.0076                 NaN  0.467262        7.86331                 NaN            NaN            NaN   3.22206        10.6709       0.768869                 NaN            NaN
  1279.93        2500.00                 NaN   99.9999                 NaN            NaN            NaN            NaN            NaN  0.362126E-004  0.146480E-004  0.246607E-004            NaN            NaN            NaN
  1278.77        2500.00                 NaN   99.9996                 NaN  0.397785E-004  0.772497E-004            NaN            NaN  0.275154E-004  0.568019E-004  0.193416E-003            NaN            NaN            NaN
  1277.62        2500.00                 NaN   99.9999                 NaN  0.345212E-005            NaN            NaN            NaN            NaN            NaN  0.579545E-004  0.347704E-005            NaN            NaN
  1276.46        2500.00                 NaN   87.3413                 NaN   4.54440                 NaN            NaN            NaN  0.283490        1.87037        5.94382       0.165929E-001            NaN            NaN
  1275.30        2500.00                 NaN   97.5183                 NaN  0.928297                 NaN            NaN            NaN            NaN  0.339639        1.15504       0.587376E-001            NaN            NaN
  1274.15        2500.00                 NaN   95.8028                 NaN   1.01684                 NaN            NaN            NaN            NaN  0.689750        2.31929       0.171301                 NaN            NaN
  1272.99        2500.00                 NaN   99.1010                 NaN  0.340432E-001  0.449130                 NaN            NaN            NaN  0.306302E-001  0.385218                 NaN            NaN            NaN
  1271.83        2500.00                 NaN   95.0361                 NaN   1.27341                 NaN            NaN            NaN  0.518934       0.544765        2.50209       0.124648                 NaN            NaN
  1270.68        2500.00                 NaN   99.9399                 NaN  0.231097E-001            NaN            NaN            NaN  0.364763E-002  0.847042E-002  0.241015E-001  0.728905E-003            NaN            NaN
  1269.52        2500.00                 NaN   99.9205                 NaN            NaN            NaN            NaN            NaN  0.319617E-001  0.134494E-001  0.331899E-001  0.863295E-003            NaN            NaN
  1268.36        2500.00                 NaN   95.3399                 NaN   1.37474       0.351137                 NaN            NaN            NaN  0.836403        1.92501       0.172828                 NaN            NaN
  1267.21        2500.00                 NaN   98.4778                 NaN  0.234963       0.454787                 NaN            NaN            NaN  0.175722       0.656696                 NaN            NaN            NaN
  1266.05        2500.00                 NaN   99.1577                 NaN  0.172383                 NaN            NaN            NaN            NaN  0.125262       0.527743       0.169564E-001            NaN            NaN
  1264.89        2500.00                 NaN   98.0803                 NaN  0.785485                 NaN            NaN            NaN            NaN  0.237679       0.870876       0.256882E-001            NaN            NaN
  1263.74        2500.00                 NaN   97.6334                 NaN  0.903688                 NaN            NaN            NaN            NaN  0.329029        1.08622       0.477069E-001            NaN            NaN
  1262.58        2500.00                 NaN   98.3848                 NaN            NaN            NaN            NaN            NaN            NaN  0.378998        1.18306       0.531700E-001            NaN            NaN
  1261.42        2500.00                 NaN   95.5349                 NaN   2.32104                 NaN            NaN            NaN            NaN  0.433198        1.62792       0.829527E-001            NaN            NaN
  1260.27        2500.00                 NaN   99.6196                 NaN  0.188959E-001  0.581204E-001            NaN            NaN            NaN  0.450790E-001  0.252160       0.611384E-002            NaN            NaN
  1259.11        2500.00                 NaN   84.2621        4.02781        2.49656        2.04556                 NaN            NaN            NaN   1.54182        5.40842       0.217689                 NaN            NaN
  1257.95        2500.00                 NaN   94.8278        4.94932       0.673349E-001  0.213487E-001            NaN            NaN            NaN  0.283292E-001  0.101590       0.431342E-002            NaN            NaN
  1256.80        2500.00                 NaN   94.2763        5.40489       0.928179E-001  0.340362E-001            NaN            NaN            NaN  0.408308E-001  0.145004       0.608727E-002            NaN            NaN
  1255.64        2500.00                 NaN   93.4458        6.08007       0.135920       0.501854E-001            NaN            NaN            NaN  0.606267E-001  0.218304       0.913529E-002            NaN            NaN
  1254.48        2500.00                 NaN   90.8481                 NaN   2.09617        1.47586                 NaN            NaN            NaN   1.19673        4.22615       0.156961                 NaN            NaN
  1253.33        2500.00                 NaN   98.3426                 NaN  0.521661                 NaN            NaN            NaN            NaN  0.244916       0.830465       0.603145E-001            NaN            NaN
  1252.17        2500.00                 NaN   96.0026                 NaN   1.45491                 NaN            NaN            NaN            NaN  0.523518        1.95428       0.646754E-001            NaN            NaN
  1251.01        2500.00                 NaN   97.5721                 NaN   1.00596                 NaN            NaN            NaN            NaN  0.205562        1.17338       0.429602E-001            NaN            NaN
  1249.86        2500.00                 NaN   98.9045                 NaN  0.292865                 NaN            NaN            NaN            NaN  0.293296       0.477225       0.321043E-001            NaN            NaN
  1248.70        2500.00                 NaN   94.9735                 NaN  0.833222       0.475949                 NaN            NaN            NaN  0.783676        2.79769       0.135975                 NaN            NaN
  1247.54        2500.00                 NaN   98.9703                 NaN  0.148433       0.268612                 NaN            NaN            NaN  0.129057       0.462321       0.212503E-001            NaN            NaN
