|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/WD94/WD94_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1823.72        500.000        85.4405                 NaN   3.15516        11.4043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        84.9134                 NaN   3.15001        11.9366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        84.6309                 NaN   3.14431        12.2248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        84.6566                 NaN   3.13926        12.1994       0.468122E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        83.7457                 NaN   3.12904        13.1128       0.125417E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        82.8338                 NaN   3.11881        14.0270       0.204105E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        82.3035                 NaN   3.10778        14.5570       0.317015E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        81.7729                 NaN   3.09674        15.0874       0.429998E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        81.2420                 NaN   3.08569        15.6180       0.543051E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        80.7109                 NaN   3.07463        16.1489       0.656175E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        80.1816                 NaN   3.06088        16.6811       0.764476E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        79.6521                 NaN   3.04712        17.2135       0.872836E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        79.1223                 NaN   3.03335        17.7462       0.981257E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        78.5923                 NaN   3.01956        18.2791       0.108974                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        78.0621                 NaN   3.00576        18.8123       0.119828                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        77.5316                 NaN   2.99196        19.3457       0.130687                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        77.0010                 NaN   2.97814        19.8793       0.141553                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        76.4701                 NaN   2.96431        20.4132       0.152424                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        75.9235                 NaN   2.94554        20.9681       0.162864                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        75.3767                 NaN   2.92676        21.5232       0.173309                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        74.8298                 NaN   2.90797        22.0785       0.183758                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        74.2826                 NaN   2.88917        22.6340       0.194212                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        73.7353                 NaN   2.87036        23.1897       0.204670                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        73.1878                 NaN   2.85153        23.7455       0.215133                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        72.6402                 NaN   2.83269        24.3015       0.225600                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        72.0924                 NaN   2.81384        24.8577       0.236071                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        71.5244                 NaN   2.78993        25.4395       0.246138                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        70.9563                 NaN   2.76600        26.0215       0.256209                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        70.3881                 NaN   2.74206        26.6035       0.266283                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        69.8198                 NaN   2.71811        27.1857       0.276360                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        69.2513                 NaN   2.69415        27.7681       0.286440                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        68.6828                 NaN   2.67017        28.3505       0.296523                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        68.1141                 NaN   2.64618        28.9331       0.306609                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        67.5454                 NaN   2.62219        29.5157       0.316698                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        66.9493                 NaN   2.59141        30.1332       0.326128                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        66.3531                 NaN   2.56063        30.7507       0.335559                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        65.7568                 NaN   2.52984        31.3683       0.344992                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        65.1606                 NaN   2.49903        31.9860       0.354427                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        64.5643                 NaN   2.46822        32.6036       0.363863                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        63.9679                 NaN   2.43739        33.2214       0.373300                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        63.3716                 NaN   2.40656        33.8391       0.382739                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        62.7752                 NaN   2.37571        34.4569       0.392179                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        62.1717                 NaN   2.34056        35.0857       0.401995                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        61.5683                 NaN   2.30540        35.7145       0.411812                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        60.9649                 NaN   2.27023        36.3433       0.421629                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        60.3615                 NaN   2.23505        36.9720       0.431447                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        59.7581                 NaN   2.19987        37.6008       0.441265                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        59.1548                 NaN   2.16467        38.2294       0.451083                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        58.5516                 NaN   2.12947        38.8581       0.460902                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        57.9484                 NaN   2.09427        39.4866       0.470721                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        57.3144                 NaN   2.05499        40.1493       0.481292                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        56.6805                 NaN   2.01571        40.8119       0.491863                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        56.0467                 NaN   1.97642        41.4745       0.502433                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        55.4130                 NaN   1.93713        42.1369       0.513003                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        54.9159                 NaN   1.89187        42.6748       0.517372                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        54.2143                 NaN   1.85142        43.2760       0.525547       0.132701                 NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        52.6469                 NaN   1.83784        43.4820       0.520542        1.51272                 NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        51.0745                 NaN   1.82422        43.6885       0.515520        2.89720                 NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        49.8401                 NaN   1.80789        43.8743       0.510158        3.96761                 NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        48.6026                 NaN   1.79152        44.0604       0.504782        5.04065                 NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        47.3623                 NaN   1.77510        44.2469       0.499391        6.11633                 NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        46.1189                 NaN   1.75865        44.4338       0.493986        7.19464                 NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        44.8727                 NaN   1.74215        44.6210       0.488567        8.27558                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        43.6235                 NaN   1.72561        44.8086       0.483133        9.35917                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        42.3713                 NaN   1.70902        44.9966       0.477685        10.4454                 NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        41.1162                 NaN   1.69239        45.1849       0.472222        11.5343                 NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        40.2276                 NaN   1.67190        45.3560       0.466829        12.2776                 NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        39.3377                 NaN   1.65137        45.5274       0.461427        13.0221                 NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        38.4464                 NaN   1.63081        45.6989       0.456016        13.7678                 NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        37.5537                 NaN   1.61021        45.8707       0.450595        14.5147                 NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        36.6597                 NaN   1.58958        46.0427       0.445164        15.2628                 NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        35.7644                 NaN   1.56892        46.2149       0.439724        16.0121                 NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        34.8677                 NaN   1.54822        46.3873       0.434274        16.7626                 NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        33.9696                 NaN   1.52748        46.5599       0.428815        17.5142                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        33.2957                 NaN   1.50264        46.7334       0.423608        18.0446                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        32.6213                 NaN   1.47777        46.9070       0.418394        18.5756                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        31.9461                 NaN   1.45287        47.0807       0.413174        19.1071                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        31.2703                 NaN   1.42795        47.2546       0.407949        19.6392                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        30.5938                 NaN   1.40300        47.4286       0.402717        20.1718                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        29.9167                 NaN   1.37802        47.6028       0.397478        20.7050                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        29.2389                 NaN   1.35302        47.7771       0.392234        21.2387                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        28.5605                 NaN   1.32799        47.9515       0.386984        21.7730                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        28.0242                 NaN   1.29869        48.1378       0.381985        22.1573                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        27.4876                 NaN   1.26937        48.3242       0.376982        22.5418                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        26.9506                 NaN   1.24004        48.5107       0.371975        22.9266                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        26.4134                 NaN   1.21068        48.6973       0.366964        23.3117                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        25.8758                 NaN   1.18130        48.8840       0.361950        23.6970                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        25.3379                 NaN   1.15190        49.0708       0.356932        24.0825                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        24.7997                 NaN   1.12249        49.2577       0.351909        24.4682                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        24.2611                 NaN   1.09305        49.4447       0.346884        24.8542                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        23.8201                 NaN   1.05856        49.6539       0.342483        25.1250                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        23.3789                 NaN   1.02406        49.8631       0.338081        25.3958                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        22.9376                 NaN  0.989553        50.0724       0.333677        25.6667                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        22.4962                 NaN  0.955030        50.2818       0.329271        25.9377                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        22.0546                 NaN  0.920495        50.4912       0.324863        26.2087                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        21.6130                 NaN  0.885948        50.7007       0.320453        26.4799                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        21.1712                 NaN  0.851388        50.9103       0.316041        26.7511                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        20.7292                 NaN  0.816817        51.1199       0.311627        27.0224                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        20.3524                 NaN  0.776321        51.3608       0.308068        27.2024                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        19.9756                 NaN  0.735820        51.6017       0.304509        27.3824                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        19.5987                 NaN  0.695316        51.8426       0.300949        27.5624                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        19.2219                 NaN  0.654807        52.0836       0.297388        27.7424                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        18.8450                 NaN  0.614295        52.3245       0.293827        27.9223                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        18.4681                 NaN  0.573778        52.5655       0.290265        28.1023                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        18.0912                 NaN  0.533258        52.8065       0.286703        28.2823                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        17.7143                 NaN  0.492733        53.0476       0.283140        28.4622                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        17.3788                 NaN  0.446600        53.3186       0.281311        28.5747                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        17.0434                 NaN  0.400471        53.5896       0.279482        28.6870                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        16.7080                 NaN  0.354346        53.8606       0.277653        28.7994                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        16.3727                 NaN  0.308226        54.1316       0.275825        28.9117                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        16.0592                 NaN  0.259450        54.4189       0.275203        28.9873                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        15.7457                 NaN  0.210684        54.7061       0.274581        29.0629                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        15.2016                 NaN  0.160121        55.0089       0.283389        28.9421       0.403939                 NaN            NaN            NaN            NaN
  1461.54        500.000        14.6472                 NaN  0.109061        55.3123       0.295472        28.7818       0.854216                 NaN            NaN            NaN            NaN
  1458.33        500.000        14.1352                 NaN  0.557774E-001   55.6259       0.308904        28.5921        1.28211                 NaN            NaN            NaN            NaN
  1455.13        500.000        13.6006                 NaN            NaN   55.9482       0.324253        28.4007        1.72625                 NaN            NaN            NaN            NaN
  1451.92        500.000        13.0539                 NaN            NaN   55.9544       0.329972        28.5247        2.13701                 NaN            NaN            NaN            NaN
  1448.72        500.000        12.5064                 NaN            NaN   55.9605       0.335701        28.6490        2.54838                 NaN            NaN            NaN            NaN
  1445.51        500.000        11.9659                 NaN            NaN   55.9605       0.343727        28.6781       0.109624        2.94210                 NaN            NaN            NaN
  1442.31        500.000        11.4380                 NaN            NaN   55.9377       0.361341        28.5272        3.29428       0.441449                 NaN            NaN            NaN
  1439.10        500.000        10.7569                 NaN            NaN   55.9453       0.375872        28.3821        3.65223       0.802429       0.851301E-001            NaN            NaN
  1435.90        500.000        9.75371                 NaN            NaN   56.0292       0.383013        28.1930        3.96173        1.28395       0.395324                 NaN            NaN
  1432.69        500.000        9.75325                 NaN            NaN   56.0295       0.383027        28.1932        3.96175        1.28396       0.395350                 NaN            NaN
  1429.49        500.000        9.75279                 NaN            NaN   56.0297       0.383040        28.1934        3.96176        1.28397       0.395376                 NaN            NaN
  1426.28        500.000        9.75232                 NaN            NaN   56.0299       0.383053        28.1935        3.96178        1.28399       0.395403                 NaN            NaN
  1423.08        500.000        9.75186                 NaN            NaN   56.0302       0.383067        28.1937        3.96180        1.28400       0.395429                 NaN            NaN
  1419.87        500.000        9.75140                 NaN            NaN   56.0304       0.383080        28.1938        3.96181        1.28401       0.395455                 NaN            NaN
  1416.67        500.000        9.75093                 NaN            NaN   56.0306       0.383093        28.1940        3.96183        1.28402       0.395481                 NaN            NaN
  1413.46        500.000        9.75047                 NaN            NaN   56.0309       0.383107        28.1942        3.96185        1.28403       0.395507                 NaN            NaN
  1410.26        500.000        5.69161                 NaN            NaN   56.3149       0.442969        27.1390        5.22405        3.45826        1.72927                 NaN            NaN
  1407.05        500.000        5.69139                 NaN            NaN   56.3149       0.442982        27.1390        5.22405        3.45828        1.72937                 NaN            NaN
  1403.85        500.000        5.69117                 NaN            NaN   56.3149       0.442996        27.1391        5.22406        3.45830        1.72948                 NaN            NaN
  1400.64        500.000        5.69094                 NaN            NaN   56.3149       0.443010        27.1392        5.22406        3.45832        1.72959                 NaN            NaN
  1397.44        500.000        5.69072                 NaN            NaN   56.3149       0.443023        27.1392        5.22406        3.45833        1.72970                 NaN            NaN
  1394.23        500.000        5.69050                 NaN            NaN   56.3150       0.443037        27.1393        5.22407        3.45835        1.72980                 NaN            NaN
  1391.03        500.000        5.69027                 NaN            NaN   56.3150       0.443050        27.1393        5.22407        3.45837        1.72991                 NaN            NaN
  1387.82        500.000        5.69005                 NaN            NaN   56.3150       0.443064        27.1394        5.22407        3.45839        1.73002                 NaN            NaN
  1384.62        500.000        3.79518                 NaN            NaN   56.4244       0.487028        26.5001        4.54079        5.79836        2.45411                 NaN            NaN
  1381.41        500.000        3.79507                 NaN            NaN   56.4244       0.487042        26.5001        4.54080        5.79836        2.45426                 NaN            NaN
  1378.21        500.000        3.79495                 NaN            NaN   56.4243       0.487056        26.5001        4.54082        5.79835        2.45441                 NaN            NaN
  1375.00        500.000        3.79483                 NaN            NaN   56.4242       0.487070        26.5002        4.54084        5.79835        2.45456                 NaN            NaN
  1371.79        500.000        3.79471                 NaN            NaN   56.4241       0.487084        26.5002        4.54086        5.79834        2.45470                 NaN            NaN
  1368.59        500.000        3.79460                 NaN            NaN   56.4240       0.487098        26.5002        4.54087        5.79834        2.45485                 NaN            NaN
  1365.38        500.000        3.79448                 NaN            NaN   56.4240       0.487112        26.5002        4.54089        5.79833        2.45500                 NaN            NaN
  1362.18        500.000        3.79436                 NaN            NaN   56.4239       0.487126        26.5003        4.54091        5.79833        2.45515                 NaN            NaN
  1358.97        500.000        2.62961                 NaN            NaN   56.4445       0.534348        25.9843        5.32350        6.10974        2.97400                 NaN            NaN
  1355.77        500.000        2.62955                 NaN            NaN   56.4444       0.534363        25.9843        5.32351        6.10973        2.97418                 NaN            NaN
  1352.56        500.000        2.62948                 NaN            NaN   56.4442       0.534378        25.9843        5.32353        6.10972        2.97436                 NaN            NaN
  1349.36        500.000        2.62942                 NaN            NaN   56.4441       0.534393        25.9843        5.32354        6.10971        2.97453                 NaN            NaN
  1346.15        500.000        2.62936                 NaN            NaN   56.4439       0.534407        25.9843        5.32356        6.10970        2.97471                 NaN            NaN
  1342.95        500.000        2.62929                 NaN            NaN   56.4438       0.534422        25.9843        5.32358        6.10969        2.97489                 NaN            NaN
  1339.74        500.000        2.62923                 NaN            NaN   56.4437       0.534437        25.9843        5.32359        6.10968        2.97506                 NaN            NaN
  1336.54        500.000        2.62916                 NaN            NaN   56.4435       0.534452        25.9843        5.32361        6.10967        2.97524                 NaN            NaN
  1333.33        500.000        1.79123                 NaN            NaN   56.4838       0.556855        25.7195        6.33617        5.73020        3.38225                 NaN            NaN
  1330.13        500.000        1.79120                 NaN            NaN   56.4836       0.556870        25.7195        6.33616        5.73022        3.38245                 NaN            NaN
  1326.92        500.000        1.79116                 NaN            NaN   56.4834       0.556885        25.7195        6.33614        5.73023        3.38265                 NaN            NaN
  1323.72        500.000        1.79113                 NaN            NaN   56.4833       0.556900        25.7195        6.33613        5.73025        3.38285                 NaN            NaN
  1320.51        500.000        1.79110                 NaN            NaN   56.4831       0.556915        25.7195        6.33612        5.73027        3.38304                 NaN            NaN
  1317.31        500.000        1.79107                 NaN            NaN   56.4829       0.556930        25.7195        6.33611        5.73028        3.38324                 NaN            NaN
  1314.10        500.000        1.79103                 NaN            NaN   56.4827       0.556945        25.7195        6.33610        5.73030        3.38344                 NaN            NaN
  1310.90        500.000        1.79100                 NaN            NaN   56.4825       0.556960        25.7195        6.33608        5.73032        3.38364                 NaN            NaN
  1307.69        500.000        1.13051                 NaN            NaN   56.4767       0.585572        25.4918        6.48577        6.10169        3.72799                 NaN            NaN
  1304.49        500.000        1.13050                 NaN            NaN   56.4765       0.585587        25.4918        6.48575        6.10171        3.72821                 NaN            NaN
  1301.28        500.000       0.984743                 NaN            NaN   56.4751       0.591280        25.4549        6.17022        6.51775        3.80602                 NaN            NaN
  1298.08        500.000                 NaN            NaN            NaN   56.5188       0.597476        25.4524        6.60092        6.30857        3.91537       0.606496                 NaN
  1294.87        500.000                 NaN            NaN            NaN   56.5314       0.595987        25.5015        6.60886        6.22534        3.92522       0.611754                 NaN
  1291.67        500.000                 NaN            NaN            NaN   56.5311       0.596003        25.5014        6.60885        6.22536        3.92545       0.611764                 NaN
  1288.46        500.000                 NaN            NaN            NaN   56.5309       0.596018        25.5014        6.60883        6.22537        3.92568       0.611775                 NaN
  1285.26        500.000                 NaN            NaN            NaN   56.5307       0.596033        25.5014        6.60882        6.22539        3.92590       0.611786                 NaN
  1282.05        500.000                 NaN            NaN            NaN   56.5362       0.606903        25.5755        6.64574        6.05680        3.95661       0.622213                 NaN
