|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1701.92        500.000        59.4771                 NaN   5.91702        34.0867       0.519235                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        58.8856                 NaN   5.84150        34.7402       0.532777                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        58.2943                 NaN   5.76602        35.3934       0.546313                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        57.7033                 NaN   5.69057        36.0463       0.559843                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        57.1058                 NaN   5.60484        36.7156       0.573694                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        56.5087                 NaN   5.51915        37.3846       0.587539                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        55.9118                 NaN   5.43351        38.0533       0.601376                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        55.3152                 NaN   5.34790        38.7217       0.615207                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        54.7189                 NaN   5.26234        39.3897       0.629032                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        54.1229                 NaN   5.17682        40.0574       0.642849                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        53.5272                 NaN   5.09133        40.7248       0.656660                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        52.9317                 NaN   5.00589        41.3919       0.670465                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        52.3051                 NaN   4.91071        42.0990       0.685187                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        51.6789                 NaN   4.81558        42.8057       0.699902                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        51.0529                 NaN   4.72050        43.5120       0.714609                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        50.4273                 NaN   4.62547        44.2179       0.729307                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        49.9458                 NaN   4.51648        44.8013       0.736466                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        49.2578                 NaN   4.41821        45.4397       0.747804       0.136410                 NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        47.7374                 NaN   4.37838        45.5921       0.739078        1.55298                 NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        46.2173                 NaN   4.33856        45.7445       0.730355        2.96924                 NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        45.0282                 NaN   4.29403        45.8929       0.721543        4.06333                 NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        43.8394                 NaN   4.24952        46.0413       0.712733        5.15714                 NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        42.6508                 NaN   4.20501        46.1896       0.703926        6.25068                 NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        41.4626                 NaN   4.16051        46.3378       0.695120        7.34395                 NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        40.2746                 NaN   4.11603        46.4861       0.686317        8.43694                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        39.0870                 NaN   4.07156        46.6343       0.677516        9.52966                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        37.8997                 NaN   4.02710        46.7824       0.668717        10.6221                 NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        36.7126                 NaN   3.98265        46.9305       0.659921        11.7143                 NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        35.8753                 NaN   3.93077        47.0811       0.651518        12.4613                 NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        35.0383                 NaN   3.87890        47.2315       0.643117        13.2081                 NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        34.2016                 NaN   3.82706        47.3820       0.634718        13.9547                 NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        33.3650                 NaN   3.77522        47.5323       0.626322        14.7011                 NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        32.5287                 NaN   3.72340        47.6827       0.617929        15.4472                 NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        31.6927                 NaN   3.67160        47.8330       0.609537        16.1932                 NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        30.8569                 NaN   3.61981        47.9832       0.601149        16.9389                 NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        30.0214                 NaN   3.56804        48.1334       0.592763        17.6844                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        29.3967                 NaN   3.50762        48.2985       0.584926        18.2122                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        28.7723                 NaN   3.44723        48.4635       0.577093        18.7399                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        28.1481                 NaN   3.38685        48.6284       0.569262        19.2673                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        27.5242                 NaN   3.32649        48.7933       0.561434        19.7946                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        26.9004                 NaN   3.26616        48.9581       0.553609        20.3217                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        26.2769                 NaN   3.20584        49.1229       0.545786        20.8486                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        25.6535                 NaN   3.14555        49.2876       0.537966        21.3754                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        25.0304                 NaN   3.08528        49.4522       0.530148        21.9019                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        24.5395                 NaN   3.01564        49.6395       0.522784        22.2825                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        24.0489                 NaN   2.94604        49.8268       0.515422        22.6629                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        23.5584                 NaN   2.87646        50.0139       0.508064        23.0431                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        23.0682                 NaN   2.80690        50.2010       0.500708        23.4232                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        22.5781                 NaN   2.73738        50.3880       0.493355        23.8031                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        22.0882                 NaN   2.66788        50.5749       0.486005        24.1829                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        21.5986                 NaN   2.59841        50.7618       0.478658        24.5626                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        21.1091                 NaN   2.52897        50.9486       0.471314        24.9421                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        20.7096                 NaN   2.44820        51.1674       0.464884        25.2100                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        20.3102                 NaN   2.36746        51.3861       0.458456        25.4778                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        19.9111                 NaN   2.28676        51.6047       0.452032        25.7454                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        19.5121                 NaN   2.20610        51.8232       0.445610        26.0130                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        19.1134                 NaN   2.12548        52.0416       0.439191        26.2804                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        18.7148                 NaN   2.04489        52.2599       0.432775        26.5477                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        18.3164                 NaN   1.96434        52.4781       0.426362        26.8149                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        17.9182                 NaN   1.88383        52.6962       0.419952        27.0819                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        17.5797                 NaN   1.78986        52.9550       0.414742        27.2607                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        17.2413                 NaN   1.69595        53.2138       0.409535        27.4394                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        16.9032                 NaN   1.60209        53.4723       0.404331        27.6181                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        16.5652                 NaN   1.50828        53.7308       0.399129        27.7966                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        16.2274                 NaN   1.41452        53.9891       0.393930        27.9750                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        15.8898                 NaN   1.32081        54.2473       0.388734        28.1533                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        15.5524                 NaN   1.22715        54.5053       0.383541        28.3316                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        15.2152                 NaN   1.13353        54.7632       0.378350        28.5097                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        14.9156                 NaN   1.02714        55.0592       0.375490        28.6226                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        14.6162                 NaN  0.920815        55.3550       0.372631        28.7354                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        14.3170                 NaN  0.814552        55.6506       0.369774        28.8481                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        14.0180                 NaN  0.708353        55.9460       0.366919        28.9607                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        13.7388                 NaN  0.596125        56.2618       0.365668        29.0377                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        13.4598                 NaN  0.483970        56.5773       0.364417        29.1146                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        12.9740                 NaN  0.367613        56.8947       0.375311        28.9888       0.399592                 NaN            NaN            NaN            NaN
  1461.54        500.000        12.4797                 NaN  0.250240        57.2115       0.390390        28.8234       0.844753                 NaN            NaN            NaN            NaN
  1458.33        500.000        12.0242                 NaN  0.127914        57.5427       0.407316        28.6303        1.26759                 NaN            NaN            NaN            NaN
  1455.13        500.000        11.5489                 NaN            NaN   57.8836       0.426575        28.4348        1.70616                 NaN            NaN            NaN            NaN
  1451.92        500.000        11.0598                 NaN            NaN   57.8519       0.432876        28.5445        2.11086                 NaN            NaN            NaN            NaN
  1448.72        500.000        10.5708                 NaN            NaN   57.8202       0.439177        28.6543        2.51557                 NaN            NaN            NaN            NaN
  1445.51        500.000        10.0881                 NaN            NaN   57.7919       0.448571        28.6604       0.108944        2.90201                 NaN            NaN            NaN
  1442.31        500.000        9.62052                 NaN            NaN   57.7198       0.470530        28.5026        3.24795       0.438597                 NaN            NaN            NaN
  1439.10        500.000        9.01792                 NaN            NaN   57.6922       0.488319        28.3370        3.59785       0.796611       0.701069E-001            NaN            NaN
  1435.90        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1432.69        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1429.49        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1426.28        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1423.08        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1419.87        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1416.67        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1413.46        500.000        8.13629                 NaN            NaN   57.7586       0.496896        28.1124        3.89769        1.27281       0.325245                 NaN            NaN
  1410.26        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1407.05        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1403.85        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1400.64        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1397.44        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1394.23        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1391.03        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1387.82        500.000        4.61487                 NaN            NaN   57.8836       0.572807        26.9805        5.11756        3.41376        1.41695                 NaN            NaN
  1384.62        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1381.41        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1378.21        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1375.00        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1371.79        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1368.59        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1365.38        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1362.18        500.000        3.00741                 NaN            NaN   57.9148       0.628591        26.3069        4.46998        5.66578        2.00652                 NaN            NaN
  1358.97        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1355.77        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1352.56        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1349.36        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1346.15        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1342.95        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1339.74        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1336.54        500.000        2.04429                 NaN            NaN   57.8597       0.689233        25.7840        5.23530        5.95955        2.42787                 NaN            NaN
  1333.33        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1330.13        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1326.92        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1323.72        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1320.51        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1317.31        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1314.10        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1310.90        500.000        1.37129                 NaN            NaN   57.8725       0.716781        25.4933        6.17168        5.61690        2.75755                 NaN            NaN
  1307.69        500.000       0.854132                 NaN            NaN   57.8213       0.752820        25.2550        6.31112        5.96976        3.03587                 NaN            NaN
  1304.49        500.000       0.854132                 NaN            NaN   57.8213       0.752820        25.2550        6.31112        5.96976        3.03587                 NaN            NaN
  1301.28        500.000       0.741943                 NaN            NaN   57.8134       0.759827        25.2126        6.03364        6.34004        3.09854                 NaN            NaN
  1298.08        500.000                 NaN            NaN            NaN   57.8020       0.767667        25.2048        6.41639        6.16584        3.18525       0.458130                 NaN
  1294.87        500.000                 NaN            NaN            NaN   57.8410       0.765237        25.2374        6.42118        6.08000        3.19309       0.462096                 NaN
  1291.67        500.000                 NaN            NaN            NaN   57.8410       0.765237        25.2374        6.42118        6.08000        3.19309       0.462096                 NaN
  1288.46        500.000                 NaN            NaN            NaN   57.8410       0.765237        25.2374        6.42118        6.08000        3.19309       0.462096                 NaN
  1285.26        500.000                 NaN            NaN            NaN   57.8410       0.765237        25.2374        6.42118        6.08000        3.19309       0.462096                 NaN
  1282.05        500.000                 NaN            NaN            NaN   57.8550       0.779371        25.3094        6.45447        5.91372        3.21805       0.469991                 NaN
