|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        q             
  1371.16        2500.00                 NaN   99.0369                 NaN            NaN  0.448750                 NaN            NaN            NaN  0.173076       0.341260                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.0442                 NaN            NaN  0.446673                 NaN            NaN            NaN  0.170853       0.338272                 NaN            NaN            NaN
  1368.71        2500.00                 NaN   99.0530                 NaN            NaN  0.442643                 NaN            NaN            NaN  0.169465       0.334905                 NaN            NaN            NaN
  1367.48        2500.00                 NaN   99.0615                 NaN            NaN  0.440838                 NaN            NaN            NaN  0.166344       0.331275                 NaN            NaN            NaN
  1366.25        2500.00                 NaN   99.0701                 NaN            NaN  0.436749                 NaN            NaN            NaN  0.165145       0.327988                 NaN            NaN            NaN
  1365.02        2500.00                 NaN   99.0787                 NaN            NaN  0.431803                 NaN            NaN            NaN  0.164647       0.324837                 NaN            NaN            NaN
  1363.79        2500.00                 NaN   99.0883                 NaN            NaN  0.429953                 NaN            NaN            NaN  0.161036       0.320702                 NaN            NaN            NaN
  1362.56        2500.00                 NaN   99.0778                 NaN            NaN  0.414767                 NaN            NaN            NaN  0.176421       0.330996                 NaN            NaN            NaN
  1361.33        2500.00                 NaN   99.1219                 NaN            NaN  0.424224                 NaN            NaN            NaN  0.149927       0.303957                 NaN            NaN            NaN
  1360.10        2500.00                 NaN   99.1131                 NaN            NaN  0.420602                 NaN            NaN            NaN  0.155540       0.310732                 NaN            NaN            NaN
  1358.87        2500.00                 NaN   99.1190                 NaN            NaN  0.418978                 NaN            NaN            NaN  0.153629       0.308385                 NaN            NaN            NaN
  1357.65        2500.00                 NaN   99.1263                 NaN            NaN  0.416835                 NaN            NaN            NaN  0.151555       0.305266                 NaN            NaN            NaN
  1356.42        2500.00                 NaN   99.1328                 NaN            NaN  0.412165                 NaN            NaN            NaN  0.151755       0.303238                 NaN            NaN            NaN
  1355.19        2500.00                 NaN   99.1436                 NaN            NaN  0.409842                 NaN            NaN            NaN  0.148024       0.298490                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1483                 NaN            NaN  0.407590                 NaN            NaN            NaN  0.146920       0.297181                 NaN            NaN            NaN
  1352.73        2500.00                 NaN   99.1564                 NaN            NaN  0.409793                 NaN            NaN            NaN  0.141662       0.292184                 NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.1627                 NaN            NaN  0.404867                 NaN            NaN            NaN  0.141975       0.290419                 NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.1692                 NaN            NaN  0.401915                 NaN            NaN            NaN  0.141002       0.287871                 NaN            NaN            NaN
  1349.04        2500.00                 NaN   99.1759                 NaN            NaN  0.400080                 NaN            NaN            NaN  0.138927       0.285101                 NaN            NaN            NaN
  1347.81        2500.00                 NaN   99.1831                 NaN            NaN  0.395105                 NaN            NaN            NaN  0.139023       0.282732                 NaN            NaN            NaN
  1346.58        2500.00                 NaN   99.1894                 NaN            NaN  0.396995                 NaN            NaN            NaN  0.134345       0.279292                 NaN            NaN            NaN
  1345.36        2500.00                 NaN   99.1888                 NaN            NaN  0.401686                 NaN            NaN            NaN  0.130474       0.279032                 NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.2032                 NaN            NaN  0.396228                 NaN            NaN            NaN  0.127632       0.272925                 NaN            NaN            NaN
  1342.90        2500.00                 NaN   99.2081                 NaN            NaN  0.391615                 NaN            NaN            NaN  0.128804       0.271509                 NaN            NaN            NaN
  1341.67        2500.00                 NaN   99.2308                 NaN            NaN  0.364346                 NaN            NaN            NaN  0.135983       0.268913                 NaN            NaN            NaN
  1340.44        2500.00                 NaN   99.2027                 NaN            NaN  0.405503                 NaN            NaN            NaN  0.123504       0.268304                 NaN            NaN            NaN
  1339.21        2500.00                 NaN   99.2258                 NaN            NaN  0.386272                 NaN            NaN            NaN  0.123645       0.264321                 NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.2300                 NaN            NaN  0.388960                 NaN            NaN            NaN  0.119188       0.261876                 NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.2364                 NaN            NaN  0.384861                 NaN            NaN            NaN  0.119248       0.259480                 NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.2384                 NaN            NaN  0.398219                 NaN            NaN            NaN  0.103383       0.254788       0.524971E-002            NaN            NaN
  1334.29        2500.00                 NaN   99.1531                 NaN            NaN  0.408842                 NaN            NaN            NaN  0.118670       0.284603       0.347403E-001            NaN            NaN
  1333.07        2500.00                 NaN   99.1710                 NaN            NaN  0.411621                 NaN            NaN            NaN  0.106784       0.275943       0.346034E-001            NaN            NaN
  1331.84        2500.00                 NaN   99.1802                 NaN            NaN  0.408608                 NaN            NaN            NaN  0.104626       0.272626       0.339232E-001            NaN            NaN
  1330.61        2500.00                 NaN   99.1890                 NaN            NaN  0.403949                 NaN            NaN            NaN  0.103933       0.269749       0.333733E-001            NaN            NaN
  1329.38        2500.00                 NaN   99.1984                 NaN            NaN  0.398763                 NaN            NaN            NaN  0.103360       0.266673       0.328132E-001            NaN            NaN
  1328.15        2500.00                 NaN   99.2064                 NaN            NaN  0.397332                 NaN            NaN            NaN  0.100630       0.263467       0.321669E-001            NaN            NaN
  1326.92        2500.00                 NaN   99.2156                 NaN            NaN  0.391156                 NaN            NaN            NaN  0.100844       0.260694       0.316750E-001            NaN            NaN
  1325.69        2500.00                 NaN   99.2248                 NaN            NaN  0.385540                 NaN            NaN            NaN  0.100547       0.257889       0.312142E-001            NaN            NaN
  1324.46        2500.00                 NaN   99.2338                 NaN            NaN  0.382849                 NaN            NaN            NaN  0.985193E-001  0.254304       0.305234E-001            NaN            NaN
  1323.23        2500.00                 NaN   99.2404                 NaN            NaN  0.379892                 NaN            NaN            NaN  0.975594E-001  0.252106       0.300450E-001            NaN            NaN
  1322.00        2500.00                 NaN   99.2493                 NaN            NaN  0.373324                 NaN            NaN            NaN  0.976331E-001  0.250126       0.296341E-001            NaN            NaN
  1320.77        2500.00                 NaN   99.2538                 NaN            NaN  0.376529                 NaN            NaN            NaN  0.928288E-001  0.247676       0.291563E-001            NaN            NaN
  1319.55        2500.00                 NaN   99.2676                 NaN            NaN  0.370794                 NaN            NaN            NaN  0.921671E-001  0.241290       0.281775E-001            NaN            NaN
  1318.32        2500.00                 NaN   99.2726                 NaN            NaN  0.365452                 NaN            NaN            NaN  0.929420E-001  0.241099       0.279375E-001            NaN            NaN
  1317.09        2500.00                 NaN   99.2803                 NaN            NaN  0.364852                 NaN            NaN            NaN  0.894163E-001  0.238084       0.273782E-001            NaN            NaN
  1315.86        2500.00                 NaN   99.2875                 NaN            NaN  0.361160                 NaN            NaN            NaN  0.888409E-001  0.235623       0.268955E-001            NaN            NaN
  1314.63        2500.00                 NaN   99.2968                 NaN            NaN  0.359093                 NaN            NaN            NaN  0.856134E-001  0.232009       0.264755E-001            NaN            NaN
  1313.40        2500.00                 NaN   99.3015                 NaN            NaN  0.353516                 NaN            NaN            NaN  0.877939E-001  0.231387       0.258038E-001            NaN            NaN
  1312.17        2500.00                 NaN   99.3093                 NaN            NaN  0.352076                 NaN            NaN            NaN  0.852873E-001  0.227918       0.254422E-001            NaN            NaN
  1310.94        2500.00                 NaN   99.3161                 NaN            NaN  0.350693                 NaN            NaN            NaN  0.824646E-001  0.225815       0.249183E-001            NaN            NaN
  1309.71        2500.00                 NaN   99.3237                 NaN            NaN  0.347438                 NaN            NaN            NaN  0.818224E-001  0.222688       0.243997E-001            NaN            NaN
  1308.48        2500.00                 NaN   99.3308                 NaN            NaN  0.343330                 NaN            NaN            NaN  0.811298E-001  0.220742       0.240474E-001            NaN            NaN
  1307.26        2500.00                 NaN   99.3356                 NaN            NaN  0.341343                 NaN            NaN            NaN  0.804179E-001  0.219024       0.236337E-001            NaN            NaN
  1306.03        2500.00                 NaN   99.3442                 NaN            NaN  0.340295                 NaN            NaN            NaN  0.771638E-001  0.215313       0.230092E-001            NaN            NaN
  1304.80        2500.00                 NaN   99.3493                 NaN            NaN  0.338294                 NaN            NaN            NaN  0.759579E-001  0.213799       0.226067E-001            NaN            NaN
  1303.57        2500.00                 NaN   99.3571                 NaN            NaN  0.334428                 NaN            NaN            NaN  0.751208E-001  0.211170       0.221687E-001            NaN            NaN
  1302.34        2500.00                 NaN   81.0133                 NaN            NaN   3.59465                 NaN            NaN            NaN  0.894802        2.65942       0.397882        11.4400                 NaN
  1301.11        2500.00                 NaN   76.2609                 NaN            NaN   4.44313                 NaN            NaN            NaN   1.15680        3.29196       0.486015        14.3612                 NaN
  1299.88        2500.00                 NaN   77.9900                 NaN            NaN   4.15970                 NaN            NaN            NaN   1.10351        3.05937       0.441695        13.2458                 NaN
  1298.65        2500.00                 NaN   79.5954                 NaN            NaN   3.90459                 NaN            NaN            NaN   1.04110        2.84287       0.401198        12.2148                 NaN
  1297.42        2500.00                 NaN   81.0059                 NaN            NaN   3.68766                 NaN            NaN            NaN  0.978395        2.65203       0.365777        11.3102                 NaN
  1296.19        2500.00                 NaN   82.3094                 NaN            NaN   3.48644                 NaN            NaN            NaN  0.915202        2.47533       0.333929        10.4797                 NaN
  1294.97        2500.00                 NaN   82.7111                 NaN            NaN   3.45562                 NaN            NaN            NaN  0.873574        2.42632       0.322952        10.2104                 NaN
  1293.74        2500.00                 NaN   85.2935                 NaN            NaN   3.02665                 NaN            NaN            NaN  0.757361        2.06040       0.263784        8.59826                 NaN
  1292.51        2500.00                 NaN   85.3784                 NaN            NaN   2.97187                 NaN            NaN            NaN  0.764512        2.05417       0.263659        8.56738                 NaN
  1291.28        2500.00                 NaN   86.1449                 NaN            NaN   2.93802                 NaN            NaN            NaN  0.693452        1.94643       0.241488        8.03575                 NaN
  1290.05        2500.00                 NaN   86.8462                 NaN            NaN   2.65987                 NaN            NaN            NaN  0.686480        1.86125       0.236448        7.70979                 NaN
  1288.82        2500.00                 NaN   87.3016                 NaN            NaN   2.70638                 NaN            NaN            NaN  0.617377        1.78319       0.220078        7.37135                 NaN
  1287.59        2500.00                 NaN   92.3586                 NaN            NaN   1.69013                 NaN            NaN            NaN  0.350527        1.07289       0.129018        4.39886                 NaN
  1286.36        2500.00                 NaN   90.7653                 NaN            NaN   2.06893                 NaN            NaN            NaN  0.443402        1.29848       0.151218        5.27269                 NaN
  1285.13        2500.00                 NaN   90.3448                 NaN            NaN   2.12531                 NaN            NaN            NaN  0.443966        1.36061       0.161002        5.56429                 NaN
  1283.90        2500.00                 NaN   90.4125                 NaN            NaN   2.15390                 NaN            NaN            NaN  0.422525        1.35093       0.157483        5.50269                 NaN
  1282.68        2500.00                 NaN   90.9428                 NaN            NaN   1.97826                 NaN            NaN            NaN  0.445815        1.28408       0.149134        5.19996                 NaN
  1281.45        2500.00                 NaN   93.6978                 NaN            NaN   1.50243                 NaN            NaN            NaN  0.259782       0.882880       0.998800E-001   3.55719                 NaN
  1280.22        2500.00                 NaN   83.2250                 NaN            NaN   4.33852                 NaN            NaN            NaN  0.296624        2.36453       0.284917        9.49039                 NaN
  1278.99        2500.00                 NaN   35.0493        52.5668                 NaN   2.12719                 NaN            NaN            NaN  0.355190        1.89004       0.208445        7.80301                 NaN
  1277.76        2500.00                 NaN   96.1476                 NaN            NaN  0.714895                 NaN            NaN            NaN            NaN  0.868191       0.399147        1.87016                 NaN
  1276.53        2500.00                 NaN   91.9926                 NaN            NaN   2.30481                 NaN            NaN            NaN  0.951176        1.53590       0.778968E-001   3.13759                 NaN
  1275.30        2500.00                 NaN   94.4520                 NaN            NaN   1.01386                 NaN            NaN            NaN            NaN            NaN            NaN   4.53412                 NaN
  1274.07        2500.00                 NaN   82.3663                 NaN            NaN   2.99803                 NaN            NaN            NaN  0.884414        2.28310       0.535271        10.9329                 NaN
  1272.84        2500.00                 NaN   99.1388                 NaN            NaN  0.703448                 NaN            NaN            NaN            NaN  0.157737                 NaN            NaN            NaN
  1271.61        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1270.38        2500.00                 NaN   99.3027                 NaN            NaN  0.598272                 NaN            NaN            NaN  0.554755E-001  0.435248E-001            NaN            NaN            NaN
  1269.16        2500.00                 NaN   86.0049        10.1109                 NaN  0.919690                 NaN            NaN            NaN            NaN  0.420552                 NaN   2.54397                 NaN
  1267.93        2500.00                 NaN   60.7412        32.2958        3.67265                 NaN            NaN            NaN            NaN  0.533237       0.380155                 NaN   2.37693                 NaN
  1266.70        2500.00                 NaN   96.5427                 NaN            NaN   1.51702                 NaN            NaN            NaN            NaN  0.608685                 NaN   1.33163                 NaN
  1265.47        2500.00                 NaN   96.7356                 NaN            NaN  0.995652                 NaN            NaN            NaN            NaN  0.424576                 NaN   1.84421                 NaN
  1264.24        2500.00                 NaN   97.9524                 NaN            NaN  0.760346                 NaN            NaN            NaN            NaN  0.278033                 NaN   1.00922                 NaN
  1263.01        2500.00                 NaN   97.4425                 NaN            NaN  0.678540                 NaN            NaN            NaN            NaN  0.251689                 NaN   1.62730                 NaN
