|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        q             
  1465.80        2500.00       0.101984E-002   99.1483                 NaN            NaN  0.589951       0.224836                 NaN            NaN  0.358494E-001            NaN            NaN            NaN            NaN
  1464.57        2500.00       0.111292E-002   99.1444                 NaN            NaN  0.573885       0.280633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.34        2500.00       0.149069E-002   98.6257                 NaN            NaN  0.953356       0.416986                 NaN            NaN  0.245546E-002            NaN            NaN            NaN            NaN
  1462.11        2500.00       0.748267E-003   99.6247                 NaN            NaN  0.247576       0.123151                 NaN            NaN  0.378608E-002            NaN            NaN            NaN            NaN
  1460.88        2500.00       0.107344E-002   99.0336                 NaN            NaN  0.288297       0.658671                 NaN            NaN  0.183740E-001            NaN            NaN            NaN            NaN
  1459.65        2500.00       0.145336E-003   99.8649                 NaN            NaN  0.401560E-001  0.922904E-001            NaN            NaN  0.252612E-002            NaN            NaN            NaN            NaN
  1458.43        2500.00       0.147413E-002   98.6018                 NaN            NaN  0.954311       0.418628                 NaN            NaN  0.237678E-001            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.815628E-003   99.1774                 NaN            NaN  0.559790       0.249046                 NaN            NaN  0.129423E-001            NaN            NaN            NaN            NaN
  1455.97        2500.00       0.903325E-003   99.0223                 NaN            NaN  0.294162       0.667376                 NaN            NaN  0.152738E-001            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.955017E-004   99.8938                 NaN            NaN  0.312341E-001  0.727117E-001            NaN            NaN  0.220749E-002            NaN            NaN            NaN            NaN
  1453.51        2500.00       0.125319E-002   98.6304                 NaN            NaN  0.933772       0.415824                 NaN            NaN  0.187730E-001            NaN            NaN            NaN            NaN
  1452.28        2500.00       0.689775E-003   99.1881                 NaN            NaN  0.246426       0.553915                 NaN            NaN  0.109169E-001            NaN            NaN            NaN            NaN
  1451.05        2500.00                 NaN   98.8954                 NaN            NaN  0.605044       0.300144                 NaN            NaN  0.643270E-001  0.135063                 NaN            NaN            NaN
  1449.82        2500.00       0.837407E-003   97.6351                 NaN            NaN  0.537078       0.816269                 NaN            NaN  0.296612       0.714146                 NaN            NaN            NaN
  1448.59        2500.00                 NaN   97.6833                 NaN            NaN  0.804706       0.515908                 NaN            NaN  0.295953       0.700118                 NaN            NaN            NaN
  1447.36        2500.00                 NaN   97.7133                 NaN            NaN  0.800324       0.499176                 NaN            NaN  0.295599       0.691640                 NaN            NaN            NaN
  1446.14        2500.00                 NaN   97.7540                 NaN            NaN  0.483320       0.788851                 NaN            NaN  0.294404       0.679406                 NaN            NaN            NaN
  1444.91        2500.00                 NaN   97.7891                 NaN            NaN  0.467179       0.781012                 NaN            NaN  0.293749       0.668945                 NaN            NaN            NaN
  1443.68        2500.00                 NaN   97.8225                 NaN            NaN  0.451762       0.773258                 NaN            NaN  0.293285       0.659185                 NaN            NaN            NaN
  1442.45        2500.00                 NaN   97.8502                 NaN            NaN  0.767749       0.436605                 NaN            NaN  0.293971       0.651470                 NaN            NaN            NaN
  1441.22        2500.00                 NaN   97.8934                 NaN            NaN  0.421904       0.756223                 NaN            NaN  0.290756       0.637719                 NaN            NaN            NaN
  1439.99        2500.00                 NaN   97.9119                 NaN            NaN  0.754200       0.408447                 NaN            NaN  0.292566       0.632840                 NaN            NaN            NaN
  1438.76        2500.00                 NaN   97.9575                 NaN            NaN  0.741907       0.391711                 NaN            NaN  0.290091       0.618749                 NaN            NaN            NaN
  1437.53        2500.00                 NaN   97.9855                 NaN            NaN  0.733387       0.380328                 NaN            NaN  0.289961       0.610814                 NaN            NaN            NaN
  1436.30        2500.00                 NaN   98.0139                 NaN            NaN  0.728818       0.365793                 NaN            NaN  0.289278       0.602173                 NaN            NaN            NaN
  1435.07        2500.00                 NaN   98.0415                 NaN            NaN  0.722886       0.352531                 NaN            NaN  0.288986       0.594076                 NaN            NaN            NaN
  1433.84        2500.00                 NaN   97.9783                 NaN            NaN  0.208784       0.781321                 NaN            NaN  0.398878       0.632692                 NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.1825                 NaN            NaN  0.641994       0.465478                 NaN            NaN  0.176998       0.533047                 NaN            NaN            NaN
  1431.39        2500.00                 NaN   98.1276                 NaN            NaN  0.704396       0.313041                 NaN            NaN  0.286818       0.568161                 NaN            NaN            NaN
  1430.16        2500.00                 NaN   98.1464                 NaN            NaN  0.701456       0.301617                 NaN            NaN  0.287798       0.562722                 NaN            NaN            NaN
  1428.93        2500.00                 NaN   98.1739                 NaN            NaN  0.290352       0.694302                 NaN            NaN  0.286895       0.554598                 NaN            NaN            NaN
  1427.70        2500.00                 NaN   98.1983                 NaN            NaN  0.279269       0.688482                 NaN            NaN  0.286499       0.547420                 NaN            NaN            NaN
  1426.47        2500.00                 NaN   98.2205                 NaN            NaN  0.685232       0.267235                 NaN            NaN  0.286316       0.540733                 NaN            NaN            NaN
  1425.24        2500.00                 NaN   98.2380                 NaN            NaN  0.257218       0.683015                 NaN            NaN  0.286294       0.535471                 NaN            NaN            NaN
  1424.01        2500.00                 NaN   98.2684                 NaN            NaN  0.242996       0.676882                 NaN            NaN  0.285785       0.525903                 NaN            NaN            NaN
  1422.78        2500.00                 NaN   98.2871                 NaN            NaN  0.673207       0.233461                 NaN            NaN  0.285460       0.520799                 NaN            NaN            NaN
  1421.55        2500.00                 NaN   98.3104                 NaN            NaN  0.223559       0.667725                 NaN            NaN  0.284848       0.513436                 NaN            NaN            NaN
  1420.33        2500.00                 NaN   98.3298                 NaN            NaN  0.213001       0.664704                 NaN            NaN  0.284765       0.507723                 NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.3501                 NaN            NaN  0.662727       0.201083                 NaN            NaN  0.284452       0.501680                 NaN            NaN            NaN
  1417.87        2500.00                 NaN   98.3717                 NaN            NaN  0.656992       0.192545                 NaN            NaN  0.283847       0.494909                 NaN            NaN            NaN
  1416.64        2500.00                 NaN   98.3883                 NaN            NaN  0.183069       0.654515                 NaN            NaN  0.284105       0.489999                 NaN            NaN            NaN
  1415.41        2500.00                 NaN   98.4093                 NaN            NaN  0.651891       0.172035                 NaN            NaN  0.283216       0.483579                 NaN            NaN            NaN
  1414.18        2500.00                 NaN   98.4273                 NaN            NaN  0.649138       0.162333                 NaN            NaN  0.283041       0.478158                 NaN            NaN            NaN
  1412.95        2500.00                 NaN   98.4463                 NaN            NaN  0.644952       0.153631                 NaN            NaN  0.282712       0.472383                 NaN            NaN            NaN
  1411.72        2500.00                 NaN   98.4621                 NaN            NaN  0.645189       0.142221                 NaN            NaN  0.282782       0.467739                 NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.4824                 NaN            NaN  0.640395       0.134269                 NaN            NaN  0.281635       0.461282                 NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.4615                 NaN            NaN  0.657254       0.122727                 NaN            NaN  0.288723       0.469760                 NaN            NaN            NaN
  1408.04        2500.00                 NaN   98.5486                 NaN            NaN  0.118378       0.620048                 NaN            NaN  0.273907       0.439080                 NaN            NaN            NaN
  1406.81        2500.00                 NaN   98.5318                 NaN            NaN  0.634144       0.106976                 NaN            NaN  0.280862       0.446197                 NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.5471                 NaN            NaN  0.992015E-001  0.632268                 NaN            NaN  0.280041       0.441383                 NaN            NaN            NaN
  1404.35        2500.00                 NaN   98.5624                 NaN            NaN  0.631583       0.897616E-001            NaN            NaN  0.279712       0.436550                 NaN            NaN            NaN
  1403.12        2500.00                 NaN   98.5773                 NaN            NaN  0.813273E-001  0.630153                 NaN            NaN  0.279302       0.431961                 NaN            NaN            NaN
  1401.89        2500.00                 NaN   98.5925                 NaN            NaN  0.628658       0.728623E-001            NaN            NaN  0.278768       0.427250                 NaN            NaN            NaN
  1400.66        2500.00                 NaN   98.6062                 NaN            NaN  0.626811       0.653653E-001            NaN            NaN  0.278663       0.422946                 NaN            NaN            NaN
  1399.43        2500.00                 NaN   98.6206                 NaN            NaN  0.624940       0.582620E-001            NaN            NaN  0.277695       0.418467                 NaN            NaN            NaN
  1398.20        2500.00                 NaN   98.6378                 NaN            NaN  0.625001       0.461841E-001            NaN            NaN  0.277724       0.413276                 NaN            NaN            NaN
  1396.97        2500.00                 NaN   98.6618                 NaN            NaN  0.569841       0.164831                 NaN            NaN  0.208556       0.394940                 NaN            NaN            NaN
  1395.75        2500.00                 NaN   98.6379                 NaN            NaN  0.624117                 NaN            NaN            NaN  0.318547       0.419421                 NaN            NaN            NaN
  1394.52        2500.00                 NaN   98.6832                 NaN            NaN  0.181132E-002  0.637652                 NaN            NaN  0.278071       0.399270                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.6837                 NaN            NaN  0.628044       0.146849E-001            NaN            NaN  0.275170       0.398418                 NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.6961                 NaN            NaN  0.605721                 NaN            NaN            NaN  0.297784       0.400444                 NaN            NaN            NaN
  1390.83        2500.00                 NaN   98.7311                 NaN            NaN  0.570733       0.747258E-001            NaN            NaN  0.245013       0.378406                 NaN            NaN            NaN
  1389.60        2500.00                 NaN   98.7279                 NaN            NaN  0.617035                 NaN            NaN            NaN  0.270786       0.384293                 NaN            NaN            NaN
  1388.37        2500.00                 NaN   98.7374                 NaN            NaN  0.607802                 NaN            NaN            NaN  0.272916       0.381913                 NaN            NaN            NaN
  1387.14        2500.00                 NaN   98.7496                 NaN            NaN  0.607991                 NaN            NaN            NaN  0.265968       0.376450                 NaN            NaN            NaN
  1385.91        2500.00                 NaN   98.7599                 NaN            NaN  0.607105                 NaN            NaN            NaN  0.260310       0.372641                 NaN            NaN            NaN
  1384.68        2500.00                 NaN   98.7723                 NaN            NaN  0.594909                 NaN            NaN            NaN  0.263452       0.369376                 NaN            NaN            NaN
  1383.46        2500.00                 NaN   98.7823                 NaN            NaN  0.594755                 NaN            NaN            NaN  0.257696       0.365268                 NaN            NaN            NaN
  1382.23        2500.00                 NaN   98.7923                 NaN            NaN  0.582235                 NaN            NaN            NaN  0.262369       0.363070                 NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.8057                 NaN            NaN  0.588800                 NaN            NaN            NaN  0.249043       0.356432                 NaN            NaN            NaN
  1379.77        2500.00                 NaN   98.8123                 NaN            NaN  0.585700                 NaN            NaN            NaN  0.247744       0.354255                 NaN            NaN            NaN
  1378.54        2500.00                 NaN   98.8207                 NaN            NaN  0.577029                 NaN            NaN            NaN  0.249825       0.352458                 NaN            NaN            NaN
  1377.31        2500.00                 NaN   98.6770                 NaN            NaN  0.109714       0.821162                 NaN            NaN  0.330050E-001  0.359149                 NaN            NaN            NaN
  1376.08        2500.00                 NaN   98.9291                 NaN            NaN  0.524359                 NaN            NaN            NaN  0.228703       0.317882                 NaN            NaN            NaN
  1374.85        2500.00                 NaN   98.8505                 NaN            NaN  0.560239                 NaN            NaN            NaN  0.246260       0.342952                 NaN            NaN            NaN
  1373.62        2500.00                 NaN   98.8644                 NaN            NaN  0.557536                 NaN            NaN            NaN  0.242162       0.335868                 NaN            NaN            NaN
  1372.39        2500.00                 NaN   98.8730                 NaN            NaN  0.549374                 NaN            NaN            NaN  0.243112       0.334479                 NaN            NaN            NaN
  1371.16        2500.00                 NaN   98.8842                 NaN            NaN  0.546037                 NaN            NaN            NaN  0.239389       0.330390                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   98.8913                 NaN            NaN  0.544207                 NaN            NaN            NaN  0.236759       0.327736                 NaN            NaN            NaN
  1368.71        2500.00                 NaN   98.9001                 NaN            NaN  0.539911                 NaN            NaN            NaN  0.235243       0.324713                 NaN            NaN            NaN
  1367.48        2500.00                 NaN   98.9088                 NaN            NaN  0.538452                 NaN            NaN            NaN  0.231348       0.321431                 NaN            NaN            NaN
  1366.25        2500.00                 NaN   98.9174                 NaN            NaN  0.533989                 NaN            NaN            NaN  0.230089       0.318479                 NaN            NaN            NaN
  1365.02        2500.00                 NaN   98.9261                 NaN            NaN  0.528485                 NaN            NaN            NaN  0.229783       0.315657                 NaN            NaN            NaN
  1363.79        2500.00                 NaN   98.9361                 NaN            NaN  0.526883                 NaN            NaN            NaN  0.225154       0.311874                 NaN            NaN            NaN
  1362.56        2500.00                 NaN   98.9224                 NaN            NaN  0.508229                 NaN            NaN            NaN  0.247209       0.322128                 NaN            NaN            NaN
  1361.33        2500.00                 NaN   98.9723                 NaN            NaN  0.521217                 NaN            NaN            NaN  0.210431       0.296050                 NaN            NaN            NaN
  1360.10        2500.00                 NaN   98.9612                 NaN            NaN  0.517266                 NaN            NaN            NaN  0.218615       0.302873                 NaN            NaN            NaN
  1358.87        2500.00                 NaN   98.9670                 NaN            NaN  0.515928                 NaN            NaN            NaN  0.216303       0.300815                 NaN            NaN            NaN
  1357.65        2500.00                 NaN   98.9743                 NaN            NaN  0.513890                 NaN            NaN            NaN  0.213805       0.298004                 NaN            NaN            NaN
  1356.42        2500.00                 NaN   98.9807                 NaN            NaN  0.508630                 NaN            NaN            NaN  0.214445       0.296253                 NaN            NaN            NaN
  1355.19        2500.00                 NaN   98.9922                 NaN            NaN  0.506414                 NaN            NaN            NaN  0.209555       0.291844                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   98.9967                 NaN            NaN  0.504254                 NaN            NaN            NaN  0.208274       0.290791                 NaN            NaN            NaN
  1352.73        2500.00                 NaN   99.0049                 NaN            NaN  0.507789                 NaN            NaN            NaN  0.201232       0.286125                 NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.0112                 NaN            NaN  0.502140                 NaN            NaN            NaN  0.202019       0.284622                 NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.0176                 NaN            NaN  0.499057                 NaN            NaN            NaN  0.201017       0.282348                 NaN            NaN            NaN
  1349.04        2500.00                 NaN   99.0244                 NaN            NaN  0.497404                 NaN            NaN            NaN  0.198390       0.279854                 NaN            NaN            NaN
  1347.81        2500.00                 NaN   99.0317                 NaN            NaN  0.491696                 NaN            NaN            NaN  0.198851       0.277750                 NaN            NaN            NaN
  1346.58        2500.00                 NaN   99.0381                 NaN            NaN  0.494796                 NaN            NaN            NaN  0.192499       0.274591                 NaN            NaN            NaN
  1345.36        2500.00                 NaN   99.0365                 NaN            NaN  0.501568                 NaN            NaN            NaN  0.187359       0.274554                 NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.0525                 NaN            NaN  0.495255                 NaN            NaN            NaN  0.183495       0.268764                 NaN            NaN            NaN
  1342.90        2500.00                 NaN   99.0570                 NaN            NaN  0.489857                 NaN            NaN            NaN  0.185511       0.267585                 NaN            NaN            NaN
  1341.67        2500.00                 NaN   99.0825                 NaN            NaN  0.455928                 NaN            NaN            NaN  0.196355       0.265248                 NaN            NaN            NaN
  1340.44        2500.00                 NaN   99.0482                 NaN            NaN  0.508480                 NaN            NaN            NaN  0.178474       0.264850                 NaN            NaN            NaN
  1339.21        2500.00                 NaN   99.0749                 NaN            NaN  0.484960                 NaN            NaN            NaN  0.178995       0.261140                 NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.0791                 NaN            NaN  0.489140                 NaN            NaN            NaN  0.172841       0.258935                 NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.0856                 NaN            NaN  0.484421                 NaN            NaN            NaN  0.173208       0.256777                 NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.0866                 NaN            NaN  0.501792                 NaN            NaN            NaN  0.150384       0.252337       0.889497E-002            NaN            NaN
  1334.29        2500.00                 NaN   98.9702                 NaN            NaN  0.515799                 NaN            NaN            NaN  0.172960       0.282088       0.589105E-001            NaN            NaN
  1333.07        2500.00                 NaN   98.9917                 NaN            NaN  0.519816                 NaN            NaN            NaN  0.155917       0.273807       0.587444E-001            NaN            NaN
  1331.84        2500.00                 NaN   99.0017                 NaN            NaN  0.516788                 NaN            NaN            NaN  0.153057       0.270807       0.576526E-001            NaN            NaN
  1330.61        2500.00                 NaN   99.0111                 NaN            NaN  0.511582                 NaN            NaN            NaN  0.152318       0.268238       0.567799E-001            NaN            NaN
  1329.38        2500.00                 NaN   99.0213                 NaN            NaN  0.505570                 NaN            NaN            NaN  0.151798       0.265464       0.558880E-001            NaN            NaN
  1328.15        2500.00                 NaN   99.0300                 NaN            NaN  0.504581                 NaN            NaN            NaN  0.148015       0.262554       0.548469E-001            NaN            NaN
  1326.92        2500.00                 NaN   99.0400                 NaN            NaN  0.497294                 NaN            NaN            NaN  0.148616       0.260069       0.540669E-001            NaN            NaN
  1325.69        2500.00                 NaN   99.0500                 NaN            NaN  0.490684                 NaN            NaN            NaN  0.148421       0.257547       0.533385E-001            NaN            NaN
  1324.46        2500.00                 NaN   99.0599                 NaN            NaN  0.487949                 NaN            NaN            NaN  0.145734       0.254238       0.522146E-001            NaN            NaN
  1323.23        2500.00                 NaN   99.0668                 NaN            NaN  0.484897                 NaN            NaN            NaN  0.144573       0.252309       0.514519E-001            NaN            NaN
  1322.00        2500.00                 NaN   99.0766                 NaN            NaN  0.477074                 NaN            NaN            NaN  0.144940       0.250596       0.508032E-001            NaN            NaN
  1320.77        2500.00                 NaN   99.0814                 NaN            NaN  0.482115                 NaN            NaN            NaN  0.138032       0.248404       0.500380E-001            NaN            NaN
  1319.55        2500.00                 NaN   99.0969                 NaN            NaN  0.475120                 NaN            NaN            NaN  0.137297       0.242257       0.484104E-001            NaN            NaN
  1318.32        2500.00                 NaN   99.1020                 NaN            NaN  0.468915                 NaN            NaN            NaN  0.138699       0.242320       0.480494E-001            NaN            NaN
  1317.09        2500.00                 NaN   99.1108                 NaN            NaN  0.468911                 NaN            NaN            NaN  0.133645       0.239542       0.471380E-001            NaN            NaN
  1315.86        2500.00                 NaN   99.1186                 NaN            NaN  0.464724                 NaN            NaN            NaN  0.133037       0.237316       0.463564E-001            NaN            NaN
  1314.63        2500.00                 NaN   99.1293                 NaN            NaN  0.462624                 NaN            NaN            NaN  0.128428       0.233920       0.456810E-001            NaN            NaN
  1313.40        2500.00                 NaN   99.1339                 NaN            NaN  0.456120                 NaN            NaN            NaN  0.131900       0.233537       0.445691E-001            NaN            NaN
  1312.17        2500.00                 NaN   99.1425                 NaN            NaN  0.454803                 NaN            NaN            NaN  0.128381       0.230276       0.439912E-001            NaN            NaN
  1310.94        2500.00                 NaN   99.1504                 NaN            NaN  0.453723                 NaN            NaN            NaN  0.124349       0.228389       0.431309E-001            NaN            NaN
  1309.71        2500.00                 NaN   99.1586                 NaN            NaN  0.450040                 NaN            NaN            NaN  0.123586       0.225459       0.422777E-001            NaN            NaN
  1308.48        2500.00                 NaN   99.1666                 NaN            NaN  0.445276                 NaN            NaN            NaN  0.122729       0.223719       0.417110E-001            NaN            NaN
  1307.26        2500.00                 NaN   99.1716                 NaN            NaN  0.443297                 NaN            NaN            NaN  0.121883       0.222207       0.410362E-001            NaN            NaN
  1306.03        2500.00                 NaN   99.1817                 NaN            NaN  0.442535                 NaN            NaN            NaN  0.117139       0.218666       0.399938E-001            NaN            NaN
  1304.80        2500.00                 NaN   99.1873                 NaN            NaN  0.440543                 NaN            NaN            NaN  0.115488       0.217350       0.393347E-001            NaN            NaN
  1303.57        2500.00                 NaN   99.1961                 NaN            NaN  0.436028                 NaN            NaN            NaN  0.114411       0.214897       0.386126E-001            NaN            NaN
  1302.34        2500.00                 NaN   79.9533                 NaN            NaN   4.63260                 NaN            NaN            NaN   1.35200        2.67395       0.684731        10.7034                 NaN
  1301.11        2500.00                 NaN   75.0273                 NaN            NaN   5.70948                 NaN            NaN            NaN   1.74991        3.29698       0.833139        13.3832                 NaN
  1299.88        2500.00                 NaN   76.7988                 NaN            NaN   5.35378                 NaN            NaN            NaN   1.67743        3.06516       0.757456        12.3474                 NaN
  1298.65        2500.00                 NaN   78.4463                 NaN            NaN   5.03440                 NaN            NaN            NaN   1.58962        2.84975       0.688382        11.3915                 NaN
  1297.42        2500.00                 NaN   79.8943                 NaN            NaN   4.76377                 NaN            NaN            NaN   1.50014        2.66013       0.628013        10.5537                 NaN
  1296.19        2500.00                 NaN   81.2343                 NaN            NaN   4.51273                 NaN            NaN            NaN   1.40874        2.48486       0.573796        9.78556                 NaN
  1294.97        2500.00                 NaN   81.6397                 NaN            NaN   4.48319                 NaN            NaN            NaN   1.34846        2.43661       0.555160        9.53688                 NaN
  1293.74        2500.00                 NaN   84.3146                 NaN            NaN   3.93629                 NaN            NaN            NaN   1.17470        2.07343       0.454395        8.04660                 NaN
  1292.51        2500.00                 NaN   84.3994                 NaN            NaN   3.86665                 NaN            NaN            NaN   1.18897        2.06859       0.454503        8.02190                 NaN
  1291.28        2500.00                 NaN   85.1698                 NaN            NaN   3.83654                 NaN            NaN            NaN   1.08262        1.96231       0.416762        7.53202                 NaN
  1290.05        2500.00                 NaN   85.9241                 NaN            NaN   3.47511                 NaN            NaN            NaN   1.07485        1.87961       0.408759        7.23758                 NaN
  1288.82        2500.00                 NaN   86.3805                 NaN            NaN   3.54332                 NaN            NaN            NaN  0.966201        1.80288       0.380909        6.92621                 NaN
  1287.59        2500.00                 NaN   91.7512                 NaN            NaN   2.22875                 NaN            NaN            NaN  0.552860        1.08998       0.224387        4.15281                 NaN
  1286.36        2500.00                 NaN   90.0156                 NaN            NaN   2.72700                 NaN            NaN            NaN  0.700651        1.31862       0.262892        4.97521                 NaN
  1285.13        2500.00                 NaN   89.5737                 NaN            NaN   2.80604                 NaN            NaN            NaN  0.702945        1.38317       0.280202        5.25396                 NaN
  1283.90        2500.00                 NaN   89.6272                 NaN            NaN   2.85084                 NaN            NaN            NaN  0.670314        1.37518       0.274453        5.20205                 NaN
  1282.68        2500.00                 NaN   90.1728                 NaN            NaN   2.62160                 NaN            NaN            NaN  0.709427        1.30971       0.260418        4.92600                 NaN
  1281.45        2500.00                 NaN   93.1233                 NaN            NaN   2.00153                 NaN            NaN            NaN  0.415131       0.903808       0.175054        3.38118                 NaN
  1280.22        2500.00                 NaN   81.9176                 NaN            NaN   5.75998                 NaN            NaN            NaN  0.470372        2.40427       0.496002        8.95181                 NaN
  1278.99        2500.00                 NaN   34.7068        52.1633                 NaN   2.84614                 NaN            NaN            NaN  0.565289        1.93500       0.365371        7.41810                 NaN
  1277.76        2500.00                 NaN   95.6618                 NaN            NaN  0.951746                 NaN            NaN            NaN            NaN  0.894386       0.704017        1.78805                 NaN
  1276.53        2500.00                 NaN   90.6569                 NaN            NaN   3.09260                 NaN            NaN            NaN   1.53510        1.58047       0.137243        2.99767                 NaN
  1275.30        2500.00                 NaN   94.2549                 NaN            NaN   1.38327                 NaN            NaN            NaN            NaN            NaN            NaN   4.36179                 NaN
  1274.07        2500.00                 NaN   80.8506                 NaN            NaN   4.00360                 NaN            NaN            NaN   1.42859        2.35147       0.943949        10.4218                 NaN
  1272.84        2500.00                 NaN   98.8715                 NaN            NaN  0.963042                 NaN            NaN            NaN            NaN  0.165437                 NaN            NaN            NaN
  1271.61        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1270.38        2500.00                 NaN   99.0405                 NaN            NaN  0.822310                 NaN            NaN            NaN  0.914366E-001  0.457279E-001            NaN            NaN            NaN
  1269.16        2500.00                 NaN   85.7189        10.1013                 NaN   1.26292                 NaN            NaN            NaN            NaN  0.441692                 NaN   2.47516                 NaN
  1267.93        2500.00                 NaN   60.4125        32.3476        3.64778                 NaN            NaN            NaN            NaN  0.879055       0.399452                 NaN   2.31366                 NaN
  1266.70        2500.00                 NaN   95.9771                 NaN            NaN   2.08603                 NaN            NaN            NaN            NaN  0.640043                 NaN   1.29685                 NaN
  1265.47        2500.00                 NaN   96.3782                 NaN            NaN   1.37411                 NaN            NaN            NaN            NaN  0.447982                 NaN   1.79972                 NaN
  1264.24        2500.00                 NaN   97.6684                 NaN            NaN   1.05000                 NaN            NaN            NaN            NaN  0.293927                 NaN  0.987655                 NaN
  1263.01        2500.00                 NaN   97.2045                 NaN            NaN  0.936469                 NaN            NaN            NaN            NaN  0.266315                 NaN   1.59274                 NaN
  1261.78        2500.00                 NaN   96.3166                 NaN            NaN   1.36462                 NaN            NaN            NaN            NaN  0.451517                 NaN   1.86729                 NaN
