|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1383.85        500.000                 NaN   98.9314       0.128501       0.237218       0.354902       0.348028                 NaN            NaN            NaN
  1382.79        500.000                 NaN   98.9628       0.124287       0.344413       0.231592       0.336902                 NaN            NaN            NaN
  1381.73        500.000                 NaN   98.9625       0.127578       0.346391       0.225432       0.338111                 NaN            NaN            NaN
  1380.67        500.000                 NaN   98.9758       0.127720       0.342189       0.220413       0.333921                 NaN            NaN            NaN
  1379.61        500.000                 NaN   98.9847       0.128763       0.340180       0.214925       0.331406                 NaN            NaN            NaN
  1378.55        500.000                 NaN   98.9952       0.129504       0.337289       0.209626       0.328376                 NaN            NaN            NaN
  1377.48        500.000                 NaN   99.0058       0.129909       0.204476       0.334803       0.325056                 NaN            NaN            NaN
  1376.42        500.000                 NaN   99.0154       0.130738       0.332234       0.199325       0.322282                 NaN            NaN            NaN
  1375.36        500.000                 NaN   99.0248       0.131270       0.330162       0.194344       0.319396                 NaN            NaN            NaN
  1374.30        500.000                 NaN   99.0341       0.132030       0.327525       0.189598       0.316713                 NaN            NaN            NaN
  1373.24        500.000                 NaN   99.0435       0.132672       0.184104       0.325815       0.313950                 NaN            NaN            NaN
  1372.18        500.000                 NaN   99.0537       0.132779       0.179967       0.322799       0.310710                 NaN            NaN            NaN
  1371.12        500.000                 NaN   99.0626       0.133729       0.174957       0.320603       0.308120                 NaN            NaN            NaN
  1370.06        500.000                 NaN   99.0710       0.134449       0.318372       0.170399       0.305785                 NaN            NaN            NaN
  1369.00        500.000                 NaN   99.0809       0.134480       0.316045       0.166051       0.302519                 NaN            NaN            NaN
  1367.94        500.000                 NaN   99.0887       0.135661       0.161272       0.313773       0.300549                 NaN            NaN            NaN
  1366.88        500.000                 NaN   99.0978       0.135829       0.156856       0.311953       0.297539                 NaN            NaN            NaN
  1365.82        500.000                 NaN   99.1063       0.136198       0.152780       0.309750       0.294987                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1139       0.136966       0.307678       0.148698       0.292756                 NaN            NaN            NaN
  1363.70        500.000                 NaN   99.1227       0.137101       0.144576       0.305628       0.289958                 NaN            NaN            NaN
  1362.64        500.000                 NaN   99.4628       0.853877E-001  0.187350       0.865395E-001  0.177954                 NaN            NaN            NaN
  1361.58        500.000                 NaN   98.8022       0.189997       0.192618       0.419531       0.395696                 NaN            NaN            NaN
  1360.52        500.000                 NaN   99.1455       0.138541       0.300200       0.132693       0.283084                 NaN            NaN            NaN
  1359.46        500.000                 NaN   99.1535       0.139026       0.128656       0.298094       0.280687                 NaN            NaN            NaN
  1358.40        500.000                 NaN   99.1613       0.139146       0.296215       0.125108       0.278226                 NaN            NaN            NaN
  1357.34        500.000                 NaN   99.1685       0.139598       0.294514       0.121354       0.276017                 NaN            NaN            NaN
  1356.28        500.000                 NaN   99.1735       0.141013       0.293927       0.116536       0.275034                 NaN            NaN            NaN
  1355.22        500.000                 NaN   99.1846       0.139073       0.115540       0.290104       0.270645                 NaN            NaN            NaN
  1354.16        500.000                 NaN   99.1904       0.140590       0.110347       0.289351       0.269353                 NaN            NaN            NaN
  1353.10        500.000                 NaN   99.1964       0.140669       0.287971       0.107533       0.267387                 NaN            NaN            NaN
  1352.04        500.000                 NaN   99.2037       0.140963       0.285837       0.104375       0.265100                 NaN            NaN            NaN
  1350.98        500.000                 NaN   99.2103       0.141387       0.284274       0.100828       0.263177                 NaN            NaN            NaN
  1349.92        500.000                 NaN   99.2181       0.141175       0.980388E-001  0.282120       0.260587                 NaN            NaN            NaN
  1348.86        500.000                 NaN   99.2242       0.141366       0.280982       0.947943E-001  0.258644                 NaN            NaN            NaN
  1347.80        500.000                 NaN   99.2303       0.141543       0.919979E-001  0.279442       0.256740                 NaN            NaN            NaN
  1346.73        500.000                 NaN   99.2365       0.141797       0.277819       0.890101E-001  0.254849                 NaN            NaN            NaN
  1345.67        500.000                 NaN   99.2412       0.142559       0.862733E-001  0.276559       0.253439                 NaN            NaN            NaN
  1344.61        500.000                 NaN   99.2508       0.140733       0.274182       0.844895E-001  0.249803                 NaN            NaN            NaN
  1343.55        500.000                 NaN   99.2557       0.141752       0.273047       0.808099E-001  0.248721                 NaN            NaN            NaN
  1342.49        500.000                 NaN   99.2600       0.142162       0.781649E-001  0.272193       0.247506                 NaN            NaN            NaN
  1341.43        500.000                 NaN   99.2697       0.142498       0.269761       0.735007E-001  0.244543                 NaN            NaN            NaN
  1340.37        500.000                 NaN   99.2747       0.141019       0.268430       0.735100E-001  0.242313                 NaN            NaN            NaN
  1339.31        500.000                 NaN   99.2794       0.141708       0.706752E-001  0.267074       0.241095                 NaN            NaN            NaN
  1338.25        500.000                 NaN   99.2853       0.141518       0.684956E-001  0.265663       0.239069                 NaN            NaN            NaN
  1337.19        500.000                 NaN   99.2908       0.141383       0.264364       0.660606E-001  0.237406                 NaN            NaN            NaN
  1336.13        500.000                 NaN   99.2945       0.140509       0.263289       0.658179E-001  0.235842                 NaN            NaN            NaN
  1335.07        500.000                 NaN   99.3022       0.141057       0.261258       0.619914E-001  0.233541                 NaN            NaN            NaN
  1334.01        500.000                 NaN   99.3080       0.140342       0.260062       0.601976E-001  0.231366                 NaN            NaN            NaN
  1332.95        500.000                 NaN   99.3124       0.140254       0.258538       0.586540E-001  0.230143                 NaN            NaN            NaN
  1331.89        500.000                 NaN   99.3172       0.140191       0.564419E-001  0.257633       0.228502                 NaN            NaN            NaN
  1330.83        500.000                 NaN   99.3232       0.139207       0.255803       0.555441E-001  0.226235                 NaN            NaN            NaN
  1329.77        500.000                 NaN   99.3284       0.139312       0.254595       0.529653E-001  0.224717                 NaN            NaN            NaN
  1328.71        500.000                 NaN   99.3330       0.139469       0.504019E-001  0.253902       0.223208                 NaN            NaN            NaN
  1327.65        500.000       0.999049E-002   99.3225       0.126707       0.255347       0.615898E-001  0.223909                 NaN            NaN            NaN
  1326.59        500.000       0.389321E-001   99.2749       0.958866E-001  0.870544E-001  0.270649       0.232563                 NaN            NaN            NaN
  1325.53        500.000       0.451554E-001   99.2675       0.887157E-001  0.275650       0.898934E-001  0.233101                 NaN            NaN            NaN
  1324.47        500.000       0.501518E-001   99.2636       0.827150E-001  0.915439E-001  0.279126       0.232876                 NaN            NaN            NaN
  1323.41        500.000       0.566823E-001   99.2553       0.753961E-001  0.933044E-001  0.285843       0.233505                 NaN            NaN            NaN
  1322.35        500.000       0.617265E-001   99.2500       0.689279E-001  0.290504       0.953079E-001  0.233499                 NaN            NaN            NaN
  1321.29        500.000       0.648703E-001   99.2503       0.654770E-001  0.940163E-001  0.292717       0.232618                 NaN            NaN            NaN
  1320.23        500.000       0.674932E-001   99.2508       0.617084E-001  0.939597E-001  0.294367       0.231633                 NaN            NaN            NaN
  1319.17        500.000       0.697641E-001   99.2525       0.584867E-001  0.295654       0.931960E-001  0.230418                 NaN            NaN            NaN
  1318.11        500.000       0.721860E-001   99.2531       0.551897E-001  0.298041       0.920847E-001  0.229446                 NaN            NaN            NaN
  1317.04        500.000       0.723501E-001   99.2597       0.534065E-001  0.295632       0.916716E-001  0.227215                 NaN            NaN            NaN
  1315.98        500.000       0.728508E-001   99.2648       0.520508E-001  0.899435E-001  0.294877       0.225505                 NaN            NaN            NaN
  1314.92        500.000       0.733475E-001   99.2697       0.499409E-001  0.897379E-001  0.293613       0.223684                 NaN            NaN            NaN
  1313.86        500.000       0.734074E-001   99.2767       0.485561E-001  0.291334       0.885048E-001  0.221468                 NaN            NaN            NaN
  1312.80        500.000       0.732054E-001   99.2832       0.489513E-001  0.290434       0.845764E-001  0.219666                 NaN            NaN            NaN
  1311.74        500.000       0.730859E-001   99.2895       0.469887E-001  0.287899       0.850121E-001  0.217507                 NaN            NaN            NaN
  1310.68        500.000       0.725561E-001   99.2965       0.465034E-001  0.285488       0.834341E-001  0.215517                 NaN            NaN            NaN
  1309.62        500.000       0.724252E-001   99.3030       0.446889E-001  0.835605E-001  0.283016       0.213288                 NaN            NaN            NaN
  1308.56        500.000       0.717167E-001   99.3108       0.443034E-001  0.280337       0.817947E-001  0.211015                 NaN            NaN            NaN
  1307.50        500.000       0.712437E-001   99.3174       0.434176E-001  0.277908       0.810322E-001  0.209045                 NaN            NaN            NaN
  1306.44        500.000       0.703286E-001   99.3257       0.435137E-001  0.274590       0.790895E-001  0.206792                 NaN            NaN            NaN
  1305.38        500.000       0.697975E-001   99.3326       0.424496E-001  0.271875       0.785952E-001  0.204633                 NaN            NaN            NaN
  1304.32        500.000       0.689442E-001   99.3401       0.418572E-001  0.268638       0.779722E-001  0.202457                 NaN            NaN            NaN
  1303.26        500.000       0.683022E-001   99.3469       0.408629E-001  0.777646E-001  0.265744       0.200410                 NaN            NaN            NaN
  1302.20        500.000       0.675371E-001   99.3543       0.405825E-001  0.763779E-001  0.262934       0.198251                 NaN            NaN            NaN
  1301.14        500.000       0.668447E-001   99.3612       0.396666E-001  0.259967       0.761378E-001  0.196175                 NaN            NaN            NaN
  1300.08        500.000       0.659977E-001   99.3682       0.389268E-001  0.762348E-001  0.256499       0.194152                 NaN            NaN            NaN
  1299.02        500.000       0.653896E-001   99.3750       0.383898E-001  0.749599E-001  0.254090       0.192131                 NaN            NaN            NaN
  1297.96        500.000       0.646331E-001   99.3814       0.370160E-001  0.250800       0.760286E-001  0.190108                 NaN            NaN            NaN
  1296.90        500.000       0.638249E-001   99.3890       0.375217E-001  0.248301       0.732898E-001  0.188068                 NaN            NaN            NaN
  1295.84        500.000       0.631093E-001   99.3948       0.380514E-001  0.246140       0.711788E-001  0.186732                 NaN            NaN            NaN
  1294.78        500.000       0.622960E-001   99.4026       0.337156E-001  0.771862E-001  0.240789       0.183456                 NaN            NaN            NaN
  1293.72        500.000       0.616137E-001   99.4086       0.347980E-001  0.739125E-001  0.238898       0.182207                 NaN            NaN            NaN
  1292.66        500.000       0.607981E-001   99.4150       0.339599E-001  0.235856       0.741818E-001  0.180207                 NaN            NaN            NaN
  1291.60        500.000       0.600860E-001   99.4206       0.328146E-001  0.752119E-001  0.232812       0.178510                 NaN            NaN            NaN
  1290.54        500.000       0.593561E-001   99.4278       0.321869E-001  0.746128E-001  0.229652       0.176380                 NaN            NaN            NaN
  1289.48        500.000       0.586657E-001   99.4338       0.320762E-001  0.227473       0.733018E-001  0.174652                 NaN            NaN            NaN
  1288.42        500.000       0.580360E-001   99.4393       0.306760E-001  0.224248       0.747699E-001  0.172964                 NaN            NaN            NaN
  1287.36        500.000       0.572173E-001   99.4458       0.301011E-001  0.221625       0.743533E-001  0.170884                 NaN            NaN            NaN
  1286.29        500.000       0.565228E-001   99.4518       0.292808E-001  0.747889E-001  0.218457       0.169183                 NaN            NaN            NaN
  1285.23        500.000       0.558935E-001   99.4571       0.283289E-001  0.753397E-001  0.215775       0.167543                 NaN            NaN            NaN
  1284.17        500.000       0.551822E-001   99.4630       0.276449E-001  0.212964       0.754204E-001  0.165801                 NaN            NaN            NaN
  1283.11        500.000       0.545347E-001   99.4690       0.268683E-001  0.210200       0.754439E-001  0.163931                 NaN            NaN            NaN
  1282.05        500.000       0.533905E-001   99.4758       0.308514E-001  0.209530       0.677599E-001  0.162670                 NaN            NaN            NaN
  1280.99        500.000       0.536295E-001   99.4785       0.201385E-001  0.851494E-001  0.202335       0.160260                 NaN            NaN            NaN
  1279.93        500.000       0.525692E-001   99.4852       0.241979E-001  0.201837       0.771689E-001  0.159002                 NaN            NaN            NaN
  1278.87        500.000       0.519048E-001   99.4904       0.232894E-001  0.778986E-001  0.199133       0.157400                 NaN            NaN            NaN
  1277.81        500.000       0.512777E-001   99.4959       0.226545E-001  0.196357       0.780156E-001  0.155817                 NaN            NaN            NaN
  1276.75        500.000       0.505682E-001   99.5010       0.212900E-001  0.193306       0.797250E-001  0.154121                 NaN            NaN            NaN
  1275.69        500.000       0.500393E-001   99.5058       0.204241E-001  0.190995       0.801389E-001  0.152642                 NaN            NaN            NaN
  1274.63        500.000       0.496399E-001   99.5105       0.179121E-001  0.186831       0.835735E-001  0.151584                 NaN            NaN            NaN
  1273.57        500.000       0.488292E-001   99.5177       0.220598E-001  0.741320E-001  0.188303       0.148929                 NaN            NaN            NaN
  1272.51        500.000       0.482061E-001   99.5209       0.178207E-001  0.183105       0.819885E-001  0.147986                 NaN            NaN            NaN
  1271.45        500.000       0.467302E-001   99.5463       0.517635E-001  0.209684                 NaN  0.145490                 NaN            NaN            NaN
  1270.39        500.000       0.240337        94.5170       0.800149E-005  0.707282       0.647617       0.731853        3.15590                 NaN            NaN
  1269.33        500.000       0.341866        91.8369                 NaN   1.00252       0.905582        1.04047        4.87268                 NaN            NaN
  1268.27        500.000       0.308289        92.6364       0.401813E-005  0.906558       0.818720       0.943732        4.38628                 NaN            NaN
  1267.21        500.000       0.280874        93.2911                 NaN  0.747027       0.828170       0.864367        3.98843                 NaN            NaN
  1266.15        500.000       0.258228        93.8478                 NaN  0.761685       0.684032       0.796455        3.65180                 NaN            NaN
  1265.09        500.000       0.239076        94.3160       0.101460E-005  0.706014       0.630579       0.739208        3.36910                 NaN            NaN
  1264.03        500.000       0.223239        94.7149       0.110848E-005  0.583811       0.659728       0.690188        3.12813                 NaN            NaN
  1262.97        500.000       0.209121        95.0626                 NaN  0.543355       0.618607       0.647252        2.91910                 NaN            NaN
  1261.91        500.000       0.197330        95.3659                 NaN  0.506499       0.583627       0.609684        2.73699                 NaN            NaN
  1260.85        500.000       0.186557        95.6362                 NaN  0.474099       0.551811       0.576003        2.57533                 NaN            NaN
  1259.79        500.000       0.177063        95.8756                 NaN  0.524456       0.444658       0.545935        2.43232                 NaN            NaN
  1258.73        500.000       0.168494        96.0919                 NaN  0.418432       0.499118       0.518828        2.30320                 NaN            NaN
  1257.67        500.000       0.160954        96.2850                 NaN  0.476876       0.394312       0.494409        2.18846                 NaN            NaN
  1256.60        500.000       0.154077        96.4628                 NaN  0.456647       0.371214       0.471705        2.08355                 NaN            NaN
  1255.54        500.000       0.147778        96.6221                 NaN  0.438337       0.351561       0.451360        1.98891                 NaN            NaN
  1254.48        500.000       0.141900        96.7677                 NaN  0.333548       0.421310       0.432758        1.90282                 NaN            NaN
  1253.42        500.000       0.136685        96.9059                 NaN  0.314859       0.405565       0.414766        1.82220                 NaN            NaN
  1252.36        500.000       0.131589        97.0294                 NaN  0.391274       0.299701       0.398902        1.74914                 NaN            NaN
  1251.30        500.000       0.127205        97.1448                 NaN  0.285240       0.376875       0.383710        1.68212                 NaN            NaN
  1250.24        500.000       0.122690        97.2548                 NaN  0.365654       0.270248       0.369249        1.61732                 NaN            NaN
  1249.18        500.000       0.118691        97.3539                 NaN  0.353534       0.257843       0.356211        1.55985                 NaN            NaN
  1248.12        500.000       0.114715        97.4480                 NaN  0.246698       0.341797       0.343837        1.50494                 NaN            NaN
  1247.06        500.000       0.111152        97.5350                 NaN  0.235158       0.332170       0.332127        1.45441                 NaN            NaN
  1246.00        500.000       0.107665        97.6194                 NaN  0.321895       0.224512       0.320801        1.40577                 NaN            NaN
  1244.94        500.000       0.104215        97.6970                 NaN  0.312386       0.215168       0.310276        1.36093                 NaN            NaN
  1243.88        500.000       0.101053        97.7699                 NaN  0.206934       0.302931       0.300569        1.31865                 NaN            NaN
  1242.82        500.000       0.978753E-001   97.8395                 NaN  0.294370       0.198869       0.291031        1.27838                 NaN            NaN
  1241.76        500.000       0.950818E-001   97.9070                 NaN  0.189978       0.286377       0.281735        1.23981                 NaN            NaN
  1240.70        500.000       0.921435E-001   97.9693                 NaN  0.278344       0.182680       0.273019        1.20451                 NaN            NaN
  1239.64        500.000       0.895656E-001   98.0301                 NaN  0.270308       0.175933       0.264831        1.16922                 NaN            NaN
  1238.58        500.000       0.868271E-001   98.0870                 NaN  0.263250       0.169117       0.256838        1.13693                 NaN            NaN
  1237.52        500.000       0.843348E-001   98.1426                 NaN  0.255721       0.163020       0.249091        1.10526                 NaN            NaN
  1236.46        500.000       0.817418E-001   98.1950                 NaN  0.248212       0.157395       0.241863        1.07581                 NaN            NaN
  1235.40        500.000       0.117672        94.7143                 NaN   1.03833       0.322794       0.753933        3.05300                 NaN            NaN
  1234.34        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1233.28        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1232.22        500.000                 NaN   96.2699                 NaN  0.724010                 NaN  0.444281        2.41763       0.144197                 NaN
  1231.16        500.000                 NaN   99.9545                 NaN  0.454725E-001            NaN            NaN            NaN            NaN            NaN
  1230.10        500.000       0.770402E-002   99.8499                 NaN            NaN            NaN  0.240026E-001  0.116781       0.156241E-002            NaN
  1229.04        500.000       0.707078E-001   98.2730                 NaN  0.349524       0.110277       0.220945       0.975497                 NaN            NaN
  1227.98        500.000       0.768112E-001   98.6438                 NaN  0.247600                 NaN  0.175617       0.856185                 NaN            NaN
  1226.92        500.000       0.113254        97.9623                 NaN  0.429309                 NaN  0.257860        1.23723                 NaN            NaN
  1225.85        500.000                 NaN   99.1523       0.577649E-001  0.158164       0.488795E-002  0.130491       0.496424                 NaN            NaN
  1224.79        500.000       0.849592E-002   99.8553                 NaN  0.254617E-001            NaN  0.174457E-001  0.932763E-001            NaN            NaN
  1223.73        500.000       0.108387        98.0077                 NaN  0.407280                 NaN  0.249933        1.22674                 NaN            NaN
  1222.67        500.000       0.144810        96.3958       0.155394       0.695450                 NaN  0.479837        2.12872                 NaN            NaN
  1221.61        500.000       0.732090E-005   99.9999                 NaN  0.242546E-005            NaN            NaN  0.406038E-004            NaN            NaN
  1220.55        500.000                 NaN   99.5561                 NaN  0.101072       0.197938E-001  0.622514E-001  0.256569       0.425910E-002            NaN
  1219.49        500.000       0.539883E-001   97.9152                 NaN  0.414480       0.121289       0.278840        1.21618                 NaN            NaN
  1218.43        500.000                 NaN   98.1107                 NaN  0.173877       0.253557       0.244087        1.17701       0.407674E-001            NaN
  1217.37        500.000       0.177935E-001   99.4830                 NaN  0.582953E-001  0.699803E-001  0.649712E-001  0.305914                 NaN            NaN
  1216.31        500.000       0.103318E-001   99.8409                 NaN  0.117769E-001            NaN  0.261895E-001  0.110806                 NaN            NaN
  1215.25        500.000       0.660370E-001   97.9235                 NaN  0.266742       0.259534       0.256699        1.22746                 NaN            NaN
  1214.19        500.000                 NaN   99.0162                 NaN  0.220379E-002  0.193550       0.111920       0.644455       0.316634E-001            NaN
  1213.13        500.000       0.726441E-002   98.6972                 NaN  0.364400       0.313035E-001  0.176765       0.723111                 NaN            NaN
  1212.07        500.000       0.682791E-001   97.7963                 NaN  0.218915       0.727076E-001  0.220708        1.09336                 NaN  0.529748     
  1211.01        500.000       0.311596        85.6912                 NaN  0.210359        1.00377        1.18208        5.78993                 NaN   5.81102     
  1209.95        500.000       0.502788        77.6567       0.245732        1.65514                 NaN   1.87541        8.92173                 NaN   9.14247     
  1208.89        500.000       0.404407E-005   99.9998       0.388845E-005  0.130595E-004            NaN  0.163425E-004  0.770622E-004            NaN  0.797445E-004
  1207.83        500.000       0.265509E-005   99.9999                 NaN  0.635651E-005            NaN  0.728787E-005  0.352215E-004            NaN  0.369227E-004
  1206.77        500.000       0.643306        69.6126       0.327846        2.28190                 NaN   2.53123        12.1507                 NaN   12.4524     
  1205.71        500.000       0.182169        90.7921       0.131685       0.700948                 NaN  0.774692        3.69896                 NaN   3.71941     
  1204.65        500.000       0.195848        89.7806       0.156592       0.754736                 NaN  0.859251        4.07803                 NaN   4.17497     
  1203.59        500.000       0.311449E-001   96.3352       0.179381                 NaN            NaN  0.323458        1.47521                 NaN   1.65558     
  1202.53        500.000       0.512340        74.8429       0.346169        2.00311                 NaN   2.10046        10.0613                 NaN   10.1337     
  1201.47        500.000                 NaN   99.9999       0.203377E-004            NaN            NaN  0.125187E-004  0.308547E-004            NaN  0.337850E-004
  1200.41        500.000                 NaN   99.9998                 NaN  0.161110E-004            NaN  0.153230E-004  0.878643E-004            NaN  0.884876E-004
  1199.35        500.000                 NaN   99.9998                 NaN  0.211590E-004            NaN  0.172829E-004  0.924576E-004  0.286176E-005  0.900643E-004
  1198.29        500.000       0.490773        72.0362       0.509780        2.03903                 NaN   2.33433        11.1352                 NaN   11.4548     
  1197.23        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1196.16        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1195.10        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1194.04        500.000       0.275917        83.7888       0.300331        1.14489                 NaN   1.33689        6.50156                 NaN   6.65164     
  1192.98        500.000       0.126208        92.8684       0.120342       0.487672                 NaN  0.582936        2.87908                 NaN   2.93537     
  1191.92        500.000       0.989687E-001   94.1894       0.101437       0.404076                 NaN  0.473096        2.34790                 NaN   2.38515     
  1190.86        500.000       0.106359        93.6203       0.120433       0.400114                 NaN  0.518892        2.59460                 NaN   2.63932     
  1189.80        500.000       0.117624        92.6735       0.132634       0.480496                 NaN  0.590829        2.97802                 NaN   3.02690     
  1188.74        500.000       0.116813        93.7056       0.735700E-001  0.460073                 NaN  0.497318        2.57828                 NaN   2.56835     
  1187.68        500.000       0.104032        93.5319       0.104776       0.424271                 NaN  0.508729        2.65252                 NaN   2.67381     
  1186.62        500.000       0.183144        88.2424       0.210487       0.696405                 NaN  0.920560        4.85849                 NaN   4.88856     
  1185.56        500.000       0.436559        70.2375       0.495105        1.46721                 NaN   2.21748        12.7629                 NaN   12.3832     
  1184.50        500.000       0.283045        82.0225       0.245468       0.980547                 NaN   1.29602        7.87680                 NaN   7.29563     
  1183.44        500.000        1.56192                 NaN   1.25019        5.00958                 NaN   7.04470        43.6360                 NaN   41.4976     
  1182.38        500.000        1.54800                 NaN   1.27104        5.00623                 NaN   7.05120        43.6337                 NaN   41.4898     
  1181.32        500.000        1.54515                 NaN   1.27811        5.00162                 NaN   7.05266        43.6323                 NaN   41.4902     
  1180.26        500.000        1.54227                 NaN   1.28527        4.99690                 NaN   7.05413        43.6309                 NaN   41.4906     
  1179.20        500.000        1.53937                 NaN   1.29240        4.99230                 NaN   7.05559        43.6294                 NaN   41.4909     
  1178.14        500.000        1.53647                 NaN   1.29954        4.98770                 NaN   7.05703        43.6280                 NaN   41.4912     
  1177.08        500.000        1.53354                 NaN   1.30669        4.98313                 NaN   7.05850        43.6266                 NaN   41.4916     
  1176.02        500.000        1.53060                 NaN   1.31383        4.97863                 NaN   7.05997        43.6251                 NaN   41.4919     
  1174.96        500.000        1.52769                 NaN   1.32090        4.97427                 NaN   7.06135        43.6236                 NaN   41.4922     
  1173.90        500.000        1.52462                 NaN   1.32815        4.96977                 NaN   7.06293        43.6222                 NaN   41.4924     
  1172.84        500.000        1.52160                 NaN   1.33535        4.96537                 NaN   7.06440        43.6207                 NaN   41.4926     
  1171.78        500.000        1.51857                 NaN   1.34253        4.96104                 NaN   7.06587        43.6192                 NaN   41.4928     
  1170.72        500.000        1.51552                 NaN   1.34971        4.95674                 NaN   7.06734        43.6177                 NaN   41.4930     
  1169.66        500.000        1.51248                 NaN   1.35686        4.95255                 NaN   7.06881        43.6161                 NaN   41.4932     
  1168.60        500.000        1.50931                 NaN   1.36419        4.94817                 NaN   7.07036        43.6147                 NaN   41.4933     
