|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             Sp(TH)         lc            
  1557.22        2500.00        99.4152       0.535382       0.494057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.4233       0.529193       0.474857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.4272       0.525567       0.472504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.4306       0.522698       0.467470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.4352       0.518522       0.462613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.4404       0.514302       0.453233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00        99.4426       0.513547       0.438064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.4494       0.506338       0.442712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.4522       0.505117       0.426656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.4553       0.502896       0.417687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.4600       0.499148       0.408934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.4636       0.495992       0.404281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.4681       0.492498       0.393668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        98.9852       0.940309       0.744550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.8929       0.990433E-001  0.801243E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        99.6136       0.357414       0.289781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        99.4207       0.537893       0.414289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.4853       0.479498       0.351839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.3719       0.575869       0.522250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.6227       0.352806       0.245067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.4942       0.471468       0.343420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.4998       0.468007       0.322227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.4065       0.553704       0.398162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.8587       0.131419       0.989398E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.2537       0.701960       0.443073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00        99.5127       0.457305       0.300106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00        99.3766       0.595825       0.276073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.6488       0.328780       0.224574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00        99.5197       0.456301       0.239554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00        99.0527       0.895570       0.517786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00        99.6881       0.294596       0.173274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00        99.5549       0.416961       0.281027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.3604       0.604843       0.347717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00        99.4237       0.527227E-001            NaN            NaN  0.523540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00        99.4274                 NaN  0.452564E-001            NaN  0.527351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00        99.4139       0.352839E-002            NaN            NaN  0.582548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00        99.4157       0.588151E-003            NaN            NaN  0.583673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00        99.4159       0.229760E-001            NaN            NaN  0.561164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00        99.4175       0.276232E-001            NaN            NaN  0.554834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        99.4166       0.207870E-001            NaN            NaN  0.562648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        99.4182                 NaN            NaN            NaN  0.581799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.4175                 NaN            NaN            NaN  0.582525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.4176                 NaN            NaN            NaN  0.582415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00        99.9861       0.243786E-004  0.138929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00        98.8526                 NaN            NaN            NaN   1.14744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00        99.4153                 NaN            NaN            NaN  0.584727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00        99.4314                 NaN            NaN            NaN  0.568607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00        99.3931       0.638146E-002            NaN            NaN  0.600546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00        99.6678       0.332249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00        99.3973       0.333820                 NaN            NaN  0.268891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00        99.1751       0.242584                 NaN            NaN  0.582282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00        98.8165                 NaN            NaN            NaN  0.308381       0.875125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00        99.1379                 NaN            NaN            NaN  0.352819       0.509232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1435                 NaN            NaN            NaN  0.506069       0.350398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00        99.1500                 NaN            NaN            NaN  0.502408       0.347547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00        99.1576                 NaN            NaN            NaN  0.498423       0.343957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00        99.1646                 NaN            NaN            NaN  0.494139       0.341264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00        99.1727                 NaN            NaN            NaN  0.489751       0.337514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00        99.1791                 NaN            NaN            NaN  0.486172       0.334763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00        99.1862                 NaN            NaN            NaN  0.331124       0.482695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00        99.1937                 NaN            NaN            NaN  0.477424       0.328865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00        99.1979                 NaN            NaN            NaN  0.477130       0.324961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00        99.2074                 NaN            NaN            NaN  0.322663       0.469899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00        99.2132                 NaN            NaN            NaN  0.319513       0.467255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.2189                 NaN            NaN            NaN  0.316747       0.464334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00        99.2245                 NaN            NaN            NaN  0.313358       0.462185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00        99.2319                 NaN            NaN            NaN  0.311649       0.456436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00        99.2375                 NaN            NaN            NaN  0.308398       0.454145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00        99.2437                 NaN            NaN            NaN  0.450405       0.305881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00        99.2493                 NaN            NaN            NaN  0.447208       0.303533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.2536                 NaN            NaN            NaN  0.301306       0.445128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00        99.2622                 NaN            NaN            NaN  0.439826       0.297981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2667                 NaN            NaN            NaN  0.437637       0.295682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00        99.2723                 NaN            NaN            NaN  0.293655       0.434034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.2775                 NaN            NaN            NaN  0.290325       0.432145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.2826                 NaN            NaN            NaN  0.429225       0.288128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00        99.2876                 NaN            NaN            NaN  0.286049       0.426333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00        99.2952                 NaN            NaN            NaN  0.421942       0.282820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00        99.2984                 NaN            NaN            NaN  0.280716       0.420864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00        99.3034                 NaN            NaN            NaN  0.417902       0.278673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00        99.3078                 NaN            NaN            NaN  0.415917       0.276318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00        99.3138                 NaN            NaN            NaN  0.412241       0.273940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        98.3817                 NaN            NaN            NaN  0.713364       0.447861                 NaN  0.457097                 NaN            NaN            NaN            NaN            NaN
  1433.07        2500.00        98.3309                 NaN            NaN            NaN  0.443330       0.738473                 NaN  0.487346                 NaN            NaN            NaN            NaN            NaN
  1431.59        2500.00        98.3631                 NaN            NaN            NaN  0.434134       0.725079                 NaN  0.477693                 NaN            NaN            NaN            NaN            NaN
  1430.11        2500.00        98.3914                 NaN            NaN            NaN  0.426043       0.712985                 NaN  0.469530                 NaN            NaN            NaN            NaN            NaN
  1428.63        2500.00        98.4186                 NaN            NaN            NaN  0.418415       0.701515                 NaN  0.461477                 NaN            NaN            NaN            NaN            NaN
  1427.16        2500.00        98.4467                 NaN            NaN            NaN  0.689601       0.410256                 NaN  0.453395                 NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00        98.4729                 NaN            NaN            NaN  0.678904       0.402490                 NaN  0.445670                 NaN            NaN            NaN            NaN            NaN
  1424.20        2500.00        98.4959                 NaN  0.517999E-001            NaN  0.597165       0.408470                 NaN  0.446703                 NaN            NaN            NaN            NaN            NaN
  1422.72        2500.00        98.5145                 NaN  0.143032                 NaN  0.426853       0.460790                 NaN  0.454839                 NaN            NaN            NaN            NaN            NaN
  1421.24        2500.00        98.5404                 NaN  0.141517                 NaN  0.452347       0.418726                 NaN  0.447038                 NaN            NaN            NaN            NaN            NaN
  1419.76        2500.00        98.5652                 NaN  0.140413                 NaN  0.411734       0.443122                 NaN  0.439535                 NaN            NaN            NaN            NaN            NaN
  1418.29        2500.00        98.5876                 NaN  0.139230                 NaN  0.405658       0.434774                 NaN  0.432706                 NaN            NaN            NaN            NaN            NaN
  1416.81        2500.00        98.6110                 NaN  0.138311                 NaN  0.425601       0.399263                 NaN  0.425817                 NaN            NaN            NaN            NaN            NaN
  1415.33        2500.00        98.6311                 NaN  0.137272                 NaN  0.417738       0.394219                 NaN  0.419707                 NaN            NaN            NaN            NaN            NaN
  1413.85        2500.00        98.6598                 NaN  0.134866                 NaN  0.385247       0.409560                 NaN  0.410527                 NaN            NaN            NaN            NaN            NaN
  1412.37        2500.00        98.6766                 NaN  0.134540                 NaN  0.402047       0.381128                 NaN  0.405717                 NaN            NaN            NaN            NaN            NaN
  1410.90        2500.00        98.6990                 NaN  0.133151                 NaN  0.394376       0.374653                 NaN  0.398820                 NaN            NaN            NaN            NaN            NaN
  1409.42        2500.00        98.7189                 NaN  0.132224                 NaN  0.368809       0.387314                 NaN  0.392759                 NaN            NaN            NaN            NaN            NaN
  1407.94        2500.00        98.7371                 NaN  0.131139                 NaN  0.364502       0.380094                 NaN  0.387159                 NaN            NaN            NaN            NaN            NaN
  1406.46        2500.00        98.7582                 NaN  0.129797                 NaN  0.357921       0.373317                 NaN  0.380730                 NaN            NaN            NaN            NaN            NaN
  1404.98        2500.00        98.7765                 NaN  0.128793                 NaN  0.352685       0.366931                 NaN  0.375061                 NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.7946                 NaN  0.128093                 NaN  0.347708       0.359997                 NaN  0.369641                 NaN            NaN            NaN            NaN            NaN
  1402.03        2500.00        98.8124                 NaN  0.126458                 NaN  0.342384       0.354733                 NaN  0.364006                 NaN            NaN            NaN            NaN            NaN
  1400.55        2500.00        98.8271                 NaN  0.126604                 NaN  0.347243       0.339340                 NaN  0.359726                 NaN            NaN            NaN            NaN            NaN
  1399.07        2500.00        98.8479                 NaN  0.124106                 NaN  0.342714       0.332277                 NaN  0.352985                 NaN            NaN            NaN            NaN            NaN
  1397.59        2500.00        98.9819                 NaN  0.110611                 NaN  0.289885       0.304479                 NaN  0.313109                 NaN            NaN            NaN            NaN            NaN
  1396.12        2500.00        98.7603                 NaN  0.135133                 NaN  0.360943       0.364863                 NaN  0.378741                 NaN            NaN            NaN            NaN            NaN
  1394.64        2500.00        98.8953                 NaN  0.121561                 NaN  0.318997       0.325639                 NaN  0.338460                 NaN            NaN            NaN            NaN            NaN
  1393.16        2500.00        98.9106                 NaN  0.120644                 NaN  0.315016       0.319958                 NaN  0.333789                 NaN            NaN            NaN            NaN            NaN
  1391.68        2500.00        98.9260                 NaN  0.119123                 NaN  0.310039       0.315895                 NaN  0.328934                 NaN            NaN            NaN            NaN            NaN
  1390.20        2500.00        98.9412                 NaN  0.118453                 NaN  0.305993       0.310160                 NaN  0.324239                 NaN            NaN            NaN            NaN            NaN
  1388.73        2500.00        98.9548                 NaN  0.117558                 NaN  0.305349       0.302270                 NaN  0.320066                 NaN            NaN            NaN            NaN            NaN
  1387.25        2500.00        98.9700                 NaN  0.116178                 NaN  0.297635       0.301001                 NaN  0.315195                 NaN            NaN            NaN            NaN            NaN
  1385.77        2500.00        98.9832                 NaN  0.115534                 NaN  0.293855       0.296298                 NaN  0.311158                 NaN            NaN            NaN            NaN            NaN
  1384.29        2500.00        98.9968                 NaN  0.114424                 NaN  0.291579       0.290403                 NaN  0.306749                 NaN            NaN            NaN            NaN            NaN
  1382.81        2500.00        99.0096                 NaN  0.113593                 NaN  0.286283       0.287657                 NaN  0.302895                 NaN            NaN            NaN            NaN            NaN
  1381.34        2500.00        99.0236                 NaN  0.112373                 NaN  0.283294       0.282262                 NaN  0.298455                 NaN            NaN            NaN            NaN            NaN
  1379.86        2500.00        99.0361                 NaN  0.111327                 NaN  0.278855       0.279251                 NaN  0.294440                 NaN            NaN            NaN            NaN            NaN
  1378.38        2500.00        99.0470                 NaN  0.111220                 NaN  0.273672       0.276856                 NaN  0.291234                 NaN            NaN            NaN            NaN            NaN
  1376.90        2500.00        99.0616                 NaN  0.108739                 NaN  0.272622       0.270717                 NaN  0.286320                 NaN            NaN            NaN            NaN            NaN
  1375.42        2500.00        99.0699                 NaN  0.108935                 NaN  0.267246       0.269961                 NaN  0.284007                 NaN            NaN            NaN            NaN            NaN
  1373.95        2500.00        99.0866                 NaN  0.106442                 NaN  0.263692       0.264877                 NaN  0.278395                 NaN            NaN            NaN            NaN            NaN
  1372.47        2500.00        99.0962                 NaN  0.106083                 NaN  0.261542       0.260710                 NaN  0.275425                 NaN            NaN            NaN            NaN            NaN
  1370.99        2500.00        99.1064                 NaN  0.105374                 NaN  0.258046       0.257764                 NaN  0.272424                 NaN            NaN            NaN            NaN            NaN
  1369.51        2500.00        99.1178                 NaN  0.104251                 NaN  0.253924       0.255361                 NaN  0.268620                 NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00        99.1280                 NaN  0.102799                 NaN  0.251320       0.252423                 NaN  0.265423                 NaN            NaN            NaN            NaN            NaN
  1366.56        2500.00        99.1417                 NaN  0.102530                 NaN  0.248321       0.246308                 NaN  0.261148                 NaN            NaN            NaN            NaN            NaN
  1365.08        2500.00        99.1499                 NaN  0.101244                 NaN  0.245788       0.244584                 NaN  0.258435                 NaN            NaN            NaN            NaN            NaN
  1363.60        2500.00        99.1605                 NaN  0.999929E-001            NaN  0.241566       0.242863                 NaN  0.255035                 NaN            NaN            NaN            NaN            NaN
  1362.12        2500.00        99.1694                 NaN  0.906464E-001            NaN  0.252295       0.236642                 NaN  0.251015                 NaN            NaN            NaN            NaN            NaN
  1360.64        2500.00        99.1807                 NaN  0.106141                 NaN  0.239915       0.223591                 NaN  0.249681                 NaN            NaN            NaN            NaN            NaN
  1359.16        2500.00        99.1899                 NaN  0.970551E-001            NaN  0.233928       0.233490                 NaN  0.245596                 NaN            NaN            NaN            NaN            NaN
  1357.69        2500.00        99.1988                 NaN  0.957718E-001            NaN  0.231286       0.231403                 NaN  0.242758                 NaN            NaN            NaN            NaN            NaN
  1356.21        2500.00        99.2084                 NaN  0.948055E-001            NaN  0.228328       0.228846                 NaN  0.239650                 NaN            NaN            NaN            NaN            NaN
  1354.73        2500.00        99.2173                 NaN  0.935874E-001            NaN  0.226953       0.225331                 NaN  0.236802                 NaN            NaN            NaN            NaN            NaN
  1353.25        2500.00        99.2264                 NaN  0.933269E-001            NaN  0.223362       0.222826                 NaN  0.234042                 NaN            NaN            NaN            NaN            NaN
  1351.77        2500.00        99.2355                 NaN  0.910846E-001            NaN  0.219957       0.222531                 NaN  0.230903                 NaN            NaN            NaN            NaN            NaN
  1350.30        2500.00        99.2444                 NaN  0.900068E-001            NaN  0.216368       0.221244                 NaN  0.227949                 NaN            NaN            NaN            NaN            NaN
  1348.82        2500.00        99.2524                 NaN  0.896142E-001            NaN  0.214744       0.217717                 NaN  0.225529                 NaN            NaN            NaN            NaN            NaN
  1347.34        2500.00        99.2591                 NaN  0.752442E-001            NaN  0.206886       0.237126                 NaN  0.221596                 NaN            NaN            NaN            NaN            NaN
  1345.86        2500.00        99.2705                 NaN  0.996239E-001            NaN  0.214710       0.194029                 NaN  0.221140                 NaN            NaN            NaN            NaN            NaN
  1344.38        2500.00        99.2764                 NaN  0.861293E-001            NaN  0.212504       0.207344                 NaN  0.217654                 NaN            NaN            NaN            NaN            NaN
  1342.91        2500.00        99.2820                 NaN  0.854504E-001            NaN  0.205216       0.211111                 NaN  0.216253                 NaN            NaN            NaN            NaN            NaN
  1341.43        2500.00        96.9148                 NaN  0.286019                 NaN   1.03375       0.853849                 NaN  0.911562                 NaN            NaN            NaN            NaN            NaN
  1339.95        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1338.47        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.99        2500.00        99.9994                 NaN  0.611712E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1335.52        2500.00        99.6814                 NaN  0.855760E-001            NaN  0.980930E-001  0.312064E-001            NaN  0.103680                 NaN            NaN            NaN            NaN            NaN
  1334.04        2500.00        99.3565                 NaN  0.119620                 NaN  0.104426       0.222070                 NaN  0.197355                 NaN            NaN            NaN            NaN            NaN
  1332.56        2500.00        99.3349                 NaN  0.724732E-001            NaN  0.186332       0.208301                 NaN  0.197981                 NaN            NaN            NaN            NaN            NaN
  1331.08        2500.00        99.3427                 NaN  0.752033E-001            NaN  0.185831       0.200437                 NaN  0.195838                 NaN            NaN            NaN            NaN            NaN
  1329.60        2500.00        99.3493                 NaN  0.741659E-001            NaN  0.183367       0.199379                 NaN  0.193770                 NaN            NaN            NaN            NaN            NaN
  1328.13        2500.00        99.3563                 NaN  0.727974E-001            NaN  0.198219       0.181351                 NaN  0.191378                 NaN            NaN            NaN            NaN            NaN
  1326.65        2500.00        99.3623                 NaN  0.715676E-001            NaN  0.179241       0.197457                 NaN  0.189393                 NaN            NaN            NaN            NaN            NaN
  1325.17        2500.00        99.3688                 NaN  0.705930E-001            NaN  0.176825       0.196458                 NaN  0.187301                 NaN            NaN            NaN            NaN            NaN
  1323.69        2500.00        99.3749                 NaN  0.694241E-001            NaN  0.175342       0.195049                 NaN  0.185299                 NaN            NaN            NaN            NaN            NaN
  1322.21        2500.00        99.3814                 NaN  0.677439E-001            NaN  0.195616       0.172018                 NaN  0.183259                 NaN            NaN            NaN            NaN            NaN
  1320.74        2500.00        99.3877                 NaN  0.662714E-001            NaN  0.170123       0.194963                 NaN  0.180929                 NaN            NaN            NaN            NaN            NaN
  1319.26        2500.00        84.5010                 NaN   1.57883                 NaN  0.413617        2.17947                 NaN   1.94136        9.38568                 NaN            NaN            NaN            NaN
  1317.78        2500.00        78.0890                 NaN   2.29783                 NaN   3.15282       0.294732                 NaN   2.69123        13.4744                 NaN            NaN            NaN            NaN
  1316.30        2500.00        81.4747                 NaN   1.99868                 NaN   2.77799       0.930370E-001            NaN   2.28496        11.3707                 NaN            NaN            NaN            NaN
  1314.82        2500.00        84.0263                 NaN   1.76130                 NaN   2.44303                 NaN            NaN   1.97867        9.79065                 NaN            NaN            NaN            NaN
  1313.35        2500.00        86.2112                 NaN   1.52526                 NaN   2.11810                 NaN            NaN   1.71368        8.43181                 NaN            NaN            NaN            NaN
  1311.87        2500.00        87.8412                 NaN   1.34721                 NaN   1.88103                 NaN            NaN   1.51703        7.41356                 NaN            NaN            NaN            NaN
  1310.39        2500.00        89.1763                 NaN   1.20430                 NaN   1.68392                 NaN            NaN   1.35575        6.57972                 NaN            NaN            NaN            NaN
  1308.91        2500.00        90.2813                 NaN   1.08665                 NaN   1.51979                 NaN            NaN   1.22218        5.89010                 NaN            NaN            NaN            NaN
  1307.43        2500.00        91.2184                 NaN  0.988002                 NaN   1.37867                 NaN            NaN   1.10867        5.30622                 NaN            NaN            NaN            NaN
  1305.96        2500.00        92.0087                 NaN  0.903915                 NaN   1.26170                 NaN            NaN   1.01292        4.81272                 NaN            NaN            NaN            NaN
  1304.48        2500.00        92.6837                 NaN  0.832039                 NaN   1.16151                 NaN            NaN  0.930776        4.39200                 NaN            NaN            NaN            NaN
