|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.82        2500.00        99.3506                 NaN  0.580604       0.688387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.23        2500.00        99.3562                 NaN  0.574846       0.689375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.64        2500.00        99.3637                 NaN  0.568588       0.677365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.05        2500.00        99.3665                 NaN  0.568318       0.651739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.46        2500.00        99.3720                 NaN  0.563040       0.649438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.87        2500.00        99.3766                 NaN  0.560088       0.632964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.27        2500.00        99.3829                 NaN  0.553929       0.631331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4390                 NaN  0.504045       0.569244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.09        2500.00        99.3403                 NaN  0.594633       0.650888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        2500.00        99.3965                 NaN  0.543880       0.595903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.91        2500.00        99.4001                 NaN  0.542869       0.570467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.4053                 NaN  0.537938       0.567754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.73        2500.00        99.9987                 NaN            NaN  0.126865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        98.8266                 NaN   1.06540       0.107984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.55        2500.00        99.4194                 NaN  0.526093       0.545220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        2500.00        99.4232                 NaN  0.524395       0.524369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.37        2500.00        99.4269                 NaN  0.521518       0.515537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        99.4319                 NaN  0.516678       0.514373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.19        2500.00        99.4308                 NaN  0.520968       0.482361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        2500.00        99.4448                 NaN  0.505405       0.498313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.01        2500.00        99.4442                 NaN  0.507372       0.484494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.42        2500.00        99.4474                 NaN  0.505160       0.474707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.83        2500.00        99.4503                 NaN  0.504268       0.454064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        2500.00        99.4568                 NaN  0.497515       0.456657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.65        2500.00        99.4567                 NaN  0.499459       0.438432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.05        2500.00        99.4645                 NaN  0.491475       0.439767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.46        2500.00        99.4657                 NaN  0.491973       0.422831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00        99.5366                 NaN  0.427101       0.362820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.28        2500.00        99.4052                 NaN  0.548772       0.460510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00        99.4788                 NaN  0.478685       0.425260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.10        2500.00        99.4780                 NaN  0.484572       0.373787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.51        2500.00        99.4841                 NaN  0.478256       0.375993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00        99.4856                 NaN  0.477554       0.368446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.33        2500.00        99.3709                 NaN  0.318458E-001  0.807332E-002            NaN  0.589204                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00        99.3356                 NaN  0.266590E-002  0.343110E-003            NaN  0.661382                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.15        2500.00        99.4094                 NaN            NaN  0.123033E-001            NaN  0.578277                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.56        2500.00        99.2648                 NaN            NaN            NaN            NaN  0.735163                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        2500.00        99.3352                 NaN            NaN            NaN            NaN  0.664768                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.38        2500.00        99.3311                 NaN            NaN            NaN            NaN  0.668906                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.79        2500.00        99.3303                 NaN            NaN            NaN            NaN  0.669661                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.20        2500.00        99.3272                 NaN            NaN            NaN            NaN  0.672796                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.61        2500.00        99.3238                 NaN            NaN            NaN            NaN  0.676220                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        2500.00        99.3206                 NaN            NaN            NaN            NaN  0.679398                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.43        2500.00        99.3140                 NaN            NaN            NaN            NaN  0.686034                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.83        2500.00        99.3039                 NaN            NaN            NaN            NaN  0.696140                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.2918                 NaN            NaN            NaN            NaN  0.708163                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.65        2500.00        99.2842                 NaN            NaN            NaN            NaN  0.715834                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.2652                 NaN            NaN            NaN            NaN  0.734778                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.47        2500.00        98.9866                 NaN            NaN            NaN            NaN  0.612350       0.401035                 NaN            NaN            NaN            NaN            NaN
  1489.88        2500.00        98.9236                 NaN            NaN            NaN            NaN  0.764951       0.311457                 NaN            NaN            NaN            NaN            NaN
  1488.29        2500.00        98.9329                 NaN            NaN            NaN            NaN  0.759609       0.307446                 NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00        98.9458                 NaN            NaN            NaN            NaN  0.750261       0.303975                 NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00        98.9537                 NaN            NaN            NaN            NaN  0.744156       0.302159                 NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        98.9630                 NaN            NaN            NaN            NaN  0.298264       0.738742                 NaN            NaN            NaN            NaN            NaN
  1481.93        2500.00        98.9712                 NaN            NaN            NaN            NaN  0.298448       0.730381                 NaN            NaN            NaN            NaN            NaN
  1480.34        2500.00        98.9804                 NaN            NaN            NaN            NaN  0.293357       0.726270                 NaN            NaN            NaN            NaN            NaN
  1478.75        2500.00        98.9878                 NaN            NaN            NaN            NaN  0.720368       0.291815                 NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.9997                 NaN            NaN  0.140061E-005            NaN  0.288895       0.711436                 NaN            NaN            NaN            NaN            NaN
  1475.57        2500.00        99.0034                 NaN            NaN            NaN            NaN  0.709105       0.287516                 NaN            NaN            NaN            NaN            NaN
  1473.98        2500.00        99.0176                 NaN            NaN            NaN            NaN  0.699967       0.282454                 NaN            NaN            NaN            NaN            NaN
  1472.39        2500.00        99.0216                 NaN            NaN  0.119836E-001            NaN  0.707188       0.259189                 NaN            NaN            NaN            NaN            NaN
  1470.80        2500.00        99.0326                 NaN            NaN            NaN            NaN  0.689013       0.278342                 NaN            NaN            NaN            NaN            NaN
  1469.21        2500.00        99.0375                 NaN            NaN  0.668463E-003            NaN  0.274741       0.687068                 NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        99.0450                 NaN            NaN            NaN            NaN  0.680903       0.274054                 NaN            NaN            NaN            NaN            NaN
  1466.02        2500.00        99.0511                 NaN            NaN            NaN            NaN  0.271470       0.677450                 NaN            NaN            NaN            NaN            NaN
  1464.43        2500.00        99.0622                 NaN            NaN  0.179936E-001            NaN  0.681053       0.238755                 NaN            NaN            NaN            NaN            NaN
  1462.84        2500.00        99.0702                 NaN            NaN  0.242522E-001            NaN  0.226139       0.679393                 NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        99.0708                 NaN            NaN  0.140680E-002            NaN  0.262059       0.665714                 NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00        99.0850                 NaN            NaN  0.303470E-001            NaN  0.210807       0.673823                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.0880                 NaN            NaN  0.296792E-001            NaN  0.666354       0.215990                 NaN            NaN            NaN            NaN            NaN
  1456.48        2500.00        99.0997                 NaN            NaN  0.277333E-001            NaN  0.210264       0.662351                 NaN            NaN            NaN            NaN            NaN
  1454.89        2500.00        99.2031                 NaN            NaN  0.243124E-001            NaN  0.179337       0.593264                 NaN            NaN            NaN            NaN            NaN
  1453.30        2500.00        99.0056                 NaN            NaN  0.286070E-001            NaN  0.233840       0.731942                 NaN            NaN            NaN            NaN            NaN
  1451.71        2500.00        99.1129                 NaN            NaN  0.247632E-001            NaN  0.209262       0.653121                 NaN            NaN            NaN            NaN            NaN
  1450.12        2500.00        98.8290                 NaN            NaN  0.665980E-001            NaN  0.691068       0.267198                 NaN  0.146129                 NaN            NaN            NaN
  1448.53        2500.00        97.1470                 NaN            NaN  0.321366                 NaN  0.920498       0.604021                 NaN   1.00716                 NaN            NaN            NaN
  1446.94        2500.00        97.2111                 NaN            NaN  0.319290                 NaN  0.906408       0.577549                 NaN  0.985646                 NaN            NaN            NaN
  1445.35        2500.00        97.2716                 NaN            NaN  0.317644                 NaN  0.892550       0.552756                 NaN  0.965429                 NaN            NaN            NaN
  1443.76        2500.00        97.3330                 NaN            NaN  0.315764                 NaN  0.880167       0.526424                 NaN  0.944626                 NaN            NaN            NaN
  1442.17        2500.00        97.3903                 NaN            NaN  0.314513                 NaN  0.865677       0.504174                 NaN  0.925312                 NaN            NaN            NaN
  1440.58        2500.00        97.4468                 NaN            NaN  0.312323                 NaN  0.854254       0.480258                 NaN  0.906408                 NaN            NaN            NaN
  1438.99        2500.00        97.4966                 NaN            NaN  0.311445                 NaN  0.459072       0.842861                 NaN  0.889998                 NaN            NaN            NaN
  1437.39        2500.00        97.5528                 NaN            NaN  0.309887                 NaN  0.832847       0.433800                 NaN  0.870686                 NaN            NaN            NaN
  1435.80        2500.00        97.5987                 NaN            NaN  0.308561                 NaN  0.416601       0.820693                 NaN  0.855429                 NaN            NaN            NaN
  1434.21        2500.00        97.6495                 NaN            NaN  0.306628                 NaN  0.395715       0.810535                 NaN  0.837617                 NaN            NaN            NaN
  1432.62        2500.00        97.6933                 NaN            NaN  0.306074                 NaN  0.375836       0.801455                 NaN  0.823287                 NaN            NaN            NaN
  1431.03        2500.00        97.7249                 NaN            NaN  0.306992                 NaN  0.792620       0.361183                 NaN  0.814347                 NaN            NaN            NaN
  1429.44        2500.00        97.8111                 NaN            NaN  0.300314                 NaN  0.773406       0.333198                 NaN  0.782029                 NaN            NaN            NaN
  1427.85        2500.00        97.8252                 NaN            NaN  0.302375                 NaN  0.774534       0.319231                 NaN  0.778683                 NaN            NaN            NaN
  1426.26        2500.00        97.8670                 NaN            NaN  0.301370                 NaN  0.301618       0.765333                 NaN  0.764643                 NaN            NaN            NaN
  1424.67        2500.00        97.3273                 NaN            NaN  0.381295                 NaN  0.961313       0.367902                 NaN  0.962151                 NaN            NaN            NaN
  1423.08        2500.00        98.5586                 NaN            NaN  0.215819                 NaN  0.535869       0.173609                 NaN  0.516057                 NaN            NaN            NaN
  1421.49        2500.00        97.9783                 NaN            NaN  0.299366                 NaN  0.253256       0.742050                 NaN  0.727012                 NaN            NaN            NaN
  1419.90        2500.00        98.0190                 NaN            NaN  0.296839                 NaN  0.737270       0.234184                 NaN  0.712732                 NaN            NaN            NaN
  1418.31        2500.00        98.0521                 NaN            NaN  0.296203                 NaN  0.730545       0.219826                 NaN  0.701325                 NaN            NaN            NaN
  1416.72        2500.00        98.0847                 NaN            NaN  0.295518                 NaN  0.202009       0.727453                 NaN  0.690305                 NaN            NaN            NaN
  1415.13        2500.00        98.1180                 NaN            NaN  0.294637                 NaN  0.189366       0.719272                 NaN  0.678766                 NaN            NaN            NaN
  1413.54        2500.00        98.1487                 NaN            NaN  0.293893                 NaN  0.715142       0.173902                 NaN  0.668379                 NaN            NaN            NaN
  1411.95        2500.00        98.1822                 NaN            NaN  0.292536                 NaN  0.159980       0.708609                 NaN  0.656658                 NaN            NaN            NaN
  1410.36        2500.00        98.2117                 NaN            NaN  0.291611                 NaN  0.703974       0.146308                 NaN  0.646432                 NaN            NaN            NaN
  1408.77        2500.00        98.2392                 NaN            NaN  0.291211                 NaN  0.701454       0.131004                 NaN  0.637170                 NaN            NaN            NaN
  1407.17        2500.00        98.2711                 NaN            NaN  0.289217                 NaN  0.693598       0.120314                 NaN  0.625770                 NaN            NaN            NaN
  1405.58        2500.00        98.2969                 NaN            NaN  0.288678                 NaN  0.691065       0.106469                 NaN  0.616860                 NaN            NaN            NaN
  1403.99        2500.00        98.3219                 NaN            NaN  0.288267                 NaN  0.933939E-001  0.688099                 NaN  0.608362                 NaN            NaN            NaN
  1402.40        2500.00        98.3532                 NaN            NaN  0.285874                 NaN  0.681650       0.822337E-001            NaN  0.597073                 NaN            NaN            NaN
  1400.81        2500.00        98.3745                 NaN            NaN  0.285768                 NaN  0.683327       0.666338E-001            NaN  0.589791                 NaN            NaN            NaN
  1399.22        2500.00        98.4028                 NaN            NaN  0.283702                 NaN  0.590138E-001  0.674809                 NaN  0.579683                 NaN            NaN            NaN
  1397.63        2500.00        98.4252                 NaN            NaN  0.283444                 NaN  0.673158       0.459819E-001            NaN  0.572202                 NaN            NaN            NaN
  1396.04        2500.00        98.4516                 NaN            NaN  0.281233                 NaN  0.670723       0.340562E-001            NaN  0.562374                 NaN            NaN            NaN
  1394.45        2500.00        98.4749                 NaN            NaN  0.280502                 NaN  0.247981E-001  0.665356                 NaN  0.554467                 NaN            NaN            NaN
  1392.86        2500.00        98.4978                 NaN            NaN  0.279272                 NaN  0.661824       0.145901E-001            NaN  0.546465                 NaN            NaN            NaN
  1391.27        2500.00        98.5213                 NaN            NaN  0.277058                 NaN  0.660673       0.328683E-002            NaN  0.537731                 NaN            NaN            NaN
  1389.68        2500.00        98.5275                 NaN            NaN  0.272122                 NaN  0.655117       0.110070E-001            NaN  0.534213                 NaN            NaN            NaN
  1388.09        2500.00        98.5676                 NaN            NaN  0.270238                 NaN  0.641968                 NaN            NaN  0.520216                 NaN            NaN            NaN
  1386.50        2500.00        98.5813                 NaN            NaN  0.267545                 NaN  0.636040                 NaN            NaN  0.515126                 NaN            NaN            NaN
  1384.91        2500.00        98.6010                 NaN            NaN  0.265803                 NaN  0.625181                 NaN            NaN  0.508028                 NaN            NaN            NaN
  1383.32        2500.00        98.6209                 NaN            NaN  0.262343                 NaN  0.616443                 NaN            NaN  0.500354                 NaN            NaN            NaN
  1381.73        2500.00        98.6388                 NaN            NaN  0.256814                 NaN  0.611185                 NaN            NaN  0.493163                 NaN            NaN            NaN
  1380.14        2500.00        98.6587                 NaN            NaN  0.255676                 NaN  0.599634                 NaN            NaN  0.486026                 NaN            NaN            NaN
  1378.55        2500.00        98.6756                 NaN            NaN  0.249704                 NaN  0.595716                 NaN            NaN  0.478936                 NaN            NaN            NaN
  1376.95        2500.00        98.6932                 NaN            NaN  0.247630                 NaN  0.586788                 NaN            NaN  0.472401                 NaN            NaN            NaN
  1375.36        2500.00        98.7101                 NaN            NaN  0.242713                 NaN  0.581625                 NaN            NaN  0.465544                 NaN            NaN            NaN
  1373.77        2500.00        98.7279                 NaN            NaN  0.240426                 NaN  0.572833                 NaN            NaN  0.458833                 NaN            NaN            NaN
  1372.18        2500.00        98.7396                 NaN            NaN  0.230283                 NaN  0.577106                 NaN            NaN  0.453014                 NaN            NaN            NaN
  1370.59        2500.00        98.7636                 NaN            NaN  0.235984                 NaN  0.555241                 NaN            NaN  0.445183                 NaN            NaN            NaN
  1369.00        2500.00        98.7770                 NaN            NaN  0.233076                 NaN  0.549786                 NaN            NaN  0.440154                 NaN            NaN            NaN
  1367.41        2500.00        98.7697                 NaN            NaN  0.171629                 NaN  0.414462       0.212458                 NaN  0.431727                 NaN            NaN            NaN
  1365.82        2500.00        98.8115                 NaN            NaN  0.229559                 NaN  0.532146                 NaN            NaN  0.426756                 NaN            NaN            NaN
  1364.23        2500.00        98.8253                 NaN            NaN  0.226732                 NaN  0.526204                 NaN            NaN  0.421791                 NaN            NaN            NaN
  1362.64        2500.00        98.8381                 NaN            NaN  0.222866                 NaN  0.522422                 NaN            NaN  0.416583                 NaN            NaN            NaN
  1361.05        2500.00        98.8552                 NaN            NaN  0.222661                 NaN  0.511831                 NaN            NaN  0.410353                 NaN            NaN            NaN
  1359.46        2500.00        98.8686                 NaN            NaN  0.217822                 NaN  0.508831                 NaN            NaN  0.404723                 NaN            NaN            NaN
  1357.87        2500.00        98.8825                 NaN            NaN  0.215550                 NaN  0.502546                 NaN            NaN  0.399370                 NaN            NaN            NaN
  1356.28        2500.00        98.8941                 NaN            NaN  0.211185                 NaN  0.500366                 NaN            NaN  0.394303                 NaN            NaN            NaN
  1354.69        2500.00        98.9095                 NaN            NaN  0.208021                 NaN  0.494161                 NaN            NaN  0.388285                 NaN            NaN            NaN
  1353.10        2500.00        98.9205                 NaN            NaN  0.207687                 NaN  0.487257                 NaN            NaN  0.384514                 NaN            NaN            NaN
  1351.51        2500.00        98.9386                 NaN            NaN  0.204387                 NaN  0.480014                 NaN            NaN  0.376951                 NaN            NaN            NaN
  1349.92        2500.00        98.9481                 NaN            NaN  0.199146                 NaN  0.480055                 NaN            NaN  0.372697                 NaN            NaN            NaN
  1348.33        2500.00        98.9612                 NaN            NaN  0.197780                 NaN  0.473127                 NaN            NaN  0.367921                 NaN            NaN            NaN
  1346.73        2500.00        98.9722                 NaN            NaN  0.194518                 NaN  0.469984                 NaN            NaN  0.363303                 NaN            NaN            NaN
  1345.14        2500.00        98.9814                 NaN            NaN  0.195647                 NaN  0.461381                 NaN            NaN  0.361590                 NaN            NaN            NaN
  1343.55        2500.00        98.9987                 NaN            NaN  0.186399                 NaN  0.464071                 NaN            NaN  0.350858                 NaN            NaN            NaN
  1341.96        2500.00        99.0085                 NaN            NaN  0.184545                 NaN  0.458467                 NaN            NaN  0.348507                 NaN            NaN            NaN
  1340.37        2500.00        99.0197                 NaN            NaN  0.183383                 NaN  0.452260                 NaN            NaN  0.344692                 NaN            NaN            NaN
  1338.78        2500.00        99.0326                 NaN            NaN  0.177295                 NaN  0.451827                 NaN            NaN  0.338314                 NaN            NaN            NaN
  1337.19        2500.00        99.0293                 NaN            NaN  0.168349                 NaN  0.463465                 NaN            NaN  0.338874                 NaN            NaN            NaN
  1335.60        2500.00        99.0647                 NaN            NaN  0.173147                 NaN  0.435898                 NaN            NaN  0.326282                 NaN            NaN            NaN
  1334.01        2500.00        99.0649                 NaN            NaN  0.170955                 NaN  0.438465                 NaN            NaN  0.325634                 NaN            NaN            NaN
  1332.42        2500.00        99.0742                 NaN            NaN  0.168293                 NaN  0.435448                 NaN            NaN  0.322075                 NaN            NaN            NaN
  1330.83        2500.00        99.0831                 NaN            NaN  0.165824                 NaN  0.432539                 NaN            NaN  0.318503                 NaN            NaN            NaN
  1329.24        2500.00        99.0957                 NaN            NaN  0.162727                 NaN  0.428199                 NaN            NaN  0.313351                 NaN            NaN            NaN
  1327.65        2500.00        99.1043                 NaN            NaN  0.159532                 NaN  0.426402                 NaN            NaN  0.309765                 NaN            NaN            NaN
  1326.06        2500.00        99.1135                 NaN            NaN  0.156178                 NaN  0.424457                 NaN            NaN  0.305907                 NaN            NaN            NaN
  1324.47        2500.00        99.1221                 NaN            NaN  0.152608                 NaN  0.423151                 NaN            NaN  0.302117                 NaN            NaN            NaN
  1322.88        2500.00        99.1334                 NaN            NaN  0.149294                 NaN  0.419354                 NaN            NaN  0.297952                 NaN            NaN            NaN
  1321.29        2500.00        99.1405                 NaN            NaN  0.147801                 NaN  0.417057                 NaN            NaN  0.294630                 NaN            NaN            NaN
  1319.70        2500.00        99.1505                 NaN            NaN  0.143901                 NaN  0.415034                 NaN            NaN  0.290602                 NaN            NaN            NaN
  1318.11        2500.00        99.1590                 NaN            NaN  0.141137                 NaN  0.412632                 NaN            NaN  0.287250                 NaN            NaN            NaN
  1316.51        2500.00        99.1667                 NaN            NaN  0.137036                 NaN  0.412751                 NaN            NaN  0.283544                 NaN            NaN            NaN
  1314.92        2500.00        99.1738                 NaN            NaN  0.133424                 NaN  0.412290                 NaN            NaN  0.280442                 NaN            NaN            NaN
  1313.33        2500.00        99.1837                 NaN            NaN  0.129984                 NaN  0.409660                 NaN            NaN  0.276685                 NaN            NaN            NaN
  1311.74        2500.00        99.1917                 NaN            NaN  0.127989                 NaN  0.406986                 NaN            NaN  0.273354                 NaN            NaN            NaN
  1310.15        2500.00        99.1987                 NaN            NaN  0.123366                 NaN  0.407731                 NaN            NaN  0.270211                 NaN            NaN            NaN
