|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/TIS/TIS_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        iron           Sp(TH)         an             San(TH)        Opx(TH)        ilm            O(HP)          ne             lc            
  1439.56        2500.00        98.2816       0.583819       0.510192       0.297595E-001            NaN  0.594621                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.34        2500.00        98.3218       0.498070       0.570300       0.289153E-001            NaN  0.580937                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.12        2500.00        98.3644       0.485243       0.556360       0.280653E-001            NaN  0.565954                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.90        2500.00        98.4012       0.473309       0.544798       0.272444E-001            NaN  0.553420                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.68        2500.00        98.4381       0.532185       0.462743       0.264947E-001            NaN  0.540516                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.46        2500.00        98.4721       0.520475       0.452718       0.258525E-001            NaN  0.528829                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.23        2500.00        98.5080       0.441364       0.509163       0.250636E-001            NaN  0.516391                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.01        2500.00        98.5395       0.431807       0.498829       0.244174E-001            NaN  0.505474                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.79        2500.00        98.5711       0.422074       0.488526       0.237504E-001            NaN  0.494593                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.57        2500.00        98.6015       0.412481       0.478913       0.231136E-001            NaN  0.484011                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        98.6304       0.469333       0.403553       0.225335E-001            NaN  0.474166                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.13        2500.00        98.6589       0.459949       0.395055       0.219566E-001            NaN  0.464130                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.91        2500.00        98.6860       0.451182       0.386761       0.213865E-001            NaN  0.454628                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00        98.7132       0.378273       0.442547       0.208035E-001            NaN  0.445224                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        2500.00        98.7375       0.434815       0.370585       0.202811E-001            NaN  0.436779                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.25        2500.00        98.7616       0.426977       0.363194       0.197798E-001            NaN  0.428412                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.02        2500.00        98.7859       0.419129       0.355743       0.192782E-001            NaN  0.419946                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        2500.00        98.8097       0.411575       0.348364       0.187606E-001            NaN  0.411645                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.58        2500.00        98.8308       0.341706       0.404784       0.183334E-001            NaN  0.404337                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.36        2500.00        98.8531       0.334878       0.397665       0.178578E-001            NaN  0.396468                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.14        2500.00        98.8735       0.391205       0.328501       0.174217E-001            NaN  0.389412                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.92        2500.00        98.8925       0.384987       0.322541       0.170688E-001            NaN  0.382925                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.70        2500.00        98.9141       0.315939       0.378522       0.165198E-001            NaN  0.374909                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.48        2500.00        98.9329       0.372092       0.310225       0.161786E-001            NaN  0.368634                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.26        2500.00        98.9513       0.304332       0.366432       0.157737E-001            NaN  0.362139                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.04        2500.00        98.9685       0.361416       0.298482       0.154093E-001            NaN  0.356155                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.81        2500.00        98.9873       0.292831       0.355358       0.150033E-001            NaN  0.349481                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.59        2500.00        99.0036       0.287704       0.350248       0.146489E-001            NaN  0.343837                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.37        2500.00        99.0181       0.283179       0.345592       0.143154E-001            NaN  0.338810                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.15        2500.00        99.0359       0.277473       0.340349       0.139502E-001            NaN  0.332377                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.93        2500.00        99.0525       0.272494       0.334725       0.136214E-001            NaN  0.326629                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.71        2500.00        99.0671       0.267661       0.330482       0.132888E-001            NaN  0.321461                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.49        2500.00        99.0813       0.263083       0.326130       0.129834E-001            NaN  0.316489                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.27        2500.00        99.0962       0.321490       0.258432       0.126660E-001            NaN  0.311171                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.05        2500.00        99.1096       0.254142       0.317419       0.123444E-001            NaN  0.306520                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.83        2500.00        99.1236       0.312963       0.249744       0.120849E-001            NaN  0.301615                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.60        2500.00        99.1358       0.309416       0.245767       0.117933E-001            NaN  0.297266                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.38        2500.00        99.1511       0.304755       0.240963       0.114563E-001            NaN  0.291744                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.16        2500.00        99.1625       0.301283       0.237186       0.112285E-001            NaN  0.287834                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.94        2500.00        99.1750       0.297486       0.233178       0.109442E-001            NaN  0.283397                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.72        2500.00        99.1865       0.294032       0.229461       0.106786E-001            NaN  0.279327                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.50        2500.00        99.1988       0.290279       0.225524       0.104226E-001            NaN  0.274929                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.28        2500.00        99.2100       0.286925       0.221925       0.101665E-001            NaN  0.270981                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.06        2500.00        99.2212       0.218124       0.283769       0.991178E-002            NaN  0.267028                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.84        2500.00        99.2323       0.280330       0.214673       0.967891E-002            NaN  0.263042                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.62        2500.00        98.8677       0.414345       0.316507       0.139749E-001            NaN  0.387505                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.39        2500.00        99.6290       0.103175       0.136415       0.456257E-002            NaN  0.126873                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.17        2500.00        99.2633       0.270911       0.204720       0.900855E-002            NaN  0.252062                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.95        2500.00        99.2717       0.268700       0.201698       0.880677E-002            NaN  0.249117                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.73        2500.00        99.2848       0.197365       0.265015       0.849670E-002            NaN  0.244324                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.51        2500.00        99.2925       0.262627       0.194960       0.832251E-002            NaN  0.241624                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.29        2500.00        99.3019       0.259965       0.191716       0.810618E-002            NaN  0.238328                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.07        2500.00        99.3108       0.188764       0.257415       0.789715E-002            NaN  0.235138                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.85        2500.00        99.3192       0.255161       0.185720       0.771581E-002            NaN  0.232235                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00        99.3292       0.182719       0.252082       0.747834E-002            NaN  0.228482                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.41        2500.00        99.3366       0.180367       0.249763       0.732637E-002            NaN  0.225939                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.18        2500.00        99.3444       0.177745       0.247514       0.717161E-002            NaN  0.223211                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.96        2500.00        99.3537       0.245059       0.174607       0.688502E-002            NaN  0.219704                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.74        2500.00        99.3619       0.171676       0.242836       0.671756E-002            NaN  0.216876                 NaN            NaN            NaN            NaN            NaN            NaN
  1367.52        2500.00        99.3690       0.169267       0.240865       0.653712E-002            NaN  0.214349                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.30        2500.00        99.3766       0.166838       0.238585       0.635880E-002            NaN  0.211627                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.08        2500.00        99.3838       0.236867       0.164081       0.616494E-002            NaN  0.209038                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.86        2500.00        99.3915       0.161497       0.234713       0.599670E-002            NaN  0.206272                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.64        2500.00        99.3984       0.232709       0.159278       0.582775E-002            NaN  0.203801                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.42        2500.00        99.4055       0.230780       0.156777       0.566176E-002            NaN  0.201243                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.20        2500.00        99.4122       0.228988       0.154451       0.548685E-002            NaN  0.198851                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.97        2500.00        99.4191       0.227177       0.152032       0.532731E-002            NaN  0.196405                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.75        2500.00        99.4257       0.149819       0.225360       0.516232E-002            NaN  0.193991                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.53        2500.00        99.4320       0.147615       0.223609       0.503142E-002            NaN  0.191784                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.31        2500.00        99.4386       0.145094       0.222138       0.483341E-002            NaN  0.189366                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.09        2500.00        99.4444       0.143063       0.220538       0.468940E-002            NaN  0.187292                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.87        2500.00        99.4507       0.218971       0.140766       0.452379E-002            NaN  0.184991                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.65        2500.00        99.3854       0.318676       0.904932E-001  0.228791E-002            NaN  0.203102                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.43        2500.00        99.5339       0.113174       0.185982       0.637595E-002            NaN  0.160533                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.21        2500.00        99.4680       0.214318       0.134748       0.410752E-002            NaN  0.178819                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.99        2500.00        99.4727       0.213486       0.132672       0.394339E-002            NaN  0.177228                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.76        2500.00        99.4782       0.211453       0.131605       0.380978E-002            NaN  0.174906                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.54        2500.00        99.4860       0.128386       0.209744       0.364520E-002            NaN  0.172225                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        2500.00        99.4903       0.208779       0.126651       0.352763E-002            NaN  0.170772                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.10        2500.00        99.4952       0.207680       0.124774       0.338525E-002            NaN  0.169001                 NaN            NaN            NaN            NaN            NaN            NaN
  1341.88        2500.00        99.4999       0.206630       0.122952       0.323194E-002            NaN  0.167245                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.66        2500.00        99.5052       0.205392       0.120905       0.311382E-002            NaN  0.165407                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.44        2500.00        99.5101       0.119177       0.204168       0.296848E-002            NaN  0.163567                 NaN            NaN            NaN            NaN            NaN            NaN
  1338.22        2500.00        99.5149       0.117267       0.203105       0.285082E-002            NaN  0.161902                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.00        2500.00        99.5195       0.115463       0.202094       0.271026E-002            NaN  0.160211                 NaN            NaN            NaN            NaN            NaN            NaN
  1335.78        2500.00        99.5239       0.113718       0.201138       0.258459E-002            NaN  0.158657                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.55        2500.00        99.5287       0.111796       0.200130       0.244822E-002            NaN  0.156905                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.5331       0.110219       0.199051       0.232566E-002            NaN  0.155272                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.11        2500.00        99.5374       0.108557       0.198082       0.220128E-002            NaN  0.153725                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.89        2500.00        99.5416       0.106970       0.197098       0.208642E-002            NaN  0.152254                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.67        2500.00        99.5457       0.196738       0.104782       0.195846E-002            NaN  0.150797                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.45        2500.00        99.5504       0.103338       0.195385       0.183108E-002            NaN  0.149028                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.23        2500.00        99.5541       0.101742       0.194610       0.173981E-002            NaN  0.147772                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.01        2500.00        99.5581       0.100178       0.193912       0.159495E-002            NaN  0.146264                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.79        2500.00        99.5618       0.193326       0.983993E-001  0.149425E-002            NaN  0.144997                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.57        2500.00        99.5659       0.970035E-001  0.192296       0.135675E-002            NaN  0.143465                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.34        2500.00        99.5694       0.951502E-001  0.192017       0.122813E-002            NaN  0.142197                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.12        2500.00        81.7232        1.72540        2.28979       0.121930                 NaN   2.29191        11.8478                 NaN            NaN            NaN            NaN            NaN
  1319.90        2500.00        78.8487        2.00861        2.56525       0.146807                 NaN   2.61782        13.8129                 NaN            NaN            NaN            NaN            NaN
  1318.68        2500.00        83.2908        1.60791        2.01132       0.119743                 NaN   2.07045        10.8998                 NaN            NaN            NaN            NaN            NaN
  1317.46        2500.00        86.3026        1.33203        1.64261       0.100726                 NaN   1.70006        8.92199                 NaN            NaN            NaN            NaN            NaN
  1316.24        2500.00        88.4590        1.13159        1.38283       0.868519E-001            NaN   1.43515        7.50461                 NaN            NaN            NaN            NaN            NaN
  1315.02        2500.00        90.0657        1.19234       0.980465       0.762573E-001            NaN   1.23790        6.44736                 NaN            NaN            NaN            NaN            NaN
  1313.80        2500.00        91.3035        1.04826       0.863140       0.677604E-001            NaN   1.08608        5.63122                 NaN            NaN            NaN            NaN            NaN
  1312.58        2500.00        92.2771       0.936760       0.769848       0.609576E-001            NaN  0.966783        4.98852                 NaN            NaN            NaN            NaN            NaN
  1311.36        2500.00        93.0646       0.847592       0.693891       0.553753E-001            NaN  0.870192        4.46833                 NaN            NaN            NaN            NaN            NaN
  1310.13        2500.00        93.7135       0.630805       0.775101       0.506729E-001            NaN  0.790530        4.03938                 NaN            NaN            NaN            NaN            NaN
  1308.91        2500.00        94.2507       0.716557       0.578070       0.466489E-001            NaN  0.724613        3.68343                 NaN            NaN            NaN            NaN            NaN
  1307.69        2500.00        94.7055       0.533178       0.667731       0.431412E-001            NaN  0.668898        3.38151                 NaN            NaN            NaN            NaN            NaN
  1306.47        2500.00        95.0966       0.494502       0.626040       0.401335E-001            NaN  0.620683        3.12205                 NaN            NaN            NaN            NaN            NaN
  1305.25        2500.00        95.4308       0.590378       0.461294       0.375508E-001            NaN  0.579541        2.90040                 NaN            NaN            NaN            NaN            NaN
  1304.03        2500.00        95.7221       0.431547       0.561546       0.350880E-001            NaN  0.543818        2.70591                 NaN            NaN            NaN            NaN            NaN
  1302.81        2500.00        95.9794       0.406125       0.534861       0.329911E-001            NaN  0.511948        2.53463                 NaN            NaN            NaN            NaN            NaN
  1301.59        2500.00        96.2027       0.512648       0.383407       0.311170E-001            NaN  0.484418        2.38570                 NaN            NaN            NaN            NaN            NaN
  1300.37        2500.00        96.4024       0.492759       0.363329       0.294175E-001            NaN  0.459685        2.25244                 NaN            NaN            NaN            NaN            NaN
  1299.15        2500.00        96.5817       0.475493       0.345088       0.278288E-001            NaN  0.437514        2.13235                 NaN            NaN            NaN            NaN            NaN
  1297.92        2500.00        96.7442       0.328307       0.459922       0.264132E-001            NaN  0.417270        2.02387                 NaN            NaN            NaN            NaN            NaN
  1296.70        2500.00        96.8858       0.447254       0.313264       0.250918E-001            NaN  0.399750        1.92887                 NaN            NaN            NaN            NaN            NaN
  1295.48        2500.00        97.0218       0.433938       0.299757       0.238839E-001            NaN  0.382665        1.83796                 NaN            NaN            NaN            NaN            NaN
  1294.26        2500.00        97.1396       0.287374       0.423580       0.227769E-001            NaN  0.368001        1.75868                 NaN            NaN            NaN            NaN            NaN
  1293.04        2500.00        97.2489       0.275854       0.413691       0.217436E-001            NaN  0.354257        1.68554                 NaN            NaN            NaN            NaN            NaN
  1291.82        2500.00        97.3506       0.265177       0.404745       0.207987E-001            NaN  0.341528        1.61713                 NaN            NaN            NaN            NaN            NaN
  1290.60        2500.00        97.4419       0.396557       0.255874       0.198996E-001            NaN  0.330103        1.55568                 NaN            NaN            NaN            NaN            NaN
  1289.38        2500.00        97.5276       0.247314       0.388648       0.190861E-001            NaN  0.319175        1.49821                 NaN            NaN            NaN            NaN            NaN
  1288.16        2500.00        97.6078       0.238381       0.382233       0.182723E-001            NaN  0.309054        1.44426                 NaN            NaN            NaN            NaN            NaN
  1286.94        2500.00        97.6809       0.376132       0.230634       0.175460E-001            NaN  0.299844        1.39498                 NaN            NaN            NaN            NaN            NaN
  1285.71        2500.00        97.7489       0.370825       0.223394       0.168420E-001            NaN  0.291278        1.34872                 NaN            NaN            NaN            NaN            NaN
  1284.49        2500.00        96.8960       0.339946                 NaN  0.274304E-001            NaN  0.192187        2.06856       0.454905       0.209922E-001            NaN            NaN            NaN
  1283.27        2500.00        96.1408                 NaN            NaN  0.134254E-001            NaN  0.199142        2.71884       0.629446       0.785198E-001  0.219865                 NaN            NaN
  1282.05        2500.00        95.9593                 NaN            NaN  0.919847E-002            NaN  0.220312        2.82161       0.632268       0.826157E-001  0.274658                 NaN            NaN
  1280.83        2500.00        95.9810                 NaN            NaN  0.106022E-001            NaN  0.201592        2.80982       0.651530       0.767605E-001  0.268736                 NaN            NaN
  1279.61        2500.00        90.8137                 NaN            NaN  0.944603E-002            NaN  0.366197        5.64222        1.33146       0.139596       0.543986        1.15340                 NaN
  1278.39        2500.00        84.3020                 NaN            NaN  0.145482E-001            NaN  0.598379        9.41151        2.25455       0.224614       0.899969        2.29442                 NaN
  1277.17        2500.00        90.9953                 NaN            NaN  0.642525E-002            NaN  0.341898        5.42813        1.26664       0.131825       0.519945        1.30982                 NaN
  1275.95        2500.00        89.1416                 NaN            NaN  0.712115E-002            NaN  0.411834        6.51989        1.54324       0.156475       0.628502        1.59136                 NaN
  1274.73        2500.00        90.0543                 NaN            NaN  0.646001E-002            NaN  0.375369        5.97569        1.41149       0.143092       0.574270        1.45934                 NaN
  1273.50        2500.00        90.7117                 NaN            NaN  0.215539E-001            NaN  0.329056        5.61165        1.37099       0.112079       0.493245        1.34972                 NaN
  1272.28        2500.00        91.5339                 NaN            NaN            NaN            NaN  0.319254        5.09992        1.17169       0.130783       0.499435        1.24504                 NaN
  1271.06        2500.00        92.1083                 NaN            NaN            NaN            NaN  0.298984        4.74522        1.09500       0.118922       0.467477        1.16612                 NaN
  1269.84        2500.00        92.3214                 NaN            NaN            NaN            NaN  0.288240        4.62661        1.06164       0.116308       0.451252        1.13450                 NaN
  1268.62        2500.00        92.1932        1.31142                 NaN            NaN            NaN  0.740175        3.93926                 NaN  0.188990       0.232840        1.39408                 NaN
  1267.40        2500.00        84.0218        2.72230                 NaN  0.127851E-001            NaN   1.52662        8.08283                 NaN  0.364922       0.426109        2.84267                 NaN
  1266.18        2500.00        99.9999                 NaN            NaN            NaN            NaN  0.644964E-005  0.249730E-004  0.955326E-005            NaN  0.406574E-005  0.507155E-005            NaN
  1264.96        2500.00        99.9990                 NaN            NaN            NaN            NaN  0.273731E-004  0.580056E-003  0.144561E-003  0.126123E-004  0.564878E-004  0.134384E-003            NaN
  1263.74        2500.00        88.3660        1.03541        1.49594                 NaN            NaN   1.05051        5.54090       0.194540       0.194545                 NaN   2.12211                 NaN
  1262.52        2500.00        90.4851        1.52701                 NaN            NaN            NaN  0.577017        4.89328       0.784262       0.111612                 NaN   1.62175                 NaN
  1261.29        2500.00        92.8579        1.13290                 NaN  0.184226E-001            NaN  0.689746        3.70503                 NaN  0.129865       0.239949        1.22622                 NaN
  1260.07        2500.00        99.9999       0.149931E-004  0.166432E-004            NaN            NaN  0.133061E-004  0.635417E-004            NaN  0.242415E-005            NaN  0.250182E-004            NaN
  1258.85        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN  0.780321E-005            NaN            NaN            NaN  0.125675E-005            NaN
  1257.63        2500.00        69.8562        2.93523        3.54865                 NaN            NaN   2.76108        14.8131       0.145280       0.513251                 NaN   5.42716                 NaN
  1256.41        2500.00        99.9999       0.180638E-005            NaN            NaN            NaN            NaN  0.731719E-004  0.304924E-004  0.122057E-005            NaN  0.151457E-004            NaN
  1255.19        2500.00        90.1715        1.38681       0.560532E-004            NaN            NaN  0.510080        5.41670       0.746873       0.113543                 NaN   1.65443                 NaN
  1253.97        2500.00                 NaN   2.72614        13.0273                 NaN            NaN   6.25307        49.1701        4.68186        1.21570                 NaN   16.4069        6.51903     
  1252.75        2500.00                 NaN   2.72619        13.0275                 NaN            NaN   6.25329        49.1987        4.68191        1.21573                 NaN   16.4196        6.47699     
  1251.53        2500.00                 NaN   2.72624        13.0278                 NaN            NaN   6.25351        49.2275        4.68197        1.21575                 NaN   16.4325        6.43474     
  1250.31        2500.00                 NaN   2.72629        13.0281                 NaN            NaN   6.25373        49.2565        4.68202        1.21578                 NaN   16.4453        6.39228     
  1249.08        2500.00                 NaN   2.72633        13.0284                 NaN            NaN   6.25395        49.2856        4.68208        1.21580                 NaN   16.4583        6.34961     
  1247.86        2500.00                 NaN   2.72638        13.0286                 NaN            NaN   6.25417        49.3148        4.68213        1.21582                 NaN   16.4713        6.30672     
  1246.64        2500.00                 NaN   2.72643        13.0289                 NaN            NaN   6.25440        49.3442        4.68219        1.21585                 NaN   16.4844        6.26361     
