|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1581.50        500.000                 NaN   99.1067       0.867316                 NaN  0.260265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.97        500.000                 NaN   99.1133       0.862381                 NaN  0.243647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.45        500.000                 NaN   99.0638       0.910720                 NaN  0.254688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000                 NaN   99.1924       0.785145                 NaN  0.224673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.39        500.000                 NaN   99.1408       0.836632                 NaN  0.225539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000                 NaN   99.1482       0.830360                 NaN  0.214529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.34        500.000                 NaN   99.1557       0.825044                 NaN  0.193005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.81        500.000                 NaN   99.1632       0.818240                 NaN  0.185417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.29        500.000                 NaN   99.1631       0.818202                 NaN  0.186571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000                 NaN   98.5242        1.46971                 NaN  0.605878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.24        500.000                 NaN   99.8631       0.104192                 NaN  0.327139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000                 NaN   99.1977       0.777591                 NaN  0.247189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.18        500.000                 NaN   99.2007       0.794896                 NaN  0.444133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000                 NaN   99.2086       0.777938                 NaN  0.134540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.13        500.000                 NaN   99.2148       0.773696                 NaN  0.114800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.60        500.000                 NaN   99.2224       0.757101                 NaN  0.204559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.08        500.000                 NaN   99.2330       0.717057                 NaN  0.499058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        500.000                 NaN   99.2366       0.762426                 NaN  0.973613E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.03        500.000                 NaN   99.2408       0.759243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        500.000                 NaN   99.2485       0.751114                 NaN  0.336200E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.97        500.000                 NaN   99.2579       0.725211                 NaN  0.168436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        500.000                 NaN   99.2636       0.716571                 NaN  0.198154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.92        500.000                 NaN   99.2677       0.722841                 NaN  0.949498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.39        500.000                 NaN   99.2718       0.728249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000                 NaN   99.8913       0.782060E-001            NaN  0.304839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        500.000                 NaN   98.6807        1.31926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.82        500.000                 NaN   99.2852       0.714778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.29        500.000                 NaN   99.3149       0.572978                 NaN  0.112151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.76        500.000                 NaN   99.3019       0.698082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.3081       0.686925                 NaN  0.502045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        500.000                 NaN   99.2755       0.724516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.18        500.000                 NaN   99.3561       0.643859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.66        500.000                 NaN   99.3233       0.676715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        500.000                 NaN   99.3295       0.670541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.61        500.000                 NaN   99.3332       0.666823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.08        500.000                 NaN   99.3378       0.662186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.55        500.000                 NaN   99.3438       0.656169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN   99.3480       0.652003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.50        500.000                 NaN   99.3565       0.643515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        500.000                 NaN   99.3654       0.634631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.45        500.000                 NaN   99.3544       0.644020                 NaN  0.156300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.3674       0.632634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.40        500.000                 NaN   99.3695       0.630505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.87        500.000                 NaN   99.3770       0.623032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.34        500.000                 NaN   99.3790       0.621037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000                 NaN   99.3837       0.616329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.29        500.000                 NaN   99.3887       0.611302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.76        500.000                 NaN   99.3951       0.604915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN   99.3965       0.603550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.71        500.000                 NaN   99.4002       0.599760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.19        500.000                 NaN   99.4050       0.595016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        500.000                 NaN   99.3756       0.451731                 NaN            NaN  0.172699                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.13        500.000                 NaN   99.3179       0.180839                 NaN            NaN  0.501301                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000                 NaN   99.2713       0.604537E-002            NaN            NaN  0.722691                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.08        500.000                 NaN   99.0870       0.477671E-001            NaN            NaN  0.865251                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.55        500.000                 NaN   99.4652                 NaN            NaN            NaN  0.534785                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.03        500.000                 NaN   99.2759                 NaN            NaN            NaN  0.724067                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        500.000                 NaN   99.2757                 NaN            NaN            NaN  0.724301                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        500.000                 NaN   99.2761                 NaN            NaN            NaN  0.723897                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.45        500.000                 NaN   99.3181                 NaN            NaN            NaN  0.681905                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.92        500.000                 NaN   99.2321                 NaN            NaN            NaN  0.767916                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        500.000                 NaN   99.2765                 NaN            NaN            NaN  0.723533                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.87        500.000                 NaN   99.2690                 NaN            NaN            NaN  0.731018                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.34        500.000                 NaN   99.3135                 NaN            NaN            NaN  0.686548                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.82        500.000                 NaN   99.2274                 NaN            NaN            NaN  0.772617                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.29        500.000                 NaN   99.2546                 NaN            NaN            NaN  0.745357                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000                 NaN   99.2473                 NaN            NaN            NaN  0.752709                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.24        500.000                 NaN   99.1649       0.134265                 NaN            NaN  0.700856                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.71        500.000                 NaN   98.5334                 NaN            NaN            NaN  0.607938       0.858679                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000                 NaN   98.7933                 NaN            NaN            NaN  0.739744       0.466928                 NaN            NaN            NaN            NaN            NaN
  1474.66        500.000                 NaN   98.8104                 NaN            NaN            NaN  0.728614       0.461013                 NaN            NaN            NaN            NaN            NaN
  1473.13        500.000                 NaN   98.8224                 NaN            NaN            NaN  0.454561       0.723053                 NaN            NaN            NaN            NaN            NaN
  1471.61        500.000                 NaN   99.0975       0.175713E-001            NaN            NaN  0.884880                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.08        500.000                 NaN   98.5860                 NaN            NaN            NaN  0.555748       0.858294                 NaN            NaN            NaN            NaN            NaN
  1468.56        500.000                 NaN   99.1261                 NaN            NaN            NaN  0.873935                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000                 NaN   98.6069                 NaN            NaN            NaN  0.536736       0.856391                 NaN            NaN            NaN            NaN            NaN
  1465.50        500.000                 NaN   99.1422       0.666813E-002            NaN            NaN  0.851160                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        500.000                 NaN   98.6422                 NaN            NaN            NaN  0.526494       0.831331                 NaN            NaN            NaN            NaN            NaN
  1462.45        500.000                 NaN   99.1675                 NaN            NaN            NaN  0.832534                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        500.000                 NaN   99.0220       0.231169                 NaN            NaN  0.746835                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.40        500.000                 NaN   98.5872                 NaN            NaN            NaN  0.445928       0.966873                 NaN            NaN            NaN            NaN            NaN
  1457.87        500.000                 NaN   98.9445                 NaN            NaN            NaN  0.655557       0.399941                 NaN            NaN            NaN            NaN            NaN
  1456.35        500.000                 NaN   99.1909                 NaN            NaN            NaN  0.809146                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.82        500.000                 NaN   98.7298                 NaN            NaN            NaN  0.775298       0.494906                 NaN            NaN            NaN            NaN            NaN
  1453.29        500.000                 NaN   98.9767                 NaN            NaN            NaN  0.638181       0.385086                 NaN            NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN   98.9867                 NaN            NaN            NaN  0.381162       0.632167                 NaN            NaN            NaN            NaN            NaN
  1450.24        500.000                 NaN   99.1952       0.314404E-001            NaN            NaN  0.773395                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.71        500.000                 NaN   98.8103                 NaN            NaN            NaN  0.488884       0.700836                 NaN            NaN            NaN            NaN            NaN
  1447.19        500.000                 NaN   98.7639                 NaN            NaN            NaN  0.509166       0.390569                 NaN  0.336406                 NaN            NaN            NaN
  1445.66        500.000                 NaN   94.6470                 NaN  0.114350                 NaN   1.76307        2.01245                 NaN   1.46316                 NaN            NaN            NaN
  1444.14        500.000                 NaN   95.8126                 NaN  0.151342                 NaN   1.45646        1.33870                 NaN   1.24091                 NaN            NaN            NaN
  1442.61        500.000                 NaN   96.0029                 NaN  0.143492                 NaN   1.27898        1.38870                 NaN   1.18592                 NaN            NaN            NaN
  1441.08        500.000                 NaN   96.1802                 NaN  0.136136                 NaN   1.22278        1.32640                 NaN   1.13444                 NaN            NaN            NaN
  1439.56        500.000                 NaN   96.3419                 NaN  0.129446                 NaN   1.26778        1.17339                 NaN   1.08748                 NaN            NaN            NaN
  1438.03        500.000                 NaN   96.4944                 NaN  0.123108                 NaN   1.12538        1.21403                 NaN   1.04314                 NaN            NaN            NaN
  1436.50        500.000                 NaN   96.6334                 NaN  0.117595                 NaN   1.16551        1.08069                 NaN   1.00279                 NaN            NaN            NaN
  1434.98        500.000                 NaN   97.9548                 NaN  0.114448                 NaN   1.29695                 NaN            NaN  0.633794                 NaN            NaN            NaN
  1433.45        500.000                 NaN   95.7010                 NaN  0.102756                 NaN  0.769699        2.16949                 NaN   1.25706                 NaN            NaN            NaN
  1431.93        500.000                 NaN   96.9962                 NaN  0.102960                 NaN   1.03714       0.966489                 NaN  0.897188                 NaN            NaN            NaN
  1430.40        500.000                 NaN   97.1048                 NaN  0.982997E-001            NaN  0.932984       0.998887                 NaN  0.865054                 NaN            NaN            NaN
  1428.87        500.000                 NaN   97.2016                 NaN  0.943090E-001            NaN  0.964772       0.902513                 NaN  0.836775                 NaN            NaN            NaN
  1427.35        500.000                 NaN   97.2929                 NaN  0.904983E-001            NaN  0.873293       0.933194                 NaN  0.810069                 NaN            NaN            NaN
  1425.82        500.000                 NaN   97.3834                 NaN  0.869887E-001            NaN  0.901145       0.844852                 NaN  0.783574                 NaN            NaN            NaN
  1424.29        500.000                 NaN   97.4650                 NaN  0.836575E-001            NaN  0.872530       0.819261                 NaN  0.759519                 NaN            NaN            NaN
  1422.77        500.000                 NaN   97.5413                 NaN  0.806605E-001            NaN  0.795781       0.845144                 NaN  0.737111                 NaN            NaN            NaN
  1421.24        500.000                 NaN   97.6150                 NaN  0.776931E-001            NaN  0.821237       0.770448                 NaN  0.715635                 NaN            NaN            NaN
  1419.72        500.000                 NaN   97.6901                 NaN  0.744814E-001            NaN  0.794585       0.747652                 NaN  0.693199                 NaN            NaN            NaN
  1418.19        500.000                 NaN   97.7536                 NaN  0.721485E-001            NaN  0.727722       0.771853                 NaN  0.674673                 NaN            NaN            NaN
  1416.66        500.000                 NaN   97.8166                 NaN  0.695581E-001            NaN  0.707997       0.749828                 NaN  0.656033                 NaN            NaN            NaN
  1415.14        500.000                 NaN   97.8760                 NaN  0.673634E-001            NaN  0.729194       0.688946                 NaN  0.638460                 NaN            NaN            NaN
  1413.61        500.000                 NaN   97.9352                 NaN  0.647048E-001            NaN  0.670005       0.709191                 NaN  0.620862                 NaN            NaN            NaN
  1412.08        500.000                 NaN   97.9876                 NaN  0.627156E-001            NaN  0.691212       0.653087                 NaN  0.605405                 NaN            NaN            NaN
  1410.56        500.000                 NaN   98.5921                 NaN  0.783190E-001            NaN  0.889656                 NaN            NaN  0.439885                 NaN            NaN            NaN
  1409.03        500.000                 NaN   97.5412                 NaN  0.394925E-001            NaN  0.381860        1.31377                 NaN  0.723648                 NaN            NaN            NaN
  1407.51        500.000                 NaN   98.1394                 NaN  0.565476E-001            NaN  0.604658       0.639079                 NaN  0.560285                 NaN            NaN            NaN
  1405.98        500.000                 NaN   98.1847                 NaN  0.547700E-001            NaN  0.590079       0.623635                 NaN  0.546834                 NaN            NaN            NaN
  1404.45        500.000                 NaN   98.2286                 NaN  0.529535E-001            NaN  0.608554       0.576261                 NaN  0.533650                 NaN            NaN            NaN
  1402.93        500.000                 NaN   98.2707                 NaN  0.512528E-001            NaN  0.562495       0.594509                 NaN  0.521073                 NaN            NaN            NaN
  1401.40        500.000                 NaN   98.3118                 NaN  0.495720E-001            NaN  0.549081       0.580743                 NaN  0.508800                 NaN            NaN            NaN
  1399.88        500.000                 NaN   98.3503                 NaN  0.480252E-001            NaN  0.567633       0.536670                 NaN  0.497349                 NaN            NaN            NaN
  1398.35        500.000                 NaN   98.3883                 NaN  0.465157E-001            NaN  0.524533       0.554798                 NaN  0.485898                 NaN            NaN            NaN
  1396.82        500.000                 NaN   98.4222                 NaN  0.451575E-001            NaN  0.513623       0.543283                 NaN  0.475702                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.4607                 NaN  0.435457E-001            NaN  0.500869       0.530842                 NaN  0.464007                 NaN            NaN            NaN
  1393.77        500.000                 NaN   98.4924                 NaN  0.422033E-001            NaN  0.490859       0.520062                 NaN  0.454504                 NaN            NaN            NaN
  1392.24        500.000                 NaN   98.5198                 NaN  0.413877E-001            NaN  0.510838       0.481438                 NaN  0.446529                 NaN            NaN            NaN
  1390.72        500.000                 NaN   98.5615                 NaN  0.394387E-001            NaN  0.497484       0.468022                 NaN  0.433514                 NaN            NaN            NaN
  1389.19        500.000                 NaN   98.5864                 NaN  0.384068E-001            NaN  0.459887       0.489081                 NaN  0.426178                 NaN            NaN            NaN
  1387.67        500.000                 NaN   98.6140                 NaN  0.374045E-001            NaN  0.450717       0.479769                 NaN  0.418062                 NaN            NaN            NaN
  1386.14        500.000                 NaN   98.6465                 NaN  0.358835E-001            NaN  0.439580       0.470198                 NaN  0.407800                 NaN            NaN            NaN
  1384.61        500.000                 NaN   98.6720                 NaN  0.348595E-001            NaN  0.461113       0.431793                 NaN  0.400213                 NaN            NaN            NaN
  1383.09        500.000                 NaN   98.6940                 NaN  0.338595E-001            NaN  0.424717       0.453836                 NaN  0.393612                 NaN            NaN            NaN
  1381.56        500.000                 NaN   98.7282                 NaN  0.325635E-001            NaN  0.413245       0.442977                 NaN  0.382994                 NaN            NaN            NaN
  1380.03        500.000                 NaN   98.7485                 NaN  0.316972E-001            NaN  0.406739       0.436017                 NaN  0.377067                 NaN            NaN            NaN
  1378.51        500.000                 NaN   98.7721                 NaN  0.305415E-001            NaN  0.398544       0.429158                 NaN  0.369657                 NaN            NaN            NaN
  1376.98        500.000                 NaN   98.7977                 NaN  0.296232E-001            NaN  0.420792       0.389859                 NaN  0.361977                 NaN            NaN            NaN
  1375.46        500.000                 NaN   98.8198                 NaN  0.286743E-001            NaN  0.413686       0.382681                 NaN  0.355187                 NaN            NaN            NaN
  1373.93        500.000                 NaN   98.8416                 NaN  0.277889E-001            NaN  0.375291       0.406727                 NaN  0.348549                 NaN            NaN            NaN
  1372.40        500.000                 NaN   98.8628                 NaN  0.268346E-001            NaN  0.368190       0.400130                 NaN  0.342050                 NaN            NaN            NaN
  1370.88        500.000                 NaN   98.8841                 NaN  0.259445E-001            NaN  0.361018       0.393396                 NaN  0.335497                 NaN            NaN            NaN
  1369.35        500.000                 NaN   98.9045                 NaN  0.250744E-001            NaN  0.354155       0.387039                 NaN  0.329220                 NaN            NaN            NaN
  1367.82        500.000                 NaN   98.9239                 NaN  0.242263E-001            NaN  0.380957       0.347686                 NaN  0.323264                 NaN            NaN            NaN
  1366.30        500.000                 NaN   98.9435                 NaN  0.232977E-001            NaN  0.340693       0.375324                 NaN  0.317211                 NaN            NaN            NaN
  1364.77        500.000                 NaN   98.9621                 NaN  0.226145E-001            NaN  0.334583       0.369186                 NaN  0.311470                 NaN            NaN            NaN
  1363.25        500.000                 NaN   98.9799                 NaN  0.217802E-001            NaN  0.328541       0.363686                 NaN  0.306049                 NaN            NaN            NaN
  1361.72        500.000                 NaN   98.9986                 NaN  0.209043E-001            NaN  0.358257       0.322032                 NaN  0.300173                 NaN            NaN            NaN
  1360.19        500.000                 NaN   99.0154                 NaN  0.201671E-001            NaN  0.353143       0.316303                 NaN  0.294959                 NaN            NaN            NaN
  1358.67        500.000                 NaN   99.0321                 NaN  0.193724E-001            NaN  0.310510       0.348189                 NaN  0.289828                 NaN            NaN            NaN
  1357.14        500.000                 NaN   99.0476                 NaN  0.185735E-001            NaN  0.304797       0.344003                 NaN  0.285006                 NaN            NaN            NaN
  1355.61        500.000                 NaN   99.0651                 NaN  0.178182E-001            NaN  0.299096       0.338397                 NaN  0.279539                 NaN            NaN            NaN
  1354.09        500.000                 NaN   99.0764                 NaN  0.176122E-001            NaN  0.334205       0.295372                 NaN  0.276369                 NaN            NaN            NaN
  1352.56        500.000                 NaN   99.1000                 NaN  0.163384E-001            NaN  0.328322       0.286788                 NaN  0.268553                 NaN            NaN            NaN
  1351.04        500.000                 NaN   99.1107                 NaN  0.157477E-001            NaN  0.283013       0.325120                 NaN  0.265372                 NaN            NaN            NaN
  1349.51        500.000                 NaN   99.1249                 NaN  0.150622E-001            NaN  0.277967       0.321066                 NaN  0.260962                 NaN            NaN            NaN
  1347.98        500.000                 NaN   99.1390                 NaN  0.143884E-001            NaN  0.272982       0.317057                 NaN  0.256541                 NaN            NaN            NaN
  1346.46        500.000                 NaN   99.1529                 NaN  0.137486E-001            NaN  0.313016       0.268080                 NaN  0.252227                 NaN            NaN            NaN
  1344.93        500.000                 NaN   99.1664                 NaN  0.130836E-001            NaN  0.263292       0.309216                 NaN  0.248017                 NaN            NaN            NaN
  1343.40        500.000                 NaN   99.1781                 NaN  0.124665E-001            NaN  0.258530       0.306492                 NaN  0.244442                 NaN            NaN            NaN
  1341.88        500.000                 NaN   99.1935                 NaN  0.117259E-001            NaN  0.301457       0.253925                 NaN  0.239389                 NaN            NaN            NaN
  1340.35        500.000                 NaN   99.2049                 NaN  0.111318E-001            NaN  0.249302       0.298699                 NaN  0.235926                 NaN            NaN            NaN
  1338.83        500.000                 NaN   99.2173                 NaN  0.105715E-001            NaN  0.244960       0.295110                 NaN  0.232085                 NaN            NaN            NaN
  1337.30        500.000                 NaN   99.2293                 NaN  0.996354E-002            NaN  0.240461       0.291941                 NaN  0.228310                 NaN            NaN            NaN
  1335.77        500.000                 NaN   99.2406                 NaN  0.940045E-002            NaN  0.236325       0.288868                 NaN  0.224809                 NaN            NaN            NaN
  1334.25        500.000                 NaN   99.2529                 NaN  0.870951E-002            NaN  0.285858       0.231566                 NaN  0.220927                 NaN            NaN            NaN
  1332.72        500.000                 NaN   99.2636                 NaN  0.815197E-002            NaN  0.282767       0.227947                 NaN  0.217528                 NaN            NaN            NaN
  1331.19        500.000                 NaN   99.2738                 NaN  0.771605E-002            NaN  0.280169       0.223916                 NaN  0.214410                 NaN            NaN            NaN
  1329.67        500.000                 NaN   99.2848                 NaN  0.704740E-002            NaN  0.276950       0.220393                 NaN  0.210835                 NaN            NaN            NaN
  1328.14        500.000                 NaN   99.2969                 NaN  0.634852E-002            NaN  0.215105       0.274679                 NaN  0.206985                 NaN            NaN            NaN
  1326.62        500.000                 NaN   99.3060                 NaN  0.578222E-002            NaN  0.272230       0.211827                 NaN  0.204163                 NaN            NaN            NaN
  1325.09        500.000                 NaN   99.3160                 NaN  0.525484E-002            NaN  0.208173       0.269616                 NaN  0.201004                 NaN            NaN            NaN
  1323.56        500.000                 NaN   99.3257                 NaN  0.473045E-002            NaN  0.204346       0.267252                 NaN  0.197947                 NaN            NaN            NaN
  1322.04        500.000                 NaN   99.3353                 NaN  0.426016E-002            NaN  0.200784       0.264707                 NaN  0.194996                 NaN            NaN            NaN
  1320.51        500.000                 NaN   99.3443                 NaN  0.363252E-002            NaN  0.262801       0.197213                 NaN  0.192087                 NaN            NaN            NaN
  1318.98        500.000                 NaN   99.3541                 NaN  0.307781E-002            NaN  0.193264       0.260560                 NaN  0.188964                 NaN            NaN            NaN
  1317.46        500.000                 NaN   99.3627                 NaN  0.254777E-002            NaN  0.189958       0.258513                 NaN  0.186260                 NaN            NaN            NaN
  1315.93        500.000                 NaN   99.3714                 NaN  0.204572E-002            NaN  0.186513       0.256526                 NaN  0.183508                 NaN            NaN            NaN
  1314.41        500.000                 NaN   99.3801                 NaN  0.154013E-002            NaN  0.182938       0.254630                 NaN  0.180834                 NaN            NaN            NaN
  1312.88        500.000                 NaN   99.3883                 NaN  0.984992E-003            NaN  0.252691       0.179893                 NaN  0.178149                 NaN            NaN            NaN
  1311.35        500.000                 NaN   99.3962                 NaN  0.370122E-003            NaN  0.251272       0.176575                 NaN  0.175623                 NaN            NaN            NaN
  1309.83        500.000                 NaN   99.4039                 NaN  0.509956E-003            NaN  0.173907       0.248268                 NaN  0.173443                 NaN            NaN            NaN
  1308.30        500.000                 NaN   99.4119                 NaN  0.100344E-002            NaN  0.172190       0.243891                 NaN  0.171022                 NaN            NaN            NaN
  1306.77        500.000                 NaN   99.4199                 NaN            NaN            NaN  0.168263       0.243434                 NaN  0.168440                 NaN            NaN            NaN
  1305.25        500.000                 NaN   99.4273                 NaN            NaN            NaN  0.165705       0.240848                 NaN  0.166193                 NaN            NaN            NaN
  1303.72        500.000                 NaN   99.4337                 NaN  0.305711E-003            NaN  0.237670       0.163985                 NaN  0.164338                 NaN            NaN            NaN
  1302.20        500.000                 NaN   99.4408                 NaN            NaN            NaN  0.235985       0.161046                 NaN  0.162155                 NaN            NaN            NaN
  1300.67        500.000                 NaN   99.4480                 NaN            NaN            NaN  0.233100       0.158894                 NaN  0.159975                 NaN            NaN            NaN
  1299.14        500.000                 NaN   99.4552                 NaN            NaN            NaN  0.230496       0.156480                 NaN  0.157873                 NaN            NaN            NaN
