|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1782.05        2500.00        74.4703                 NaN   25.0680       0.461696                 NaN            NaN            NaN            NaN
  1778.85        2500.00        73.9443                 NaN   25.5850       0.470662                 NaN            NaN            NaN            NaN
  1775.64        2500.00        73.4180                 NaN   26.1024       0.479634                 NaN            NaN            NaN            NaN
  1772.44        2500.00        72.8913                 NaN   26.6201       0.488613                 NaN            NaN            NaN            NaN
  1769.23        2500.00        72.3643                 NaN   27.1381       0.497597                 NaN            NaN            NaN            NaN
  1766.03        2500.00        71.8539                 NaN   27.6401       0.506008                 NaN            NaN            NaN            NaN
  1762.82        2500.00        71.3433                 NaN   28.1423       0.514425                 NaN            NaN            NaN            NaN
  1759.62        2500.00        70.8324                 NaN   28.6448       0.522847                 NaN            NaN            NaN            NaN
  1756.41        2500.00        70.3211                 NaN   29.1476       0.531275                 NaN            NaN            NaN            NaN
  1753.21        2500.00        69.8095                 NaN   29.6508       0.539708                 NaN            NaN            NaN            NaN
  1750.00        2500.00        69.2976                 NaN   30.1542       0.548146                 NaN            NaN            NaN            NaN
  1746.79        2500.00        68.7854                 NaN   30.6580       0.556589                 NaN            NaN            NaN            NaN
  1743.59        2500.00        68.2729                 NaN   31.1620       0.565038                 NaN            NaN            NaN            NaN
  1740.38        2500.00        67.7771                 NaN   31.6499       0.573003                 NaN            NaN            NaN            NaN
  1737.18        2500.00        67.2810                 NaN   32.1380       0.580973                 NaN            NaN            NaN            NaN
  1733.97        2500.00        66.7846                 NaN   32.6265       0.588947                 NaN            NaN            NaN            NaN
  1730.77        2500.00        66.2880                 NaN   33.1151       0.596925                 NaN            NaN            NaN            NaN
  1727.56        2500.00        65.7910                 NaN   33.6040       0.604908                 NaN            NaN            NaN            NaN
  1724.36        2500.00        65.2939                 NaN   34.0932       0.612895                 NaN            NaN            NaN            NaN
  1721.15        2500.00        64.7965                 NaN   34.5827       0.620887                 NaN            NaN            NaN            NaN
  1717.95        2500.00        64.2988                 NaN   35.0723       0.628883                 NaN            NaN            NaN            NaN
  1714.74        2500.00        63.8211                 NaN   35.5426       0.636353                 NaN            NaN            NaN            NaN
  1711.54        2500.00        63.3431                 NaN   36.0131       0.643826                 NaN            NaN            NaN            NaN
  1708.33        2500.00        62.8649                 NaN   36.4838       0.651303                 NaN            NaN            NaN            NaN
  1705.13        2500.00        62.3866                 NaN   36.9546       0.658783                 NaN            NaN            NaN            NaN
  1701.92        2500.00        61.9080                 NaN   37.4257       0.666267                 NaN            NaN            NaN            NaN
  1698.72        2500.00        61.4292                 NaN   37.8971       0.673755                 NaN            NaN            NaN            NaN
  1695.51        2500.00        60.9502                 NaN   38.3686       0.681245                 NaN            NaN            NaN            NaN
  1692.31        2500.00        60.4710                 NaN   38.8403       0.688739                 NaN            NaN            NaN            NaN
  1689.10        2500.00        60.0156                 NaN   39.2885       0.695943                 NaN            NaN            NaN            NaN
  1685.90        2500.00        59.5600                 NaN   39.7369       0.703149                 NaN            NaN            NaN            NaN
  1682.69        2500.00        59.1042                 NaN   40.1855       0.710359                 NaN            NaN            NaN            NaN
  1679.49        2500.00        58.6483                 NaN   40.6342       0.717571                 NaN            NaN            NaN            NaN
  1676.28        2500.00        58.1922                 NaN   41.0831       0.724786                 NaN            NaN            NaN            NaN
  1673.08        2500.00        57.7359                 NaN   41.5321       0.732003                 NaN            NaN            NaN            NaN
  1669.87        2500.00        57.2795                 NaN   41.9812       0.739223                 NaN            NaN            NaN            NaN
  1666.67        2500.00        56.8230                 NaN   42.4306       0.746446                 NaN            NaN            NaN            NaN
  1663.46        2500.00        56.3879                 NaN   42.8587       0.753415                 NaN            NaN            NaN            NaN
  1660.26        2500.00        55.9527                 NaN   43.2869       0.760387                 NaN            NaN            NaN            NaN
  1657.05        2500.00        55.5174                 NaN   43.7152       0.767360                 NaN            NaN            NaN            NaN
  1653.85        2500.00        55.0820                 NaN   44.1437       0.774336                 NaN            NaN            NaN            NaN
  1650.64        2500.00        53.7912                 NaN   44.4037       0.772233        1.03290                 NaN            NaN            NaN
  1647.44        2500.00        52.3827                 NaN   44.6225       0.768019        2.22680                 NaN            NaN            NaN
  1644.23        2500.00        51.0588                 NaN   44.8241       0.764495        3.35265                 NaN            NaN            NaN
  1641.03        2500.00        49.7313                 NaN   45.0261       0.760959        4.48168                 NaN            NaN            NaN
  1637.82        2500.00        48.6493                 NaN   45.1874       0.756231        5.40708                 NaN            NaN            NaN
  1634.62        2500.00        47.5649                 NaN   45.3489       0.751490        6.33463                 NaN            NaN            NaN
  1631.41        2500.00        46.4781                 NaN   45.5108       0.746737        7.26434                 NaN            NaN            NaN
  1628.21        2500.00        45.3889                 NaN   45.6729       0.741972        8.19619                 NaN            NaN            NaN
  1625.00        2500.00        44.2972                 NaN   45.8354       0.737194        9.13020                 NaN            NaN            NaN
  1621.79        2500.00        43.2031                 NaN   45.9981       0.732404        10.0664                 NaN            NaN            NaN
  1618.59        2500.00        42.1066                 NaN   46.1611       0.727601        11.0047                 NaN            NaN            NaN
  1615.38        2500.00        41.0076                 NaN   46.3244       0.722786        11.9452                 NaN            NaN            NaN
  1612.18        2500.00        40.1801                 NaN   46.4397       0.717271        12.6630                 NaN            NaN            NaN
  1608.97        2500.00        39.3511                 NaN   46.5551       0.711745        13.3820                 NaN            NaN            NaN
  1605.77        2500.00        38.5207                 NaN   46.6707       0.706208        14.1023                 NaN            NaN            NaN
  1602.56        2500.00        37.6889                 NaN   46.7865       0.700661        14.8239                 NaN            NaN            NaN
  1599.36        2500.00        36.8557                 NaN   46.9024       0.695103        15.5468                 NaN            NaN            NaN
  1596.15        2500.00        36.0212                 NaN   47.0184       0.689533        16.2709                 NaN            NaN            NaN
  1592.95        2500.00        35.1852                 NaN   47.1345       0.683953        16.9963                 NaN            NaN            NaN
  1589.74        2500.00        34.3478                 NaN   47.2508       0.678362        17.7230                 NaN            NaN            NaN
  1586.54        2500.00        33.6772                 NaN   47.3368       0.671949        18.3141                 NaN            NaN            NaN
  1583.33        2500.00        33.0057                 NaN   47.4228       0.665525        18.9060                 NaN            NaN            NaN
  1580.13        2500.00        32.3332                 NaN   47.5089       0.659091        19.4988                 NaN            NaN            NaN
  1576.92        2500.00        31.6599                 NaN   47.5951       0.652648        20.0924                 NaN            NaN            NaN
  1573.72        2500.00        30.9856                 NaN   47.6814       0.646194        20.6868                 NaN            NaN            NaN
  1570.51        2500.00        30.3104                 NaN   47.7677       0.639730        21.2821                 NaN            NaN            NaN
  1567.31        2500.00        29.6344                 NaN   47.8542       0.633256        21.8782                 NaN            NaN            NaN
  1564.10        2500.00        28.9574                 NaN   47.9407       0.626772        22.4752                 NaN            NaN            NaN
  1560.90        2500.00        28.3779                 NaN   48.0087       0.618965        22.9944                 NaN            NaN            NaN
  1557.69        2500.00        27.7978                 NaN   48.0767       0.611148        23.5143                 NaN            NaN            NaN
  1554.49        2500.00        27.2170                 NaN   48.1448       0.603320        24.0348                 NaN            NaN            NaN
  1551.28        2500.00        26.6356                 NaN   48.2130       0.595482        24.5559                 NaN            NaN            NaN
  1548.08        2500.00        26.0534                 NaN   48.2812       0.587633        25.0777                 NaN            NaN            NaN
  1544.87        2500.00        25.4706                 NaN   48.3495       0.579774        25.6001                 NaN            NaN            NaN
  1541.67        2500.00        24.8871                 NaN   48.4178       0.571905        26.1232                 NaN            NaN            NaN
  1538.46        2500.00        24.3029                 NaN   48.4861       0.564025        26.6469                 NaN            NaN            NaN
  1535.26        2500.00        23.7739                 NaN   48.5440       0.554457        27.1276                 NaN            NaN            NaN
  1532.05        2500.00        23.2442                 NaN   48.6020       0.544879        27.6089                 NaN            NaN            NaN
  1528.85        2500.00        22.7140                 NaN   48.6600       0.535288        28.0907                 NaN            NaN            NaN
  1525.64        2500.00        22.1833                 NaN   48.7180       0.525686        28.5730                 NaN            NaN            NaN
  1522.44        2500.00        21.6520                 NaN   48.7761       0.516072        29.0559                 NaN            NaN            NaN
  1519.23        2500.00        21.1201                 NaN   48.8342       0.506447        29.5393                 NaN            NaN            NaN
  1516.03        2500.00        20.5876                 NaN   48.8924       0.496811        30.0232                 NaN            NaN            NaN
  1512.82        2500.00        20.0546                 NaN   48.9506       0.487162        30.5077                 NaN            NaN            NaN
  1509.62        2500.00        19.5332                 NaN   49.0046       0.476069        30.9861                 NaN            NaN            NaN
  1506.41        2500.00        19.0112                 NaN   49.0587       0.464963        31.4651                 NaN            NaN            NaN
  1503.21        2500.00        18.5081                 NaN   49.1085       0.454216        31.9292                 NaN            NaN            NaN
  1500.00        2500.00        17.8896                 NaN   49.1691       0.446993        32.3161       0.178228                 NaN            NaN
  1496.79        2500.00        17.0934                 NaN   49.2326       0.452222        32.4842       0.737629                 NaN            NaN
  1493.59        2500.00        16.2956                 NaN   49.2961       0.457463        32.6526        1.29816                 NaN            NaN
  1490.38        2500.00        15.4964                 NaN   49.3597       0.462717        32.8214        1.85982                 NaN            NaN
  1487.18        2500.00        14.6957                 NaN   49.4233       0.467983        32.9905        2.42262                 NaN            NaN
  1483.97        2500.00        14.0283                 NaN   49.4594       0.477594        33.1263        2.90851                 NaN            NaN
  1480.77        2500.00        13.3598                 NaN   49.4954       0.487223        33.2623        3.39524                 NaN            NaN
  1477.56        2500.00        12.6903                 NaN   49.5315       0.496871        33.3985        3.88282                 NaN            NaN
  1474.36        2500.00        12.0197                 NaN   49.5676       0.506537        33.5350        4.37123                 NaN            NaN
  1471.15        2500.00        11.4397                 NaN   49.5870       0.518579        33.6497        4.80501                 NaN            NaN
  1467.95        2500.00        10.8589                 NaN   49.6063       0.530642        33.7647        5.23946                 NaN            NaN
  1464.74        2500.00        10.3258                 NaN   49.6193       0.543717        33.8677        5.64354                 NaN            NaN
  1461.54        2500.00        9.79074                 NaN   49.6230       0.559911        33.8958        6.03710       0.935116E-001            NaN
  1458.33        2500.00        9.79020                 NaN   49.6232       0.559929        33.8960        6.03714       0.935127E-001            NaN
  1455.13        2500.00        9.78967                 NaN   49.6234       0.559948        33.8963        6.03718       0.935138E-001            NaN
  1451.92        2500.00        9.78913                 NaN   49.6236       0.559966        33.8966        6.03722       0.935149E-001            NaN
  1448.72        2500.00        9.78859                 NaN   49.6238       0.559984        33.8969        6.03726       0.935160E-001            NaN
  1445.51        2500.00        9.78806                 NaN   49.6240       0.560003        33.8971        6.03730       0.935170E-001            NaN
  1442.31        2500.00        9.78752                 NaN   49.6242       0.560021        33.8974        6.03734       0.935181E-001            NaN
  1439.10        2500.00        9.78698                 NaN   49.6244       0.560039        33.8977        6.03738       0.935192E-001            NaN
  1435.90        2500.00        6.33125                 NaN   49.5086       0.733174        33.0843        1.96115        8.38144                 NaN
  1432.69        2500.00        6.33095                 NaN   49.5087       0.733196        33.0845        1.96117        8.38147                 NaN
  1429.49        2500.00        5.70846                 NaN   49.4681       0.773154        32.9846        8.81546        2.25024                 NaN
  1426.28        2500.00        5.41088                 NaN   49.4590       0.790850        32.9239        8.99676        2.39341       0.252465E-001
  1423.08        2500.00        5.08427                 NaN   49.4983       0.800382        32.7937        9.09299        2.58044       0.149910     
  1419.87        2500.00        5.08405                 NaN   49.4983       0.800406        32.7938        9.09302        2.58046       0.149919     
  1416.67        2500.00        5.08382                 NaN   49.4983       0.800430        32.7940        9.09304        2.58048       0.149928     
  1413.46        2500.00        5.08360                 NaN   49.4983       0.800453        32.7941        9.09307        2.58051       0.149938     
  1410.26        2500.00        3.98630                 NaN   49.6260       0.836540        32.3293        9.41087        3.22183       0.589107     
  1407.05        2500.00        3.98614                 NaN   49.6260       0.836564        32.3295        9.41089        3.22186       0.589143     
  1403.85        2500.00        3.98598                 NaN   49.6259       0.836588        32.3296        9.41091        3.22188       0.589179     
  1400.64        2500.00        3.98582                 NaN   49.6258       0.836612        32.3297        9.41093        3.22190       0.589215     
  1397.44        2500.00        3.98566                 NaN   49.6258       0.836636        32.3298        9.41095        3.22193       0.589250     
  1394.23        2500.00        3.98550                 NaN   49.6257       0.836660        32.3299        9.41097        3.22195       0.589286     
  1391.03        2500.00        3.98534                 NaN   49.6256       0.836683        32.3300        9.41099        3.22198       0.589322     
  1387.82        2500.00        3.98518                 NaN   49.6256       0.836707        32.3302        9.41101        3.22200       0.589358     
  1384.62        2500.00        2.41093                 NaN   49.7820       0.903320        31.6111        4.16375        9.84711        1.28187     
  1381.41        2500.00        2.41085                 NaN   49.7818       0.903345        31.6111        4.16377        9.84712        1.28195     
  1378.21        2500.00        2.41077                 NaN   49.7817       0.903370        31.6112        4.16380        9.84713        1.28202     
  1375.00        2500.00        2.41069                 NaN   49.7816       0.903394        31.6113        4.16382        9.84713        1.28210     
  1371.79        2500.00        2.41061                 NaN   49.7814       0.903419        31.6114        4.16385        9.84714        1.28217     
  1368.59        2500.00        2.41054                 NaN   49.7813       0.903443        31.6115        4.16388        9.84715        1.28225     
  1365.38        2500.00        2.41046                 NaN   49.7811       0.903467        31.6115        4.16390        9.84716        1.28233     
  1362.18        2500.00        2.41038                 NaN   49.7810       0.903492        31.6116        4.16393        9.84717        1.28240     
  1358.97        2500.00        1.25243                 NaN   49.8581       0.965931        31.0962        4.84155        10.1499        1.83595     
  1355.77        2500.00        1.25240                 NaN   49.8579       0.965956        31.0962        4.84157        10.1499        1.83606     
  1352.56        2500.00        1.25236                 NaN   49.8577       0.965982        31.0963        4.84160        10.1499        1.83616     
  1349.36        2500.00        1.25233                 NaN   49.8575       0.966007        31.0964        4.84163        10.1499        1.83627     
  1346.15        2500.00        1.25230                 NaN   49.8573       0.966032        31.0964        4.84166        10.1499        1.83638     
  1342.95        2500.00        1.25226                 NaN   49.8571       0.966057        31.0965        4.84168        10.1499        1.83649     
  1339.74        2500.00        1.25223                 NaN   49.8569       0.966082        31.0965        4.84171        10.1499        1.83659     
  1336.54        2500.00        1.25220                 NaN   49.8567       0.966107        31.0966        4.84174        10.1499        1.83670     
  1333.33        2500.00       0.295291                 NaN   49.8772        1.02666        30.7440        5.35857        10.3995        2.29874     
  1330.13        2500.00       0.295285                 NaN   49.8770        1.02669        30.7441        5.35860        10.3995        2.29887     
  1326.92        2500.00       0.746344E-001            NaN   49.8741        1.04182        30.6794        10.4600        5.46829        2.40177     
  1323.72        2500.00                 NaN            NaN   49.8739        1.04839        30.6578        10.4799        5.49831        2.44171     
  1320.51        2500.00                 NaN            NaN   49.8814        1.05283        30.6466        10.4664        5.48803        2.46469     
  1317.31        2500.00                 NaN            NaN   49.8811        1.05286        30.6467        10.4664        5.48806        2.46484     
  1314.10        2500.00                 NaN            NaN   49.8809        1.05289        30.6467        10.4664        5.48808        2.46498     
  1310.90        2500.00                 NaN            NaN   49.8807        1.05291        30.6468        10.4664        5.48811        2.46512     
  1307.69        2500.00                 NaN            NaN   49.9071        1.07132        30.6147        5.43271        10.4273        2.54678     
  1304.49        2500.00                 NaN            NaN   49.9069        1.07134        30.6148        5.43274        10.4273        2.54692     
  1301.28        2500.00                 NaN            NaN   49.9066        1.07137        30.6148        5.43277        10.4273        2.54707     
  1298.08        2500.00                 NaN            NaN   49.9064        1.07140        30.6149        5.43280        10.4273        2.54722     
  1294.87        2500.00                 NaN            NaN   49.9061        1.07142        30.6149        5.43283        10.4273        2.54736     
  1291.67        2500.00                 NaN            NaN   49.9059        1.07145        30.6150        5.43286        10.4273        2.54751     
  1288.46        2500.00                 NaN            NaN   49.9056        1.07148        30.6150        5.43289        10.4273        2.54765     
  1285.26        2500.00                 NaN            NaN   49.9054        1.07150        30.6151        5.43292        10.4273        2.54780     
  1282.05        2500.00                 NaN            NaN   49.9535        1.10911        30.5513        5.32868        10.3544        2.70301     
  1278.85        2500.00                 NaN            NaN   49.9533        1.10914        30.5513        5.32871        10.3544        2.70317     
  1275.64        2500.00                 NaN            NaN   49.9530        1.10917        30.5514        5.32874        10.3544        2.70332     
  1272.44        2500.00                 NaN            NaN   49.9528        1.10920        30.5514        5.32877        10.3543        2.70347     
  1269.23        2500.00                 NaN            NaN   49.9525        1.10922        30.5515        5.32880        10.3543        2.70363     
  1266.03        2500.00                 NaN            NaN   49.9523        1.10925        30.5515        5.32883        10.3543        2.70378     
  1262.82        2500.00                 NaN            NaN   49.9520        1.10928        30.5516        5.32886        10.3543        2.70394     
  1259.62        2500.00                 NaN            NaN   49.9517        1.10930        30.5517        5.32889        10.3543        2.70409     
  1256.41        2500.00                 NaN            NaN   49.9900        1.14920        30.4929        10.2958        5.22672        2.84535     
  1253.21        2500.00                 NaN            NaN   49.9898        1.14923        30.4930        10.2958        5.22675        2.84551     
  1250.00        2500.00                 NaN            NaN   49.9895        1.14925        30.4930        10.2958        5.22678        2.84568     
  1246.79        2500.00                 NaN            NaN   49.9892        1.14928        30.4931        10.2958        5.22681        2.84584     
  1243.59        2500.00                 NaN            NaN   49.9890        1.14931        30.4931        10.2958        5.22684        2.84600     
  1240.38        2500.00                 NaN            NaN   49.9887        1.14934        30.4932        10.2958        5.22687        2.84616     
  1237.18        2500.00                 NaN            NaN   49.9884        1.14937        30.4932        10.2957        5.22690        2.84632     
  1233.97        2500.00                 NaN            NaN   49.9882        1.14939        30.4933        10.2957        5.22693        2.84648     
  1230.77        2500.00                 NaN            NaN   50.0184        1.19096        30.4458        10.2442        5.12481        2.97579     
  1227.56        2500.00                 NaN            NaN   50.0181        1.19099        30.4459        10.2442        5.12484        2.97596     
  1224.36        2500.00                 NaN            NaN   50.0178        1.19102        30.4459        10.2442        5.12487        2.97613     
  1221.15        2500.00                 NaN            NaN   50.0176        1.19105        30.4460        10.2442        5.12490        2.97629     
  1217.95        2500.00                 NaN            NaN   50.0173        1.19108        30.4460        10.2442        5.12494        2.97646     
  1214.74        2500.00                 NaN            NaN   50.0170        1.19111        30.4461        10.2442        5.12497        2.97663     
  1211.54        2500.00                 NaN            NaN   50.0167        1.19114        30.4462        10.2442        5.12500        2.97680     
  1208.33        2500.00                 NaN            NaN   50.0165        1.19116        30.4462        10.2442        5.12503        2.97697     
  1205.13        2500.00                 NaN            NaN   50.0367        1.23529        30.4105        10.2043        5.02253        3.09068     
  1201.92        2500.00                 NaN            NaN   50.0364        1.23532        30.4106        10.2042        5.02256        3.09085     
  1198.72        2500.00                 NaN            NaN   50.0361        1.23535        30.4107        10.2042        5.02260        3.09103     
  1195.51        2500.00                 NaN            NaN   50.0359        1.23538        30.4107        10.2042        5.02263        3.09120     
  1192.31        2500.00                 NaN            NaN   50.0356        1.23541        30.4108        10.2042        5.02266        3.09138     
  1189.10        2500.00                 NaN            NaN   50.0353        1.23544        30.4108        10.2042        5.02269        3.09155     
  1185.90        2500.00                 NaN            NaN   50.0350        1.23547        30.4109        10.2042        5.02272        3.09172     
  1182.69        2500.00                 NaN            NaN   50.0347        1.23549        30.4110        10.2042        5.02275        3.09190     
  1179.49        2500.00                 NaN            NaN   50.0461        1.28204        30.3867        4.92043        10.1723        3.19256     
  1176.28        2500.00                 NaN            NaN   50.0458        1.28207        30.3867        4.92046        10.1722        3.19274     
  1173.08        2500.00                 NaN            NaN   50.0455        1.28210        30.3868        4.92049        10.1722        3.19292     
  1169.87        2500.00                 NaN            NaN   50.0452        1.28213        30.3869        4.92053        10.1722        3.19310     
  1166.67        2500.00                 NaN            NaN   50.0449        1.28216        30.3869        4.92056        10.1722        3.19328     
  1163.46        2500.00                 NaN            NaN   50.0446        1.28219        30.3870        4.92059        10.1722        3.19346     
  1160.26        2500.00                 NaN            NaN   50.0443        1.28222        30.3871        4.92062        10.1722        3.19364     
  1157.05        2500.00                 NaN            NaN   50.0440        1.28224        30.3871        4.92066        10.1722        3.19382     
  1153.85        2500.00                 NaN            NaN   50.0462        1.33153        30.3765        10.1465        4.81682        3.28252     
  1150.64        2500.00                 NaN            NaN   50.0459        1.33156        30.3766        10.1464        4.81685        3.28271     
  1147.44        2500.00                 NaN            NaN   50.0456        1.33159        30.3766        10.1464        4.81688        3.28289     
  1144.23        2500.00                 NaN            NaN   50.0453        1.33163        30.3767        10.1464        4.81692        3.28308     
  1141.03        2500.00                 NaN            NaN   50.0450        1.33166        30.3768        10.1464        4.81695        3.28326     
  1137.82        2500.00                 NaN            NaN   50.0447        1.33169        30.3768        10.1464        4.81698        3.28344     
  1134.62        2500.00                 NaN            NaN   50.0444        1.33172        30.3769        10.1464        4.81701        3.28363     
  1131.41        2500.00                 NaN            NaN   50.0441        1.33175        30.3770        10.1463        4.81705        3.28381     
  1128.21        2500.00                 NaN            NaN   50.0360        1.38431        30.3806        10.1285        4.71249        3.35811     
  1125.00        2500.00                 NaN            NaN   50.0357        1.38434        30.3806        10.1285        4.71252        3.35830     
  1121.79        2500.00                 NaN            NaN   50.0354        1.38437        30.3807        10.1285        4.71256        3.35848     
  1118.59        2500.00                 NaN            NaN   50.0351        1.38441        30.3808        10.1285        4.71259        3.35867     
