|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1615.38        2500.00        37.7899                 NaN   48.8672        1.01814        12.3248                 NaN            NaN            NaN
  1612.18        2500.00        36.9813                 NaN   48.9537        1.00894        13.0561                 NaN            NaN            NaN
  1608.97        2500.00        36.1727                 NaN   49.0402       0.999738        13.7873                 NaN            NaN            NaN
  1605.77        2500.00        35.3641                 NaN   49.1267       0.990539        14.5187                 NaN            NaN            NaN
  1602.56        2500.00        34.5554                 NaN   49.2132       0.981340        15.2500                 NaN            NaN            NaN
  1599.36        2500.00        33.7468                 NaN   49.2998       0.972140        15.9813                 NaN            NaN            NaN
  1596.15        2500.00        32.9381                 NaN   49.3863       0.962940        16.7127                 NaN            NaN            NaN
  1592.95        2500.00        32.1295                 NaN   49.4728       0.953740        17.4440                 NaN            NaN            NaN
  1589.74        2500.00        31.3208                 NaN   49.5593       0.944540        18.1754                 NaN            NaN            NaN
  1586.54        2500.00        30.6745                 NaN   49.6207       0.934346        18.7704                 NaN            NaN            NaN
  1583.33        2500.00        30.0283                 NaN   49.6821       0.924153        19.3655                 NaN            NaN            NaN
  1580.13        2500.00        29.3821                 NaN   49.7434       0.913959        19.9605                 NaN            NaN            NaN
  1576.92        2500.00        28.7358                 NaN   49.8048       0.903765        20.5556                 NaN            NaN            NaN
  1573.72        2500.00        28.0896                 NaN   49.8662       0.893570        21.1507                 NaN            NaN            NaN
  1570.51        2500.00        27.4433                 NaN   49.9276       0.883376        21.7457                 NaN            NaN            NaN
  1567.31        2500.00        26.7970                 NaN   49.9890       0.873182        22.3408                 NaN            NaN            NaN
  1564.10        2500.00        26.1507                 NaN   50.0504       0.862987        22.9359                 NaN            NaN            NaN
  1560.90        2500.00        25.5993                 NaN   50.0959       0.851051        23.4537                 NaN            NaN            NaN
  1557.69        2500.00        25.0479                 NaN   50.1415       0.839115        23.9715                 NaN            NaN            NaN
  1554.49        2500.00        24.4964                 NaN   50.1871       0.827179        24.4893                 NaN            NaN            NaN
  1551.28        2500.00        23.9450                 NaN   50.2327       0.815243        25.0072                 NaN            NaN            NaN
  1548.08        2500.00        23.3935                 NaN   50.2782       0.803306        25.5250                 NaN            NaN            NaN
  1544.87        2500.00        22.8420                 NaN   50.3238       0.791370        26.0428                 NaN            NaN            NaN
  1541.67        2500.00        22.2906                 NaN   50.3694       0.779433        26.5606                 NaN            NaN            NaN
  1538.46        2500.00        21.7391                 NaN   50.4149       0.767496        27.0785                 NaN            NaN            NaN
  1535.26        2500.00        21.2415                 NaN   50.4514       0.753340        27.5537                 NaN            NaN            NaN
  1532.05        2500.00        20.7440                 NaN   50.4878       0.739184        28.0290                 NaN            NaN            NaN
  1528.85        2500.00        20.2464                 NaN   50.5243       0.725027        28.5043                 NaN            NaN            NaN
  1525.64        2500.00        19.7488                 NaN   50.5607       0.710870        28.9796                 NaN            NaN            NaN
  1522.44        2500.00        19.2512                 NaN   50.5972       0.696713        29.4549                 NaN            NaN            NaN
  1519.23        2500.00        18.7537                 NaN   50.6336       0.682556        29.9302                 NaN            NaN            NaN
  1516.03        2500.00        18.2561                 NaN   50.6701       0.668399        30.4054                 NaN            NaN            NaN
  1512.82        2500.00        17.7585                 NaN   50.7065       0.654242        30.8807                 NaN            NaN            NaN
  1509.62        2500.00        17.2733                 NaN   50.7384       0.638183        31.3501                 NaN            NaN            NaN
  1506.41        2500.00        16.7881                 NaN   50.7703       0.622123        31.8195                 NaN            NaN            NaN
  1503.21        2500.00        16.3210                 NaN   50.7982       0.606595        32.2742                 NaN            NaN            NaN
  1500.00        2500.00        15.7481                 NaN   50.8313       0.595588        32.6467       0.178307                 NaN            NaN
  1496.79        2500.00        15.0142                 NaN   50.8554       0.600615        32.7922       0.737628                 NaN            NaN
  1493.59        2500.00        14.2802                 NaN   50.8795       0.605642        32.9377        1.29695                 NaN            NaN
  1490.38        2500.00        13.5463                 NaN   50.9036       0.610669        33.0832        1.85628                 NaN            NaN
  1487.18        2500.00        12.8123                 NaN   50.9277       0.615696        33.2287        2.41562                 NaN            NaN
  1483.97        2500.00        12.2029                 NaN   50.9287       0.626477        33.3437        2.89823                 NaN            NaN
  1480.77        2500.00        11.5935                 NaN   50.9298       0.637258        33.4587        3.38085                 NaN            NaN
  1477.56        2500.00        10.9840                 NaN   50.9308       0.648039        33.5736        3.86347                 NaN            NaN
  1474.36        2500.00        10.3746                 NaN   50.9319       0.658821        33.6886        4.34609                 NaN            NaN
  1471.15        2500.00        9.84968                 NaN   50.9193       0.672760        33.7840        4.77431                 NaN            NaN
  1467.95        2500.00        9.32474                 NaN   50.9067       0.686698        33.8793        5.20253                 NaN            NaN
  1464.74        2500.00        8.84407                 NaN   50.8899       0.701926        33.9637        5.60040                 NaN            NaN
  1461.54        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1458.33        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1455.13        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1451.92        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1448.72        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1445.51        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1442.31        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1439.10        2500.00        8.36289                 NaN   50.8626       0.721160        33.9730        5.98725       0.930579E-001            NaN
  1435.90        2500.00        5.28367                 NaN   50.5405       0.929066        33.0302        1.94272        8.27388                 NaN
  1432.69        2500.00        5.28367                 NaN   50.5405       0.929066        33.0302        1.94272        8.27388                 NaN
  1429.49        2500.00        4.73781                 NaN   50.4595       0.976570        32.9051        8.69413        2.22693                 NaN
  1426.28        2500.00        4.47840                 NaN   50.4329       0.997661        32.8336        8.86907        2.36757       0.208639E-001
  1423.08        2500.00        4.19580                 NaN   50.4630        1.00934        32.6958        8.96068        2.55157       0.123846     
  1419.87        2500.00        4.19580                 NaN   50.4630        1.00934        32.6958        8.96068        2.55157       0.123846     
  1416.67        2500.00        4.19580                 NaN   50.4630        1.00934        32.6958        8.96068        2.55157       0.123846     
  1413.46        2500.00        4.19580                 NaN   50.4630        1.00934        32.6958        8.96068        2.55157       0.123846     
  1410.26        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1407.05        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1403.85        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1400.64        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1397.44        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1394.23        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1391.03        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1387.82        2500.00        3.25336                 NaN   50.5592        1.05354        32.2050        9.26171        3.18100       0.486128     
  1384.62        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1381.41        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1378.21        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1375.00        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1371.79        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1368.59        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1365.38        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1362.18        2500.00        1.92975                 NaN   50.6627        1.13479        31.4469        4.09998        9.67001        1.05585     
  1358.97        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1355.77        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1352.56        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1349.36        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1346.15        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1342.95        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1339.74        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1336.54        2500.00       0.986126                 NaN   50.6911        1.21022        30.8983        4.75520        9.94927        1.50982     
  1333.33        2500.00       0.229278                 NaN   50.6600        1.28254        30.5134        5.24970        10.1776        1.88750     
  1330.13        2500.00       0.229278                 NaN   50.6600        1.28254        30.5134        5.24970        10.1776        1.88750     
  1326.92        2500.00       0.577663E-001            NaN   50.6441        1.30040        30.4399        10.2329        5.35360        1.97134     
  1323.72        2500.00                 NaN            NaN   50.6396        1.30825        30.4155        10.2510        5.38176        2.00383     
  1320.51        2500.00                 NaN            NaN   50.6493        1.31393        30.4048        10.2377        5.37160        2.02264     
  1317.31        2500.00                 NaN            NaN   50.6493        1.31393        30.4048        10.2377        5.37160        2.02264     
  1314.10        2500.00                 NaN            NaN   50.6493        1.31393        30.4048        10.2377        5.37160        2.02264     
  1310.90        2500.00                 NaN            NaN   50.6493        1.31393        30.4048        10.2377        5.37160        2.02264     
  1307.69        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1304.49        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1301.28        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1298.08        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1294.87        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1291.67        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1288.46        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1285.26        2500.00                 NaN            NaN   50.6843        1.33724        30.3745        5.31664        10.1975        2.08978     
  1282.05        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1278.85        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1275.64        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1272.44        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1269.23        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1266.03        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1262.82        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1259.62        2500.00                 NaN            NaN   50.7480        1.38492        30.3141        5.21342        10.1220        2.21746     
  1256.41        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1253.21        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1250.00        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1246.79        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1243.59        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1240.38        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1237.18        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1233.97        2500.00                 NaN            NaN   50.8004        1.43522        30.2574        10.0617        5.11162        2.33363     
  1230.77        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1227.56        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1224.36        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1221.15        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1217.95        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1214.74        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1211.54        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1208.33        2500.00                 NaN            NaN   50.8422        1.48765        30.2123        10.0078        5.01007        2.43994     
  1205.13        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1201.92        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1198.72        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1195.51        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1192.31        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1189.10        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1185.90        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1182.69        2500.00                 NaN            NaN   50.8726        1.54295        30.1778        9.96517        4.90817        2.53338     
  1179.49        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1176.28        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1173.08        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1169.87        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1166.67        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1163.46        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1160.26        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1157.05        2500.00                 NaN            NaN   50.8923        1.60109        30.1538        4.80643        9.93029        2.61605     
  1153.85        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1150.64        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1147.44        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1144.23        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1141.03        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1137.82        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1134.62        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1131.41        2500.00                 NaN            NaN   50.9008        1.66248        30.1434        9.90152        4.70288        2.68885     
  1128.21        2500.00                 NaN            NaN   50.8970        1.72766        30.1467        9.88029        4.59861        2.74975     
  1125.00        2500.00                 NaN            NaN   50.8970        1.72766        30.1467        9.88029        4.59861        2.74975     
  1121.79        2500.00                 NaN            NaN   50.8970        1.72766        30.1467        9.88029        4.59861        2.74975     
  1118.59        2500.00                 NaN            NaN   50.8970        1.72766        30.1467        9.88029        4.59861        2.74975     
