|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1545.40        2500.00                 NaN   99.4502       0.508012       0.418217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN   99.4541       0.504127       0.417473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00                 NaN   99.4525       0.506531       0.409191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00                 NaN   99.4664       0.493696       0.398619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00                 NaN   99.4577       0.500657       0.416490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00                 NaN   99.4784       0.483425       0.381600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00                 NaN   99.4730       0.489053       0.379908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.4761       0.487210       0.367354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00                 NaN   99.3540       0.600015       0.460294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00                 NaN   99.6112       0.361386       0.274228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00                 NaN   99.4864       0.480946       0.326634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00                 NaN   99.4879       0.478591       0.335504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00                 NaN   99.4987       0.466790       0.345464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00                 NaN   99.7633       0.214119       0.226268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00                 NaN   99.8211       0.167573       0.113635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   98.9245        1.01010       0.654220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN   99.5073       0.462588       0.301244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN   99.5100       0.458279       0.317271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00                 NaN   98.4149        1.50292       0.821897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00                 NaN   99.9974       0.261093E-002  0.278795E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00                 NaN   99.6555       0.328026       0.164843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN   99.0564       0.827936       0.356667E-001  0.800359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00                 NaN   99.9748       0.251861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00                 NaN   99.5329       0.441362       0.257134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00                 NaN   99.4374       0.104025       0.143685E-001  0.444189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00                 NaN   99.9712                 NaN  0.287556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00                 NaN   98.8536       0.136373E-001  0.311986E-002   1.12968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00                 NaN   99.4135       0.872734E-002            NaN  0.577764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00                 NaN   99.4144       0.757787E-001            NaN  0.509866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00                 NaN   99.4117       0.578783E-002            NaN  0.582464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00                 NaN   99.4136                 NaN            NaN  0.586389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00                 NaN   99.4006                 NaN            NaN  0.599385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00                 NaN   99.4312       0.443583E-001            NaN  0.524478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00                 NaN   99.4142                 NaN            NaN  0.585801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00                 NaN   98.7944       0.167707E-002            NaN   1.20394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.9988                 NaN            NaN  0.118920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00                 NaN   99.4890                 NaN            NaN  0.511041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00                 NaN   99.3753       0.538405E-001            NaN  0.570874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00                 NaN   99.4109       0.390502E-001            NaN  0.550034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00                 NaN   99.4033                 NaN            NaN  0.596726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00                 NaN   99.4062                 NaN            NaN  0.593848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00                 NaN   99.2745                 NaN            NaN  0.495613       0.229934                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN   99.1183                 NaN            NaN  0.522700       0.358988                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00                 NaN   99.1268                 NaN            NaN  0.517178       0.356057                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00                 NaN   99.1326                 NaN            NaN  0.514668       0.352723                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00                 NaN   99.1415                 NaN            NaN  0.508451       0.350006                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00                 NaN   99.1481                 NaN            NaN  0.346087       0.505805                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00                 NaN   99.1573                 NaN            NaN  0.499754       0.342915                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00                 NaN   99.3614                 NaN            NaN  0.258887       0.379694                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00                 NaN   98.9720                 NaN            NaN  0.417983       0.609986                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00                 NaN   99.1777                 NaN            NaN  0.333324       0.488947                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00                 NaN   99.1856                 NaN            NaN  0.329642       0.484762                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        2500.00                 NaN   99.1914                 NaN            NaN  0.481156       0.327405                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        2500.00                 NaN   99.1741                 NaN            NaN  0.360137       0.465799                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN   99.2198                 NaN            NaN  0.289255       0.490969                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        2500.00                 NaN   99.2183                 NaN            NaN  0.316892       0.464840                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        2500.00                 NaN   99.2183                 NaN            NaN  0.316168       0.465555                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        2500.00                 NaN   99.2238                 NaN            NaN  0.462381       0.313788                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        2500.00                 NaN   99.2311                 NaN            NaN  0.458394       0.310478                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        2500.00                 NaN   99.2369                 NaN            NaN  0.307766       0.455306                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00                 NaN   99.2424                 NaN            NaN  0.305331       0.452312                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        2500.00                 NaN   99.2483                 NaN            NaN  0.448859       0.302798                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00                 NaN   99.2547                 NaN            NaN  0.445511       0.299777                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00                 NaN   99.2599                 NaN            NaN  0.297525       0.442616                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.80        2500.00                 NaN   99.2658                 NaN            NaN  0.439348       0.294856                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.31        2500.00                 NaN   99.2715                 NaN            NaN  0.435708       0.292822                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.83        2500.00                 NaN   99.2770                 NaN            NaN  0.290146       0.432821                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.34        2500.00                 NaN   99.2825                 NaN            NaN  0.430486       0.286987                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.85        2500.00                 NaN   99.2876                 NaN            NaN  0.427667       0.284711                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.37        2500.00                 NaN   99.2932                 NaN            NaN  0.424085       0.282736                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.88        2500.00                 NaN   99.4373       0.399293E-001            NaN  0.522769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.40        2500.00                 NaN   99.1647                 NaN            NaN  0.511276       0.324024                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00                 NaN   99.3079                 NaN            NaN  0.275405       0.416673                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.42        2500.00                 NaN   98.8008                 NaN            NaN  0.514782       0.435570       0.248799                 NaN            NaN            NaN            NaN            NaN
  1433.94        2500.00                 NaN   98.3058                 NaN            NaN  0.749905       0.448665       0.495645                 NaN            NaN            NaN            NaN            NaN
  1432.45        2500.00                 NaN   98.3360                 NaN            NaN  0.737341       0.440010       0.486675                 NaN            NaN            NaN            NaN            NaN
  1430.97        2500.00                 NaN   98.3659                 NaN            NaN  0.724606       0.431468       0.477992                 NaN            NaN            NaN            NaN            NaN
  1429.48        2500.00                 NaN   98.3954                 NaN            NaN  0.712205       0.423128       0.469251                 NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.4233                 NaN            NaN  0.415285       0.700347       0.461114                 NaN            NaN            NaN            NaN            NaN
  1426.51        2500.00                 NaN   98.4496                 NaN            NaN  0.407539       0.689402       0.453477                 NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00                 NaN   98.4766                 NaN  0.189594E-001  0.404397       0.651707       0.448288                 NaN            NaN            NaN            NaN            NaN
  1423.54        2500.00                 NaN   98.4939                 NaN  0.144550       0.431316       0.468159       0.462037                 NaN            NaN            NaN            NaN            NaN
  1422.05        2500.00                 NaN   98.5183                 NaN  0.143523       0.459039       0.424390       0.454706                 NaN            NaN            NaN            NaN            NaN
  1420.56        2500.00                 NaN   98.5444                 NaN  0.142165       0.449048       0.417748       0.446676                 NaN            NaN            NaN            NaN            NaN
  1419.08        2500.00                 NaN   98.5683                 NaN  0.141237       0.439973       0.411072       0.439407                 NaN            NaN            NaN            NaN            NaN
  1417.59        2500.00                 NaN   98.5850                 NaN  0.140376       0.406675       0.433397       0.434576                 NaN            NaN            NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.6220                 NaN  0.137996       0.396830       0.420371       0.422755                 NaN            NaN            NaN            NaN            NaN
  1414.62        2500.00                 NaN   98.6363                 NaN  0.137133       0.415497       0.392235       0.418796                 NaN            NaN            NaN            NaN            NaN
  1413.13        2500.00                 NaN   98.6600                 NaN  0.135895       0.407562       0.385085       0.411497                 NaN            NaN            NaN            NaN            NaN
  1411.65        2500.00                 NaN   98.6808                 NaN  0.135124       0.399803       0.378986       0.405336                 NaN            NaN            NaN            NaN            NaN
  1410.16        2500.00                 NaN   98.7018                 NaN  0.133714       0.392093       0.373581       0.398787                 NaN            NaN            NaN            NaN            NaN
  1408.67        2500.00                 NaN   98.7222                 NaN  0.132427       0.385176       0.367613       0.392553                 NaN            NaN            NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.7466                 NaN  0.140693       0.362771       0.363360       0.386555                 NaN            NaN            NaN            NaN            NaN
  1405.70        2500.00                 NaN   98.7574                 NaN  0.121177       0.386189       0.354974       0.380243                 NaN            NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.7803                 NaN  0.129110       0.351350       0.364621       0.374634                 NaN            NaN            NaN            NaN            NaN
  1402.73        2500.00                 NaN   98.7977                 NaN  0.212711       0.373407       0.234491       0.381697                 NaN            NaN            NaN            NaN            NaN
  1401.24        2500.00                 NaN   98.8178                 NaN  0.413760E-001  0.314339       0.475744       0.350762                 NaN            NaN            NaN            NaN            NaN
  1399.76        2500.00                 NaN   98.8304                 NaN  0.126168       0.334883       0.348805       0.359719                 NaN            NaN            NaN            NaN            NaN
  1398.27        2500.00                 NaN   98.8535                 NaN  0.894561E-001  0.319726       0.390497       0.346862                 NaN            NaN            NaN            NaN            NaN
  1396.79        2500.00                 NaN   98.8684                 NaN  0.159685       0.337983       0.281344       0.352560                 NaN            NaN            NaN            NaN            NaN
  1395.30        2500.00                 NaN   98.8830                 NaN  0.123067       0.322419       0.328509       0.343052                 NaN            NaN            NaN            NaN            NaN
  1393.81        2500.00                 NaN   98.9003                 NaN  0.121977       0.317585       0.322509       0.337660                 NaN            NaN            NaN            NaN            NaN
  1392.33        2500.00                 NaN   98.8974                 NaN  0.128300       0.316439       0.317133       0.340679                 NaN            NaN            NaN            NaN            NaN
  1390.84        2500.00                 NaN   98.9477                 NaN  0.113135       0.313642       0.304914       0.320616                 NaN            NaN            NaN            NaN            NaN
  1389.36        2500.00                 NaN   98.9441                 NaN  0.118887       0.307569       0.305484       0.323973                 NaN            NaN            NaN            NaN            NaN
  1387.87        2500.00                 NaN   98.9586                 NaN  0.117717       0.301380       0.303066       0.319277                 NaN            NaN            NaN            NaN            NaN
  1386.38        2500.00                 NaN   98.9740                 NaN  0.116426       0.296755       0.298290       0.314493                 NaN            NaN            NaN            NaN            NaN
  1384.90        2500.00                 NaN   98.9872                 NaN  0.115580       0.294263       0.292500       0.310430                 NaN            NaN            NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.0003                 NaN  0.114390       0.289016       0.290021       0.306298                 NaN            NaN            NaN            NaN            NaN
  1381.93        2500.00                 NaN   99.0143                 NaN  0.113915       0.285400       0.284341       0.302017                 NaN            NaN            NaN            NaN            NaN
  1380.44        2500.00                 NaN   99.0271                 NaN  0.112346       0.281276       0.281406       0.297859                 NaN            NaN            NaN            NaN            NaN
  1378.95        2500.00                 NaN   99.0403                 NaN  0.111558       0.277667       0.276707       0.293799                 NaN            NaN            NaN            NaN            NaN
  1377.47        2500.00                 NaN   99.0508                 NaN  0.110463       0.274637       0.273536       0.290579                 NaN            NaN            NaN            NaN            NaN
  1375.98        2500.00                 NaN   99.0657                 NaN  0.109537       0.268724       0.270358       0.285695                 NaN            NaN            NaN            NaN            NaN
  1374.49        2500.00                 NaN   99.0764                 NaN  0.108586       0.266861       0.265685       0.282437                 NaN            NaN            NaN            NaN            NaN
  1373.01        2500.00                 NaN   99.0845                 NaN  0.107377       0.265591       0.262335       0.280232                 NaN            NaN            NaN            NaN            NaN
  1371.52        2500.00                 NaN   99.1048                 NaN  0.106139       0.255521       0.260672       0.272910                 NaN            NaN            NaN            NaN            NaN
  1370.04        2500.00                 NaN   99.1105                 NaN  0.105371       0.257474       0.255003       0.271627                 NaN            NaN            NaN            NaN            NaN
  1368.55        2500.00                 NaN   99.1215                 NaN  0.104453       0.255108       0.250838       0.268057                 NaN            NaN            NaN            NaN            NaN
  1367.06        2500.00                 NaN   99.1321                 NaN  0.102744       0.250780       0.249936       0.264474                 NaN            NaN            NaN            NaN            NaN
  1365.58        2500.00                 NaN   99.1432                 NaN  0.101915       0.246171       0.247692       0.260999                 NaN            NaN            NaN            NaN            NaN
  1364.09        2500.00                 NaN   99.1539                 NaN  0.101188       0.244394       0.242837       0.257686                 NaN            NaN            NaN            NaN            NaN
  1362.61        2500.00                 NaN   99.1607                 NaN  0.100985       0.238665       0.243897       0.255773                 NaN            NaN            NaN            NaN            NaN
  1361.12        2500.00                 NaN   99.1762                 NaN  0.977047E-001  0.236385       0.239453       0.250236                 NaN            NaN            NaN            NaN            NaN
  1359.63        2500.00                 NaN   99.1840                 NaN  0.974250E-001  0.235202       0.235475       0.247879                 NaN            NaN            NaN            NaN            NaN
  1358.15        2500.00                 NaN   99.1932                 NaN  0.968743E-001  0.231985       0.232933       0.245007                 NaN            NaN            NaN            NaN            NaN
  1356.66        2500.00                 NaN   99.2033                 NaN  0.958421E-001  0.229641       0.229388       0.241865                 NaN            NaN            NaN            NaN            NaN
  1355.18        2500.00                 NaN   99.2127                 NaN  0.947083E-001  0.227137       0.226560       0.238903                 NaN            NaN            NaN            NaN            NaN
  1353.69        2500.00                 NaN   99.2214                 NaN  0.929391E-001  0.225571       0.224271       0.235863                 NaN            NaN            NaN            NaN            NaN
  1352.20        2500.00                 NaN   99.2298                 NaN  0.921807E-001  0.223247       0.221527       0.233207                 NaN            NaN            NaN            NaN            NaN
  1350.72        2500.00                 NaN   99.2387                 NaN  0.912993E-001  0.219309       0.220443       0.230268                 NaN            NaN            NaN            NaN            NaN
  1349.23        2500.00                 NaN   99.2469                 NaN  0.900761E-001  0.216220       0.219112       0.227711                 NaN            NaN            NaN            NaN            NaN
  1347.75        2500.00                 NaN   99.2564                 NaN  0.887210E-001  0.213704       0.216741       0.224483                 NaN            NaN            NaN            NaN            NaN
  1346.26        2500.00                 NaN   99.2647                 NaN  0.880524E-001  0.214079       0.211275       0.221929                 NaN            NaN            NaN            NaN            NaN
  1344.77        2500.00                 NaN   99.2719                 NaN  0.822953E-001  0.206850       0.220001       0.218928                 NaN            NaN            NaN            NaN            NaN
  1343.29        2500.00                 NaN   99.2812                 NaN  0.893197E-001  0.205014       0.207494       0.216950                 NaN            NaN            NaN            NaN            NaN
  1341.80        2500.00                 NaN   99.2885                 NaN  0.842160E-001  0.203549       0.209700       0.214062                 NaN            NaN            NaN            NaN            NaN
  1340.31        2500.00                 NaN   99.2960                 NaN  0.834943E-001  0.207436       0.201425       0.211681                 NaN            NaN            NaN            NaN            NaN
  1338.83        2500.00                 NaN   99.3036                 NaN  0.813502E-001  0.198357       0.207654       0.209057                 NaN            NaN            NaN            NaN            NaN
  1337.34        2500.00                 NaN   99.3114                 NaN  0.806696E-001  0.196080       0.205305       0.206573                 NaN            NaN            NaN            NaN            NaN
  1335.86        2500.00                 NaN   99.3180                 NaN  0.794128E-001  0.204366       0.193790       0.204399                 NaN            NaN            NaN            NaN            NaN
  1334.37        2500.00                 NaN   99.3261                 NaN  0.782604E-001  0.202652       0.191268       0.201756                 NaN            NaN            NaN            NaN            NaN
  1332.88        2500.00                 NaN   99.3327                 NaN  0.773214E-001  0.189684       0.200726       0.199551                 NaN            NaN            NaN            NaN            NaN
  1331.40        2500.00                 NaN   99.3398                 NaN  0.755802E-001  0.186633       0.200813       0.197147                 NaN            NaN            NaN            NaN            NaN
  1329.91        2500.00                 NaN   99.3464                 NaN  0.759339E-001  0.185758       0.196603       0.195319                 NaN            NaN            NaN            NaN            NaN
  1328.43        2500.00                 NaN   99.3534                 NaN  0.715674E-001  0.180878       0.201789       0.192373                 NaN            NaN            NaN            NaN            NaN
  1326.94        2500.00                 NaN   99.3600                 NaN  0.723796E-001  0.179933       0.197052       0.190630                 NaN            NaN            NaN            NaN            NaN
  1325.45        2500.00                 NaN   99.3666                 NaN  0.706992E-001  0.196554       0.177870       0.188272                 NaN            NaN            NaN            NaN            NaN
  1323.97        2500.00                 NaN   99.3734                 NaN  0.695258E-001  0.195654       0.175278       0.186150                 NaN            NaN            NaN            NaN            NaN
  1322.48        2500.00                 NaN   99.3797                 NaN  0.716690E-001  0.175129       0.189124       0.184357                 NaN            NaN            NaN            NaN            NaN
  1321.00        2500.00                 NaN   99.3856                 NaN  0.648088E-001  0.197693       0.170005       0.181897                 NaN            NaN            NaN            NaN            NaN
  1319.51        2500.00                 NaN   82.3411                 NaN   1.77112       0.463003        2.48152        2.19710        10.7462                 NaN            NaN            NaN            NaN
  1318.02        2500.00                 NaN   77.8029                 NaN   2.29711        3.21998       0.300168        2.72420        13.6557                 NaN            NaN            NaN            NaN
  1316.54        2500.00                 NaN   81.3137                 NaN   2.01618        2.83710       0.382708E-001   2.30209        11.4927                 NaN            NaN            NaN            NaN
  1315.05        2500.00                 NaN   83.9540                 NaN   1.74248        2.47569                 NaN   1.98479        9.84303                 NaN            NaN            NaN            NaN
  1313.57        2500.00                 NaN   86.0215                 NaN   1.51962        2.17370                 NaN   1.73581        8.54941                 NaN            NaN            NaN            NaN
  1312.08        2500.00                 NaN   87.6937                 NaN   1.35122        1.90844                 NaN   1.53350        7.51309                 NaN            NaN            NaN            NaN
  1310.59        2500.00                 NaN   89.0566                 NaN   1.19738        1.72438                 NaN   1.36972        6.65191                 NaN            NaN            NaN            NaN
  1309.11        2500.00                 NaN   90.1625                 NaN   1.08376        1.55440                 NaN   1.23630        5.96304                 NaN            NaN            NaN            NaN
  1307.62        2500.00                 NaN   91.1070                 NaN  0.986818        1.40934                 NaN   1.12186        5.37500                 NaN            NaN            NaN            NaN
  1306.13        2500.00                 NaN   91.9165                 NaN  0.902563        1.28719                 NaN   1.02365        4.87009                 NaN            NaN            NaN            NaN
  1304.65        2500.00                 NaN   92.6020                 NaN  0.830507        1.18448                 NaN  0.940366        4.44261                 NaN            NaN            NaN            NaN
  1303.16        2500.00                 NaN   93.1966                 NaN  0.767137        1.09701                 NaN  0.868032        4.07125                 NaN            NaN            NaN            NaN
  1301.68        2500.00                 NaN   93.7140                 NaN  0.712192        1.02051                 NaN  0.804959        3.74837                 NaN            NaN            NaN            NaN
  1300.19        2500.00                 NaN   94.1612                 NaN  0.665887       0.953122                 NaN  0.750338        3.46946                 NaN            NaN            NaN            NaN
  1298.70        2500.00                 NaN   93.5108                 NaN  0.698976        1.17556                 NaN  0.836060        3.77857                 NaN            NaN            NaN            NaN
  1297.22        2500.00                 NaN   95.6147                 NaN  0.394956       0.682019                 NaN  0.570222        2.65965       0.784344E-001            NaN            NaN            NaN
  1295.73        2500.00                 NaN   94.2999                 NaN  0.317055        1.11591                 NaN  0.742952        3.35198       0.172245                 NaN            NaN            NaN
  1294.25        2500.00                 NaN   94.6734                 NaN  0.295206        1.05246                 NaN  0.695522        3.12259       0.160866                 NaN            NaN            NaN
  1292.76        2500.00                 NaN   95.0065                 NaN  0.277871       0.992397                 NaN  0.652931        2.91979       0.150556                 NaN            NaN            NaN
  1291.27        2500.00                 NaN   95.2953                 NaN  0.259222       0.947094                 NaN  0.616413        2.74045       0.141510                 NaN            NaN            NaN
