|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1453.26        2500.00                 NaN   99.3652                 NaN            NaN  0.379972       0.254799                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00                 NaN   99.3709                 NaN            NaN  0.376965       0.252113                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00                 NaN   99.3756                 NaN            NaN  0.250060       0.374313                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.80        2500.00                 NaN   99.3810                 NaN            NaN  0.371357       0.247675                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.31        2500.00                 NaN   99.3861                 NaN            NaN  0.368096       0.245804                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.83        2500.00                 NaN   99.3912                 NaN            NaN  0.243399       0.365444                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.34        2500.00                 NaN   99.3962                 NaN            NaN  0.363266       0.240583                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.85        2500.00                 NaN   99.4007                 NaN            NaN  0.360729       0.238540                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.37        2500.00                 NaN   99.4058                 NaN            NaN  0.357504       0.236711                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.88        2500.00                 NaN   99.5264       0.332328E-001            NaN  0.440345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.40        2500.00                 NaN   99.2995                 NaN            NaN  0.427595       0.272914                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00                 NaN   99.4192                 NaN            NaN  0.230112       0.350662                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.42        2500.00                 NaN   98.9532                 NaN            NaN  0.429942       0.366458       0.250415                 NaN            NaN            NaN            NaN            NaN
  1433.94        2500.00                 NaN   98.4980                 NaN            NaN  0.625931       0.377305       0.498772                 NaN            NaN            NaN            NaN            NaN
  1432.45        2500.00                 NaN   98.5260                 NaN            NaN  0.614822       0.369694       0.489441                 NaN            NaN            NaN            NaN            NaN
  1430.97        2500.00                 NaN   98.5538                 NaN            NaN  0.603554       0.362189       0.480409                 NaN            NaN            NaN            NaN            NaN
  1429.48        2500.00                 NaN   98.5812                 NaN            NaN  0.592638       0.354877       0.471329                 NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.6070                 NaN            NaN  0.347989       0.582137       0.462867                 NaN            NaN            NaN            NaN            NaN
  1426.51        2500.00                 NaN   98.6315                 NaN            NaN  0.341185       0.572448       0.454916                 NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00                 NaN   98.6567                 NaN  0.150719E-001  0.338235       0.540599       0.449421                 NaN            NaN            NaN            NaN            NaN
  1423.54        2500.00                 NaN   98.6741                 NaN  0.114722       0.360396       0.387884       0.462863                 NaN            NaN            NaN            NaN            NaN
  1422.05        2500.00                 NaN   98.6970                 NaN  0.113704       0.379859       0.354232       0.455173                 NaN            NaN            NaN            NaN            NaN
  1420.56        2500.00                 NaN   98.7213                 NaN  0.112439       0.371153       0.348333       0.446794                 NaN            NaN            NaN            NaN            NaN
  1419.08        2500.00                 NaN   98.7437                 NaN  0.111507       0.363230       0.342415       0.439188                 NaN            NaN            NaN            NaN            NaN
  1417.59        2500.00                 NaN   98.7596                 NaN  0.110597       0.338415       0.357369       0.434028                 NaN            NaN            NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.7935                 NaN  0.108573       0.329816       0.346236       0.421893                 NaN            NaN            NaN            NaN            NaN
  1414.62        2500.00                 NaN   98.8072                 NaN  0.107684       0.341768       0.325682       0.417625                 NaN            NaN            NaN            NaN            NaN
  1413.13        2500.00                 NaN   98.8291                 NaN  0.106560       0.334890       0.319435       0.410031                 NaN            NaN            NaN            NaN            NaN
  1411.65        2500.00                 NaN   98.8484                 NaN  0.105775       0.328135       0.314069       0.403582                 NaN            NaN            NaN            NaN            NaN
  1410.16        2500.00                 NaN   98.8680                 NaN  0.104497       0.321439       0.309264       0.396755                 NaN            NaN            NaN            NaN            NaN
  1408.67        2500.00                 NaN   98.8871                 NaN  0.103307       0.315386       0.303993       0.390252                 NaN            NaN            NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.9095                 NaN  0.109560       0.296750       0.300208       0.383990                 NaN            NaN            NaN            NaN            NaN
  1405.70        2500.00                 NaN   98.9200                 NaN  0.942134E-001  0.315471       0.292921       0.377435                 NaN            NaN            NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.9410                 NaN  0.100229       0.289663       0.297526       0.371579                 NaN            NaN            NaN            NaN            NaN
  1402.73        2500.00                 NaN   98.9582                 NaN  0.164845       0.307504       0.191148       0.378268                 NaN            NaN            NaN            NaN            NaN
  1401.24        2500.00                 NaN   98.9747                 NaN  0.320062E-001  0.258599       0.387296       0.347362                 NaN            NaN            NaN            NaN            NaN
  1399.76        2500.00                 NaN   98.9878                 NaN  0.974083E-001  0.275224       0.283652       0.355963                 NaN            NaN            NaN            NaN            NaN
  1398.27        2500.00                 NaN   99.0084                 NaN  0.689601E-001  0.262477       0.317209       0.342983                 NaN            NaN            NaN            NaN            NaN
  1396.79        2500.00                 NaN   99.0233                 NaN  0.122901       0.277208       0.228257       0.348341                 NaN            NaN            NaN            NaN            NaN
  1395.30        2500.00                 NaN   99.0364                 NaN  0.945613E-001  0.264152       0.266201       0.338685                 NaN            NaN            NaN            NaN            NaN
  1393.81        2500.00                 NaN   99.0523                 NaN  0.935708E-001  0.259957       0.261077       0.333105                 NaN            NaN            NaN            NaN            NaN
  1392.33        2500.00                 NaN   99.0507                 NaN  0.982666E-001  0.258760       0.256412       0.335827                 NaN            NaN            NaN            NaN            NaN
  1390.84        2500.00                 NaN   99.0954                 NaN  0.864860E-001  0.253289       0.249041       0.315797                 NaN            NaN            NaN            NaN            NaN
  1389.36        2500.00                 NaN   99.0931                 NaN  0.907266E-001  0.248113       0.249228       0.318866                 NaN            NaN            NaN            NaN            NaN
  1387.87        2500.00                 NaN   99.1065                 NaN  0.896922E-001  0.245646       0.244169       0.314002                 NaN            NaN            NaN            NaN            NaN
  1386.38        2500.00                 NaN   99.1206                 NaN  0.885594E-001  0.241639       0.240094       0.309060                 NaN            NaN            NaN            NaN            NaN
  1384.90        2500.00                 NaN   99.1329                 NaN  0.877753E-001  0.236540       0.237948       0.304833                 NaN            NaN            NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.1450                 NaN  0.867099E-001  0.234852       0.232879       0.300545                 NaN            NaN            NaN            NaN            NaN
  1381.93        2500.00                 NaN   99.1579                 NaN  0.862292E-001  0.231689       0.228080       0.296118                 NaN            NaN            NaN            NaN            NaN
  1380.44        2500.00                 NaN   99.1697                 NaN  0.848992E-001  0.225369       0.228216       0.291818                 NaN            NaN            NaN            NaN            NaN
  1378.95        2500.00                 NaN   99.1818                 NaN  0.841790E-001  0.224962       0.221472       0.287621                 NaN            NaN            NaN            NaN            NaN
  1377.47        2500.00                 NaN   99.1917                 NaN  0.831520E-001  0.219521       0.221401       0.284252                 NaN            NaN            NaN            NaN            NaN
  1375.98        2500.00                 NaN   99.2052                 NaN  0.823770E-001  0.214601       0.218576       0.279261                 NaN            NaN            NaN            NaN            NaN
  1374.49        2500.00                 NaN   99.2151                 NaN  0.815367E-001  0.215541       0.211934       0.275866                 NaN            NaN            NaN            NaN            NaN
  1373.01        2500.00                 NaN   99.2226                 NaN  0.804968E-001  0.211666       0.211749       0.273506                 NaN            NaN            NaN            NaN            NaN
  1371.52        2500.00                 NaN   99.2409                 NaN  0.794204E-001  0.203370       0.210114       0.266157                 NaN            NaN            NaN            NaN            NaN
  1370.04        2500.00                 NaN   99.2465                 NaN  0.787190E-001  0.207328       0.202738       0.264707                 NaN            NaN            NaN            NaN            NaN
  1368.55        2500.00                 NaN   99.2566                 NaN  0.779048E-001  0.205204       0.199228       0.261030                 NaN            NaN            NaN            NaN            NaN
  1367.06        2500.00                 NaN   99.2664                 NaN  0.764923E-001  0.201506       0.198243       0.257348                 NaN            NaN            NaN            NaN            NaN
  1365.58        2500.00                 NaN   99.2766                 NaN  0.757558E-001  0.195070       0.198836       0.253776                 NaN            NaN            NaN            NaN            NaN
  1364.09        2500.00                 NaN   99.2863                 NaN  0.751083E-001  0.196014       0.192228       0.250367                 NaN            NaN            NaN            NaN            NaN
  1362.61        2500.00                 NaN   99.2928                 NaN  0.748307E-001  0.188661       0.195408       0.248323                 NaN            NaN            NaN            NaN            NaN
  1361.12        2500.00                 NaN   99.3066                 NaN  0.722819E-001  0.189191       0.189124       0.242764                 NaN            NaN            NaN            NaN            NaN
  1359.63        2500.00                 NaN   99.3138                 NaN  0.719745E-001  0.185589       0.188293       0.240299                 NaN            NaN            NaN            NaN            NaN
  1358.15        2500.00                 NaN   99.3223                 NaN  0.714357E-001  0.182847       0.186071       0.237339                 NaN            NaN            NaN            NaN            NaN
  1356.66        2500.00                 NaN   99.3314                 NaN  0.705769E-001  0.180819       0.183096       0.234122                 NaN            NaN            NaN            NaN            NaN
  1355.18        2500.00                 NaN   99.3400                 NaN  0.696545E-001  0.178667       0.180634       0.231084                 NaN            NaN            NaN            NaN            NaN
  1353.69        2500.00                 NaN   99.3479                 NaN  0.682226E-001  0.177239       0.178629       0.227976                 NaN            NaN            NaN            NaN            NaN
  1352.20        2500.00                 NaN   99.3557                 NaN  0.675386E-001  0.175219       0.176260       0.225242                 NaN            NaN            NaN            NaN            NaN
  1350.72        2500.00                 NaN   99.3638                 NaN  0.667968E-001  0.174311       0.172836       0.222241                 NaN            NaN            NaN            NaN            NaN
  1349.23        2500.00                 NaN   99.3713                 NaN  0.657897E-001  0.171687       0.171598       0.219612                 NaN            NaN            NaN            NaN            NaN
  1347.75        2500.00                 NaN   99.3798                 NaN  0.647218E-001  0.169547       0.169589       0.216341                 NaN            NaN            NaN            NaN            NaN
  1346.26        2500.00                 NaN   99.3873                 NaN  0.641332E-001  0.167355       0.167454       0.213725                 NaN            NaN            NaN            NaN            NaN
  1344.77        2500.00                 NaN   99.3939                 NaN  0.598484E-001  0.163786       0.171784       0.210683                 NaN            NaN            NaN            NaN            NaN
  1343.29        2500.00                 NaN   99.4025                 NaN  0.648616E-001  0.159913       0.164144       0.208629                 NaN            NaN            NaN            NaN            NaN
  1341.80        2500.00                 NaN   99.4090                 NaN  0.610501E-001  0.160864       0.163412       0.205704                 NaN            NaN            NaN            NaN            NaN
  1340.31        2500.00                 NaN   99.4158                 NaN  0.604283E-001  0.161479       0.159030       0.203270                 NaN            NaN            NaN            NaN            NaN
  1338.83        2500.00                 NaN   99.4227                 NaN  0.587902E-001  0.156451       0.161482       0.200606                 NaN            NaN            NaN            NaN            NaN
  1337.34        2500.00                 NaN   99.4297                 NaN  0.582151E-001  0.154513       0.159502       0.198082                 NaN            NaN            NaN            NaN            NaN
  1335.86        2500.00                 NaN   99.4358                 NaN  0.572030E-001  0.158594       0.152533       0.195858                 NaN            NaN            NaN            NaN            NaN
  1334.37        2500.00                 NaN   99.4429                 NaN  0.563085E-001  0.157139       0.150442       0.193188                 NaN            NaN            NaN            NaN            NaN
  1332.88        2500.00                 NaN   99.4490                 NaN  0.555356E-001  0.149045       0.155478       0.190943                 NaN            NaN            NaN            NaN            NaN
  1331.40        2500.00                 NaN   99.4554                 NaN  0.542114E-001  0.146509       0.155396       0.188510                 NaN            NaN            NaN            NaN            NaN
  1329.91        2500.00                 NaN   99.4614                 NaN  0.543812E-001  0.145668       0.151968       0.186632                 NaN            NaN            NaN            NaN            NaN
  1328.43        2500.00                 NaN   99.4676                 NaN  0.511811E-001  0.141722       0.155832       0.183689                 NaN            NaN            NaN            NaN            NaN
  1326.94        2500.00                 NaN   99.4735                 NaN  0.516811E-001  0.140850       0.152038       0.181899                 NaN            NaN            NaN            NaN            NaN
  1325.45        2500.00                 NaN   99.4795                 NaN  0.504059E-001  0.151507       0.139103       0.179524                 NaN            NaN            NaN            NaN            NaN
  1323.97        2500.00                 NaN   99.4855                 NaN  0.495087E-001  0.150682       0.136958       0.177379                 NaN            NaN            NaN            NaN            NaN
  1322.48        2500.00                 NaN   99.4913                 NaN  0.509539E-001  0.136696       0.145491       0.175550                 NaN            NaN            NaN            NaN            NaN
  1321.00        2500.00                 NaN   99.4963                 NaN  0.460160E-001  0.151986       0.132603       0.173090                 NaN            NaN            NaN            NaN            NaN
  1319.51        2500.00                 NaN   83.2093                 NaN   1.26584       0.359045        1.95284        2.11140        11.1016                 NaN            NaN            NaN            NaN
  1318.02        2500.00                 NaN   78.8062                 NaN   1.64009        2.53951       0.233238        2.62654        14.1545                 NaN            NaN            NaN            NaN
  1316.54        2500.00                 NaN   82.1896                 NaN   1.43287        2.23279       0.296738E-001   2.21676        11.8983                 NaN            NaN            NaN            NaN
  1315.05        2500.00                 NaN   84.7282                 NaN   1.23358        1.94546                 NaN   1.90972        10.1830                 NaN            NaN            NaN            NaN
  1313.57        2500.00                 NaN   86.7113                 NaN   1.07247        1.70634                 NaN   1.66928        8.84066                 NaN            NaN            NaN            NaN
  1312.08        2500.00                 NaN   88.3105                 NaN  0.950944        1.49773                 NaN   1.47419        7.76663                 NaN            NaN            NaN            NaN
  1310.59        2500.00                 NaN   89.6160                 NaN  0.840486        1.35178                 NaN   1.31645        6.87532                 NaN            NaN            NaN            NaN
  1309.11        2500.00                 NaN   90.6723                 NaN  0.758830        1.21808                 NaN   1.18803        6.16271                 NaN            NaN            NaN            NaN
  1307.62        2500.00                 NaN   91.5738                 NaN  0.689557        1.10410                 NaN   1.07794        5.55464                 NaN            NaN            NaN            NaN
  1306.13        2500.00                 NaN   92.3463                 NaN  0.629468        1.00811                 NaN  0.983493        5.03267                 NaN            NaN            NaN            NaN
  1304.65        2500.00                 NaN   93.0000                 NaN  0.578241       0.927522                 NaN  0.903416        4.59084                 NaN            NaN            NaN            NaN
  1303.16        2500.00                 NaN   93.5669                 NaN  0.533259       0.858882                 NaN  0.833878        4.20706                 NaN            NaN            NaN            NaN
  1301.68        2500.00                 NaN   94.0602                 NaN  0.494337       0.798882                 NaN  0.773247        3.87337                 NaN            NaN            NaN            NaN
  1300.19        2500.00                 NaN   94.4866                 NaN  0.461506       0.746028                 NaN  0.720741        3.58514                 NaN            NaN            NaN            NaN
  1298.70        2500.00                 NaN   93.8830                 NaN  0.486023       0.920420                 NaN  0.803591        3.90694                 NaN            NaN            NaN            NaN
  1297.22        2500.00                 NaN   95.8722                 NaN  0.273011       0.533491                 NaN  0.547385        2.74684       0.270728E-001            NaN            NaN            NaN
  1295.73        2500.00                 NaN   94.6679                 NaN  0.219466       0.874102                 NaN  0.713843        3.46516       0.595045E-001            NaN            NaN            NaN
  1294.25        2500.00                 NaN   95.0215                 NaN  0.204336       0.824222                 NaN  0.667913        3.22644       0.555415E-001            NaN            NaN            NaN
