|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1418.74        2500.00        98.5260       0.521886       0.263018                 NaN            NaN  0.239352       0.449777                 NaN            NaN            NaN
  1417.58        2500.00        98.5425       0.519016       0.253287                 NaN            NaN  0.240241       0.444908                 NaN            NaN            NaN
  1416.43        2500.00        98.5558       0.514853       0.247622                 NaN            NaN  0.240632       0.441119                 NaN            NaN            NaN
  1415.27        2500.00        98.5799       0.236583       0.511269                 NaN            NaN  0.238964       0.433265                 NaN            NaN            NaN
  1414.11        2500.00        99.5012       0.178643       0.827131E-001            NaN            NaN  0.850865E-001  0.152313                 NaN            NaN            NaN
  1412.96        2500.00        97.7009       0.374001       0.830896                 NaN            NaN  0.392715       0.701466                 NaN            NaN            NaN
  1411.80        2500.00        98.6258       0.498977       0.217032                 NaN            NaN  0.238488       0.419721                 NaN            NaN            NaN
  1410.64        2500.00        98.6396       0.208678       0.497587                 NaN            NaN  0.238500       0.415622                 NaN            NaN            NaN
  1409.49        2500.00        98.6563       0.202305       0.493421                 NaN            NaN  0.237591       0.410430                 NaN            NaN            NaN
  1408.33        2500.00        98.6690       0.195419       0.491076                 NaN            NaN  0.237962       0.406590                 NaN            NaN            NaN
  1407.17        2500.00        98.6854       0.486241       0.189192                 NaN            NaN  0.237423       0.401711                 NaN            NaN            NaN
  1406.02        2500.00        98.6991       0.183088       0.483724                 NaN            NaN  0.236750       0.397382                 NaN            NaN            NaN
  1404.86        2500.00        98.7136       0.175674       0.481096                 NaN            NaN  0.236617       0.393042                 NaN            NaN            NaN
  1403.70        2500.00        98.7269       0.170177       0.477447                 NaN            NaN  0.236538       0.388963                 NaN            NaN            NaN
  1402.55        2500.00        98.7409       0.163943       0.474806                 NaN            NaN  0.235736       0.384600                 NaN            NaN            NaN
  1401.39        2500.00        98.7539       0.157723       0.472012                 NaN            NaN  0.235693       0.380718                 NaN            NaN            NaN
  1400.23        2500.00        98.7665       0.468710       0.152572                 NaN            NaN  0.235442       0.376733                 NaN            NaN            NaN
  1399.08        2500.00        98.7791       0.146795       0.466359                 NaN            NaN  0.234893       0.372865                 NaN            NaN            NaN
  1397.92        2500.00        98.7917       0.464199       0.140673                 NaN            NaN  0.234454       0.369004                 NaN            NaN            NaN
  1396.76        2500.00        98.8025       0.462665       0.134938                 NaN            NaN  0.234299       0.365562                 NaN            NaN            NaN
  1395.61        2500.00        98.8156       0.129547       0.459589                 NaN            NaN  0.233734       0.361504                 NaN            NaN            NaN
  1394.45        2500.00        98.8274       0.456740       0.124733                 NaN            NaN  0.233244       0.357838                 NaN            NaN            NaN
  1393.29        2500.00        98.8387       0.119282       0.454825                 NaN            NaN  0.232816       0.354391                 NaN            NaN            NaN
  1392.14        2500.00        98.4573       0.168050       0.588214                 NaN            NaN  0.313529       0.472857                 NaN            NaN            NaN
  1390.98        2500.00        99.2486       0.304499       0.695888E-001            NaN            NaN  0.150532       0.226774                 NaN            NaN            NaN
  1389.82        2500.00        98.8731       0.447380       0.104391                 NaN            NaN  0.231454       0.343721                 NaN            NaN            NaN
  1388.67        2500.00        98.8845       0.445571       0.992075E-001            NaN            NaN  0.230575       0.340158                 NaN            NaN            NaN
  1387.51        2500.00        98.8925       0.445573       0.930384E-001            NaN            NaN  0.231212       0.337667                 NaN            NaN            NaN
  1386.35        2500.00        98.9062       0.440796       0.915566E-001            NaN            NaN  0.228469       0.332990                 NaN            NaN            NaN
  1385.20        2500.00        98.8909       0.430233       0.931457E-001            NaN            NaN  0.245770       0.339958                 NaN            NaN            NaN
  1384.04        2500.00        98.9478       0.749192E-001  0.447561                 NaN            NaN  0.211612       0.318128                 NaN            NaN            NaN
  1382.88        2500.00        98.9353       0.435972       0.774642E-001            NaN            NaN  0.227374       0.323908                 NaN            NaN            NaN
  1381.72        2500.00        98.9416       0.435771       0.731076E-001            NaN            NaN  0.227442       0.322084                 NaN            NaN            NaN
  1380.57        2500.00        98.9562       0.690843E-001  0.431710                 NaN            NaN  0.225834       0.317123                 NaN            NaN            NaN
  1379.41        2500.00        98.9536       0.442402       0.519142E-001            NaN            NaN  0.232907       0.319173                 NaN            NaN            NaN
  1378.25        2500.00        98.9834       0.418810       0.729813E-001            NaN            NaN  0.217562       0.307211                 NaN            NaN            NaN
  1377.10        2500.00        98.9815       0.427847       0.575155E-001            NaN            NaN  0.224013       0.309147                 NaN            NaN            NaN
  1375.94        2500.00        98.9913       0.425567       0.540695E-001            NaN            NaN  0.223005       0.306022                 NaN            NaN            NaN
  1374.78        2500.00        98.9965       0.425605       0.508179E-001            NaN            NaN  0.222873       0.304166                 NaN            NaN            NaN
  1373.63        2500.00        99.0097       0.486253E-001  0.421391                 NaN            NaN  0.220536       0.299777                 NaN            NaN            NaN
  1372.47        2500.00        99.0157       0.421328       0.443057E-001            NaN            NaN  0.220701       0.298010                 NaN            NaN            NaN
  1371.31        2500.00        99.0258       0.412337E-001  0.419446                 NaN            NaN  0.218915       0.294575                 NaN            NaN            NaN
  1370.16        2500.00        99.0343       0.417366       0.380974E-001            NaN            NaN  0.218305       0.291952                 NaN            NaN            NaN
  1369.00        2500.00        99.0417       0.416444       0.351004E-001            NaN            NaN  0.217262       0.289451                 NaN            NaN            NaN
  1367.84        2500.00        99.0495       0.408335       0.369597E-001            NaN            NaN  0.217417       0.287783                 NaN            NaN            NaN
  1366.69        2500.00        99.0606       0.411930       0.299226E-001            NaN            NaN  0.214401       0.283104                 NaN            NaN            NaN
  1365.53        2500.00        99.0655       0.275455E-001  0.411707                 NaN            NaN  0.213795       0.281488                 NaN            NaN            NaN
  1364.37        2500.00        99.0731       0.410553       0.246247E-001            NaN            NaN  0.212742       0.278996                 NaN            NaN            NaN
  1363.22        2500.00        99.0795       0.208109E-001  0.410282                 NaN            NaN  0.212345       0.277096                 NaN            NaN            NaN
  1362.06        2500.00        99.0900       0.209098E-001  0.406701                 NaN            NaN  0.209331       0.273041                 NaN            NaN            NaN
  1360.90        2500.00        99.0944       0.168194E-001  0.407346                 NaN            NaN  0.209610       0.271834                 NaN            NaN            NaN
  1359.75        2500.00        99.1031       0.404286       0.172964E-001            NaN            NaN  0.206688       0.268653                 NaN            NaN            NaN
  1358.59        2500.00        99.1105       0.142506E-001  0.402614                 NaN            NaN  0.206195       0.266466                 NaN            NaN            NaN
  1357.43        2500.00        99.1165       0.114630E-001  0.402904                 NaN            NaN  0.204832       0.264319                 NaN            NaN            NaN
  1356.28        2500.00        99.1240       0.400473       0.111606E-001            NaN            NaN  0.202816       0.261587                 NaN            NaN            NaN
  1355.12        2500.00        99.1297       0.878230E-002  0.400340                 NaN            NaN  0.201549       0.259589                 NaN            NaN            NaN
  1353.96        2500.00        99.1620       0.417358E-002  0.387919                 NaN            NaN  0.195349       0.250568                 NaN            NaN            NaN
  1352.81        2500.00        99.1192       0.405893       0.106190E-001            NaN            NaN  0.202801       0.261490                 NaN            NaN            NaN
  1351.65        2500.00        99.1502       0.627381E-002  0.394482                 NaN            NaN  0.196536       0.252490                 NaN            NaN            NaN
  1350.49        2500.00        99.1563       0.394091       0.436203E-002            NaN            NaN  0.194827       0.250433                 NaN            NaN            NaN
  1349.34        2500.00        99.1630       0.393553       0.220778E-002            NaN            NaN  0.193260       0.248023                 NaN            NaN            NaN
  1348.18        2500.00        99.1689       0.784922E-003  0.392350                 NaN            NaN  0.191726       0.246249                 NaN            NaN            NaN
  1347.02        2500.00        99.1745       0.391992                 NaN            NaN            NaN  0.189542       0.243993                 NaN            NaN            NaN
  1345.87        2500.00        99.1794       0.135463E-001  0.382821                 NaN            NaN  0.182879       0.241339                 NaN            NaN            NaN
  1344.71        2500.00        99.1878       0.384812                 NaN            NaN            NaN  0.187925       0.239501                 NaN            NaN            NaN
  1343.55        2500.00        99.1917       0.379373       0.125274E-001            NaN            NaN  0.179277       0.237075                 NaN            NaN            NaN
  1342.40        2500.00        99.1921       0.519715E-001  0.355023                 NaN            NaN  0.165671       0.235190                 NaN            NaN            NaN
  1341.24        2500.00        99.2035       0.383407                 NaN            NaN            NaN  0.179744       0.233373                 NaN            NaN            NaN
  1340.08        2500.00        99.2087       0.382630                 NaN            NaN            NaN  0.177132       0.231513                 NaN            NaN            NaN
  1338.93        2500.00        99.2153       0.378142                 NaN            NaN            NaN  0.177189       0.229352                 NaN            NaN            NaN
  1337.77        2500.00        99.1489       0.656897E-001  0.540783                 NaN            NaN  0.151056E-001  0.229485                 NaN            NaN            NaN
  1336.61        2500.00        99.2396       0.364669                 NaN            NaN            NaN  0.173931       0.221777                 NaN            NaN            NaN
  1335.46        2500.00        99.2327       0.369847                 NaN            NaN            NaN  0.173912       0.223586                 NaN            NaN            NaN
  1334.30        2500.00        99.2377       0.369212                 NaN            NaN            NaN  0.171404       0.221690                 NaN            NaN            NaN
  1333.14        2500.00        99.2423       0.368254                 NaN            NaN            NaN  0.169553       0.219893                 NaN            NaN            NaN
  1331.98        2500.00        99.2471       0.367617                 NaN            NaN            NaN  0.167133       0.218131                 NaN            NaN            NaN
  1330.83        2500.00        99.2517       0.367048                 NaN            NaN            NaN  0.164925       0.216315                 NaN            NaN            NaN
  1329.67        2500.00        99.2580       0.361989                 NaN            NaN            NaN  0.165359       0.214692                 NaN            NaN            NaN
  1328.51        2500.00        99.2632       0.364336                 NaN            NaN            NaN  0.160309       0.212204                 NaN            NaN            NaN
  1327.36        2500.00        99.2676       0.362821                 NaN            NaN            NaN  0.158860       0.210743                 NaN            NaN            NaN
  1326.20        2500.00        99.2703       0.366308                 NaN            NaN            NaN  0.154187       0.209179                 NaN            NaN            NaN
  1325.04        2500.00        99.2752       0.364511                 NaN            NaN            NaN  0.152824       0.207498                 NaN            NaN            NaN
  1323.89        2500.00        99.2791       0.364645                 NaN            NaN            NaN  0.150096       0.206117                 NaN            NaN            NaN
  1322.73        2500.00        99.2838       0.356473                 NaN            NaN            NaN  0.154864       0.204852                 NaN            NaN            NaN
  1321.57        2500.00        99.2906       0.363325                 NaN            NaN            NaN  0.144395       0.201645                 NaN            NaN            NaN
  1320.42        2500.00        99.2935       0.361574                 NaN            NaN            NaN  0.144006       0.200873                 NaN            NaN            NaN
  1319.26        2500.00        99.2963       0.364103                 NaN            NaN            NaN  0.140217       0.199416                 NaN            NaN            NaN
  1318.10        2500.00        99.2991       0.367566                 NaN            NaN            NaN  0.135378       0.198002                 NaN            NaN            NaN
  1316.95        2500.00        99.3026       0.369114                 NaN            NaN            NaN  0.131681       0.196568                 NaN            NaN            NaN
  1315.79        2500.00        99.3069       0.368769                 NaN            NaN            NaN  0.129384       0.194977                 NaN            NaN            NaN
  1314.63        2500.00        99.3121       0.363502                 NaN            NaN            NaN  0.130971       0.193433                 NaN            NaN            NaN
  1313.48        2500.00        99.3127       0.372564                 NaN            NaN            NaN  0.122338       0.192442                 NaN            NaN            NaN
  1312.32        2500.00        99.3200       0.364198                 NaN            NaN            NaN  0.125377       0.190381                 NaN            NaN            NaN
  1311.16        2500.00        99.3221       0.367188                 NaN            NaN            NaN  0.121419       0.189301                 NaN            NaN            NaN
  1310.01        2500.00        99.3229       0.375593                 NaN            NaN            NaN  0.113247       0.188239                 NaN            NaN            NaN
  1308.85        2500.00        99.3280       0.371758                 NaN            NaN            NaN  0.113545       0.186721                 NaN            NaN            NaN
  1307.69        2500.00        99.3346       0.362590                 NaN            NaN            NaN  0.117690       0.185157                 NaN            NaN            NaN
  1306.54        2500.00        99.3344       0.372843                 NaN            NaN            NaN  0.108380       0.184399                 NaN            NaN            NaN
  1305.38        2500.00        99.3337       0.381026                 NaN            NaN            NaN  0.102208       0.183023                 NaN            NaN            NaN
  1304.22        2500.00        97.3339       0.822060                 NaN            NaN            NaN  0.237664       0.431297        1.17506                 NaN            NaN
  1303.07        2500.00        90.3309        2.33068                 NaN            NaN            NaN  0.763088        1.30157        5.27380                 NaN            NaN
  1301.91        2500.00        90.7373        2.34006                 NaN            NaN            NaN  0.667577        1.24901        5.00601                 NaN            NaN
  1300.75        2500.00        91.1897        2.23055                 NaN            NaN            NaN  0.646009        1.19354        4.74023                 NaN            NaN
  1299.60        2500.00        90.1802        2.43168                 NaN            NaN            NaN  0.716301        1.32860        5.26187       0.813053E-001            NaN
  1298.44        2500.00        79.9566        4.47814                 NaN            NaN            NaN   1.46128        2.66980        10.7283       0.705916                 NaN
  1297.28        2500.00        81.1865        4.16941                 NaN            NaN            NaN   1.45442        2.50834        10.0248       0.656622                 NaN
  1296.13        2500.00        82.5264        3.87660                 NaN            NaN            NaN   1.39743        2.33348        9.26408       0.602041                 NaN
  1294.97        2500.00        83.8179        3.61185                 NaN            NaN            NaN   1.31918        2.16482        8.53637       0.549865                 NaN
  1293.81        2500.00        84.9728        3.38069                 NaN            NaN            NaN   1.24088        2.01368        7.88838       0.503551                 NaN
  1292.66        2500.00        86.0451        3.17071                 NaN            NaN            NaN   1.15904        1.87313        7.29080       0.461206                 NaN
  1291.50        2500.00        87.0188        2.97767                 NaN            NaN            NaN   1.08333        1.74491        6.75165       0.423591                 NaN
  1290.34        2500.00        87.8843        2.81010                 NaN            NaN            NaN   1.00952        1.63094        6.27470       0.390392                 NaN
  1289.19        2500.00        86.9353        2.92427                 NaN            NaN            NaN   1.04178        1.76422        6.89079       0.443588                 NaN
  1288.03        2500.00        91.2324        2.17381                 NaN            NaN            NaN  0.811438        1.17471        4.35678       0.250864                 NaN
  1286.87        2500.00        89.8103        2.41963                 NaN            NaN            NaN  0.820276        1.37110        5.25419       0.324546                 NaN
  1285.72        2500.00        90.9057        2.17944                 NaN            NaN            NaN  0.769340        1.23269        4.63415       0.278710                 NaN
  1284.56        2500.00        87.5224        2.95118                 NaN            NaN            NaN   1.01524        1.69907        6.41966       0.392411                 NaN
  1283.40        2500.00        93.5989        1.57170                 NaN            NaN            NaN  0.521891       0.868629        3.24619       0.192672                 NaN
  1282.25        2500.00        90.5108        2.22047                 NaN            NaN            NaN  0.795403        1.30594        4.87959       0.287822                 NaN
  1281.09        2500.00        96.3655        1.18162                 NaN            NaN            NaN  0.223987       0.458981        1.67110       0.988036E-001            NaN
  1279.93        2500.00        90.7866        2.24885                 NaN            NaN            NaN  0.748418        1.25445        4.67957       0.282107                 NaN
  1278.77        2500.00        95.2533        1.27362                 NaN            NaN            NaN  0.355975       0.639413        2.34364       0.134033                 NaN
  1277.62        2500.00        93.4340        1.72906                 NaN            NaN            NaN  0.458147       0.889647        3.29807       0.191096                 NaN
  1276.46        2500.00        93.5647        1.74139                 NaN            NaN            NaN  0.397125       0.868162        3.24036       0.188277                 NaN
  1275.30        2500.00        91.5633        1.74405                 NaN            NaN            NaN  0.842875        1.17481        4.40642       0.268547                 NaN
  1274.15        2500.00        96.6513        1.34540                 NaN            NaN            NaN  0.324432E-001  0.427046        1.48111       0.626744E-001            NaN
  1272.99        2500.00        92.6862        2.09400                 NaN            NaN            NaN  0.375400        1.00336        3.61979       0.221204                 NaN
  1271.83        2500.00        96.4699       0.984147                 NaN            NaN            NaN  0.239472       0.462098        1.76508       0.793451E-001            NaN
  1270.68        2500.00        93.8990        1.65790                 NaN            NaN            NaN  0.370526       0.822133        3.07937       0.171058                 NaN
  1269.52        2500.00        94.9740        1.01320                 NaN            NaN            NaN  0.513912       0.719724        2.61238       0.166777                 NaN
  1268.36        2500.00        95.5870        1.72505                 NaN            NaN            NaN            NaN  0.546572        2.05367       0.876904E-001            NaN
  1267.21        2500.00        90.7545        2.91673                 NaN            NaN            NaN  0.165939        1.25929        4.67563       0.227954                 NaN
  1266.05        2500.00        98.5888       0.675792                 NaN            NaN            NaN            NaN  0.201562       0.474172       0.597059E-001            NaN
  1264.89        2500.00        95.0341        1.79284                 NaN            NaN            NaN  0.755570E-003  0.665978        2.38986       0.116433                 NaN
  1263.74        2500.00        96.2984       0.567452                 NaN            NaN            NaN  0.487468       0.514991        2.06605       0.656473E-001            NaN
  1262.58        2500.00        91.0464        2.83555                 NaN            NaN            NaN  0.345403        1.19822        4.33969       0.234711                 NaN
  1261.42        2500.00        99.7157       0.111235                 NaN            NaN            NaN            NaN            NaN  0.173045                 NaN            NaN
  1260.27        2500.00        97.9996       0.711908                 NaN            NaN            NaN            NaN  0.294702       0.957630       0.361824E-001            NaN
  1259.11        2500.00        94.9132        1.47534                 NaN            NaN            NaN  0.233749       0.722420        2.53956       0.115774                 NaN
  1257.95        2500.00        95.4287        1.05629       0.605155                 NaN            NaN            NaN  0.631107        2.16269       0.116013                 NaN
  1256.80        2500.00        94.6609        1.21695                 NaN            NaN            NaN            NaN  0.665662        3.28038       0.176084                 NaN
  1255.64        2500.00        98.2391        1.13202                 NaN            NaN            NaN            NaN  0.193547       0.435327                 NaN            NaN
  1254.48        2500.00        92.6306        1.65842                 NaN            NaN            NaN            NaN   1.00132        4.43316       0.276463                 NaN
  1253.33        2500.00        97.5944       0.800671E-001  0.817616                 NaN            NaN            NaN  0.326652        1.13057       0.506545E-001            NaN
  1252.17        2500.00        96.1813        1.92508                 NaN            NaN            NaN            NaN  0.417621        1.47599                 NaN            NaN
  1251.01        2500.00        99.4587       0.422300                 NaN            NaN            NaN            NaN  0.742862E-001  0.426300E-001  0.207677E-002            NaN
  1249.86        2500.00        97.8408       0.561975                 NaN            NaN            NaN  0.151177       0.307312        1.12061       0.181454E-001            NaN
  1248.70        2500.00        96.7522        1.15459                 NaN            NaN            NaN            NaN  0.434573        1.59634       0.622475E-001            NaN
  1247.54        2500.00        96.2458        1.21807                 NaN            NaN            NaN            NaN  0.465453        1.96916       0.101571                 NaN
  1246.39        2500.00        99.8970       0.366636E-001            NaN            NaN            NaN            NaN  0.133227E-001  0.507769E-001  0.225746E-002            NaN
  1245.23        2500.00        99.9288       0.189717E-001            NaN            NaN            NaN            NaN  0.860786E-002  0.417351E-001  0.184792E-002            NaN
  1244.07        2500.00        92.9521        1.29428       0.458846                 NaN            NaN            NaN  0.991896        4.02994       0.272979                 NaN
  1242.92        2500.00        96.8984        1.65052                 NaN            NaN            NaN            NaN  0.334617        1.11648                 NaN            NaN
  1241.76        2500.00        97.7699       0.757853                 NaN            NaN            NaN            NaN  0.276940        1.16979       0.254757E-001            NaN
  1240.60        2500.00        97.6256       0.856491                 NaN            NaN            NaN            NaN  0.295146        1.21224       0.105300E-001            NaN
  1239.45        2500.00        96.1176        1.24859                 NaN            NaN            NaN            NaN  0.500815        2.04845       0.845732E-001            NaN
  1238.29        2500.00        98.8030       0.415286                 NaN            NaN            NaN            NaN  0.163555       0.592681       0.254959E-001            NaN
  1237.13        2500.00        99.3232       0.222721                 NaN            NaN            NaN            NaN  0.782666E-001  0.359917       0.159329E-001            NaN
  1235.98        2500.00        97.1170       0.910810                 NaN            NaN            NaN            NaN  0.367575        1.54690       0.576868E-001            NaN
  1234.82        2500.00        98.5660       0.366714                 NaN            NaN            NaN            NaN  0.180473       0.843305       0.435186E-001            NaN
  1233.66        2500.00        98.0285                 NaN            NaN            NaN            NaN            NaN  0.213173        1.63294       0.125365                 NaN
  1232.51        2500.00        97.4745        1.48421                 NaN            NaN            NaN            NaN  0.370112       0.671147                 NaN            NaN
  1231.35        2500.00        98.1433       0.687111                 NaN            NaN            NaN            NaN  0.229521       0.940092                 NaN            NaN
  1230.19        2500.00        98.3883       0.510475                 NaN            NaN            NaN            NaN  0.205695       0.877009       0.185124E-001            NaN
  1229.03        2500.00                 NaN   15.8217                 NaN            NaN            NaN            NaN   8.55147        43.4736        1.07353        31.0797     
  1227.88        2500.00                 NaN   15.8010                 NaN            NaN            NaN            NaN   8.55130        43.4919        1.08005        31.0758     
  1226.72        2500.00                 NaN   9.63928        6.19415                 NaN            NaN            NaN   8.61100        43.4131        1.06354        31.0789     
  1225.56        2500.00                 NaN   9.50323        6.33093                 NaN            NaN            NaN   8.61449        43.4095        1.06299        31.0789     
  1224.41        2500.00                 NaN   9.36975        6.46500                 NaN            NaN            NaN   8.61754        43.4063        1.06257        31.0788     
  1223.25        2500.00                 NaN   9.24873        6.58664                 NaN            NaN            NaN   8.62050        43.4032        1.06213        31.0788     
  1222.09        2500.00                 NaN   15.8367                 NaN            NaN            NaN            NaN   8.62224        43.4008        1.06137        31.0789     
  1220.94        2500.00                 NaN   9.03016        6.80645                 NaN            NaN            NaN   8.62603        43.3973        1.06128        31.0788     
  1219.78        2500.00                 NaN   15.8381                 NaN            NaN            NaN            NaN   8.62760        43.3949        1.06039        31.0790     
  1218.62        2500.00                 NaN   8.83084        7.00698                 NaN            NaN            NaN   8.63123        43.3917        1.06044        31.0788     
  1217.47        2500.00                 NaN   15.8396                 NaN            NaN            NaN            NaN   8.63275        43.3892        1.05941        31.0790     
  1216.31        2500.00                 NaN   15.8403                 NaN            NaN            NaN            NaN   8.63529        43.3865        1.05894        31.0790     
  1215.15        2500.00                 NaN   15.8412                 NaN            NaN            NaN            NaN   8.63787        43.3834        1.05842        31.0791     
  1214.00        2500.00                 NaN   5.90021        9.92035                 NaN            NaN            NaN   8.64510        43.3890        1.06943        31.0759     
  1212.84        2500.00                 NaN   8.40777        7.43312                 NaN            NaN            NaN   8.64310        43.3788        1.05833        31.0788     
  1211.68        2500.00                 NaN   15.8429                 NaN            NaN            NaN            NaN   8.64443        43.3763        1.05720        31.0791     
  1210.53        2500.00                 NaN   8.22599        7.61594                 NaN            NaN            NaN   8.64751        43.3741        1.05763        31.0788     
  1209.37        2500.00                 NaN   15.8444                 NaN            NaN            NaN            NaN   8.64970        43.3706        1.05622        31.0791     
  1208.21        2500.00                 NaN   6.12954        9.69420                 NaN            NaN            NaN   8.64835        43.3843        1.06742        31.0762     
  1207.06        2500.00                 NaN   5.95513        9.86233                 NaN            NaN            NaN   8.64862        43.3902        1.06887        31.0748     
  1205.90        2500.00                 NaN   7.93862        7.90561                 NaN            NaN            NaN   8.65585        43.3650        1.05604        31.0789     
  1204.74        2500.00                 NaN   7.86263        7.98210                 NaN            NaN            NaN   8.65783        43.3628        1.05569        31.0789     
  1203.59        2500.00                 NaN   7.79413        8.05116                 NaN            NaN            NaN   8.65980        43.3607        1.05531        31.0789     
  1202.43        2500.00                 NaN   15.8317                 NaN            NaN            NaN            NaN   8.62367        43.4027        1.06358        31.0783     
  1201.27        2500.00                 NaN   15.8536                 NaN            NaN            NaN            NaN   8.63315        43.3758        1.05567        31.0818     
  1200.12        2500.00                 NaN   15.8494                 NaN            NaN            NaN            NaN   8.66654        43.3516        1.05257        31.0798     
  1198.96        2500.00                 NaN   7.65996        8.19047                 NaN            NaN            NaN   8.66947        43.3485        1.05235        31.0792     
  1197.80        2500.00                 NaN   7.71047        8.13906                 NaN            NaN            NaN   8.67042        43.3485        1.05246        31.0791     
  1196.65        2500.00                 NaN   7.66657        8.18387                 NaN            NaN            NaN   8.67208        43.3462        1.05210        31.0792     
  1195.49        2500.00                 NaN   7.34667        8.50162                 NaN            NaN            NaN   8.67587        43.3452        1.05208        31.0786     
