|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1418.74        2500.00        98.6763       0.445047       0.221066                 NaN            NaN  0.186633       0.470938                 NaN            NaN            NaN
  1417.58        2500.00        98.6925       0.442217       0.212678                 NaN            NaN  0.187008       0.465627                 NaN            NaN            NaN
  1416.43        2500.00        98.7056       0.438295       0.207697                 NaN            NaN  0.186962       0.461448                 NaN            NaN            NaN
  1415.27        2500.00        98.7285       0.198270       0.434789                 NaN            NaN  0.185376       0.453015                 NaN            NaN            NaN
  1414.11        2500.00        99.5544       0.151615       0.691558E-001            NaN            NaN  0.657620E-001  0.159079                 NaN            NaN            NaN
  1412.96        2500.00        97.9434       0.313110       0.706111                 NaN            NaN  0.303945       0.733447                 NaN            NaN            NaN
  1411.80        2500.00        98.7732       0.423235       0.181331                 NaN            NaN  0.184067       0.438209                 NaN            NaN            NaN
  1410.64        2500.00        98.7867       0.174168       0.421635                 NaN            NaN  0.183765       0.433711                 NaN            NaN            NaN
  1409.49        2500.00        98.8028       0.168691       0.417714                 NaN            NaN  0.182743       0.428074                 NaN            NaN            NaN
  1408.33        2500.00        98.8153       0.162773       0.415355                 NaN            NaN  0.182697       0.423850                 NaN            NaN            NaN
  1407.17        2500.00        98.8312       0.410869       0.157426                 NaN            NaN  0.181995       0.418543                 NaN            NaN            NaN
  1406.02        2500.00        98.8445       0.152192       0.408366                 NaN            NaN  0.181119       0.413812                 NaN            NaN            NaN
  1404.86        2500.00        98.8585       0.145882       0.405762                 NaN            NaN  0.180778       0.409071                 NaN            NaN            NaN
  1403.70        2500.00        98.8715       0.141178       0.402327                 NaN            NaN  0.180368       0.404605                 NaN            NaN            NaN
  1402.55        2500.00        98.8851       0.135861       0.399695                 NaN            NaN  0.179457       0.399846                 NaN            NaN            NaN
  1401.39        2500.00        98.8977       0.130567       0.396970                 NaN            NaN  0.179148       0.395589                 NaN            NaN            NaN
  1400.23        2500.00        98.9102       0.393807       0.126168                 NaN            NaN  0.178605       0.391226                 NaN            NaN            NaN
  1399.08        2500.00        98.9224       0.121270       0.391435                 NaN            NaN  0.177877       0.386988                 NaN            NaN            NaN
  1397.92        2500.00        98.9347       0.389234       0.116090                 NaN            NaN  0.177254       0.382757                 NaN            NaN            NaN
  1396.76        2500.00        98.9454       0.387545       0.111235                 NaN            NaN  0.176811       0.378966                 NaN            NaN            NaN
  1395.61        2500.00        98.9581       0.106683       0.384618                 NaN            NaN  0.176098       0.374536                 NaN            NaN            NaN
  1394.45        2500.00        98.9696       0.381845       0.102613                 NaN            NaN  0.175421       0.370517                 NaN            NaN            NaN
  1393.29        2500.00        98.9806       0.980214E-001  0.379840                 NaN            NaN  0.174795       0.366725                 NaN            NaN            NaN
  1392.14        2500.00        98.6479       0.137842       0.490583                 NaN            NaN  0.234579       0.489144                 NaN            NaN            NaN
  1390.98        2500.00        99.3425       0.253648       0.570352E-001            NaN            NaN  0.112580       0.234262                 NaN            NaN            NaN
  1389.82        2500.00        99.0140       0.372539       0.855118E-001            NaN            NaN  0.172901       0.355021                 NaN            NaN            NaN
  1388.67        2500.00        99.0251       0.370639       0.811833E-001            NaN            NaN  0.171964       0.351121                 NaN            NaN            NaN
  1387.51        2500.00        99.0333       0.370213       0.760469E-001            NaN            NaN  0.172139       0.348330                 NaN            NaN            NaN
  1386.35        2500.00        99.0463       0.365878       0.747590E-001            NaN            NaN  0.169797       0.343285                 NaN            NaN            NaN
  1385.20        2500.00        99.0348       0.356669       0.759595E-001            NaN            NaN  0.182289       0.350244                 NaN            NaN            NaN
  1384.04        2500.00        99.0839       0.610494E-001  0.370756                 NaN            NaN  0.156729       0.327528                 NaN            NaN            NaN
  1382.88        2500.00        99.0748       0.360732       0.630471E-001            NaN            NaN  0.168112       0.333273                 NaN            NaN            NaN
  1381.72        2500.00        99.0814       0.360184       0.594379E-001            NaN            NaN  0.167843       0.331179                 NaN            NaN            NaN
  1380.57        2500.00        99.0952       0.561074E-001  0.356480                 NaN            NaN  0.166392       0.325860                 NaN            NaN            NaN
  1379.41        2500.00        99.0938       0.364935       0.421169E-001            NaN            NaN  0.171422       0.327749                 NaN            NaN            NaN
  1378.25        2500.00        99.1208       0.345076       0.591434E-001            NaN            NaN  0.159754       0.315248                 NaN            NaN            NaN
  1377.10        2500.00        99.1201       0.352143       0.465603E-001            NaN            NaN  0.164206       0.317024                 NaN            NaN            NaN
  1375.94        2500.00        99.1296       0.349894       0.437228E-001            NaN            NaN  0.163211       0.313605                 NaN            NaN            NaN
  1374.78        2500.00        99.1352       0.349523       0.410462E-001            NaN            NaN  0.162784       0.311490                 NaN            NaN            NaN
  1373.63        2500.00        99.1475       0.392332E-001  0.345694                 NaN            NaN  0.160839       0.306782                 NaN            NaN            NaN
  1372.47        2500.00        99.1536       0.345260       0.357086E-001            NaN            NaN  0.160664       0.304762                 NaN            NaN            NaN
  1371.31        2500.00        99.1633       0.331985E-001  0.343360                 NaN            NaN  0.159141       0.301038                 NaN            NaN            NaN
  1370.16        2500.00        99.1715       0.341295       0.306404E-001            NaN            NaN  0.158426       0.298149                 NaN            NaN            NaN
  1369.00        2500.00        99.1789       0.340158       0.281990E-001            NaN            NaN  0.157385       0.295386                 NaN            NaN            NaN
  1367.84        2500.00        99.1863       0.333303       0.296625E-001            NaN            NaN  0.157263       0.293475                 NaN            NaN            NaN
  1366.69        2500.00        99.1970       0.335762       0.239889E-001            NaN            NaN  0.154801       0.288497                 NaN            NaN            NaN
  1365.53        2500.00        99.2020       0.220582E-001  0.335197                 NaN            NaN  0.154087       0.286646                 NaN            NaN            NaN
  1364.37        2500.00        99.2094       0.333881       0.196975E-001            NaN            NaN  0.153076       0.283904                 NaN            NaN            NaN
  1363.22        2500.00        99.2157       0.166308E-001  0.333315                 NaN            NaN  0.152576       0.281766                 NaN            NaN            NaN
  1362.06        2500.00        99.2257       0.166901E-001  0.330020                 NaN            NaN  0.150108       0.277441                 NaN            NaN            NaN
  1360.90        2500.00        99.2304       0.134103E-001  0.330167                 NaN            NaN  0.150058       0.276014                 NaN            NaN            NaN
  1359.75        2500.00        99.2386       0.327317       0.137757E-001            NaN            NaN  0.147731       0.272584                 NaN            NaN            NaN
  1358.59        2500.00        99.2457       0.113383E-001  0.325627                 NaN            NaN  0.147145       0.270166                 NaN            NaN            NaN
  1357.43        2500.00        99.2517       0.910982E-002  0.325457                 NaN            NaN  0.145937       0.267792                 NaN            NaN            NaN
  1356.28        2500.00        99.2589       0.323146       0.886028E-002            NaN            NaN  0.144248       0.264828                 NaN            NaN            NaN
  1355.12        2500.00        99.2647       0.696439E-002  0.322655                 NaN            NaN  0.143097       0.262611                 NaN            NaN            NaN
  1353.96        2500.00        99.2927       0.330611E-002  0.312231                 NaN            NaN  0.138513       0.253291                 NaN            NaN            NaN
  1352.81        2500.00        99.2575       0.326421       0.840339E-002            NaN            NaN  0.143561       0.264150                 NaN            NaN            NaN
  1351.65        2500.00        99.2844       0.495930E-002  0.316874                 NaN            NaN  0.138863       0.254857                 NaN            NaN            NaN
  1350.49        2500.00        99.2904       0.316185       0.344436E-002            NaN            NaN  0.137427       0.252591                 NaN            NaN            NaN
  1349.34        2500.00        99.2968       0.315413       0.174155E-002            NaN            NaN  0.136116       0.249973                 NaN            NaN            NaN
  1348.18        2500.00        99.3025       0.618499E-003  0.314082                 NaN            NaN  0.134843       0.247997                 NaN            NaN            NaN
  1347.02        2500.00        99.3079       0.313446                 NaN            NaN            NaN  0.133084       0.245540                 NaN            NaN            NaN
  1345.87        2500.00        99.3128       0.106508E-001  0.305717                 NaN            NaN  0.128186       0.242686                 NaN            NaN            NaN
  1344.71        2500.00        99.3207       0.307177                 NaN            NaN            NaN  0.131475       0.240655                 NaN            NaN            NaN
  1343.55        2500.00        99.3246       0.302297       0.982975E-002            NaN            NaN  0.125279       0.238037                 NaN            NaN            NaN
  1342.40        2500.00        99.3251       0.407390E-001  0.282574                 NaN            NaN  0.115575       0.235968                 NaN            NaN            NaN
  1341.24        2500.00        99.3360       0.304831                 NaN            NaN            NaN  0.125160       0.233966                 NaN            NaN            NaN
  1340.08        2500.00        99.3411       0.303825                 NaN            NaN            NaN  0.123160       0.231924                 NaN            NaN            NaN
  1338.93        2500.00        99.3474       0.300029                 NaN            NaN            NaN  0.123003       0.229583                 NaN            NaN            NaN
  1337.77        2500.00        99.2855       0.520728E-001  0.422423                 NaN            NaN  0.104740E-001  0.229572                 NaN            NaN            NaN
  1336.61        2500.00        99.3691       0.288828                 NaN            NaN            NaN  0.120370       0.221678                 NaN            NaN            NaN
  1335.46        2500.00        99.3639       0.292642                 NaN            NaN            NaN  0.120161       0.223320                 NaN            NaN            NaN
  1334.30        2500.00        99.3687       0.291756                 NaN            NaN            NaN  0.118256       0.221256                 NaN            NaN            NaN
  1333.14        2500.00        99.3733       0.290659                 NaN            NaN            NaN  0.116787       0.219294                 NaN            NaN            NaN
  1331.98        2500.00        99.3779       0.289795                 NaN            NaN            NaN  0.114938       0.217369                 NaN            NaN            NaN
  1330.83        2500.00        99.3824       0.288998                 NaN            NaN            NaN  0.113235       0.215394                 NaN            NaN            NaN
  1329.67        2500.00        99.3881       0.284865                 NaN            NaN            NaN  0.113380       0.213612                 NaN            NaN            NaN
  1328.51        2500.00        99.3930       0.286244                 NaN            NaN            NaN  0.109735       0.210974                 NaN            NaN            NaN
  1327.36        2500.00        99.3973       0.284751                 NaN            NaN            NaN  0.108598       0.209361                 NaN            NaN            NaN
  1326.20        2500.00        99.4001       0.287050                 NaN            NaN            NaN  0.105220       0.207648                 NaN            NaN            NaN
  1325.04        2500.00        99.4047       0.285339                 NaN            NaN            NaN  0.104137       0.205821                 NaN            NaN            NaN
  1323.89        2500.00        99.4085       0.285044                 NaN            NaN            NaN  0.102130       0.204294                 NaN            NaN            NaN
  1322.73        2500.00        99.4132       0.278644                 NaN            NaN            NaN  0.105229       0.202883                 NaN            NaN            NaN
  1321.57        2500.00        99.4191       0.283369                 NaN            NaN            NaN  0.979478E-001  0.199553                 NaN            NaN            NaN
  1320.42        2500.00        99.4221       0.281748                 NaN            NaN            NaN  0.975485E-001  0.198637                 NaN            NaN            NaN
  1319.26        2500.00        99.4248       0.283292                 NaN            NaN            NaN  0.948256E-001  0.197045                 NaN            NaN            NaN
  1318.10        2500.00        99.4275       0.285560                 NaN            NaN            NaN  0.914194E-001  0.195497                 NaN            NaN            NaN
  1316.95        2500.00        99.4309       0.286363                 NaN            NaN            NaN  0.888036E-001  0.193933                 NaN            NaN            NaN
  1315.79        2500.00        99.4349       0.285782                 NaN            NaN            NaN  0.871214E-001  0.192217                 NaN            NaN            NaN
  1314.63        2500.00        99.4399       0.281521                 NaN            NaN            NaN  0.880522E-001  0.190549                 NaN            NaN            NaN
  1313.48        2500.00        99.4405       0.287936                 NaN            NaN            NaN  0.821422E-001  0.189429                 NaN            NaN            NaN
  1312.32        2500.00        99.4473       0.281393                 NaN            NaN            NaN  0.840411E-001  0.187256                 NaN            NaN            NaN
  1311.16        2500.00        99.4494       0.283291                 NaN            NaN            NaN  0.812742E-001  0.186053                 NaN            NaN            NaN
  1310.01        2500.00        99.4502       0.289196                 NaN            NaN            NaN  0.756940E-001  0.184869                 NaN            NaN            NaN
  1308.85        2500.00        99.4550       0.286023                 NaN            NaN            NaN  0.757840E-001  0.183239                 NaN            NaN            NaN
  1307.69        2500.00        99.4611       0.278901                 NaN            NaN            NaN  0.784356E-001  0.181566                 NaN            NaN            NaN
  1306.54        2500.00        99.4610       0.286199                 NaN            NaN            NaN  0.721179E-001  0.180686                 NaN            NaN            NaN
  1305.38        2500.00        99.4608       0.292054                 NaN            NaN            NaN  0.679241E-001  0.179204                 NaN            NaN            NaN
  1304.22        2500.00        97.5524       0.629933                 NaN            NaN            NaN  0.157848       0.422561        1.23726                 NaN            NaN
  1303.07        2500.00        90.8400        1.79352                 NaN            NaN            NaN  0.507422        1.28097        5.57813                 NaN            NaN
  1301.91        2500.00        91.2283        1.79841                 NaN            NaN            NaN  0.443110        1.23037        5.29981                 NaN            NaN
  1300.75        2500.00        91.6588        1.71392                 NaN            NaN            NaN  0.427958        1.17670        5.02267                 NaN            NaN
  1299.60        2500.00        90.7107        1.87099                 NaN            NaN            NaN  0.474010        1.31215        5.58528       0.469130E-001            NaN
  1298.44        2500.00        81.0080        3.47744                 NaN            NaN            NaN  0.970250        2.65717        11.4767       0.410461                 NaN
  1297.28        2500.00        82.2035        3.23606                 NaN            NaN            NaN  0.961528        2.49569        10.7215       0.381673                 NaN
  1296.13        2500.00        83.5021        3.00497                 NaN            NaN            NaN  0.919968        2.32034        9.90294       0.349734                 NaN
  1294.97        2500.00        84.7506        2.79523                 NaN            NaN            NaN  0.865025        2.15100        9.11897       0.319178                 NaN
  1293.81        2500.00        85.8659        2.61175                 NaN            NaN            NaN  0.810633        1.99914        8.42052       0.292044                 NaN
  1292.66        2500.00        86.8994        2.44514                 NaN            NaN            NaN  0.754414        1.85784        7.77603       0.267226                 NaN
  1291.50        2500.00        87.8368        2.29201                 NaN            NaN            NaN  0.702769        1.72888        7.19436       0.245176                 NaN
  1290.34        2500.00        88.6690        2.15870                 NaN            NaN            NaN  0.652764        1.61420        6.67960       0.225710                 NaN
  1289.19        2500.00        87.7436        2.24562                 NaN            NaN            NaN  0.671798        1.74600        7.33655       0.256447                 NaN
  1288.03        2500.00        91.8895        1.66207                 NaN            NaN            NaN  0.521031        1.15885        4.62393       0.144562                 NaN
  1286.87        2500.00        90.5094        1.84912                 NaN            NaN            NaN  0.526205        1.35227        5.57605       0.186975                 NaN
  1285.72        2500.00        91.5629        1.66022                 NaN            NaN            NaN  0.491919        1.21386        4.91084       0.160314                 NaN
  1284.56        2500.00        88.3868        2.25244                 NaN            NaN            NaN  0.646944        1.67517        6.81263       0.225989                 NaN
  1283.40        2500.00        94.0892        1.19107                 NaN            NaN            NaN  0.331387       0.851719        3.42630       0.110350                 NaN
  1282.25        2500.00        91.2087        1.68376                 NaN            NaN            NaN  0.504383        1.28188        5.15629       0.165019                 NaN
  1281.09        2500.00        96.7062       0.890420                 NaN            NaN            NaN  0.141224       0.448299        1.75746       0.563669E-001            NaN
  1279.93        2500.00        91.5024        1.69995                 NaN            NaN            NaN  0.472865        1.22854        4.93493       0.161369                 NaN
  1278.77        2500.00        95.6600       0.955930                 NaN            NaN            NaN  0.223659       0.623331        2.46079       0.763157E-001            NaN
  1277.62        2500.00        93.9745        1.29695                 NaN            NaN            NaN  0.288014       0.867442        3.46425       0.108826                 NaN
  1276.46        2500.00        94.0957        1.30366                 NaN            NaN            NaN  0.248824       0.845325        3.39942       0.107071                 NaN
  1275.30        2500.00        92.2425        1.30785                 NaN            NaN            NaN  0.528221        1.14371        4.62499       0.152692                 NaN
  1274.15        2500.00        96.9833        1.00110                 NaN            NaN            NaN  0.201885E-001  0.413666        1.54629       0.354572E-001            NaN
  1272.99        2500.00        93.3247        1.55808                 NaN            NaN            NaN  0.233814       0.973455        3.78464       0.125339                 NaN
  1271.83        2500.00        96.7943       0.728091                 NaN            NaN            NaN  0.148453       0.446313        1.83811       0.447560E-001            NaN
  1270.68        2500.00        94.4410        1.22819                 NaN            NaN            NaN  0.229575       0.794616        3.21007       0.965557E-001            NaN
  1269.52        2500.00        95.4287       0.749305                 NaN            NaN            NaN  0.317566       0.693803        2.71676       0.938900E-001            NaN
  1268.36        2500.00        96.0249        1.26726                 NaN            NaN            NaN            NaN  0.526072        2.13250       0.492897E-001            NaN
  1267.21        2500.00        91.5624        2.12876                 NaN            NaN            NaN  0.102456        1.21409        4.86399       0.128343                 NaN
  1266.05        2500.00        98.7890       0.495006                 NaN            NaN            NaN            NaN  0.192833       0.489838       0.333567E-001            NaN
  1264.89        2500.00        95.5235        1.30060                 NaN            NaN            NaN  0.463313E-003  0.638054        2.47228       0.651417E-001            NaN
  1263.74        2500.00        96.6356       0.409782                 NaN            NaN            NaN  0.298128       0.491888        2.12798       0.366154E-001            NaN
  1262.58        2500.00        91.9605        2.06177                 NaN            NaN            NaN  0.211191        1.14737        4.48797       0.131242                 NaN
  1261.42        2500.00        99.7426       0.802003E-001            NaN            NaN            NaN            NaN            NaN  0.177249                 NaN            NaN
  1260.27        2500.00        98.2112       0.506240                 NaN            NaN            NaN            NaN  0.279749       0.982718       0.200560E-001            NaN
  1259.11        2500.00        95.4463        1.05073                 NaN            NaN            NaN  0.142203       0.686464        2.61011       0.642380E-001            NaN
  1257.95        2500.00        95.9312       0.753651       0.436186                 NaN            NaN            NaN  0.598196        2.21653       0.642088E-001            NaN
  1256.80        2500.00        95.0402       0.875805                 NaN            NaN            NaN            NaN  0.629686        3.35706       0.972592E-001            NaN
  1255.64        2500.00        98.5631       0.810062                 NaN            NaN            NaN            NaN  0.182620       0.444221                 NaN            NaN
  1254.48        2500.00        93.1785        1.19183                 NaN            NaN            NaN            NaN  0.945907        4.53124       0.152489                 NaN
  1253.33        2500.00        97.8792       0.572934E-001  0.579010                 NaN            NaN            NaN  0.307256        1.14942       0.278198E-001            NaN
  1252.17        2500.00        96.7411        1.36481                 NaN            NaN            NaN            NaN  0.392763        1.50130                 NaN            NaN
  1251.01        2500.00        99.5895       0.296704                 NaN            NaN            NaN            NaN  0.694936E-001  0.431743E-001  0.113431E-002            NaN
  1249.86        2500.00        98.0829       0.394747                 NaN            NaN            NaN  0.901153E-001  0.287480        1.13480       0.991047E-002            NaN
  1248.70        2500.00        97.1335       0.810693                 NaN            NaN            NaN            NaN  0.406375        1.61548       0.339844E-001            NaN
  1247.54        2500.00        96.6545       0.864479                 NaN            NaN            NaN            NaN  0.434594        1.99104       0.553690E-001            NaN
  1246.39        2500.00        99.9095       0.257992E-001            NaN            NaN            NaN            NaN  0.123878E-001  0.511242E-001  0.122548E-002            NaN
  1245.23        2500.00        99.9355       0.134432E-001            NaN            NaN            NaN            NaN  0.800335E-002  0.420391E-001  0.100308E-002            NaN
  1244.07        2500.00        93.6146       0.907195       0.326583                 NaN            NaN            NaN  0.926003        4.07684       0.148780                 NaN
  1242.92        2500.00        97.4140        1.15117                 NaN            NaN            NaN            NaN  0.310851        1.12401                 NaN            NaN
  1241.76        2500.00        98.0278       0.530080                 NaN            NaN            NaN            NaN  0.256278        1.17207       0.137628E-001            NaN
  1240.60        2500.00        97.9131       0.594378                 NaN            NaN            NaN            NaN  0.272821        1.21404       0.568224E-002            NaN
  1239.45        2500.00        96.5752       0.865951                 NaN            NaN            NaN            NaN  0.462668        2.05054       0.456106E-001            NaN
  1238.29        2500.00        98.9594       0.285652                 NaN            NaN            NaN            NaN  0.150493       0.590807       0.136949E-001            NaN
  1237.13        2500.00        99.4050       0.155789                 NaN            NaN            NaN            NaN  0.719334E-001  0.358764       0.854827E-002            NaN
  1235.98        2500.00        97.4620       0.626985                 NaN            NaN            NaN            NaN  0.338138        1.54188       0.309774E-001            NaN
  1234.82        2500.00        98.7192       0.253574                 NaN            NaN            NaN            NaN  0.165570       0.838385       0.233056E-001            NaN
  1233.66        2500.00        98.1156                 NaN            NaN            NaN            NaN            NaN  0.195453        1.62188       0.670955E-001            NaN
  1232.51        2500.00        97.9736        1.01893                 NaN            NaN            NaN            NaN  0.339630       0.667848                 NaN            NaN
  1231.35        2500.00        98.3875       0.471251                 NaN            NaN            NaN            NaN  0.209795       0.931438                 NaN            NaN
  1230.19        2500.00        98.5858       0.349260                 NaN            NaN            NaN            NaN  0.187728       0.867376       0.986177E-002            NaN
  1229.03        2500.00                 NaN   11.7598                 NaN            NaN            NaN            NaN   8.42027        46.4578       0.616994        32.7451     
  1227.88        2500.00                 NaN   11.7423                 NaN            NaN            NaN            NaN   8.41992        46.4759       0.620722        32.7412     
  1226.72        2500.00                 NaN   7.14773        4.62729                 NaN            NaN            NaN   8.47859        46.3905       0.611213        32.7447     
  1225.56        2500.00                 NaN   7.04634        4.72936                 NaN            NaN            NaN   8.48199        46.3861       0.610887        32.7453     
  1224.41        2500.00                 NaN   6.94683        4.82940                 NaN            NaN            NaN   8.48497        46.3822       0.610632        32.7460     
  1223.25        2500.00                 NaN   6.85662        4.92015                 NaN            NaN            NaN   8.48786        46.3783       0.610372        32.7467     
  1222.09        2500.00                 NaN   11.7776                 NaN            NaN            NaN            NaN   8.48957        46.3753       0.609926        32.7476     
  1220.94        2500.00                 NaN   6.69376        5.08410                 NaN            NaN            NaN   8.49326        46.3710       0.609858        32.7481     
  1219.78        2500.00                 NaN   11.7787                 NaN            NaN            NaN            NaN   8.49480        46.3681       0.609341        32.7490     
  1218.62        2500.00                 NaN   6.54519        5.23363                 NaN            NaN            NaN   8.49834        46.3640       0.609354        32.7495     
  1217.47        2500.00                 NaN   11.7799                 NaN            NaN            NaN            NaN   8.49984        46.3610       0.608757        32.7505     
  1216.31        2500.00                 NaN   11.7805                 NaN            NaN            NaN            NaN   8.50231        46.3576       0.608475        32.7512     
  1215.15        2500.00                 NaN   11.7811                 NaN            NaN            NaN            NaN   8.50485        46.3539       0.608164        32.7520     
  1214.00        2500.00                 NaN   4.35853        7.40883                 NaN            NaN            NaN   8.51173        46.3579       0.614467        32.7485     
  1212.84        2500.00                 NaN   6.22981        5.55128                 NaN            NaN            NaN   8.50992        46.3478       0.608091        32.7531     
  1211.68        2500.00                 NaN   11.7824                 NaN            NaN            NaN            NaN   8.51123        46.3448       0.607435        32.7541     
  1210.53        2500.00                 NaN   6.09439        5.68754                 NaN            NaN            NaN   8.51423        46.3418       0.607665        32.7544     
  1209.37        2500.00                 NaN   11.7835                 NaN            NaN            NaN            NaN   8.51638        46.3377       0.606848        32.7556     
  1208.21        2500.00                 NaN   4.52950        7.23911                 NaN            NaN            NaN   8.51486        46.3507       0.613259        32.7525     
  1207.06        2500.00                 NaN   4.39884        7.36443                 NaN            NaN            NaN   8.51504        46.3561       0.614074        32.7515     
  1205.90        2500.00                 NaN   5.88012        5.90333                 NaN            NaN            NaN   8.52237        46.3301       0.606713        32.7574     
  1204.74        2500.00                 NaN   5.82348        5.96030                 NaN            NaN            NaN   8.52430        46.3274       0.606502        32.7581     
  1203.59        2500.00                 NaN   5.77243        6.01173                 NaN            NaN            NaN   8.52621        46.3246       0.606274        32.7588     
  1202.43        2500.00                 NaN   11.7682                 NaN            NaN            NaN            NaN   8.49083        46.3703       0.611027        32.7596     
  1201.27        2500.00                 NaN   11.7869                 NaN            NaN            NaN            NaN   8.50028        46.3418       0.606482        32.7645     
  1200.12        2500.00                 NaN   11.7872                 NaN            NaN            NaN            NaN   8.53280        46.3135       0.604669        32.7619     
  1198.96        2500.00                 NaN   5.67291        6.11519                 NaN            NaN            NaN   8.53568        46.3097       0.604529        32.7620     
  1197.80        2500.00                 NaN   5.71033        6.07666                 NaN            NaN            NaN   8.53659        46.3092       0.604581        32.7626     
  1196.65        2500.00                 NaN   5.67767        6.10998                 NaN            NaN            NaN   8.53822        46.3063       0.604366        32.7634     
