|6.6.6
Archiving\03_Data\fracLP/QFM_m5/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1947.37        500.000        95.5843       0.728161        3.68759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        95.5814       0.728241        3.69036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        95.5683       0.728392        3.70331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        95.5603       0.728508        3.71115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        95.5524       0.728623        3.71896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        95.5445       0.728738        3.72676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        95.5366       0.728852        3.73454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        95.5287       0.728967        3.74230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        95.5209       0.729082        3.75003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        95.5131       0.729196        3.75775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        95.5052       0.729310        3.76545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        95.4974       0.729424        3.77313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        95.4897       0.729538        3.78080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        95.4819       0.729652        3.78845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        95.4742       0.729765        3.79608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        95.4670       0.729875        3.80311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        95.4587       0.729992        3.81127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        95.4360       0.730211        3.83382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        95.4434       0.730218        3.82640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        95.4357       0.730331        3.83393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        95.4281       0.730443        3.84145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        95.4205       0.730556        3.84894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        95.4129       0.730668        3.85642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        95.4053       0.730781        3.86388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        95.3790       0.731024        3.89002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        95.3902       0.731005        3.87875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        95.3827       0.731116        3.88615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        95.3752       0.731228        3.89354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        95.3677       0.731339        3.90091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        95.3603       0.731451        3.90826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        95.3528       0.731562        3.91559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        95.3454       0.731673        3.92291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        95.3380       0.731784        3.93021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        95.3306       0.731895        3.93749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        95.3232       0.732005        3.94475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        95.0185       0.732212        3.94737       0.301897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5387                 NaN  0.556238E-003  0.460698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.7791                 NaN  0.359580E-002  0.217299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3113                 NaN  0.221891E-002  0.686444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5472                 NaN            NaN  0.452764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        98.2881                 NaN            NaN   1.71193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.9207                 NaN            NaN  0.792686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.9635                 NaN            NaN  0.365108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.6049                 NaN            NaN  0.395057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5564                 NaN            NaN  0.443626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5584                 NaN            NaN  0.441554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5371                 NaN            NaN  0.462850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5790                 NaN            NaN  0.420989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5659                 NaN            NaN  0.434062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5627                 NaN            NaN  0.437317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5647                 NaN            NaN  0.435282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5657                 NaN            NaN  0.434326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1340                 NaN            NaN  0.865964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5665                 NaN            NaN  0.433478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5698                 NaN            NaN  0.430165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5681                 NaN            NaN  0.431946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5683                 NaN            NaN  0.431743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5728                 NaN            NaN  0.427205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5695                 NaN            NaN  0.430535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5715                 NaN            NaN  0.428462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5705                 NaN            NaN  0.429526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5712                 NaN            NaN  0.428797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5713                 NaN            NaN  0.428675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5707                 NaN            NaN  0.429344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5710                 NaN            NaN  0.428990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5710                 NaN            NaN  0.429026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5705                 NaN            NaN  0.429545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5682                 NaN            NaN  0.431794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5710                 NaN            NaN  0.428960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.5699                 NaN            NaN  0.430131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6169                 NaN            NaN  0.383083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.5205                 NaN            NaN  0.479501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5680                 NaN            NaN  0.431959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.5673                 NaN            NaN  0.432697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5665                 NaN            NaN  0.433521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.5655                 NaN            NaN  0.434484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.5649                 NaN            NaN  0.435067       0.738415E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.5584                 NaN            NaN  0.433887       0.776203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5545                 NaN            NaN  0.435762       0.969503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.5544                 NaN            NaN  0.435985       0.963608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.5496                 NaN            NaN  0.440736       0.970363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.5555                 NaN            NaN  0.434962       0.949889E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.5515                 NaN            NaN  0.438972       0.956605E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.5498                 NaN            NaN  0.440694       0.954889E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.5449                 NaN            NaN  0.445496       0.961503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.5507                 NaN            NaN  0.439882       0.941555E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.5580                 NaN            NaN  0.432834       0.921339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.5308                 NaN            NaN  0.459468       0.974298E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.5426                 NaN            NaN  0.447934       0.943727E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.5410                 NaN            NaN  0.449603       0.942871E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5609                 NaN            NaN  0.430125       0.896214E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.7777                 NaN            NaN  0.217747       0.452354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2765                 NaN            NaN  0.708943       0.146021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.5345                 NaN            NaN  0.456139       0.932859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.5326                 NaN            NaN  0.458084       0.931283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.5311                 NaN            NaN  0.459653       0.927785E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.5297                 NaN            NaN  0.461052       0.928751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3642                 NaN            NaN  0.623347       0.124396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.7029                 NaN            NaN  0.291341       0.578137E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.5111                 NaN            NaN  0.479478       0.947099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.5228                 NaN            NaN  0.467979       0.917555E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.5211                 NaN            NaN  0.469740       0.917173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.5214                 NaN            NaN  0.469440       0.911302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.5179                 NaN            NaN  0.472997       0.913052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.5164                 NaN            NaN  0.474515       0.911847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.5143                 NaN            NaN  0.476605       0.912159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.5142                 NaN            NaN  0.476752       0.905784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.5113                 NaN            NaN  0.479651       0.907873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.5110                 NaN            NaN  0.479926       0.902878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.5086                 NaN            NaN  0.482364       0.902057E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.5073                 NaN            NaN  0.483732       0.900059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.5057                 NaN            NaN  0.485280       0.899373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.5046                 NaN            NaN  0.486477       0.897084E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.5023                 NaN            NaN  0.488727       0.895759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.5026                 NaN            NaN  0.488442       0.892394E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.5010                 NaN            NaN  0.490079       0.890707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4996                 NaN            NaN  0.491451       0.890062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4982                 NaN            NaN  0.492932       0.889339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4876                 NaN            NaN  0.503339       0.905065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.5067                 NaN            NaN  0.484585       0.867027E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.5021                 NaN            NaN  0.489014       0.885731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.4893                 NaN            NaN  0.501944       0.877892E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4948                 NaN            NaN  0.496469       0.877663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4945                 NaN            NaN  0.496691       0.876947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4911                 NaN            NaN  0.500136       0.878560E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1106                 NaN            NaN  0.874075       0.152915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.8310                 NaN            NaN  0.166077       0.293603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.5410                 NaN            NaN  0.451156       0.784090E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4920                 NaN            NaN  0.499273       0.868816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.4936                 NaN            NaN  0.497761       0.864171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2701                 NaN            NaN  0.718080       0.118410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        95.0090                 NaN            NaN  0.183201       0.615724E-002   4.80164                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.6184                 NaN            NaN  0.177567E-002            NaN  0.379779                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.9959                 NaN            NaN  0.411840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.5539                 NaN            NaN  0.429804E-002            NaN   1.44177                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4884                 NaN            NaN  0.538412E-002            NaN   1.50626                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5156                 NaN            NaN  0.247356E-002            NaN   1.48191                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5413                 NaN            NaN  0.321851E-002            NaN   1.45546                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5807                 NaN            NaN  0.874434E-001            NaN   1.33185                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.5958                 NaN            NaN  0.245604E-001            NaN   1.37966                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6140                 NaN            NaN            NaN            NaN   1.38600                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6451                 NaN            NaN  0.518354E-002            NaN   1.34974                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6626                 NaN            NaN            NaN            NaN   1.33740                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6872                 NaN            NaN            NaN            NaN   1.31276                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7107                 NaN            NaN            NaN            NaN   1.28925                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7297                 NaN            NaN            NaN            NaN   1.27027                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7499                 NaN            NaN            NaN            NaN   1.25008                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7758                 NaN            NaN            NaN            NaN   1.22415                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7918                 NaN            NaN            NaN            NaN   1.20823                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8107                 NaN            NaN            NaN            NaN   1.18929                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8289                 NaN            NaN            NaN            NaN   1.17114                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8470                 NaN            NaN            NaN            NaN   1.15303                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8661                 NaN            NaN            NaN            NaN   1.13391                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8846                 NaN            NaN            NaN            NaN   1.11539                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8987                 NaN            NaN            NaN            NaN   1.10132                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9171                 NaN            NaN            NaN            NaN   1.08287                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9348                 NaN            NaN            NaN            NaN   1.06519                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9462                 NaN            NaN            NaN            NaN   1.05384                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9576                 NaN            NaN            NaN            NaN   1.04236                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9793                 NaN            NaN            NaN            NaN   1.02074                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9914                 NaN            NaN            NaN            NaN   1.00864                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0071                 NaN            NaN            NaN            NaN  0.992947                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9251                 NaN            NaN            NaN            NaN  0.581568       0.493352                 NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8300                 NaN            NaN            NaN            NaN  0.125300        1.04467                 NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8425                 NaN            NaN            NaN            NaN  0.117397        1.04014                 NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8531                 NaN            NaN            NaN            NaN  0.111178        1.03570                 NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.8624                 NaN            NaN            NaN            NaN  0.104806        1.03280                 NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.8710                 NaN            NaN            NaN            NaN  0.980269E-001   1.03093                 NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.8703                 NaN            NaN            NaN            NaN  0.865008E-001   1.04323                 NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.8962                 NaN            NaN            NaN            NaN  0.841358E-001   1.01969                 NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.8970                 NaN            NaN            NaN            NaN  0.758654E-001   1.02714                 NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9035                 NaN            NaN            NaN            NaN  0.680804E-001   1.02842                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9084                 NaN            NaN            NaN            NaN  0.599171E-001   1.03171                 NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9105                 NaN            NaN            NaN            NaN  0.517976E-001   1.03772                 NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9171                 NaN            NaN            NaN            NaN  0.407639E-001   1.04211                 NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.9158                 NaN            NaN            NaN            NaN  0.313753E-001   1.05280                 NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.9159                 NaN            NaN            NaN            NaN  0.202988E-001   1.06381                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.9150                 NaN            NaN            NaN            NaN  0.745220E-002   1.07759                 NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.9059                 NaN            NaN            NaN            NaN  0.782063E-002   1.08284       0.345573E-002            NaN            NaN            NaN            NaN
  1491.23        500.000        98.1513                 NaN            NaN            NaN            NaN  0.102257E-001  0.831941        1.00648                 NaN            NaN            NaN            NaN
  1488.72        500.000        98.1928                 NaN            NaN            NaN            NaN  0.179250E-001  0.986841       0.802389                 NaN            NaN            NaN            NaN
  1486.22        500.000        98.2294                 NaN            NaN            NaN            NaN            NaN  0.802744       0.967851                 NaN            NaN            NaN            NaN
  1483.71        500.000        98.2702                 NaN            NaN            NaN            NaN  0.110001E-001  0.771847       0.946988                 NaN            NaN            NaN            NaN
  1481.20        500.000        98.3051                 NaN            NaN            NaN            NaN            NaN  0.765932       0.928918                 NaN            NaN            NaN            NaN
  1478.70        500.000        98.3409                 NaN            NaN            NaN            NaN            NaN  0.748272       0.910804                 NaN            NaN            NaN            NaN
  1476.19        500.000        98.3751                 NaN            NaN            NaN            NaN            NaN  0.731079       0.893777                 NaN            NaN            NaN            NaN
  1473.68        500.000        98.4101                 NaN            NaN            NaN            NaN            NaN  0.875951       0.713974                 NaN            NaN            NaN            NaN
  1471.18        500.000        98.4421                 NaN            NaN            NaN            NaN            NaN  0.859859       0.698052                 NaN            NaN            NaN            NaN
  1468.67        500.000        98.4740                 NaN            NaN            NaN            NaN            NaN  0.682270       0.843742                 NaN            NaN            NaN            NaN
  1466.17        500.000        98.5039                 NaN            NaN            NaN            NaN            NaN  0.666955       0.829112                 NaN            NaN            NaN            NaN
  1463.66        500.000        98.5351                 NaN            NaN            NaN            NaN            NaN  0.652337       0.812517                 NaN            NaN            NaN            NaN
