|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         ne             lc             hed           
  1561.23        2500.00        99.3922                 NaN  0.551663       0.561543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.3946                 NaN  0.552222       0.531712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        99.4058                 NaN  0.539289       0.549368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.4080                 NaN  0.540281       0.517439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4131                 NaN  0.534147       0.527250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.4173                 NaN  0.530886       0.518615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.4212                 NaN  0.528494       0.502967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.4272                 NaN  0.522032       0.508146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.4310                 NaN  0.520502       0.484763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.4338                 NaN  0.510435       0.557296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.4388                 NaN  0.522893       0.383228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.3359                 NaN  0.605436       0.586390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.5570                 NaN  0.405085       0.379469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.4499                 NaN  0.508268       0.418079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        99.4538                 NaN  0.503372       0.428173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.4568                 NaN  0.500961       0.422439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.4630                 NaN  0.488491       0.484828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.4635                 NaN  0.502775       0.336770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.4700                 NaN  0.490135       0.398462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.4726                 NaN  0.488040       0.393215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.4752                 NaN  0.487565       0.372275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.4790                 NaN  0.483885       0.370774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4838                 NaN  0.478828       0.373389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4852                 NaN  0.479754       0.350537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4931                 NaN  0.473094       0.338293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.3820                 NaN  0.159307                 NaN  0.458653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.3201                 NaN  0.742662E-003  0.686575E-004  0.679101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.3203                 NaN            NaN            NaN  0.679713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.4519                 NaN            NaN  0.300046E-001  0.518091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.1961                 NaN            NaN  0.904783E-002  0.794873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.3176                 NaN            NaN            NaN  0.682408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.1699                 NaN            NaN            NaN  0.830075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.5741                 NaN            NaN            NaN  0.425928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.1721                 NaN            NaN  0.405490E-005  0.827883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.2988                 NaN            NaN            NaN  0.701186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.2845                 NaN            NaN            NaN  0.715521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        99.1519                 NaN            NaN            NaN  0.629732       0.218339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.8617                 NaN            NaN            NaN  0.406388       0.731918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.8738                 NaN            NaN  0.312565E-004  0.724569       0.401552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.8842                 NaN            NaN            NaN  0.398154       0.717660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        98.8951                 NaN            NaN            NaN  0.393776       0.711077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.9058                 NaN            NaN            NaN  0.704480       0.389761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.9195                 NaN            NaN            NaN  0.384052       0.696477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00        98.9288                 NaN            NaN            NaN  0.691097       0.380110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.9382                 NaN            NaN            NaN  0.685155       0.376669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.9492                 NaN            NaN            NaN  0.372400       0.678422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.9591                 NaN            NaN            NaN  0.671834       0.369070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.9681                 NaN            NaN            NaN  0.363491       0.668425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.9761                 NaN            NaN            NaN  0.662920       0.361018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.9869                 NaN            NaN            NaN  0.657386       0.355731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.9948                 NaN            NaN            NaN  0.353214       0.651958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        99.0042                 NaN            NaN            NaN  0.349234       0.646522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        99.0131                 NaN            NaN            NaN  0.345427       0.641445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        99.0199                 NaN            NaN  0.189920E-003  0.340717       0.639192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        99.0305                 NaN            NaN            NaN  0.338251       0.631215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        98.6971                 NaN            NaN            NaN  0.452231       0.850622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        99.6213                 NaN            NaN  0.994777E-002  0.252301       0.116437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        98.8206                 NaN            NaN  0.232887E-003  0.408919       0.770269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.0597                 NaN            NaN            NaN  0.324407       0.615915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0675                 NaN            NaN            NaN  0.321592       0.610898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        99.0727                 NaN            NaN            NaN  0.609903       0.317432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        99.0915                 NaN            NaN  0.510444E-001  0.631959       0.225460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        98.0729                 NaN            NaN            NaN  0.714887       0.734191                 NaN  0.478038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        96.8543                 NaN            NaN  0.238730       0.929536       0.893425                 NaN   1.08405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.00        2500.00        96.9270                 NaN            NaN  0.272454       0.918816       0.814572                 NaN   1.06718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.45        2500.00        97.0002                 NaN            NaN  0.270138       0.901898       0.784350                 NaN   1.04337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.90        2500.00        97.0837                 NaN            NaN  0.266424       0.881871       0.752829                 NaN   1.01522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.35        2500.00        97.1579                 NaN            NaN  0.263591       0.727698       0.860044                 NaN  0.990730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.80        2500.00        97.2291                 NaN            NaN  0.260821       0.842424       0.700576                 NaN  0.967083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.25        2500.00        97.2958                 NaN            NaN  0.258397       0.675577       0.825424                 NaN  0.944831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.70        2500.00        97.3624                 NaN            NaN  0.255824       0.808586       0.650628                 NaN  0.922542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.15        2500.00        97.4249                 NaN            NaN  0.253367       0.793395       0.626611                 NaN  0.901687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        97.4808                 NaN            NaN  0.251702       0.779045       0.605053                 NaN  0.883447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.05        2500.00        97.5439                 NaN            NaN  0.248400       0.763214       0.582546                 NaN  0.861902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        97.5961                 NaN            NaN  0.246878       0.562409       0.749735                 NaN  0.844852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.95        2500.00        97.6485                 NaN            NaN  0.245207       0.736756       0.542646                 NaN  0.826916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        97.7074                 NaN            NaN  0.241865       0.721155       0.522226                 NaN  0.807376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.85        2500.00        97.7537                 NaN            NaN  0.240491       0.504345       0.709798                 NaN  0.791668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        97.7964                 NaN            NaN  0.239676       0.698879       0.487120                 NaN  0.777908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.75        2500.00        97.8511                 NaN            NaN  0.236159       0.684249       0.469875                 NaN  0.758659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00        97.8924                 NaN            NaN  0.235320       0.674680       0.452676                 NaN  0.744954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.65        2500.00        97.9328                 NaN            NaN  0.233701       0.436842       0.665110                 NaN  0.731509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        97.9793                 NaN            NaN  0.231810       0.420300       0.652935                 NaN  0.715621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.55        2500.00        98.0161                 NaN            NaN  0.230433       0.644218       0.405963                 NaN  0.703325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.00        2500.00        98.0557                 NaN            NaN  0.228901       0.633444       0.392038                 NaN  0.689905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.45        2500.00        98.0931                 NaN            NaN  0.227412       0.377406       0.624878                 NaN  0.677164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.90        2500.00        98.1298                 NaN            NaN  0.225977       0.362808       0.616763                 NaN  0.664674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.35        2500.00        98.1614                 NaN            NaN  0.236661       0.331499       0.613764                 NaN  0.656707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.80        2500.00        98.2028                 NaN            NaN  0.210763       0.592088       0.357099                 NaN  0.637233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.25        2500.00        98.2284                 NaN            NaN  0.222730       0.593654       0.323730                 NaN  0.631521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00        98.2668                 NaN            NaN  0.220081       0.312949       0.582237                 NaN  0.617887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.15        2500.00        98.2968                 NaN            NaN  0.218966       0.301522       0.575137                 NaN  0.607572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00        98.3208                 NaN            NaN  0.218169       0.290473       0.570877                 NaN  0.599659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.04        2500.00        98.3607                 NaN            NaN  0.216311       0.277287       0.559952                 NaN  0.585736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.49        2500.00        98.3734                 NaN            NaN  0.217102       0.269425       0.557441                 NaN  0.582653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.94        2500.00        98.4220                 NaN            NaN  0.212457       0.546130       0.255604                 NaN  0.563846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.39        2500.00        98.4389                 NaN            NaN  0.213017       0.247173       0.541867                 NaN  0.559058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.84        2500.00        98.4657                 NaN            NaN  0.211667       0.535128       0.237780                 NaN  0.549681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.29        2500.00        98.4893                 NaN            NaN  0.211211       0.528923       0.228091                 NaN  0.542492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.74        2500.00        98.5177                 NaN            NaN  0.209105       0.523818       0.217777                 NaN  0.531589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        2500.00        98.5415                 NaN            NaN  0.207695       0.210248       0.517325                 NaN  0.523197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.5641                 NaN            NaN  0.206738       0.512370       0.201183                 NaN  0.515589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.09        2500.00        98.5748                 NaN            NaN  0.216383       0.179164       0.512199                 NaN  0.517473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.54        2500.00        98.6222                 NaN            NaN  0.193400       0.497064       0.197203                 NaN  0.490147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        2500.00        98.6317                 NaN            NaN  0.203157       0.496607       0.176454                 NaN  0.492057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.44        2500.00        98.6510                 NaN            NaN  0.202871       0.493963       0.166509                 NaN  0.485706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.89        2500.00        98.6488                 NaN            NaN  0.212054       0.495997       0.153404                 NaN  0.489758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.34        2500.00        98.7268                 NaN            NaN  0.187891       0.166954       0.463955                 NaN  0.454445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.79        2500.00        98.7129                 NaN            NaN  0.198235       0.479865       0.145480                 NaN  0.463536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.24        2500.00        98.7314                 NaN            NaN  0.196894       0.139963       0.474895                 NaN  0.456816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.69        2500.00        98.7527                 NaN            NaN  0.195566       0.132904       0.469469                 NaN  0.449398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1389.14        2500.00        98.7699                 NaN            NaN  0.195076       0.466555       0.125101                 NaN  0.443323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.59        2500.00        98.7892                 NaN            NaN  0.191846       0.461418       0.121587                 NaN  0.435968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.04        2500.00        98.8052                 NaN            NaN  0.191451       0.114347       0.458402                 NaN  0.430610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.49        2500.00        98.8239                 NaN            NaN  0.190079       0.454667       0.107519                 NaN  0.423841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.94        2500.00        98.8399                 NaN            NaN  0.188324       0.450942       0.102913                 NaN  0.417945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.39        2500.00        98.8567                 NaN            NaN  0.186953       0.447097       0.972687E-001            NaN  0.412010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.84        2500.00        98.8724                 NaN            NaN  0.185430       0.443850       0.920797E-001            NaN  0.406209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1378.29        2500.00        98.8878                 NaN            NaN  0.183738       0.440548       0.873195E-001            NaN  0.400628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.74        2500.00        98.9034                 NaN            NaN  0.182489       0.804608E-001  0.438564                 NaN  0.395050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1375.18        2500.00        98.9189                 NaN            NaN  0.180302       0.433364       0.782494E-001            NaN  0.389154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00        98.9334                 NaN            NaN  0.179126       0.730903E-001  0.430457                 NaN  0.383896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1372.08        2500.00        98.9488                 NaN            NaN  0.177351       0.426892       0.686298E-001            NaN  0.378344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.53        2500.00        98.9579                 NaN            NaN  0.176662       0.664702E-001  0.423451                 NaN  0.375544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.98        2500.00        98.9808                 NaN            NaN  0.172585       0.599154E-001  0.420961                 NaN  0.365740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1367.43        2500.00        98.9886                 NaN            NaN  0.171703       0.570569E-001  0.419404                 NaN  0.363233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.88        2500.00        99.0018                 NaN            NaN  0.169706       0.415620       0.545821E-001            NaN  0.358261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1364.33        2500.00        99.0150                 NaN            NaN  0.167850       0.412753       0.510804E-001            NaN  0.353339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.78        2500.00        99.0277                 NaN            NaN  0.168010       0.447418E-001  0.409836                 NaN  0.349667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1361.23        2500.00        99.0418                 NaN            NaN  0.161974       0.405938       0.479387E-001            NaN  0.342390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1359.68        2500.00        99.0524                 NaN            NaN  0.161982       0.404637       0.418401E-001            NaN  0.339097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1358.13        2500.00        99.0627                 NaN            NaN  0.160842       0.366642E-001  0.404468                 NaN  0.335341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.58        2500.00        99.0756                 NaN            NaN  0.156457       0.393392E-001  0.398778                 NaN  0.329797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.03        2500.00        99.0865                 NaN            NaN  0.157506       0.397055       0.319539E-001            NaN  0.326935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1353.48        2500.00        99.1006                 NaN            NaN  0.151832       0.394949       0.329307E-001            NaN  0.319646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.93        2500.00        99.1073                 NaN            NaN  0.151424       0.397080       0.264019E-001            NaN  0.317832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
