|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1384.91        500.000        98.8883       0.389747       0.261737                 NaN            NaN  0.323693       0.136486                 NaN            NaN            NaN
  1383.85        500.000        98.8977       0.388246       0.255025                 NaN            NaN  0.321150       0.137844                 NaN            NaN            NaN
  1382.79        500.000        98.9114       0.249304       0.383921                 NaN            NaN  0.317242       0.138136                 NaN            NaN            NaN
  1381.73        500.000        98.9240       0.244226       0.380683                 NaN            NaN  0.313537       0.137596                 NaN            NaN            NaN
  1380.67        500.000        98.9327       0.379577       0.236920                 NaN            NaN  0.311237       0.139615                 NaN            NaN            NaN
  1379.61        500.000        98.9448       0.376211       0.231639                 NaN            NaN  0.307674       0.139657                 NaN            NaN            NaN
  1378.55        500.000        98.9557       0.372949       0.225996                 NaN            NaN  0.304812       0.140504                 NaN            NaN            NaN
  1377.48        500.000        98.9659       0.371185       0.219917                 NaN            NaN  0.301876       0.141117                 NaN            NaN            NaN
  1376.42        500.000        98.9756       0.215282       0.368287                 NaN            NaN  0.299204       0.141630                 NaN            NaN            NaN
  1375.36        500.000        98.9873       0.365688       0.209128                 NaN            NaN  0.295744       0.142131                 NaN            NaN            NaN
  1374.30        500.000        98.9973       0.363042       0.203613                 NaN            NaN  0.293065       0.143017                 NaN            NaN            NaN
  1373.24        500.000        99.0075       0.198369       0.360744                 NaN            NaN  0.290132       0.143237                 NaN            NaN            NaN
  1372.18        500.000        99.0168       0.358612       0.193114                 NaN            NaN  0.287554       0.143947                 NaN            NaN            NaN
  1371.12        500.000        99.0248       0.188351       0.356744                 NaN            NaN  0.285372       0.144719                 NaN            NaN            NaN
  1370.06        500.000        99.0368       0.183102       0.353789                 NaN            NaN  0.281740       0.144603                 NaN            NaN            NaN
  1369.00        500.000        99.0454       0.351741       0.178302                 NaN            NaN  0.279329       0.145210                 NaN            NaN            NaN
  1367.94        500.000        98.8368       0.435052       0.204670                 NaN            NaN  0.341535       0.181977                 NaN            NaN            NaN
  1366.88        500.000        99.2813       0.133279       0.265423                 NaN            NaN  0.209445       0.110565                 NaN            NaN            NaN
  1365.82        500.000        99.0724       0.164926       0.345072                 NaN            NaN  0.271534       0.146040                 NaN            NaN            NaN
  1364.76        500.000        99.0811       0.343104       0.160195                 NaN            NaN  0.269063       0.146525                 NaN            NaN            NaN
  1363.70        500.000        99.0871       0.341718       0.156022                 NaN            NaN  0.267574       0.147554                 NaN            NaN            NaN
  1362.64        500.000        99.1000       0.338974       0.150497                 NaN            NaN  0.263504       0.146994                 NaN            NaN            NaN
  1361.58        500.000        99.1061       0.147511       0.337112                 NaN            NaN  0.261865       0.147429                 NaN            NaN            NaN
  1360.52        500.000        99.1146       0.335478       0.142446                 NaN            NaN  0.259452       0.148033                 NaN            NaN            NaN
  1359.46        500.000        99.1228       0.137841       0.333505                 NaN            NaN  0.257248       0.148629                 NaN            NaN            NaN
  1358.40        500.000        99.1309       0.331397       0.134993                 NaN            NaN  0.254601       0.148073                 NaN            NaN            NaN
  1357.34        500.000        99.1384       0.329645       0.131141                 NaN            NaN  0.252508       0.148352                 NaN            NaN            NaN
  1356.28        500.000        99.1461       0.328099       0.126768                 NaN            NaN  0.250299       0.148784                 NaN            NaN            NaN
  1355.22        500.000        99.1533       0.326345       0.123738                 NaN            NaN  0.248057       0.148555                 NaN            NaN            NaN
  1354.16        500.000        99.1600       0.121147       0.324022                 NaN            NaN  0.246192       0.148635                 NaN            NaN            NaN
  1353.10        500.000        99.1700       0.322206       0.115978                 NaN            NaN  0.243161       0.148676                 NaN            NaN            NaN
  1352.04        500.000        99.1746       0.320834       0.114318                 NaN            NaN  0.241797       0.148461                 NaN            NaN            NaN
  1350.98        500.000        99.1803       0.320263       0.110762                 NaN            NaN  0.239959       0.148727                 NaN            NaN            NaN
  1349.92        500.000        99.1906       0.317096       0.106695                 NaN            NaN  0.237027       0.148588                 NaN            NaN            NaN
  1348.86        500.000        99.1911       0.320660       0.100889                 NaN            NaN  0.237422       0.149959                 NaN            NaN            NaN
  1347.80        500.000        99.2104       0.311231       0.101847                 NaN            NaN  0.230514       0.146050                 NaN            NaN            NaN
  1346.73        500.000        99.2110       0.311363       0.988417E-001            NaN            NaN  0.230887       0.147917                 NaN            NaN            NaN
  1345.67        500.000        99.2175       0.310568       0.953191E-001            NaN            NaN  0.228884       0.147775                 NaN            NaN            NaN
  1344.61        500.000        99.2243       0.928400E-001  0.308495                 NaN            NaN  0.226902       0.147513                 NaN            NaN            NaN
  1343.55        500.000        99.2306       0.901352E-001  0.307172                 NaN            NaN  0.224953       0.147165                 NaN            NaN            NaN
  1342.49        500.000        98.8941       0.122929       0.446898                 NaN            NaN  0.324302       0.211770                 NaN            NaN            NaN
  1341.43        500.000        99.5805       0.517099E-001  0.168353                 NaN            NaN  0.120389       0.790178E-001            NaN            NaN            NaN
  1340.37        500.000        99.2418       0.117665       0.289870                 NaN            NaN  0.219440       0.131251                 NaN            NaN            NaN
  1339.31        500.000        99.2628       0.312775       0.470670E-001            NaN            NaN  0.217109       0.160276                 NaN            NaN            NaN
  1338.25        500.000        99.2606       0.779575E-001  0.299605                 NaN            NaN  0.215841       0.145956                 NaN            NaN            NaN
  1337.19        500.000        99.2687       0.786816E-001  0.296067                 NaN            NaN  0.213004       0.143531                 NaN            NaN            NaN
  1336.13        500.000        99.2734       0.297253       0.711648E-001            NaN            NaN  0.212030       0.146175                 NaN            NaN            NaN
  1335.07        500.000        99.2800       0.733724E-001  0.293495                 NaN            NaN  0.209784       0.143396                 NaN            NaN            NaN
  1334.01        500.000        99.2857       0.728871E-001  0.291673                 NaN            NaN  0.207708       0.141993                 NaN            NaN            NaN
  1332.95        500.000        99.2901       0.291583       0.698217E-001            NaN            NaN  0.206417       0.142084                 NaN            NaN            NaN
  1331.89        500.000        99.2967       0.289186       0.681402E-001            NaN            NaN  0.204413       0.141535                 NaN            NaN            NaN
  1330.83        500.000        99.3020       0.670967E-001  0.287230                 NaN            NaN  0.202789       0.140835                 NaN            NaN            NaN
  1329.77        500.000        99.3074       0.285526       0.663564E-001            NaN            NaN  0.200992       0.139742                 NaN            NaN            NaN
  1328.71        500.000        99.3123       0.284410       0.649559E-001            NaN            NaN  0.199394       0.138963                 NaN            NaN            NaN
  1327.65        500.000        99.3191       0.603851E-001  0.283278                 NaN            NaN  0.197647       0.139578                 NaN            NaN            NaN
  1326.59        500.000        99.3212       0.280096       0.644243E-001            NaN            NaN  0.196680       0.137581                 NaN            NaN            NaN
  1325.53        500.000        99.3303       0.623397E-001  0.278650                 NaN            NaN  0.193352       0.135313                 NaN            NaN            NaN
  1324.47        500.000        99.3324       0.608962E-001  0.278150                 NaN            NaN  0.192921       0.135607                 NaN            NaN            NaN
  1323.41        500.000        99.3389       0.603060E-001  0.275760                 NaN            NaN  0.190856       0.134168                 NaN            NaN            NaN
  1322.35        500.000        99.3405       0.276188       0.590768E-001            NaN            NaN  0.190320       0.133963                 NaN            NaN            NaN
  1321.29        500.000        99.3515       0.271193       0.590984E-001            NaN            NaN  0.186732       0.131451                 NaN            NaN            NaN
  1320.23        500.000        99.3518       0.274067       0.539687E-001            NaN            NaN  0.186905       0.133250                 NaN            NaN            NaN
  1319.17        500.000        99.2554       0.111825       0.294580                 NaN            NaN  0.212261       0.125934                 NaN            NaN            NaN
  1318.11        500.000        99.4716       0.241499                 NaN            NaN            NaN  0.153804       0.133077                 NaN            NaN            NaN
  1317.04        500.000        99.2809       0.307681       0.540106E-001            NaN            NaN  0.207349       0.150107                 NaN            NaN            NaN
  1315.98        500.000        99.4584       0.225870       0.552288E-001            NaN            NaN  0.154485       0.106061                 NaN            NaN            NaN
  1314.92        500.000        99.3766       0.262754       0.578171E-001            NaN            NaN  0.178275       0.124590                 NaN            NaN            NaN
  1313.86        500.000        99.3804       0.261061       0.576618E-001            NaN            NaN  0.177134       0.123756                 NaN            NaN            NaN
  1312.80        500.000        99.3853       0.568467E-001  0.259518                 NaN            NaN  0.175574       0.122750                 NaN            NaN            NaN
  1311.74        500.000        99.3896       0.579164E-001  0.257858                 NaN            NaN  0.173987       0.120678                 NaN            NaN            NaN
  1310.68        500.000        99.3936       0.255768       0.581660E-001            NaN            NaN  0.172761       0.119728                 NaN            NaN            NaN
  1309.62        500.000        99.3978       0.253700       0.593251E-001            NaN            NaN  0.171291       0.117873                 NaN            NaN            NaN
  1308.56        500.000        99.4024       0.582794E-001  0.252853                 NaN            NaN  0.169705       0.116789                 NaN            NaN            NaN
  1307.50        500.000        99.4023       0.501421E-001  0.255363                 NaN            NaN  0.170827       0.121381                 NaN            NaN            NaN
  1306.44        500.000        99.4160       0.643881E-001  0.245456                 NaN            NaN  0.164506       0.109601                 NaN            NaN            NaN
  1305.38        500.000        99.4139       0.247362       0.607796E-001            NaN            NaN  0.165844       0.112162                 NaN            NaN            NaN
  1304.32        500.000        99.4176       0.634400E-001  0.244917                 NaN            NaN  0.164362       0.109730                 NaN            NaN            NaN
  1303.26        500.000        99.4215       0.638824E-001  0.243277                 NaN            NaN  0.163052       0.108289                 NaN            NaN            NaN
  1302.20        500.000        99.4252       0.244778       0.570580E-001            NaN            NaN  0.162427       0.110568                 NaN            NaN            NaN
  1301.14        500.000        99.4293       0.236389       0.722662E-001            NaN            NaN  0.159952       0.102086                 NaN            NaN            NaN
  1300.08        500.000        99.4327       0.677500E-001  0.237185                 NaN            NaN  0.159213       0.103195                 NaN            NaN            NaN
  1299.02        500.000        99.4348       0.642597E-001  0.238290                 NaN            NaN  0.158762       0.103871                 NaN            NaN            NaN
  1297.96        500.000        99.4404       0.231648       0.739865E-001            NaN            NaN  0.156146       0.977752E-001            NaN            NaN            NaN
  1296.90        500.000        99.4428       0.231259       0.728040E-001            NaN            NaN  0.155576       0.975437E-001            NaN            NaN            NaN
  1295.84        500.000        99.4465       0.229514       0.735547E-001            NaN            NaN  0.154353       0.960503E-001            NaN            NaN            NaN
  1294.78        500.000        99.4497       0.227677       0.752622E-001            NaN            NaN  0.153210       0.941119E-001            NaN            NaN            NaN
  1293.72        500.000        99.4531       0.768417E-001  0.225757                 NaN            NaN  0.152032       0.923054E-001            NaN            NaN            NaN
  1292.66        500.000        99.4563       0.223027       0.797064E-001            NaN            NaN  0.150860       0.901031E-001            NaN            NaN            NaN
  1291.60        500.000        99.4595       0.220759       0.820416E-001            NaN            NaN  0.149758       0.879723E-001            NaN            NaN            NaN
  1290.54        500.000        99.4625       0.838996E-001  0.218718                 NaN            NaN  0.148651       0.862046E-001            NaN            NaN            NaN
  1289.48        500.000        99.4660       0.856134E-001  0.216445                 NaN            NaN  0.147515       0.844295E-001            NaN            NaN            NaN
  1288.42        500.000        99.4679       0.906646E-001  0.212238                 NaN            NaN  0.147044       0.821571E-001            NaN            NaN            NaN
  1287.36        500.000        99.4721       0.212032       0.914665E-001            NaN            NaN  0.144987       0.794021E-001            NaN            NaN            NaN
  1286.29        500.000        99.4731       0.890617E-001  0.212554                 NaN            NaN  0.145210       0.800829E-001            NaN            NaN            NaN
  1285.23        500.000        99.4789       0.206123       0.978375E-001            NaN            NaN  0.142550       0.746221E-001            NaN            NaN            NaN
  1284.17        500.000        99.4798       0.203107       0.101337                 NaN            NaN  0.142524       0.732737E-001            NaN            NaN            NaN
  1283.11        500.000        99.4832       0.102199       0.201721                 NaN            NaN  0.141302       0.715789E-001            NaN            NaN            NaN
  1282.05        500.000        99.4806       0.211199       0.915528E-001            NaN            NaN  0.142717       0.739109E-001            NaN            NaN            NaN
  1280.99        500.000        99.4909       0.121592       0.188329                 NaN            NaN  0.137734       0.614229E-001            NaN            NaN            NaN
  1279.93        500.000        99.0008       0.205484       0.269208                 NaN            NaN  0.192020       0.429213E-001  0.289568                 NaN            NaN
  1278.87        500.000        93.7428        1.43514       0.614214                 NaN            NaN  0.764606                 NaN   3.44325                 NaN            NaN
  1277.81        500.000        94.0052       0.569512        1.40668                 NaN            NaN  0.736872                 NaN   3.28175                 NaN            NaN
  1276.75        500.000        94.2847       0.528717        1.36569                 NaN            NaN  0.706192                 NaN   3.11466                 NaN            NaN
  1275.69        500.000        94.5321       0.484158        1.33571                 NaN            NaN  0.679249                 NaN   2.96877                 NaN            NaN
  1274.63        500.000        94.7738       0.448181        1.30489                 NaN            NaN  0.652026                 NaN   2.82108                 NaN            NaN
  1273.57        500.000        94.9842        1.29182       0.397480                 NaN            NaN  0.629098                 NaN   2.69744                 NaN            NaN
  1272.51        500.000        94.3974       0.591500        1.23130                 NaN            NaN  0.698491                 NaN   3.00589       0.753722E-001            NaN
  1271.45        500.000        93.2313        1.00711        1.08195                 NaN            NaN  0.834871                 NaN   3.62992       0.214881                 NaN
  1270.39        500.000        93.6289       0.955195        1.02324                 NaN            NaN  0.789431       0.192169E-004   3.40324       0.199956                 NaN
  1269.33        500.000        93.9972       0.857914        1.01428                 NaN            NaN  0.746924       0.155069E-002   3.19547       0.186686                 NaN
  1268.27        500.000        94.3425       0.314522        1.29954                 NaN            NaN  0.710729       0.131484        3.02011       0.181081                 NaN
  1267.21        500.000        94.6483        1.36399       0.164619                 NaN            NaN  0.674299       0.132496        2.84578       0.170494                 NaN
  1266.15        500.000        94.9067        1.43342                 NaN            NaN            NaN  0.643025       0.150283        2.70354       0.163043                 NaN
  1265.09        500.000        95.1771        1.37907                 NaN            NaN            NaN  0.611049       0.126895        2.55344       0.152415                 NaN
  1264.03        500.000        95.4065        1.33343                 NaN            NaN            NaN  0.583529       0.108367        2.42479       0.143415                 NaN
  1262.97        500.000        95.6163        1.26487                 NaN            NaN            NaN  0.557849       0.113379        2.31074       0.136837                 NaN
  1261.91        500.000        95.8076        1.21030                 NaN            NaN            NaN  0.534431       0.111454        2.20589       0.130342                 NaN
  1260.85        500.000        95.9859        1.16455                 NaN            NaN            NaN  0.512678       0.104812        2.10814       0.123954                 NaN
  1259.79        500.000        96.1441        1.13059                 NaN            NaN            NaN  0.493200       0.938067E-001   2.02039       0.117882                 NaN
  1258.73        500.000        96.3541        1.02413                 NaN            NaN            NaN  0.468253       0.122254        1.91797       0.113257                 NaN
  1257.67        500.000        96.3891        1.08954                 NaN            NaN            NaN  0.461800       0.729509E-001   1.87857       0.108021                 NaN
  1256.60        500.000        96.5679        1.00111                 NaN            NaN            NaN  0.440487       0.945233E-001   1.79219       0.103812                 NaN
  1255.54        500.000        96.6831       0.978821                 NaN            NaN            NaN  0.425882       0.846459E-001   1.72831       0.992492E-001            NaN
  1254.48        500.000        96.8000       0.947233                 NaN            NaN            NaN  0.411365       0.805242E-001   1.66579       0.950577E-001            NaN
  1253.42        500.000        96.9059       0.923731                 NaN            NaN            NaN  0.398030       0.730620E-001   1.60833       0.909792E-001            NaN
  1252.36        500.000        97.0079       0.885494                 NaN            NaN            NaN  0.384847       0.788502E-001   1.55495       0.879511E-001            NaN
  1251.30        500.000        97.1009       0.850467                 NaN            NaN            NaN  0.372765       0.844587E-001   1.50619       0.851751E-001            NaN
  1250.24        500.000        97.1903       0.835999                 NaN            NaN            NaN  0.361511       0.732169E-001   1.45754       0.813915E-001            NaN
  1249.18        500.000        97.2749       0.817040                 NaN            NaN            NaN  0.350616       0.670641E-001   1.41233       0.780997E-001            NaN
  1248.12        500.000        97.3543       0.788875                 NaN            NaN            NaN  0.340138       0.701912E-001   1.37083       0.756246E-001            NaN
  1247.06        500.000        97.4298       0.767693                 NaN            NaN            NaN  0.330322       0.683490E-001   1.33098       0.728869E-001            NaN
  1246.00        500.000        97.5025       0.747023                 NaN            NaN            NaN  0.320811       0.666155E-001   1.29278       0.702988E-001            NaN
  1244.94        500.000        97.5705       0.729013                 NaN            NaN            NaN  0.311852       0.638144E-001   1.25701       0.677702E-001            NaN
  1243.88        500.000        97.6363       0.707316                 NaN            NaN            NaN  0.303088       0.648407E-001   1.22291       0.655674E-001            NaN
  1242.82        500.000        97.6979       0.691372                 NaN            NaN            NaN  0.294799       0.620932E-001   1.19058       0.632623E-001            NaN
  1241.76        500.000        97.7573       0.680842                 NaN            NaN            NaN  0.287112       0.551137E-001   1.15890       0.607589E-001            NaN
  1240.70        500.000        97.8151       0.665944                 NaN            NaN            NaN  0.279338       0.522741E-001   1.12882       0.585781E-001            NaN
  1239.64        500.000        97.8685       0.649341                 NaN            NaN            NaN  0.272089       0.522086E-001   1.10114       0.567152E-001            NaN
  1238.58        500.000        97.9214       0.637178                 NaN            NaN            NaN  0.265048       0.483799E-001   1.07340       0.546311E-001            NaN
  1237.52        500.000        97.9704       0.620803                 NaN            NaN            NaN  0.258229       0.492246E-001   1.04842       0.529109E-001            NaN
  1236.46        500.000        98.0193       0.610270                 NaN            NaN            NaN  0.251653       0.449887E-001   1.02281       0.509973E-001            NaN
  1235.40        500.000        98.0671       0.602608                 NaN            NaN            NaN  0.245298       0.382700E-001  0.997821       0.488765E-001            NaN
  1234.34        500.000        98.1080       0.595600                 NaN            NaN            NaN  0.239725       0.339599E-001  0.975604       0.471270E-001            NaN
  1233.28        500.000        98.1514       0.589840                 NaN            NaN            NaN  0.233827       0.268589E-001  0.952900       0.452093E-001            NaN
  1232.22        500.000        98.1938       0.574645                 NaN            NaN            NaN  0.227984       0.282241E-001  0.931576       0.437744E-001            NaN
  1231.16        500.000        98.2330       0.575038                 NaN            NaN            NaN  0.222814       0.172416E-001  0.910084       0.417856E-001            NaN
  1230.10        500.000        98.2693       0.559597                 NaN            NaN            NaN  0.217447       0.211728E-001  0.891792       0.406901E-001            NaN
  1229.04        500.000        98.3070       0.552568                 NaN            NaN            NaN  0.212382       0.167613E-001  0.872202       0.390980E-001            NaN
  1227.98        500.000        98.3423       0.545648                 NaN            NaN            NaN  0.207419       0.131893E-001  0.853811       0.376378E-001            NaN
  1226.92        500.000        98.3822       0.546863                 NaN            NaN            NaN  0.203550                 NaN  0.832264       0.351018E-001            NaN
  1225.85        500.000        98.4016       0.543988                 NaN            NaN            NaN  0.198464                 NaN  0.821018       0.348883E-001            NaN
  1224.79        500.000        98.4402       0.530475                 NaN            NaN            NaN  0.193923       0.187119E-004  0.802042       0.333169E-001            NaN
  1223.73        500.000        98.4729       0.517333                 NaN            NaN            NaN  0.190204       0.215478E-002  0.785446       0.319819E-001            NaN
  1222.67        500.000        98.5038       0.509870                 NaN            NaN            NaN  0.185667                 NaN  0.769830       0.308739E-001            NaN
  1221.61        500.000        98.5347       0.499917                 NaN            NaN            NaN  0.181362                 NaN  0.754170       0.298025E-001            NaN
  1220.55        500.000        98.5645       0.490017                 NaN            NaN            NaN  0.177862                 NaN  0.739005       0.285668E-001            NaN
  1219.49        500.000        98.5964       0.478413                 NaN            NaN            NaN  0.172318                 NaN  0.724706       0.281152E-001            NaN
  1218.43        500.000        98.6221       0.470963                 NaN            NaN            NaN  0.169503                 NaN  0.710664       0.267555E-001            NaN
  1217.37        500.000        98.6511       0.460946                 NaN            NaN            NaN  0.165967       0.433712E-005  0.696324       0.256100E-001            NaN
  1216.31        500.000        98.6763       0.453140                 NaN            NaN            NaN  0.162145                 NaN  0.683504       0.248712E-001            NaN
  1215.25        500.000        98.7070       0.441479                 NaN            NaN            NaN  0.157781                 NaN  0.669534       0.241904E-001            NaN
  1214.19        500.000        98.7363       0.430565                 NaN            NaN            NaN  0.154631                 NaN  0.655586       0.229335E-001            NaN
  1213.13        500.000        98.7533       0.426977                 NaN            NaN            NaN  0.150465                 NaN  0.646418       0.228370E-001            NaN
  1212.07        500.000        98.7842       0.414589                 NaN            NaN            NaN  0.147194                 NaN  0.632187       0.217879E-001            NaN
  1211.01        500.000        98.8222       0.395563                 NaN            NaN            NaN  0.140358                 NaN  0.619897       0.220229E-001            NaN
  1209.95        500.000        87.6755        2.07617                 NaN            NaN            NaN   1.14786                 NaN   5.09564       0.120463        3.88432     
  1208.89        500.000        98.9051       0.406178                 NaN            NaN            NaN  0.249763                 NaN            NaN  0.564249E-002  0.433325     
  1207.83        500.000        94.4048       0.225832                 NaN            NaN            NaN  0.314322       0.297774        2.51414       0.595568E-001   2.18357     
  1206.77        500.000        92.2375       0.923223                 NaN            NaN            NaN  0.640403       0.290470        2.89919       0.717440E-001   2.93752     
  1205.71        500.000        91.5258       0.826598                 NaN            NaN            NaN  0.731357       0.378099        3.29350       0.805826E-001   3.16402     
  1204.65        500.000        37.9188        7.65780                 NaN            NaN            NaN   5.09205        1.49850        22.2518       0.463422        25.1176     
  1203.59        500.000        99.3908                 NaN            NaN            NaN            NaN            NaN  0.622358E-001  0.385754       0.161239                 NaN
  1202.53        500.000        99.8952                 NaN            NaN            NaN            NaN  0.104776                 NaN            NaN            NaN            NaN
  1201.47        500.000        99.8314                 NaN            NaN            NaN            NaN            NaN  0.265398E-001  0.142038                 NaN            NaN
  1200.41        500.000        99.8282       0.582864E-001            NaN            NaN            NaN            NaN  0.131097E-001  0.100426                 NaN            NaN
  1199.35        500.000        99.4641       0.151410                 NaN            NaN            NaN            NaN  0.763102E-001  0.308221                 NaN            NaN
  1198.29        500.000        99.5191       0.195290                 NaN            NaN            NaN            NaN            NaN  0.285647                 NaN            NaN
  1197.23        500.000        98.2007       0.991872E-002  0.319954                 NaN            NaN  0.853285E-001            NaN   1.38406                 NaN            NaN
  1196.16        500.000        99.4218       0.175125       0.323915                 NaN            NaN  0.791161E-001            NaN            NaN            NaN            NaN
  1195.10        500.000        89.8910       0.744132                 NaN            NaN            NaN  0.755101       0.515641        4.22248                 NaN   3.87167     
  1194.04        500.000        99.7095       0.184590       0.255037E-001            NaN            NaN  0.358382E-001            NaN  0.391417E-001  0.546588E-002            NaN
  1192.98        500.000        99.5162       0.191041       0.243738E-001            NaN            NaN  0.416548E-001            NaN  0.222410       0.431660E-002            NaN
  1191.92        500.000        99.0740       0.104354       0.926234E-001            NaN            NaN  0.541929E-001            NaN  0.673000       0.186171E-002            NaN
  1190.86        500.000        95.3377       0.515892       0.884979E-002            NaN            NaN  0.351779       0.118746        2.01801       0.334658E-001   1.61553     
  1189.80        500.000        93.3593                 NaN            NaN            NaN            NaN  0.540290       0.427535        2.68539       0.679134E-001   2.91959     
  1188.74        500.000        41.1158        5.52009                 NaN            NaN            NaN   4.29322        1.30795        24.2533       0.429822        23.0798     
  1187.68        500.000                 NaN   9.05871       0.169856E-003            NaN            NaN   7.19489        2.16484        41.2468       0.736161        39.5985     
  1186.62        500.000                 NaN   9.03590       0.104392E-003            NaN            NaN   7.19438        2.18087        41.2487       0.736974        39.6030     
  1185.56        500.000                 NaN   9.01307       0.401148E-003            NaN            NaN   7.19387        2.19666        41.2507       0.737774        39.6075     
  1184.50        500.000                 NaN   8.99073       0.806589E-004            NaN            NaN   7.19335        2.21254        41.2527       0.738585        39.6121     
  1183.44        500.000                 NaN   8.96846       0.722365E-004            NaN            NaN   7.19284        2.22815        41.2546       0.739378        39.6165     
  1182.38        500.000                 NaN   8.94645       0.639878E-004            NaN            NaN   7.19234        2.24359        41.2565       0.740160        39.6209     
  1181.32        500.000                 NaN   8.92445       0.253308E-003            NaN            NaN   7.19184        2.25889        41.2584       0.740937        39.6253     
  1180.26        500.000                 NaN   8.90287       0.208214E-004            NaN            NaN   7.19133        2.27418        41.2602       0.741717        39.6297     
