|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1405.05        500.000        98.8787       0.440378       0.323056                 NaN            NaN  0.357873       0.909145E-005            NaN            NaN            NaN
  1403.99        500.000        98.7827       0.401456       0.368804                 NaN            NaN  0.398371       0.486216E-001            NaN            NaN            NaN
  1402.93        500.000        98.8035       0.379136       0.321680                 NaN            NaN  0.400893       0.947900E-001            NaN            NaN            NaN
  1401.87        500.000        98.6764       0.421962       0.351008                 NaN            NaN  0.443562       0.107056                 NaN            NaN            NaN
  1400.81        500.000        98.9708       0.326855       0.272571                 NaN            NaN  0.345827       0.839012E-001            NaN            NaN            NaN
  1399.75        500.000        98.8490       0.368932       0.298302                 NaN            NaN  0.386871       0.969031E-001            NaN            NaN            NaN
  1398.69        500.000        98.8554       0.294284       0.367708                 NaN            NaN  0.385408       0.972211E-001            NaN            NaN            NaN
  1397.63        500.000        98.8786       0.285272       0.360109                 NaN            NaN  0.377966       0.980769E-001            NaN            NaN            NaN
  1396.57        500.000        98.8954       0.280073       0.356288                 NaN            NaN  0.371672       0.965360E-001            NaN            NaN            NaN
  1395.51        500.000        98.9032       0.273723       0.354761                 NaN            NaN  0.369989       0.983586E-001            NaN            NaN            NaN
  1394.45        500.000        98.9210       0.265967       0.350027                 NaN            NaN  0.364327       0.986449E-001            NaN            NaN            NaN
  1393.39        500.000        98.8940       0.269478       0.359579                 NaN            NaN  0.373954       0.102992                 NaN            NaN            NaN
  1392.33        500.000        98.9821       0.332654       0.244556                 NaN            NaN  0.344444       0.962429E-001            NaN            NaN            NaN
  1391.27        500.000        98.9590       0.247811       0.340741                 NaN            NaN  0.352510       0.998921E-001            NaN            NaN            NaN
  1390.21        500.000        98.9695       0.338372       0.241913                 NaN            NaN  0.349433       0.100813                 NaN            NaN            NaN
  1389.15        500.000        98.9843       0.235721       0.334564                 NaN            NaN  0.344576       0.100844                 NaN            NaN            NaN
  1388.09        500.000        98.9927       0.332558       0.230811                 NaN            NaN  0.342165       0.101758                 NaN            NaN            NaN
  1387.03        500.000        99.0067       0.225029       0.328916                 NaN            NaN  0.337675       0.101670                 NaN            NaN            NaN
  1385.97        500.000        99.0197       0.325991       0.219037                 NaN            NaN  0.333376       0.101853                 NaN            NaN            NaN
  1384.91        500.000        99.0303       0.323488       0.213392                 NaN            NaN  0.330242       0.102595                 NaN            NaN            NaN
  1383.85        500.000        99.0395       0.321923       0.207702                 NaN            NaN  0.327467       0.103449                 NaN            NaN            NaN
  1382.79        500.000        99.0522       0.202867       0.318114                 NaN            NaN  0.323301       0.103485                 NaN            NaN            NaN
  1381.73        500.000        99.0641       0.198509       0.315080                 NaN            NaN  0.319346       0.102918                 NaN            NaN            NaN
  1380.67        500.000        99.0728       0.313845       0.192334                 NaN            NaN  0.316824       0.104240                 NaN            NaN            NaN
  1379.61        500.000        99.0842       0.310798       0.187870                 NaN            NaN  0.313018       0.104113                 NaN            NaN            NaN
  1378.55        500.000        99.0945       0.307821       0.183112                 NaN            NaN  0.309927       0.104595                 NaN            NaN            NaN
  1377.48        500.000        99.1043       0.306063       0.178001                 NaN            NaN  0.306764       0.104869                 NaN            NaN            NaN
  1376.42        500.000        99.1136       0.174055       0.303382                 NaN            NaN  0.303871       0.105102                 NaN            NaN            NaN
  1375.36        500.000        99.1246       0.300985       0.168936                 NaN            NaN  0.300180       0.105281                 NaN            NaN            NaN
  1374.30        500.000        99.1341       0.298540       0.164277                 NaN            NaN  0.297284       0.105785                 NaN            NaN            NaN
  1373.24        500.000        99.1438       0.159895       0.296360                 NaN            NaN  0.294133       0.105766                 NaN            NaN            NaN
  1372.18        500.000        99.1527       0.294330       0.155502                 NaN            NaN  0.291344       0.106115                 NaN            NaN            NaN
  1371.12        500.000        99.1605       0.151511       0.292507                 NaN            NaN  0.288959       0.106506                 NaN            NaN            NaN
  1370.06        500.000        99.1717       0.147130       0.289811                 NaN            NaN  0.285106       0.106253                 NaN            NaN            NaN
  1369.00        500.000        99.1800       0.287855       0.143120                 NaN            NaN  0.282493       0.106531                 NaN            NaN            NaN
  1367.94        500.000        99.0016       0.355659       0.164161                 NaN            NaN  0.345247       0.133381                 NaN            NaN            NaN
  1366.88        500.000        99.3842       0.106718       0.216745                 NaN            NaN  0.211490       0.808309E-001            NaN            NaN            NaN
  1365.82        500.000        99.2057       0.131971       0.281576                 NaN            NaN  0.274099       0.106617                 NaN            NaN            NaN
  1364.76        500.000        99.2140       0.279699       0.128046                 NaN            NaN  0.271435       0.106804                 NaN            NaN            NaN
  1363.70        500.000        99.2200       0.278303       0.124578                 NaN            NaN  0.269763       0.107370                 NaN            NaN            NaN
  1362.64        500.000        99.2319       0.275796       0.120052                 NaN            NaN  0.265489       0.106808                 NaN            NaN            NaN
  1361.58        500.000        99.2378       0.117535       0.274010                 NaN            NaN  0.263671       0.106937                 NaN            NaN            NaN
  1360.52        500.000        99.2459       0.272425       0.113381                 NaN            NaN  0.261074       0.107226                 NaN            NaN            NaN
  1359.46        500.000        99.2536       0.109617       0.270572                 NaN            NaN  0.258689       0.107493                 NaN            NaN            NaN
  1358.40        500.000        99.2614       0.268575       0.107222                 NaN            NaN  0.255862       0.106899                 NaN            NaN            NaN
  1357.34        500.000        99.2685       0.266889       0.104051                 NaN            NaN  0.253593       0.106939                 NaN            NaN            NaN
  1356.28        500.000        99.2758       0.265393       0.100482                 NaN            NaN  0.251210       0.107079                 NaN            NaN            NaN
  1355.22        500.000        99.2828       0.263689       0.979676E-001            NaN            NaN  0.248798       0.106736                 NaN            NaN            NaN
  1354.16        500.000        99.2892       0.958202E-001  0.261544                 NaN            NaN  0.246764       0.106627                 NaN            NaN            NaN
  1353.10        500.000        99.2985       0.259847       0.916383E-001            NaN            NaN  0.243564       0.106491                 NaN            NaN            NaN
  1352.04        500.000        99.3031       0.258449       0.902191E-001            NaN            NaN  0.242038       0.106153                 NaN            NaN            NaN
  1350.98        500.000        99.3088       0.257700       0.873079E-001            NaN            NaN  0.240038       0.106163                 NaN            NaN            NaN
  1349.92        500.000        99.3181       0.254953       0.840339E-001            NaN            NaN  0.236946       0.105920                 NaN            NaN            NaN
  1348.86        500.000        99.3191       0.257560       0.793596E-001            NaN            NaN  0.237182       0.106791                 NaN            NaN            NaN
  1347.80        500.000        99.3363       0.249726       0.800418E-001            NaN            NaN  0.230124       0.103784                 NaN            NaN            NaN
  1346.73        500.000        99.3375       0.249599       0.776019E-001            NaN            NaN  0.230343       0.104943                 NaN            NaN            NaN
  1345.67        500.000        99.3437       0.248719       0.747507E-001            NaN            NaN  0.228190       0.104674                 NaN            NaN            NaN
  1344.61        500.000        99.3501       0.727331E-001  0.246784                 NaN            NaN  0.226060       0.104338                 NaN            NaN            NaN
  1343.55        500.000        99.3561       0.705391E-001  0.245474                 NaN            NaN  0.223966       0.103942                 NaN            NaN            NaN
  1342.49        500.000        99.0753       0.960482E-001  0.356577                 NaN            NaN  0.322737       0.149368                 NaN            NaN            NaN
  1341.43        500.000        99.6502       0.403610E-001  0.134188                 NaN            NaN  0.119630       0.556037E-001            NaN            NaN            NaN
  1340.37        500.000        99.3670       0.917901E-001  0.230910                 NaN            NaN  0.218031       0.922570E-001            NaN            NaN            NaN
  1339.31        500.000        99.3863       0.248958       0.366790E-001            NaN            NaN  0.215561       0.112488                 NaN            NaN            NaN
  1338.25        500.000        99.3847       0.606857E-001  0.238184                 NaN            NaN  0.214156       0.102288                 NaN            NaN            NaN
  1337.19        500.000        99.3920       0.611926E-001  0.235164                 NaN            NaN  0.211195       0.100434                 NaN            NaN            NaN
  1336.13        500.000        99.3966       0.235897       0.552923E-001            NaN            NaN  0.210084       0.102132                 NaN            NaN            NaN
  1335.07        500.000        99.4026       0.569497E-001  0.232685                 NaN            NaN  0.207714       0.100047                 NaN            NaN            NaN
  1334.01        500.000        99.4081       0.565042E-001  0.230967                 NaN            NaN  0.205517       0.988989E-001            NaN            NaN            NaN
  1332.95        500.000        99.4124       0.230642       0.540736E-001            NaN            NaN  0.204097       0.988043E-001            NaN            NaN            NaN
  1331.89        500.000        99.4185       0.228537       0.527163E-001            NaN            NaN  0.201976       0.982897E-001            NaN            NaN            NaN
  1330.83        500.000        99.4235       0.518561E-001  0.226764                 NaN            NaN  0.200231       0.976483E-001            NaN            NaN            NaN
  1329.77        500.000        99.4285       0.225172       0.512271E-001            NaN            NaN  0.198319       0.967391E-001            NaN            NaN            NaN
  1328.71        500.000        99.4332       0.224053       0.500966E-001            NaN            NaN  0.196604       0.960547E-001            NaN            NaN            NaN
  1327.65        500.000        99.4394       0.465318E-001  0.222965                 NaN            NaN  0.194745       0.963767E-001            NaN            NaN            NaN
  1326.59        500.000        99.4417       0.220208       0.495794E-001            NaN            NaN  0.193657       0.948065E-001            NaN            NaN            NaN
  1325.53        500.000        99.4498       0.479335E-001  0.218876                 NaN            NaN  0.190246       0.931222E-001            NaN            NaN            NaN
  1324.47        500.000        99.4521       0.467700E-001  0.218237                 NaN            NaN  0.189690       0.931752E-001            NaN            NaN            NaN
  1323.41        500.000        99.4580       0.462736E-001  0.216142                 NaN            NaN  0.187528       0.920652E-001            NaN            NaN            NaN
  1322.35        500.000        99.4598       0.216249       0.452836E-001            NaN            NaN  0.186871       0.917846E-001            NaN            NaN            NaN
  1321.29        500.000        99.4695       0.212127       0.452529E-001            NaN            NaN  0.183218       0.899305E-001            NaN            NaN            NaN
  1320.23        500.000        99.4703       0.214143       0.412843E-001            NaN            NaN  0.183260       0.910353E-001            NaN            NaN            NaN
  1319.17        500.000        99.3903       0.855434E-001  0.230168                 NaN            NaN  0.207995       0.860091E-001            NaN            NaN            NaN
  1318.11        500.000        99.5706       0.188264                 NaN            NaN            NaN  0.150566       0.905942E-001            NaN            NaN            NaN
  1317.04        500.000        99.4142       0.239670       0.411868E-001            NaN            NaN  0.202891       0.102093                 NaN            NaN            NaN
  1315.98        500.000        99.5591       0.175745       0.420687E-001            NaN            NaN  0.151024       0.720166E-001            NaN            NaN            NaN
  1314.92        500.000        99.4930       0.204272       0.440048E-001            NaN            NaN  0.174188       0.844935E-001            NaN            NaN            NaN
  1313.86        500.000        99.4967       0.202748       0.438425E-001            NaN            NaN  0.172952       0.838026E-001            NaN            NaN            NaN
  1312.80        500.000        99.5011       0.431816E-001  0.201351                 NaN            NaN  0.171309       0.830272E-001            NaN            NaN            NaN
  1311.74        500.000        99.5051       0.439498E-001  0.199852                 NaN            NaN  0.169642       0.814973E-001            NaN            NaN            NaN
  1310.68        500.000        99.5088       0.198033       0.440981E-001            NaN            NaN  0.168330       0.807401E-001            NaN            NaN            NaN
  1309.62        500.000        99.5127       0.196246       0.449337E-001            NaN            NaN  0.166781       0.793734E-001            NaN            NaN            NaN
  1308.56        500.000        99.5169       0.440971E-001  0.195404                 NaN            NaN  0.165122       0.785260E-001            NaN            NaN            NaN
  1307.50        500.000        99.5172       0.379209E-001  0.197219                 NaN            NaN  0.166098       0.815315E-001            NaN            NaN            NaN
  1306.44        500.000        99.5288       0.486303E-001  0.189260                 NaN            NaN  0.159839       0.734909E-001            NaN            NaN            NaN
  1305.38        500.000        99.5275       0.190545       0.458593E-001            NaN            NaN  0.161029       0.751011E-001            NaN            NaN            NaN
  1304.32        500.000        99.5309       0.478169E-001  0.188481                 NaN            NaN  0.159479       0.733644E-001            NaN            NaN            NaN
  1303.26        500.000        99.5345       0.481038E-001  0.187024                 NaN            NaN  0.158099       0.723036E-001            NaN            NaN            NaN
  1302.20        500.000        99.5379       0.188006       0.429271E-001            NaN            NaN  0.157384       0.737425E-001            NaN            NaN            NaN
  1301.14        500.000        99.5415       0.181357       0.543137E-001            NaN            NaN  0.154879       0.679682E-001            NaN            NaN            NaN
  1300.08        500.000        99.5447       0.508713E-001  0.181792                 NaN            NaN  0.154058       0.686199E-001            NaN            NaN            NaN
  1299.02        500.000        99.5469       0.482071E-001  0.182441                 NaN            NaN  0.153516       0.689678E-001            NaN            NaN            NaN
  1297.96        500.000        99.5516       0.177195       0.554540E-001            NaN            NaN  0.150882       0.648364E-001            NaN            NaN            NaN
  1296.90        500.000        99.5540       0.176699       0.545120E-001            NaN            NaN  0.150230       0.645963E-001            NaN            NaN            NaN
  1295.84        500.000        99.5573       0.175200       0.550255E-001            NaN            NaN  0.148946       0.635218E-001            NaN            NaN            NaN
  1294.78        500.000        99.5602       0.173610       0.562503E-001            NaN            NaN  0.147742       0.621615E-001            NaN            NaN            NaN
  1293.72        500.000        99.5632       0.573839E-001  0.171978                 NaN            NaN  0.146507       0.608827E-001            NaN            NaN            NaN
  1292.66        500.000        99.5662       0.169723       0.594638E-001            NaN            NaN  0.145279       0.593504E-001            NaN            NaN            NaN
  1291.60        500.000        99.5690       0.167826       0.611501E-001            NaN            NaN  0.144120       0.578705E-001            NaN            NaN            NaN
  1290.54        500.000        99.5718       0.624805E-001  0.166108                 NaN            NaN  0.142958       0.566250E-001            NaN            NaN            NaN
  1289.48        500.000        99.5749       0.637044E-001  0.164229                 NaN            NaN  0.141771       0.553918E-001            NaN            NaN            NaN
  1288.42        500.000        99.5767       0.673912E-001  0.160851                 NaN            NaN  0.141223       0.538374E-001            NaN            NaN            NaN
  1287.36        500.000        99.5804       0.160527       0.679357E-001            NaN            NaN  0.139154       0.519528E-001            NaN            NaN            NaN
  1286.29        500.000        99.5815       0.660913E-001  0.160815                 NaN            NaN  0.139275       0.523365E-001            NaN            NaN            NaN
  1285.23        500.000        99.5864       0.155748       0.725426E-001            NaN            NaN  0.136632       0.486978E-001            NaN            NaN            NaN
  1284.17        500.000        99.5873       0.153317       0.750675E-001            NaN            NaN  0.136517       0.477508E-001            NaN            NaN            NaN
  1283.11        500.000        99.5904       0.756502E-001  0.152129                 NaN            NaN  0.135257       0.465898E-001            NaN            NaN            NaN
  1282.05        500.000        99.5887       0.159030       0.677212E-001            NaN            NaN  0.136522       0.480002E-001            NaN            NaN            NaN
  1280.99        500.000        99.5969       0.898454E-001  0.141724                 NaN            NaN  0.131667       0.398742E-001            NaN            NaN            NaN
  1279.93        500.000        99.1374       0.154545       0.198844                 NaN            NaN  0.183515       0.278342E-001  0.297886                 NaN            NaN
  1278.87        500.000        94.1865        1.06250       0.462755                 NaN            NaN  0.733365                 NaN   3.55489                 NaN            NaN
  1277.81        500.000        94.4362       0.428330        1.04039                 NaN            NaN  0.706792                 NaN   3.38829                 NaN            NaN
  1276.75        500.000        94.7009       0.396972        1.00914                 NaN            NaN  0.677343                 NaN   3.21568                 NaN            NaN
  1275.69        500.000        94.9346       0.362928       0.986144                 NaN            NaN  0.651466                 NaN   3.06489                 NaN            NaN
  1274.63        500.000        95.1647       0.335286       0.962518                 NaN            NaN  0.625305                 NaN   2.91219                 NaN            NaN
  1273.57        500.000        95.3635       0.952176       0.296841                 NaN            NaN  0.603247                 NaN   2.78424                 NaN            NaN
  1272.51        500.000        94.8355       0.441094       0.907261                 NaN            NaN  0.670070                 NaN   3.10392       0.421858E-001            NaN
  1271.45        500.000        93.7804       0.741804       0.805562                 NaN            NaN  0.801365                 NaN   3.75052       0.120337                 NaN
  1270.39        500.000        94.1561       0.702233       0.759844                 NaN            NaN  0.757013       0.122368E-004   3.51292       0.111868                 NaN
  1269.33        500.000        94.5035       0.629583       0.750909                 NaN            NaN  0.715537       0.984483E-003   3.29519       0.104339                 NaN
  1268.27        500.000        94.8338       0.230267       0.960512                 NaN            NaN  0.680105       0.832652E-001   3.11099       0.101092                 NaN
  1267.21        500.000        95.1232        1.00518       0.120473                 NaN            NaN  0.644491       0.836344E-001   2.92794       0.950690E-001            NaN
  1266.15        500.000        95.3682        1.05424                 NaN            NaN            NaN  0.613866       0.946025E-001   2.77829       0.908046E-001            NaN
  1265.09        500.000        95.6207        1.01139                 NaN            NaN            NaN  0.582619       0.796682E-001   2.62083       0.847795E-001            NaN
  1264.03        500.000        95.8356       0.975415                 NaN            NaN            NaN  0.555708       0.678586E-001   2.48579       0.796759E-001            NaN
  1262.97        500.000        96.0329       0.923734                 NaN            NaN            NaN  0.530610       0.708141E-001   2.36603       0.759283E-001            NaN
  1261.91        500.000        96.2125       0.882152                 NaN            NaN            NaN  0.507716       0.694349E-001   2.25594       0.722350E-001            NaN
  1260.85        500.000        96.3795       0.846978                 NaN            NaN            NaN  0.486455       0.651443E-001   2.15334       0.686098E-001            NaN
  1259.79        500.000        96.5276       0.820460                 NaN            NaN            NaN  0.467403       0.581583E-001   2.06121       0.651688E-001            NaN
  1258.73        500.000        96.7219       0.742624                 NaN            NaN            NaN  0.443188       0.756169E-001   1.95418       0.625298E-001            NaN
  1257.67        500.000        96.7595       0.787407                 NaN            NaN            NaN  0.436595       0.450214E-001   1.91195       0.595720E-001            NaN
  1256.60        500.000        96.9244       0.722601                 NaN            NaN            NaN  0.415906       0.581967E-001   1.82168       0.571762E-001            NaN
  1255.54        500.000        97.0322       0.704961                 NaN            NaN            NaN  0.401623       0.519996E-001   1.75461       0.545951E-001            NaN
  1254.48        500.000        97.1410       0.680888                 NaN            NaN            NaN  0.387453       0.493601E-001   1.68905       0.522240E-001            NaN
  1253.42        500.000        97.2396       0.662565                 NaN            NaN            NaN  0.374432       0.446914E-001   1.62879       0.499212E-001            NaN
  1252.36        500.000        97.3350       0.634289                 NaN            NaN            NaN  0.361585       0.481288E-001   1.57280       0.481995E-001            NaN
  1251.30        500.000        97.4221       0.608392                 NaN            NaN            NaN  0.349799       0.514411E-001   1.52160       0.466198E-001            NaN
  1250.24        500.000        97.5049       0.596621                 NaN            NaN            NaN  0.338819       0.445048E-001   1.47064       0.444931E-001            NaN
  1249.18        500.000        97.5833       0.581893                 NaN            NaN            NaN  0.328204       0.406857E-001   1.42328       0.426405E-001            NaN
  1248.12        500.000        97.6575       0.561039                 NaN            NaN            NaN  0.318004       0.424922E-001   1.37976       0.412378E-001            NaN
  1247.06        500.000        97.7275       0.545028                 NaN            NaN            NaN  0.308448       0.412967E-001   1.33802       0.396955E-001            NaN
  1246.00        500.000        97.7949       0.529442                 NaN            NaN            NaN  0.299198       0.401703E-001   1.29801       0.382385E-001            NaN
  1244.94        500.000        97.8580       0.515764                 NaN            NaN            NaN  0.290487       0.384092E-001   1.26057       0.368174E-001            NaN
  1243.88        500.000        97.9190       0.499640                 NaN            NaN            NaN  0.281978       0.389530E-001   1.22487       0.355766E-001            NaN
  1242.82        500.000        97.9760       0.487540                 NaN            NaN            NaN  0.273932       0.372318E-001   1.19105       0.342836E-001            NaN
  1241.76        500.000        98.0306       0.479104                 NaN            NaN            NaN  0.266466       0.329873E-001   1.15796       0.328865E-001            NaN
  1240.70        500.000        98.0838       0.467800                 NaN            NaN            NaN  0.258938       0.312350E-001   1.12654       0.316675E-001            NaN
  1239.64        500.000        98.1333       0.455428                 NaN            NaN            NaN  0.251916       0.311368E-001   1.09760       0.306232E-001            NaN
  1238.58        500.000        98.1819       0.446111                 NaN            NaN            NaN  0.245104       0.288033E-001   1.06867       0.294622E-001            NaN
  1237.52        500.000        98.2271       0.434042                 NaN            NaN            NaN  0.238513       0.292523E-001   1.04256       0.285001E-001            NaN
  1236.46        500.000        98.2719       0.425866                 NaN            NaN            NaN  0.232163       0.266916E-001   1.01590       0.274363E-001            NaN
  1235.40        500.000        98.3155       0.419663                 NaN            NaN            NaN  0.226034       0.226658E-001  0.989902       0.262640E-001            NaN
  1234.34        500.000        98.3532       0.414032                 NaN            NaN            NaN  0.220642       0.200830E-001  0.966748       0.252941E-001            NaN
  1233.28        500.000        98.3926       0.409162                 NaN            NaN            NaN  0.214964       0.158574E-001  0.943155       0.242364E-001            NaN
  1232.22        500.000        98.4315       0.398103                 NaN            NaN            NaN  0.209351       0.166361E-001  0.920992       0.234398E-001            NaN
  1231.16        500.000        98.4670       0.397397                 NaN            NaN            NaN  0.204371       0.101476E-001  0.898718       0.223491E-001            NaN
  1230.10        500.000        98.5006       0.386336                 NaN            NaN            NaN  0.199222       0.124410E-001  0.879664       0.217382E-001            NaN
  1229.04        500.000        98.5348       0.380795                 NaN            NaN            NaN  0.194362       0.983427E-002  0.859371       0.208638E-001            NaN
  1227.98        500.000        98.5669       0.375373                 NaN            NaN            NaN  0.189608       0.772651E-002  0.840308       0.200619E-001            NaN
  1226.92        500.000        98.6024       0.374852                 NaN            NaN            NaN  0.185864                 NaN  0.818203       0.186891E-001            NaN
  1225.85        500.000        98.6212       0.372930                 NaN            NaN            NaN  0.181025                 NaN  0.806278       0.185551E-001            NaN
  1224.79        500.000        98.6559       0.362936                 NaN            NaN            NaN  0.176689       0.109137E-004  0.786774       0.176997E-001            NaN
  1223.73        500.000        98.6857       0.353316                 NaN            NaN            NaN  0.173111       0.125489E-002  0.769656       0.169717E-001            NaN
  1222.67        500.000        98.7136       0.347711                 NaN            NaN            NaN  0.168799                 NaN  0.753540       0.163658E-001            NaN
  1221.61        500.000        98.7416       0.340496                 NaN            NaN            NaN  0.164709                 NaN  0.737422       0.157807E-001            NaN
  1220.55        500.000        98.7686       0.333123                 NaN            NaN            NaN  0.161357                 NaN  0.721820       0.151100E-001            NaN
  1219.49        500.000        98.7967       0.325155                 NaN            NaN            NaN  0.156162                 NaN  0.707106       0.148551E-001            NaN
  1218.43        500.000        98.8204       0.319372                 NaN            NaN            NaN  0.153451                 NaN  0.692681       0.141217E-001            NaN
  1217.37        500.000        98.8464       0.312052                 NaN            NaN            NaN  0.150092       0.250560E-005  0.677997       0.135028E-001            NaN
  1216.31        500.000        98.8691       0.306450                 NaN            NaN            NaN  0.146484                 NaN  0.664823       0.130995E-001            NaN
  1215.25        500.000        98.8960       0.298294                 NaN            NaN            NaN  0.142394                 NaN  0.650565       0.127276E-001            NaN
  1214.19        500.000        98.9219       0.290221                 NaN            NaN            NaN  0.139409                 NaN  0.636370       0.120538E-001            NaN
  1213.13        500.000        98.9377       0.287998                 NaN            NaN            NaN  0.135519                 NaN  0.626841       0.119910E-001            NaN
  1212.07        500.000        98.9646       0.279078                 NaN            NaN            NaN  0.132439                 NaN  0.612426       0.114285E-001            NaN
  1211.01        500.000        98.9960       0.266409                 NaN            NaN            NaN  0.126163                 NaN  0.599932       0.115401E-001            NaN
  1209.95        500.000        88.7372        1.40831                 NaN            NaN            NaN   1.04103                 NaN   4.97535       0.636890E-001   3.77439     
  1208.89        500.000        99.0788       0.277745                 NaN            NaN            NaN  0.224037                 NaN            NaN  0.295047E-002  0.416459     
  1207.83        500.000        94.8193       0.154881                 NaN            NaN            NaN  0.282826       0.170631        2.43598       0.312391E-001   2.10517     
  1206.77        500.000        92.9271       0.634923                 NaN            NaN            NaN  0.577676       0.166845        2.81654       0.377254E-001   2.83922     
  1205.71        500.000        92.2539       0.568005                 NaN            NaN            NaN  0.659660       0.217723        3.20043       0.423685E-001   3.05792     
  1204.65        500.000        40.2312        5.55022                 NaN            NaN            NaN   4.82496       0.903545        22.7314       0.255966        25.5027     
  1203.59        500.000        99.5078                 NaN            NaN            NaN            NaN            NaN  0.353763E-001  0.372830       0.839568E-001            NaN
  1202.53        500.000        99.9065                 NaN            NaN            NaN            NaN  0.934833E-001            NaN            NaN            NaN            NaN
  1201.47        500.000        99.8478                 NaN            NaN            NaN            NaN            NaN  0.150673E-001  0.137168                 NaN            NaN
  1200.41        500.000        99.8561       0.396052E-001            NaN            NaN            NaN            NaN  0.744212E-002  0.968537E-001            NaN            NaN
  1199.35        500.000        99.5560       0.103162                 NaN            NaN            NaN            NaN  0.433232E-001  0.297562                 NaN            NaN
  1198.29        500.000        99.5907       0.133673                 NaN            NaN            NaN            NaN            NaN  0.275635                 NaN            NaN
  1197.23        500.000        98.3628       0.680982E-002  0.218437                 NaN            NaN  0.761318E-001            NaN   1.33579                 NaN            NaN
  1196.16        500.000        99.5880       0.120657       0.220822                 NaN            NaN  0.705135E-001            NaN            NaN            NaN            NaN
  1195.10        500.000        90.6739       0.521677                 NaN            NaN            NaN  0.677625       0.294414        4.10870                 NaN   3.72371     
  1194.04        500.000        99.7844       0.126019       0.170700E-001            NaN            NaN  0.318912E-001            NaN  0.377699E-001  0.283484E-002            NaN
  1192.98        500.000        99.5999       0.130390       0.162563E-001            NaN            NaN  0.370521E-001            NaN  0.214152       0.223784E-002            NaN
  1191.92        500.000        99.1696       0.712142E-001  0.617652E-001            NaN            NaN  0.481911E-001            NaN  0.648303       0.964873E-003            NaN
  1190.86        500.000        95.7494       0.353101       0.591606E-002            NaN            NaN  0.313727       0.673743E-001   1.94881       0.173944E-001   1.54428     
  1189.80        500.000        93.8446                 NaN            NaN            NaN            NaN  0.482433       0.242869        2.60045       0.353416E-001   2.79430     
  1188.74        500.000        43.2781        3.96457                 NaN            NaN            NaN   4.01171       0.777536        24.6171       0.234072        23.1169     
  1187.68        500.000                 NaN   6.74239       0.123577E-003            NaN            NaN   6.96809        1.33379        43.4321       0.415499        41.1080     
  1186.62        500.000                 NaN   6.72632       0.759608E-004            NaN            NaN   6.96751        1.34363        43.4333       0.415948        41.1132     
  1185.56        500.000                 NaN   6.71024       0.291862E-003            NaN            NaN   6.96694        1.35332        43.4345       0.416389        41.1183     
  1184.50        500.000                 NaN   6.69451       0.587036E-004            NaN            NaN   6.96635        1.36307        43.4358       0.416835        41.1234     
  1183.44        500.000                 NaN   6.67884       0.525799E-004            NaN            NaN   6.96577        1.37264        43.4370       0.417272        41.1284     
