|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         ne             lc             hed           
  1494.56        2500.00        98.7786                 NaN            NaN            NaN  0.784910       0.436539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.7908                 NaN            NaN            NaN  0.432027       0.777207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.7959                 NaN            NaN            NaN  0.427546       0.776555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.8127                 NaN            NaN            NaN  0.424193       0.763080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.8245                 NaN            NaN            NaN  0.417072       0.758385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.8330                 NaN            NaN            NaN  0.753646       0.413386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.8428                 NaN            NaN            NaN  0.409679       0.747518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.8506                 NaN            NaN            NaN  0.406060       0.743298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        98.8601                 NaN            NaN            NaN  0.402816       0.737036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        98.8712                 NaN            NaN            NaN  0.731030       0.397768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        98.8775                 NaN            NaN            NaN  0.395202       0.727301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        98.8889                 NaN            NaN            NaN  0.722508       0.388595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        98.8978                 NaN            NaN            NaN  0.716392       0.385840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        98.9038                 NaN            NaN            NaN  0.713021       0.383152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        98.9152                 NaN            NaN            NaN  0.706246       0.378552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        98.9205                 NaN            NaN            NaN  0.376773       0.702688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        98.9298                 NaN            NaN  0.569461E-005  0.371155       0.699051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        98.9376                 NaN            NaN            NaN  0.694924       0.367456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        98.9428                 NaN            NaN            NaN  0.365296       0.691893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        98.6639                 NaN            NaN            NaN  0.490557       0.724876       0.120650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        96.6571                 NaN            NaN  0.131434        1.00840        1.21876       0.984313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.00        2500.00        96.6493                 NaN            NaN  0.331950       0.945221        1.05584        1.01765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.45        2500.00        96.7394                 NaN            NaN  0.327712       0.910650        1.03156       0.990718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.90        2500.00        96.8171                 NaN            NaN  0.325421       0.877921        1.01147       0.968069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.35        2500.00        96.8829                 NaN            NaN  0.324063       0.996168       0.847955       0.948925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.80        2500.00        96.9758                 NaN            NaN  0.319464       0.968765       0.814877       0.921064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.25        2500.00        97.0449                 NaN            NaN  0.316942       0.949797       0.788190       0.900218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.70        2500.00        97.1131                 NaN            NaN  0.314567       0.932591       0.759877       0.879903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.15        2500.00        97.1771                 NaN            NaN  0.312678       0.915618       0.733551       0.861083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        97.2415                 NaN            NaN  0.310345       0.898756       0.707617       0.841830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.05        2500.00        97.2931                 NaN            NaN  0.309908       0.685669       0.884579       0.826747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        97.3650                 NaN            NaN  0.305407       0.866439       0.658116       0.805003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.95        2500.00        96.3736                 NaN            NaN  0.432436        1.19871       0.885711        1.10956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        98.5277                 NaN            NaN  0.173293       0.361388       0.489684       0.447937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.85        2500.00        97.5249                 NaN            NaN  0.300516       0.822966       0.594432       0.757162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        97.5710                 NaN            NaN  0.299638       0.574897       0.810889       0.743596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.75        2500.00        97.6195                 NaN            NaN  0.297747       0.799732       0.554379       0.728625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00        97.6675                 NaN            NaN  0.296690       0.786188       0.535211       0.714447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.65        2500.00        97.7133                 NaN            NaN  0.294062       0.774554       0.517567       0.700486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        97.7563                 NaN            NaN  0.293492       0.763113       0.499078       0.688001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.55        2500.00        97.7992                 NaN            NaN  0.291864       0.752310       0.481794       0.674838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.00        2500.00        97.8393                 NaN            NaN  0.290886       0.465997       0.741072       0.662781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.45        2500.00        97.8778                 NaN            NaN  0.289764       0.732037       0.449340       0.651013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.90        2500.00        97.8084                 NaN            NaN  0.468105       0.938950       0.802209E-001  0.704364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.35        2500.00        98.0546                 NaN            NaN  0.104763       0.492853       0.783908       0.563880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.80        2500.00        97.9872                 NaN            NaN  0.286818       0.703781       0.403975       0.618197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.25        2500.00        98.0027                 NaN            NaN  0.287756       0.395457       0.699681       0.614423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.70        2500.00        98.0796                 NaN            NaN  0.281173       0.679482       0.370897       0.588886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.15        2500.00        97.9895                 NaN            NaN  0.300569       0.699499       0.383839       0.626608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00        98.2151                 NaN            NaN  0.266019       0.323883       0.655576       0.539465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.04        2500.00        98.1511                 NaN            NaN  0.281058       0.336831       0.662979       0.568070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.49        2500.00        98.1802                 NaN            NaN  0.280270       0.324440       0.655910       0.559163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.94        2500.00        98.2102                 NaN            NaN  0.279337       0.648700       0.311611       0.550165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.39        2500.00        98.2366                 NaN            NaN  0.278845       0.640981       0.301487       0.542046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.84        2500.00        98.2661                 NaN            NaN  0.277439       0.635498       0.288160       0.532808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.29        2500.00        98.2903                 NaN            NaN  0.276610       0.277272       0.630310       0.525483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.74        2500.00        98.3169                 NaN            NaN  0.275975       0.624243       0.265648       0.517257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        2500.00        98.3413                 NaN            NaN  0.274864       0.618056       0.256065       0.509718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.3666                 NaN            NaN  0.274297       0.611159       0.245950       0.501963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.09        2500.00        98.3917                 NaN            NaN  0.272733       0.605595       0.235872       0.494067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.54        2500.00        98.4140                 NaN            NaN  0.272172       0.225715       0.600883       0.487258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        2500.00        98.4367                 NaN            NaN  0.270819       0.595910       0.216346       0.480212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.44        2500.00        98.4591                 NaN            NaN  0.269930       0.207472       0.590123       0.473360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.89        2500.00        98.4679                 NaN            NaN  0.300699       0.602634       0.152320       0.476413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.34        2500.00        97.7751                 NaN            NaN  0.366933       0.322804       0.852263       0.682923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.79        2500.00        99.2770                 NaN            NaN  0.134305       0.293181       0.782703E-001  0.217213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.24        2500.00        98.5427                 NaN            NaN  0.264856       0.571656       0.174005       0.446793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.69        2500.00        98.5626                 NaN            NaN  0.264645       0.567238       0.164695       0.440786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1389.14        2500.00        98.5826                 NaN            NaN  0.263218       0.563925       0.155655       0.434578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.59        2500.00        98.6006                 NaN            NaN  0.261835       0.149247       0.559635       0.428662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.04        2500.00        98.6188                 NaN            NaN  0.260853       0.141957       0.555431       0.422993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.49        2500.00        98.6352                 NaN            NaN  0.259873       0.552589       0.134604       0.417690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.94        2500.00        98.6527                 NaN            NaN  0.257488       0.129439       0.548459       0.411889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.39        2500.00        98.6669                 NaN            NaN  0.255985       0.544741       0.124976       0.407446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.84        2500.00        98.6883                 NaN            NaN  0.255479       0.112574       0.543267       0.400374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1378.29        2500.00        98.7032                 NaN            NaN  0.253549       0.537843       0.109656       0.395760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.74        2500.00        98.7186                 NaN            NaN  0.251569       0.535294       0.103955       0.390619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1375.18        2500.00        98.7349                 NaN            NaN  0.250241       0.531113       0.983078E-001  0.385397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.63        2500.00        98.7503                 NaN            NaN  0.248873       0.527958       0.924169E-001  0.380419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1372.08        2500.00        98.7650                 NaN            NaN  0.247169       0.873803E-001  0.524843       0.375638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.53        2500.00        98.7806                 NaN            NaN  0.244395       0.836449E-001  0.520933       0.370458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.98        2500.00        98.7932                 NaN            NaN  0.243496       0.763836E-001  0.520589       0.366363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1367.43        2500.00        98.8087                 NaN            NaN  0.240344       0.514469       0.755144E-001  0.360980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.88        2500.00        98.8172                 NaN            NaN  0.244876       0.585347E-001  0.519765       0.359640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1364.33        2500.00        98.8338                 NaN            NaN  0.224493       0.498795       0.922515E-001  0.350656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.78        2500.00        98.8544                 NaN            NaN  0.239734       0.490609E-001  0.510114       0.346695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1361.23        2500.00        98.8618                 NaN            NaN  0.231903       0.504950       0.581411E-001  0.343193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1359.68        2500.00        98.8741                 NaN            NaN  0.229753       0.540326E-001  0.502988       0.339123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1358.13        2500.00        98.8867                 NaN            NaN  0.227580       0.502719E-001  0.500470       0.334945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.58        2500.00        98.8991                 NaN            NaN  0.224945       0.478528E-001  0.497416       0.330681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.03        2500.00        98.9105                 NaN            NaN  0.221982       0.495084       0.458331E-001  0.326594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1353.48        2500.00        98.9221                 NaN            NaN  0.219861       0.420194E-001  0.493332       0.322666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.93        2500.00        98.9337                 NaN            NaN  0.217158       0.396232E-001  0.490877       0.318671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1350.38        2500.00        98.9448                 NaN            NaN  0.214170       0.488249       0.379264E-001  0.314844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1348.83        2500.00        98.9555                 NaN            NaN  0.218581       0.494352       0.196493E-001  0.311931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.28        2500.00        98.9658                 NaN            NaN  0.200328       0.475004       0.524347E-001  0.306402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1345.73        2500.00        98.9769                 NaN            NaN  0.205173       0.481922       0.324617E-001  0.303520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.18        2500.00        98.9867                 NaN            NaN  0.201951       0.480206       0.311317E-001  0.300056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1342.63        2500.00        98.9981                 NaN            NaN  0.200071       0.274859E-001  0.477954       0.296390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1341.08        2500.00        99.0067                 NaN            NaN  0.194724       0.476358       0.295879E-001  0.292676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1339.53        2500.00        99.0155                 NaN            NaN  0.192255       0.277220E-001  0.474840       0.289682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1337.98        2500.00        99.0256                 NaN            NaN  0.188177       0.471597       0.286007E-001  0.286006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1336.43        2500.00        99.0338                 NaN            NaN  0.185576       0.242222E-001  0.473346       0.283018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1334.88        2500.00        99.0428                 NaN            NaN  0.180930       0.469996       0.266807E-001  0.279617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
