|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         iron           ne             lc            
  1612.42        2500.00        98.9723       0.950823       0.769043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.3621       0.568531       0.693220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1681       0.756448       0.754988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.2134       0.714469       0.721247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.1913       0.739038       0.696744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.0911       0.834340       0.745431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.3408       0.595362       0.638500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2253       0.707016       0.676623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.2280       0.705184       0.668621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2431       0.690275       0.666418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.2512       0.683947       0.648243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2560       0.679704       0.642671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.2621       0.674633       0.632310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.2710       0.666991       0.619730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.2775       0.661407       0.611350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2824       0.658421       0.591938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2913       0.649711       0.590268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.5660       0.397376       0.366363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        98.9516        1.00306       0.453393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3791       0.530244       0.906279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3332       0.610128       0.566663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3227       0.623016       0.542545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.3291       0.618208       0.526920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3340       0.614474       0.515734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.3401       0.609258       0.506774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3466       0.602877       0.505003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.3522       0.598622       0.491316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.3586       0.592541       0.488496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.3635       0.588609       0.478524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3690       0.584503       0.464486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.3741       0.579663       0.462174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        98.7488        1.16608       0.850845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.4427       0.518230       0.391163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.3541       0.602336       0.435375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3999       0.558787       0.412734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.4051       0.554100       0.408376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4099       0.549472       0.406035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.4128       0.547983       0.392138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.4191       0.542676       0.382198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.4216       0.542307       0.360889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4132       0.551578       0.352296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.4396       0.527995       0.323713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4371       0.528646       0.342745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.4392       0.527259       0.334973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.4445       0.521980       0.334889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.4473       0.520200       0.325218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4528       0.515636       0.315969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.4577       0.472700       0.695558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.4573       0.542668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.4512       0.483921       0.156060E-001            NaN            NaN  0.492645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.3113                 NaN  0.269840E-001            NaN            NaN  0.661710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.0650       0.810459E-002  0.417367E-003            NaN            NaN  0.926468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.6825                 NaN  0.204709E-001            NaN            NaN  0.297017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.1679                 NaN            NaN            NaN            NaN  0.832091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        98.2832                 NaN            NaN            NaN            NaN   1.71681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.8678                 NaN            NaN            NaN            NaN  0.132178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.0590                 NaN            NaN            NaN            NaN  0.941031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.2946                 NaN  0.141540E-002            NaN            NaN  0.704032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.2920                 NaN            NaN            NaN            NaN  0.707986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.2921                 NaN            NaN            NaN            NaN  0.707894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.2811                 NaN            NaN            NaN            NaN  0.718873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.2749                 NaN            NaN            NaN            NaN  0.725129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        99.0855                 NaN            NaN            NaN            NaN  0.310754       0.603759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        98.8640                 NaN            NaN            NaN            NaN  0.435583       0.700402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.8709                 NaN            NaN            NaN            NaN  0.432814       0.696298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.8969                 NaN            NaN            NaN            NaN  0.423757       0.679305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.9034                 NaN            NaN            NaN            NaN  0.421754       0.674850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        98.9834                 NaN            NaN            NaN            NaN  0.389921       0.626686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.8576                 NaN            NaN            NaN            NaN  0.438609       0.703784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.9388                 NaN            NaN            NaN            NaN  0.654208       0.406998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.3883                 NaN            NaN            NaN            NaN  0.616415       0.995247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        99.6124                 NaN            NaN            NaN            NaN  0.239392       0.148199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        98.8843                 NaN            NaN            NaN            NaN  0.426589       0.689129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.9827                 NaN            NaN            NaN            NaN  0.628090       0.389184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.15        2500.00        98.9925                 NaN            NaN            NaN            NaN  0.622039       0.385496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        99.0021                 NaN            NaN            NaN            NaN  0.616030       0.381889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        99.0127                 NaN            NaN            NaN            NaN  0.610473       0.376857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        99.0221                 NaN            NaN            NaN            NaN  0.372114       0.605802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        99.0318                 NaN            NaN            NaN            NaN  0.598833       0.369410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        99.0407                 NaN            NaN            NaN            NaN  0.364812       0.594499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        99.0499                 NaN            NaN            NaN            NaN  0.361420       0.588688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0594                 NaN            NaN            NaN            NaN  0.356955       0.583678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        99.0680                 NaN            NaN            NaN            NaN  0.578445       0.353547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.0757                 NaN            NaN            NaN            NaN  0.350055       0.574231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        99.0818                 NaN            NaN            NaN            NaN  0.348088       0.570134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        99.0952                 NaN            NaN            NaN            NaN  0.342238       0.562549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        99.1019                 NaN            NaN            NaN            NaN  0.339016       0.559111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        99.1097                 NaN            NaN            NaN            NaN  0.555184       0.335123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        99.1160                 NaN            NaN            NaN            NaN  0.551433       0.332609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        99.1256                 NaN            NaN            NaN            NaN  0.328314       0.546046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        99.1326                 NaN            NaN            NaN            NaN  0.542479       0.324927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        99.1404                 NaN            NaN            NaN            NaN  0.321979       0.537628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        99.1448                 NaN            NaN            NaN            NaN  0.318198       0.536956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        99.1553                 NaN            NaN            NaN            NaN  0.529549       0.315177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        99.1597                 NaN            NaN            NaN            NaN  0.312418       0.527836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.1673                 NaN            NaN            NaN            NaN  0.309326       0.523422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.34        2500.00        98.1576                 NaN            NaN            NaN            NaN  0.729451       0.618133       0.494816                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.75        2500.00        97.5297                 NaN  0.461766E-002            NaN            NaN  0.669595       0.984875       0.811241                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.17        2500.00        97.5241                 NaN  0.181678                 NaN            NaN  0.733151       0.711161       0.849876                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        97.5755                 NaN  0.204705                 NaN            NaN  0.702671       0.678916       0.838199                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.01        2500.00        97.6392                 NaN  0.208322                 NaN            NaN  0.645935       0.688572       0.817996                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.42        2500.00        97.6958                 NaN  0.202485                 NaN            NaN  0.630721       0.672240       0.798779                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.84        2500.00        97.7448                 NaN  0.201151                 NaN            NaN  0.658759       0.612747       0.782531                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        2500.00        97.8082                 NaN  0.197088                 NaN            NaN  0.591874       0.641876       0.760951                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.68        2500.00        97.8484                 NaN  0.196104                 NaN            NaN  0.633257       0.574029       0.748206                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.09        2500.00        97.9075                 NaN  0.192699                 NaN            NaN  0.616645       0.555008       0.728121                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.51        2500.00        97.9514                 NaN  0.191141                 NaN            NaN  0.604666       0.539536       0.713286                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.93        2500.00        97.9945                 NaN  0.189290                 NaN            NaN  0.593616       0.523713       0.698902                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.35        2500.00        98.0377                 NaN  0.187360                 NaN            NaN  0.582181       0.508399       0.684387                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.76        2500.00        98.0797                 NaN  0.185432                 NaN            NaN  0.493818       0.570711       0.670323                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.18        2500.00        98.1217                 NaN  0.183335                 NaN            NaN  0.479278       0.559532       0.656168                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        98.1605                 NaN  0.181637                 NaN            NaN  0.465802       0.548857       0.643223                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.02        2500.00        98.1987                 NaN  0.179709                 NaN            NaN  0.452344       0.539018       0.630264                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.43        2500.00        98.2301                 NaN  0.178444                 NaN            NaN  0.529240       0.442459       0.619797                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.85        2500.00        98.2709                 NaN  0.176094                 NaN            NaN  0.521493       0.425507       0.605996                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.27        2500.00        98.3049                 NaN  0.174678                 NaN            NaN  0.510767       0.415095       0.594523                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.69        2500.00        98.3383                 NaN  0.172973                 NaN            NaN  0.404064       0.501197       0.583447                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.10        2500.00        98.3706                 NaN  0.171278                 NaN            NaN  0.493079       0.393377       0.571624                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.52        2500.00        98.4024                 NaN  0.169739                 NaN            NaN  0.382203       0.484653       0.561005                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        2500.00        98.4315                 NaN  0.168332                 NaN            NaN  0.372713       0.476120       0.551286                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.36        2500.00        98.4567                 NaN  0.195103                 NaN            NaN  0.481070       0.318502       0.548580                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        2500.00        98.4933                 NaN  0.136582                 NaN            NaN  0.449313       0.396773       0.524003                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.19        2500.00        98.5159                 NaN  0.164075                 NaN            NaN  0.454575       0.343071       0.522385                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.61        2500.00        98.5436                 NaN  0.162092                 NaN            NaN  0.334655       0.446596       0.513065                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.03        2500.00        98.5719                 NaN  0.161081                 NaN            NaN  0.439494       0.324574       0.502954                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.45        2500.00        98.5952                 NaN  0.159641                 NaN            NaN  0.317041       0.433048       0.495079                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.86        2500.00        98.6195                 NaN  0.158522                 NaN            NaN  0.427279       0.307868       0.486818                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        2500.00        98.6362                 NaN  0.158141                 NaN            NaN  0.420166       0.303630       0.481877                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.70        2500.00        98.6762                 NaN  0.153968                 NaN            NaN  0.412987       0.290632       0.466200                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.12        2500.00        98.6898                 NaN  0.154270                 NaN            NaN  0.408063       0.285518       0.462338                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.53        2500.00        98.7106                 NaN  0.153445                 NaN            NaN  0.277336       0.403056       0.455589                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.95        2500.00        98.7325                 NaN  0.151277                 NaN            NaN  0.395387       0.273700       0.447183                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.37        2500.00        98.7538                 NaN  0.150048                 NaN            NaN  0.390385       0.265677       0.440057                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.79        2500.00        98.7739                 NaN  0.148704                 NaN            NaN  0.384962       0.259495       0.432897                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.20        2500.00        98.7935                 NaN  0.147533                 NaN            NaN  0.379679       0.253067       0.426191                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.62        2500.00        98.8119                 NaN  0.146782                 NaN            NaN  0.375341       0.246242       0.419781                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.04        2500.00        98.8322                 NaN  0.144549                 NaN            NaN  0.368822       0.241970       0.412509                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.46        2500.00        98.8496                 NaN  0.143524                 NaN            NaN  0.364641       0.235822       0.406374                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.87        2500.00        98.8677                 NaN  0.142551                 NaN            NaN  0.229878       0.359739       0.400178                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.29        2500.00        98.8849                 NaN  0.140936                 NaN            NaN  0.225536       0.354646       0.393952                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.71        2500.00        98.8975                 NaN  0.139980                 NaN            NaN  0.221530       0.351367       0.389643                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.13        2500.00        98.9208                 NaN  0.138469                 NaN            NaN  0.214176       0.345341       0.381231                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.54        2500.00        98.9384                 NaN  0.136382                 NaN            NaN  0.340108       0.210278       0.374793                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.96        2500.00        98.9500                 NaN  0.135657                 NaN            NaN  0.206706       0.336805       0.370863                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.38        2500.00        98.9677                 NaN  0.134050                 NaN            NaN  0.201478       0.332429       0.364362                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.80        2500.00        98.9816                 NaN  0.132906                 NaN            NaN  0.328614       0.197391       0.359501                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.21        2500.00        98.9965                 NaN  0.131414                 NaN            NaN  0.194048       0.323873       0.354159                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.63        2500.00        99.0105                 NaN  0.129968                 NaN            NaN  0.189907       0.320634       0.348999                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.05        2500.00        99.0248                 NaN  0.128854                 NaN            NaN  0.316862       0.185460       0.344045                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.47        2500.00        99.0390                 NaN  0.127058                 NaN            NaN  0.312505       0.182839       0.338577                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.88        2500.00        99.0517                 NaN  0.125806                 NaN            NaN  0.308564       0.179782       0.334130                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.30        2500.00        99.0654                 NaN  0.124207                 NaN            NaN  0.304781       0.176575       0.329048                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.72        2500.00        99.0777                 NaN  0.122963                 NaN            NaN  0.301644       0.173119       0.324616                 NaN            NaN            NaN            NaN            NaN            NaN
  1367.14        2500.00        99.0907                 NaN  0.121323                 NaN            NaN  0.170815       0.297422       0.319752                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.55        2500.00        99.1029                 NaN  0.119804                 NaN            NaN  0.168104       0.293938       0.315266                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.97        2500.00        99.1150                 NaN  0.118546                 NaN            NaN  0.290501       0.165110       0.310834                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.39        2500.00        99.1264                 NaN  0.116727                 NaN            NaN  0.287178       0.163092       0.306560                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.81        2500.00        99.1381                 NaN  0.115170                 NaN            NaN  0.160829       0.283660       0.302235                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.22        2500.00        99.1494                 NaN  0.113866                 NaN            NaN  0.280164       0.158433       0.298088                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.64        2500.00        99.1603                 NaN  0.111711                 NaN            NaN  0.276589       0.157574       0.293873                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.06        2500.00        99.1688                 NaN  0.111920                 NaN            NaN  0.152898       0.275033       0.291388                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.48        2500.00        99.1833                 NaN  0.106838                 NaN            NaN  0.267750       0.157348       0.284716                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.89        2500.00        99.1920                 NaN  0.107936                 NaN            NaN  0.150508       0.267390       0.282156                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.31        2500.00        99.2020                 NaN  0.105424                 NaN            NaN  0.150961       0.263331       0.278237                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.73        2500.00        99.2119                 NaN  0.103730                 NaN            NaN  0.149801       0.260088       0.274465                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.15        2500.00        99.2208                 NaN  0.102089                 NaN            NaN  0.148967       0.257061       0.271112                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.56        2500.00        99.2309                 NaN  0.100254                 NaN            NaN  0.147588       0.254103       0.267116                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.98        2500.00        99.2405                 NaN  0.987976E-001            NaN            NaN  0.147527       0.249351       0.263809                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.40        2500.00        99.2487                 NaN  0.963891E-001            NaN            NaN  0.247857       0.146933       0.260114                 NaN            NaN            NaN            NaN            NaN            NaN
  1341.82        2500.00        99.2571                 NaN  0.946614E-001            NaN            NaN  0.243932       0.147267       0.257041                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.23        2500.00        99.2674                 NaN  0.932701E-001            NaN            NaN  0.240412       0.145661       0.253237                 NaN            NaN            NaN            NaN            NaN            NaN
