|6.6.6
Archiving\03_Data\eq/QFM_m5/LAR/LAR_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  1846.15        2500.00        96.4913       0.751378        2.75728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        96.4836       0.751485        2.76490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        96.4759       0.751593        2.77253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        96.4681       0.751700        2.78015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        96.4604       0.751807        2.78778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        96.4527       0.751915        2.79541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        96.4449       0.752022        2.80303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        96.4372       0.752129        2.81067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        96.4295       0.752236        2.81830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        96.4221       0.752341        2.82556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        96.4147       0.752446        2.83283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        96.4073       0.752551        2.84010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        96.4000       0.752656        2.84737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        96.3926       0.752761        2.85464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        96.3852       0.752866        2.86192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        96.3778       0.752970        2.86919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        96.3705       0.753075        2.87647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        96.3634       0.753178        2.88338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        96.3564       0.753280        2.89029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        96.3494       0.753383        2.89721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        96.3424       0.753485        2.90413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        96.3354       0.753588        2.91104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        96.3283       0.753690        2.91796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        96.3213       0.753792        2.92488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        96.3143       0.753895        2.93181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        96.3076       0.753995        2.93837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        96.3010       0.754095        2.94493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        96.2943       0.754195        2.95149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        96.2877       0.754295        2.95805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        96.2810       0.754395        2.96462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        96.2743       0.754495        2.97118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        96.2677       0.754595        2.97775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        96.2610       0.754695        2.98432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        96.2547       0.754793        2.99052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        96.2484       0.754891        2.99673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        96.2421       0.754989        3.00294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        96.2358       0.755087        3.00915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        96.2295       0.755184        3.01536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        96.2231       0.755282        3.02157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        96.2168       0.755380        3.02779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        96.2105       0.755478        3.03400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        96.2046       0.755573        3.03986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        96.1986       0.755669        3.04572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        96.1927       0.755764        3.05158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        96.1867       0.755860        3.05744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        96.1807       0.755955        3.06330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        96.1748       0.756051        3.06916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        96.1688       0.756146        3.07502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        96.1629       0.756242        3.08089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        96.1573       0.756335        3.08640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        96.1517       0.756428        3.09192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        96.1460       0.756522        3.09743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        96.1404       0.756615        3.10295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        96.1348       0.756708        3.10847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        96.1292       0.756801        3.11399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        96.1236       0.756895        3.11951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        96.1180       0.756988        3.12503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        96.1128       0.757079        3.13017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        96.1075       0.757170        3.13531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        96.1023       0.757261        3.14045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        96.0971       0.757352        3.14559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        96.0918       0.757443        3.15073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        96.0866       0.757534        3.15587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        96.0814       0.757625        3.16102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        96.0761       0.757716        3.16616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        96.0710       0.757806        3.17116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        96.0574       0.757903        3.17519       0.953486E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        96.0430       0.758001        3.17911       0.198762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        96.0286       0.758099        3.18303       0.302204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        96.0147       0.758196        3.18684       0.402955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        96.0007       0.758292        3.19065       0.503733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        95.9867       0.758389        3.19445       0.604539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        95.9727       0.758486        3.19826       0.705374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        95.9591       0.758581        3.20194       0.803458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        95.9455       0.758677        3.20563       0.901569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        95.9322       0.758771        3.20926       0.997196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        95.4353       0.759274        3.21388       0.103133       0.488370                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        93.9847       0.760581        3.21977       0.922735E-001   1.94267                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        92.5291       0.761891        3.22566       0.813761E-001   3.40194                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        91.0686       0.763204        3.23157       0.704408E-001   4.86619                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        89.6031       0.764519        3.23750       0.594673E-001   6.33543                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        88.2960       0.765698        3.24171       0.474559E-001   7.64916                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        86.9849       0.766880        3.24592       0.354069E-001   8.96689                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        85.6698       0.768064        3.25015       0.233205E-001   10.2886                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        84.3508       0.769249        3.25438       0.111963E-001   11.6144                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        83.1234       0.770356        3.25734                 NaN   12.8489                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        81.9736       0.771391        3.25864                 NaN   13.9963                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        80.8679       0.772387        3.25940                 NaN   15.1003                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        79.7594       0.773385        3.26015                 NaN   16.2070                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        78.7678       0.774282        3.25962                 NaN   17.1983                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        77.7739       0.775180        3.25908                 NaN   18.1918                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        76.7778       0.776080        3.25854                 NaN   19.1876                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        75.7794       0.776980        3.25799                 NaN   20.1856                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        74.7788       0.777881        3.25744                 NaN   21.1859                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        73.7760       0.778784        3.25688                 NaN   22.1884                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        72.7708       0.779687        3.25632                 NaN   23.1932                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        71.7634       0.780591        3.25575                 NaN   24.2002                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        70.8438       0.781420        3.25367                 NaN   25.1211                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        69.9223       0.782250        3.25158                 NaN   26.0439                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        68.8319       0.783192        3.24823                 NaN   26.0774        1.05930                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        67.6250       0.784224        3.24477                 NaN   25.6174        2.72867                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        66.4179       0.785276        3.24099                 NaN   25.1260        4.42987                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        65.2077       0.786329        3.23719                 NaN   24.6332        6.13560                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        63.9943       0.787384        3.23337                 NaN   24.1391        7.84586                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        62.7778       0.788439        3.22954                 NaN   23.6436        9.56066                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        61.5468       0.789557        3.22637                 NaN   23.1963        11.2410                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        60.3125       0.790677        3.22319                 NaN   22.7476        12.9260                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        59.0748       0.791798        3.21999                 NaN   22.2977        14.6158                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        57.8337       0.792920        3.21678                 NaN   21.8464        16.3103                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        56.5655       0.794100        3.21379                 NaN   21.4016        18.0250                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        55.1788       0.795461        3.21672                 NaN   21.1135       0.531060        19.1644                 NaN            NaN            NaN            NaN
  1490.38        2500.00        55.1775       0.795495        3.21673                 NaN   21.1142       0.531076        19.1650                 NaN            NaN            NaN            NaN
  1487.18        2500.00        52.3186       0.798347        3.22770                 NaN   20.8448        20.3682        2.44237                 NaN            NaN            NaN            NaN
  1483.97        2500.00        52.3173       0.798379        3.22770                 NaN   20.8454        20.3688        2.44244                 NaN            NaN            NaN            NaN
  1480.77        2500.00        52.3160       0.798412        3.22770                 NaN   20.8460        20.3694        2.44251                 NaN            NaN            NaN            NaN
  1477.56        2500.00        52.3146       0.798445        3.22770                 NaN   20.8466        20.3701        2.44258                 NaN            NaN            NaN            NaN
  1474.36        2500.00        52.3133       0.798478        3.22770                 NaN   20.8472        20.3707        2.44264                 NaN            NaN            NaN            NaN
  1471.15        2500.00        52.3119       0.798511        3.22769                 NaN   20.8478        20.3713        2.44271                 NaN            NaN            NaN            NaN
  1467.95        2500.00        52.3106       0.798544        3.22769                 NaN   20.8484        20.3720        2.44278                 NaN            NaN            NaN            NaN
  1464.74        2500.00        52.3092       0.798577        3.22769                 NaN   20.8491        20.3726        2.44285                 NaN            NaN            NaN            NaN
  1461.54        2500.00        42.6429       0.808106        3.22576                 NaN   20.3339        8.95630        24.0330                 NaN            NaN            NaN            NaN
  1458.33        2500.00        42.6417       0.808133        3.22573                 NaN   20.3344        8.95648        24.0336                 NaN            NaN            NaN            NaN
  1455.13        2500.00        40.5787       0.810198        3.21639                 NaN   20.4223        24.5918        10.3806                 NaN            NaN            NaN            NaN
  1451.92        2500.00        39.5936       0.811195        3.21041       0.513112E-002   20.3634        24.9687        11.0476                 NaN            NaN            NaN            NaN
  1448.72        2500.00        38.6301       0.812159        3.20176       0.173432E-001   20.2367        25.4107        11.6912                 NaN            NaN            NaN            NaN
  1445.51        2500.00        38.6290       0.812183        3.20172       0.173440E-001   20.2371        25.4112        11.6914                 NaN            NaN            NaN            NaN
  1442.31        2500.00        38.6279       0.812207        3.20169       0.173448E-001   20.2374        25.4118        11.6916                 NaN            NaN            NaN            NaN
  1439.10        2500.00        38.6268       0.812232        3.20166       0.173456E-001   20.2378        25.4123        11.6918                 NaN            NaN            NaN            NaN
  1435.90        2500.00        35.0136       0.815789        3.15968       0.687390E-001   19.9508        26.8592        14.1322                 NaN            NaN            NaN            NaN
  1432.69        2500.00        35.0126       0.815811        3.15964       0.687421E-001   19.9511        26.8597        14.1324                 NaN            NaN            NaN            NaN
  1429.49        2500.00        33.3338       0.817486        3.13558       0.967600E-001   19.9226        27.4136        15.2801                 NaN            NaN            NaN            NaN
  1426.28        2500.00        32.5213       0.818318        3.12449       0.114630        19.9105        27.6638        15.8469                 NaN            NaN            NaN            NaN
  1423.08        2500.00        31.7237       0.819124        3.11061       0.131396        19.9164        27.9028        16.3947       0.131032E-002            NaN            NaN            NaN
  1419.87        2500.00        31.7228       0.819144        3.11056       0.131402        19.9166        27.9032        16.3949       0.131041E-002            NaN            NaN            NaN
  1416.67        2500.00        31.7219       0.819164        3.11051       0.131407        19.9169        27.9037        16.3951       0.131051E-002            NaN            NaN            NaN
  1413.46        2500.00        31.7210       0.819184        3.11047       0.131413        19.9172        27.9042        16.3953       0.131060E-002            NaN            NaN            NaN
  1410.26        2500.00        26.4166       0.822967        3.12197       0.216610        18.6729        31.3850        17.5020        1.86195                 NaN            NaN            NaN
  1407.05        2500.00        25.2973       0.823780        3.12156       0.237541        18.4017        17.7211        32.1371        2.25990                 NaN            NaN            NaN
  1403.85        2500.00        24.2534       0.824426        3.11033       0.260168        18.0451        32.8652        17.9051        2.64988       0.863626E-001            NaN            NaN
  1400.64        2500.00        24.2527       0.824441        3.11026       0.260178        18.0452        32.8656        17.9052        2.65006       0.863631E-001            NaN            NaN
  1397.44        2500.00        22.3752       0.824846        3.02049       0.315049        16.7258        18.1050        34.3708        3.46690       0.795986                 NaN            NaN
  1394.23        2500.00        22.3745       0.824859        3.02042       0.315060        16.7259        18.1050        34.3710        3.46713       0.795990                 NaN            NaN
  1391.03        2500.00        22.3739       0.824873        3.02035       0.315071        16.7260        18.1051        34.3713        3.46735       0.795993                 NaN            NaN
  1387.82        2500.00        22.3732       0.824886        3.02028       0.315082        16.7261        18.1052        34.3716        3.46758       0.795996                 NaN            NaN
  1384.62        2500.00        19.1155       0.825064        2.79994       0.430616        13.8648        18.2695        37.3240        4.96654        2.40395                 NaN            NaN
  1381.41        2500.00        19.1150       0.825075        2.79986       0.430629        13.8649        18.2696        37.3242        4.96685        2.40395                 NaN            NaN
  1378.21        2500.00        19.1145       0.825086        2.79979       0.430643        13.8649        18.2696        37.3244        4.96715        2.40396                 NaN            NaN
  1375.00        2500.00        19.1139       0.825097        2.79972       0.430657        13.8649        18.2696        37.3246        4.96746        2.40396                 NaN            NaN
  1371.79        2500.00        19.1134       0.825108        2.79965       0.430671        13.8650        18.2697        37.3248        4.96777        2.40396                 NaN            NaN
  1368.59        2500.00        19.1129       0.825119        2.79958       0.430684        13.8650        18.2697        37.3250        4.96807        2.40397                 NaN            NaN
  1365.38        2500.00        19.1123       0.825130        2.79950       0.430698        13.8650        18.2697        37.3252        4.96838        2.40397                 NaN            NaN
  1362.18        2500.00        19.1118       0.825141        2.79943       0.430712        13.8651        18.2698        37.3254        4.96868        2.40397                 NaN            NaN
  1358.97        2500.00        13.8831       0.823357        2.18042       0.692662        6.92149        43.5555        17.7657        7.64713        6.53066                 NaN            NaN
  1355.77        2500.00        13.8827       0.823364        2.18036       0.692681        6.92147        43.5555        17.7657        7.64757        6.53064                 NaN            NaN
  1352.56        2500.00        13.8824       0.823371        2.18029       0.692700        6.92146        43.5556        17.7656        7.64800        6.53063                 NaN            NaN
  1349.36        2500.00        13.8820       0.823379        2.18023       0.692719        6.92144        43.5556        17.7656        7.64844        6.53061                 NaN            NaN
  1346.15        2500.00        11.6542       0.821428        1.75892       0.846781        2.54531        17.0808        47.1744        8.91167        9.20648                 NaN            NaN
  1342.95        2500.00        11.6540       0.821433        1.75887       0.846803        2.54530        17.0807        47.1743        8.91216        9.20644                 NaN            NaN
  1339.74        2500.00        10.5975       0.820166        1.51318       0.932094       0.379407E-001   16.6061        49.2119        9.53901        10.7420                 NaN            NaN
  1336.54        2500.00        10.1602       0.819714        1.40976       0.936481                 NaN   48.8247        16.7009        9.75505        11.3932                 NaN            NaN
  1333.33        2500.00        9.73581       0.819203        1.29847       0.939187                 NaN   16.8073        48.3475        9.96439        12.0882                 NaN            NaN
  1330.13        2500.00        9.73560       0.819208        1.29843       0.939209                 NaN   16.8072        48.3474        9.96493        12.0881                 NaN            NaN
  1326.92        2500.00        9.73538       0.819212        1.29839       0.939232                 NaN   16.8071        48.3472        9.96546        12.0880                 NaN            NaN
  1323.72        2500.00        9.73517       0.819216        1.29834       0.939255                 NaN   16.8070        48.3471        9.96600        12.0880                 NaN            NaN
  1320.51        2500.00        8.14734       0.816931       0.826344       0.951716                 NaN   46.2086        17.2779        10.7432        15.0280                 NaN            NaN
  1317.31        2500.00                 NaN  0.820184       0.735110       0.953998                 NaN   46.1257        18.2738        11.8428        16.2533        4.99516                 NaN
  1314.10        2500.00                 NaN  0.819007       0.585875       0.957245                 NaN   45.0916        18.4870        11.8640        17.1857        5.00960                 NaN
  1310.90        2500.00                 NaN  0.819008       0.585853       0.957265                 NaN   45.0913        18.4868        11.8645        17.1855        5.00967                 NaN
  1307.69        2500.00                 NaN  0.816619       0.282140       0.963241                 NaN   18.9172        42.9928        11.9061        19.0839        5.03795                 NaN
  1304.49        2500.00                 NaN  0.815363       0.121615       0.966243                 NaN   41.8928        19.1378        11.9266        20.0872        5.05246                 NaN
  1301.28        2500.00                 NaN  0.814397                 NaN  0.968751                 NaN   41.0415        19.3067        11.9517        20.8523        5.06460                 NaN
  1298.08        2500.00                 NaN  0.814397                 NaN  0.968770                 NaN   41.0413        19.3065        11.9523        20.8521        5.06466                 NaN
  1294.87        2500.00                 NaN  0.814278                 NaN  0.972219                 NaN   19.3674        40.8724        12.0216        20.8814        5.07077                 NaN
  1291.67        2500.00                 NaN  0.814279                 NaN  0.972238                 NaN   19.3672        40.8721        12.0221        20.8812        5.07083                 NaN
  1288.46        2500.00                 NaN  0.814279                 NaN  0.972257                 NaN   19.3670        40.8719        12.0227        20.8810        5.07089                 NaN
