|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  1568.81        2500.00                 NaN            NaN   98.9822       0.934009       0.837939E-001            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN            NaN   99.3325       0.596671       0.707899E-001            NaN            NaN            NaN            NaN            NaN
  1565.69        2500.00                 NaN            NaN   99.3379       0.623818       0.382401E-001            NaN            NaN            NaN            NaN            NaN
  1564.13        2500.00                 NaN            NaN   99.3418       0.605390       0.527851E-001            NaN            NaN            NaN            NaN            NaN
  1562.57        2500.00                 NaN            NaN   99.9419       0.198367E-001  0.382946E-001            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN            NaN   98.7625        1.17339       0.640898E-001            NaN            NaN            NaN            NaN            NaN
  1559.46        2500.00                 NaN            NaN   99.3592       0.589987       0.508040E-001            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00                 NaN            NaN   99.3642       0.586441       0.493834E-001            NaN            NaN            NaN            NaN            NaN
  1556.34        2500.00                 NaN            NaN   99.3673       0.583425       0.492539E-001            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00                 NaN            NaN   99.3769       0.575971       0.470901E-001            NaN            NaN            NaN            NaN            NaN
  1553.22        2500.00                 NaN            NaN   99.2834       0.662414       0.541975E-001            NaN            NaN            NaN            NaN            NaN
  1551.66        2500.00                 NaN            NaN   99.4798       0.481984       0.382254E-001            NaN            NaN            NaN            NaN            NaN
  1550.10        2500.00                 NaN            NaN   99.3855       0.569666       0.448062E-001            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN            NaN   99.3941       0.561268       0.446135E-001            NaN            NaN            NaN            NaN            NaN
  1546.99        2500.00                 NaN            NaN   99.3987       0.559361       0.419589E-001            NaN            NaN            NaN            NaN            NaN
  1545.43        2500.00                 NaN            NaN   99.4017       0.556140       0.421615E-001            NaN            NaN            NaN            NaN            NaN
  1543.87        2500.00                 NaN            NaN   99.4058       0.553418       0.408050E-001            NaN            NaN            NaN            NaN            NaN
  1542.31        2500.00                 NaN            NaN   99.4096       0.549784       0.405685E-001            NaN            NaN            NaN            NaN            NaN
  1540.75        2500.00                 NaN            NaN   99.4151       0.545546       0.393276E-001            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00                 NaN            NaN   99.4181       0.543693       0.382250E-001            NaN            NaN            NaN            NaN            NaN
  1537.64        2500.00                 NaN            NaN   99.4221       0.540470       0.374596E-001            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00                 NaN            NaN   99.4255       0.537857       0.366842E-001            NaN            NaN            NaN            NaN            NaN
  1534.52        2500.00                 NaN            NaN   99.4298       0.535230       0.350195E-001            NaN            NaN            NaN            NaN            NaN
  1532.96        2500.00                 NaN            NaN   99.4291       0.537922       0.329934E-001            NaN            NaN            NaN            NaN            NaN
  1531.40        2500.00                 NaN            NaN   99.4399       0.526218       0.338380E-001            NaN            NaN            NaN            NaN            NaN
  1529.85        2500.00                 NaN            NaN   99.4406       0.526588       0.327920E-001            NaN            NaN            NaN            NaN            NaN
  1528.29        2500.00                 NaN            NaN   99.4438       0.524009       0.321994E-001            NaN            NaN            NaN            NaN            NaN
  1526.73        2500.00                 NaN            NaN   99.4463       0.523737       0.299970E-001            NaN            NaN            NaN            NaN            NaN
  1525.17        2500.00                 NaN            NaN   99.9068       0.922382E-001  0.917078E-003            NaN            NaN            NaN            NaN            NaN
  1523.61        2500.00                 NaN            NaN   98.9976       0.944605       0.578078E-001            NaN            NaN            NaN            NaN            NaN
  1522.05        2500.00                 NaN            NaN   99.4557       0.516345       0.279383E-001            NaN            NaN            NaN            NaN            NaN
  1520.50        2500.00                 NaN            NaN   97.5343        2.38859       0.771377E-001            NaN            NaN            NaN            NaN            NaN
  1518.94        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.38        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.82        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.26        2500.00                 NaN            NaN   99.8354       0.154286       0.102652E-001            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN            NaN   99.3661       0.617616       0.163141E-001            NaN            NaN            NaN            NaN            NaN
  1511.15        2500.00                 NaN            NaN   99.4774       0.488185       0.343909E-001            NaN            NaN            NaN            NaN            NaN
  1509.59        2500.00                 NaN            NaN   99.4801       0.498525       0.214232E-001            NaN            NaN            NaN            NaN            NaN
  1508.03        2500.00                 NaN            NaN   99.4810       0.515567       0.345978E-002            NaN            NaN            NaN            NaN            NaN
  1506.47        2500.00                 NaN            NaN   99.0084       0.316353       0.787918E-001  0.596482                 NaN            NaN            NaN            NaN
  1504.91        2500.00                 NaN            NaN   98.9007       0.288488       0.719485E-001  0.738814                 NaN            NaN            NaN            NaN
  1503.35        2500.00                 NaN            NaN   98.9127       0.286091       0.697831E-001  0.731440                 NaN            NaN            NaN            NaN
  1501.80        2500.00                 NaN            NaN   98.9270       0.281154       0.687127E-001  0.723128                 NaN            NaN            NaN            NaN
  1500.24        2500.00                 NaN            NaN   98.9327       0.274822       0.694650E-001  0.723059                 NaN            NaN            NaN            NaN
  1498.68        2500.00                 NaN            NaN   98.9540       0.271930       0.668816E-001  0.707156                 NaN            NaN            NaN            NaN
  1497.12        2500.00                 NaN            NaN   98.5986       0.366709       0.854133E-001  0.949308                 NaN            NaN            NaN            NaN
  1495.56        2500.00                 NaN            NaN   99.3386       0.172455       0.406547E-001  0.448328                 NaN            NaN            NaN            NaN
  1494.00        2500.00                 NaN            NaN   98.9839       0.263915       0.620121E-001  0.690145                 NaN            NaN            NaN            NaN
  1492.45        2500.00                 NaN            NaN   98.9951       0.259356       0.619323E-001  0.683581                 NaN            NaN            NaN            NaN
  1490.89        2500.00                 NaN            NaN   99.0049       0.257649       0.600621E-001  0.677348                 NaN            NaN            NaN            NaN
  1489.33        2500.00                 NaN            NaN   98.9731       0.433114E-001  0.379254E-001  0.629193       0.316516                 NaN            NaN            NaN
  1487.77        2500.00                 NaN            NaN   98.9745       0.421300E-002  0.332777E-001  0.371184       0.616828                 NaN            NaN            NaN
  1486.21        2500.00                 NaN            NaN   98.9846       0.592299E-001  0.300074E-001  0.310699       0.615446                 NaN            NaN            NaN
  1484.65        2500.00                 NaN            NaN   98.9940                 NaN  0.306387E-001  0.604867       0.370517                 NaN            NaN            NaN
  1483.09        2500.00                 NaN            NaN   99.2089       0.312954E-001  0.222070E-001  0.478506       0.259094                 NaN            NaN            NaN
  1481.54        2500.00                 NaN            NaN   98.8089       0.252491       0.243492E-001  0.737737       0.176545                 NaN            NaN            NaN
  1479.98        2500.00                 NaN            NaN   99.0213                 NaN  0.266936E-001  0.364608       0.587423                 NaN            NaN            NaN
  1478.42        2500.00                 NaN            NaN   99.0271                 NaN  0.254594E-001  0.363426       0.584018                 NaN            NaN            NaN
  1476.86        2500.00                 NaN            NaN   99.1694                 NaN  0.221175E-001  0.309257       0.499179                 NaN            NaN            NaN
  1475.30        2500.00                 NaN            NaN   98.9070                 NaN  0.252870E-001  0.655515       0.412154                 NaN            NaN            NaN
  1473.74        2500.00                 NaN            NaN   99.0502                 NaN  0.218361E-001  0.570669       0.357299                 NaN            NaN            NaN
  1472.19        2500.00                 NaN            NaN   99.0587                 NaN  0.204907E-001  0.565178       0.355614                 NaN            NaN            NaN
  1470.63        2500.00                 NaN            NaN   99.0654                 NaN  0.194101E-001  0.561369       0.353851                 NaN            NaN            NaN
  1469.07        2500.00                 NaN            NaN   99.0539       0.331026       0.471665E-002  0.590200       0.201124E-001            NaN            NaN            NaN
  1467.51        2500.00                 NaN            NaN   99.1091                 NaN  0.155912E-001  0.535061       0.340272                 NaN            NaN            NaN
  1465.95        2500.00                 NaN            NaN   99.0870                 NaN  0.159933E-001  0.548492       0.348530                 NaN            NaN            NaN
  1464.39        2500.00                 NaN            NaN   99.0944                 NaN  0.148137E-001  0.346984       0.543761                 NaN            NaN            NaN
  1462.84        2500.00                 NaN            NaN   99.1003                 NaN  0.138783E-001  0.345016       0.540798                 NaN            NaN            NaN
  1461.28        2500.00                 NaN            NaN   99.1063                 NaN  0.128804E-001  0.343550       0.537227                 NaN            NaN            NaN
  1459.72        2500.00                 NaN            NaN   98.5523                 NaN  0.165573E-001  0.863234       0.567948                 NaN            NaN            NaN
  1458.16        2500.00                 NaN            NaN   99.6799                 NaN  0.811829E-002  0.118977       0.193019                 NaN            NaN            NaN
  1456.60        2500.00                 NaN            NaN   99.1259                 NaN  0.977423E-002  0.338374       0.525935                 NaN            NaN            NaN
  1455.04        2500.00                 NaN            NaN   99.1311                 NaN  0.892800E-002  0.523585       0.336430                 NaN            NaN            NaN
  1453.49        2500.00                 NaN            NaN   99.1373                 NaN  0.790914E-002  0.335375       0.519420                 NaN            NaN            NaN
  1451.93        2500.00                 NaN            NaN   99.1409                 NaN  0.710617E-002  0.517954       0.334056                 NaN            NaN            NaN
  1450.37        2500.00                 NaN            NaN   99.1488                 NaN  0.576956E-002  0.333015       0.512406                 NaN            NaN            NaN
  1448.81        2500.00                 NaN            NaN   99.1544                 NaN  0.506175E-002  0.510076       0.330476                 NaN            NaN            NaN
  1447.25        2500.00                 NaN            NaN   99.1588                 NaN  0.425232E-002  0.507541       0.329426                 NaN            NaN            NaN
  1445.69        2500.00                 NaN            NaN   99.1639                 NaN  0.319157E-002  0.504557       0.328392                 NaN            NaN            NaN
  1444.14        2500.00                 NaN            NaN   99.1690                 NaN  0.236591E-002  0.501906       0.326729                 NaN            NaN            NaN
  1442.58        2500.00                 NaN            NaN   99.1740                 NaN  0.157038E-002  0.324932       0.499517                 NaN            NaN            NaN
  1441.02        2500.00                 NaN            NaN   97.9447                 NaN  0.194569       0.584907       0.609480                 NaN  0.666384                 NaN
  1439.46        2500.00                 NaN            NaN   97.9053                 NaN  0.206326       0.605673       0.586508                 NaN  0.696238                 NaN
  1437.90        2500.00                 NaN            NaN   97.8955                 NaN  0.199654       0.604632       0.600732                 NaN  0.699463                 NaN
  1436.34        2500.00                 NaN            NaN   98.0497                 NaN  0.206519       0.575240       0.518472                 NaN  0.650096                 NaN
  1434.79        2500.00                 NaN            NaN   98.0312                 NaN  0.201131       0.572259       0.539546                 NaN  0.655822                 NaN
  1433.23        2500.00                 NaN            NaN   98.0677                 NaN  0.199981       0.562968       0.525449                 NaN  0.643858                 NaN
  1431.67        2500.00                 NaN            NaN   98.1090                 NaN  0.198292       0.550852       0.511125                 NaN  0.630699                 NaN
  1430.11        2500.00                 NaN            NaN   98.1424                 NaN  0.197295       0.498261       0.542278                 NaN  0.619776                 NaN
  1428.55        2500.00                 NaN            NaN   98.1771                 NaN  0.196125       0.532698       0.485439                 NaN  0.608625                 NaN
  1426.99        2500.00                 NaN            NaN   98.2080                 NaN  0.195626       0.472543       0.524545                 NaN  0.599336                 NaN
  1425.44        2500.00                 NaN            NaN   98.2449                 NaN  0.193249       0.461359       0.514101                 NaN  0.586426                 NaN
  1423.88        2500.00                 NaN            NaN   98.2755                 NaN  0.192612       0.506039       0.449057                 NaN  0.576837                 NaN
  1422.32        2500.00                 NaN            NaN   98.3052                 NaN  0.191677       0.437648       0.498363                 NaN  0.567062                 NaN
  1420.76        2500.00                 NaN            NaN   98.3235                 NaN  0.192107       0.429387       0.492968                 NaN  0.562061                 NaN
  1419.20        2500.00                 NaN            NaN   98.3730                 NaN  0.189077       0.414123       0.479010                 NaN  0.544744                 NaN
  1417.64        2500.00                 NaN            NaN   98.3924                 NaN  0.188265       0.474559       0.406228                 NaN  0.538499                 NaN
  1416.09        2500.00                 NaN            NaN   98.4184                 NaN  0.187921       0.467474       0.395984                 NaN  0.530255                 NaN
  1414.53        2500.00                 NaN            NaN   98.4464                 NaN  0.186747       0.459810       0.385970                 NaN  0.521092                 NaN
  1412.97        2500.00                 NaN            NaN   98.4713                 NaN  0.185951       0.452735       0.377010                 NaN  0.513020                 NaN
  1411.41        2500.00                 NaN            NaN   98.4957                 NaN  0.185112       0.446555       0.367524                 NaN  0.505080                 NaN
  1409.85        2500.00                 NaN            NaN   98.5201                 NaN  0.184341       0.439890       0.358604                 NaN  0.497043                 NaN
  1408.29        2500.00                 NaN            NaN   98.5433                 NaN  0.183557       0.349836       0.433733                 NaN  0.489618                 NaN
  1406.73        2500.00                 NaN            NaN   98.5663                 NaN  0.182819       0.427306       0.341589                 NaN  0.481983                 NaN
  1405.18        2500.00                 NaN            NaN   98.5849                 NaN  0.182542       0.422901       0.333512                 NaN  0.476160                 NaN
  1403.62        2500.00                 NaN            NaN   98.6136                 NaN  0.180694       0.414330       0.325009                 NaN  0.466358                 NaN
  1402.06        2500.00                 NaN            NaN   98.6322                 NaN  0.180551       0.317100       0.409570                 NaN  0.460542                 NaN
  1400.50        2500.00                 NaN            NaN   98.6533                 NaN  0.179505       0.403753       0.310131                 NaN  0.453273                 NaN
  1398.94        2500.00                 NaN            NaN   98.6726                 NaN  0.179198       0.303017       0.398072                 NaN  0.447137                 NaN
  1397.38        2500.00                 NaN            NaN   98.6901                 NaN  0.179213       0.295352       0.393877                 NaN  0.441448                 NaN
  1395.83        2500.00                 NaN            NaN   98.7131                 NaN  0.176960       0.387009       0.289381                 NaN  0.433588                 NaN
  1394.27        2500.00                 NaN            NaN   98.7262                 NaN  0.177800       0.282024       0.384382                 NaN  0.429561                 NaN
  1392.71        2500.00                 NaN            NaN   98.7520                 NaN  0.175459       0.275351       0.376594                 NaN  0.420563                 NaN
  1391.15        2500.00                 NaN            NaN   98.7648                 NaN  0.177127       0.372887       0.266777                 NaN  0.418424                 NaN
  1389.59        2500.00                 NaN            NaN   98.7906                 NaN  0.173194       0.366515       0.262572                 NaN  0.407124                 NaN
  1388.03        2500.00                 NaN            NaN   98.8008                 NaN  0.174327       0.363014       0.257144                 NaN  0.404764                 NaN
  1386.48        2500.00                 NaN            NaN   98.8147                 NaN  0.173750       0.360634       0.251263                 NaN  0.399606                 NaN
  1384.92        2500.00                 NaN            NaN   98.8335                 NaN  0.173200       0.354326       0.245285                 NaN  0.393675                 NaN
  1383.36        2500.00                 NaN            NaN   98.8491                 NaN  0.173147       0.350928       0.238002                 NaN  0.388813                 NaN
  1381.80        2500.00                 NaN            NaN   98.8659                 NaN  0.170665       0.235231       0.345536                 NaN  0.382670                 NaN
  1380.24        2500.00                 NaN            NaN   98.8793                 NaN  0.171030       0.228851       0.342469                 NaN  0.378330                 NaN
  1378.68        2500.00                 NaN            NaN   98.8949                 NaN  0.170985       0.337286       0.222876                 NaN  0.374001                 NaN
  1377.13        2500.00                 NaN            NaN   98.9102                 NaN  0.168870       0.334666       0.218834                 NaN  0.367439                 NaN
  1375.57        2500.00                 NaN            NaN   98.9235                 NaN  0.168748       0.330550       0.213830                 NaN  0.363378                 NaN
  1374.01        2500.00                 NaN            NaN   98.9355                 NaN  0.168599       0.209536       0.326949                 NaN  0.359426                 NaN
  1372.45        2500.00                 NaN            NaN   98.9502                 NaN  0.167500       0.204746       0.323116                 NaN  0.354482                 NaN
  1370.89        2500.00                 NaN            NaN   98.9631                 NaN  0.166963       0.319547       0.200250                 NaN  0.350150                 NaN
  1369.33        2500.00                 NaN            NaN   98.9759                 NaN  0.166319       0.315940       0.196083                 NaN  0.345791                 NaN
  1367.78        2500.00                 NaN            NaN   98.9881                 NaN  0.166059       0.190844       0.313192                 NaN  0.341814                 NaN
  1366.22        2500.00                 NaN            NaN   99.0017                 NaN  0.164066       0.308902       0.188643                 NaN  0.336691                 NaN
  1364.66        2500.00                 NaN            NaN   99.0134                 NaN  0.163746       0.183798       0.306266                 NaN  0.332829                 NaN
  1363.10        2500.00                 NaN            NaN   99.0255                 NaN  0.163170       0.179845       0.302740                 NaN  0.328785                 NaN
  1361.54        2500.00                 NaN            NaN   99.0366                 NaN  0.162379       0.176410       0.299712                 NaN  0.324877                 NaN
  1359.98        2500.00                 NaN            NaN   99.0480                 NaN  0.161491       0.296590       0.172982                 NaN  0.320975                 NaN
  1358.43        2500.00                 NaN            NaN   99.0588                 NaN  0.160773       0.293528       0.169646                 NaN  0.317265                 NaN
  1356.87        2500.00                 NaN            NaN   99.0701                 NaN  0.159596       0.290497       0.166592                 NaN  0.313183                 NaN
  1355.31        2500.00                 NaN            NaN   99.0767                 NaN  0.160052       0.162780       0.289323                 NaN  0.311129                 NaN
  1353.75        2500.00                 NaN            NaN   99.0930                 NaN  0.156871       0.161304       0.283836                 NaN  0.305025                 NaN
  1352.19        2500.00                 NaN            NaN   99.1010                 NaN  0.157704       0.281425       0.157083                 NaN  0.302762                 NaN
  1350.63        2500.00                 NaN            NaN   99.0929                 NaN  0.120306       0.264113       0.222458                 NaN  0.300178                 NaN
  1349.08        2500.00                 NaN            NaN   99.1389                 NaN  0.190732       0.838739E-001  0.292666                 NaN  0.293808                 NaN
  1347.52        2500.00                 NaN            NaN   99.1307                 NaN  0.154026       0.273655       0.149683                 NaN  0.291914                 NaN
  1345.96        2500.00                 NaN            NaN   99.1393                 NaN  0.153227       0.271490       0.147114                 NaN  0.288821                 NaN
  1344.40        2500.00                 NaN            NaN   99.1498                 NaN  0.151745       0.145305       0.268045                 NaN  0.285123                 NaN
  1342.84        2500.00                 NaN            NaN   99.1584                 NaN  0.150708       0.265812       0.143102                 NaN  0.281958                 NaN
  1341.28        2500.00                 NaN            NaN   99.1676                 NaN  0.149661       0.263073       0.140955                 NaN  0.278748                 NaN
  1339.72        2500.00                 NaN            NaN   99.1764                 NaN  0.148541       0.138840       0.260676                 NaN  0.275565                 NaN
  1338.17        2500.00                 NaN            NaN   99.1847                 NaN  0.147306       0.258161       0.137362                 NaN  0.272509                 NaN
  1336.61        2500.00                 NaN            NaN   99.1935                 NaN  0.146355       0.135202       0.255402                 NaN  0.269516                 NaN
  1335.05        2500.00                 NaN            NaN   99.2018                 NaN  0.145287       0.253621       0.132753                 NaN  0.266524                 NaN
  1333.49        2500.00                 NaN            NaN   99.2093                 NaN  0.142820       0.133908       0.250727                 NaN  0.263219                 NaN
  1331.93        2500.00                 NaN            NaN   99.2173                 NaN  0.142085       0.248548       0.131545                 NaN  0.260554                 NaN
  1330.37        2500.00                 NaN            NaN   99.2252                 NaN  0.141262       0.129433       0.246277                 NaN  0.257864                 NaN
  1328.82        2500.00                 NaN            NaN   99.2334                 NaN  0.139044       0.243751       0.129350                 NaN  0.254467                 NaN
  1327.26        2500.00                 NaN            NaN   99.2400                 NaN  0.137998       0.241762       0.128184                 NaN  0.252086                 NaN
  1325.70        2500.00                 NaN            NaN   99.2468                 NaN  0.136541       0.127756       0.239311                 NaN  0.249547                 NaN
  1324.14        2500.00                 NaN            NaN   99.2547                 NaN  0.134833       0.237232       0.126809                 NaN  0.246466                 NaN
  1322.58        2500.00                 NaN            NaN   99.2613                 NaN  0.133551       0.126127       0.234959                 NaN  0.244020                 NaN
  1321.02        2500.00                 NaN            NaN   99.2686                 NaN  0.132394       0.232714       0.124783                 NaN  0.241481                 NaN
  1319.47        2500.00                 NaN            NaN   99.2753                 NaN  0.129912       0.230510       0.125817                 NaN  0.238511                 NaN
  1317.91        2500.00                 NaN            NaN   99.2817                 NaN  0.128806       0.228412       0.124844                 NaN  0.236250                 NaN
  1316.35        2500.00                 NaN            NaN   99.2886                 NaN  0.126940       0.124616       0.226347                 NaN  0.233521                 NaN
  1314.79        2500.00                 NaN            NaN   99.2945                 NaN  0.125297       0.124824       0.224148                 NaN  0.231260                 NaN
  1313.23        2500.00                 NaN            NaN   99.3000                 NaN  0.119302       0.220517       0.132036                 NaN  0.228139                 NaN
  1311.67        2500.00                 NaN            NaN   99.3069                 NaN  0.126051       0.221460       0.118357                 NaN  0.227279                 NaN
  1310.12        2500.00                 NaN            NaN   99.3128                 NaN  0.120025       0.125318       0.217744                 NaN  0.224127                 NaN
  1308.56        2500.00                 NaN            NaN   99.3174                 NaN  0.118422       0.126190       0.215706                 NaN  0.222233                 NaN
  1307.00        2500.00                 NaN            NaN   99.3248                 NaN  0.115929       0.126641       0.213365                 NaN  0.219236                 NaN
  1305.44        2500.00                 NaN            NaN   99.3294                 NaN  0.114309       0.211538       0.127389                 NaN  0.217403                 NaN
  1303.88        2500.00                 NaN            NaN   99.3352                 NaN  0.112626       0.127591       0.209364                 NaN  0.215174                 NaN
  1302.32        2500.00                 NaN            NaN   99.3405                 NaN  0.110528       0.128667       0.207273                 NaN  0.212994                 NaN
  1300.77        2500.00                 NaN            NaN   99.3456                 NaN  0.108569       0.129694       0.205245                 NaN  0.210925                 NaN
  1299.21        2500.00                 NaN            NaN   99.3507                 NaN  0.106583       0.130760       0.203068                 NaN  0.208901                 NaN
  1297.65        2500.00                 NaN            NaN   99.3559                 NaN  0.104725       0.131211       0.201348                 NaN  0.206837                 NaN
  1296.09        2500.00                 NaN            NaN   99.3610                 NaN  0.102443       0.132892       0.199012                 NaN  0.204672                 NaN
  1294.53        2500.00       0.811188E-001            NaN   99.2520                 NaN            NaN  0.207056       0.243821                 NaN  0.216025                 NaN
  1292.97        2500.00       0.829820E-001            NaN   99.2589                 NaN            NaN  0.200455       0.243252                 NaN  0.214420                 NaN
  1291.42        2500.00       0.813787E-001            NaN   99.2696                 NaN            NaN  0.239012       0.198335                 NaN  0.211656                 NaN
  1289.86        2500.00       0.799448E-001            NaN   99.2804                 NaN            NaN  0.195754       0.235029                 NaN  0.208894                 NaN
  1288.30        2500.00       0.781922E-001            NaN   99.2909                 NaN            NaN  0.230591       0.194207                 NaN  0.206122                 NaN
  1286.74        2500.00       0.766645E-001            NaN   99.3014                 NaN            NaN  0.192025       0.226442                 NaN  0.203474                 NaN
  1285.18        2500.00       0.750249E-001            NaN   99.3117                 NaN            NaN  0.221971       0.190521                 NaN  0.200784                 NaN
  1283.62        2500.00       0.735664E-001            NaN   99.3218                 NaN            NaN  0.218213       0.188254                 NaN  0.198118                 NaN
  1282.07        2500.00       0.132595                 NaN   98.0217                 NaN            NaN  0.306352       0.345509                 NaN  0.344630       0.849258     
  1280.51        2500.00        1.33474                 NaN   71.6398                 NaN            NaN   2.91175        2.74701                 NaN   3.32633        18.0403     
  1278.95        2500.00        3.86465                 NaN   13.6736                 NaN            NaN   8.01932        8.55513                 NaN   9.92032        55.9670     
  1277.39        2500.00        3.84949       0.449393       0.264940E-005            NaN            NaN   8.71976        8.96688       0.527767        11.2648        66.2219     
  1275.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1274.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1272.71        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1271.16        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1269.60        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1268.04        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1266.48        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1264.92        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
