|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/KHA22/KHA22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1565.96        2500.00                 NaN            NaN   99.3734       0.571577       0.550553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.49        2500.00                 NaN            NaN   99.3827       0.562334       0.549963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.02        2500.00                 NaN            NaN   99.3851       0.560089       0.547633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN            NaN   99.3907       0.555532       0.538003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.08        2500.00                 NaN            NaN   99.3929       0.553977       0.530855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.61        2500.00                 NaN            NaN   99.4011       0.548410       0.504504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.14        2500.00                 NaN            NaN   99.3299       0.615752       0.543933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN            NaN   99.4800       0.476039       0.439557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN            NaN   99.4142       0.537116       0.487155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.73        2500.00                 NaN            NaN   99.4188       0.532051       0.491322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.26        2500.00                 NaN            NaN   99.4217       0.531432       0.469157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN            NaN   99.4283       0.523910       0.478285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.32        2500.00                 NaN            NaN   99.4297       0.526040       0.443014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.85        2500.00                 NaN            NaN   99.4348       0.519764       0.453935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.38        2500.00                 NaN            NaN   99.4397       0.516418       0.438734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN            NaN   99.4439       0.512244       0.438196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN            NaN   99.4484       0.472888       0.787412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.97        2500.00                 NaN            NaN   99.4523       0.540527       0.713417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.50        2500.00                 NaN            NaN   99.4547       0.503316       0.419920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.03        2500.00                 NaN            NaN   99.7536       0.230955       0.153972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.56        2500.00                 NaN            NaN   99.1681       0.769673       0.622380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.09        2500.00                 NaN            NaN   98.9787       0.953712       0.675685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00                 NaN            NaN   99.9592       0.369092E-001  0.390518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN            NaN   99.4740       0.489075       0.369708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.68        2500.00                 NaN            NaN   99.4750       0.489125       0.358948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.21        2500.00                 NaN            NaN   99.4830       0.481990       0.350593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.74        2500.00                 NaN            NaN   99.4865       0.477236       0.362904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00                 NaN            NaN   99.4873       0.479724       0.330131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00                 NaN            NaN   99.4915       0.473950       0.345535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00                 NaN            NaN   99.4975       0.468055       0.344251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00                 NaN            NaN   99.4976       0.470766       0.315964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00                 NaN            NaN   99.5015       0.466982       0.315014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00                 NaN            NaN   99.5052       0.463592       0.312549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN            NaN   99.5069       0.464200       0.288906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00                 NaN            NaN   99.5109       0.460188       0.288935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00                 NaN            NaN   99.7408       0.245141       0.140154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00                 NaN            NaN   99.2860       0.675791       0.382410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00                 NaN            NaN   99.5146       0.459691       0.256776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00                 NaN            NaN   99.5242       0.457871       0.179238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00                 NaN            NaN   99.5249       0.443146       0.319283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00                 NaN            NaN   99.5280       0.447639       0.243257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00                 NaN            NaN   99.5313       0.430148       0.386013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00                 NaN            NaN   99.3860       0.564081       0.499611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00                 NaN            NaN   99.6901       0.309803       0.487138E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00                 NaN            NaN   99.5385       0.453589       0.794604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        2500.00                 NaN            NaN   99.5391       0.454805       0.609359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        2500.00                 NaN            NaN   99.5428       0.424752       0.324442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        2500.00                 NaN            NaN   99.5767       0.408085       0.152562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        2500.00                 NaN            NaN   99.4904       0.388637       0.102189E-001            NaN  0.110753                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        2500.00                 NaN            NaN   99.4142       0.460543E-001            NaN            NaN  0.539713                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00                 NaN            NaN   99.4124                 NaN  0.690885E-005            NaN  0.587569                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        2500.00                 NaN            NaN   99.4123                 NaN            NaN            NaN  0.587749                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        2500.00                 NaN            NaN   99.4107                 NaN            NaN            NaN  0.589348                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        2500.00                 NaN            NaN   99.4107                 NaN            NaN            NaN  0.589285                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        2500.00                 NaN            NaN   99.4083                 NaN            NaN            NaN  0.591706                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00                 NaN            NaN   99.4050                 NaN            NaN            NaN  0.595035                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        2500.00                 NaN            NaN   99.4051                 NaN            NaN            NaN  0.594857                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        2500.00                 NaN            NaN   99.3437                 NaN            NaN            NaN  0.102345       0.554001                 NaN            NaN            NaN            NaN            NaN
  1480.70        2500.00                 NaN            NaN   98.9614                 NaN  0.354883E-005            NaN  0.600656       0.437904                 NaN            NaN            NaN            NaN            NaN
  1479.23        2500.00                 NaN            NaN   99.2673                 NaN            NaN            NaN  0.423168       0.309532                 NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN            NaN   99.1213                 NaN            NaN            NaN  0.370078       0.508659                 NaN            NaN            NaN            NaN            NaN
  1476.29        2500.00                 NaN            NaN   99.1368                 NaN            NaN            NaN  0.365031       0.498173                 NaN            NaN            NaN            NaN            NaN
  1474.82        2500.00                 NaN            NaN   99.1415                 NaN            NaN            NaN  0.361869       0.496615                 NaN            NaN            NaN            NaN            NaN
  1473.35        2500.00                 NaN            NaN   99.1478                 NaN            NaN            NaN  0.493495       0.358697                 NaN            NaN            NaN            NaN            NaN
  1471.88        2500.00                 NaN            NaN   99.1528                 NaN            NaN            NaN  0.355700       0.491535                 NaN            NaN            NaN            NaN            NaN
  1470.41        2500.00                 NaN            NaN   99.1626                 NaN  0.789173E-005            NaN  0.352112       0.485237                 NaN            NaN            NaN            NaN            NaN
  1468.94        2500.00                 NaN            NaN   99.1694       0.102595E-001            NaN            NaN  0.338412       0.481957                 NaN            NaN            NaN            NaN            NaN
  1467.47        2500.00                 NaN            NaN   99.1763       0.278255E-001            NaN            NaN  0.480084       0.315778                 NaN            NaN            NaN            NaN            NaN
  1466.00        2500.00                 NaN            NaN   99.1821                 NaN            NaN            NaN  0.342859       0.475033                 NaN            NaN            NaN            NaN            NaN
  1464.53        2500.00                 NaN            NaN   99.1891                 NaN            NaN            NaN  0.470763       0.340185                 NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN            NaN   99.1952                 NaN            NaN            NaN  0.336713       0.468134                 NaN            NaN            NaN            NaN            NaN
  1461.59        2500.00                 NaN            NaN   99.2015                 NaN            NaN            NaN  0.464083       0.334455                 NaN            NaN            NaN            NaN            NaN
  1460.12        2500.00                 NaN            NaN   99.2072                 NaN            NaN            NaN  0.461051       0.331794                 NaN            NaN            NaN            NaN            NaN
  1458.65        2500.00                 NaN            NaN   99.2145                 NaN            NaN            NaN  0.456939       0.328518                 NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00                 NaN            NaN   99.2201       0.142438E-001            NaN            NaN  0.455087       0.310553                 NaN            NaN            NaN            NaN            NaN
  1455.71        2500.00                 NaN            NaN   99.2254       0.188005E-001            NaN            NaN  0.303093       0.452725                 NaN            NaN            NaN            NaN            NaN
  1454.24        2500.00                 NaN            NaN   99.2317       0.183142E-001            NaN            NaN  0.449112       0.300857                 NaN            NaN            NaN            NaN            NaN
  1452.77        2500.00                 NaN            NaN   99.2382       0.172030E-001            NaN            NaN  0.445377       0.299245                 NaN            NaN            NaN            NaN            NaN
  1451.30        2500.00                 NaN            NaN   99.2417       0.164534E-001            NaN            NaN  0.443597       0.298222                 NaN            NaN            NaN            NaN            NaN
  1449.83        2500.00                 NaN            NaN   99.2505       0.133432E-001            NaN            NaN  0.438047       0.298074                 NaN            NaN            NaN            NaN            NaN
  1448.36        2500.00                 NaN            NaN   99.2547       0.144831E-001            NaN            NaN  0.436249       0.294529                 NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00                 NaN            NaN   99.2600       0.139932E-001            NaN            NaN  0.433451       0.292552                 NaN            NaN            NaN            NaN            NaN
  1445.42        2500.00                 NaN            NaN   99.2649       0.135229E-001            NaN            NaN  0.290691       0.430849                 NaN            NaN            NaN            NaN            NaN
  1443.95        2500.00                 NaN            NaN   99.3233       0.210009                 NaN            NaN  0.466702                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN            NaN   99.2257                 NaN            NaN            NaN  0.395822       0.378470                 NaN            NaN            NaN            NaN            NaN
  1441.01        2500.00                 NaN            NaN   99.2804                 NaN            NaN            NaN  0.297734       0.421915                 NaN            NaN            NaN            NaN            NaN
  1439.54        2500.00                 NaN            NaN   99.2853                 NaN            NaN            NaN  0.295514       0.419206                 NaN            NaN            NaN            NaN            NaN
  1438.07        2500.00                 NaN            NaN   99.3662                 NaN  0.103686E-005            NaN  0.372869       0.260957                 NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00                 NaN            NaN   99.2186                 NaN            NaN            NaN  0.459245       0.322124                 NaN            NaN            NaN            NaN            NaN
  1435.13        2500.00                 NaN            NaN   98.2133                 NaN  0.423220E-001            NaN   1.07506       0.669315                 NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.19        2500.00                 NaN            NaN   99.7841                 NaN            NaN            NaN  0.125804       0.901079E-001            NaN            NaN            NaN            NaN            NaN
  1430.72        2500.00                 NaN            NaN   99.2489       0.449571E-001  0.308004E-004            NaN  0.446739       0.259343                 NaN            NaN            NaN            NaN            NaN
  1429.25        2500.00                 NaN            NaN   99.1254                 NaN  0.432516E-005            NaN  0.371063       0.407955       0.955655E-001            NaN            NaN            NaN            NaN
  1427.78        2500.00                 NaN            NaN   98.4154                 NaN            NaN            NaN  0.708215       0.423376       0.452998                 NaN            NaN            NaN            NaN
  1426.31        2500.00                 NaN            NaN   98.4275                 NaN  0.136587                 NaN  0.520559       0.444756       0.470613                 NaN            NaN            NaN            NaN
  1424.84        2500.00                 NaN            NaN   98.4449                 NaN  0.153048                 NaN  0.444670       0.489257       0.468166                 NaN            NaN            NaN            NaN
  1423.37        2500.00                 NaN            NaN   98.4831                 NaN  0.148607                 NaN  0.433495       0.479193       0.455632                 NaN            NaN            NaN            NaN
  1421.90        2500.00                 NaN            NaN   98.5019                 NaN  0.148715                 NaN  0.427154       0.471703       0.450573                 NaN            NaN            NaN            NaN
  1420.43        2500.00                 NaN            NaN   98.5284                 NaN  0.147511                 NaN  0.419329       0.461679       0.443105                 NaN            NaN            NaN            NaN
  1418.96        2500.00                 NaN            NaN   98.5518                 NaN  0.146262                 NaN  0.412687       0.453321       0.435891                 NaN            NaN            NaN            NaN
  1417.49        2500.00                 NaN            NaN   98.5765                 NaN  0.145360                 NaN  0.443188       0.406262       0.428698                 NaN            NaN            NaN            NaN
  1416.02        2500.00                 NaN            NaN   97.6278                 NaN  0.242903                 NaN  0.737236       0.677829       0.714251                 NaN            NaN            NaN            NaN
  1414.55        2500.00                 NaN            NaN   99.6380                 NaN  0.400788E-001            NaN  0.108966       0.103725       0.109235                 NaN            NaN            NaN            NaN
  1413.08        2500.00                 NaN            NaN   98.6047                 NaN  0.145922                 NaN  0.398849       0.430359       0.420206                 NaN            NaN            NaN            NaN
  1411.61        2500.00                 NaN            NaN   98.6632                 NaN  0.141179                 NaN  0.411162       0.381848       0.402609                 NaN            NaN            NaN            NaN
  1410.14        2500.00                 NaN            NaN   98.6821                 NaN  0.140358                 NaN  0.403563       0.376831       0.397172                 NaN            NaN            NaN            NaN
  1408.67        2500.00                 NaN            NaN   98.7024                 NaN  0.139119                 NaN  0.397087       0.370523       0.390844                 NaN            NaN            NaN            NaN
  1407.20        2500.00                 NaN            NaN   98.7234                 NaN  0.137999                 NaN  0.389055       0.365055       0.384493                 NaN            NaN            NaN            NaN
  1405.73        2500.00                 NaN            NaN   98.7401                 NaN  0.137268                 NaN  0.382513       0.360524       0.379569                 NaN            NaN            NaN            NaN
  1404.26        2500.00                 NaN            NaN   98.7605                 NaN  0.136232                 NaN  0.354562       0.375340       0.373394                 NaN            NaN            NaN            NaN
  1402.79        2500.00                 NaN            NaN   98.7775                 NaN  0.135277                 NaN  0.350007       0.368899       0.368286                 NaN            NaN            NaN            NaN
  1401.32        2500.00                 NaN            NaN   98.7954                 NaN  0.134342                 NaN  0.362649       0.344650       0.362916                 NaN            NaN            NaN            NaN
  1399.85        2500.00                 NaN            NaN   98.8076                 NaN  0.135420                 NaN  0.341070       0.356424       0.359472                 NaN            NaN            NaN            NaN
  1398.38        2500.00                 NaN            NaN   98.8330                 NaN  0.131144                 NaN  0.334037       0.350778       0.351065                 NaN            NaN            NaN            NaN
  1396.91        2500.00                 NaN            NaN   98.8456                 NaN  0.131465                 NaN  0.344829       0.330420       0.347655                 NaN            NaN            NaN            NaN
  1395.44        2500.00                 NaN            NaN   98.8612                 NaN  0.130868                 NaN  0.326280       0.338749       0.342921                 NaN            NaN            NaN            NaN
  1393.97        2500.00                 NaN            NaN   98.8768                 NaN  0.129838                 NaN  0.321746       0.333359       0.338213                 NaN            NaN            NaN            NaN
  1392.50        2500.00                 NaN            NaN   98.8927                 NaN  0.129083                 NaN  0.316823       0.327857       0.333510                 NaN            NaN            NaN            NaN
  1391.03        2500.00                 NaN            NaN   98.9067                 NaN  0.127943                 NaN  0.313183       0.323104       0.329024                 NaN            NaN            NaN            NaN
  1389.56        2500.00                 NaN            NaN   98.9222                 NaN  0.127252                 NaN  0.317095       0.309127       0.324370                 NaN            NaN            NaN            NaN
  1388.09        2500.00                 NaN            NaN   98.9354                 NaN  0.127318                 NaN  0.311634       0.305156       0.320512                 NaN            NaN            NaN            NaN
  1386.62        2500.00                 NaN            NaN   98.9374                 NaN  0.127308                 NaN  0.313282       0.301645       0.320321                 NaN            NaN            NaN            NaN
  1385.15        2500.00                 NaN            NaN   98.9743                 NaN  0.122513                 NaN  0.295574       0.299945       0.307630                 NaN            NaN            NaN            NaN
  1383.68        2500.00                 NaN            NaN   96.0530                 NaN  0.317358E-001  0.457712        1.08466        1.19799        1.17491                 NaN            NaN            NaN            NaN
  1382.21        2500.00                 NaN            NaN   99.9973                 NaN  0.267574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1380.74        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.27        2500.00                 NaN            NaN   99.9563                 NaN  0.400180E-002            NaN  0.110249E-001  0.163087E-001  0.123792E-001            NaN            NaN            NaN            NaN
  1377.80        2500.00                 NaN            NaN   99.0474                 NaN  0.110696                 NaN  0.285694       0.271248       0.284944                 NaN            NaN            NaN            NaN
  1376.33        2500.00                 NaN            NaN   99.0288                 NaN  0.112005                 NaN  0.298924       0.269909       0.290393                 NaN            NaN            NaN            NaN
  1374.86        2500.00                 NaN            NaN   99.0630                 NaN  0.126762                 NaN  0.277281       0.250503       0.282411                 NaN            NaN            NaN            NaN
  1373.39        2500.00                 NaN            NaN   99.0638                 NaN  0.117160                 NaN  0.268194       0.270102       0.280735                 NaN            NaN            NaN            NaN
  1371.92        2500.00                 NaN            NaN   99.0738                 NaN  0.117092                 NaN  0.265454       0.265842       0.277762                 NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN            NaN   99.0866                 NaN  0.116111                 NaN  0.261747       0.261758       0.273802                 NaN            NaN            NaN            NaN
  1368.98        2500.00                 NaN            NaN   99.0965                 NaN  0.116960                 NaN  0.257373       0.257703       0.271505                 NaN            NaN            NaN            NaN
  1367.51        2500.00                 NaN            NaN   99.0596                 NaN  0.118961                 NaN  0.269948       0.270421       0.281034                 NaN            NaN            NaN            NaN
  1366.04        2500.00                 NaN            NaN   99.1668                 NaN  0.106147                 NaN  0.239958       0.237863       0.249254                 NaN            NaN            NaN            NaN
  1364.57        2500.00                 NaN            NaN   99.1285                 NaN  0.112352                 NaN  0.249982       0.248507       0.260665                 NaN            NaN            NaN            NaN
  1363.10        2500.00                 NaN            NaN   99.1385                 NaN  0.111291                 NaN  0.246753       0.245905       0.257503                 NaN            NaN            NaN            NaN
  1361.63        2500.00                 NaN            NaN   99.1486                 NaN  0.110551                 NaN  0.242581       0.243805       0.254502                 NaN            NaN            NaN            NaN
  1360.16        2500.00                 NaN            NaN   99.1581                 NaN  0.109541                 NaN  0.239894       0.240963       0.251467                 NaN            NaN            NaN            NaN
  1358.69        2500.00                 NaN            NaN   99.1669                 NaN  0.109346                 NaN  0.236261       0.238745       0.248721                 NaN            NaN            NaN            NaN
  1357.22        2500.00                 NaN            NaN   99.1776                 NaN  0.107111                 NaN  0.235023       0.235016       0.245243                 NaN            NaN            NaN            NaN
  1355.75        2500.00                 NaN            NaN   99.1860                 NaN  0.106996                 NaN  0.231190       0.233105       0.242661                 NaN            NaN            NaN            NaN
  1354.28        2500.00                 NaN            NaN   99.1951                 NaN  0.105779                 NaN  0.229259       0.230070       0.239766                 NaN            NaN            NaN            NaN
  1352.81        2500.00                 NaN            NaN   99.2041                 NaN  0.104970                 NaN  0.226442       0.227572       0.236961                 NaN            NaN            NaN            NaN
  1351.34        2500.00                 NaN            NaN   99.2123                 NaN  0.104046                 NaN  0.224212       0.225087       0.234318                 NaN            NaN            NaN            NaN
  1349.87        2500.00                 NaN            NaN   99.2211                 NaN  0.103031                 NaN  0.221753       0.222565       0.231585                 NaN            NaN            NaN            NaN
  1348.40        2500.00                 NaN            NaN   99.2277                 NaN  0.103166                 NaN  0.220794       0.218534       0.229824                 NaN            NaN            NaN            NaN
  1346.93        2500.00                 NaN            NaN   99.2394                 NaN  0.995401E-001            NaN  0.216870       0.218876       0.225358                 NaN            NaN            NaN            NaN
  1345.46        2500.00                 NaN            NaN   99.2456                 NaN  0.100153                 NaN  0.215270       0.215195       0.223766                 NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN            NaN   99.2522                 NaN  0.999413E-001            NaN  0.213118       0.212869       0.221825                 NaN            NaN            NaN            NaN
  1342.52        2500.00                 NaN            NaN   99.2627                 NaN  0.972327E-001            NaN  0.209813       0.212175       0.218064                 NaN            NaN            NaN            NaN
  1341.05        2500.00                 NaN            NaN   99.2690                 NaN  0.971427E-001            NaN  0.208228       0.209367       0.216281                 NaN            NaN            NaN            NaN
  1339.58        2500.00                 NaN            NaN   99.2767                 NaN  0.963167E-001            NaN  0.205566       0.207508       0.213927                 NaN            NaN            NaN            NaN
  1338.11        2500.00                 NaN            NaN   99.2841                 NaN  0.948105E-001            NaN  0.203879       0.205935       0.211321                 NaN            NaN            NaN            NaN
  1336.64        2500.00                 NaN            NaN   99.2914                 NaN  0.938251E-001            NaN  0.204597       0.201070       0.209074                 NaN            NaN            NaN            NaN
  1335.17        2500.00                 NaN            NaN   99.2982                 NaN  0.930691E-001            NaN  0.202626       0.199171       0.206910                 NaN            NaN            NaN            NaN
  1333.70        2500.00                 NaN            NaN   99.3056                 NaN  0.918842E-001            NaN  0.196839       0.201183       0.204533                 NaN            NaN            NaN            NaN
  1332.23        2500.00                 NaN            NaN   99.3121                 NaN  0.908553E-001            NaN  0.199619       0.195069       0.202399                 NaN            NaN            NaN            NaN
  1330.76        2500.00                 NaN            NaN   99.5313                 NaN  0.664778E-001            NaN  0.134864       0.128432       0.138929                 NaN            NaN            NaN            NaN
  1329.29        2500.00                 NaN            NaN   99.1132                 NaN  0.111517                 NaN  0.268326       0.247520       0.259400                 NaN            NaN            NaN            NaN
  1327.82        2500.00                 NaN            NaN   99.3322                 NaN  0.874347E-001            NaN  0.188423       0.196027       0.195891                 NaN            NaN            NaN            NaN
  1326.35        2500.00                 NaN            NaN   99.3386                 NaN  0.863167E-001            NaN  0.185968       0.195143       0.193936                 NaN            NaN            NaN            NaN
  1324.88        2500.00                 NaN            NaN   99.3446                 NaN  0.848432E-001            NaN  0.184150       0.194570       0.191865                 NaN            NaN            NaN            NaN
  1323.41        2500.00                 NaN            NaN   99.3519                 NaN  0.846397E-001            NaN  0.191143       0.182825       0.189524                 NaN            NaN            NaN            NaN
  1321.94        2500.00                 NaN            NaN   99.3575                 NaN  0.825694E-001            NaN  0.192284       0.180037       0.187619                 NaN            NaN            NaN            NaN
  1320.47        2500.00                 NaN            NaN   99.3635                 NaN  0.820929E-001            NaN  0.190422       0.178108       0.185829                 NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN            NaN   99.3688                 NaN  0.800746E-001            NaN  0.176420       0.190812       0.183875                 NaN            NaN            NaN            NaN
  1317.53        2500.00                 NaN            NaN   99.3754                 NaN  0.793233E-001            NaN  0.174421       0.189085       0.181813                 NaN            NaN            NaN            NaN
  1316.06        2500.00                 NaN            NaN   99.3811                 NaN  0.783185E-001            NaN  0.172449       0.188150       0.180005                 NaN            NaN            NaN            NaN
  1314.59        2500.00                 NaN            NaN   89.7135                 NaN   1.22062                 NaN  0.304222        1.36475        1.33323        6.06371                 NaN            NaN            NaN
  1313.12        2500.00                 NaN            NaN   81.2331                 NaN   2.27154                 NaN   2.47149       0.276284        2.34168        11.4059                 NaN            NaN            NaN
  1311.65        2500.00                 NaN            NaN   83.7100                 NaN   2.04069                 NaN   2.22778       0.914982E-001   2.04310        9.88690                 NaN            NaN            NaN
  1310.18        2500.00                 NaN            NaN   85.6615                 NaN   1.83347                 NaN   2.01473                 NaN   1.80686        8.68345                 NaN            NaN            NaN
  1308.71        2500.00                 NaN            NaN   87.2374                 NaN   1.63349                 NaN   1.81328                 NaN   1.61498        7.70083                 NaN            NaN            NaN
  1307.24        2500.00                 NaN            NaN   88.5478                 NaN   1.46910                 NaN   1.64308                 NaN   1.45545        6.88457                 NaN            NaN            NaN
