|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1616.78        2500.00                 NaN   99.1723                 NaN  0.747380       0.803183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.17        2500.00                 NaN   99.1268                 NaN  0.786179       0.870639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.55        2500.00                 NaN   99.1337                 NaN  0.781701       0.846014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.94        2500.00                 NaN   99.1013                 NaN  0.813977       0.847044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.32        2500.00                 NaN   99.1903                 NaN  0.730446       0.792191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.71        2500.00                 NaN   99.1604                 NaN  0.761290       0.782983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.09        2500.00                 NaN   99.1724                 NaN  0.747960       0.796355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.48        2500.00                 NaN   99.0930                 NaN  0.821609       0.853535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.86        2500.00                 NaN   99.2701                 NaN  0.661018       0.688563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.25        2500.00                 NaN   99.1979                 NaN  0.725945       0.761607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1600.64        2500.00                 NaN   99.2038                 NaN  0.721258       0.749686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.02        2500.00                 NaN   99.2111                 NaN  0.715740       0.731546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.41        2500.00                 NaN   99.2206                 NaN  0.707017       0.723666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.79        2500.00                 NaN   99.2264                 NaN  0.702169       0.714793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.18        2500.00                 NaN   99.2359                 NaN  0.694319       0.697798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.56        2500.00                 NaN   99.1806                 NaN  0.745318       0.740772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.95        2500.00                 NaN   99.3085                 NaN  0.628869       0.626312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.33        2500.00                 NaN   99.2603                 NaN  0.674001       0.656845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.72        2500.00                 NaN   99.2604                 NaN  0.673612       0.660018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00                 NaN   99.2753                 NaN  0.660442       0.642990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.49        2500.00                 NaN   99.2765                 NaN  0.660643       0.628519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.87        2500.00                 NaN   99.2841                 NaN  0.654279       0.616102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.26        2500.00                 NaN   99.2883                 NaN  0.652398       0.592900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.65        2500.00                 NaN   99.2978                 NaN  0.642722       0.594936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.03        2500.00                 NaN   99.3029                 NaN  0.638217       0.589046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.42        2500.00                 NaN   99.6413                 NaN  0.358664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.80        2500.00                 NaN   98.9856                 NaN  0.900714       0.113718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.19        2500.00                 NaN   99.3224                 NaN  0.622472       0.551403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.57        2500.00                 NaN   99.3283                 NaN  0.617195       0.544587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.96        2500.00                 NaN   99.3336                 NaN  0.613299       0.531409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.34        2500.00                 NaN   99.3405                 NaN  0.606762       0.527669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.73        2500.00                 NaN   99.3460                 NaN  0.601882       0.521531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.11        2500.00                 NaN   99.3522                 NaN  0.596737       0.510192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.50        2500.00                 NaN   99.3561                 NaN  0.594934       0.489655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.88        2500.00                 NaN   99.3632                 NaN  0.586499       0.502674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.27        2500.00                 NaN   99.3667                 NaN  0.586596       0.467215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.66        2500.00                 NaN   99.3726                 NaN  0.580176       0.472585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.04        2500.00                 NaN   99.3771                 NaN  0.577249       0.456984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.43        2500.00                 NaN   99.3830                 NaN  0.572317       0.446970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.81        2500.00                 NaN   99.3864                 NaN  0.570327       0.432476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.20        2500.00                 NaN   99.3917                 NaN  0.565670       0.425936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.58        2500.00                 NaN   99.3973                 NaN  0.559028       0.436567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.97        2500.00                 NaN   99.4021                 NaN  0.556717       0.412141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.35        2500.00                 NaN   99.3434                 NaN  0.609965       0.465931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.74        2500.00                 NaN   99.4758                 NaN  0.490132       0.340590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.12        2500.00                 NaN   99.4142                 NaN  0.548375       0.374577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.51        2500.00                 NaN   99.4183                 NaN  0.544752       0.369161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.89        2500.00                 NaN   99.4220                 NaN  0.539965       0.379974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.28        2500.00                 NaN   99.4272                 NaN  0.539531       0.332214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.67        2500.00                 NaN   99.4308                 NaN  0.534832       0.343804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.05        2500.00                 NaN   99.2445                 NaN  0.705361       0.501011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.44        2500.00                 NaN   99.6319                 NaN  0.348074       0.199960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.82        2500.00                 NaN   99.4379                 NaN  0.512297       0.293978E-001            NaN  0.204378E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        2500.00                 NaN   99.3015                 NaN  0.149796E-001            NaN            NaN  0.683473                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.59        2500.00                 NaN   99.2783                 NaN  0.915364E-001            NaN            NaN  0.630204                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.98        2500.00                 NaN   99.2877                 NaN            NaN  0.493087E-003            NaN  0.711773                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.36        2500.00                 NaN   99.3209                 NaN  0.887861E-001            NaN            NaN  0.590328                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN   99.2451                 NaN            NaN            NaN            NaN  0.754903                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.13        2500.00                 NaN   99.2807                 NaN            NaN            NaN            NaN  0.719321                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.52        2500.00                 NaN   99.2779                 NaN            NaN            NaN            NaN  0.722143                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.90        2500.00                 NaN   99.2745                 NaN            NaN            NaN            NaN  0.725515                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.29        2500.00                 NaN   99.2704                 NaN            NaN            NaN            NaN  0.729579                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.68        2500.00                 NaN   99.2669                 NaN            NaN            NaN            NaN  0.733126                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.06        2500.00                 NaN   99.2590                 NaN            NaN            NaN            NaN  0.741039                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.45        2500.00                 NaN   99.2551                 NaN            NaN            NaN            NaN  0.744869                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.83        2500.00                 NaN   99.2455                 NaN            NaN            NaN            NaN  0.754453                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.22        2500.00                 NaN   99.1121                 NaN            NaN            NaN            NaN  0.213867       0.674081                 NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN   98.8046                 NaN            NaN            NaN            NaN  0.432008       0.763416                 NaN            NaN            NaN            NaN            NaN
  1506.99        2500.00                 NaN   98.8164                 NaN            NaN            NaN            NaN  0.757094       0.426525                 NaN            NaN            NaN            NaN            NaN
  1505.37        2500.00                 NaN   98.8311                 NaN            NaN            NaN            NaN  0.421504       0.747437                 NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00                 NaN   98.8318                 NaN            NaN            NaN  0.281723E-002  0.409122       0.756286                 NaN            NaN            NaN            NaN            NaN
  1502.14        2500.00                 NaN   98.8129                 NaN            NaN            NaN  0.107028E-001  0.384390       0.792027                 NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00                 NaN   98.8124                 NaN            NaN            NaN  0.149529E-001  0.368345       0.804291                 NaN            NaN            NaN            NaN            NaN
  1498.91        2500.00                 NaN   98.8261                 NaN            NaN            NaN  0.146612E-001  0.364661       0.794627                 NaN            NaN            NaN            NaN            NaN
  1497.30        2500.00                 NaN   98.8402                 NaN            NaN            NaN  0.143416E-001  0.784687       0.360770                 NaN            NaN            NaN            NaN            NaN
  1495.69        2500.00                 NaN   98.8538                 NaN            NaN            NaN  0.141090E-001  0.774451       0.357633                 NaN            NaN            NaN            NaN            NaN
  1494.07        2500.00                 NaN   98.8670                 NaN            NaN            NaN  0.138350E-001  0.354635       0.764555                 NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00                 NaN   98.8798                 NaN            NaN            NaN  0.136022E-001  0.351259       0.755344                 NaN            NaN            NaN            NaN            NaN
  1490.84        2500.00                 NaN   98.8929                 NaN            NaN            NaN  0.133372E-001  0.745407       0.348337                 NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00                 NaN   98.9059                 NaN            NaN            NaN  0.130796E-001  0.344228       0.736840                 NaN            NaN            NaN            NaN            NaN
  1487.61        2500.00                 NaN   98.9118                 NaN            NaN            NaN  0.128900E-001  0.732485       0.342811                 NaN            NaN            NaN            NaN            NaN
  1486.00        2500.00                 NaN   98.8942                 NaN            NaN            NaN  0.129733E-001  0.348328       0.744486                 NaN            NaN            NaN            NaN            NaN
  1484.38        2500.00                 NaN   98.9790                 NaN            NaN            NaN  0.117022E-001  0.682870       0.326405                 NaN            NaN            NaN            NaN            NaN
  1482.77        2500.00                 NaN   98.9549                 NaN            NaN            NaN  0.120625E-001  0.702525       0.330515                 NaN            NaN            NaN            NaN            NaN
  1481.15        2500.00                 NaN   98.9643                 NaN            NaN            NaN  0.119043E-001  0.696061       0.327754                 NaN            NaN            NaN            NaN            NaN
  1479.54        2500.00                 NaN   98.9745                 NaN            NaN            NaN  0.116955E-001  0.688873       0.324935                 NaN            NaN            NaN            NaN            NaN
  1477.93        2500.00                 NaN   98.9859                 NaN            NaN            NaN  0.114862E-001  0.321155       0.681447                 NaN            NaN            NaN            NaN            NaN
  1476.31        2500.00                 NaN   98.9970                 NaN            NaN            NaN  0.112125E-001  0.317806       0.674026                 NaN            NaN            NaN            NaN            NaN
  1474.70        2500.00                 NaN   99.0064                 NaN            NaN            NaN  0.109850E-001  0.667874       0.314759                 NaN            NaN            NaN            NaN            NaN
  1473.08        2500.00                 NaN   99.0146                 NaN            NaN            NaN  0.108487E-001  0.312092       0.662472                 NaN            NaN            NaN            NaN            NaN
  1471.47        2500.00                 NaN   99.0289                 NaN            NaN            NaN  0.105315E-001  0.652590       0.307972                 NaN            NaN            NaN            NaN            NaN
  1469.85        2500.00                 NaN   99.0351                 NaN            NaN            NaN  0.103948E-001  0.305902       0.648638                 NaN            NaN            NaN            NaN            NaN
  1468.24        2500.00                 NaN   99.0643                 NaN            NaN            NaN  0.996072E-002  0.296292       0.629490                 NaN            NaN            NaN            NaN            NaN
  1466.62        2500.00                 NaN   96.2093                 NaN            NaN            NaN  0.685668E-001   1.25490        1.22284        1.24441                 NaN            NaN            NaN            NaN
  1465.01        2500.00                 NaN   95.5508                 NaN            NaN            NaN  0.823155E-001   1.32324        1.47741        1.56628                 NaN            NaN            NaN            NaN
  1463.39        2500.00                 NaN   95.7875                 NaN            NaN            NaN  0.773952E-001   1.39759        1.25344        1.48403                 NaN            NaN            NaN            NaN
  1461.78        2500.00                 NaN   96.0048                 NaN            NaN            NaN  0.730100E-001   1.18745        1.32640        1.40832                 NaN            NaN            NaN            NaN
  1460.16        2500.00                 NaN   96.2009                 NaN            NaN            NaN  0.689431E-001   1.12811        1.26184        1.34024                 NaN            NaN            NaN            NaN
  1458.55        2500.00                 NaN   96.3810                 NaN            NaN            NaN  0.653444E-001   1.07445        1.20169        1.27752                 NaN            NaN            NaN            NaN
  1456.94        2500.00                 NaN   96.5466                 NaN            NaN            NaN  0.619088E-001   1.02430        1.14741        1.21974                 NaN            NaN            NaN            NaN
  1455.32        2500.00                 NaN   96.6983                 NaN            NaN            NaN  0.588030E-001  0.978535        1.09749        1.16690                 NaN            NaN            NaN            NaN
  1453.71        2500.00                 NaN   96.8368                 NaN            NaN            NaN  0.560462E-001  0.937318        1.05122        1.11866                 NaN            NaN            NaN            NaN
  1452.09        2500.00                 NaN   96.9706                 NaN            NaN            NaN  0.532554E-001   1.00790       0.896656        1.07159                 NaN            NaN            NaN            NaN
  1450.48        2500.00                 NaN   97.0900                 NaN            NaN            NaN  0.508552E-001  0.968153       0.861246        1.02975                 NaN            NaN            NaN            NaN
  1448.86        2500.00                 NaN   97.2023                 NaN            NaN            NaN  0.486154E-001  0.826283       0.932416       0.990383                 NaN            NaN            NaN            NaN
  1447.25        2500.00                 NaN   97.3086                 NaN            NaN            NaN  0.464107E-001  0.794777       0.896963       0.953294                 NaN            NaN            NaN            NaN
  1445.63        2500.00                 NaN   97.4061                 NaN            NaN            NaN  0.443708E-001  0.865522       0.765011       0.919022                 NaN            NaN            NaN            NaN
  1444.02        2500.00                 NaN   97.4985                 NaN            NaN            NaN  0.424764E-001  0.736952       0.835493       0.886626                 NaN            NaN            NaN            NaN
  1442.40        2500.00                 NaN   97.5851                 NaN            NaN            NaN  0.407942E-001  0.806869       0.711040       0.856155                 NaN            NaN            NaN            NaN
  1440.79        2500.00                 NaN   97.6663                 NaN            NaN            NaN  0.390423E-001  0.780805       0.686190       0.827630                 NaN            NaN            NaN            NaN
  1439.17        2500.00                 NaN   97.7437                 NaN            NaN            NaN  0.375303E-001  0.662717       0.755757       0.800281                 NaN            NaN            NaN            NaN
  1437.56        2500.00                 NaN   97.8150                 NaN            NaN            NaN  0.361380E-001  0.641294       0.732256       0.775351                 NaN            NaN            NaN            NaN
  1435.95        2500.00                 NaN   97.8857                 NaN            NaN            NaN  0.345769E-001  0.710138       0.619295       0.750269                 NaN            NaN            NaN            NaN
  1434.33        2500.00                 NaN   97.9499                 NaN            NaN            NaN  0.333035E-001  0.599515       0.689647       0.727617                 NaN            NaN            NaN            NaN
  1432.72        2500.00                 NaN   98.0118                 NaN            NaN            NaN  0.320102E-001  0.669762       0.580777       0.705651                 NaN            NaN            NaN            NaN
  1431.10        2500.00                 NaN   98.0698                 NaN            NaN            NaN  0.308347E-001  0.563019       0.651180       0.685138                 NaN            NaN            NaN            NaN
  1429.49        2500.00                 NaN   98.1260                 NaN            NaN            NaN  0.297010E-001  0.546144       0.633013       0.665121                 NaN            NaN            NaN            NaN
  1427.87        2500.00                 NaN   98.1783                 NaN            NaN            NaN  0.286271E-001  0.616537       0.529850       0.646673                 NaN            NaN            NaN            NaN
  1426.26        2500.00                 NaN   98.2290                 NaN            NaN            NaN  0.275945E-001  0.600479       0.514380       0.628584                 NaN            NaN            NaN            NaN
  1424.64        2500.00                 NaN   98.2780                 NaN            NaN            NaN  0.266459E-001  0.584652       0.499527       0.611126                 NaN            NaN            NaN            NaN
  1423.03        2500.00                 NaN   98.3232                 NaN            NaN            NaN  0.256701E-001  0.570545       0.485464       0.595100                 NaN            NaN            NaN            NaN
  1421.41        2500.00                 NaN   98.3661                 NaN            NaN            NaN  0.248461E-001  0.556610       0.472640       0.579840                 NaN            NaN            NaN            NaN
  1419.80        2500.00                 NaN   98.4095                 NaN            NaN            NaN  0.238023E-001  0.458641       0.543923       0.564136                 NaN            NaN            NaN            NaN
  1418.18        2500.00                 NaN   98.4499                 NaN            NaN            NaN  0.230245E-001  0.446431       0.530760       0.549898                 NaN            NaN            NaN            NaN
  1416.57        2500.00                 NaN   98.4869                 NaN            NaN            NaN  0.223070E-001  0.435345       0.518855       0.536616                 NaN            NaN            NaN            NaN
  1414.96        2500.00                 NaN   98.5256                 NaN            NaN            NaN  0.215157E-001  0.423192       0.506823       0.522843                 NaN            NaN            NaN            NaN
  1413.34        2500.00                 NaN   98.5601                 NaN            NaN            NaN  0.208325E-001  0.495873       0.412808       0.510431                 NaN            NaN            NaN            NaN
  1411.73        2500.00                 NaN   98.5950                 NaN            NaN            NaN  0.200511E-001  0.401309       0.485618       0.498015                 NaN            NaN            NaN            NaN
  1410.11        2500.00                 NaN   98.6270                 NaN            NaN            NaN  0.193677E-001  0.475728       0.391344       0.486518                 NaN            NaN            NaN            NaN
  1408.50        2500.00                 NaN   98.6587                 NaN            NaN            NaN  0.187030E-001  0.465939       0.381489       0.475121                 NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN   98.6891                 NaN            NaN            NaN  0.180781E-001  0.371834       0.456775       0.464189                 NaN            NaN            NaN            NaN
  1405.27        2500.00                 NaN   98.7179                 NaN            NaN            NaN  0.174914E-001  0.447869       0.362897       0.453858                 NaN            NaN            NaN            NaN
  1403.65        2500.00                 NaN   98.7465                 NaN            NaN            NaN  0.168706E-001  0.353729       0.439373       0.443503                 NaN            NaN            NaN            NaN
  1402.04        2500.00                 NaN   98.7735                 NaN            NaN            NaN  0.163180E-001  0.430754       0.345700       0.433756                 NaN            NaN            NaN            NaN
  1400.42        2500.00                 NaN   98.7992                 NaN            NaN            NaN  0.157511E-001  0.337662       0.422900       0.424491                 NaN            NaN            NaN            NaN
  1398.81        2500.00                 NaN   98.8249                 NaN            NaN            NaN  0.152164E-001  0.415312       0.329335       0.415201                 NaN            NaN            NaN            NaN
  1397.19        2500.00                 NaN   98.8487                 NaN            NaN            NaN  0.146453E-001  0.321674       0.408440       0.406538                 NaN            NaN            NaN            NaN
  1395.58        2500.00                 NaN   98.8729                 NaN            NaN            NaN  0.141986E-001  0.314128       0.400921       0.397809                 NaN            NaN            NaN            NaN
  1393.97        2500.00                 NaN   98.8952                 NaN            NaN            NaN  0.137152E-001  0.394270       0.307016       0.389765                 NaN            NaN            NaN            NaN
  1392.35        2500.00                 NaN   98.9175                 NaN            NaN            NaN  0.132354E-001  0.387791       0.299733       0.381704                 NaN            NaN            NaN            NaN
  1390.74        2500.00                 NaN   98.9389                 NaN            NaN            NaN  0.127790E-001  0.381205       0.293228       0.373902                 NaN            NaN            NaN            NaN
  1389.12        2500.00                 NaN   98.9590                 NaN            NaN            NaN  0.123327E-001  0.286714       0.375332       0.366582                 NaN            NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9794                 NaN            NaN            NaN  0.118917E-001  0.280201       0.369335       0.359140                 NaN            NaN            NaN            NaN
  1385.89        2500.00                 NaN   98.9984                 NaN            NaN            NaN  0.114662E-001  0.364041       0.273924       0.352178                 NaN            NaN            NaN            NaN
  1384.28        2500.00                 NaN   99.0174                 NaN            NaN            NaN  0.110955E-001  0.267897       0.358175       0.345394                 NaN            NaN            NaN            NaN
  1382.66        2500.00                 NaN   99.0356                 NaN            NaN            NaN  0.106203E-001  0.261892       0.353234       0.338629                 NaN            NaN            NaN            NaN
  1381.05        2500.00                 NaN   99.0525                 NaN            NaN            NaN  0.102868E-001  0.347800       0.256960       0.332456                 NaN            NaN            NaN            NaN
  1379.43        2500.00                 NaN   99.0707                 NaN            NaN            NaN  0.988356E-002  0.250552       0.343050       0.325829                 NaN            NaN            NaN            NaN
  1377.82        2500.00                 NaN   99.0861                 NaN            NaN            NaN  0.956759E-002  0.245860       0.338197       0.320264                 NaN            NaN            NaN            NaN
  1376.20        2500.00                 NaN   99.1034                 NaN            NaN            NaN  0.913691E-002  0.239982       0.333681       0.313834                 NaN            NaN            NaN            NaN
  1374.59        2500.00                 NaN   99.1183                 NaN            NaN            NaN  0.882440E-002  0.329384       0.235033       0.308429                 NaN            NaN            NaN            NaN
  1372.98        2500.00                 NaN   99.1335                 NaN            NaN            NaN  0.848373E-002  0.230038       0.325074       0.302925                 NaN            NaN            NaN            NaN
  1371.36        2500.00                 NaN   99.1486                 NaN            NaN            NaN  0.812397E-002  0.225272       0.320779       0.297205                 NaN            NaN            NaN            NaN
  1369.75        2500.00                 NaN   99.1621                 NaN            NaN            NaN  0.781198E-002  0.220872       0.316904       0.292351                 NaN            NaN            NaN            NaN
  1368.13        2500.00                 NaN   99.1767                 NaN            NaN            NaN  0.747808E-002  0.312947       0.215995       0.286900                 NaN            NaN            NaN            NaN
  1366.52        2500.00                 NaN   99.1903                 NaN            NaN            NaN  0.715021E-002  0.211073       0.309567       0.281905                 NaN            NaN            NaN            NaN
  1364.90        2500.00                 NaN   99.2021                 NaN            NaN            NaN  0.687049E-002  0.207134       0.306271       0.277614                 NaN            NaN            NaN            NaN
  1363.29        2500.00                 NaN   99.2172                 NaN            NaN            NaN  0.655614E-002  0.301694       0.202591       0.271952                 NaN            NaN            NaN            NaN
  1361.67        2500.00                 NaN   99.2284                 NaN            NaN            NaN  0.624766E-002  0.198468       0.299004       0.267884                 NaN            NaN            NaN            NaN
  1360.06        2500.00                 NaN   99.2407                 NaN            NaN            NaN  0.596968E-002  0.194411       0.295603       0.263324                 NaN            NaN            NaN            NaN
  1358.44        2500.00                 NaN   99.2523                 NaN            NaN            NaN  0.568281E-002  0.292627       0.190323       0.259019                 NaN            NaN            NaN            NaN
  1356.83        2500.00                 NaN   99.2639                 NaN            NaN            NaN  0.540658E-002  0.186506       0.289467       0.254704                 NaN            NaN            NaN            NaN
  1355.21        2500.00                 NaN   99.2750                 NaN            NaN            NaN  0.512264E-002  0.182591       0.286697       0.250584                 NaN            NaN            NaN            NaN
  1353.60        2500.00                 NaN   99.2859                 NaN            NaN            NaN  0.485257E-002  0.178812       0.283866       0.246557                 NaN            NaN            NaN            NaN
  1351.99        2500.00                 NaN   99.2965                 NaN            NaN            NaN  0.458633E-002  0.175178       0.281143       0.242606                 NaN            NaN            NaN            NaN
  1350.37        2500.00                 NaN   99.3068                 NaN            NaN            NaN  0.432581E-002  0.171462       0.278584       0.238791                 NaN            NaN            NaN            NaN
  1348.76        2500.00                 NaN   99.3167                 NaN            NaN            NaN  0.408604E-002  0.168095       0.275992       0.235119                 NaN            NaN            NaN            NaN
  1347.14        2500.00                 NaN   99.3268                 NaN            NaN            NaN  0.384214E-002  0.164591       0.273427       0.231351                 NaN            NaN            NaN            NaN
  1345.53        2500.00                 NaN   99.3366                 NaN            NaN            NaN  0.359132E-002  0.161155       0.270972       0.227713                 NaN            NaN            NaN            NaN
  1343.91        2500.00                 NaN   99.3457                 NaN            NaN            NaN  0.332167E-002  0.269029       0.157672       0.224318                 NaN            NaN            NaN            NaN
  1342.30        2500.00                 NaN   99.3541                 NaN            NaN            NaN  0.311434E-002  0.154614       0.266973       0.221197                 NaN            NaN            NaN            NaN
