|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           O(HP)          an             San(TH)        ilm            Sp(TH)         q             
  1446.46        2500.00        97.9382                 NaN  0.685030       0.624068                 NaN            NaN  0.358293E-001            NaN  0.716844                 NaN            NaN            NaN            NaN
  1445.20        2500.00        97.9969                 NaN  0.665570       0.606333                 NaN            NaN  0.346469E-001            NaN  0.696562                 NaN            NaN            NaN            NaN
  1443.93        2500.00        98.0516                 NaN  0.647482       0.589766                 NaN            NaN  0.335408E-001            NaN  0.677628                 NaN            NaN            NaN            NaN
  1442.67        2500.00        98.1033                 NaN  0.573626       0.630755                 NaN            NaN  0.324644E-001            NaN  0.659900                 NaN            NaN            NaN            NaN
  1441.41        2500.00        98.1527                 NaN  0.614361       0.558706                 NaN            NaN  0.314351E-001            NaN  0.642826                 NaN            NaN            NaN            NaN
  1440.15        2500.00        98.2005                 NaN  0.598759       0.544113                 NaN            NaN  0.304908E-001            NaN  0.626179                 NaN            NaN            NaN            NaN
  1438.89        2500.00        98.2466                 NaN  0.529745       0.583945                 NaN            NaN  0.295281E-001            NaN  0.610197                 NaN            NaN            NaN            NaN
  1437.63        2500.00        98.2896                 NaN  0.516542       0.569951                 NaN            NaN  0.286540E-001            NaN  0.595234                 NaN            NaN            NaN            NaN
  1436.37        2500.00        98.3318                 NaN  0.503333       0.556504                 NaN            NaN  0.277896E-001            NaN  0.580596                 NaN            NaN            NaN            NaN
  1435.11        2500.00        98.3714                 NaN  0.543516       0.491278                 NaN            NaN  0.269789E-001            NaN  0.566876                 NaN            NaN            NaN            NaN
  1433.85        2500.00        98.4098                 NaN  0.531256       0.479171                 NaN            NaN  0.261545E-001            NaN  0.553599                 NaN            NaN            NaN            NaN
  1432.58        2500.00        98.4456                 NaN  0.467928       0.519546                 NaN            NaN  0.254237E-001            NaN  0.541471                 NaN            NaN            NaN            NaN
  1431.32        2500.00        98.4831                 NaN  0.456612       0.507551                 NaN            NaN  0.246314E-001            NaN  0.528091                 NaN            NaN            NaN            NaN
  1430.06        2500.00        98.5164                 NaN  0.446074       0.496900                 NaN            NaN  0.240218E-001            NaN  0.516586                 NaN            NaN            NaN            NaN
  1428.80        2500.00        98.5470                 NaN  0.436873       0.486742                 NaN            NaN  0.233752E-001            NaN  0.505989                 NaN            NaN            NaN            NaN
  1427.54        2500.00        98.5813                 NaN  0.425966       0.476216                 NaN            NaN  0.226261E-001            NaN  0.493864                 NaN            NaN            NaN            NaN
  1426.28        2500.00        98.6109                 NaN  0.466413       0.417082                 NaN            NaN  0.220633E-001            NaN  0.483590                 NaN            NaN            NaN            NaN
  1425.02        2500.00        98.6397                 NaN  0.457498       0.407884                 NaN            NaN  0.214290E-001            NaN  0.473488                 NaN            NaN            NaN            NaN
  1423.76        2500.00        98.6678                 NaN  0.398972       0.448728                 NaN            NaN  0.208274E-001            NaN  0.463652                 NaN            NaN            NaN            NaN
  1422.49        2500.00        98.6951                 NaN  0.390491       0.439974                 NaN            NaN  0.202791E-001            NaN  0.454114                 NaN            NaN            NaN            NaN
  1421.23        2500.00        98.7205                 NaN  0.382157       0.432394                 NaN            NaN  0.197426E-001            NaN  0.445232                 NaN            NaN            NaN            NaN
  1419.97        2500.00        98.7475                 NaN  0.374018       0.423521                 NaN            NaN  0.191883E-001            NaN  0.435731                 NaN            NaN            NaN            NaN
  1418.71        2500.00        98.7711                 NaN  0.416177       0.366517                 NaN            NaN  0.186891E-001            NaN  0.427478                 NaN            NaN            NaN            NaN
  1417.45        2500.00        98.7951                 NaN  0.358808       0.408803                 NaN            NaN  0.181743E-001            NaN  0.419137                 NaN            NaN            NaN            NaN
  1416.19        2500.00        98.8173                 NaN  0.401641       0.352044                 NaN            NaN  0.177254E-001            NaN  0.411289                 NaN            NaN            NaN            NaN
  1414.93        2500.00        98.8408                 NaN  0.344634       0.394302                 NaN            NaN  0.172311E-001            NaN  0.403009                 NaN            NaN            NaN            NaN
  1413.67        2500.00        98.8615                 NaN  0.387634       0.338184                 NaN            NaN  0.168144E-001            NaN  0.395823                 NaN            NaN            NaN            NaN
  1412.41        2500.00        98.8828                 NaN  0.331148       0.381440                 NaN            NaN  0.163351E-001            NaN  0.388235                 NaN            NaN            NaN            NaN
  1411.14        2500.00        98.9029                 NaN  0.324822       0.375169                 NaN            NaN  0.159318E-001            NaN  0.381222                 NaN            NaN            NaN            NaN
  1409.88        2500.00        98.9223                 NaN  0.318538       0.369248                 NaN            NaN  0.154936E-001            NaN  0.374423                 NaN            NaN            NaN            NaN
  1408.62        2500.00        98.9416                 NaN  0.312685       0.362989                 NaN            NaN  0.151172E-001            NaN  0.367611                 NaN            NaN            NaN            NaN
  1407.36        2500.00        98.9592                 NaN  0.357845       0.306894                 NaN            NaN  0.146953E-001            NaN  0.361388                 NaN            NaN            NaN            NaN
  1406.10        2500.00        98.9782                 NaN  0.352189       0.300777                 NaN            NaN  0.142817E-001            NaN  0.354544                 NaN            NaN            NaN            NaN
  1404.84        2500.00        98.9954                 NaN  0.295353       0.346719                 NaN            NaN  0.139529E-001            NaN  0.348564                 NaN            NaN            NaN            NaN
  1403.58        2500.00        99.0123                 NaN  0.289805       0.341773                 NaN            NaN  0.135895E-001            NaN  0.342568                 NaN            NaN            NaN            NaN
  1402.32        2500.00        99.0257                 NaN  0.337756       0.285190                 NaN            NaN  0.133208E-001            NaN  0.338003                 NaN            NaN            NaN            NaN
  1401.05        2500.00        99.0478                 NaN  0.278228       0.331212                 NaN            NaN  0.128072E-001            NaN  0.329937                 NaN            NaN            NaN            NaN
  1399.79        2500.00        99.0605                 NaN  0.274236       0.327225                 NaN            NaN  0.125679E-001            NaN  0.325501                 NaN            NaN            NaN            NaN
  1398.53        2500.00        99.0757                 NaN  0.322721       0.269207                 NaN            NaN  0.122283E-001            NaN  0.320098                 NaN            NaN            NaN            NaN
  1397.27        2500.00        99.0901                 NaN  0.318370       0.264587                 NaN            NaN  0.119192E-001            NaN  0.315011                 NaN            NaN            NaN            NaN
  1396.01        2500.00        99.1036                 NaN  0.260527       0.314009                 NaN            NaN  0.116370E-001            NaN  0.310240                 NaN            NaN            NaN            NaN
  1394.75        2500.00        99.1193                 NaN  0.309841       0.254978                 NaN            NaN  0.112726E-001            NaN  0.304604                 NaN            NaN            NaN            NaN
  1393.49        2500.00        99.1321                 NaN  0.250796       0.305992                 NaN            NaN  0.110034E-001            NaN  0.300151                 NaN            NaN            NaN            NaN
  1392.23        2500.00        99.1413                 NaN  0.303326       0.247725                 NaN            NaN  0.107412E-001            NaN  0.296942                 NaN            NaN            NaN            NaN
  1390.97        2500.00        99.1619                 NaN  0.297181       0.241214                 NaN            NaN  0.103756E-001            NaN  0.289301                 NaN            NaN            NaN            NaN
  1389.70        2500.00        99.1710                 NaN  0.237847       0.294728                 NaN            NaN  0.101465E-001            NaN  0.286231                 NaN            NaN            NaN            NaN
  1388.44        2500.00        99.1831                 NaN  0.234131       0.290945                 NaN            NaN  0.989158E-002            NaN  0.281945                 NaN            NaN            NaN            NaN
  1387.18        2500.00        99.1945                 NaN  0.230218       0.287666                 NaN            NaN  0.962169E-002            NaN  0.278006                 NaN            NaN            NaN            NaN
  1385.92        2500.00        99.2074                 NaN  0.284149       0.225917                 NaN            NaN  0.933786E-002            NaN  0.273238                 NaN            NaN            NaN            NaN
  1384.66        2500.00        99.2169                 NaN  0.222754       0.281381                 NaN            NaN  0.912418E-002            NaN  0.269857                 NaN            NaN            NaN            NaN
  1383.40        2500.00        99.2301                 NaN  0.277698       0.218308                 NaN            NaN  0.881300E-002            NaN  0.265109                 NaN            NaN            NaN            NaN
  1382.14        2500.00        99.2397                 NaN  0.274577       0.215362                 NaN            NaN  0.864811E-002            NaN  0.261755                 NaN            NaN            NaN            NaN
  1380.88        2500.00        99.2505                 NaN  0.211534       0.271688                 NaN            NaN  0.838722E-002            NaN  0.257929                 NaN            NaN            NaN            NaN
  1379.61        2500.00        99.2615                 NaN  0.207780       0.268681                 NaN            NaN  0.811425E-002            NaN  0.253911                 NaN            NaN            NaN            NaN
  1378.35        2500.00        99.2706                 NaN  0.265712       0.205074                 NaN            NaN  0.794042E-002            NaN  0.250666                 NaN            NaN            NaN            NaN
  1377.09        2500.00        99.2813                 NaN  0.263251       0.201037                 NaN            NaN  0.764211E-002            NaN  0.246783                 NaN            NaN            NaN            NaN
  1375.83        2500.00        99.2905                 NaN  0.198054       0.260525                 NaN            NaN  0.744126E-002            NaN  0.243518                 NaN            NaN            NaN            NaN
  1374.57        2500.00        99.2997                 NaN  0.194773       0.258092                 NaN            NaN  0.721324E-002            NaN  0.240187                 NaN            NaN            NaN            NaN
  1373.31        2500.00        99.3091                 NaN  0.255363       0.191676                 NaN            NaN  0.701748E-002            NaN  0.236833                 NaN            NaN            NaN            NaN
  1372.05        2500.00        99.3181                 NaN  0.188587       0.252922                 NaN            NaN  0.680825E-002            NaN  0.233601                 NaN            NaN            NaN            NaN
  1370.79        2500.00        99.3245                 NaN  0.250541       0.186596                 NaN            NaN  0.669003E-002            NaN  0.231627                 NaN            NaN            NaN            NaN
  1369.53        2500.00        99.3378                 NaN  0.247647       0.181841                 NaN            NaN  0.635203E-002            NaN  0.226380                 NaN            NaN            NaN            NaN
  1368.26        2500.00        99.3435                 NaN  0.179586       0.246309                 NaN            NaN  0.617031E-002            NaN  0.224433                 NaN            NaN            NaN            NaN
  1367.00        2500.00        99.3515                 NaN  0.243905       0.176963                 NaN            NaN  0.600868E-002            NaN  0.221602                 NaN            NaN            NaN            NaN
  1365.74        2500.00        99.3604                 NaN  0.173978       0.241573                 NaN            NaN  0.580353E-002            NaN  0.218256                 NaN            NaN            NaN            NaN
  1364.48        2500.00        99.3679                 NaN  0.171041       0.239836                 NaN            NaN  0.557217E-002            NaN  0.215611                 NaN            NaN            NaN            NaN
  1363.22        2500.00        99.3754                 NaN  0.237889       0.168395                 NaN            NaN  0.540879E-002            NaN  0.212875                 NaN            NaN            NaN            NaN
  1361.96        2500.00        99.3831                 NaN  0.235860       0.165674                 NaN            NaN  0.521594E-002            NaN  0.210165                 NaN            NaN            NaN            NaN
  1360.70        2500.00        99.3901                 NaN  0.234056       0.163193                 NaN            NaN  0.505117E-002            NaN  0.207607                 NaN            NaN            NaN            NaN
  1359.44        2500.00        99.3978                 NaN  0.232093       0.160431                 NaN            NaN  0.485181E-002            NaN  0.204832                 NaN            NaN            NaN            NaN
  1358.17        2500.00        99.4043                 NaN  0.157995       0.230569                 NaN            NaN  0.467379E-002            NaN  0.202501                 NaN            NaN            NaN            NaN
  1356.91        2500.00        99.4117                 NaN  0.228460       0.155475                 NaN            NaN  0.452860E-002            NaN  0.199852                 NaN            NaN            NaN            NaN
  1355.65        2500.00        99.4184                 NaN  0.227131       0.152780                 NaN            NaN  0.431150E-002            NaN  0.197364                 NaN            NaN            NaN            NaN
  1354.39        2500.00        99.4247                 NaN  0.225604       0.150444                 NaN            NaN  0.414944E-002            NaN  0.195095                 NaN            NaN            NaN            NaN
  1353.13        2500.00        99.4314                 NaN  0.223922       0.148023                 NaN            NaN  0.398440E-002            NaN  0.192675                 NaN            NaN            NaN            NaN
  1351.87        2500.00        99.4377                 NaN  0.145816       0.222243                 NaN            NaN  0.383301E-002            NaN  0.190411                 NaN            NaN            NaN            NaN
  1350.61        2500.00        99.4438                 NaN  0.143327       0.221052                 NaN            NaN  0.364692E-002            NaN  0.188168                 NaN            NaN            NaN            NaN
  1349.35        2500.00        99.4497                 NaN  0.140928       0.219851                 NaN            NaN  0.347278E-002            NaN  0.186024                 NaN            NaN            NaN            NaN
  1348.09        2500.00        99.4558                 NaN  0.218252       0.138799                 NaN            NaN  0.333212E-002            NaN  0.183767                 NaN            NaN            NaN            NaN
  1346.82        2500.00        99.4616                 NaN  0.216923       0.136623                 NaN            NaN  0.316788E-002            NaN  0.181710                 NaN            NaN            NaN            NaN
  1345.56        2500.00        99.4674                 NaN  0.134243       0.215786                 NaN            NaN  0.300258E-002            NaN  0.179607                 NaN            NaN            NaN            NaN
  1344.30        2500.00        99.4728                 NaN  0.132210       0.214363                 NaN            NaN  0.291019E-002            NaN  0.177736                 NaN            NaN            NaN            NaN
  1343.04        2500.00        99.4788                 NaN  0.213207       0.129887                 NaN            NaN  0.269549E-002            NaN  0.175422                 NaN            NaN            NaN            NaN
  1341.78        2500.00        99.4837                 NaN  0.127927       0.212122                 NaN            NaN  0.255712E-002            NaN  0.173693                 NaN            NaN            NaN            NaN
  1340.52        2500.00        99.4887                 NaN  0.125771       0.211323                 NaN            NaN  0.238746E-002            NaN  0.171841                 NaN            NaN            NaN            NaN
  1339.26        2500.00        99.4943                 NaN  0.123663       0.210011                 NaN            NaN  0.224439E-002            NaN  0.169801                 NaN            NaN            NaN            NaN
  1338.00        2500.00        99.4992                 NaN  0.121418       0.209245                 NaN            NaN  0.209782E-002            NaN  0.168051                 NaN            NaN            NaN            NaN
  1336.73        2500.00        99.5040                 NaN  0.119767       0.207965                 NaN            NaN  0.197230E-002            NaN  0.166296                 NaN            NaN            NaN            NaN
  1335.47        2500.00        99.5090                 NaN  0.207254       0.117482                 NaN            NaN  0.181697E-002            NaN  0.164480                 NaN            NaN            NaN            NaN
  1334.21        2500.00        99.5123                 NaN  0.206702       0.115992                 NaN            NaN  0.165275E-002            NaN  0.163307                 NaN            NaN            NaN            NaN
  1332.95        2500.00        99.5192                 NaN  0.113397       0.205182                 NaN            NaN  0.151787E-002            NaN  0.160687                 NaN            NaN            NaN            NaN
  1331.69        2500.00        99.5231                 NaN  0.111420       0.204769                 NaN            NaN  0.138330E-002            NaN  0.159338                 NaN            NaN            NaN            NaN
  1330.43        2500.00        99.5273                 NaN  0.203902       0.109719                 NaN            NaN  0.125792E-002            NaN  0.157847                 NaN            NaN            NaN            NaN
  1329.17        2500.00        99.5318                 NaN  0.107666       0.203181                 NaN            NaN  0.112770E-002            NaN  0.156198                 NaN            NaN            NaN            NaN
  1327.91        2500.00        99.5358                 NaN  0.105739       0.202812                 NaN            NaN  0.950858E-003            NaN  0.154719                 NaN            NaN            NaN            NaN
  1326.65        2500.00        99.5399                 NaN  0.103970       0.202041                 NaN            NaN  0.848832E-003            NaN  0.153235                 NaN            NaN            NaN            NaN
  1325.38        2500.00        99.5445                 NaN  0.101937       0.201325                 NaN            NaN  0.706706E-003            NaN  0.151581                 NaN            NaN            NaN            NaN
  1324.12        2500.00        99.5483                 NaN  0.200976       0.100007                 NaN            NaN  0.563322E-003            NaN  0.150199                 NaN            NaN            NaN            NaN
  1322.86        2500.00        99.5520                 NaN  0.979091E-001  0.200810                 NaN            NaN  0.409278E-003            NaN  0.148907                 NaN            NaN            NaN            NaN
  1321.60        2500.00        99.5562                 NaN  0.199841       0.963412E-001            NaN            NaN  0.307704E-003            NaN  0.147293                 NaN            NaN            NaN            NaN
  1320.34        2500.00        85.6316                 NaN   1.34383        1.91183                 NaN            NaN  0.729146E-001            NaN   1.82357        9.21623                 NaN            NaN            NaN
  1319.08        2500.00        78.1210                 NaN   2.81317        2.01857                 NaN            NaN  0.109474                 NaN   2.71202        14.2258                 NaN            NaN            NaN
  1317.82        2500.00        81.9157                 NaN   1.68043        2.32478                 NaN            NaN  0.877995E-001            NaN   2.24367        11.7477                 NaN            NaN            NaN
  1316.56        2500.00        84.5719                 NaN   1.44213        1.98407                 NaN            NaN  0.725905E-001            NaN   1.91614        10.0132                 NaN            NaN            NaN
  1315.29        2500.00        86.5626                 NaN   1.26212        1.72991                 NaN            NaN  0.612350E-001            NaN   1.67096        8.71319                 NaN            NaN            NaN
  1314.03        2500.00        88.0977                 NaN   1.53548        1.12144                 NaN            NaN  0.524724E-001            NaN   1.48210        7.71084                 NaN            NaN            NaN
  1312.77        2500.00        89.3095                 NaN   1.38244        1.00960                 NaN            NaN  0.456073E-001            NaN   1.33309        6.91977                 NaN            NaN            NaN
  1311.51        2500.00        90.3055                 NaN   1.25728       0.917824                 NaN            NaN  0.398272E-001            NaN   1.21085        6.26871                 NaN            NaN            NaN
  1310.25        2500.00        91.1242                 NaN   1.15644       0.840461                 NaN            NaN  0.349844E-001            NaN   1.11049        5.73343                 NaN            NaN            NaN
  1308.99        2500.00        91.8129                 NaN  0.774849        1.07229                 NaN            NaN  0.309103E-001            NaN   1.02615        5.28287                 NaN            NaN            NaN
  1307.73        2500.00        92.4009                 NaN  0.718271        1.00071                 NaN            NaN  0.274869E-001            NaN  0.954237        4.89837                 NaN            NaN            NaN
  1306.47        2500.00        91.4288                 NaN  0.884591       0.999887                 NaN            NaN  0.196413E-001            NaN   1.06411        5.53288       0.700976E-001            NaN            NaN
  1305.21        2500.00        80.3651                 NaN   1.18530        2.65874                 NaN            NaN            NaN            NaN   2.36087        12.7960       0.633910                 NaN            NaN
  1303.94        2500.00        83.1957                 NaN   2.27633        1.00736                 NaN            NaN            NaN            NaN   2.02353        10.9558       0.541260                 NaN            NaN
  1302.68        2500.00        70.4130                 NaN   2.89362        2.49346                 NaN            NaN            NaN            NaN   3.71327        19.5223       0.964299                 NaN            NaN
  1301.42        2500.00        79.2847                 NaN   1.85950        1.84136                 NaN            NaN            NaN            NaN   2.59875        13.7390       0.676713                 NaN            NaN
  1300.16        2500.00        93.2094                 NaN  0.353952       0.885382                 NaN            NaN            NaN            NaN  0.807059        4.50375       0.240434                 NaN            NaN
  1298.90        2500.00        96.5731                 NaN  0.461062       0.246231                 NaN            NaN            NaN            NaN  0.411020        2.22292       0.856856E-001            NaN            NaN
  1297.64        2500.00        95.6232                 NaN  0.522408       0.292189                 NaN            NaN            NaN            NaN  0.516719        2.90012       0.145355                 NaN            NaN
  1296.38        2500.00        95.8223                 NaN  0.250388       0.516724                 NaN            NaN            NaN            NaN  0.491770        2.77856       0.140273                 NaN            NaN
  1295.12        2500.00        84.7546                 NaN  0.538818        2.28007                 NaN            NaN            NaN            NaN   1.72090        10.1656       0.540005                 NaN            NaN
  1293.85        2500.00       100.0000                 NaN  0.400287E-005            NaN            NaN            NaN            NaN            NaN            NaN  0.618635E-005  0.846053E-006            NaN            NaN
  1292.59        2500.00       100.0000                 NaN  0.583147E-005            NaN            NaN            NaN            NaN            NaN  0.404455E-005  0.207774E-004            NaN  0.105680E-005            NaN
  1291.33        2500.00       100.0000                 NaN  0.120237E-004            NaN            NaN            NaN            NaN            NaN  0.169442E-005  0.343637E-004            NaN            NaN            NaN
  1290.07        2500.00        89.0508                 NaN  0.432251        1.52885                 NaN            NaN            NaN            NaN   1.20751        7.45692       0.323635                 NaN            NaN
  1288.81        2500.00        86.2520                 NaN   1.86194       0.549873                 NaN            NaN            NaN            NaN   1.54459        9.37035       0.421238                 NaN            NaN
  1287.55        2500.00        95.1260                 NaN  0.450992       0.464132                 NaN            NaN            NaN            NaN  0.506441        3.26803       0.184397                 NaN            NaN
  1286.29        2500.00        98.4423                 NaN  0.170159       0.934722E-001            NaN            NaN            NaN            NaN  0.193045        1.04761       0.533807E-001            NaN            NaN
  1285.03        2500.00        98.9047                 NaN  0.576083E-001  0.239105                 NaN            NaN            NaN            NaN  0.119210       0.642597       0.368051E-001            NaN            NaN
  1283.77        2500.00        98.9940                 NaN  0.144389       0.425165E-001            NaN            NaN            NaN            NaN  0.121546       0.659373       0.381496E-001            NaN            NaN
  1282.50        2500.00        98.6774                 NaN  0.228352                 NaN            NaN            NaN            NaN            NaN  0.149220       0.888735       0.563056E-001            NaN            NaN
  1281.24        2500.00        99.4932                 NaN  0.124995                 NaN            NaN            NaN            NaN            NaN  0.571358E-001  0.297553       0.271424E-001            NaN            NaN
  1279.98        2500.00        98.9804                 NaN  0.137815                 NaN            NaN            NaN            NaN            NaN  0.102042       0.722245       0.574741E-001            NaN            NaN
  1278.72        2500.00        97.7649                 NaN  0.491766       0.221746E-005            NaN            NaN            NaN            NaN  0.293784        1.35619       0.933819E-001            NaN            NaN
  1277.46        2500.00        99.0761                 NaN  0.536838E-001            NaN            NaN            NaN            NaN            NaN  0.946690E-001  0.737666       0.379152E-001            NaN            NaN
  1276.20        2500.00        98.3929                 NaN  0.509258                 NaN            NaN            NaN            NaN            NaN  0.185547       0.843009       0.692860E-001            NaN            NaN
  1274.94        2500.00        98.9109                 NaN  0.191666                 NaN            NaN            NaN            NaN            NaN  0.115678       0.735740       0.459999E-001            NaN            NaN
  1273.68        2500.00        97.3961                 NaN  0.577715                 NaN            NaN            NaN            NaN            NaN  0.284172        1.63321       0.108828                 NaN            NaN
  1272.41        2500.00        96.1379                 NaN  0.851870                 NaN            NaN            NaN            NaN            NaN  0.406067        2.44539       0.158781                 NaN            NaN
