|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1432.98        2500.00        98.8907       0.427894       0.680023                 NaN            NaN  0.138878E-002            NaN            NaN            NaN            NaN            NaN
  1431.85        2500.00        99.3371       0.406561       0.255549                 NaN            NaN  0.773401E-003            NaN            NaN            NaN            NaN            NaN
  1430.73        2500.00        99.3395       0.405146       0.254599                 NaN            NaN  0.754491E-003            NaN            NaN            NaN            NaN            NaN
  1429.60        2500.00        99.3415       0.253934       0.403863                 NaN            NaN  0.723277E-003            NaN            NaN            NaN            NaN            NaN
  1428.48        2500.00        99.3435       0.253139       0.402627                 NaN            NaN  0.695041E-003            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.3468       0.400647       0.251902                 NaN            NaN  0.677865E-003            NaN            NaN            NaN            NaN            NaN
  1426.23        2500.00        99.3239       0.260772       0.414644                 NaN            NaN  0.675927E-003            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00        99.3751       0.383326       0.240962                 NaN            NaN  0.607031E-003            NaN            NaN            NaN            NaN            NaN
  1423.98        2500.00        99.3522       0.249692       0.397486                 NaN            NaN  0.617865E-003            NaN            NaN            NaN            NaN            NaN
  1422.85        2500.00        98.7284       0.781911       0.488814                 NaN            NaN  0.893987E-003            NaN            NaN            NaN            NaN            NaN
  1421.73        2500.00        99.9502       0.304814E-001  0.193191E-001            NaN            NaN  0.490390E-004            NaN            NaN            NaN            NaN            NaN
  1420.60        2500.00        99.3954       0.232995       0.371126                 NaN            NaN  0.513107E-003            NaN            NaN            NaN            NaN            NaN
  1419.48        2500.00        99.3588       0.246922       0.393771                 NaN  0.108637E-005  0.546637E-003            NaN            NaN            NaN            NaN            NaN
  1418.36        2500.00        99.3628       0.245612       0.391119                 NaN            NaN  0.516956E-003            NaN            NaN            NaN            NaN            NaN
  1417.23        2500.00        99.3638       0.390777       0.244952                 NaN            NaN  0.494033E-003            NaN            NaN            NaN            NaN            NaN
  1416.11        2500.00        99.3644       0.244443       0.390689                 NaN            NaN  0.467328E-003            NaN            NaN            NaN            NaN            NaN
  1414.98        2500.00        99.3690       0.387606       0.242982                 NaN            NaN  0.459705E-003            NaN            NaN            NaN            NaN            NaN
  1413.86        2500.00        99.3687       0.242850       0.388016                 NaN            NaN  0.447413E-003            NaN            NaN            NaN            NaN            NaN
  1412.73        2500.00        99.3703       0.387043       0.242204                 NaN            NaN  0.427961E-003            NaN            NaN            NaN            NaN            NaN
  1411.61        2500.00        99.3709       0.241798       0.386865                 NaN            NaN  0.446027E-003            NaN            NaN            NaN            NaN            NaN
  1410.48        2500.00        99.9829       0.169735E-001            NaN            NaN            NaN  0.120251E-003            NaN            NaN            NaN            NaN            NaN
  1409.36        2500.00        98.7649       0.481713       0.752657                 NaN            NaN  0.723299E-003            NaN            NaN            NaN            NaN            NaN
  1408.23        2500.00        99.0738       0.384707       0.384833                 NaN            NaN            NaN            NaN  0.156668                 NaN            NaN            NaN
  1407.11        2500.00        98.7744       0.381356       0.529919                 NaN            NaN            NaN            NaN  0.314362                 NaN            NaN            NaN
  1405.98        2500.00        99.9838       0.135982E-001            NaN            NaN            NaN  0.519042E-005            NaN  0.258833E-002            NaN            NaN            NaN
  1404.86        2500.00        97.6067       0.736638        1.04320                 NaN  0.608843E-005            NaN            NaN  0.613452                 NaN            NaN            NaN
  1403.74        2500.00        98.7838       0.393184       0.394991                 NaN  0.998389E-001            NaN            NaN  0.328231                 NaN            NaN            NaN
  1402.61        2500.00        98.7626       0.416644       0.239781                 NaN  0.224966       0.282595E-003            NaN  0.355688                 NaN            NaN            NaN
  1401.49        2500.00        98.7374       0.193507       0.426672                 NaN  0.268697                 NaN            NaN  0.373752                 NaN            NaN            NaN
  1400.36        2500.00        98.8181       0.270488       0.400323                 NaN  0.182480                 NaN            NaN  0.328594                 NaN            NaN            NaN
  1399.24        2500.00        98.6362       0.463856       0.252468                 NaN  0.255840                 NaN            NaN  0.391685                 NaN            NaN            NaN
  1398.11        2500.00        98.9664       0.188739       0.351657                 NaN  0.196172                 NaN            NaN  0.297015                 NaN            NaN            NaN
  1396.99        2500.00        98.8185       0.213190       0.402666                 NaN  0.226170                 NaN            NaN  0.339469                 NaN            NaN            NaN
  1395.86        2500.00        98.8358       0.366150       0.231344                 NaN  0.218637       0.160560E-001            NaN  0.331995                 NaN            NaN            NaN
  1394.74        2500.00        98.8544       0.391280       0.206205                 NaN  0.220148                 NaN            NaN  0.327979                 NaN            NaN            NaN
  1393.61        2500.00        98.8479       0.395839       0.197860                 NaN  0.227331                 NaN            NaN  0.331108                 NaN            NaN            NaN
  1392.49        2500.00        98.8581       0.393189       0.193403                 NaN  0.227320                 NaN            NaN  0.328021                 NaN            NaN            NaN
  1391.36        2500.00        98.8677       0.390871       0.188299                 NaN  0.227802                 NaN            NaN  0.325330                 NaN            NaN            NaN
  1390.24        2500.00        98.8785       0.184073       0.387445                 NaN  0.227800                 NaN            NaN  0.322220                 NaN            NaN            NaN
  1389.12        2500.00        98.8871       0.385386       0.179761                 NaN  0.228185                 NaN            NaN  0.319587                 NaN            NaN            NaN
  1387.99        2500.00        98.8967       0.383014       0.175250                 NaN  0.228340                 NaN            NaN  0.316743                 NaN            NaN            NaN
  1386.87        2500.00        98.9059       0.170940       0.380637                 NaN  0.228561                 NaN            NaN  0.313997                 NaN            NaN            NaN
  1385.74        2500.00        98.9149       0.378201       0.166552                 NaN  0.228801                 NaN            NaN  0.311506                 NaN            NaN            NaN
  1384.62        2500.00        98.9213       0.376830       0.162645                 NaN  0.229710                 NaN            NaN  0.309520                 NaN            NaN            NaN
  1383.49        2500.00        98.9324       0.373841       0.158253                 NaN  0.229288                 NaN            NaN  0.306200                 NaN            NaN            NaN
  1382.37        2500.00        98.9387       0.372511       0.154111                 NaN  0.230136                 NaN            NaN  0.304588                 NaN            NaN            NaN
  1381.24        2500.00        98.9516       0.150408       0.368252                 NaN  0.229111                 NaN            NaN  0.300652                 NaN            NaN            NaN
  1380.12        2500.00        98.9527       0.369477       0.145465                 NaN  0.231844                 NaN            NaN  0.300521                 NaN            NaN            NaN
  1378.99        2500.00        98.9685       0.144070       0.363810                 NaN  0.228381                 NaN            NaN  0.295227                 NaN            NaN            NaN
  1377.87        2500.00        98.9730       0.139158       0.363209                 NaN  0.230352                 NaN            NaN  0.294319                 NaN            NaN            NaN
  1376.74        2500.00        98.9808       0.361294       0.135325                 NaN  0.230562                 NaN            NaN  0.291986                 NaN            NaN            NaN
  1375.62        2500.00        98.9867       0.359952       0.131783                 NaN  0.231341                 NaN            NaN  0.290260                 NaN            NaN            NaN
  1374.50        2500.00        98.9978       0.128318       0.356702                 NaN  0.230397                 NaN            NaN  0.286790                 NaN            NaN            NaN
  1373.37        2500.00        99.0036       0.124698       0.355661                 NaN  0.230828                 NaN            NaN  0.285189                 NaN            NaN            NaN
  1372.25        2500.00        99.0083       0.354858       0.120990                 NaN  0.231895                 NaN            NaN  0.283948                 NaN            NaN            NaN
  1371.12        2500.00        99.0207       0.350731       0.118277                 NaN  0.230286                 NaN            NaN  0.279976                 NaN            NaN            NaN
  1370.00        2500.00        99.0240       0.114316       0.349832                 NaN  0.232429                 NaN            NaN  0.279421                 NaN            NaN            NaN
  1368.87        2500.00        99.0345       0.347411       0.112480                 NaN  0.229978                 NaN            NaN  0.275658                 NaN            NaN            NaN
  1367.75        2500.00        99.0381       0.346800       0.109084                 NaN  0.231398                 NaN            NaN  0.274602                 NaN            NaN            NaN
  1366.62        2500.00        99.0463       0.344748       0.105712                 NaN  0.231000                 NaN            NaN  0.272237                 NaN            NaN            NaN
  1365.50        2500.00        99.0512       0.343151       0.102410                 NaN  0.232068                 NaN            NaN  0.271198                 NaN            NaN            NaN
  1364.37        2500.00        99.0455       0.980766E-001  0.350226                 NaN  0.234217                 NaN            NaN  0.272010                 NaN            NaN            NaN
  1363.25        2500.00        99.0705       0.337457       0.994999E-001            NaN  0.228203                 NaN            NaN  0.264345                 NaN            NaN            NaN
  1362.12        2500.00        99.0711       0.947992E-001  0.338491                 NaN  0.231110                 NaN            NaN  0.264523                 NaN            NaN            NaN
  1361.00        2500.00        99.0785       0.923158E-001  0.336551                 NaN  0.230407                 NaN            NaN  0.262197                 NaN            NaN            NaN
  1359.88        2500.00        99.0838       0.896077E-001  0.335467                 NaN  0.230584                 NaN            NaN  0.260544                 NaN            NaN            NaN
  1358.75        2500.00        99.0900       0.333640       0.870252E-001            NaN  0.230560                 NaN            NaN  0.258738                 NaN            NaN            NaN
  1357.63        2500.00        99.0961       0.855654E-001  0.332119                 NaN  0.229660                 NaN            NaN  0.256508                 NaN            NaN            NaN
  1356.50        2500.00        99.1020       0.330860       0.824430E-001            NaN  0.229891                 NaN            NaN  0.254845                 NaN            NaN            NaN
  1355.38        2500.00        99.1063       0.815677E-001  0.329494                 NaN  0.228917       0.517766E-003            NaN  0.253179                 NaN            NaN            NaN
  1354.25        2500.00        98.9709       0.201962       0.360249                 NaN  0.116188       0.899914E-001            NaN  0.260718                 NaN            NaN            NaN
  1353.13        2500.00        98.9366       0.230367       0.373401                 NaN  0.859433E-001  0.112024                 NaN  0.261617                 NaN            NaN            NaN
  1352.00        2500.00        98.8854       0.396819       0.267977                 NaN  0.421989E-001  0.145095                 NaN  0.262516                 NaN            NaN            NaN
  1350.88        2500.00        98.8714       0.283659       0.402726                 NaN  0.231034E-001  0.157509                 NaN  0.261621                 NaN            NaN            NaN
  1349.75        2500.00        98.8517       0.415528       0.282069                 NaN  0.157651E-001  0.171401                 NaN  0.263581                 NaN            NaN            NaN
  1348.63        2500.00        98.8392       0.422620       0.292696                 NaN  0.330653E-004  0.182703                 NaN  0.262748                 NaN            NaN            NaN
  1347.50        2500.00        98.8372       0.286190       0.426281                 NaN            NaN  0.187423                 NaN  0.262904                 NaN            NaN            NaN
  1346.38        2500.00        98.8355       0.276048       0.432552                 NaN            NaN  0.193414                 NaN  0.262458                 NaN            NaN            NaN
  1345.26        2500.00        98.8387       0.433677       0.270913                 NaN            NaN  0.195072                 NaN  0.261656                 NaN            NaN            NaN
  1344.13        2500.00        98.8452       0.432956       0.265556                 NaN            NaN  0.196131                 NaN  0.260173                 NaN            NaN            NaN
  1343.01        2500.00        98.8555       0.429896       0.261081                 NaN            NaN  0.195553                 NaN  0.257974                 NaN            NaN            NaN
  1341.88        2500.00        98.8674       0.257030       0.425568                 NaN            NaN  0.194413                 NaN  0.255574                 NaN            NaN            NaN
  1340.76        2500.00        98.8772       0.252618       0.423010                 NaN            NaN  0.193686                 NaN  0.253437                 NaN            NaN            NaN
  1339.63        2500.00        98.8882       0.419244       0.248965                 NaN            NaN  0.192383                 NaN  0.251209                 NaN            NaN            NaN
  1338.51        2500.00        98.9010       0.246239       0.413726                 NaN            NaN  0.190312                 NaN  0.248742                 NaN            NaN            NaN
  1337.38        2500.00        98.9122       0.410329       0.241969                 NaN            NaN  0.189202                 NaN  0.246292                 NaN            NaN            NaN
  1336.26        2500.00        98.9245       0.404793       0.239753                 NaN            NaN  0.186926                 NaN  0.244003                 NaN            NaN            NaN
  1335.13        2500.00        98.9356       0.401222       0.235921                 NaN            NaN  0.185476                 NaN  0.241795                 NaN            NaN            NaN
  1334.01        2500.00        98.9497       0.394802       0.234102                 NaN            NaN  0.182480                 NaN  0.238870                 NaN            NaN            NaN
  1332.89        2500.00        98.9609       0.231167       0.390312                 NaN            NaN  0.180955                 NaN  0.236676                 NaN            NaN            NaN
  1331.76        2500.00        98.9732       0.384834       0.228825                 NaN            NaN  0.178841                 NaN  0.234250                 NaN            NaN            NaN
  1330.64        2500.00        98.9852       0.379919       0.226383                 NaN            NaN  0.176510                 NaN  0.231942                 NaN            NaN            NaN
  1329.51        2500.00        98.9968       0.375385       0.223649                 NaN            NaN  0.174620                 NaN  0.229589                 NaN            NaN            NaN
  1328.39        2500.00        99.0089       0.221950       0.369706                 NaN            NaN  0.172246                 NaN  0.227228                 NaN            NaN            NaN
  1327.26        2500.00        99.0197       0.365536       0.219218                 NaN            NaN  0.170471                 NaN  0.225046                 NaN            NaN            NaN
  1326.14        2500.00        99.0317       0.360378       0.217052                 NaN            NaN  0.168229                 NaN  0.222679                 NaN            NaN            NaN
  1325.01        2500.00        99.0428       0.214915       0.355747                 NaN            NaN  0.166090                 NaN  0.220445                 NaN            NaN            NaN
  1323.89        2500.00        99.0538       0.212896       0.350963                 NaN            NaN  0.164069                 NaN  0.218276                 NaN            NaN            NaN
  1322.76        2500.00        99.0646       0.210721       0.346500                 NaN            NaN  0.162051                 NaN  0.216122                 NaN            NaN            NaN
  1321.64        2500.00        99.0757       0.341751       0.208628                 NaN            NaN  0.159969                 NaN  0.213942                 NaN            NaN            NaN
  1320.51        2500.00        99.0870       0.336731       0.206836                 NaN            NaN  0.157757                 NaN  0.211647                 NaN            NaN            NaN
  1319.39        2500.00        99.0969       0.332552       0.204947                 NaN            NaN  0.155878                 NaN  0.209674                 NaN            NaN            NaN
  1318.27        2500.00        99.1070       0.203170       0.328287                 NaN            NaN  0.153926                 NaN  0.207604                 NaN            NaN            NaN
  1317.14        2500.00        99.1176       0.323822       0.201099                 NaN            NaN  0.151930                 NaN  0.205589                 NaN            NaN            NaN
  1316.02        2500.00        99.1277       0.319263       0.199674                 NaN            NaN  0.149863                 NaN  0.203451                 NaN            NaN            NaN
  1314.89        2500.00        99.1373       0.315024       0.198120                 NaN            NaN  0.147875                 NaN  0.201645                 NaN            NaN            NaN
  1313.77        2500.00        99.1473       0.310739       0.196328                 NaN            NaN  0.145947                 NaN  0.199654                 NaN            NaN            NaN
  1312.64        2500.00        99.1567       0.194702       0.306948                 NaN            NaN  0.143979                 NaN  0.197653                 NaN            NaN            NaN
  1311.52        2500.00        99.1663       0.302583       0.193166                 NaN            NaN  0.142125                 NaN  0.195823                 NaN            NaN            NaN
  1310.39        2500.00        99.1758       0.298724       0.191416                 NaN            NaN  0.140239                 NaN  0.193831                 NaN            NaN            NaN
  1309.27        2500.00        99.1852       0.189844       0.294580                 NaN            NaN  0.138379                 NaN  0.192025                 NaN            NaN            NaN
  1308.14        2500.00        99.1941       0.290428       0.189055                 NaN            NaN  0.136243                 NaN  0.190212                 NaN            NaN            NaN
  1307.02        2500.00        99.2030       0.187469       0.286467                 NaN            NaN  0.134620                 NaN  0.188491                 NaN            NaN            NaN
  1305.89        2500.00        99.2107       0.186419       0.283243                 NaN            NaN  0.132609                 NaN  0.187029                 NaN            NaN            NaN
  1304.77        2500.00        99.2215       0.279404       0.183631                 NaN            NaN  0.130991                 NaN  0.184502                 NaN            NaN            NaN
  1303.65        2500.00        99.2289       0.183289       0.275441                 NaN            NaN  0.129157                 NaN  0.183215                 NaN            NaN            NaN
  1302.52        2500.00        99.2377       0.181797       0.271856                 NaN            NaN  0.127284                 NaN  0.181388                 NaN            NaN            NaN
  1301.40        2500.00        99.2457       0.267969       0.180909                 NaN            NaN  0.125624                 NaN  0.179750                 NaN            NaN            NaN
  1300.27        2500.00        99.2540       0.179579       0.264618                 NaN            NaN  0.123660                 NaN  0.178169                 NaN            NaN            NaN
  1299.15        2500.00        99.2619       0.261512       0.178008                 NaN            NaN  0.122160                 NaN  0.176418                 NaN            NaN            NaN
  1298.02        2500.00        99.2699       0.257719       0.177151                 NaN            NaN  0.120337                 NaN  0.174857                 NaN            NaN            NaN
  1296.90        2500.00        76.1851        3.45214        2.98013                 NaN            NaN   2.01316                 NaN   2.91733        12.4521                 NaN            NaN
  1295.77        2500.00        74.1041        3.64611        3.32422                 NaN            NaN   2.12158                 NaN   3.17057        13.6334                 NaN            NaN
  1294.65        2500.00        79.3477        2.86985        2.72351                 NaN            NaN   1.66302                 NaN   2.54865        10.8473                 NaN            NaN
  1293.52        2500.00        82.8806        2.31440        2.34940                 NaN            NaN   1.35724                 NaN   2.12784        8.97048                 NaN            NaN
  1292.40        2500.00        85.4085        1.98267        2.01116                 NaN            NaN   1.14257                 NaN   1.82571        7.62938                 NaN            NaN
  1291.27        2500.00        87.3226        1.70552        1.77884                 NaN            NaN  0.982559                 NaN   1.59604        6.61448                 NaN            NaN
  1290.15        2500.00        87.3710        1.72827        1.71907                 NaN            NaN  0.982756                 NaN   1.60358        6.59533                 NaN            NaN
  1289.03        2500.00        89.0561        1.48261        1.55719                 NaN            NaN  0.743714                 NaN   1.38171        5.77870                 NaN            NaN
  1287.90        2500.00        92.8757       0.994013       0.931652                 NaN            NaN  0.663772                 NaN  0.927870        3.60698                 NaN            NaN
  1286.78        2500.00        91.5788        1.27906        1.08897                 NaN            NaN  0.604611                 NaN   1.08751        4.36101                 NaN            NaN
  1285.65        2500.00        92.0443        1.02783        1.20299                 NaN            NaN  0.305211       0.300825        1.03091        4.08789                 NaN            NaN
  1284.53        2500.00        93.1880       0.882721        1.02021                 NaN            NaN  0.506358                 NaN  0.884085        3.51858                 NaN            NaN
  1283.40        2500.00        89.8820        1.60856       0.923992                 NaN            NaN  0.855020                 NaN   1.31988        5.41057                 NaN            NaN
  1282.28        2500.00        98.1334       0.138182       0.676049                 NaN            NaN  0.845547E-001            NaN  0.233690       0.734093                 NaN            NaN
  1281.15        2500.00        94.4249       0.557291       0.981869                 NaN            NaN  0.407089                 NaN  0.741727        2.88712                 NaN            NaN
  1280.03        2500.00        97.9480       0.246295       0.330533                 NaN            NaN  0.105693                 NaN  0.264291        1.10523                 NaN            NaN
  1278.90        2500.00        84.1242        2.26275        2.14896                 NaN            NaN   1.21230                 NaN   2.08930        8.16250                 NaN            NaN
  1277.78        2500.00        99.0661       0.919607E-001  0.126854                 NaN            NaN  0.137719                 NaN  0.130003       0.447384                 NaN            NaN
  1276.65        2500.00        99.4467       0.581838E-001  0.839291E-001            NaN            NaN  0.685958E-001            NaN  0.754749E-001  0.267118                 NaN            NaN
  1275.53        2500.00        99.1142       0.117318       0.127249                 NaN            NaN  0.671581E-001            NaN  0.118900       0.455179                 NaN            NaN
  1274.41        2500.00        92.4000        1.10848       0.996602                 NaN            NaN  0.584003                 NaN   1.01520        3.89572                 NaN            NaN
  1273.28        2500.00        96.1361       0.538484       0.514883                 NaN            NaN  0.308714                 NaN  0.516626        1.98520                 NaN            NaN
  1272.16        2500.00        95.2242       0.780860       0.603053                 NaN            NaN  0.255073       0.812260E-001  0.640888        2.41472                 NaN            NaN
  1271.03        2500.00        96.6451       0.838291       0.179808                 NaN            NaN  0.913595E-001            NaN  0.452341        1.71334       0.797819E-001            NaN
  1269.91        2500.00        97.4728       0.593369                 NaN            NaN            NaN  0.277237                 NaN  0.332469        1.32416                 NaN            NaN
  1268.78        2500.00        91.0296        1.52375        1.04015                 NaN            NaN  0.393822                 NaN   1.19694        4.62090       0.194808                 NaN
  1267.66        2500.00       100.0000       0.508654E-005            NaN            NaN  0.418857E-005            NaN            NaN  0.261600E-005  0.942417E-005            NaN            NaN
  1266.53        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN  0.153387E-005  0.610793E-005  0.141881E-005            NaN
  1265.41        2500.00       100.0000       0.137289E-005            NaN            NaN            NaN            NaN            NaN            NaN  0.349562E-005            NaN            NaN
  1264.28        2500.00        91.0587        1.65449       0.960887                 NaN            NaN  0.227721                 NaN   1.18477        4.61631       0.297104                 NaN
  1263.16        2500.00        96.0556       0.699979       0.438676                 NaN            NaN  0.113887                 NaN  0.524484        2.03978       0.127550                 NaN
  1262.03        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.305527E-005            NaN            NaN
  1260.91        2500.00        99.9991       0.172400E-003  0.102146E-003            NaN  0.151319E-005  0.275584E-004            NaN  0.130136E-003  0.470643E-003  0.343533E-004            NaN
  1259.79        2500.00        88.7305        1.85317        1.32716                 NaN            NaN  0.373024                 NaN   1.50676        5.86669       0.342665                 NaN
  1258.66        2500.00        99.3252       0.206843                 NaN            NaN            NaN            NaN            NaN  0.898314E-001  0.339036       0.390607E-001            NaN
  1257.54        2500.00        99.1344       0.289723                 NaN            NaN            NaN            NaN            NaN  0.102764       0.407556       0.655751E-001            NaN
  1256.41        2500.00        94.7585       0.700198       0.414512                 NaN            NaN  0.553874                 NaN  0.727906        2.74452       0.100501                 NaN
  1255.29        2500.00        98.9106       0.198902       0.206652                 NaN            NaN            NaN            NaN  0.137208       0.546647                 NaN            NaN
  1254.16        2500.00        97.9150       0.554051       0.130728                 NaN            NaN            NaN            NaN  0.276976        1.08652       0.366723E-001            NaN
  1253.04        2500.00        97.9850       0.296253       0.358865                 NaN            NaN            NaN            NaN  0.313258       0.923104       0.123534                 NaN
  1251.91        2500.00        97.3694       0.690768       0.798475E-001            NaN            NaN            NaN            NaN  0.301768        1.50401       0.542483E-001            NaN
  1250.79        2500.00        99.7485       0.192035E-001            NaN            NaN            NaN  0.132560                 NaN  0.953785E-001            NaN  0.437024E-002            NaN
  1249.66        2500.00        99.8961       0.277339E-001            NaN            NaN            NaN            NaN            NaN  0.124917E-001  0.577082E-001  0.595193E-002            NaN
  1248.54        2500.00        92.4632       0.882614       0.742740                 NaN            NaN  0.203091                 NaN  0.749696        4.55091       0.407784                 NaN
  1247.41        2500.00        97.6980       0.592546       0.390534                 NaN            NaN  0.127492                 NaN  0.515353       0.676028                 NaN            NaN
  1246.29        2500.00        97.7112       0.727180E-001  0.670766                 NaN            NaN            NaN            NaN  0.313775        1.23157                 NaN            NaN
  1245.17        2500.00        97.0848       0.140822       0.660614                 NaN            NaN            NaN            NaN  0.401539        1.61617       0.960312E-001            NaN
  1244.04        2500.00        99.4906       0.774525E-001  0.287554                 NaN            NaN            NaN            NaN  0.581154E-001  0.863163E-001            NaN            NaN
  1242.92        2500.00        98.8817       0.716856E-001  0.317178                 NaN            NaN            NaN            NaN  0.113717       0.607027       0.868194E-002            NaN
  1241.79        2500.00        97.9407       0.515825                 NaN            NaN            NaN  0.123388E-001            NaN  0.286120        1.12750       0.117475                 NaN
  1240.67        2500.00        98.3928       0.537605                 NaN            NaN            NaN  0.148519E-001            NaN  0.220715       0.827155       0.690767E-002            NaN
  1239.54        2500.00        97.5058       0.582302                 NaN            NaN            NaN  0.347959                 NaN  0.351006        1.21293                 NaN            NaN
  1238.42        2500.00        96.2383       0.557701       0.299727E-005            NaN            NaN            NaN            NaN  0.508020        1.91023       0.514769       0.270924     
  1237.29        2500.00        99.9989       0.238706E-004  0.277708E-003            NaN            NaN            NaN            NaN  0.110899E-003  0.582315E-003            NaN  0.108517E-003
  1236.17        2500.00        99.9988       0.363717E-003            NaN            NaN            NaN            NaN            NaN  0.126700E-003  0.684380E-003            NaN  0.736870E-004
  1235.04        2500.00        99.9982       0.557871E-003  0.261072E-004            NaN            NaN  0.478153E-005            NaN  0.184638E-003  0.101138E-002            NaN            NaN
  1233.92        2500.00        93.8617        1.87388       0.231889                 NaN            NaN            NaN            NaN  0.749928        3.28257                 NaN            NaN
  1232.79        2500.00        98.6058       0.892990E-001  0.342302                 NaN            NaN  0.599234E-001            NaN  0.169373       0.733284                 NaN            NaN
  1231.67        2500.00        97.7282       0.111687       0.606925                 NaN            NaN            NaN            NaN  0.301265        1.25197                 NaN            NaN
  1230.55        2500.00        99.8367                 NaN            NaN            NaN            NaN  0.722869E-001            NaN            NaN  0.793349E-001            NaN  0.116438E-001
  1229.42        2500.00        95.4021       0.433559                 NaN            NaN            NaN  0.273307                 NaN  0.342800        2.15806                 NaN   1.39022     
  1228.30        2500.00        83.4082        2.14503       0.234139                 NaN            NaN  0.752122                 NaN   1.68185        6.88477                 NaN   4.89384     
  1227.17        2500.00        99.2271       0.229505E-001  0.560392E-001            NaN            NaN  0.467572E-001            NaN  0.717390E-001  0.333016                 NaN  0.242422     
  1226.05        2500.00        97.4328       0.761973E-001  0.208500                 NaN            NaN  0.150301                 NaN  0.232319        1.09448                 NaN  0.805367     
  1224.92        2500.00        67.5677        2.70545       0.285703                 NaN            NaN   1.94870                 NaN   2.80945        14.2874                 NaN   10.3956     
  1223.80        2500.00                 NaN   8.36861                 NaN            NaN            NaN   6.01677                 NaN   8.30306        44.6312                 NaN   32.6803     
  1222.67        2500.00                 NaN   8.36358                 NaN            NaN            NaN   6.01944                 NaN   8.30503        44.6294                 NaN   32.6825     
  1221.55        2500.00                 NaN   8.35222                 NaN            NaN            NaN   6.02370                 NaN   8.30946        44.6288                 NaN   32.6858     
  1220.42        2500.00                 NaN   8.31988                 NaN            NaN            NaN   6.04101                 NaN   8.30960        44.6334                 NaN   32.6961     
  1219.30        2500.00                 NaN   8.34859                 NaN            NaN            NaN   6.02741                 NaN   8.31092        44.6239                 NaN   32.6892     
  1218.17        2500.00                 NaN   8.33576                 NaN            NaN            NaN   6.03173                 NaN   8.31642        44.6237                 NaN   32.6924     
  1217.05        2500.00                 NaN   8.33078                 NaN            NaN            NaN   6.03427                 NaN   8.31854        44.6219                 NaN   32.6946     
  1215.93        2500.00                 NaN   8.32570                 NaN            NaN            NaN   6.03964                 NaN   8.31731        44.6184                 NaN   32.6989     
  1214.80        2500.00                 NaN   8.31727                 NaN            NaN            NaN   6.04398                 NaN   8.31939        44.6171                 NaN   32.7022     
  1213.68        2500.00                 NaN   8.31420                 NaN            NaN            NaN   6.04508                 NaN   8.32023        44.6181                 NaN   32.7024     
  1212.55        2500.00                 NaN   8.31931                 NaN            NaN            NaN   6.04293                 NaN   8.32281        44.6127                 NaN   32.7023     
