|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          19
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1829.57        500.000        99.4395                 NaN            NaN            NaN            NaN            NaN            NaN  0.550083       0.104112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4404                 NaN            NaN            NaN            NaN            NaN            NaN  0.549178       0.103879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4414                 NaN            NaN            NaN            NaN            NaN            NaN  0.548231       0.103345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4426                 NaN            NaN            NaN            NaN            NaN            NaN  0.547087       0.102937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1386                 NaN            NaN            NaN            NaN            NaN            NaN  0.845412       0.160267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.9422                 NaN            NaN            NaN            NaN            NaN            NaN  0.569880E-001  0.784353E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.2427                 NaN            NaN            NaN            NaN            NaN            NaN  0.743314       0.139462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4469                 NaN            NaN            NaN            NaN            NaN            NaN  0.543006       0.101007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4432                 NaN            NaN            NaN            NaN            NaN            NaN  0.546609       0.101546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4442                 NaN            NaN            NaN            NaN            NaN            NaN  0.545636       0.101244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4437                 NaN            NaN            NaN            NaN            NaN            NaN  0.546248       0.100952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4418                 NaN            NaN            NaN            NaN            NaN            NaN  0.548057       0.101229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4447                 NaN            NaN            NaN            NaN            NaN            NaN  0.545334       0.100148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4427                 NaN            NaN            NaN            NaN            NaN            NaN  0.547253       0.100126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4410                 NaN            NaN            NaN            NaN            NaN            NaN  0.548960       0.100072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4399                 NaN            NaN            NaN            NaN            NaN            NaN  0.550130       0.996736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4420                 NaN            NaN            NaN            NaN            NaN            NaN  0.548042       0.995074E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        98.2815       0.233352E-001            NaN            NaN            NaN            NaN            NaN   1.66591       0.292648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.9497                 NaN            NaN            NaN            NaN            NaN            NaN  0.495492E-001  0.784664E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4369                 NaN            NaN            NaN            NaN            NaN            NaN  0.553274       0.986222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4368                 NaN            NaN            NaN            NaN            NaN            NaN  0.553426       0.982303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4298                 NaN            NaN            NaN            NaN            NaN            NaN  0.560261       0.990169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4372                 NaN            NaN            NaN            NaN            NaN            NaN  0.553092       0.971339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4314                 NaN            NaN            NaN            NaN            NaN            NaN  0.558806       0.977064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        97.6822                 NaN            NaN            NaN            NaN            NaN            NaN   2.27881       0.390434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.9976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.237811E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4813                 NaN            NaN            NaN            NaN            NaN            NaN  0.512353       0.638740E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4217                 NaN            NaN            NaN            NaN            NaN            NaN  0.568689       0.963457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4209                 NaN            NaN            NaN            NaN            NaN            NaN  0.569489       0.959252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4178                 NaN            NaN            NaN            NaN            NaN            NaN  0.572548       0.960741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4110                 NaN            NaN            NaN            NaN            NaN            NaN  0.579386       0.963207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4185                 NaN            NaN            NaN            NaN            NaN            NaN  0.572044       0.946737E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4125                 NaN            NaN            NaN            NaN            NaN            NaN  0.577992       0.952247E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.1784                 NaN            NaN            NaN            NaN            NaN            NaN  0.808327       0.132531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.6386                 NaN            NaN            NaN            NaN            NaN            NaN  0.355671       0.575354E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4053                 NaN            NaN            NaN            NaN            NaN            NaN  0.585251       0.948200E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4030                 NaN            NaN            NaN            NaN            NaN            NaN  0.587490       0.948197E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4021                 NaN            NaN            NaN            NaN            NaN            NaN  0.588452       0.944048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4679                 NaN            NaN            NaN            NaN            NaN            NaN  0.523460       0.867362E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3272                 NaN            NaN            NaN            NaN            NaN            NaN  0.662516       0.102707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3952                 NaN            NaN            NaN            NaN            NaN            NaN  0.595408       0.938973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3929                 NaN            NaN            NaN            NaN            NaN            NaN  0.597684       0.939081E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3908                 NaN            NaN            NaN            NaN            NaN            NaN  0.599816       0.937223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3886                 NaN            NaN            NaN            NaN            NaN            NaN  0.602069       0.934290E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3866                 NaN            NaN            NaN            NaN            NaN            NaN  0.604052       0.933749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3772                 NaN            NaN            NaN            NaN            NaN            NaN  0.613267       0.951099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3892                 NaN            NaN            NaN            NaN            NaN            NaN  0.601546       0.920548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3805                 NaN            NaN            NaN            NaN            NaN            NaN  0.610271       0.927872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3790                 NaN            NaN            NaN            NaN            NaN            NaN  0.611734       0.926806E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3775                 NaN            NaN            NaN            NaN            NaN            NaN  0.613205       0.925329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3914                 NaN            NaN            NaN            NaN            NaN            NaN  0.599537       0.901505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3565                 NaN            NaN            NaN            NaN            NaN            NaN  0.634030       0.947658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3720                 NaN            NaN            NaN            NaN            NaN            NaN  0.618767       0.920833E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3701                 NaN            NaN            NaN            NaN            NaN            NaN  0.620743       0.920091E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3703                 NaN            NaN            NaN            NaN            NaN            NaN  0.620577       0.917048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3667                 NaN            NaN            NaN            NaN            NaN            NaN  0.624119       0.918534E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3684                 NaN            NaN            NaN            NaN            NaN            NaN  0.622481       0.913896E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3665                 NaN            NaN            NaN            NaN            NaN            NaN  0.624399       0.914135E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3648                 NaN            NaN            NaN            NaN            NaN            NaN  0.626108       0.911917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3653                 NaN            NaN            NaN            NaN            NaN            NaN  0.625643       0.910646E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3649                 NaN            NaN            NaN            NaN            NaN            NaN  0.626019       0.907834E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3642                 NaN            NaN            NaN            NaN            NaN            NaN  0.626720       0.906751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3636                 NaN            NaN            NaN            NaN            NaN            NaN  0.627307       0.904852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3641                 NaN            NaN            NaN            NaN            NaN            NaN  0.626844       0.902212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3641                 NaN            NaN            NaN            NaN            NaN            NaN  0.626894       0.902331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3651                 NaN            NaN            NaN            NaN            NaN            NaN  0.625924       0.897165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3501                 NaN            NaN            NaN            NaN            NaN            NaN  0.640741       0.916988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3803                 NaN            NaN            NaN            NaN            NaN            NaN  0.610986       0.872513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3671                 NaN            NaN            NaN            NaN            NaN            NaN  0.623924       0.892586E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3677                 NaN            NaN            NaN            NaN            NaN            NaN  0.623379       0.889311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3681                 NaN            NaN            NaN            NaN            NaN            NaN  0.623034       0.886672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.6407                 NaN            NaN            NaN            NaN            NaN            NaN  0.354237       0.505438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1026                 NaN            NaN            NaN            NaN            NaN            NaN  0.884797       0.126118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3718                 NaN            NaN            NaN            NaN            NaN            NaN  0.619296       0.886882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3601                 NaN            NaN            NaN            NaN            NaN            NaN  0.630943       0.899120E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3944                 NaN            NaN            NaN            NaN            NaN            NaN  0.597074       0.854958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3778                 NaN            NaN            NaN            NaN            NaN            NaN  0.613499       0.872943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3838                 NaN            NaN            NaN            NaN            NaN            NaN  0.607493       0.867770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3697                 NaN            NaN            NaN            NaN            NaN            NaN  0.621392       0.887694E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4025                 NaN            NaN            NaN            NaN            NaN            NaN  0.589051       0.842242E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3665                 NaN            NaN            NaN            NaN            NaN            NaN  0.624868       0.865814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3386                 NaN            NaN            NaN            NaN            NaN            NaN  0.652615       0.877624E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.4771                 NaN            NaN            NaN            NaN            NaN            NaN  0.514609       0.824893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4005                 NaN            NaN            NaN            NaN            NaN            NaN  0.591039       0.851022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3956                 NaN            NaN            NaN            NaN            NaN            NaN  0.595832       0.852536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4150                 NaN            NaN            NaN            NaN            NaN            NaN  0.576726       0.831760E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4121                 NaN            NaN            NaN            NaN            NaN            NaN  0.579499       0.838794E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4149                 NaN            NaN            NaN            NaN            NaN            NaN  0.576774       0.836365E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3950                 NaN            NaN            NaN            NaN            NaN            NaN  0.596530       0.845336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
