|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.25/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1528.05        2500.00        99.3918       0.556018       0.521486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.46        2500.00        99.3950       0.553707       0.512952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00        99.3995       0.549563       0.508980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.28        2500.00        99.4013       0.550586       0.481386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00        99.4062       0.545340       0.484961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.10        2500.00        99.4080       0.547283       0.447258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.51        2500.00        99.3954       0.476120       0.380005E-001            NaN  0.904666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00        99.2495       0.564976E-001            NaN            NaN  0.694001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.33        2500.00        98.7923       0.509645E-001  0.109581                 NaN   1.04712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00        99.7432                 NaN            NaN            NaN  0.256756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.15        2500.00        99.2469                 NaN  0.227911E-003            NaN  0.752860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.56        2500.00        99.2467                 NaN            NaN            NaN  0.753274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        2500.00        99.2409                 NaN            NaN            NaN  0.759067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.38        2500.00        99.2421                 NaN  0.249495E-003            NaN  0.757654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.79        2500.00        99.2365                 NaN            NaN            NaN  0.763519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.20        2500.00        99.2300                 NaN            NaN            NaN  0.770034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.61        2500.00        99.2310                 NaN  0.564054E-005            NaN  0.769016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        2500.00        99.2272                 NaN            NaN            NaN  0.772810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.43        2500.00        99.2144                 NaN            NaN            NaN  0.785622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.83        2500.00        99.2105                 NaN            NaN            NaN  0.789478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.1944                 NaN            NaN            NaN  0.805631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.65        2500.00        99.1750                 NaN  0.128501E-003            NaN  0.824863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.1958                 NaN            NaN            NaN  0.716092       0.881061E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1491.47        2500.00        98.7108                 NaN            NaN            NaN  0.453377       0.835835                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.88        2500.00        98.7880                 NaN            NaN            NaN  0.347186       0.864765                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.29        2500.00        98.7943                 NaN            NaN            NaN  0.343344       0.862324                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00        98.8048                 NaN            NaN            NaN  0.852752       0.342456                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00        98.8161                 NaN            NaN            NaN  0.845351       0.338521                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        98.8261                 NaN            NaN            NaN  0.836870       0.336993                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.93        2500.00        98.8345                 NaN            NaN            NaN  0.830102       0.335422                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.34        2500.00        98.8453                 NaN            NaN            NaN  0.824310       0.330389                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.75        2500.00        98.8549                 NaN            NaN            NaN  0.816801       0.328346                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.8627                 NaN            NaN            NaN  0.811753       0.325539                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.57        2500.00        98.8728                 NaN            NaN            NaN  0.805270       0.321969                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.98        2500.00        98.8821                 NaN            NaN            NaN  0.320821       0.797098                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.39        2500.00        98.8870                 NaN            NaN            NaN  0.316745       0.796245                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.80        2500.00        98.9007                 NaN            NaN            NaN  0.314113       0.785151                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.21        2500.00        98.9039                 NaN            NaN            NaN  0.311948       0.784127                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        98.9225                 NaN            NaN            NaN  0.771221       0.306325                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.02        2500.00        98.9084                 NaN            NaN            NaN  0.308363       0.783263                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.43        2500.00        98.9332                 NaN            NaN            NaN  0.764389       0.302453                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.84        2500.00        98.9341                 NaN            NaN            NaN  0.302033       0.763883                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        98.9427                 NaN  0.169193E-005            NaN  0.299275       0.758043                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00        98.9487                 NaN            NaN            NaN  0.753139       0.298165                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        98.9555                 NaN            NaN            NaN  0.751712       0.292751                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.48        2500.00        98.9616                 NaN            NaN            NaN  0.289499       0.748936                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.89        2500.00        98.9878                 NaN            NaN            NaN  0.729124       0.283116                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        2500.00        98.9537                 NaN  0.111358E-005            NaN  0.754532       0.291742                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        2500.00        98.9785                 NaN            NaN            NaN  0.283800       0.737750                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.12        2500.00        97.1062                 NaN  0.322808                 NaN   1.02294       0.700600                 NaN  0.847434                 NaN            NaN            NaN            NaN
  1448.53        2500.00        96.9121                 NaN  0.394056                 NaN   1.06171       0.685097                 NaN  0.947073                 NaN            NaN            NaN            NaN
  1446.94        2500.00        96.9788                 NaN  0.392821                 NaN   1.04515       0.656103                 NaN  0.927171                 NaN            NaN            NaN            NaN
  1445.35        2500.00        97.0395                 NaN  0.391732                 NaN  0.626925        1.03326                 NaN  0.908607                 NaN            NaN            NaN            NaN
  1443.76        2500.00        97.1092                 NaN  0.389205                 NaN  0.598678        1.01513                 NaN  0.887775                 NaN            NaN            NaN            NaN
  1442.17        2500.00        97.1681                 NaN  0.388199                 NaN  0.571397        1.00225                 NaN  0.870042                 NaN            NaN            NaN            NaN
  1440.58        2500.00        97.2240                 NaN  0.387371                 NaN  0.990105       0.545313                 NaN  0.853212                 NaN            NaN            NaN            NaN
  1438.99        2500.00        97.2708                 NaN  0.388293                 NaN  0.983727       0.517527                 NaN  0.839628                 NaN            NaN            NaN            NaN
  1437.39        2500.00        97.3408                 NaN  0.383274                 NaN  0.962417       0.496060                 NaN  0.817470                 NaN            NaN            NaN            NaN
  1435.80        2500.00        97.3854                 NaN  0.384339                 NaN  0.471212       0.954548                 NaN  0.804452                 NaN            NaN            NaN            NaN
  1434.21        2500.00        97.4318                 NaN  0.384505                 NaN  0.447136       0.945827                 NaN  0.790752                 NaN            NaN            NaN            NaN
  1432.62        2500.00        97.4836                 NaN  0.382253                 NaN  0.935351       0.424318                 NaN  0.774455                 NaN            NaN            NaN            NaN
  1431.03        2500.00        97.5288                 NaN  0.382223                 NaN  0.924015       0.403888                 NaN  0.761044                 NaN            NaN            NaN            NaN
  1429.44        2500.00        97.5747                 NaN  0.381567                 NaN  0.916001       0.380772                 NaN  0.746953                 NaN            NaN            NaN            NaN
  1427.85        2500.00        97.6165                 NaN  0.380992                 NaN  0.359275       0.908961                 NaN  0.734320                 NaN            NaN            NaN            NaN
  1426.26        2500.00        97.6566                 NaN  0.380579                 NaN  0.903028       0.337704                 NaN  0.722046                 NaN            NaN            NaN            NaN
  1424.67        2500.00        97.6996                 NaN  0.379842                 NaN  0.318035       0.893525                 NaN  0.709020                 NaN            NaN            NaN            NaN
  1423.08        2500.00        97.7373                 NaN  0.379671                 NaN  0.298538       0.886900                 NaN  0.697586                 NaN            NaN            NaN            NaN
  1421.49        2500.00        97.7752                 NaN  0.379216                 NaN  0.879642       0.280228                 NaN  0.685746                 NaN            NaN            NaN            NaN
  1419.90        2500.00        97.8144                 NaN  0.378428                 NaN  0.871497       0.261611                 NaN  0.674077                 NaN            NaN            NaN            NaN
  1418.31        2500.00        97.8493                 NaN  0.378337                 NaN  0.865928       0.243038                 NaN  0.663358                 NaN            NaN            NaN            NaN
  1416.72        2500.00        97.8834                 NaN  0.377351                 NaN  0.224314       0.862329                 NaN  0.652654                 NaN            NaN            NaN            NaN
  1415.13        2500.00        97.9155                 NaN  0.377729                 NaN  0.858633       0.205037                 NaN  0.643073                 NaN            NaN            NaN            NaN
  1413.54        2500.00        97.9517                 NaN  0.376115                 NaN  0.188540       0.851941                 NaN  0.631656                 NaN            NaN            NaN            NaN
  1411.95        2500.00        97.9840                 NaN  0.376359                 NaN  0.172245       0.845358                 NaN  0.622051                 NaN            NaN            NaN            NaN
  1410.36        2500.00        98.0127                 NaN  0.376248                 NaN  0.151902       0.845810                 NaN  0.613370                 NaN            NaN            NaN            NaN
  1408.77        2500.00        98.0437                 NaN  0.374672                 NaN  0.139178       0.839462                 NaN  0.603007                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.0736                 NaN  0.374243                 NaN  0.122704       0.835472                 NaN  0.594021                 NaN            NaN            NaN            NaN
  1405.58        2500.00        98.0998                 NaN  0.374240                 NaN  0.834386       0.105724                 NaN  0.585819                 NaN            NaN            NaN            NaN
  1403.99        2500.00        98.1196                 NaN  0.373100                 NaN  0.830431       0.968390E-001            NaN  0.579989                 NaN            NaN            NaN            NaN
  1402.40        2500.00        98.1634                 NaN  0.372987                 NaN  0.694326E-001  0.828567                 NaN  0.565610                 NaN            NaN            NaN            NaN
  1400.81        2500.00        98.1723                 NaN  0.378449                 NaN  0.824772       0.578126E-001            NaN  0.566699                 NaN            NaN            NaN            NaN
  1399.22        2500.00        98.2258                 NaN  0.364756                 NaN  0.813227       0.514885E-001            NaN  0.544720                 NaN            NaN            NaN            NaN
  1397.63        2500.00        98.2309                 NaN  0.370225                 NaN  0.824446       0.297781E-001            NaN  0.544604                 NaN            NaN            NaN            NaN
  1396.04        2500.00        98.2445                 NaN  0.372476                 NaN  0.828644       0.136752E-001            NaN  0.540737                 NaN            NaN            NaN            NaN
  1394.45        2500.00        98.2931                 NaN  0.365428                 NaN  0.388954E-002  0.812968                 NaN  0.524587                 NaN            NaN            NaN            NaN
  1392.86        2500.00        98.3032                 NaN  0.364216                 NaN  0.810976                 NaN            NaN  0.521571                 NaN            NaN            NaN            NaN
  1391.27        2500.00        98.3258                 NaN  0.360149                 NaN  0.800297                 NaN            NaN  0.513745                 NaN            NaN            NaN            NaN
  1389.68        2500.00        98.3448                 NaN  0.356499                 NaN  0.791101                 NaN            NaN  0.507624                 NaN            NaN            NaN            NaN
  1388.09        2500.00        98.3572                 NaN  0.325386                 NaN  0.733614       0.844670E-001            NaN  0.499358                 NaN            NaN            NaN            NaN
  1386.50        2500.00        98.3870                 NaN  0.357247                 NaN  0.761608                 NaN            NaN  0.494194                 NaN            NaN            NaN            NaN
  1384.91        2500.00        98.4041                 NaN  0.341778                 NaN  0.767093                 NaN            NaN  0.486995                 NaN            NaN            NaN            NaN
  1383.32        2500.00        98.4126                 NaN  0.340058                 NaN  0.762417                 NaN            NaN  0.484959                 NaN            NaN            NaN            NaN
  1381.73        2500.00        98.4606                 NaN  0.332558                 NaN  0.740262                 NaN            NaN  0.466611                 NaN            NaN            NaN            NaN
  1380.14        2500.00        98.4648                 NaN  0.336495                 NaN  0.731523                 NaN            NaN  0.467151                 NaN            NaN            NaN            NaN
  1378.55        2500.00        98.4836                 NaN  0.331800                 NaN  0.724090                 NaN            NaN  0.460466                 NaN            NaN            NaN            NaN
  1376.95        2500.00        98.5020                 NaN  0.326846                 NaN  0.717045                 NaN            NaN  0.454157                 NaN            NaN            NaN            NaN
  1375.36        2500.00        98.5191                 NaN  0.325265                 NaN  0.707209                 NaN            NaN  0.448416                 NaN            NaN            NaN            NaN
  1373.77        2500.00        98.5357                 NaN  0.320509                 NaN  0.701300                 NaN            NaN  0.442511                 NaN            NaN            NaN            NaN
  1372.18        2500.00        98.5538                 NaN  0.318243                 NaN  0.691504                 NaN            NaN  0.436455                 NaN            NaN            NaN            NaN
  1370.59        2500.00        98.5700                 NaN  0.313193                 NaN  0.686162                 NaN            NaN  0.430662                 NaN            NaN            NaN            NaN
  1369.00        2500.00        98.5874                 NaN  0.313865                 NaN  0.673534                 NaN            NaN  0.425202                 NaN            NaN            NaN            NaN
  1367.41        2500.00        98.6035                 NaN  0.306912                 NaN  0.670239                 NaN            NaN  0.419394                 NaN            NaN            NaN            NaN
  1365.82        2500.00        98.6123                 NaN  0.294117                 NaN  0.678652                 NaN            NaN  0.414931                 NaN            NaN            NaN            NaN
  1364.23        2500.00        98.6377                 NaN  0.303602                 NaN  0.651028                 NaN            NaN  0.407641                 NaN            NaN            NaN            NaN
  1362.64        2500.00        98.6491                 NaN  0.296380                 NaN  0.651175                 NaN            NaN  0.403342                 NaN            NaN            NaN            NaN
  1361.05        2500.00        98.6656                 NaN  0.297679                 NaN  0.638548                 NaN            NaN  0.398146                 NaN            NaN            NaN            NaN
  1359.46        2500.00        98.6800                 NaN  0.294804                 NaN  0.631953                 NaN            NaN  0.393269                 NaN            NaN            NaN            NaN
  1357.87        2500.00        98.6941                 NaN  0.296231                 NaN  0.620293                 NaN            NaN  0.389377                 NaN            NaN            NaN            NaN
  1356.28        2500.00        98.7125                 NaN  0.287233                 NaN  0.618239                 NaN            NaN  0.381996                 NaN            NaN            NaN            NaN
  1354.69        2500.00        98.7165                 NaN  0.290007                 NaN  0.612884                 NaN            NaN  0.380565                 NaN            NaN            NaN            NaN
  1353.10        2500.00        98.7397                 NaN  0.280206                 NaN  0.608092                 NaN            NaN  0.372053                 NaN            NaN            NaN            NaN
  1351.51        2500.00        98.7464                 NaN  0.278053                 NaN  0.605444                 NaN            NaN  0.370065                 NaN            NaN            NaN            NaN
  1349.92        2500.00        98.7645                 NaN  0.273676                 NaN  0.598575                 NaN            NaN  0.363234                 NaN            NaN            NaN            NaN
  1348.33        2500.00        98.7757                 NaN  0.270493                 NaN  0.594111                 NaN            NaN  0.359652                 NaN            NaN            NaN            NaN
  1346.73        2500.00        98.7876                 NaN  0.266914                 NaN  0.590198                 NaN            NaN  0.355259                 NaN            NaN            NaN            NaN
  1345.14        2500.00        98.7989                 NaN  0.261522                 NaN  0.588630                 NaN            NaN  0.350921                 NaN            NaN            NaN            NaN
  1343.55        2500.00        98.7723                 NaN  0.308948                 NaN  0.530593                 NaN            NaN  0.388200                 NaN            NaN            NaN            NaN
  1341.96        2500.00        98.8308                 NaN  0.238806                 NaN  0.620639                 NaN            NaN  0.309728                 NaN            NaN            NaN            NaN
  1340.37        2500.00        98.8366                 NaN  0.246079                 NaN  0.580316                 NaN            NaN  0.336984                 NaN            NaN            NaN            NaN
  1338.78        2500.00        98.8467                 NaN  0.248354                 NaN  0.570809                 NaN            NaN  0.334091                 NaN            NaN            NaN            NaN
  1337.19        2500.00        98.8602                 NaN  0.244879                 NaN  0.565329                 NaN            NaN  0.329604                 NaN            NaN            NaN            NaN
  1335.60        2500.00        98.8698                 NaN  0.239795                 NaN  0.564637                 NaN            NaN  0.325797                 NaN            NaN            NaN            NaN
  1334.01        2500.00        98.8802                 NaN  0.237556                 NaN  0.560032                 NaN            NaN  0.322195                 NaN            NaN            NaN            NaN
  1332.42        2500.00        98.8919                 NaN  0.234161                 NaN  0.555743                 NaN            NaN  0.318189                 NaN            NaN            NaN            NaN
  1330.83        2500.00        98.9022                 NaN  0.228342                 NaN  0.555266                 NaN            NaN  0.314186                 NaN            NaN            NaN            NaN
  1329.24        2500.00        98.9108                 NaN  0.222869                 NaN  0.555381                 NaN            NaN  0.310910                 NaN            NaN            NaN            NaN
  1327.65        2500.00        98.9219                 NaN  0.223067                 NaN  0.547874                 NaN            NaN  0.307136                 NaN            NaN            NaN            NaN
  1326.06        2500.00        98.9346                 NaN  0.216057                 NaN  0.546365                 NaN            NaN  0.303023                 NaN            NaN            NaN            NaN
  1324.47        2500.00        98.9428                 NaN  0.210614                 NaN  0.547159                 NaN            NaN  0.299470                 NaN            NaN            NaN            NaN
  1322.88        2500.00        98.9520                 NaN  0.207847                 NaN  0.543941                 NaN            NaN  0.296236                 NaN            NaN            NaN            NaN
  1321.29        2500.00        98.9606                 NaN  0.203314                 NaN  0.543044                 NaN            NaN  0.293018                 NaN            NaN            NaN            NaN
  1319.70        2500.00        98.9702                 NaN  0.198937                 NaN  0.541230                 NaN            NaN  0.289663                 NaN            NaN            NaN            NaN
  1318.11        2500.00        98.9793                 NaN  0.196081                 NaN  0.538085                 NaN            NaN  0.286537                 NaN            NaN            NaN            NaN
  1316.51        2500.00        98.9882                 NaN  0.192404                 NaN  0.536290                 NaN            NaN  0.283076                 NaN            NaN            NaN            NaN
  1314.92        2500.00        98.9977                 NaN  0.189176                 NaN  0.533163                 NaN            NaN  0.279943                 NaN            NaN            NaN            NaN
  1313.33        2500.00        99.0042                 NaN  0.183786                 NaN  0.534809                 NaN            NaN  0.277207                 NaN            NaN            NaN            NaN
  1311.74        2500.00        99.0145                 NaN  0.179386                 NaN  0.532263                 NaN            NaN  0.273895                 NaN            NaN            NaN            NaN
  1310.15        2500.00        99.0209                 NaN  0.174068                 NaN  0.533587                 NaN            NaN  0.271442                 NaN            NaN            NaN            NaN
  1308.56        2500.00        99.0293                 NaN  0.166228                 NaN  0.536755                 NaN            NaN  0.267707                 NaN            NaN            NaN            NaN
  1306.97        2500.00        99.0363                 NaN  0.160587                 NaN  0.537597                 NaN            NaN  0.265488                 NaN            NaN            NaN            NaN
