|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1396.88        2500.00                 NaN            NaN   99.0071       0.176379       0.314499       0.160435       0.341557                 NaN            NaN            NaN
  1395.84        2500.00                 NaN            NaN   99.1265       0.277248       0.153606       0.142119       0.300479                 NaN            NaN            NaN
  1394.81        2500.00                 NaN            NaN   99.0809       0.292306       0.159773       0.150704       0.316290                 NaN            NaN            NaN
  1393.77        2500.00                 NaN            NaN   99.0881       0.290689       0.156170       0.150962       0.314067                 NaN            NaN            NaN
  1392.74        2500.00                 NaN            NaN   99.0972       0.153344       0.288040       0.150482       0.310930                 NaN            NaN            NaN
  1391.70        2500.00                 NaN            NaN   99.1058       0.285908       0.149936       0.150251       0.308124                 NaN            NaN            NaN
  1390.66        2500.00                 NaN            NaN   99.1133       0.146453       0.283647       0.150723       0.305920                 NaN            NaN            NaN
  1389.63        2500.00                 NaN            NaN   99.1221       0.144156       0.281782       0.149480       0.302530                 NaN            NaN            NaN
  1388.59        2500.00                 NaN            NaN   99.1300       0.140224       0.280067       0.149636       0.300082                 NaN            NaN            NaN
  1387.55        2500.00                 NaN            NaN   99.1376       0.137144       0.277932       0.149657       0.297653                 NaN            NaN            NaN
  1386.52        2500.00                 NaN            NaN   99.1438       0.277350       0.132901       0.150103       0.295822                 NaN            NaN            NaN
  1385.48        2500.00                 NaN            NaN   99.1536       0.132390       0.274024       0.148111       0.291870                 NaN            NaN            NaN
  1384.45        2500.00                 NaN            NaN   99.1601       0.272680       0.128350       0.148817       0.290056                 NaN            NaN            NaN
  1383.41        2500.00                 NaN            NaN   99.1678       0.270359       0.125545       0.148678       0.287572                 NaN            NaN            NaN
  1382.37        2500.00                 NaN            NaN   99.1746       0.269015       0.122908       0.148374       0.285095                 NaN            NaN            NaN
  1381.34        2500.00                 NaN            NaN   99.1817       0.119609       0.267891       0.148085       0.282673                 NaN            NaN            NaN
  1380.30        2500.00                 NaN            NaN   99.1635       0.121083       0.273780       0.152416       0.289233                 NaN            NaN            NaN
  1379.26        2500.00                 NaN            NaN   99.6454       0.494866E-001  0.116583       0.656623E-001  0.122854                 NaN            NaN            NaN
  1378.23        2500.00                 NaN            NaN   98.7781       0.401644       0.173831       0.224345       0.422112                 NaN            NaN            NaN
  1377.19        2500.00                 NaN            NaN   99.2083       0.109439       0.261022       0.147394       0.273819                 NaN            NaN            NaN
  1376.16        2500.00                 NaN            NaN   99.2169       0.258118       0.107558       0.146514       0.270895                 NaN            NaN            NaN
  1375.12        2500.00                 NaN            NaN   99.2224       0.104999       0.257052       0.146501       0.269049                 NaN            NaN            NaN
  1374.08        2500.00                 NaN            NaN   99.2288       0.102476       0.255433       0.146296       0.266948                 NaN            NaN            NaN
  1373.05        2500.00                 NaN            NaN   99.2350       0.254088       0.100293       0.145901       0.264702                 NaN            NaN            NaN
  1372.01        2500.00                 NaN            NaN   99.2414       0.976014E-001  0.252453       0.145862       0.262681                 NaN            NaN            NaN
  1370.97        2500.00                 NaN            NaN   99.2481       0.250712       0.960733E-001  0.144967       0.260190                 NaN            NaN            NaN
  1369.94        2500.00                 NaN            NaN   99.2542       0.249218       0.933915E-001  0.144983       0.258234                 NaN            NaN            NaN
  1368.90        2500.00                 NaN            NaN   99.2599       0.247781       0.912748E-001  0.144674       0.256327                 NaN            NaN            NaN
  1367.87        2500.00                 NaN            NaN   99.2648       0.246365       0.893763E-001  0.144739       0.254751                 NaN            NaN            NaN
  1366.83        2500.00                 NaN            NaN   99.2725       0.244298       0.881737E-001  0.143314       0.251716                 NaN            NaN            NaN
  1365.79        2500.00                 NaN            NaN   99.2770       0.852912E-001  0.243803       0.143605       0.250342                 NaN            NaN            NaN
  1364.76        2500.00                 NaN            NaN   99.2840       0.241958       0.827894E-001  0.143212       0.248067                 NaN            NaN            NaN
  1363.72        2500.00                 NaN            NaN   99.2901       0.236979       0.966658E-001  0.132802       0.243477                 NaN            NaN            NaN
  1362.68        2500.00                 NaN            NaN   99.2931       0.652722E-001  0.242774       0.151991       0.246907                 NaN            NaN            NaN
  1361.65        2500.00                 NaN            NaN   99.2998       0.780412E-001  0.237917       0.141877       0.242397                 NaN            NaN            NaN
  1360.61        2500.00                 NaN            NaN   99.3043       0.236947       0.756860E-001  0.142104       0.240990                 NaN            NaN            NaN
  1359.58        2500.00                 NaN            NaN   99.3113       0.234569       0.755884E-001  0.140361       0.238174                 NaN            NaN            NaN
  1358.54        2500.00                 NaN            NaN   99.3157       0.233815       0.732401E-001  0.140470       0.236808                 NaN            NaN            NaN
  1357.50        2500.00                 NaN            NaN   99.3080       0.539652E-001  0.251339       0.147588       0.239152                 NaN            NaN            NaN
  1356.47        2500.00                 NaN            NaN   99.3372       0.213049       0.883695E-001  0.131852       0.229544                 NaN            NaN            NaN
  1355.43        2500.00                 NaN            NaN   99.3310       0.229830       0.690475E-001  0.138797       0.231304                 NaN            NaN            NaN
  1354.39        2500.00                 NaN            NaN   99.3361       0.228368       0.675214E-001  0.138490       0.229564                 NaN            NaN            NaN
  1353.36        2500.00                 NaN            NaN   99.3398       0.657486E-001  0.227611       0.138456       0.228348                 NaN            NaN            NaN
  1352.32        2500.00                 NaN            NaN   99.3442       0.227068       0.648220E-001  0.137383       0.226545                 NaN            NaN            NaN
  1351.29        2500.00                 NaN            NaN   99.3514       0.641963E-001  0.224208       0.136375       0.223784                 NaN            NaN            NaN
  1350.25        2500.00                 NaN            NaN   99.3557       0.223355       0.618089E-001  0.136646       0.222537                 NaN            NaN            NaN
  1349.21        2500.00                 NaN            NaN   99.3602       0.621387E-001  0.221997       0.135016       0.220645                 NaN            NaN            NaN
  1348.18        2500.00                 NaN            NaN   99.3634       0.221423       0.609390E-001  0.134767       0.219451                 NaN            NaN            NaN
  1347.14        2500.00                 NaN            NaN   99.3688       0.592225E-001  0.219947       0.134365       0.217636                 NaN            NaN            NaN
  1346.10        2500.00                 NaN            NaN   99.3734       0.218515       0.583457E-001  0.133772       0.215983                 NaN            NaN            NaN
  1345.07        2500.00                 NaN            NaN   99.3777       0.217500       0.574179E-001  0.132979       0.214362                 NaN            NaN            NaN
  1344.03        2500.00                 NaN            NaN   99.3818       0.216518       0.567311E-001  0.132186       0.212755                 NaN            NaN            NaN
  1343.00        2500.00                 NaN            NaN   99.3861       0.215213       0.559247E-001  0.131563       0.211216                 NaN            NaN            NaN
  1341.96        2500.00                 NaN            NaN   99.3899       0.213978       0.549449E-001  0.131253       0.209945                 NaN            NaN            NaN
  1340.92        2500.00                 NaN            NaN   99.3959       0.212977       0.536808E-001  0.129955       0.207482                 NaN            NaN            NaN
  1339.89        2500.00                 NaN            NaN   99.3979       0.544635E-001  0.211759       0.129232       0.206665                 NaN            NaN            NaN
  1338.85        2500.00                 NaN            NaN   99.4027       0.210555       0.529160E-001  0.128752       0.205059                 NaN            NaN            NaN
  1337.81        2500.00                 NaN            NaN   99.4064       0.530311E-001  0.209660       0.127515       0.203372                 NaN            NaN            NaN
  1336.78        2500.00                 NaN            NaN   99.4110       0.207894       0.517878E-001  0.127311       0.202024                 NaN            NaN            NaN
  1335.74        2500.00                 NaN            NaN   99.4137       0.523551E-001  0.207289       0.125937       0.200690                 NaN            NaN            NaN
  1334.71        2500.00                 NaN            NaN   99.4189       0.206051       0.514239E-001  0.125015       0.198602                 NaN            NaN            NaN
  1333.67        2500.00                 NaN            NaN   99.4222       0.205025       0.508351E-001  0.124422       0.197478                 NaN            NaN            NaN
  1332.63        2500.00                 NaN            NaN   99.4249       0.204161       0.508292E-001  0.123655       0.196447                 NaN            NaN            NaN
  1331.60        2500.00                 NaN            NaN   99.4308       0.201903       0.499805E-001  0.122902       0.194372                 NaN            NaN            NaN
  1330.56        2500.00                 NaN            NaN   99.4335       0.201587       0.505992E-001  0.121356       0.192909                 NaN            NaN            NaN
  1329.52        2500.00                 NaN            NaN   99.4365       0.200545       0.501867E-001  0.120870       0.191875                 NaN            NaN            NaN
  1328.49        2500.00                 NaN            NaN   99.4404       0.199416       0.501623E-001  0.119703       0.190293                 NaN            NaN            NaN
  1327.45        2500.00                 NaN            NaN   99.4429       0.198660       0.498648E-001  0.119185       0.189432                 NaN            NaN            NaN
  1326.42        2500.00                 NaN            NaN   99.4477       0.507386E-001  0.196685       0.117529       0.187299                 NaN            NaN            NaN
  1325.38        2500.00                 NaN            NaN   99.4502       0.196421       0.499336E-001  0.116973       0.186430                 NaN            NaN            NaN
  1324.34        2500.00                 NaN            NaN   99.4473       0.475757E-001  0.194131       0.121179       0.189788                 NaN            NaN            NaN
  1323.31        2500.00                 NaN            NaN   99.4649       0.546447E-001  0.192420       0.109338       0.178679                 NaN            NaN            NaN
  1322.27        2500.00                 NaN            NaN   99.4603       0.193126       0.500645E-001  0.114023       0.182518                 NaN            NaN            NaN
  1321.23        2500.00                 NaN            NaN   99.4644       0.190880       0.516307E-001  0.112321       0.180749                 NaN            NaN            NaN
  1320.20        2500.00                 NaN            NaN   99.4672       0.190322       0.514246E-001  0.111500       0.179527                 NaN            NaN            NaN
  1319.16        2500.00                 NaN            NaN   99.4701       0.189388       0.514977E-001  0.110585       0.178474                 NaN            NaN            NaN
  1318.13        2500.00                 NaN            NaN   99.4730       0.523270E-001  0.188011       0.109403       0.177250                 NaN            NaN            NaN
  1317.09        2500.00                 NaN            NaN   99.4753       0.187762       0.525680E-001  0.108242       0.176136                 NaN            NaN            NaN
  1316.05        2500.00                 NaN            NaN   99.4797       0.530997E-001  0.185871       0.106914       0.174391                 NaN            NaN            NaN
  1315.02        2500.00                 NaN            NaN   99.4820       0.538310E-001  0.184870       0.105877       0.173411                 NaN            NaN            NaN
  1313.98        2500.00                 NaN            NaN   99.4852       0.540593E-001  0.183724       0.104840       0.172184                 NaN            NaN            NaN
  1312.94        2500.00                 NaN            NaN   99.4877       0.182558       0.551622E-001  0.103538       0.171008                 NaN            NaN            NaN
  1311.91        2500.00                 NaN            NaN   99.4908       0.181411       0.554204E-001  0.102482       0.169900                 NaN            NaN            NaN
  1310.87        2500.00       0.382970E-002            NaN   99.4886       0.181396       0.620302E-001  0.952804E-001  0.168869                 NaN            NaN            NaN
  1309.84        2500.00       0.513589E-001            NaN   99.4230       0.139851       0.195190       0.180286E-001  0.172523                 NaN            NaN            NaN
  1308.80        2500.00       0.550446E-001            NaN   99.4205       0.145587       0.196909       0.104721E-001  0.171526                 NaN            NaN            NaN
  1307.76        2500.00       0.567445E-001            NaN   99.4214       0.149436       0.196268       0.582665E-002  0.170341                 NaN            NaN            NaN
  1306.73        2500.00       0.586175E-001            NaN   99.4221       0.199063       0.145414       0.501950E-002  0.169831                 NaN            NaN            NaN
  1305.69        2500.00       0.603196E-001            NaN   99.4230       0.149224       0.198981                 NaN  0.168514                 NaN            NaN            NaN
  1304.65        2500.00       0.604995E-001            NaN   99.4266       0.146855       0.198507       0.205320E-005  0.167498                 NaN            NaN            NaN
  1303.62        2500.00       0.604240E-001            NaN   99.4309       0.197513       0.144784                 NaN  0.166344                 NaN            NaN            NaN
  1302.58        2500.00       0.598187E-001            NaN   99.4362       0.198466       0.135733       0.407289E-002  0.165689                 NaN            NaN            NaN
  1301.55        2500.00       0.601316E-001            NaN   99.4396       0.195671       0.140629                 NaN  0.163997                 NaN            NaN            NaN
  1300.51        2500.00       0.600071E-001            NaN   99.4436       0.194949       0.138509                 NaN  0.162919                 NaN            NaN            NaN
  1299.47        2500.00       0.592124E-001            NaN   99.4492       0.192178       0.137822                 NaN  0.161578                 NaN            NaN            NaN
  1298.44        2500.00       0.590855E-001            NaN   99.4527       0.192078       0.135663                 NaN  0.160457                 NaN            NaN            NaN
  1297.40        2500.00       0.584441E-001            NaN   99.4586       0.189452       0.134550                 NaN  0.158958                 NaN            NaN            NaN
  1296.36        2500.00       0.576921E-001            NaN   99.4637       0.133848       0.187048                 NaN  0.157736                 NaN            NaN            NaN
  1295.33        2500.00       0.566111E-001            NaN   99.4698       0.121892       0.188740       0.581188E-002  0.157097                 NaN            NaN            NaN
  1294.29        2500.00       0.340116                 NaN   94.0732       0.578605       0.867631                 NaN  0.820933        3.31951                 NaN            NaN
  1293.26        2500.00        1.07181                 NaN   79.7936        2.64141        1.79369                 NaN   2.58116        12.1183                 NaN            NaN
  1292.22        2500.00       0.921195                 NaN   82.3895        2.27876        1.60657                 NaN   2.25994        10.5441                 NaN            NaN
  1291.18        2500.00       0.800567                 NaN   84.4556        1.98608        1.46161                 NaN   2.00372        9.29246                 NaN            NaN
  1290.15        2500.00       0.705226                 NaN   86.1023        1.75246        1.34269       0.165492E-005   1.79884        8.29843                 NaN            NaN
  1289.11        2500.00       0.628235                 NaN   87.4332        1.56275        1.24724                 NaN   1.63293        7.49562                 NaN            NaN
  1288.07        2500.00       0.565475                 NaN   88.5128        1.40801        1.17040                 NaN   1.49836        6.84495                 NaN            NaN
  1287.04        2500.00       0.513509                 NaN   89.4145        1.27824        1.10586                 NaN   1.38547        6.30242                 NaN            NaN
  1286.00        2500.00       0.469792                 NaN   90.1725        1.05103        1.16874                 NaN   1.29044        5.84755                 NaN            NaN
  1284.97        2500.00       0.432662                 NaN   90.8202        1.07438        1.00413                 NaN   1.20903        5.45958                 NaN            NaN
  1283.93        2500.00       0.400672                 NaN   91.3710       0.992853       0.966292                 NaN   1.13985        5.12938                 NaN            NaN
  1282.89        2500.00       0.378543                 NaN   91.6948       0.930564       0.960359                 NaN   1.10212        4.93357                 NaN            NaN
  1281.86        2500.00       0.359632                 NaN   92.0517       0.907250       0.904493                 NaN   1.05724        4.71965                 NaN            NaN
  1280.82        2500.00       0.339021                 NaN   92.4182       0.869903       0.851371                 NaN   1.00911        4.51242                 NaN            NaN
  1279.78        2500.00       0.315532                 NaN   92.9419       0.843060       0.761368                 NaN  0.939673        4.19852                 NaN            NaN
  1278.75        2500.00       0.344914                 NaN   92.0289       0.839151       0.914719                 NaN   1.06291        4.80938                 NaN            NaN
  1277.71        2500.00       0.515304                 NaN   90.2888       0.819003        1.17542                 NaN   1.30620        5.89525                 NaN            NaN
  1276.68        2500.00                 NaN            NaN   98.7761       0.518018       0.784453E-002            NaN  0.149619       0.548383                 NaN            NaN
  1275.64        2500.00       0.173879                 NaN   94.4778       0.421682       0.894537                 NaN  0.739905        3.29220                 NaN            NaN
  1274.60        2500.00       0.253141                 NaN   93.8327       0.791742       0.608625                 NaN  0.826277        3.68750                 NaN            NaN
  1273.57        2500.00       0.221979                 NaN   94.5759       0.510385       0.724646                 NaN  0.724861        3.24227                 NaN            NaN
  1272.53        2500.00       0.228459                 NaN   94.3535       0.519564       0.757314                 NaN  0.754027        3.38712                 NaN            NaN
  1271.50        2500.00       0.225188                 NaN   94.2898       0.778990       0.509629                 NaN  0.762117        3.43431                 NaN            NaN
  1270.46        2500.00       0.211012                 NaN   94.7864       0.709346       0.458983                 NaN  0.695076        3.13919                 NaN            NaN
  1269.42        2500.00       0.119127                 NaN   97.3920       0.305288       0.263468                 NaN  0.360912        1.55922                 NaN            NaN
  1268.39        2500.00       0.287511                 NaN   92.0732        1.23224       0.556401                 NaN   1.04201        4.80866                 NaN            NaN
  1267.35        2500.00       0.192663                 NaN   95.0103       0.707146       0.407790                 NaN  0.665850        3.01628                 NaN            NaN
  1266.31        2500.00       0.139635                 NaN   98.4517       0.726275E-001            NaN            NaN  0.289920        1.04610                 NaN            NaN
  1265.28        2500.00       0.362092                 NaN   90.8610        1.46888       0.800667                 NaN   1.14797        5.35942                 NaN            NaN
  1264.24        2500.00       0.737833E-001            NaN   96.4242       0.756782                 NaN            NaN  0.435223        2.30999                 NaN            NaN
  1263.21        2500.00       0.139266                 NaN   96.1973       0.720115       0.109775                 NaN  0.532708        2.30087                 NaN            NaN
  1262.17        2500.00       0.176267                 NaN   95.4839       0.345860       0.643220                 NaN  0.593576        2.75714                 NaN            NaN
  1261.13        2500.00       0.156018       0.455712E-001   95.7043       0.671091       0.395212                 NaN  0.661117        2.36671                 NaN            NaN
  1260.10        2500.00       0.858460E-001            NaN   96.7128       0.177576       0.412315                 NaN  0.345460        2.26601                 NaN            NaN
  1259.06        2500.00       0.147661                 NaN   96.2718       0.529983       0.272054                 NaN  0.497575        2.28096                 NaN            NaN
  1258.02        2500.00       0.140015                 NaN   96.4814       0.253435       0.504680                 NaN  0.469194        2.15126                 NaN            NaN
  1256.99        2500.00       0.154952                 NaN   96.9564       0.199044       0.376290                 NaN  0.401022        1.91231                 NaN            NaN
  1255.95        2500.00       0.182344                 NaN   94.7442       0.133228        1.03754                 NaN  0.708221        3.19447                 NaN            NaN
  1254.92        2500.00       0.856032E-001            NaN   98.2920       0.668751E-001  0.285776                 NaN  0.218982        1.05078                 NaN            NaN
  1253.88        2500.00       0.105089                 NaN   97.2451       0.152131       0.453699                 NaN  0.373820        1.67018                 NaN            NaN
  1252.84        2500.00                 NaN            NaN   95.0019       0.819072       0.312579                 NaN  0.645413        3.09270       0.128350                 NaN
  1251.81        2500.00       0.987155E-001            NaN   98.8076       0.261756       0.123674                 NaN  0.260634       0.447580                 NaN            NaN
  1250.77        2500.00       0.831240E-001            NaN   97.2309       0.120414       0.388153                 NaN  0.250216        1.92718                 NaN            NaN
  1249.73        2500.00       0.112957                 NaN   97.4310       0.506569                 NaN            NaN  0.278204        1.67126                 NaN            NaN
  1248.70        2500.00       0.227781E-001            NaN   97.4327       0.606213                 NaN            NaN  0.425924        1.49481       0.176074E-001            NaN
  1247.66        2500.00       0.115713E-001            NaN   98.0335       0.638115E-001  0.460733                 NaN  0.315938        1.06684       0.476400E-001            NaN
  1246.63        2500.00       0.141134                 NaN   96.9201       0.183089       0.332456                 NaN  0.349741        2.06639       0.709760E-002            NaN
  1245.59        2500.00       0.131921E-001            NaN   97.6944       0.538022                 NaN            NaN  0.314890        1.40640       0.331075E-001            NaN
  1244.55        2500.00                 NaN            NaN   97.3739       0.129557       0.500058                 NaN  0.341983        1.59930       0.551590E-001            NaN
  1243.52        2500.00                 NaN            NaN   97.6411       0.794503E-001  0.514060                 NaN  0.310444        1.40827       0.466327E-001            NaN
  1242.48        2500.00                 NaN            NaN   97.9313       0.323327                 NaN            NaN  0.238409        1.44734       0.595851E-001            NaN
  1241.44        2500.00       0.102978                 NaN   97.6114       0.627249                 NaN            NaN  0.343899        1.31452                 NaN            NaN
  1240.41        2500.00                 NaN            NaN   97.9904       0.443565                 NaN            NaN  0.274146        1.24818       0.437050E-001            NaN
  1239.37        2500.00                 NaN            NaN   97.8733       0.795750E-001  0.461280                 NaN  0.272296        1.27519       0.383630E-001            NaN
  1238.34        2500.00       0.826457E-001            NaN   96.1001       0.901728                 NaN            NaN  0.470414        2.42614       0.189937E-001            NaN
  1237.30        2500.00                 NaN            NaN   99.2621       0.208758                 NaN            NaN  0.121668       0.343563       0.639509E-001            NaN
  1236.26        2500.00                 NaN            NaN   98.5526       0.330371                 NaN            NaN  0.182317       0.911190       0.235585E-001            NaN
  1235.23        2500.00                 NaN            NaN   98.0480       0.445469                 NaN            NaN  0.260845        1.21092       0.347561E-001            NaN
  1234.19        2500.00                 NaN            NaN   98.4232       0.430820                 NaN            NaN  0.247159       0.864169       0.346744E-001            NaN
  1233.15        2500.00                 NaN            NaN   98.0926       0.159336       0.237414                 NaN  0.204275        1.27390       0.325105E-001            NaN
  1232.12        2500.00                 NaN            NaN   98.4116       0.341240                 NaN            NaN  0.213388        1.00223       0.315215E-001            NaN
  1231.08        2500.00                 NaN            NaN   98.6138       0.480774E-002  0.388575                 NaN  0.221183       0.739723       0.318992E-001            NaN
  1230.05        2500.00                 NaN            NaN   97.8929       0.410106                 NaN            NaN  0.273470        1.39527       0.282998E-001            NaN
  1229.01        2500.00                 NaN            NaN   98.4033       0.243627                 NaN            NaN  0.182022        1.13886       0.321982E-001            NaN
  1227.97        2500.00                 NaN            NaN   98.7767       0.452169       0.112261E-001            NaN  0.155694       0.590053       0.141410E-001            NaN
  1226.94        2500.00                 NaN            NaN   98.1572       0.288085                 NaN            NaN  0.237181        1.27993       0.376334E-001            NaN
  1225.90        2500.00                 NaN            NaN   99.0609       0.436505       0.258223E-001            NaN  0.172679       0.284170       0.199703E-001            NaN
  1224.86        2500.00                 NaN            NaN   98.3493       0.253206       0.680275E-001            NaN  0.162792        1.14700       0.197027E-001            NaN
  1223.83        2500.00                 NaN            NaN   79.8849       0.303419E-001   2.43679                 NaN   1.76047        9.52720       0.158706        6.20157     
  1222.79        2500.00        1.10557                 NaN            NaN   2.05549        8.85359                 NaN   8.51347        46.7611       0.352350        32.3585     
  1221.76        2500.00       0.684745                 NaN            NaN   10.0240        1.56797                 NaN   8.57985        46.6599       0.476375        32.0072     
  1220.72        2500.00       0.463718                 NaN            NaN   10.7360        1.20473                 NaN   8.61126        46.6197       0.543344        31.8212     
  1219.68        2500.00       0.297339                 NaN            NaN   11.1580        1.04760                 NaN   8.63602        46.5872       0.593051        31.6807     
  1218.65        2500.00                 NaN            NaN            NaN   12.6853                 NaN            NaN   8.68723        46.5204       0.679842        31.4273     
  1217.61        2500.00                 NaN            NaN            NaN  0.846476E-002   12.6770                 NaN   8.69149        46.5160       0.679509        31.4275     
  1216.57        2500.00                 NaN            NaN            NaN   12.6226       0.626125E-001            NaN   8.69480        46.5126       0.679365        31.4280     
  1215.54        2500.00                 NaN            NaN            NaN   11.8888       0.771252                 NaN   8.68051        46.5460       0.684990        31.4284     
  1214.50        2500.00                 NaN            NaN            NaN   11.7684       0.887778                 NaN   8.68117        46.5483       0.685651        31.4287     
  1213.47        2500.00                 NaN            NaN            NaN   11.6617       0.990956                 NaN   8.68187        46.5502       0.686236        31.4290     
  1212.43        2500.00                 NaN            NaN            NaN   11.5658        1.08372                 NaN   8.68257        46.5518       0.686765        31.4294     
  1211.39        2500.00                 NaN            NaN            NaN   11.4798        1.16683                 NaN   8.68331        46.5531       0.687232        31.4298     
  1210.36        2500.00                 NaN            NaN            NaN  0.454067        12.2275                 NaN   8.71246        46.4957       0.679072        31.4312     
  1209.32        2500.00                 NaN            NaN            NaN   12.1744       0.507036                 NaN   8.71583        46.4919       0.678875        31.4319     
  1208.28        2500.00                 NaN            NaN            NaN   12.0896       0.590354                 NaN   8.71792        46.4905       0.679092        31.4325     
  1207.25        2500.00                 NaN            NaN            NaN   11.4771        1.17855                 NaN   8.70671        46.5202       0.685173        31.4323     
  1206.21        2500.00                 NaN            NaN            NaN   11.4441        1.21063                 NaN   8.70991        46.5176       0.685205        31.4326     
  1205.18        2500.00                 NaN            NaN            NaN   12.0649       0.616484                 NaN   8.72951        46.4773       0.678130        31.4337     
  1204.14        2500.00                 NaN            NaN            NaN   11.3858        1.26723                 NaN   8.71645        46.5120       0.685191        31.4333     
  1203.10        2500.00                 NaN            NaN            NaN   11.3610        1.29131                 NaN   8.72008        46.5090       0.685147        31.4335     
  1202.07        2500.00                 NaN            NaN            NaN   1.03526        11.6386                 NaN   8.73034        46.4787       0.679828        31.4373     
  1201.03        2500.00                 NaN            NaN            NaN   9.59441        3.04343                 NaN   8.70725        46.5539       0.684540        31.4164     
  1199.99        2500.00                 NaN            NaN            NaN   10.0905        2.54484                 NaN   8.71420        46.5512       0.684468        31.4148     
  1198.96        2500.00                 NaN            NaN            NaN   10.5919        2.04401                 NaN   8.71835        46.5479       0.683513        31.4142     
  1197.92        2500.00                 NaN            NaN            NaN   11.0418        1.59494                 NaN   8.72279        46.5442       0.682559        31.4137     
  1196.89        2500.00                 NaN            NaN            NaN   11.4514        1.18615                 NaN   8.72749        46.5401       0.681599        31.4133     
  1195.85        2500.00                 NaN            NaN            NaN   11.8280       0.810402                 NaN   8.73243        46.5357       0.680631        31.4128     
  1194.81        2500.00                 NaN            NaN            NaN   12.1767       0.462695                 NaN   8.73760        46.5309       0.679655        31.4124     
  1193.78        2500.00                 NaN            NaN            NaN   12.5011       0.139341                 NaN   8.74299        46.5259       0.678671        31.4121     
  1192.74        2500.00                 NaN            NaN            NaN   12.4250       0.210629                 NaN   8.76163        46.5069       0.681473        31.4143     
  1191.70        2500.00                 NaN            NaN            NaN   1.02950        11.6416                 NaN   8.76698        46.4450       0.677558        31.4393     
  1190.67        2500.00                 NaN            NaN            NaN   12.0641       0.588907                 NaN   8.77161        46.4710       0.678834        31.4255     
  1189.63        2500.00                 NaN            NaN            NaN   12.0956       0.549309                 NaN   8.77207        46.4812       0.679665        31.4221     
  1188.60        2500.00                 NaN            NaN            NaN   11.5176        1.15993                 NaN   8.77955        46.4241       0.676065        31.4428     
  1187.56        2500.00                 NaN            NaN            NaN   11.9498       0.692836                 NaN   8.77592        46.4781       0.679819        31.4235     
  1186.52        2500.00                 NaN            NaN            NaN   11.7947       0.845145                 NaN   8.77607        46.4786       0.680559        31.4249     
  1185.49        2500.00                 NaN            NaN            NaN   11.7698       0.861903                 NaN   8.77598        46.4882       0.681693        31.4225     
  1184.45        2500.00                 NaN            NaN            NaN   11.7842       0.834420                 NaN   8.77456        46.5051       0.683517        31.4181     
  1183.41        2500.00                 NaN            NaN            NaN   11.6931       0.921615                 NaN   8.77393        46.5089       0.684205        31.4182     
  1182.38        2500.00                 NaN            NaN            NaN   11.6082        1.00372                 NaN   8.77495        46.5094       0.684822        31.4190     
