|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/ALH/ALH_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1445.05        500.000        99.2198                 NaN  0.974516E-005  0.463605       0.316537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        500.000        99.2259                 NaN  0.674213E-005  0.460164       0.313894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.45        500.000        99.2341                 NaN  0.691396E-005  0.310136       0.455743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.15        500.000        99.2372                 NaN            NaN  0.308993       0.453831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.85        500.000        99.2453                 NaN  0.280528E-005  0.305909       0.448837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.55        500.000        99.2502                 NaN            NaN  0.446291       0.303525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        500.000        99.2555                 NaN            NaN  0.301364       0.443172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.94        500.000        99.2608                 NaN            NaN  0.440051       0.299149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.64        500.000        99.2672                 NaN  0.248692E-005  0.296515       0.436305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.34        500.000        99.2719                 NaN  0.876062E-005  0.294186       0.433949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.04        500.000        99.2773                 NaN  0.821931E-005  0.292297       0.430408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.74        500.000        99.2837                 NaN  0.453220E-005  0.289414       0.426931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2885                 NaN  0.579487E-005  0.287432       0.424042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.14        500.000        99.2931                 NaN  0.728494E-005  0.421310       0.285567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.84        500.000        99.2980                 NaN  0.489849E-005  0.283436       0.418525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.53        500.000        99.3034                 NaN            NaN  0.415390       0.281246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.23        500.000        99.5160                 NaN            NaN  0.195008       0.288973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.93        500.000        99.1010                 NaN            NaN  0.535461       0.363565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.63        500.000        99.3202                 NaN  0.531708E-005  0.274303       0.405463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.33        500.000        99.3232                 NaN  0.615241E-005  0.404084       0.272702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.03        500.000        99.3274                 NaN  0.605978E-005  0.401451       0.271134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.3323                 NaN            NaN  0.269031       0.398716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.43        500.000        99.3369                 NaN            NaN  0.395953       0.267181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.12        500.000        99.3411                 NaN            NaN  0.265389       0.393498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.82        500.000        99.3453                 NaN            NaN  0.263453       0.391267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.52        500.000        99.3496                 NaN            NaN  0.388728       0.261636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.22        500.000        99.3542                 NaN            NaN  0.386171       0.259602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.92        500.000        99.3586                 NaN            NaN  0.383593       0.257836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.62        500.000        99.4984                 NaN            NaN  0.300352       0.201286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.32        500.000        99.2294                 NaN            NaN  0.309827       0.460812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.01        500.000        99.3708                 NaN            NaN  0.376579       0.252583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.71        500.000        99.3744                 NaN            NaN  0.250839       0.374730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.41        500.000        98.6080                 NaN            NaN  0.556747       0.440445                 NaN  0.394767                 NaN            NaN            NaN            NaN            NaN
  1402.11        500.000        98.5097                 NaN            NaN  0.595806       0.444074                 NaN  0.450406                 NaN            NaN            NaN            NaN            NaN
  1400.81        500.000        98.5293                 NaN            NaN  0.587893       0.438469                 NaN  0.444361                 NaN            NaN            NaN            NaN            NaN
  1399.51        500.000        98.5500                 NaN            NaN  0.579530       0.432415                 NaN  0.438086                 NaN            NaN            NaN            NaN            NaN
  1398.21        500.000        98.5708                 NaN            NaN  0.426175       0.571147                 NaN  0.431850                 NaN            NaN            NaN            NaN            NaN
  1396.91        500.000        98.5907                 NaN            NaN  0.420295       0.563373                 NaN  0.425599                 NaN            NaN            NaN            NaN            NaN
  1395.60        500.000        98.6128                 NaN            NaN  0.413832       0.554680                 NaN  0.418671                 NaN            NaN            NaN            NaN            NaN
  1394.30        500.000        98.6279                 NaN            NaN  0.409359       0.548513                 NaN  0.414205                 NaN            NaN            NaN            NaN            NaN
  1393.00        500.000        98.6504                 NaN            NaN  0.539873       0.402666                 NaN  0.407034                 NaN            NaN            NaN            NaN            NaN
  1391.70        500.000        98.6665                 NaN            NaN  0.397947       0.533472                 NaN  0.402065                 NaN            NaN            NaN            NaN            NaN
  1390.40        500.000        98.6848                 NaN            NaN  0.392237       0.526446                 NaN  0.396533                 NaN            NaN            NaN            NaN            NaN
  1389.10        500.000        98.7024                 NaN            NaN  0.519546       0.386997                 NaN  0.391023                 NaN            NaN            NaN            NaN            NaN
  1387.80        500.000        98.7182                 NaN            NaN  0.382331       0.513514                 NaN  0.385983                 NaN            NaN            NaN            NaN            NaN
  1386.49        500.000        98.7359                 NaN            NaN  0.506475       0.376853                 NaN  0.380777                 NaN            NaN            NaN            NaN            NaN
  1385.19        500.000        98.7526                 NaN            NaN  0.371685       0.500131                 NaN  0.375559                 NaN            NaN            NaN            NaN            NaN
  1383.89        500.000        98.7655                 NaN            NaN  0.367862       0.495367                 NaN  0.371273                 NaN            NaN            NaN            NaN            NaN
  1382.59        500.000        98.7824                 NaN            NaN  0.488647       0.362807                 NaN  0.366113                 NaN            NaN            NaN            NaN            NaN
  1381.29        500.000        98.7968                 NaN            NaN  0.358553       0.483049                 NaN  0.361610                 NaN            NaN            NaN            NaN            NaN
  1379.99        500.000        98.8123                 NaN            NaN  0.477193       0.353733                 NaN  0.356746                 NaN            NaN            NaN            NaN            NaN
  1378.69        500.000        98.8263                 NaN            NaN  0.349423       0.471869                 NaN  0.352446                 NaN            NaN            NaN            NaN            NaN
  1377.39        500.000        98.8403                 NaN            NaN  0.345334       0.466403                 NaN  0.348002                 NaN            NaN            NaN            NaN            NaN
  1376.08        500.000        98.8537                 NaN            NaN  0.461720       0.340760                 NaN  0.343810                 NaN            NaN            NaN            NaN            NaN
  1374.78        500.000        98.8673                 NaN  0.108143E-005  0.456452       0.336619                 NaN  0.339663                 NaN            NaN            NaN            NaN            NaN
  1373.48        500.000        98.8795                 NaN            NaN  0.333047       0.451807                 NaN  0.335603                 NaN            NaN            NaN            NaN            NaN
  1372.18        500.000        98.8941                 NaN            NaN  0.328602       0.446350                 NaN  0.330945                 NaN            NaN            NaN            NaN            NaN
  1370.88        500.000        98.9057                 NaN            NaN  0.324676       0.442066                 NaN  0.327550                 NaN            NaN            NaN            NaN            NaN
  1369.58        500.000        98.9183                 NaN            NaN  0.321298       0.437017                 NaN  0.323374                 NaN            NaN            NaN            NaN            NaN
  1368.28        500.000        98.9299                 NaN            NaN  0.432718       0.317556                 NaN  0.319822                 NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        98.9408                 NaN            NaN  0.314049       0.428912                 NaN  0.316224                 NaN            NaN            NaN            NaN            NaN
  1365.67        500.000        98.9528                 NaN            NaN  0.424471       0.310284                 NaN  0.312469                 NaN            NaN            NaN            NaN            NaN
  1364.37        500.000        98.9582                 NaN            NaN  0.422435       0.307897                 NaN  0.311503                 NaN            NaN            NaN            NaN            NaN
  1363.07        500.000        98.9819                 NaN            NaN  0.301488       0.413506                 NaN  0.303084                 NaN            NaN            NaN            NaN            NaN
  1361.77        500.000        98.9853                 NaN            NaN  0.412348       0.300305                 NaN  0.302053                 NaN            NaN            NaN            NaN            NaN
  1360.47        500.000        98.9955                 NaN            NaN  0.408872       0.296751                 NaN  0.298920                 NaN            NaN            NaN            NaN            NaN
  1359.17        500.000        99.0054                 NaN            NaN  0.405029       0.293646                 NaN  0.295935                 NaN            NaN            NaN            NaN            NaN
  1357.87        500.000        99.0169                 NaN            NaN  0.289890       0.401190                 NaN  0.291981                 NaN            NaN            NaN            NaN            NaN
  1356.56        500.000        99.0257                 NaN  0.255661E-005  0.287165       0.397929                 NaN  0.289157                 NaN            NaN            NaN            NaN            NaN
  1355.26        500.000        99.0345                 NaN            NaN  0.394606       0.284394                 NaN  0.286534                 NaN            NaN            NaN            NaN            NaN
  1353.96        500.000        99.0444                 NaN            NaN  0.391158       0.281330                 NaN  0.283144                 NaN            NaN            NaN            NaN            NaN
  1352.66        500.000        99.0536                 NaN            NaN  0.278318       0.387738                 NaN  0.280342                 NaN            NaN            NaN            NaN            NaN
  1351.36        500.000        99.0624                 NaN  0.148477E-004  0.384607       0.275497                 NaN  0.277439                 NaN            NaN            NaN            NaN            NaN
  1350.06        500.000        99.0730                 NaN  0.439710E-001  0.286963       0.312593                 NaN  0.283479                 NaN            NaN            NaN            NaN            NaN
  1348.76        500.000        99.0761                 NaN  0.155175       0.138771       0.323332                 NaN  0.306633                 NaN            NaN            NaN            NaN            NaN
  1347.45        500.000        98.1931                 NaN  0.277798       0.323708       0.613214                 NaN  0.591172       0.959018E-003            NaN            NaN            NaN            NaN
  1346.15        500.000        99.9982                 NaN  0.918463E-004  0.167696E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.85        500.000        99.1425                 NaN  0.168960       0.313497       0.844059E-001            NaN  0.290631                 NaN            NaN            NaN            NaN            NaN
  1343.55        500.000        99.1238                 NaN  0.151282       0.125415       0.309268                 NaN  0.290205                 NaN            NaN            NaN            NaN            NaN
  1342.25        500.000        99.1332                 NaN  0.151332       0.306835       0.121327                 NaN  0.287346                 NaN            NaN            NaN            NaN            NaN
  1340.95        500.000        99.1416                 NaN  0.151146       0.118050       0.304709                 NaN  0.284543                 NaN            NaN            NaN            NaN            NaN
  1339.65        500.000        99.1492                 NaN  0.151508       0.113168       0.303880                 NaN  0.282214                 NaN            NaN            NaN            NaN            NaN
  1338.35        500.000        99.1590                 NaN  0.150668       0.299921       0.111530                 NaN  0.278916                 NaN            NaN            NaN            NaN            NaN
  1337.04        500.000        98.5141                 NaN  0.258775       0.226019       0.512260                 NaN  0.488832                 NaN            NaN            NaN            NaN            NaN
  1335.74        500.000        99.8333                 NaN  0.422403E-001  0.673924E-001            NaN            NaN  0.570891E-001            NaN            NaN            NaN            NaN            NaN
  1334.44        500.000        99.1823                 NaN  0.148381       0.292982       0.105418                 NaN  0.270907                 NaN            NaN            NaN            NaN            NaN
  1333.14        500.000        99.1910                 NaN  0.149825       0.988274E-001  0.291846                 NaN  0.268501                 NaN            NaN            NaN            NaN            NaN
  1331.84        500.000        99.1981                 NaN  0.149155       0.969226E-001  0.289825                 NaN  0.266038                 NaN            NaN            NaN            NaN            NaN
  1330.54        500.000        99.2057                 NaN  0.149139       0.287930       0.936116E-001            NaN  0.263664                 NaN            NaN            NaN            NaN            NaN
  1329.24        500.000        99.2127                 NaN  0.148704       0.286174       0.910268E-001            NaN  0.261351                 NaN            NaN            NaN            NaN            NaN
  1327.93        500.000        99.2219                 NaN  0.147696       0.888190E-001  0.283463                 NaN  0.258092                 NaN            NaN            NaN            NaN            NaN
  1326.63        500.000        99.2284                 NaN  0.147023       0.872734E-001  0.281429                 NaN  0.255856                 NaN            NaN            NaN            NaN            NaN
  1325.33        500.000        99.2350                 NaN  0.146560       0.279664       0.850828E-001            NaN  0.253682                 NaN            NaN            NaN            NaN            NaN
  1324.03        500.000        99.2418                 NaN  0.145804       0.835101E-001  0.277581                 NaN  0.251303                 NaN            NaN            NaN            NaN            NaN
  1322.73        500.000        99.2485                 NaN  0.145149       0.275711       0.815855E-001            NaN  0.249019                 NaN            NaN            NaN            NaN            NaN
  1321.43        500.000        99.2552                 NaN  0.144090       0.273778       0.803123E-001            NaN  0.246643                 NaN            NaN            NaN            NaN            NaN
  1320.13        500.000        99.2620                 NaN  0.143337       0.271612       0.787581E-001            NaN  0.244294                 NaN            NaN            NaN            NaN            NaN
  1318.83        500.000        99.2677                 NaN  0.142432       0.270163       0.774544E-001            NaN  0.242220                 NaN            NaN            NaN            NaN            NaN
  1317.52        500.000        99.2677                 NaN  0.142158       0.743691E-001  0.270995                 NaN  0.242521       0.221354E-002            NaN            NaN            NaN            NaN
  1316.22        500.000        99.2282                 NaN  0.993266E-001  0.281417       0.111522                 NaN  0.245828       0.337133E-001            NaN            NaN            NaN            NaN
  1314.92        500.000        99.1871                 NaN  0.730109E-001  0.126671       0.299686                 NaN  0.253614       0.599133E-001            NaN            NaN            NaN            NaN
  1313.62        500.000        99.1865                 NaN  0.667206E-001  0.128071       0.301587                 NaN  0.252637       0.645286E-001            NaN            NaN            NaN            NaN
  1312.32        500.000        99.1832                 NaN  0.584143E-001  0.131312       0.305558                 NaN  0.251648       0.698360E-001            NaN            NaN            NaN            NaN
  1311.02        500.000        99.1835                 NaN  0.538262E-001  0.129025       0.309086                 NaN  0.250511       0.740796E-001            NaN            NaN            NaN            NaN
  1309.72        500.000        99.1865                 NaN  0.493992E-001  0.129368       0.309549                 NaN  0.248767       0.764443E-001            NaN            NaN            NaN            NaN
  1308.41        500.000        99.1917                 NaN  0.459456E-001  0.308754       0.129127                 NaN  0.246584       0.778834E-001            NaN            NaN            NaN            NaN
  1307.11        500.000        99.1991                 NaN  0.440045E-001  0.128842       0.305804                 NaN  0.244255       0.779749E-001            NaN            NaN            NaN            NaN
  1305.81        500.000        99.2124                 NaN  0.128724       0.330704                 NaN            NaN  0.255875       0.722924E-001            NaN            NaN            NaN            NaN
  1304.51        500.000        99.2165                 NaN  0.224420E-005  0.172862       0.296365                 NaN  0.231021       0.832802E-001            NaN            NaN            NaN            NaN
  1303.21        500.000        99.2121                 NaN  0.919626E-006  0.286565       0.186911                 NaN  0.232418       0.819941E-001            NaN            NaN            NaN            NaN
  1301.91        500.000        99.2263                 NaN  0.210722E-001  0.291504       0.149085                 NaN  0.232300       0.797316E-001            NaN            NaN            NaN            NaN
  1300.61        500.000        99.2392                 NaN  0.341449E-001  0.293254       0.124333                 NaN  0.231024       0.780437E-001            NaN            NaN            NaN            NaN
  1299.31        500.000        99.2480                 NaN  0.327786E-001  0.290050       0.123388                 NaN  0.228290       0.774648E-001            NaN            NaN            NaN            NaN
  1298.00        500.000        99.2522                 NaN  0.297463E-001  0.288711       0.125476                 NaN  0.226472       0.773505E-001            NaN            NaN            NaN            NaN
  1296.70        500.000        99.2643                 NaN  0.306378E-001  0.282683       0.122527                 NaN  0.223783       0.760721E-001            NaN            NaN            NaN            NaN
  1295.40        500.000        99.2775                 NaN  0.289830E-001  0.278562       0.121159                 NaN  0.219025       0.748213E-001            NaN            NaN            NaN            NaN
  1294.10        500.000        99.2848                 NaN  0.283262E-001  0.121844       0.273998                 NaN  0.217339       0.737064E-001            NaN            NaN            NaN            NaN
  1292.80        500.000        99.2935                 NaN  0.273719E-001  0.270540       0.120910                 NaN  0.214718       0.729109E-001            NaN            NaN            NaN            NaN
  1291.50        500.000        99.3023                 NaN  0.258848E-001  0.265947       0.121665                 NaN  0.212147       0.720146E-001            NaN            NaN            NaN            NaN
  1290.20        500.000        99.3110                 NaN  0.259304E-001  0.263340       0.119053                 NaN  0.209673       0.710334E-001            NaN            NaN            NaN            NaN
  1288.89        500.000        99.3200                 NaN  0.251615E-001  0.258721       0.119201                 NaN  0.207038       0.698953E-001            NaN            NaN            NaN            NaN
  1287.59        500.000        99.3273                 NaN  0.207908E-001  0.124244       0.254037                 NaN  0.204290       0.693714E-001            NaN            NaN            NaN            NaN
  1286.29        500.000        99.3359                 NaN  0.214964E-001  0.121519       0.250868                 NaN  0.202038       0.682233E-001            NaN            NaN            NaN            NaN
  1284.99        500.000        99.3439                 NaN  0.201681E-001  0.122404       0.246666                 NaN  0.199601       0.672263E-001            NaN            NaN            NaN            NaN
  1283.69        500.000        99.3522                 NaN  0.191938E-001  0.122302       0.242868                 NaN  0.197153       0.663046E-001            NaN            NaN            NaN            NaN
  1282.39        500.000        99.3600                 NaN  0.179978E-001  0.238977       0.122815                 NaN  0.194806       0.653590E-001            NaN            NaN            NaN            NaN
  1281.09        500.000        99.3678                 NaN  0.167708E-001  0.235150       0.123417                 NaN  0.192449       0.644326E-001            NaN            NaN            NaN            NaN
  1279.79        500.000        99.3751                 NaN  0.155339E-001  0.123841       0.231720                 NaN  0.190223       0.636190E-001            NaN            NaN            NaN            NaN
  1278.48        500.000        99.3833                 NaN  0.146564E-001  0.227554       0.124002                 NaN  0.187838       0.626673E-001            NaN            NaN            NaN            NaN
  1277.18        500.000        99.3905                 NaN  0.132403E-001  0.125494       0.223446                 NaN  0.185655       0.616514E-001            NaN            NaN            NaN            NaN
  1275.88        500.000        99.3958                 NaN  0.929073E-002  0.217392       0.133175                 NaN  0.183815       0.605465E-001            NaN            NaN            NaN            NaN
  1274.58        500.000        99.4066                 NaN  0.150956E-001  0.118088       0.219110                 NaN  0.181184       0.599288E-001            NaN            NaN            NaN            NaN
  1273.28        500.000        99.4106                 NaN  0.709938E-002  0.211399       0.132459                 NaN  0.179144       0.593050E-001            NaN            NaN            NaN            NaN
  1271.98        500.000        99.3705                 NaN  0.670640E-002  0.213243       0.136578                 NaN  0.182599       0.603253E-001            NaN  0.300952E-001            NaN            NaN
  1270.68        500.000        87.3873                 NaN  0.172582E-005   1.53228        1.36755                 NaN   1.57708       0.531345                 NaN   7.60447                 NaN            NaN
  1269.37        500.000        89.1358                 NaN            NaN   1.31971        1.18864                 NaN   1.36879       0.455533                 NaN   6.53153                 NaN            NaN
  1268.07        500.000        90.4632                 NaN            NaN   1.15930        1.05012                 NaN   1.20997       0.398787                 NaN   5.71866                 NaN            NaN
  1266.77        500.000        91.5049                 NaN            NaN   1.03453       0.938330                 NaN   1.08473       0.355073                 NaN   5.08244                 NaN            NaN
  1265.47        500.000        92.3470                 NaN  0.711408E-006  0.934035       0.845908                 NaN  0.982897       0.320200                 NaN   4.56999                 NaN            NaN
  1264.17        500.000        93.0394                 NaN            NaN  0.852578       0.767544                 NaN  0.898800       0.292039                 NaN   4.14961                 NaN            NaN
  1262.87        500.000        93.6166                 NaN            NaN  0.701447       0.784625                 NaN  0.828245       0.268785                 NaN   3.80032                 NaN            NaN
  1261.57        500.000        94.1045                 NaN            NaN  0.644353       0.727821                 NaN  0.768420       0.249278                 NaN   3.50563                 NaN            NaN
  1260.27        500.000        94.5203                 NaN            NaN  0.679513       0.595191                 NaN  0.717194       0.232925                 NaN   3.25492                 NaN            NaN
  1258.96        500.000        94.8961                 NaN            NaN  0.636647       0.549555                 NaN  0.670445       0.217991                 NaN   3.02925                 NaN            NaN
  1257.66        500.000        95.2096                 NaN            NaN  0.511211       0.600392                 NaN  0.631365       0.205854                 NaN   2.84158                 NaN            NaN
  1256.36        500.000        95.4940                 NaN            NaN  0.567814       0.475971                 NaN  0.595664       0.194715                 NaN   2.67186                 NaN            NaN
  1255.06        500.000        95.7449                 NaN            NaN  0.538843       0.445177                 NaN  0.563947       0.184855                 NaN   2.52226                 NaN            NaN
  1253.76        500.000        95.9716                 NaN            NaN  0.513634       0.415835                 NaN  0.535136       0.176179                 NaN   2.38757                 NaN            NaN
