|6.6.6
Archiving\03_Data\frac/QFM_m5/Y98/Y98_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          20
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1942.36        2500.00        96.3003                 NaN            NaN            NaN  0.971711        2.70412       0.238505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        96.2812                 NaN            NaN            NaN  0.971764        2.72314       0.238518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        96.2656                 NaN            NaN            NaN  0.971807        2.73875       0.238528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        96.2429                 NaN            NaN            NaN  0.971870        2.76135       0.238544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        96.2237                 NaN            NaN            NaN  0.971922        2.78047       0.238557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        96.2050                 NaN            NaN            NaN  0.971974        2.79921       0.238569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        96.1861                 NaN            NaN            NaN  0.972026        2.81802       0.238582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        96.1672                 NaN            NaN            NaN  0.972078        2.83682       0.238595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        96.1486                 NaN            NaN            NaN  0.972130        2.85543       0.238608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        96.1299                 NaN            NaN            NaN  0.972181        2.87403       0.238620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        96.1113                 NaN            NaN            NaN  0.972233        2.89260       0.238633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        96.0929                 NaN            NaN            NaN  0.972283        2.91096       0.238645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        96.0745                 NaN            NaN            NaN  0.972334        2.92932       0.238658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        96.0561                 NaN            NaN            NaN  0.972385        2.94762       0.238670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        96.0379                 NaN            NaN            NaN  0.972435        2.96582       0.238682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        96.0197                 NaN            NaN            NaN  0.972485        2.98397       0.238695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        96.0016                 NaN            NaN            NaN  0.972535        3.00198       0.238707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        95.9836                 NaN            NaN            NaN  0.972585        3.01995       0.238719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        95.9656                 NaN            NaN            NaN  0.972634        3.03785       0.238731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        95.9478                 NaN            NaN            NaN  0.972684        3.05567       0.238743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        95.9300                 NaN            NaN            NaN  0.972733        3.07342       0.238756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        95.9123                 NaN            NaN            NaN  0.972781        3.09108       0.238767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        95.8945                 NaN            NaN            NaN  0.972830        3.10877       0.238780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        95.8770                 NaN            NaN            NaN  0.972879        3.12620       0.238791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        95.8596                 NaN            NaN            NaN  0.972927        3.14363       0.238803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        95.8422                 NaN            NaN            NaN  0.972975        3.16099       0.238815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        95.8248                 NaN            NaN            NaN  0.973023        3.17829       0.238827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        95.8076                 NaN            NaN            NaN  0.973070        3.19549       0.238838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        95.7904                 NaN            NaN            NaN  0.973118        3.21264       0.238850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        95.7733                 NaN            NaN            NaN  0.973165        3.22969       0.238862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        95.7562                 NaN            NaN            NaN  0.973212        3.24670       0.238873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        95.7393                 NaN            NaN            NaN  0.973258        3.26360       0.238885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        95.7223                 NaN            NaN            NaN  0.973305        3.28046       0.238896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        95.7056                 NaN            NaN            NaN  0.973351        3.29721       0.238907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        95.7799                 NaN            NaN            NaN  0.973146        3.22306       0.238857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        95.6722                 NaN            NaN            NaN  0.973443        3.33048       0.238930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        95.6556                 NaN            NaN            NaN  0.973489        3.34700       0.238941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        95.6391                 NaN            NaN            NaN  0.973534        3.36346       0.238952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        95.6227                 NaN            NaN            NaN  0.973580        3.37985       0.238963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        95.6063                 NaN            NaN            NaN  0.973625        3.39617       0.238974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        95.5900                 NaN            NaN            NaN  0.973670        3.41239       0.238985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        95.5738                 NaN            NaN            NaN  0.973714        3.42857       0.238996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        95.5577                 NaN            NaN            NaN  0.973759        3.44463       0.239007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        95.5417                 NaN            NaN            NaN  0.973803        3.46064       0.239018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        95.5255                 NaN            NaN            NaN  0.973848        3.47678       0.239029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        95.5098                 NaN            NaN            NaN  0.973891        3.49244       0.239040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        95.4939                 NaN            NaN            NaN  0.973934        3.50824       0.239050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        95.4782                 NaN            NaN            NaN  0.973978        3.52394       0.239061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        95.4625                 NaN            NaN            NaN  0.974021        3.53958       0.239072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        95.4469                 NaN            NaN            NaN  0.974064        3.55514       0.239082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        95.4314                 NaN            NaN            NaN  0.974107        3.57062       0.239093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        95.4131                 NaN            NaN            NaN  0.974157        3.58880       0.239105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        95.4005                 NaN            NaN            NaN  0.974192        3.60138       0.239114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        95.3852                 NaN            NaN            NaN  0.974234        3.61665       0.239124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        95.3700                 NaN            NaN            NaN  0.974276        3.63186       0.239134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        95.3548                 NaN            NaN            NaN  0.974318        3.64695       0.239145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        95.3357                 NaN            NaN            NaN  0.974370        3.66599       0.239157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        95.3247                 NaN            NaN            NaN  0.974400        3.67699       0.239165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        95.3098                 NaN            NaN            NaN  0.974442        3.69187       0.239175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        95.2949                 NaN            NaN            NaN  0.974483        3.70672       0.239185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        95.2801                 NaN            NaN            NaN  0.974523        3.72145       0.239195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        95.2654                 NaN            NaN            NaN  0.974564        3.73611       0.239205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        95.2507                 NaN            NaN            NaN  0.974604        3.75075       0.239215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        95.2399                 NaN            NaN            NaN  0.974634        3.76156       0.239222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        95.2217                 NaN            NaN            NaN  0.974684        3.77971       0.239234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        95.2072                 NaN            NaN            NaN  0.974724        3.79411       0.239244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        95.1929                 NaN            NaN            NaN  0.974763        3.80840       0.239254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        95.1786                 NaN            NaN            NaN  0.974802        3.82263       0.239264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        95.1644                 NaN            NaN            NaN  0.974842        3.83680       0.239273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        95.1503                 NaN            NaN            NaN  0.974880        3.85087       0.239283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        95.1363                 NaN            NaN            NaN  0.974919        3.86489       0.239292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        95.1223                 NaN            NaN            NaN  0.974958        3.87883       0.239302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        95.1089                 NaN            NaN            NaN  0.974994        3.89219       0.239311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        95.0945                 NaN            NaN            NaN  0.975034        3.90649       0.239320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        95.0808                 NaN            NaN            NaN  0.975072        3.92021       0.239330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        95.0671                 NaN            NaN            NaN  0.975109        3.93386       0.239339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        95.0535                 NaN            NaN            NaN  0.975147        3.94743       0.239348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        95.0399                 NaN            NaN            NaN  0.975184        3.96093       0.239357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        95.0265                 NaN            NaN            NaN  0.975221        3.97437       0.239366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        95.0131                 NaN            NaN            NaN  0.975258        3.98771       0.239375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        94.9998                 NaN            NaN            NaN  0.975294        4.00099       0.239384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        94.9865                 NaN            NaN            NaN  0.975331        4.01421       0.239393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        94.9734                 NaN            NaN            NaN  0.975367        4.02734       0.239402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        94.9602                 NaN            NaN            NaN  0.975403        4.04043       0.239411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        94.9472                 NaN            NaN            NaN  0.975439        4.05341       0.239420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        94.9343                 NaN            NaN            NaN  0.975474        4.06630       0.239428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        94.9214                 NaN            NaN            NaN  0.975510        4.07914       0.239437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        94.9086                 NaN            NaN            NaN  0.975545        4.09192       0.239446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        94.9159                 NaN            NaN            NaN  0.975525        4.08465       0.239441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        94.8831                 NaN            NaN            NaN  0.975615        4.11731       0.239463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        94.8706                 NaN            NaN            NaN  0.975649        4.12980       0.239471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        94.8581                 NaN            NaN            NaN  0.975684        4.14226       0.239480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        94.8457                 NaN            NaN            NaN  0.975718        4.15467       0.239488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        94.8333                 NaN            NaN            NaN  0.975752        4.16698       0.239497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        94.8210                 NaN            NaN            NaN  0.975786        4.17925       0.239505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        94.8088                 NaN            NaN            NaN  0.975819        4.19144       0.239513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        94.7966                 NaN            NaN            NaN  0.975853        4.20355       0.239521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        94.7846                 NaN            NaN            NaN  0.975886        4.21558       0.239529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        94.7726                 NaN            NaN            NaN  0.975919        4.22756       0.239538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        94.7465                 NaN            NaN            NaN  0.975990        4.25351       0.239555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        94.7488                 NaN            NaN            NaN  0.975984        4.25128       0.239554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        94.7337                 NaN            NaN            NaN  0.976025        4.26631       0.239564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        94.7253                 NaN            NaN            NaN  0.976048        4.27467       0.239569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        94.7136                 NaN            NaN            NaN  0.976081        4.28637       0.239577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        94.7021                 NaN            NaN            NaN  0.976112        4.29780       0.239585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        94.6895                 NaN            NaN            NaN  0.976143        4.30905       0.239593E-001  0.133888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        94.6732                 NaN            NaN            NaN  0.976184        4.31937       0.239603E-001  0.730814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        94.6568                 NaN            NaN            NaN  0.976281        4.32882       0.239626E-001  0.140938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        94.6471                 NaN            NaN            NaN  0.976443        4.33852       0.239666E-001  0.139931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        94.6374                 NaN            NaN            NaN  0.976604        4.34817       0.239706E-001  0.138835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        94.6277                 NaN            NaN            NaN  0.976765        4.35777       0.239745E-001  0.137902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        94.6181                 NaN            NaN            NaN  0.976924        4.36729       0.239784E-001  0.137158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        94.6087                 NaN            NaN            NaN  0.977082        4.37670       0.239823E-001  0.135065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        94.5992                 NaN            NaN            NaN  0.977238        4.38608       0.239861E-001  0.134638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        94.5898                 NaN            NaN            NaN  0.977394        4.39542       0.239900E-001  0.133635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        94.5805                 NaN            NaN            NaN  0.977548        4.40467       0.239937E-001  0.132479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        94.5713                 NaN            NaN            NaN  0.977701        4.41387       0.239975E-001  0.131740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        94.5621                 NaN            NaN            NaN  0.977853        4.42301       0.240012E-001  0.130516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        94.5530                 NaN            NaN            NaN  0.978004        4.43208       0.240049E-001  0.129534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        94.5439                 NaN            NaN            NaN  0.978154        4.44109       0.240086E-001  0.128656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        94.5349                 NaN            NaN            NaN  0.978303        4.45004       0.240123E-001  0.127498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        94.0523                 NaN            NaN            NaN  0.978455        4.46037       0.240160E-001  0.482113E-002  0.479987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.1551                 NaN            NaN            NaN            NaN  0.115195E-001            NaN            NaN   1.83343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2498                 NaN            NaN            NaN            NaN  0.104518E-001            NaN            NaN   1.73972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2513                 NaN            NaN            NaN            NaN  0.108931E-001            NaN            NaN   1.73782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
