|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1361.65        2500.00                 NaN   98.9125       0.121772       0.393297                 NaN  0.250246       0.322180                 NaN            NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.2142       0.286493       0.844878E-001            NaN  0.182227       0.232589                 NaN            NaN            NaN            NaN
  1359.58        2500.00                 NaN   98.9940       0.366753       0.105799                 NaN  0.235484       0.298001                 NaN            NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.4519       0.200833       0.577563E-001            NaN  0.127766       0.161722                 NaN            NaN            NaN            NaN
  1357.50        2500.00                 NaN   99.2304       0.788708E-001  0.282235                 NaN  0.180957       0.227495                 NaN            NaN            NaN            NaN
  1356.47        2500.00                 NaN   99.2355       0.280934       0.775719E-001            NaN  0.180200       0.225822                 NaN            NaN            NaN            NaN
  1355.43        2500.00                 NaN   99.2406       0.279356       0.763842E-001            NaN  0.179559       0.224114                 NaN            NaN            NaN            NaN
  1354.39        2500.00       0.142791E-003   99.6217       0.139604       0.357846E-001            NaN  0.910303E-001  0.111779                 NaN            NaN            NaN            NaN
  1353.36        2500.00                 NaN   98.8709       0.414806       0.116711                 NaN  0.265530       0.332052                 NaN            NaN            NaN            NaN
  1352.32        2500.00                 NaN   99.2562       0.275343       0.718982E-001            NaN  0.177517       0.219057                 NaN            NaN            NaN            NaN
  1351.29        2500.00                 NaN   99.2610       0.703960E-001  0.273674                 NaN  0.177317       0.217606                 NaN            NaN            NaN            NaN
  1350.25        2500.00                 NaN   99.2658       0.693728E-001  0.273323                 NaN  0.175792       0.215694                 NaN            NaN            NaN            NaN
  1349.21        2500.00                 NaN   99.2714       0.683421E-001  0.271269                 NaN  0.175019       0.213943                 NaN            NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2752       0.676807E-001  0.270053                 NaN  0.174435       0.212670                 NaN            NaN            NaN            NaN
  1347.14        2500.00                 NaN   99.2803       0.268390       0.669968E-001            NaN  0.173369       0.210896                 NaN            NaN            NaN            NaN
  1346.10        2500.00                 NaN   99.2845       0.267623       0.654764E-001            NaN  0.172825       0.209526                 NaN            NaN            NaN            NaN
  1345.07        2500.00                 NaN   99.2725       0.515112E-001  0.266928                 NaN  0.192981       0.216118                 NaN            NaN            NaN            NaN
  1344.03        2500.00                 NaN   99.3113       0.261219       0.792207E-001            NaN  0.149660       0.198609                 NaN            NaN            NaN            NaN
  1343.00        2500.00                 NaN   99.2994       0.614868E-001  0.263461                 NaN  0.170663       0.204970                 NaN            NaN            NaN            NaN
  1341.96        2500.00                 NaN   99.3033       0.261359       0.637657E-001            NaN  0.168423       0.203104                 NaN            NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.3079       0.615932E-001  0.260549                 NaN  0.168173       0.201793                 NaN            NaN            NaN            NaN
  1339.89        2500.00                 NaN   99.3111       0.566209E-001  0.261049                 NaN  0.169915       0.201319                 NaN            NaN            NaN            NaN
  1338.85        2500.00                 NaN   99.3176       0.662352E-001  0.255551                 NaN  0.162839       0.197779                 NaN            NaN            NaN            NaN
  1337.81        2500.00                 NaN   99.3203       0.256520       0.608273E-001            NaN  0.164926       0.197424                 NaN            NaN            NaN            NaN
  1336.78        2500.00                 NaN   99.3239       0.255498       0.605344E-001            NaN  0.163923       0.196148                 NaN            NaN            NaN            NaN
  1335.74        2500.00                 NaN   99.3275       0.255875       0.570638E-001            NaN  0.164358       0.195158                 NaN            NaN            NaN            NaN
  1334.71        2500.00                 NaN   99.3326       0.622422E-001  0.252151                 NaN  0.160245       0.192751                 NaN            NaN            NaN            NaN
  1333.67        2500.00                 NaN   99.3366       0.603505E-001  0.251266                 NaN  0.160146       0.191658                 NaN            NaN            NaN            NaN
  1332.63        2500.00                 NaN   99.3401       0.250363       0.596301E-001            NaN  0.159393       0.190483                 NaN            NaN            NaN            NaN
  1331.60        2500.00                 NaN   99.3441       0.604280E-001  0.248596                 NaN  0.157855       0.189054                 NaN            NaN            NaN            NaN
  1330.56        2500.00                 NaN   99.3483       0.247485       0.594981E-001            NaN  0.157034       0.187717                 NaN            NaN            NaN            NaN
  1329.52        2500.00                 NaN   99.3512       0.608002E-001  0.246345                 NaN  0.155243       0.186433                 NaN            NaN            NaN            NaN
  1328.49        2500.00                 NaN   99.3555       0.603369E-001  0.244734                 NaN  0.154348       0.185058                 NaN            NaN            NaN            NaN
  1327.45        2500.00                 NaN   99.3591       0.593139E-001  0.243711                 NaN  0.153844       0.184065                 NaN            NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.3629       0.241598       0.625408E-001            NaN  0.150786       0.182174                 NaN            NaN            NaN            NaN
  1325.38        2500.00                 NaN   99.3662       0.241070       0.602029E-001            NaN  0.151070       0.181429                 NaN            NaN            NaN            NaN
  1324.34        2500.00                 NaN   99.3704       0.625837E-001  0.239181                 NaN  0.148229       0.179561                 NaN            NaN            NaN            NaN
  1323.31        2500.00                 NaN   99.3734       0.238194       0.623137E-001            NaN  0.147438       0.178618                 NaN            NaN            NaN            NaN
  1322.27        2500.00                 NaN   99.3771       0.236813       0.627300E-001            NaN  0.146050       0.177310                 NaN            NaN            NaN            NaN
  1321.23        2500.00                 NaN   99.3796       0.235922       0.634397E-001            NaN  0.144739       0.176256                 NaN            NaN            NaN            NaN
  1320.20        2500.00                 NaN   99.3709       0.204997       0.132065                 NaN  0.116702       0.175311                 NaN            NaN            NaN            NaN
  1319.16        2500.00                 NaN   99.3986       0.257188                 NaN            NaN  0.169477       0.174744                 NaN            NaN            NaN            NaN
  1318.13        2500.00                 NaN   99.3925       0.254378       0.616218E-002            NaN  0.172050       0.174916                 NaN            NaN            NaN            NaN
  1317.09        2500.00                 NaN   99.3929       0.212112       0.119559                 NaN  0.107727       0.167676                 NaN            NaN            NaN            NaN
  1316.05        2500.00                 NaN   99.3968       0.719645E-001  0.226802                 NaN  0.134547       0.169856                 NaN            NaN            NaN            NaN
  1315.02        2500.00                 NaN   99.3996       0.694348E-001  0.226821                 NaN  0.135166       0.168974                 NaN            NaN            NaN            NaN
  1313.98        2500.00                 NaN   99.4026       0.225946       0.698432E-001            NaN  0.133721       0.167904                 NaN            NaN            NaN            NaN
  1312.94        2500.00                 NaN   99.4064       0.707721E-001  0.223717                 NaN  0.132413       0.166736                 NaN            NaN            NaN            NaN
  1311.91        2500.00                 NaN   99.4088       0.222475       0.718877E-001            NaN  0.130980       0.165824                 NaN            NaN            NaN            NaN
  1310.87        2500.00                 NaN   99.4120       0.221269       0.741036E-001            NaN  0.128355       0.164277                 NaN            NaN            NaN            NaN
  1309.84        2500.00                 NaN   99.4142       0.219677       0.757099E-001            NaN  0.126900       0.163500                 NaN            NaN            NaN            NaN
  1308.80        2500.00                 NaN   99.4166       0.218980       0.762268E-001            NaN  0.125560       0.162643                 NaN            NaN            NaN            NaN
  1307.76        2500.00                 NaN   99.4207       0.217125       0.772328E-001            NaN  0.123797       0.161165                 NaN            NaN            NaN            NaN
  1306.73        2500.00                 NaN   99.4230       0.215029       0.801553E-001            NaN  0.121633       0.160199                 NaN            NaN            NaN            NaN
  1305.69        2500.00                 NaN   99.4258       0.213191       0.799016E-001            NaN  0.121458       0.159659                 NaN            NaN            NaN            NaN
  1304.65        2500.00                 NaN   99.4276       0.215474       0.775085E-001            NaN  0.120640       0.158764                 NaN            NaN            NaN            NaN
  1303.62        2500.00                 NaN   99.4329       0.901279E-001  0.207045                 NaN  0.113652       0.156314                 NaN            NaN            NaN            NaN
  1302.58        2500.00                 NaN   99.4339       0.866472E-001  0.208665                 NaN  0.114628       0.156126                 NaN            NaN            NaN            NaN
  1301.55        2500.00                 NaN   99.4361       0.883281E-001  0.207237                 NaN  0.113027       0.155302                 NaN            NaN            NaN            NaN
  1300.51        2500.00                 NaN   99.4388       0.205203       0.909594E-001            NaN  0.110781       0.154290                 NaN            NaN            NaN            NaN
  1299.47        2500.00                 NaN   99.4411       0.204369       0.918641E-001            NaN  0.109371       0.153332                 NaN            NaN            NaN            NaN
  1298.44        2500.00                 NaN   99.4436       0.203075       0.931501E-001            NaN  0.107706       0.152431                 NaN            NaN            NaN            NaN
  1297.40        2500.00                 NaN   94.2319       0.985089       0.187621                 NaN  0.682491       0.795955        3.11692                 NaN            NaN            NaN
  1296.36        2500.00                 NaN   92.8445       0.205781        1.20868                 NaN  0.831824       0.966374        3.94282                 NaN            NaN            NaN
  1295.33        2500.00                 NaN   93.1113       0.188325        1.18381                 NaN  0.802224       0.932818        3.78151                 NaN            NaN            NaN
  1294.29        2500.00                 NaN   93.3599       0.162072        1.16963                 NaN  0.775636       0.901188        3.63159                 NaN            NaN            NaN
  1293.26        2500.00                 NaN   93.5878        1.15045       0.149896                 NaN  0.747217       0.872355        3.49230                 NaN            NaN            NaN
  1292.22        2500.00       0.663140        88.0217        2.51209                 NaN            NaN  0.802507        1.54616        6.45444                 NaN            NaN            NaN
  1291.18        2500.00        1.15374        84.1598       0.424418        3.19521                 NaN  0.614959        2.00297        8.44887                 NaN            NaN            NaN
  1290.15        2500.00        1.04173        85.5567        2.96603       0.342236                 NaN  0.571832        1.83087        7.69065                 NaN            NaN            NaN
  1289.11        2500.00       0.945468        86.7306        2.68625       0.417362                 NaN  0.490900        1.68487        7.04456                 NaN            NaN            NaN
  1288.07        2500.00       0.865576        87.6938        2.44820       0.491305                 NaN  0.421956        1.56505        6.51411                 NaN            NaN            NaN
  1287.04        2500.00       0.798269        88.5144        2.24708       0.544314                 NaN  0.367757        1.46275        6.06543                 NaN            NaN            NaN
  1286.00        2500.00       0.740936        89.1994       0.606981        2.06739                 NaN  0.317882        1.37741        5.69004                 NaN            NaN            NaN
  1284.97        2500.00       0.691932        89.7854        1.91205       0.659288                 NaN  0.276935        1.30421        5.37024                 NaN            NaN            NaN
  1283.93        2500.00       0.650140        90.2783        1.77244       0.715340                 NaN  0.239691        1.24251        5.10161                 NaN            NaN            NaN
  1282.89        2500.00       0.613847        90.7023        1.64548       0.770721                 NaN  0.206979        1.18932        4.87131                 NaN            NaN            NaN
  1281.86        2500.00       0.596872        90.8570       0.673018        1.67487                 NaN  0.230430        1.17226        4.79555                 NaN            NaN            NaN
  1280.82        2500.00       0.540748        91.5108        1.23627        1.12473                 NaN  0.840359E-001   1.08455        4.41884                 NaN            NaN            NaN
  1279.78        2500.00       0.532661        91.6019        1.32273       0.955992                 NaN  0.125226        1.07518        4.38636                 NaN            NaN            NaN
  1278.75        2500.00       0.516319        91.7686       0.996522        1.25192                 NaN  0.111118        1.05407        4.30146                 NaN            NaN            NaN
  1277.71        2500.00       0.858652        88.6682       0.401805E-001   2.35218                 NaN  0.471414        1.49377        6.11557                 NaN            NaN            NaN
  1276.68        2500.00       0.439451E-001   95.9130        1.60406                 NaN            NaN            NaN  0.500936        1.93810                 NaN            NaN            NaN
  1275.64        2500.00       0.668760        89.7956       0.767388        2.05670                 NaN  0.224023E-004   1.32288        5.38861                 NaN            NaN            NaN
  1274.60        2500.00       0.449349        92.6673       0.873756        1.22394                 NaN            NaN  0.928468        3.85717                 NaN            NaN            NaN
  1273.57        2500.00       0.207235        94.7013       0.886790E-001   1.68201                 NaN            NaN  0.667407        2.65334                 NaN            NaN            NaN
  1272.53        2500.00       0.439293        92.1271       0.702556        1.59309                 NaN            NaN   1.00226        4.13566                 NaN            NaN            NaN
  1271.50        2500.00       0.420367        92.2868       0.521082        1.73942                 NaN            NaN  0.983336        4.04900                 NaN            NaN            NaN
  1270.46        2500.00       0.429868        92.0068       0.372525        1.95215                 NaN            NaN   1.01405        4.22463                 NaN            NaN            NaN
  1269.42        2500.00       0.399563        92.3306       0.643842        1.24881                 NaN  0.304553       0.991152        4.08145                 NaN            NaN            NaN
  1268.39        2500.00       0.811141        84.2893       0.638748        3.94162                 NaN            NaN   1.97356        8.34559                 NaN            NaN            NaN
  1267.35        2500.00                 NaN   99.8474       0.390968E-002  0.402666E-001            NaN            NaN  0.180774E-001  0.847951E-001            NaN  0.557105E-002            NaN
  1266.31        2500.00       0.107957E-002   99.9866       0.402632E-002            NaN            NaN            NaN  0.203049E-002  0.628262E-002            NaN            NaN            NaN
  1265.28        2500.00       0.655835        86.5494        4.01406                 NaN            NaN            NaN   1.70805        7.07267                 NaN            NaN            NaN
  1264.24        2500.00       0.542880        85.5958        3.83861       0.728657                 NaN            NaN   1.86060        7.43343                 NaN            NaN            NaN
  1263.21        2500.00       0.489190E-003   99.9771                 NaN            NaN            NaN  0.928343E-002  0.400930E-002  0.909759E-002            NaN            NaN            NaN
  1262.17        2500.00       0.121753E-001   99.9031       0.125956E-001            NaN            NaN            NaN  0.854206E-002  0.635802E-001            NaN            NaN            NaN
  1261.13        2500.00       0.509589        89.7701       0.721603        2.32180                 NaN            NaN   1.31006        5.36687                 NaN            NaN            NaN
  1260.10        2500.00       0.251468        94.9339        1.52113                 NaN            NaN            NaN  0.647596        2.64586                 NaN            NaN            NaN
  1259.06        2500.00       0.963236E-002   94.8225        1.61794                 NaN            NaN            NaN  0.656145        2.74948                 NaN  0.144355                 NaN
  1258.02        2500.00                 NaN   94.5140       0.816321       0.945616                 NaN            NaN  0.678889        2.85447                 NaN  0.190673                 NaN
  1256.99        2500.00       0.213958        95.6163       0.161008        1.16223                 NaN            NaN  0.563510        2.28303                 NaN            NaN            NaN
  1255.95        2500.00                 NaN   95.6000       0.664683       0.512673                 NaN            NaN  0.555672        2.50976                 NaN  0.157219                 NaN
  1254.92        2500.00                 NaN   95.3412        1.80784                 NaN            NaN            NaN  0.596933        2.16829                 NaN  0.857540E-001            NaN
  1253.88        2500.00                 NaN   95.7065        1.40008                 NaN            NaN            NaN  0.555656        2.22781                 NaN  0.109927                 NaN
  1252.84        2500.00                 NaN   95.5405        1.46097                 NaN            NaN            NaN  0.571392        2.31275                 NaN  0.114367                 NaN
  1251.81        2500.00                 NaN   93.8850        2.00825                 NaN            NaN            NaN  0.795851        3.15566                 NaN  0.155191                 NaN
  1250.77        2500.00                 NaN   98.1667       0.611930                 NaN            NaN            NaN  0.231672       0.940758                 NaN  0.489537E-001            NaN
  1249.73        2500.00                 NaN   99.6499       0.355619E-001  0.939450E-001  0.180452E-001            NaN  0.671099E-001  0.120453                 NaN  0.149511E-001            NaN
  1248.70        2500.00                 NaN   93.4386        2.18571                 NaN            NaN            NaN  0.820959        3.39456                 NaN  0.160147                 NaN
  1247.66        2500.00                 NaN   92.8490       0.367801        1.99035                 NaN            NaN  0.915095        3.68775                 NaN  0.190048                 NaN
  1246.63        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1245.59        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1244.55        2500.00                 NaN  100.0000       0.146492E-004            NaN            NaN  0.131203E-005  0.629388E-005  0.219148E-004  0.264985E-005            NaN            NaN
  1243.52        2500.00                 NaN   88.4919        3.85838       0.298024E-004            NaN            NaN   1.49925        5.87592                 NaN  0.274566                 NaN
  1242.48        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1241.44        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1240.41        2500.00                 NaN   94.8617        1.76912                 NaN            NaN            NaN  0.657222        2.59031                 NaN  0.121651                 NaN
  1239.37        2500.00                 NaN   95.3957        1.52708                 NaN            NaN            NaN  0.595305        2.37081                 NaN  0.111064                 NaN
  1238.34        2500.00                 NaN   98.4920       0.414746E-001  0.261708       0.175259                 NaN  0.180254       0.803365                 NaN  0.459266E-001            NaN
  1237.30        2500.00                 NaN   99.9998       0.458340E-004  0.723843E-005            NaN            NaN  0.195619E-004  0.783811E-004            NaN  0.392915E-005            NaN
  1236.26        2500.00                 NaN   99.9998       0.490576E-004            NaN            NaN  0.162499E-004  0.219621E-004  0.685818E-004            NaN  0.167879E-005            NaN
  1235.23        2500.00                 NaN   91.4002        2.53383       0.417367                 NaN            NaN   1.10543        4.35103                 NaN  0.192092                 NaN
  1234.19        2500.00                 NaN   99.7171       0.971654E-001            NaN            NaN            NaN  0.355728E-001  0.143548                 NaN  0.661395E-002            NaN
  1233.15        2500.00                 NaN   99.9139       0.401906E-001            NaN            NaN            NaN  0.149137E-001  0.286181E-001            NaN  0.242501E-002            NaN
  1232.12        2500.00                 NaN   99.7595       0.750706E-001            NaN            NaN            NaN  0.288022E-001  0.132058                 NaN  0.460059E-002            NaN
  1231.08        2500.00                 NaN   92.7748        2.22473       0.175751                 NaN            NaN  0.922680        3.73913                 NaN  0.162938                 NaN
  1230.05        2500.00                 NaN   99.5721       0.160659                 NaN            NaN            NaN  0.569518E-001  0.197240                 NaN  0.130352E-001            NaN
  1229.01        2500.00                 NaN   99.8601       0.486366E-001            NaN            NaN            NaN  0.175766E-001  0.704790E-001            NaN  0.320614E-002            NaN
  1227.97        2500.00                 NaN   99.3618       0.173933       0.440184E-001            NaN            NaN  0.812373E-001  0.326456                 NaN  0.125104E-001            NaN
  1226.94        2500.00                 NaN   94.5028        1.38416       0.466441                 NaN            NaN  0.717467        2.78251                 NaN  0.146616                 NaN
  1225.90        2500.00                 NaN   99.2435       0.120743                 NaN            NaN            NaN  0.509453E-001  0.530213                 NaN  0.423722E-002  0.503564E-001
  1224.86        2500.00                 NaN            NaN   16.8500                 NaN            NaN            NaN   8.75512        43.2004                 NaN   1.08671        30.1077     
  1223.83        2500.00                 NaN            NaN   16.8505                 NaN            NaN            NaN   8.76056        43.1956                 NaN   1.08601        30.1073     
  1222.79        2500.00                 NaN            NaN   16.8680                 NaN            NaN            NaN   8.77240        43.1693                 NaN   1.08044        30.1099     
  1221.76        2500.00                 NaN            NaN   16.8482                 NaN            NaN            NaN   8.79598        43.1675                 NaN   1.08350        30.1048     
  1220.72        2500.00                 NaN            NaN   16.8490                 NaN            NaN            NaN   8.79937        43.1645                 NaN   1.08265        30.1044     
  1219.68        2500.00                 NaN            NaN   16.8537                 NaN            NaN            NaN   8.76946        43.1857                 NaN   1.08409        30.1071     
  1218.65        2500.00                 NaN            NaN   16.8524                 NaN            NaN            NaN   8.78467        43.1743                 NaN   1.08287        30.1057     
  1217.61        2500.00                 NaN            NaN   16.8528                 NaN            NaN            NaN   8.78902        43.1705                 NaN   1.08230        30.1054     
  1216.57        2500.00                 NaN            NaN   16.8531                 NaN            NaN            NaN   8.79324        43.1667                 NaN   1.08174        30.1052     
  1215.54        2500.00                 NaN            NaN   16.8535                 NaN            NaN            NaN   8.79733        43.1631                 NaN   1.08119        30.1049     
  1214.50        2500.00                 NaN            NaN   16.8539                 NaN            NaN            NaN   8.80131        43.1595                 NaN   1.08066        30.1046     
  1213.47        2500.00                 NaN            NaN   16.8542                 NaN            NaN            NaN   8.80519        43.1560                 NaN   1.08014        30.1044     
  1212.43        2500.00                 NaN            NaN   16.8546                 NaN            NaN            NaN   8.80896        43.1526                 NaN   1.07962        30.1042     
  1211.39        2500.00                 NaN            NaN   16.8550                 NaN            NaN            NaN   8.81265        43.1493                 NaN   1.07912        30.1039     
  1210.36        2500.00                 NaN            NaN   16.8517                 NaN            NaN            NaN   8.82329        43.1429                 NaN   1.07921        30.1029     
  1209.32        2500.00                 NaN            NaN   16.8520                 NaN            NaN            NaN   8.82575        43.1407                 NaN   1.07884        30.1027     
  1208.28        2500.00                 NaN            NaN   16.8634                 NaN            NaN            NaN   8.82828        43.1184                 NaN   1.08047        30.1095     
  1207.25        2500.00                 NaN            NaN   16.8477                 NaN            NaN            NaN   8.84698        43.1269                 NaN   1.07790        30.1005     
  1206.21        2500.00                 NaN            NaN   16.8478                 NaN            NaN            NaN   8.84848        43.1257                 NaN   1.07770        30.1004     
  1205.18        2500.00                 NaN            NaN   16.8467                 NaN            NaN            NaN   8.85162        43.1250                 NaN   1.07722        30.0995     
  1204.14        2500.00                 NaN            NaN   13.9629        2.89084                 NaN            NaN   8.83856        43.1288                 NaN   1.07683        30.1021     
  1203.10        2500.00                 NaN            NaN   16.8638                 NaN            NaN            NaN   8.83369        43.1248                 NaN   1.07406        30.1037     
  1202.07        2500.00                 NaN            NaN   16.8561                 NaN            NaN            NaN   8.84949        43.1177                 NaN   1.07522        30.1014     
  1201.03        2500.00                 NaN            NaN   14.2120        2.64293                 NaN            NaN   8.84621        43.1216                 NaN   1.07562        30.1016     
  1199.99        2500.00                 NaN            NaN   14.2903        2.56512                 NaN            NaN   8.84878        43.1192                 NaN   1.07520        30.1015     
  1198.96        2500.00                 NaN            NaN   14.3666        2.48924                 NaN            NaN   8.85137        43.1167                 NaN   1.07478        30.1013     
  1197.92        2500.00                 NaN            NaN   14.4381        2.41816                 NaN            NaN   8.85398        43.1142                 NaN   1.07435        30.1012     
