|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1415.27        2500.00                 NaN   98.5943       0.518987       0.218234                 NaN            NaN            NaN  0.233791       0.434722                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6111       0.516242       0.210437                 NaN            NaN            NaN  0.232940       0.429234                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6268       0.512971       0.202753                 NaN            NaN            NaN  0.232865       0.424586                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.6428       0.509342       0.196283                 NaN            NaN            NaN  0.232041       0.419579                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.5402       0.546986       0.205362                 NaN            NaN            NaN  0.251815       0.455630                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7821       0.462442       0.171261                 NaN            NaN            NaN  0.212418       0.371795                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6882       0.500952       0.174364                 NaN            NaN            NaN  0.230875       0.405638                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7033       0.167961       0.497307                 NaN            NaN            NaN  0.230469       0.400928                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.7172       0.494842       0.161460                 NaN            NaN            NaN  0.229895       0.396616                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.7309       0.154097       0.493053                 NaN            NaN            NaN  0.229624       0.392361                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7398       0.494477       0.144227                 NaN            NaN            NaN  0.231395       0.390111                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7631       0.483309       0.145009                 NaN            NaN            NaN  0.226534       0.382015                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.7731       0.136569       0.483611                 NaN            NaN            NaN  0.227512       0.379228                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7859       0.129491       0.481906                 NaN            NaN            NaN  0.227397       0.375324                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.7992       0.479238       0.123376                 NaN            NaN            NaN  0.226948       0.371258                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8102       0.117804       0.477710                 NaN            NaN            NaN  0.226614       0.367705                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.8241       0.474493       0.112538                 NaN            NaN            NaN  0.225473       0.363426                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.8348       0.472687       0.106690                 NaN            NaN            NaN  0.225652       0.360213                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.8470       0.469281       0.102879                 NaN            NaN            NaN  0.224762       0.356069                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8597       0.469759       0.950392E-001            NaN            NaN            NaN  0.223499       0.351964                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8713       0.899759E-001  0.467127                 NaN            NaN            NaN  0.223160       0.348479                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.2982       0.293625       0.518614E-001            NaN            NaN            NaN  0.139492       0.216852                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.4734       0.636773       0.114090                 NaN            NaN            NaN  0.305225       0.470561                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.9039       0.747372E-001  0.462545                 NaN            NaN            NaN  0.220837       0.337983                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9151       0.461042       0.687996E-001            NaN            NaN            NaN  0.220422       0.334594                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.9259       0.458726       0.641996E-001            NaN            NaN            NaN  0.220015       0.331171                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.9366       0.456213       0.607360E-001            NaN            NaN            NaN  0.218805       0.327670                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.9459       0.454678       0.565220E-001            NaN            NaN            NaN  0.218231       0.324700                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9568       0.453522       0.513035E-001            NaN            NaN            NaN  0.217187       0.321213                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9663       0.469733E-001  0.452191                 NaN            NaN            NaN  0.216466       0.318092                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9758       0.450737       0.427638E-001            NaN            NaN            NaN  0.215655       0.315010                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9824       0.453320       0.358272E-001            NaN            NaN            NaN  0.215585       0.312872                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9980       0.356709E-001  0.446128                 NaN            NaN            NaN  0.212581       0.307657                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0034       0.447189       0.305895E-001            NaN            NaN            NaN  0.212800       0.306045                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0136       0.273119E-001  0.445247                 NaN            NaN            NaN  0.211248       0.302605                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0224       0.226130E-001  0.444482                 NaN            NaN            NaN  0.210623       0.299855                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.0310       0.444406       0.181570E-001            NaN            NaN            NaN  0.209544       0.296921                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0400       0.442168       0.158000E-001            NaN            NaN            NaN  0.208151       0.293888                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.0485       0.441111       0.119614E-001            NaN            NaN            NaN  0.207306       0.291139                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0566       0.440606       0.849755E-002            NaN            NaN            NaN  0.205946       0.288361                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0653       0.552448E-002  0.438721                 NaN            NaN            NaN  0.204875       0.285562                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0733       0.451507E-003  0.439071                 NaN            NaN            NaN  0.204167       0.282980                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0795       0.426904       0.169509E-001            NaN            NaN            NaN  0.196606       0.279993                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0904       0.432146                 NaN            NaN            NaN            NaN  0.200310       0.277160                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0966       0.431341                 NaN            NaN            NaN            NaN  0.197377       0.274724                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1053       0.424193                 NaN            NaN            NaN            NaN  0.198397       0.272113                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1105       0.191723E-003  0.426966                 NaN            NaN            NaN  0.192699       0.269656                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1197       0.420443                 NaN            NaN            NaN            NaN  0.192933       0.266901                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1207       0.392829       0.461009E-001            NaN            NaN            NaN  0.176001       0.264337                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1338       0.414631                 NaN            NaN            NaN            NaN  0.189589       0.261996                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.1400       0.414833                 NaN            NaN            NaN            NaN  0.185663       0.259462                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.1383       0.413308                 NaN            NaN            NaN            NaN  0.187624       0.260768                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.1620       0.408067       0.165587E-003            NaN            NaN            NaN  0.178590       0.251165                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1605       0.407170                 NaN            NaN            NaN            NaN  0.179997       0.252296                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1674       0.404573                 NaN            NaN            NaN            NaN  0.178125       0.249928                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1725       0.405817                 NaN            NaN            NaN            NaN  0.174020       0.247679                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.1698       0.700267E-001  0.362904                 NaN            NaN            NaN  0.151449       0.245777                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.1878       0.396228                 NaN            NaN            NaN            NaN  0.173330       0.242642                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1914       0.398796                 NaN            NaN            NaN            NaN  0.168869       0.240973                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.1987       0.394391                 NaN            NaN            NaN            NaN  0.168249       0.238677                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.1959       0.384793                 NaN            NaN            NaN            NaN  0.178522       0.240755                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2230       0.391745                 NaN            NaN            NaN            NaN  0.155817       0.229439                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.2157       0.389346                 NaN            NaN            NaN            NaN  0.162370       0.232562                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.2227       0.385360                 NaN            NaN            NaN            NaN  0.161572       0.230336                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2293       0.382418                 NaN            NaN            NaN            NaN  0.160398       0.227892                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2343       0.381784                 NaN            NaN            NaN            NaN  0.157857       0.226074                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.2400       0.380877                 NaN            NaN            NaN            NaN  0.155172       0.223969                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.2458       0.377656                 NaN            NaN            NaN            NaN  0.154435       0.222077                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.2503       0.380431                 NaN            NaN            NaN            NaN  0.149276       0.220014                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.2581       0.378329                 NaN            NaN            NaN            NaN  0.146364       0.217194                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2593       0.370855                 NaN            NaN            NaN            NaN  0.152300       0.217531                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.2682       0.372682                 NaN            NaN            NaN            NaN  0.145212       0.213876                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.2720       0.372664                 NaN            NaN            NaN            NaN  0.142949       0.212382                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.2771       0.371139                 NaN            NaN            NaN            NaN  0.141209       0.210588                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2809       0.373603                 NaN            NaN            NaN            NaN  0.136688       0.208799                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2870       0.368495                 NaN            NaN            NaN            NaN  0.137412       0.207115                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2912       0.368623                 NaN            NaN            NaN            NaN  0.134892       0.205273                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.2904       0.376716                 NaN            NaN            NaN            NaN  0.127032       0.205854                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.3034       0.363983                 NaN            NaN            NaN            NaN  0.132138       0.200518                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.3070       0.367536                 NaN            NaN            NaN            NaN  0.126265       0.199151                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3136       0.348988                 NaN            NaN            NaN            NaN  0.138571       0.198808                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3148       0.368373                 NaN            NaN            NaN            NaN  0.120666       0.196171                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.3171       0.369349                 NaN            NaN            NaN            NaN  0.118119       0.195412                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3227       0.366237                 NaN            NaN            NaN            NaN  0.117562       0.193516                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.3285       0.366715                 NaN            NaN            NaN            NaN  0.113581       0.191231                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3236       0.369239                 NaN            NaN            NaN            NaN  0.114656       0.192502                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.3394       0.362451                 NaN            NaN            NaN            NaN  0.110139       0.187990                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.3368       0.334747                 NaN            NaN            NaN            NaN  0.134800       0.193625                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.3523       0.364568                 NaN            NaN            NaN            NaN  0.101331       0.181774                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.3533       0.367202                 NaN            NaN            NaN            NaN  0.990414E-001  0.180457                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.3521       0.359916                 NaN            NaN            NaN            NaN  0.104924       0.183013                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.3525       0.369421                 NaN            NaN            NaN            NaN  0.960578E-001  0.182022                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.3545       0.375645                 NaN            NaN            NaN            NaN  0.885362E-001  0.181337                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   95.1919        1.32723                 NaN            NaN            NaN            NaN  0.341247       0.695415        2.44422                 NaN            NaN
  1306.54        2500.00                 NaN   89.1168        2.77628                 NaN            NaN            NaN            NaN  0.673433        1.44781        5.98566                 NaN            NaN
  1305.38        2500.00                 NaN   89.6820        2.60959                 NaN            NaN            NaN            NaN  0.679488        1.37751        5.65141                 NaN            NaN
  1304.22        2500.00                 NaN   90.1696        2.57951                 NaN            NaN            NaN            NaN  0.592479        1.31696        5.34149                 NaN            NaN
  1303.07        2500.00                 NaN   90.6335        2.47253                 NaN            NaN            NaN            NaN  0.571041        1.25990        5.06303                 NaN            NaN
  1301.91        2500.00                 NaN   91.0251        2.41999                 NaN            NaN            NaN            NaN  0.525439        1.21126        4.81820                 NaN            NaN
  1300.75        2500.00                 NaN   91.3975        2.35354                 NaN            NaN            NaN            NaN  0.493069        1.16521        4.59067                 NaN            NaN
  1299.60        2500.00                 NaN   86.1994        3.50312                 NaN            NaN            NaN            NaN  0.749344        1.84652        7.35989       0.341701                 NaN
  1298.44        2500.00                 NaN   83.4678        4.07755                 NaN            NaN            NaN            NaN  0.927854        2.20142        8.78941       0.536002                 NaN
  1297.28        2500.00                 NaN   84.5059        3.80915                 NaN            NaN            NaN            NaN  0.920948        2.06403        8.20241       0.497564                 NaN
  1296.13        2500.00                 NaN   85.5914        3.56094                 NaN            NaN            NaN            NaN  0.876353        1.92130        7.59318       0.456837                 NaN
  1294.97        2500.00                 NaN   86.5757        3.34420                 NaN            NaN            NaN            NaN  0.826180        1.79190        7.04206       0.420011                 NaN
  1293.81        2500.00                 NaN   87.4688        3.15234                 NaN            NaN            NaN            NaN  0.774544        1.67447        6.54316       0.386710                 NaN
  1292.66        2500.00                 NaN   88.2984        2.97333                 NaN            NaN            NaN            NaN  0.723047        1.56532        6.08343       0.356519                 NaN
  1291.50        2500.00                 NaN   89.0291        2.81842                 NaN            NaN            NaN            NaN  0.674642        1.46939        5.67857       0.329872                 NaN
  1290.34        2500.00                 NaN   89.2638        2.80222                 NaN            NaN            NaN            NaN  0.644712        1.43966        5.53135       0.318268                 NaN
  1289.19        2500.00                 NaN   90.7446        2.43543                 NaN            NaN            NaN            NaN  0.557376        1.24177        4.74972       0.271094                 NaN
  1288.03        2500.00                 NaN   86.3875        3.47308                 NaN            NaN            NaN            NaN  0.651915        1.85341        7.20619       0.427926                 NaN
  1286.87        2500.00                 NaN   77.1518        2.34783        4.09376                 NaN            NaN            NaN   1.61154        3.08516        11.1196       0.590313                 NaN
  1285.72        2500.00                 NaN   99.8370                 NaN            NaN            NaN            NaN            NaN            NaN  0.120569                 NaN  0.423841E-001            NaN
  1284.56        2500.00                 NaN   96.6300        1.10806                 NaN            NaN            NaN            NaN  0.120030       0.379908        1.69527       0.666921E-001            NaN
  1283.40        2500.00                 NaN   95.5482        1.43125                 NaN            NaN            NaN            NaN            NaN  0.527156        2.35804       0.135301                 NaN
  1282.25        2500.00                 NaN   97.1939       0.893646                 NaN            NaN            NaN            NaN  0.108712       0.366069        1.39050       0.471669E-001            NaN
  1281.09        2500.00                 NaN   93.3787        1.98502                 NaN            NaN            NaN            NaN  0.231488       0.893550        3.33449       0.176732                 NaN
  1279.93        2500.00                 NaN   91.6616        2.67446                 NaN            NaN            NaN            NaN  0.801895E-001   1.12476        4.24270       0.216296                 NaN
  1278.77        2500.00                 NaN   95.7994        1.31147                 NaN            NaN            NaN            NaN  0.195794       0.566182        2.02100       0.106169                 NaN
  1277.62        2500.00                 NaN   90.6116        3.18973                 NaN            NaN            NaN            NaN  0.366119E-001   1.31856        4.58922       0.254234                 NaN
  1276.46        2500.00                 NaN   92.8470        2.02467                 NaN            NaN            NaN            NaN  0.312716       0.936147        3.71386       0.165618                 NaN
  1275.30        2500.00                 NaN   98.6660       0.441672                 NaN            NaN            NaN            NaN            NaN  0.168704       0.685323       0.382931E-001            NaN
  1274.15        2500.00                 NaN   97.0649        1.08448                 NaN            NaN            NaN            NaN            NaN  0.387791        1.39993       0.629391E-001            NaN
  1272.99        2500.00                 NaN   93.2252        2.35245                 NaN            NaN            NaN            NaN  0.300256E-001  0.903784        3.33370       0.154793                 NaN
  1271.83        2500.00                 NaN   95.0447        1.69791                 NaN            NaN            NaN            NaN  0.334992E-001  0.666341        2.44200       0.115542                 NaN
  1270.68        2500.00                 NaN   93.3629        2.10687                 NaN            NaN            NaN            NaN  0.101026       0.895619        3.37626       0.157358                 NaN
  1269.52        2500.00                 NaN   97.1156        1.07460                 NaN            NaN            NaN            NaN            NaN  0.382388        1.35581       0.716393E-001            NaN
  1268.36        2500.00                 NaN   91.7637        2.88780                 NaN            NaN            NaN            NaN            NaN   1.15689        4.00277       0.188803                 NaN
  1267.21        2500.00                 NaN   95.8678        1.27233                 NaN            NaN            NaN            NaN            NaN  0.471501        2.26905       0.119291                 NaN
  1266.05        2500.00                 NaN   98.5484       0.647125                 NaN            NaN            NaN            NaN            NaN  0.223738       0.580768                 NaN            NaN
  1264.89        2500.00                 NaN   88.4794        4.13380                 NaN            NaN            NaN            NaN            NaN   1.59122        5.57541       0.220165                 NaN
  1263.74        2500.00                 NaN   99.9999       0.468580E-004            NaN            NaN            NaN            NaN  0.124507E-004  0.246453E-004  0.565231E-004  0.325523E-005            NaN
  1262.58        2500.00                 NaN   93.4004        2.23290                 NaN            NaN            NaN            NaN            NaN  0.875715        3.34407       0.146901                 NaN
  1261.42        2500.00                 NaN  100.0000       0.945968E-005            NaN            NaN            NaN            NaN            NaN  0.159093E-005  0.418627E-005            NaN            NaN
  1260.27        2500.00       0.226563E-005  100.0000       0.224583E-005            NaN            NaN            NaN            NaN            NaN  0.139923E-005  0.146388E-004            NaN            NaN
  1259.11        2500.00                 NaN   93.7964        2.09485                 NaN            NaN            NaN            NaN            NaN  0.824757        3.14386       0.140135                 NaN
  1257.95        2500.00                 NaN   96.4093        1.21195                 NaN            NaN            NaN            NaN            NaN  0.480282        1.82102       0.774461E-001            NaN
  1256.80        2500.00                 NaN   95.0266        1.22744                 NaN            NaN            NaN            NaN            NaN  0.670939        2.91286       0.162199                 NaN
  1255.64        2500.00                 NaN   99.3783       0.130106                 NaN            NaN            NaN            NaN            NaN  0.802522E-001  0.384970       0.263337E-001            NaN
  1254.48        2500.00                 NaN   95.3166        2.24447                 NaN            NaN            NaN            NaN            NaN  0.655522        1.72446       0.589455E-001            NaN
  1253.33        2500.00                 NaN   92.9758        2.19832                 NaN            NaN            NaN            NaN            NaN  0.831065        3.84719       0.147642                 NaN
  1252.17        2500.00                 NaN   99.8762       0.440018E-001            NaN            NaN            NaN            NaN            NaN  0.155383E-001  0.614215E-001  0.285792E-002            NaN
  1251.01        2500.00                 NaN   99.8659       0.406253E-001            NaN            NaN            NaN            NaN            NaN  0.168111E-001  0.725892E-001  0.403461E-002            NaN
  1249.86        2500.00                 NaN   99.8293       0.788844E-001            NaN            NaN            NaN            NaN            NaN  0.313059E-001  0.549028E-001  0.558869E-002            NaN
  1248.70        2500.00                 NaN   90.8105        1.80583                 NaN            NaN            NaN            NaN            NaN   1.05316        5.96380       0.366654                 NaN
  1247.54        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1246.39        2500.00                 NaN   96.8631        2.18901                 NaN            NaN            NaN            NaN            NaN  0.610255       0.337685                 NaN            NaN
  1245.23        2500.00                 NaN   94.7176        1.21188                 NaN            NaN            NaN            NaN            NaN  0.652355        3.35342       0.647614E-001            NaN
  1244.07        2500.00                 NaN   99.3081       0.712155E-002            NaN            NaN            NaN            NaN            NaN  0.811137E-001  0.577603       0.260447E-001            NaN
  1242.92        2500.00                 NaN   99.4283       0.714524E-001  0.412366                 NaN            NaN            NaN            NaN  0.878539E-001            NaN            NaN            NaN
  1241.76        2500.00                 NaN   96.4251        1.63886                 NaN            NaN            NaN            NaN            NaN  0.444708        1.49132                 NaN            NaN
  1240.60        2500.00                 NaN   99.5387       0.331219                 NaN            NaN            NaN            NaN            NaN  0.765018E-001  0.330183E-001  0.205759E-001            NaN
  1239.45        2500.00                 NaN   98.0454       0.246187       0.301332                 NaN            NaN            NaN            NaN  0.230366        1.13269       0.440184E-001            NaN
  1238.29        2500.00                 NaN   97.9463       0.665335                 NaN            NaN            NaN            NaN            NaN  0.263090        1.08150       0.437613E-001            NaN
  1237.13        2500.00                 NaN   99.3246       0.300176                 NaN            NaN            NaN            NaN            NaN  0.117761       0.224620       0.328101E-001            NaN
  1235.98        2500.00                 NaN   93.4132        1.99581                 NaN            NaN            NaN            NaN            NaN  0.753619        3.69231       0.145105                 NaN
  1234.82        2500.00                 NaN   99.2740       0.243973                 NaN            NaN            NaN            NaN            NaN  0.982434E-001  0.371633       0.121507E-001            NaN
  1233.66        2500.00                 NaN   99.9927       0.294195E-002            NaN            NaN            NaN            NaN            NaN  0.114494E-002  0.319962E-002  0.597794E-004            NaN
  1232.51        2500.00                 NaN   99.9324       0.106595E-001            NaN            NaN            NaN            NaN            NaN  0.654181E-002  0.281597E-001  0.527832E-003  0.217252E-001
  1231.35        2500.00                 NaN   99.9860       0.235958E-002            NaN            NaN            NaN            NaN            NaN  0.143456E-002  0.568012E-002  0.594468E-004  0.450289E-002
