|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            iron           ne             lc            
  1578.33        2500.00                 NaN   99.4119       0.520959       0.671533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.4219       0.513527       0.645290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.4249       0.510896       0.641869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.4288       0.507250       0.639432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.1108       0.736022       0.153202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.7684       0.231559       0.990448E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.4458       0.518690       0.355024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4507       0.489349       0.599979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.4544       0.486290       0.593362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4577       0.484551       0.577780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00                 NaN   99.4410       0.499176       0.598421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00                 NaN   99.4922       0.452604       0.551714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00                 NaN   99.4723       0.471151       0.565505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.4780       0.465787       0.561766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.4828       0.461678       0.554960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.4791       0.468902       0.519799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00                 NaN   99.4935       0.453839       0.526732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4939       0.452360       0.537137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00                 NaN   99.4986       0.452339       0.490906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN   99.5029       0.445542       0.515492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00                 NaN   99.5061       0.444354       0.495018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN   99.5100       0.440708       0.493304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00                 NaN   99.5132       0.438976       0.477954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.6656       0.302142       0.322194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00                 NaN   99.3700       0.570295       0.597045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00                 NaN   99.5249       0.428671       0.463881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        2500.00                 NaN   99.5284       0.426379       0.452275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00                 NaN   99.5313       0.424431       0.442303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        2500.00                 NaN   99.5351       0.420839       0.440375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        2500.00                 NaN   99.5392       0.417755       0.430175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        2500.00                 NaN   99.5175       0.436420       0.460722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00                 NaN   99.7732       0.205340       0.214178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        2500.00                 NaN   99.3469       0.594429       0.586564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.5506       0.407265       0.420867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        2500.00                 NaN   99.5567       0.404360       0.389848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        2500.00                 NaN   99.5587       0.402360       0.389678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        2500.00                 NaN   99.5491       0.406315       0.446181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        2500.00                 NaN   99.5725       0.398970       0.285555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        2500.00                 NaN   99.5632       0.401440       0.353345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00                 NaN   99.5734       0.391503       0.351052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00                 NaN   99.5722       0.393382       0.344034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00                 NaN   99.5736       0.392454       0.339601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00                 NaN   99.5707       0.398738       0.305465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00                 NaN   99.5837       0.401312       0.149749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00                 NaN   99.5858       0.364931       0.492499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00                 NaN   99.5864       0.381515       0.321150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00                 NaN   99.4271       0.529377       0.435437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00                 NaN   99.7552       0.226199       0.185771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00                 NaN   99.5936       0.374898       0.315119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.4986       0.343681E-001            NaN  0.466991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00                 NaN   99.4898       0.405197E-001            NaN  0.469647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00                 NaN   99.4908                 NaN            NaN  0.509247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00                 NaN   99.4913       0.440085E-001            NaN  0.464648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00                 NaN   99.0308       0.114380       0.149145E-001  0.839895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00                 NaN   99.8733       0.292882E-001            NaN  0.974461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00                 NaN   99.5882                 NaN            NaN  0.411761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00                 NaN   99.4925       0.452925E-002            NaN  0.502969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00                 NaN   99.3867       0.120137                 NaN  0.493202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00                 NaN   99.6130                 NaN            NaN  0.387037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00                 NaN   99.4936                 NaN            NaN  0.506414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00                 NaN   99.4945                 NaN            NaN  0.505502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00                 NaN   99.4947                 NaN            NaN  0.505278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00                 NaN   99.4911                 NaN            NaN  0.508889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00                 NaN   99.4914                 NaN            NaN  0.508618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00                 NaN   99.4894                 NaN            NaN  0.510558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00                 NaN   99.4884                 NaN            NaN  0.511639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00                 NaN   99.4842                 NaN            NaN  0.515762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00                 NaN   99.5685                 NaN            NaN  0.431458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00                 NaN   99.3840                 NaN            NaN  0.616034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00                 NaN   99.4750                 NaN            NaN  0.525005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00                 NaN   99.4638                 NaN            NaN  0.240673E-002  0.533777                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00                 NaN   99.2660                 NaN            NaN  0.286656       0.447368                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00                 NaN   99.2435                 NaN            NaN  0.508221       0.248244                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00                 NaN   99.2492                 NaN            NaN  0.246230       0.504560                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00                 NaN   99.2557                 NaN            NaN  0.500801       0.243496                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00                 NaN   99.3389                 NaN            NaN  0.444367       0.216753                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00                 NaN   99.1885                 NaN            NaN  0.266761       0.544781                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00                 NaN   99.2763                 NaN            NaN  0.238221       0.485501                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00                 NaN   99.2805                 NaN            NaN  0.482599       0.236863                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00                 NaN   99.2865                 NaN            NaN  0.233945       0.479573                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.2917                 NaN            NaN  0.231584       0.476736                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00                 NaN   99.2975                 NaN            NaN  0.230847       0.471634                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00                 NaN   99.3026                 NaN            NaN  0.228574       0.468847                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00                 NaN   99.3076                 NaN            NaN  0.226432       0.465922                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00                 NaN   99.3140                 NaN            NaN  0.460996       0.225030                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00                 NaN   99.3182                 NaN            NaN  0.458904       0.222887                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00                 NaN   99.1160                 NaN            NaN  0.286608       0.597357                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00                 NaN   99.5399                 NaN            NaN  0.150461       0.309616                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   99.3298                 NaN            NaN  0.217514       0.452661                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00                 NaN   99.3426                 NaN            NaN  0.215366       0.442003                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00                 NaN   99.3432                 NaN            NaN  0.443098       0.213721                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00                 NaN   99.3485                 NaN            NaN  0.211569       0.439927                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00                 NaN   99.3524                 NaN            NaN  0.436206       0.211420                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00                 NaN   99.3573                 NaN            NaN  0.207924       0.434782                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00                 NaN   99.3621                 NaN            NaN  0.431010       0.206876                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00                 NaN   99.3657                 NaN            NaN  0.204637       0.429643                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00                 NaN   99.3700                 NaN            NaN  0.203371       0.426599                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.4557                 NaN            NaN  0.618392       0.441270       0.484656                 NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00                 NaN   98.3096                 NaN            NaN  0.436144       0.686701       0.567563                 NaN            NaN            NaN            NaN            NaN
  1429.62        2500.00                 NaN   98.3424                 NaN  0.123186E-003  0.673757       0.427195       0.556569                 NaN            NaN            NaN            NaN            NaN
  1428.11        2500.00                 NaN   98.3721                 NaN  0.190156E-004  0.662439       0.418987       0.546499                 NaN            NaN            NaN            NaN            NaN
  1426.61        2500.00                 NaN   98.3766                 NaN  0.146293       0.426617       0.476615       0.573920                 NaN            NaN            NaN            NaN            NaN
  1425.11        2500.00                 NaN   98.4024                 NaN  0.176818       0.481926       0.367527       0.571303                 NaN            NaN            NaN            NaN            NaN
  1423.61        2500.00                 NaN   98.4280                 NaN  0.175322       0.478694       0.355450       0.562515                 NaN            NaN            NaN            NaN            NaN
  1422.11        2500.00                 NaN   98.4625                 NaN  0.174271       0.467924       0.344843       0.550461                 NaN            NaN            NaN            NaN            NaN
  1420.60        2500.00                 NaN   98.4776                 NaN  0.174541       0.340214       0.461300       0.546356                 NaN            NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.5334                 NaN  0.169840       0.321497       0.450156       0.525136                 NaN            NaN            NaN            NaN            NaN
  1417.60        2500.00                 NaN   98.5530                 NaN  0.169194       0.315866       0.442648       0.519272                 NaN            NaN            NaN            NaN            NaN
  1416.10        2500.00                 NaN   98.5569                 NaN  0.170977       0.309215       0.444901       0.517993                 NaN            NaN            NaN            NaN            NaN
  1414.59        2500.00                 NaN   98.5948                 NaN  0.167084       0.299918       0.433637       0.504587                 NaN            NaN            NaN            NaN            NaN
  1413.09        2500.00                 NaN   98.6179                 NaN  0.166712       0.290080       0.428417       0.496863                 NaN            NaN            NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.6419                 NaN  0.165477       0.422379       0.281714       0.488517                 NaN            NaN            NaN            NaN            NaN
  1410.09        2500.00                 NaN   98.6627                 NaN  0.164479       0.417116       0.274298       0.481427                 NaN            NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.6864                 NaN  0.163433       0.413245       0.263908       0.473026                 NaN            NaN            NaN            NaN            NaN
  1407.08        2500.00                 NaN   98.7059                 NaN  0.162323       0.257470       0.407974       0.466297                 NaN            NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.7302                 NaN  0.160606       0.400357       0.251150       0.457693                 NaN            NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.7534                 NaN  0.160159       0.395981       0.241249       0.449208                 NaN            NaN            NaN            NaN            NaN
  1402.58        2500.00                 NaN   98.7694                 NaN  0.158346       0.237761       0.390468       0.444034                 NaN            NaN            NaN            NaN            NaN
  1401.08        2500.00                 NaN   98.7920                 NaN  0.157240       0.385564       0.229309       0.435910                 NaN            NaN            NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.8102                 NaN  0.156557       0.381364       0.222285       0.429557                 NaN            NaN            NaN            NaN            NaN
  1398.07        2500.00                 NaN   98.8269                 NaN  0.156248       0.378272       0.214611       0.423999                 NaN            NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.8486                 NaN  0.153376       0.211789       0.370460       0.415761                 NaN            NaN            NaN            NaN            NaN
  1395.07        2500.00                 NaN   98.8647                 NaN  0.153330       0.368810       0.202653       0.410464                 NaN            NaN            NaN            NaN            NaN
  1393.56        2500.00                 NaN   98.8833                 NaN  0.152330       0.362876       0.197697       0.403809                 NaN            NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.8985                 NaN  0.151163       0.191710       0.360041       0.398554                 NaN            NaN            NaN            NaN            NaN
  1390.56        2500.00                 NaN   98.9175                 NaN  0.149325       0.187346       0.354383       0.391487                 NaN            NaN            NaN            NaN            NaN
  1389.06        2500.00                 NaN   98.9328                 NaN  0.148392       0.181713       0.351015       0.386087                 NaN            NaN            NaN            NaN            NaN
  1387.56        2500.00                 NaN   98.9488                 NaN  0.147857       0.176158       0.346603       0.380535                 NaN            NaN            NaN            NaN            NaN
  1386.05        2500.00                 NaN   98.9650                 NaN  0.146268       0.342668       0.171410       0.374607                 NaN            NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.9798                 NaN  0.145319       0.166347       0.339205       0.369357                 NaN            NaN            NaN            NaN            NaN
  1383.05        2500.00                 NaN   98.9944                 NaN  0.144236       0.161420       0.335877       0.364069                 NaN            NaN            NaN            NaN            NaN
  1381.55        2500.00                 NaN   99.0095                 NaN  0.143402       0.331585       0.156720       0.358838                 NaN            NaN            NaN            NaN            NaN
  1380.05        2500.00                 NaN   99.0237                 NaN  0.134370       0.323420       0.166437       0.352080                 NaN            NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   99.0366                 NaN  0.147462       0.329365       0.136296       0.350263                 NaN            NaN            NaN            NaN            NaN
  1377.04        2500.00                 NaN   99.0527                 NaN  0.139730       0.321999       0.142592       0.342981                 NaN            NaN            NaN            NaN            NaN
  1375.54        2500.00                 NaN   99.0650                 NaN  0.138352       0.317733       0.140352       0.338535                 NaN            NaN            NaN            NaN            NaN
  1374.04        2500.00                 NaN   99.0774                 NaN  0.137045       0.136704       0.314885       0.333998                 NaN            NaN            NaN            NaN            NaN
  1372.53        2500.00                 NaN   99.0902                 NaN  0.136009       0.132117       0.312380       0.329323                 NaN            NaN            NaN            NaN            NaN
  1371.03        2500.00                 NaN   99.1037                 NaN  0.134485       0.129504       0.307980       0.324351                 NaN            NaN            NaN            NaN            NaN
  1369.53        2500.00                 NaN   99.1159                 NaN  0.133434       0.126146       0.304542       0.319979                 NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.1272                 NaN  0.132156       0.123485       0.301342       0.315778                 NaN            NaN            NaN            NaN            NaN
  1366.53        2500.00                 NaN   99.1399                 NaN  0.130718       0.119596       0.298857       0.310962                 NaN            NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   99.1503                 NaN  0.128865       0.117393       0.296176       0.307266                 NaN            NaN            NaN            NaN            NaN
  1363.52        2500.00                 NaN   99.1639                 NaN  0.128378       0.292663       0.112956       0.302053                 NaN            NaN            NaN            NaN            NaN
  1362.02        2500.00                 NaN   99.1738                 NaN  0.126886       0.111270       0.289582       0.298510                 NaN            NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.1848                 NaN  0.125273       0.108921       0.286682       0.294299                 NaN            NaN            NaN            NaN            NaN
  1359.02        2500.00                 NaN   99.1953                 NaN  0.124196       0.283803       0.106138       0.290557                 NaN            NaN            NaN            NaN            NaN
  1357.51        2500.00                 NaN   99.2060                 NaN  0.122404       0.280923       0.104426       0.286277                 NaN            NaN            NaN            NaN            NaN
  1356.01        2500.00                 NaN   99.2157                 NaN  0.121270       0.278869       0.101524       0.282662                 NaN            NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.2260                 NaN  0.119282       0.274962       0.101038       0.278684                 NaN            NaN            NaN            NaN            NaN
  1353.01        2500.00                 NaN   99.2360                 NaN  0.118754       0.976045E-001  0.272356       0.275270                 NaN            NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.2454                 NaN  0.116385       0.268979       0.978609E-001  0.271325                 NaN            NaN            NaN            NaN            NaN
  1350.00        2500.00                 NaN   99.2553                 NaN  0.115336       0.943831E-001  0.267337       0.267641                 NaN            NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.2650                 NaN  0.113836       0.264123       0.930316E-001  0.264001                 NaN            NaN            NaN            NaN            NaN
  1347.00        2500.00                 NaN   99.2735                 NaN  0.113348       0.883260E-001  0.263897       0.260887                 NaN            NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.2838                 NaN  0.111843       0.884683E-001  0.258673       0.257262                 NaN            NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.2923                 NaN  0.107924       0.919730E-001  0.254670       0.253137                 NaN            NaN            NaN            NaN            NaN
  1342.49        2500.00                 NaN   99.2996                 NaN  0.106973       0.890362E-001  0.253909       0.250508                 NaN            NaN            NaN            NaN            NaN
  1340.99        2500.00                 NaN   99.3084                 NaN  0.105724       0.876656E-001  0.250988       0.247188                 NaN            NaN            NaN            NaN            NaN
  1339.49        2500.00                 NaN   99.3159                 NaN  0.104527       0.249983       0.853209E-001  0.244234                 NaN            NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.3247                 NaN  0.101814       0.245356       0.874399E-001  0.240674                 NaN            NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.3331                 NaN  0.101041       0.867184E-001  0.241272       0.237870                 NaN            NaN            NaN            NaN            NaN
  1334.98        2500.00                 NaN   99.3412                 NaN  0.991165E-001  0.847094E-001  0.240611       0.234334                 NaN            NaN            NaN            NaN            NaN
  1333.48        2500.00                 NaN   99.3481                 NaN  0.973536E-001  0.238284       0.846585E-001  0.231600                 NaN            NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3556                 NaN  0.957573E-001  0.235589       0.843267E-001  0.228689                 NaN            NaN            NaN            NaN            NaN
  1330.47        2500.00                 NaN   99.3632                 NaN  0.940039E-001  0.232578       0.845420E-001  0.225723                 NaN            NaN            NaN            NaN            NaN
  1328.97        2500.00                 NaN   99.3700                 NaN  0.921298E-001  0.230476       0.845120E-001  0.222882                 NaN            NaN            NaN            NaN            NaN
  1327.47        2500.00                 NaN   99.3774                 NaN  0.904218E-001  0.847390E-001  0.227424       0.220058                 NaN            NaN            NaN            NaN            NaN
  1325.97        2500.00                 NaN   99.3842                 NaN  0.885931E-001  0.224955       0.849509E-001  0.217304                 NaN            NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.3911                 NaN  0.868740E-001  0.851950E-001  0.222258       0.214575                 NaN            NaN            NaN            NaN            NaN
  1322.96        2500.00                 NaN   99.3514                 NaN  0.145828E-001  0.969673E-001  0.318632       0.218423                 NaN            NaN            NaN            NaN            NaN
  1321.46        2500.00                 NaN   99.4228                 NaN  0.111923       0.258702                 NaN  0.206617                 NaN            NaN            NaN            NaN            NaN
  1319.96        2500.00                 NaN   99.4280                 NaN  0.107525       0.260045                 NaN  0.204432                 NaN            NaN            NaN            NaN            NaN
  1318.46        2500.00                 NaN   99.4273                 NaN  0.952832E-001  0.299331E-001  0.244776       0.202695                 NaN            NaN            NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.4233                 NaN  0.779052E-001  0.209230       0.879008E-001  0.201638                 NaN            NaN            NaN            NaN            NaN
  1315.45        2500.00                 NaN   99.4290                 NaN  0.752998E-001  0.906819E-001  0.205826       0.199146                 NaN            NaN            NaN            NaN            NaN
  1313.95        2500.00                 NaN   83.3415                 NaN  0.946787        2.58278       0.290266        2.18629        10.6523                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   82.6368                 NaN  0.976110       0.803194E-001   2.91986        2.27310        11.1138                 NaN            NaN            NaN            NaN
  1310.95        2500.00                 NaN   84.2252                 NaN  0.859414        2.78922                 NaN   2.07714        10.0490                 NaN            NaN            NaN            NaN
  1309.44        2500.00                 NaN   85.5558                 NaN  0.752399        2.59322       0.297152E-001   1.91336        9.15553                 NaN            NaN            NaN            NaN
  1307.94        2500.00                 NaN   86.7209                 NaN  0.699373        2.42411                 NaN   1.76672        8.38894                 NaN            NaN            NaN            NaN
  1306.44        2500.00                 NaN   87.6553                 NaN  0.643260        2.27980                 NaN   1.65123        7.77045                 NaN            NaN            NaN            NaN
  1304.94        2500.00                 NaN   88.3361                 NaN  0.600957        2.18374                 NaN   1.56842        7.31081                 NaN            NaN            NaN            NaN
  1303.44        2500.00                 NaN   89.2189                 NaN  0.549679        2.04214                 NaN   1.45586        6.73344                 NaN            NaN            NaN            NaN
  1301.93        2500.00                 NaN   89.7929                 NaN  0.518908        1.94919                 NaN   1.38486        6.35415                 NaN            NaN            NaN            NaN
  1300.43        2500.00                 NaN   90.3439                 NaN  0.491034        1.85773                 NaN   1.31577        5.99153                 NaN            NaN            NaN            NaN
  1298.93        2500.00                 NaN   90.8126                 NaN  0.466555        1.78299                 NaN   1.25742        5.68043                 NaN            NaN            NaN            NaN
  1297.43        2500.00                 NaN   91.2513                 NaN  0.438066        1.71900                 NaN   1.20262        5.38899                 NaN            NaN            NaN            NaN
  1295.92        2500.00                 NaN   91.6269                 NaN  0.422141        1.65397                 NaN   1.15549        5.14153                 NaN            NaN            NaN            NaN
  1294.42        2500.00                 NaN   85.4561                 NaN  0.630460        2.63101                 NaN   1.96675        9.02003       0.295678                 NaN            NaN            NaN
