|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/WD94/WD94_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1587.55        2500.00                 NaN   99.3037                 NaN  0.609805       0.865093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.4409                 NaN  0.494702       0.644004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   99.9169                 NaN  0.774185E-001  0.568832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN   98.8493                 NaN   1.01581       0.134888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN   99.3910                 NaN  0.540358       0.686434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.3950                 NaN  0.537842       0.671179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN   99.4008                 NaN  0.533125       0.660621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN   99.4067                 NaN  0.521969       0.713066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN   99.4123                 NaN  0.528684       0.589881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN   99.4163                 NaN  0.520397       0.632996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN   99.4224                 NaN  0.525179       0.523774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4272                 NaN  0.500816       0.719901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN   99.4322                 NaN  0.506601       0.611631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4366                 NaN  0.503754       0.596907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN   99.4427                 NaN  0.498069       0.592369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN   99.4467                 NaN  0.494826       0.584452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN   99.4528                 NaN  0.489398       0.578054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.4526                 NaN  0.491618       0.557462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN   99.4628                 NaN  0.475230       0.619322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN   99.4700                 NaN  0.477004       0.529470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN   99.4574                 NaN  0.486571       0.560025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4865                 NaN  0.462485       0.509872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN   99.4760                 NaN  0.470870       0.530834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN   99.4846                 NaN  0.464035       0.513294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN   99.4859                 NaN  0.464185       0.499559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.4910                 NaN  0.458738       0.502149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00                 NaN   99.5621                 NaN  0.393979       0.439023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.4330                 NaN  0.511227       0.558044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN   99.5034                 NaN  0.448395       0.482439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN   99.5060                 NaN  0.447395       0.466225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN   99.5076                 NaN  0.447862       0.445304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN   99.5151                 NaN  0.439791       0.450836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN   99.5167                 NaN  0.438972       0.443432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN   99.5210                 NaN  0.435430       0.435969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN   99.6481                 NaN  0.320588       0.313562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.4041                 NaN  0.542115       0.537710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN   99.3970                 NaN  0.551493       0.515129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN   99.6708                 NaN  0.299238       0.299573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN   99.5365                 NaN  0.424023       0.394375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN   99.5432                 NaN  0.417382       0.394649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN   99.5450                 NaN  0.416477       0.385309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN   99.5482                 NaN  0.413885       0.379524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN   99.5496                 NaN  0.413123       0.372727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN   99.5560                 NaN  0.407288       0.367535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN   99.5562                 NaN  0.408729       0.350851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN   99.5603                 NaN  0.405058       0.346092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN   99.5628                 NaN  0.403204       0.340427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN   99.5669                 NaN  0.396601       0.365215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN   99.5686                 NaN  0.401409       0.299872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN   99.5706                 NaN  0.396972       0.324017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN   99.5732                 NaN  0.395367       0.314469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN   99.5785                 NaN  0.391681       0.298412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN   99.5797                 NaN  0.389829       0.305213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN   99.5235                 NaN  0.187778       0.460666E-002            NaN  0.284105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN   99.4843                 NaN            NaN  0.334396E-001            NaN  0.482254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN   99.4767                 NaN  0.468631E-001            NaN            NaN  0.476455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN   99.4755                 NaN            NaN  0.253786E-003            NaN  0.524271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN   99.6671                 NaN            NaN  0.419167E-001            NaN  0.291026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN   99.3020                 NaN            NaN            NaN            NaN  0.697968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN   99.4778                 NaN            NaN            NaN            NaN  0.522178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN   99.4776                 NaN            NaN            NaN            NaN  0.522429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00                 NaN   99.4794                 NaN            NaN            NaN            NaN  0.520622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   99.4796                 NaN            NaN            NaN            NaN  0.520436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.4786                 NaN            NaN            NaN            NaN  0.521432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN   99.4778                 NaN            NaN            NaN            NaN  0.522192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN   99.5377                 NaN            NaN            NaN            NaN  0.462317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN   99.4190                 NaN            NaN            NaN            NaN  0.580968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN   99.4766                 NaN            NaN            NaN            NaN  0.523368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN   99.4153                 NaN            NaN  0.866540E-006            NaN  0.584740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN   99.6739                 NaN            NaN            NaN            NaN  0.326063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN   99.3284                 NaN  0.269235E-001            NaN            NaN  0.644708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN   99.4679                 NaN            NaN            NaN            NaN  0.532061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN   99.4608                 NaN            NaN            NaN            NaN  0.539247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN   99.4548                 NaN            NaN            NaN            NaN  0.545224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN   99.4487                 NaN            NaN            NaN            NaN  0.551282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN   99.2958                 NaN            NaN            NaN            NaN  0.368371       0.335817                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN   99.2192                 NaN            NaN            NaN            NaN  0.253190       0.527610                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN   99.2228                 NaN            NaN            NaN            NaN  0.252859       0.524314                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN   99.2243                 NaN            NaN            NaN            NaN  0.250031       0.525668                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   99.2372                 NaN            NaN            NaN            NaN  0.514799       0.247953                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN   99.2419                 NaN            NaN            NaN            NaN  0.512860       0.245272                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN   99.2482                 NaN            NaN            NaN            NaN  0.507784       0.244038                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.2544                 NaN            NaN            NaN            NaN  0.505218       0.240369                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN   99.2608                 NaN            NaN            NaN            NaN  0.498854       0.240383                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN   99.2674                 NaN            NaN            NaN            NaN  0.236977       0.495664                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN   99.2726                 NaN            NaN            NaN            NaN  0.235834       0.491568                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN   99.2775                 NaN            NaN            NaN            NaN  0.234264       0.488275                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN   99.2861                 NaN            NaN            NaN            NaN  0.482619       0.231320                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN   99.2896                 NaN            NaN            NaN            NaN  0.480804       0.229582                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN   99.2936                 NaN            NaN            NaN            NaN  0.478507       0.227882                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN   99.3020                 NaN            NaN            NaN            NaN  0.472079       0.225949                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN   99.3060                 NaN            NaN            NaN            NaN  0.470279       0.223746                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN   99.3104                 NaN            NaN            NaN            NaN  0.221882       0.467681                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN   99.3163                 NaN            NaN            NaN            NaN  0.462366       0.221309                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN   99.3206                 NaN            NaN            NaN            NaN  0.218031       0.461415                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN   99.3261                 NaN            NaN            NaN            NaN  0.456857       0.217017                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN   99.3302                 NaN            NaN            NaN            NaN  0.215590       0.454160                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN   99.3359                 NaN            NaN            NaN            NaN  0.214139       0.449933                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN   99.3387                 NaN            NaN            NaN            NaN  0.449423       0.211878                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   99.3446                 NaN            NaN            NaN            NaN  0.444998       0.210372                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN   99.3492                 NaN            NaN            NaN            NaN  0.442602       0.208168                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN   99.3529                 NaN            NaN            NaN            NaN  0.440676       0.206379                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.69        2500.00                 NaN   98.3958                 NaN            NaN            NaN            NaN  0.642285       0.455698       0.506187                 NaN            NaN            NaN            NaN            NaN
  1431.17        2500.00                 NaN   98.2650                 NaN            NaN            NaN            NaN  0.449476       0.703847       0.581718                 NaN            NaN            NaN            NaN            NaN
  1429.66        2500.00                 NaN   98.2976                 NaN            NaN  0.311438E-003            NaN  0.690677       0.440970       0.570440                 NaN            NaN            NaN            NaN            NaN
  1428.14        2500.00                 NaN   98.3253                 NaN            NaN  0.174507E-001            NaN  0.440498       0.652285       0.564461                 NaN            NaN            NaN            NaN            NaN
  1426.62        2500.00                 NaN   98.3251                 NaN            NaN  0.187682                 NaN  0.508988       0.379884       0.598322                 NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN   98.3558                 NaN            NaN  0.186672                 NaN  0.367650       0.501625       0.588214                 NaN            NaN            NaN            NaN            NaN
  1423.58        2500.00                 NaN   98.3898                 NaN            NaN  0.184254                 NaN  0.357773       0.492225       0.575928                 NaN            NaN            NaN            NaN            NaN
  1422.07        2500.00                 NaN   98.4171                 NaN            NaN  0.183394                 NaN  0.346814       0.485921       0.566751                 NaN            NaN            NaN            NaN            NaN
  1420.55        2500.00                 NaN   98.4458                 NaN            NaN  0.182255                 NaN  0.335295       0.479745       0.556870                 NaN            NaN            NaN            NaN            NaN
  1419.03        2500.00                 NaN   98.4716                 NaN            NaN  0.181220                 NaN  0.473137       0.325938       0.548134                 NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.5024                 NaN            NaN  0.179436                 NaN  0.315621       0.465206       0.537314                 NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.5280                 NaN            NaN  0.178479                 NaN  0.306172       0.458715       0.528613                 NaN            NaN            NaN            NaN            NaN
  1414.47        2500.00                 NaN   98.5541                 NaN            NaN  0.177204                 NaN  0.296716       0.452512       0.519466                 NaN            NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5794                 NaN            NaN  0.176225                 NaN  0.287409       0.446245       0.510696                 NaN            NaN            NaN            NaN            NaN
  1411.44        2500.00                 NaN   98.6023                 NaN            NaN  0.175313                 NaN  0.440760       0.278619       0.503013                 NaN            NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.5878                 NaN            NaN  0.175104                 NaN  0.445473       0.282453       0.509203                 NaN            NaN            NaN            NaN            NaN
  1408.40        2500.00                 NaN   98.6837                 NaN            NaN  0.171768                 NaN  0.420322       0.250533       0.473636                 NaN            NaN            NaN            NaN            NaN
  1406.88        2500.00                 NaN   98.6750                 NaN            NaN  0.170761                 NaN  0.254595       0.422274       0.477372                 NaN            NaN            NaN            NaN            NaN
  1405.36        2500.00                 NaN   98.6956                 NaN            NaN  0.170166                 NaN  0.246544       0.417328       0.470358                 NaN            NaN            NaN            NaN            NaN
  1403.85        2500.00                 NaN   98.7052                 NaN            NaN  0.169992                 NaN  0.415837       0.240955       0.467997                 NaN            NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.7540                 NaN            NaN  0.168066                 NaN  0.403796       0.225630       0.448536                 NaN            NaN            NaN            NaN            NaN
  1400.81        2500.00                 NaN   98.7581                 NaN            NaN  0.166823                 NaN  0.402120       0.224461       0.448460                 NaN            NaN            NaN            NaN            NaN
  1399.29        2500.00                 NaN   98.7783                 NaN            NaN  0.165690                 NaN  0.217428       0.397151       0.441418                 NaN            NaN            NaN            NaN            NaN
  1397.77        2500.00                 NaN   98.7973                 NaN            NaN  0.164703                 NaN  0.392672       0.210694       0.434650                 NaN            NaN            NaN            NaN            NaN
  1396.26        2500.00                 NaN   98.8168                 NaN            NaN  0.163409                 NaN  0.387543       0.204401       0.427818                 NaN            NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN   98.8353                 NaN            NaN  0.162442                 NaN  0.197884       0.383126       0.421282                 NaN            NaN            NaN            NaN            NaN
  1393.22        2500.00                 NaN   98.8520                 NaN            NaN  0.161709                 NaN  0.379589       0.191249       0.415431                 NaN            NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN   98.8719                 NaN            NaN  0.159678                 NaN  0.374208       0.186040       0.408154                 NaN            NaN            NaN            NaN            NaN
  1390.18        2500.00                 NaN   98.8583                 NaN            NaN  0.138790                 NaN  0.344840       0.241926       0.416133                 NaN            NaN            NaN            NaN            NaN
  1388.66        2500.00                 NaN   98.9320                 NaN            NaN  0.179076                 NaN  0.104569       0.400602       0.383715                 NaN            NaN            NaN            NaN            NaN
  1387.15        2500.00                 NaN   98.9171                 NaN            NaN  0.155432                 NaN  0.174268       0.360794       0.392438                 NaN            NaN            NaN            NaN            NaN
  1385.63        2500.00                 NaN   98.9436                 NaN            NaN  0.157070                 NaN  0.359038       0.157706       0.382572                 NaN            NaN            NaN            NaN            NaN
  1384.11        2500.00                 NaN   98.9529                 NaN            NaN  0.154354                 NaN  0.354506       0.158893       0.379374                 NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.9685                 NaN            NaN  0.153172                 NaN  0.350821       0.153739       0.373738                 NaN            NaN            NaN            NaN            NaN
  1381.07        2500.00                 NaN   98.9838                 NaN            NaN  0.152124                 NaN  0.347181       0.148526       0.368354                 NaN            NaN            NaN            NaN            NaN
  1379.56        2500.00                 NaN   98.9989                 NaN            NaN  0.150480                 NaN  0.144729       0.343067       0.362830                 NaN            NaN            NaN            NaN            NaN
  1378.04        2500.00                 NaN   99.0118                 NaN            NaN  0.149738                 NaN  0.340510       0.139874       0.358111                 NaN            NaN            NaN            NaN            NaN
  1376.52        2500.00                 NaN   99.0282                 NaN            NaN  0.147752                 NaN  0.335901       0.136175       0.351996                 NaN            NaN            NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.0404                 NaN            NaN  0.147278                 NaN  0.332978       0.131555       0.347838                 NaN            NaN            NaN            NaN            NaN
  1373.48        2500.00                 NaN   99.0473                 NaN            NaN  0.148578                 NaN  0.328308       0.129900       0.345883                 NaN            NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.0760                 NaN            NaN  0.142333                 NaN  0.322727       0.124632       0.334259                 NaN            NaN            NaN            NaN            NaN
  1370.45        2500.00                 NaN   99.0808                 NaN            NaN  0.143066                 NaN  0.322213       0.120986       0.332958                 NaN            NaN            NaN            NaN            NaN
  1368.93        2500.00                 NaN   99.0936                 NaN            NaN  0.141900                 NaN  0.319649       0.116570       0.328315                 NaN            NaN            NaN            NaN            NaN
  1367.41        2500.00                 NaN   99.1058                 NaN            NaN  0.140231                 NaN  0.316040       0.114315       0.323660                 NaN            NaN            NaN            NaN            NaN
  1365.89        2500.00                 NaN   99.1166                 NaN            NaN  0.139099                 NaN  0.314436       0.110248       0.319648                 NaN            NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1281                 NaN            NaN  0.138161                 NaN  0.106208       0.312037       0.315480                 NaN            NaN            NaN            NaN            NaN
  1362.85        2500.00                 NaN   99.1419                 NaN            NaN  0.136016                 NaN  0.104390       0.307500       0.310156                 NaN            NaN            NaN            NaN            NaN
  1361.34        2500.00                 NaN   99.1530                 NaN            NaN  0.134244                 NaN  0.303823       0.102989       0.305991                 NaN            NaN            NaN            NaN            NaN
  1359.82        2500.00                 NaN   99.1613                 NaN            NaN  0.136072                 NaN  0.964346E-001  0.301758       0.304462                 NaN            NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN   99.1786                 NaN            NaN  0.129278                 NaN  0.992069E-001  0.297720       0.295204                 NaN            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.1856                 NaN            NaN  0.130317                 NaN  0.295015       0.952189E-001  0.293894                 NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00                 NaN   99.1959                 NaN            NaN  0.129325                 NaN  0.929181E-001  0.291620       0.290222                 NaN            NaN            NaN            NaN            NaN
  1353.75        2500.00                 NaN   99.2073                 NaN            NaN  0.126925                 NaN  0.288788       0.914037E-001  0.285548                 NaN            NaN            NaN            NaN            NaN
  1352.23        2500.00                 NaN   99.1309                 NaN            NaN  0.112684                 NaN  0.175946       0.268142       0.312299                 NaN            NaN            NaN            NaN            NaN
  1350.71        2500.00                 NaN   99.2960                 NaN            NaN  0.111398                 NaN  0.343375                 NaN  0.249179                 NaN            NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.2395                 NaN            NaN  0.126973                 NaN  0.288143       0.710337E-001  0.274341                 NaN            NaN            NaN            NaN            NaN
  1347.67        2500.00                 NaN   99.2608                 NaN            NaN  0.143973                 NaN  0.991747E-002  0.315621       0.269722                 NaN            NaN            NaN            NaN            NaN
  1346.15        2500.00                 NaN   99.2556                 NaN            NaN  0.118955                 NaN  0.819918E-001  0.276431       0.267067                 NaN            NaN            NaN            NaN            NaN
  1344.64        2500.00                 NaN   99.2651                 NaN            NaN  0.117521                 NaN  0.815106E-001  0.272358       0.263549                 NaN            NaN            NaN            NaN            NaN
  1343.12        2500.00                 NaN   99.2739                 NaN            NaN  0.115926                 NaN  0.804834E-001  0.269493       0.260151                 NaN            NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.2817                 NaN            NaN  0.114118                 NaN  0.267962       0.791474E-001  0.257104                 NaN            NaN            NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2902                 NaN            NaN  0.112440                 NaN  0.265887       0.778380E-001  0.253612                 NaN            NaN            NaN            NaN            NaN
  1338.56        2500.00                 NaN   99.3001                 NaN            NaN  0.110055                 NaN  0.784301E-001  0.261768       0.249622                 NaN            NaN            NaN            NaN            NaN
  1337.04        2500.00                 NaN   99.3080                 NaN            NaN  0.108576                 NaN  0.778855E-001  0.258810       0.246710                 NaN            NaN            NaN            NaN            NaN
  1335.53        2500.00                 NaN   99.3166                 NaN            NaN  0.107137                 NaN  0.256300       0.764675E-001  0.243478                 NaN            NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.3242                 NaN            NaN  0.104969                 NaN  0.253336       0.771156E-001  0.240352                 NaN            NaN            NaN            NaN            NaN
  1332.49        2500.00                 NaN   99.3278                 NaN            NaN  0.103999                 NaN  0.775622E-001  0.251500       0.239157                 NaN            NaN            NaN            NaN            NaN
