|6.6.6
Archiving\03_Data\eqfrac/QFM/ALH/ALH_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1440.75        2500.00        99.1443                 NaN  0.282606E-001  0.527445       0.300006                 NaN            NaN            NaN            NaN            NaN
  1439.37        2500.00        99.1481                 NaN  0.272341E-001  0.300320       0.524333                 NaN            NaN            NaN            NaN            NaN
  1437.98        2500.00        99.1503                 NaN  0.263370E-001  0.300543       0.522802                 NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00        99.1567                 NaN  0.250568E-001  0.299813       0.518419                 NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00        99.1578                 NaN  0.243496E-001  0.300194       0.517675                 NaN            NaN            NaN            NaN            NaN
  1433.84        2500.00        99.1632                 NaN  0.229427E-001  0.513767       0.300054                 NaN            NaN            NaN            NaN            NaN
  1432.46        2500.00        99.1653                 NaN  0.223722E-001  0.510931       0.301431                 NaN            NaN            NaN            NaN            NaN
  1431.08        2500.00        99.1681                 NaN  0.208176E-001  0.300157       0.510947                 NaN            NaN            NaN            NaN            NaN
  1429.69        2500.00        99.1737                 NaN  0.202180E-001  0.505867       0.300260                 NaN            NaN            NaN            NaN            NaN
  1428.31        2500.00        99.2323                 NaN  0.287158E-001  0.473418       0.265528                 NaN            NaN            NaN            NaN            NaN
  1426.93        2500.00        99.1196                 NaN  0.863813E-002  0.336532       0.535271                 NaN            NaN            NaN            NaN            NaN
  1425.55        2500.00        99.1773                 NaN  0.159566E-001  0.303799       0.502963                 NaN            NaN            NaN            NaN            NaN
  1424.17        2500.00        99.1870                 NaN  0.170367E-001  0.497238       0.298749                 NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00        99.1863                 NaN  0.152334E-001  0.301515       0.496993                 NaN            NaN            NaN            NaN            NaN
  1421.40        2500.00        99.1887                 NaN  0.142672E-001  0.301698       0.495303                 NaN            NaN            NaN            NaN            NaN
  1420.02        2500.00        99.1918                 NaN  0.133197E-001  0.301838       0.493059                 NaN            NaN            NaN            NaN            NaN
  1418.64        2500.00        99.1926                 NaN  0.126313E-001  0.492468       0.302261                 NaN            NaN            NaN            NaN            NaN
  1417.26        2500.00        99.1964                 NaN  0.112818E-001  0.302487       0.489789                 NaN            NaN            NaN            NaN            NaN
  1415.88        2500.00        99.1980                 NaN  0.109116E-001  0.302511       0.488544                 NaN            NaN            NaN            NaN            NaN
  1414.50        2500.00        99.1986                 NaN  0.972363E-002  0.488107       0.303579                 NaN            NaN            NaN            NaN            NaN
  1413.11        2500.00        99.2028                 NaN  0.833436E-002  0.486280       0.302557                 NaN            NaN            NaN            NaN            NaN
  1411.73        2500.00        99.2038                 NaN  0.755472E-002  0.484702       0.303925                 NaN            NaN            NaN            NaN            NaN
  1410.35        2500.00        99.2053                 NaN  0.667798E-002  0.483466       0.304566                 NaN            NaN            NaN            NaN            NaN
  1408.97        2500.00        99.2078                 NaN  0.557486E-002  0.482181       0.304458                 NaN            NaN            NaN            NaN            NaN
  1407.59        2500.00        99.0189                 NaN  0.680295E-001  0.492753       0.312848       0.107508                 NaN            NaN            NaN            NaN
  1406.21        2500.00        98.4384                 NaN  0.265823       0.524547       0.331451       0.439784                 NaN            NaN            NaN            NaN
  1404.82        2500.00        98.4524                 NaN  0.267436       0.521310       0.323042       0.435789                 NaN            NaN            NaN            NaN
  1403.44        2500.00        98.4762                 NaN  0.265995       0.315309       0.513566       0.428979                 NaN            NaN            NaN            NaN
  1402.06        2500.00        98.4919                 NaN  0.267079       0.509958       0.306284       0.424742                 NaN            NaN            NaN            NaN
  1400.68        2500.00        98.5088                 NaN  0.267715       0.298788       0.504768       0.419961                 NaN            NaN            NaN            NaN
  1399.30        2500.00        98.5251                 NaN  0.268062       0.500584       0.290878       0.415327                 NaN            NaN            NaN            NaN
  1397.92        2500.00        98.5423                 NaN  0.268713       0.282893       0.495645       0.410429                 NaN            NaN            NaN            NaN
  1396.53        2500.00        98.5575                 NaN  0.269364       0.491465       0.275522       0.406184                 NaN            NaN            NaN            NaN
  1395.15        2500.00        98.5731                 NaN  0.269895       0.268077       0.487286       0.401608                 NaN            NaN            NaN            NaN
  1393.77        2500.00        98.5874                 NaN  0.270166       0.261236       0.483156       0.397992                 NaN            NaN            NaN            NaN
  1392.39        2500.00        98.6050                 NaN  0.270568       0.478178       0.253678       0.392612                 NaN            NaN            NaN            NaN
  1391.01        2500.00        98.6160                 NaN  0.271336       0.475688       0.247689       0.389261                 NaN            NaN            NaN            NaN
  1389.63        2500.00        98.6326                 NaN  0.271700       0.240343       0.470600       0.384741                 NaN            NaN            NaN            NaN
  1388.24        2500.00        98.6448                 NaN  0.272676       0.467692       0.233427       0.381437                 NaN            NaN            NaN            NaN
  1386.86        2500.00        98.6594                 NaN  0.272737       0.463610       0.227131       0.377102                 NaN            NaN            NaN            NaN
  1385.48        2500.00        98.6709                 NaN  0.273704       0.460869       0.220748       0.373810                 NaN            NaN            NaN            NaN
  1384.10        2500.00        98.6853                 NaN  0.274253       0.214314       0.456114       0.370001                 NaN            NaN            NaN            NaN
  1382.72        2500.00        98.6979                 NaN  0.274665       0.453650       0.207596       0.366236                 NaN            NaN            NaN            NaN
  1381.34        2500.00        98.7120                 NaN  0.274406       0.449242       0.202397       0.361915                 NaN            NaN            NaN            NaN
  1379.95        2500.00        98.7231                 NaN  0.275412       0.195904       0.446463       0.359088                 NaN            NaN            NaN            NaN
  1378.57        2500.00        98.7337                 NaN  0.276507       0.444120       0.189543       0.356106                 NaN            NaN            NaN            NaN
  1377.19        2500.00        98.7478                 NaN  0.275963       0.439594       0.184988       0.351671                 NaN            NaN            NaN            NaN
  1375.81        2500.00        98.7574                 NaN  0.276749       0.179645       0.437458       0.348795                 NaN            NaN            NaN            NaN
  1374.43        2500.00        98.6992                 NaN  0.228588       0.444426       0.236651       0.350969       0.401474E-001            NaN            NaN            NaN
  1373.05        2500.00        98.6236                 NaN  0.169388       0.463536       0.302979       0.353988       0.865165E-001            NaN            NaN            NaN
  1371.66        2500.00        98.5495                 NaN  0.115878       0.359550       0.489839       0.356826       0.128376                 NaN            NaN            NaN
  1370.28        2500.00        98.4348                 NaN  0.346120E-001  0.445407       0.534433       0.361826       0.188912                 NaN            NaN            NaN
  1368.90        2500.00        98.3362                 NaN            NaN  0.472085       0.580551       0.372549       0.238661                 NaN            NaN            NaN
  1367.52        2500.00        98.2837                 NaN            NaN  0.610323       0.457585       0.381404       0.266981                 NaN            NaN            NaN
  1366.14        2500.00        98.2511                 NaN            NaN  0.444152       0.631212       0.386726       0.286804                 NaN            NaN            NaN
  1364.76        2500.00        98.2437                 NaN            NaN  0.640503       0.430875       0.387298       0.297619                 NaN            NaN            NaN
  1363.38        2500.00        98.2513                 NaN            NaN  0.641218       0.420294       0.385409       0.301737                 NaN            NaN            NaN
  1361.99        2500.00        98.2677                 NaN            NaN  0.636919       0.411065       0.382084       0.302216                 NaN            NaN            NaN
  1360.61        2500.00        98.2966                 NaN            NaN  0.404649       0.624461       0.377054       0.297269                 NaN            NaN            NaN
  1359.23        2500.00        98.3129                 NaN            NaN  0.622134       0.393289       0.372879       0.298754                 NaN            NaN            NaN
  1357.85        2500.00        98.3368                 NaN            NaN  0.385437       0.613855       0.368435       0.295488                 NaN            NaN            NaN
  1356.47        2500.00        98.3622                 NaN            NaN  0.378682       0.603749       0.363819       0.291538                 NaN            NaN            NaN
  1355.09        2500.00        98.3918                 NaN            NaN  0.592722       0.370852       0.357730       0.286930                 NaN            NaN            NaN
  1353.70        2500.00        98.4187                 NaN            NaN  0.581908       0.364260       0.352708       0.282396                 NaN            NaN            NaN
  1352.32        2500.00        98.4451                 NaN            NaN  0.571394       0.357908       0.347611       0.278030                 NaN            NaN            NaN
  1350.94        2500.00        98.4717                 NaN            NaN  0.560888       0.351541       0.342427       0.273396                 NaN            NaN            NaN
  1349.56        2500.00        98.4973                 NaN            NaN  0.550719       0.345558       0.337494       0.268938                 NaN            NaN            NaN
  1348.18        2500.00        98.5227                 NaN            NaN  0.540088       0.340268       0.332684       0.264265                 NaN            NaN            NaN
  1346.80        2500.00        98.5474                 NaN            NaN  0.530576       0.334357       0.327766       0.259885                 NaN            NaN            NaN
  1345.41        2500.00        98.5721                 NaN            NaN  0.329559       0.519817       0.323162       0.255325                 NaN            NaN            NaN
  1344.03        2500.00        98.5958                 NaN            NaN  0.323677       0.511095       0.318307       0.251129                 NaN            NaN            NaN
  1342.65        2500.00        98.6202                 NaN            NaN  0.500807       0.318832       0.313650       0.246470                 NaN            NaN            NaN
  1341.27        2500.00        98.6428                 NaN            NaN  0.491700       0.313867       0.309325       0.242313                 NaN            NaN            NaN
  1339.89        2500.00        98.6655                 NaN            NaN  0.482652       0.308848       0.304905       0.238095                 NaN            NaN            NaN
  1338.51        2500.00        98.6871                 NaN            NaN  0.473524       0.304915       0.300608       0.233894                 NaN            NaN            NaN
  1337.12        2500.00        98.7085                 NaN            NaN  0.465274       0.299720       0.296419       0.230112                 NaN            NaN            NaN
  1335.74        2500.00        98.7294                 NaN            NaN  0.456515       0.295958       0.292302       0.225837                 NaN            NaN            NaN
  1334.36        2500.00        98.7495                 NaN            NaN  0.448318       0.291804       0.288443       0.221978                 NaN            NaN            NaN
  1332.98        2500.00        98.7700                 NaN            NaN  0.440095       0.287502       0.284295       0.218116                 NaN            NaN            NaN
  1331.60        2500.00        98.7896                 NaN            NaN  0.283551       0.432061       0.280474       0.214299                 NaN            NaN            NaN
  1330.22        2500.00        98.8086                 NaN            NaN  0.424506       0.279596       0.276623       0.210651                 NaN            NaN            NaN
  1328.83        2500.00        98.8277                 NaN            NaN  0.416474       0.276138       0.272750       0.206920                 NaN            NaN            NaN
  1327.45        2500.00        98.8452                 NaN            NaN  0.272450       0.409565       0.269466       0.203319                 NaN            NaN            NaN
  1326.07        2500.00        98.8632                 NaN            NaN  0.402072       0.269166       0.265701       0.199842                 NaN            NaN            NaN
  1324.69        2500.00        98.8810                 NaN            NaN  0.394766       0.265900       0.262209       0.196139                 NaN            NaN            NaN
  1323.31        2500.00        98.8976                 NaN            NaN  0.388071       0.262552       0.258955       0.192812                 NaN            NaN            NaN
  1321.93        2500.00        98.9146                 NaN            NaN  0.381414       0.258958       0.255411       0.189596                 NaN            NaN            NaN
  1320.54        2500.00        98.9312                 NaN            NaN  0.374433       0.256172       0.252151       0.186064                 NaN            NaN            NaN
  1319.16        2500.00        98.9472                 NaN            NaN  0.367838       0.253271       0.249000       0.182712                 NaN            NaN            NaN
  1317.78        2500.00        98.9623                 NaN            NaN  0.361646       0.250560       0.245879       0.179602                 NaN            NaN            NaN
  1316.40        2500.00        98.9782                 NaN            NaN  0.355319       0.247393       0.242560       0.176528                 NaN            NaN            NaN
  1315.02        2500.00        98.9927                 NaN            NaN  0.244758       0.349498       0.239695       0.173376                 NaN            NaN            NaN
  1313.64        2500.00        99.0076                 NaN            NaN  0.343454       0.241996       0.236630       0.170305                 NaN            NaN            NaN
  1312.25        2500.00        99.0219                 NaN            NaN  0.239721       0.337250       0.233846       0.167306                 NaN            NaN            NaN
  1310.87        2500.00        99.0347                 NaN            NaN  0.237629       0.331961       0.231288       0.164455                 NaN            NaN            NaN
  1309.49        2500.00        99.0512                 NaN            NaN  0.325674       0.234410       0.227617       0.161090                 NaN            NaN            NaN
  1308.11        2500.00        99.0632                 NaN            NaN  0.232592       0.320527       0.225298       0.158399                 NaN            NaN            NaN
  1306.73        2500.00        99.0761                 NaN            NaN  0.315295       0.230312       0.222684       0.155618                 NaN            NaN            NaN
  1305.35        2500.00        99.0890                 NaN            NaN  0.228255       0.309871       0.220049       0.152846                 NaN            NaN            NaN
  1303.96        2500.00        99.1026                 NaN            NaN  0.304565       0.225732       0.217247       0.149879                 NaN            NaN            NaN
  1302.58        2500.00        99.1139                 NaN            NaN  0.224228       0.299665       0.214840       0.147325                 NaN            NaN            NaN
  1301.20        2500.00        99.1266                 NaN            NaN  0.294315       0.222163       0.212302       0.144644                 NaN            NaN            NaN
  1299.82        2500.00        99.1384                 NaN            NaN  0.289762       0.220003       0.209770       0.142026                 NaN            NaN            NaN
  1298.44        2500.00        99.1501                 NaN            NaN  0.218340       0.284751       0.207416       0.139416                 NaN            NaN            NaN
  1297.06        2500.00        76.3489                 NaN            NaN   3.11154        3.25577        2.89112        1.88284        12.5099                 NaN            NaN
  1295.67        2500.00        74.5547                 NaN            NaN   3.25766        3.52823        3.10274        1.97692        13.5797                 NaN            NaN
  1294.29        2500.00        79.4843                 NaN            NaN   2.60408        2.87545        2.51986        1.58074        10.9355                 NaN            NaN
  1292.91        2500.00        82.9243                 NaN            NaN   2.41500        2.15123        2.11176        1.30707        9.09064                 NaN            NaN
  1291.53        2500.00        85.0788                 NaN            NaN   2.12806        1.86532        1.85791        1.13682        7.93310                 NaN            NaN
  1290.15        2500.00        83.4617                 NaN            NaN   2.35696        2.15363        2.09281        1.18713        8.74780                 NaN            NaN
  1288.77        2500.00        92.1500                 NaN            NaN   1.17243       0.938725       0.980260       0.591575        4.16702                 NaN            NaN
  1287.38        2500.00        90.6078                 NaN            NaN   1.17658        1.32483        1.18668       0.725309        4.97875                 NaN            NaN
  1286.00        2500.00        90.8613                 NaN            NaN   1.30285        1.12691        1.16365       0.703600        4.84167                 NaN            NaN
  1284.62        2500.00        92.0027                 NaN            NaN   1.13373       0.987189        1.02163       0.624911        4.22985                 NaN            NaN
  1283.24        2500.00        95.2096                 NaN            NaN  0.589127       0.694342       0.612609       0.341792        2.55253                 NaN            NaN
  1281.86        2500.00        85.0077                 NaN            NaN   2.22033        1.79855        1.98312        1.21891        7.77136                 NaN            NaN
  1280.48        2500.00        90.0369                 NaN            NaN   1.24509        1.35269        1.20779       0.382557        5.46584       0.309111                 NaN
  1279.09        2500.00        99.7623                 NaN            NaN  0.391157E-001  0.270237E-001  0.299900E-001  0.739531E-002  0.125470       0.875142E-002            NaN
  1277.71        2500.00        98.0916                 NaN            NaN  0.214880       0.313404       0.249218       0.537558E-001  0.994676       0.824266E-001            NaN
  1276.33        2500.00        99.7549                 NaN            NaN  0.715585E-002  0.419924E-001  0.261711E-001  0.191830E-001  0.150572                 NaN            NaN
  1274.95        2500.00        78.9151                 NaN            NaN   2.29149        3.62398        2.70700       0.498655        11.1160       0.847795                 NaN
  1273.57        2500.00        99.9634                 NaN            NaN            NaN            NaN  0.818275E-002            NaN  0.283832E-001            NaN            NaN
  1272.19        2500.00        99.7076                 NaN            NaN  0.495166E-001  0.284128E-001  0.285599E-001  0.173641E-001  0.163405       0.517110E-002            NaN
  1270.80        2500.00        97.7282                 NaN            NaN  0.407811       0.232731       0.304720       0.557740E-001   1.16738       0.103351                 NaN
  1269.42        2500.00        89.8361                 NaN            NaN   1.64722        1.14033        1.29887       0.276084        5.41321       0.388188                 NaN
  1268.04        2500.00        93.0291                 NaN            NaN   1.14466       0.772329       0.903799       0.189511        3.68520       0.275435                 NaN
  1266.66        2500.00        99.7129                 NaN            NaN  0.303238E-001  0.517755E-001  0.397255E-001  0.723003E-002  0.144189       0.138146E-001            NaN
  1265.28        2500.00        99.6056                 NaN            NaN  0.375143E-001  0.651530E-001  0.483506E-001            NaN  0.215163       0.281715E-001            NaN
  1263.90        2500.00        90.4474                 NaN            NaN   1.06705        1.57002        1.24295       0.267218        5.04520       0.360143                 NaN
  1262.51        2500.00        94.0288                 NaN            NaN  0.658474       0.979057       0.778886       0.168080        3.15549       0.231229                 NaN
  1261.13        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1259.75        2500.00        94.7499                 NaN            NaN  0.843358       0.582506       0.686024       0.153098        2.78267       0.202400                 NaN
  1258.37        2500.00        96.4513                 NaN            NaN  0.562387       0.396255       0.464232       0.107156        1.88310       0.135580                 NaN
  1256.99        2500.00        96.5361                 NaN            NaN  0.387806       0.541320       0.453475       0.108066        1.84197       0.131245                 NaN
  1255.61        2500.00        96.8694                 NaN            NaN  0.711322                 NaN  0.420204       0.210389        1.66061       0.128040                 NaN
  1254.22        2500.00        99.8021                 NaN            NaN  0.493833E-001  0.119982E-001  0.266747E-001            NaN  0.101159       0.866037E-002            NaN
  1252.84        2500.00        89.4162                 NaN            NaN   2.37244       0.699403        1.38045       0.102146        5.62003       0.409357                 NaN
  1251.46        2500.00        99.4604                 NaN            NaN  0.924404E-001  0.436648E-001  0.679774E-001  0.164036E-001  0.304928       0.141689E-001            NaN
  1250.08        2500.00        99.9646                 NaN            NaN  0.158127E-001  0.154924E-004  0.424446E-002            NaN  0.128314E-001  0.254355E-002            NaN
  1248.70        2500.00        99.0795                 NaN            NaN  0.137255       0.101641       0.118169       0.275345E-001  0.501059       0.348100E-001            NaN
  1247.32        2500.00        90.7083                 NaN            NaN   1.57685       0.963911        1.23601       0.243038        4.91209       0.359755                 NaN
  1245.93        2500.00        99.5814                 NaN            NaN  0.266232E-001  0.138478       0.816439E-001  0.957762E-004  0.134921       0.367998E-001            NaN
  1244.55        2500.00        99.2706                 NaN            NaN  0.330371E-002  0.687265E-001  0.578849E-001  0.754813E-001  0.523955                 NaN            NaN
  1243.17        2500.00        97.4133                 NaN            NaN  0.681409                 NaN  0.369574       0.206943        1.30819       0.205985E-001            NaN
  1241.79        2500.00        97.2365                 NaN            NaN  0.700472                 NaN  0.320688                 NaN   1.59980       0.142574                 NaN
  1240.41        2500.00        96.0113                 NaN            NaN  0.220391       0.700455       0.510161       0.217943        2.20421       0.135530                 NaN
  1239.03        2500.00       100.0000                 NaN            NaN  0.370053E-005            NaN  0.275678E-005  0.353810E-005            NaN            NaN            NaN
  1237.64        2500.00        97.4809                 NaN            NaN  0.757883       0.160416E-001  0.341135       0.188337E-001   1.30359       0.815834E-001            NaN
  1236.26        2500.00        97.8595                 NaN            NaN  0.182880       0.416108       0.273949                 NaN   1.17456       0.930121E-001            NaN
  1234.88        2500.00        96.4534                 NaN            NaN  0.508415       0.368239       0.452825       0.117030        1.97812       0.121973                 NaN
