|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1400.64        500.000                 NaN   99.9840       0.468126E-002  0.480790E-002            NaN  0.530973E-002  0.121864E-002            NaN            NaN            NaN
  1399.57        500.000                 NaN   99.9615       0.835709E-002  0.129825E-001            NaN  0.134488E-001  0.374396E-002            NaN            NaN            NaN
  1398.50        500.000                 NaN   97.9599       0.488989       0.678199                 NaN  0.699068       0.173839                 NaN            NaN            NaN
  1397.43        500.000                 NaN   98.8816       0.261275       0.374362                 NaN  0.384070       0.986930E-001            NaN            NaN            NaN
  1396.37        500.000                 NaN   98.6912       0.442469       0.297258                 NaN  0.450297       0.118781                 NaN            NaN            NaN
  1395.30        500.000                 NaN   99.1204       0.297015       0.198897                 NaN  0.302698       0.809953E-001            NaN            NaN            NaN
  1394.23        500.000                 NaN   98.9248       0.240846       0.364172                 NaN  0.370244       0.999018E-001            NaN            NaN            NaN
  1393.16        500.000                 NaN   98.9360       0.361489       0.235313                 NaN  0.366737       0.100473                 NaN            NaN            NaN
  1392.09        500.000                 NaN   98.9509       0.228378       0.357632                 NaN  0.362044       0.101088                 NaN            NaN            NaN
  1391.02        500.000                 NaN   98.9646       0.221804       0.355170                 NaN  0.357469       0.100929                 NaN            NaN            NaN
  1389.96        500.000                 NaN   98.9733       0.353841       0.215919                 NaN  0.355060       0.101911                 NaN            NaN            NaN
  1388.89        500.000                 NaN   98.9934       0.348364       0.208090                 NaN  0.348138       0.101973                 NaN            NaN            NaN
  1387.82        500.000                 NaN   98.9992       0.204470       0.347154                 NaN  0.346643       0.102486                 NaN            NaN            NaN
  1386.75        500.000                 NaN   99.0161       0.196545       0.343604                 NaN  0.341033       0.102710                 NaN            NaN            NaN
  1385.68        500.000                 NaN   99.0272       0.340510       0.191824                 NaN  0.337508       0.102955                 NaN            NaN            NaN
  1384.61        500.000                 NaN   99.0387       0.185804       0.338248                 NaN  0.333824       0.103466                 NaN            NaN            NaN
  1383.55        500.000                 NaN   99.0500       0.335792       0.180111                 NaN  0.330248       0.103877                 NaN            NaN            NaN
  1382.48        500.000                 NaN   99.0609       0.333495       0.175176                 NaN  0.326649       0.103811                 NaN            NaN            NaN
  1381.41        500.000                 NaN   99.0700       0.330750       0.170975                 NaN  0.323806       0.104484                 NaN            NaN            NaN
  1380.34        500.000                 NaN   99.0859       0.162858       0.328002                 NaN  0.318516       0.104745                 NaN            NaN            NaN
  1379.27        500.000                 NaN   99.0930       0.326280       0.160055                 NaN  0.316199       0.104437                 NaN            NaN            NaN
  1378.20        500.000                 NaN   99.1044       0.323876       0.154338                 NaN  0.312515       0.104873                 NaN            NaN            NaN
  1377.13        500.000                 NaN   99.1140       0.148337       0.322583                 NaN  0.309501       0.105544                 NaN            NaN            NaN
  1376.07        500.000                 NaN   99.1204       0.149311       0.317298                 NaN  0.307884       0.105075                 NaN            NaN            NaN
  1375.00        500.000                 NaN   99.1385       0.319151       0.136415                 NaN  0.300708       0.105196                 NaN            NaN            NaN
  1373.93        500.000                 NaN   99.1451       0.315097       0.134935                 NaN  0.299272       0.105561                 NaN            NaN            NaN
  1372.86        500.000                 NaN   99.1542       0.313200       0.130645                 NaN  0.296261       0.105735                 NaN            NaN            NaN
  1371.79        500.000                 NaN   99.1601       0.127968       0.312162                 NaN  0.294353       0.105437                 NaN            NaN            NaN
  1370.72        500.000                 NaN   99.1702       0.119360       0.311309                 NaN  0.291460       0.107698                 NaN            NaN            NaN
  1369.66        500.000                 NaN   99.1873       0.304513       0.119397                 NaN  0.284593       0.104238                 NaN            NaN            NaN
  1368.59        500.000                 NaN   99.1779       0.311344       0.112911                 NaN  0.289677       0.108213                 NaN            NaN            NaN
  1367.52        500.000                 NaN   99.2130       0.299055       0.108046                 NaN  0.275823       0.104028                 NaN            NaN            NaN
  1366.45        500.000                 NaN   99.2105       0.106830       0.299940                 NaN  0.277387       0.105332                 NaN            NaN            NaN
  1365.38        500.000                 NaN   99.2172       0.299990       0.101297                 NaN  0.275517       0.106045                 NaN            NaN            NaN
  1364.31        500.000                 NaN   99.2271       0.296810       0.980395E-001            NaN  0.272011       0.106020                 NaN            NaN            NaN
  1363.25        500.000                 NaN   99.2349       0.295715       0.948277E-001            NaN  0.269240       0.105278                 NaN            NaN            NaN
  1362.18        500.000                 NaN   99.2425       0.294258       0.902520E-001            NaN  0.266962       0.106032                 NaN            NaN            NaN
  1361.11        500.000                 NaN   99.2508       0.885992E-001  0.291963                 NaN  0.263886       0.104772                 NaN            NaN            NaN
  1360.04        500.000                 NaN   99.2595       0.291104       0.827514E-001            NaN  0.261119       0.105576                 NaN            NaN            NaN
  1358.97        500.000                 NaN   99.2574       0.786812E-001  0.293803                 NaN  0.262808       0.107275                 NaN            NaN            NaN
  1357.90        500.000                 NaN   99.2809       0.813124E-001  0.283975                 NaN  0.252394       0.101453                 NaN            NaN            NaN
  1356.84        500.000                 NaN   99.5374       0.470034E-001  0.185527                 NaN  0.163184       0.668945E-001            NaN            NaN            NaN
  1355.77        500.000                 NaN   99.0299       0.385027       0.103243                 NaN  0.341698       0.140137                 NaN            NaN            NaN
  1354.70        500.000                 NaN   99.2954       0.284539       0.672131E-001            NaN  0.248682       0.104206                 NaN            NaN            NaN
  1353.63        500.000                 NaN   99.3046       0.664929E-001  0.280202                 NaN  0.245389       0.103298                 NaN            NaN            NaN
  1352.56        500.000                 NaN   99.3115       0.279018       0.629645E-001            NaN  0.243183       0.103351                 NaN            NaN            NaN
  1351.49        500.000                 NaN   99.3169       0.639809E-001  0.275688                 NaN  0.241230       0.102168                 NaN            NaN            NaN
  1350.43        500.000                 NaN   99.3274       0.277400       0.535277E-001            NaN  0.237784       0.103884                 NaN            NaN            NaN
  1349.36        500.000                 NaN   99.3325       0.551653E-001  0.274257                 NaN  0.235857       0.102252                 NaN            NaN            NaN
  1348.29        500.000                 NaN   99.3395       0.273393       0.512871E-001            NaN  0.233520       0.102304                 NaN            NaN            NaN
  1347.22        500.000                 NaN   99.3418       0.538351E-001  0.271822                 NaN  0.232473       0.100053                 NaN            NaN            NaN
  1346.15        500.000                 NaN   99.3547       0.426775E-001  0.271634                 NaN  0.228301       0.102714                 NaN            NaN            NaN
  1345.08        500.000                 NaN   99.3602       0.266948       0.475162E-001            NaN  0.225787       0.995052E-001            NaN            NaN            NaN
  1344.02        500.000                 NaN   99.3649       0.441982E-001  0.266815                 NaN  0.224317       0.997239E-001            NaN            NaN            NaN
  1342.95        500.000                 NaN   99.3709       0.265872       0.415512E-001            NaN  0.222285       0.993985E-001            NaN            NaN            NaN
  1341.88        500.000                 NaN   99.3748       0.266654       0.370908E-001            NaN  0.221159       0.100263                 NaN            NaN            NaN
  1340.81        500.000                 NaN   99.3853       0.394217E-001  0.261173                 NaN  0.216760       0.973847E-001            NaN            NaN            NaN
  1339.74        500.000                 NaN   99.3900       0.259311       0.384273E-001            NaN  0.215311       0.969100E-001            NaN            NaN            NaN
  1338.67        500.000                 NaN   99.3950       0.258949       0.359604E-001            NaN  0.213484       0.966500E-001            NaN            NaN            NaN
  1337.61        500.000                 NaN   99.4018       0.353360E-001  0.257013                 NaN  0.210786       0.950579E-001            NaN            NaN            NaN
  1336.54        500.000                 NaN   99.4062       0.256950       0.325490E-001            NaN  0.209293       0.950382E-001            NaN            NaN            NaN
  1335.47        500.000                 NaN   99.4131       0.298044E-001  0.255328                 NaN  0.206978       0.948222E-001            NaN            NaN            NaN
  1334.40        500.000                 NaN   99.7543       0.848564E-001            NaN            NaN  0.885906E-001  0.722113E-001            NaN            NaN            NaN
  1333.33        500.000                 NaN   99.0829       0.408544       0.824985E-001            NaN  0.319376       0.106670                 NaN            NaN            NaN
  1332.26        500.000                 NaN   99.4303       0.144264E-001  0.255958                 NaN  0.201541       0.977396E-001            NaN            NaN            NaN
  1331.19        500.000                 NaN   99.4341       0.249508       0.261331E-001            NaN  0.199031       0.912305E-001            NaN            NaN            NaN
  1330.13        500.000                 NaN   99.4391       0.254474E-001  0.248126                 NaN  0.197129       0.902458E-001            NaN            NaN            NaN
  1329.06        500.000                 NaN   99.4448       0.246031       0.240288E-001            NaN  0.195221       0.899248E-001            NaN            NaN            NaN
  1327.99        500.000                 NaN   99.4487       0.252427E-001  0.244779                 NaN  0.193408       0.878450E-001            NaN            NaN            NaN
  1326.92        500.000                 NaN   99.4553       0.220349E-001  0.243726                 NaN  0.191042       0.879135E-001            NaN            NaN            NaN
  1325.85        500.000                 NaN   99.4595       0.242201       0.222573E-001            NaN  0.189430       0.866437E-001            NaN            NaN            NaN
  1324.78        500.000                 NaN   99.4647       0.241300       0.193266E-001            NaN  0.187758       0.869352E-001            NaN            NaN            NaN
  1323.72        500.000                 NaN   99.4639       0.239262       0.280471E-001            NaN  0.187061       0.817402E-001            NaN            NaN            NaN
  1322.65        500.000                 NaN   99.4647       0.224943E-001  0.242727                 NaN  0.187083       0.829681E-001            NaN            NaN            NaN
  1321.58        500.000                 NaN   99.4852       0.233303       0.200323E-001            NaN  0.179382       0.820829E-001            NaN            NaN            NaN
  1320.51        500.000                 NaN   99.4840       0.233591       0.212479E-001            NaN  0.179948       0.812166E-001            NaN            NaN            NaN
  1319.44        500.000                 NaN   99.4860       0.180331E-001  0.235570                 NaN  0.179365       0.810714E-001            NaN            NaN            NaN
  1318.37        500.000                 NaN   99.4934       0.205560E-001  0.231075                 NaN  0.176180       0.788196E-001            NaN            NaN            NaN
  1317.31        500.000                 NaN   99.4953       0.231073       0.196822E-001            NaN  0.175644       0.783103E-001            NaN            NaN            NaN
  1316.24        500.000                 NaN   99.5011       0.233176       0.133131E-001            NaN  0.173637       0.787865E-001            NaN            NaN            NaN
  1315.17        500.000                 NaN   99.5058       0.225865       0.218599E-001            NaN  0.171280       0.751529E-001            NaN            NaN            NaN
  1314.10        500.000                 NaN   99.5086       0.197256E-001  0.226350                 NaN  0.170391       0.749285E-001            NaN            NaN            NaN
  1313.03        500.000                 NaN   99.5123       0.223707       0.226497E-001            NaN  0.168640       0.726715E-001            NaN            NaN            NaN
  1311.96        500.000                 NaN   99.5185       0.228992E-002  0.232073                 NaN  0.167713       0.794137E-001            NaN            NaN            NaN
  1310.90        500.000                 NaN   99.5175       0.214052       0.388368E-001            NaN  0.165436       0.641297E-001            NaN            NaN            NaN
  1309.83        500.000                 NaN   99.5219       0.480332E-001  0.207255                 NaN  0.163072       0.597133E-001            NaN            NaN            NaN
  1308.76        500.000                 NaN   99.5217       0.503066E-001  0.201921                 NaN  0.163822       0.622802E-001            NaN            NaN            NaN
  1307.69        500.000                 NaN   99.5317       0.215851       0.249295E-001            NaN  0.160944       0.665745E-001            NaN            NaN            NaN
  1306.62        500.000                 NaN   99.5270       0.184831       0.776091E-001            NaN  0.160056       0.505060E-001            NaN            NaN            NaN
  1305.55        500.000                 NaN   99.5422       0.225740       0.375910E-002            NaN  0.157892       0.704477E-001            NaN            NaN            NaN
  1304.49        500.000                 NaN   99.5478       0.223998                 NaN            NaN  0.156384       0.718351E-001            NaN            NaN            NaN
  1303.42        500.000                 NaN   99.5436       0.428785E-001  0.201549                 NaN  0.155081       0.569045E-001            NaN            NaN            NaN
  1302.35        500.000                 NaN   99.5480       0.202902       0.367425E-001            NaN  0.154178       0.581764E-001            NaN            NaN            NaN
  1301.28        500.000                 NaN   99.5572       0.224996                 NaN            NaN  0.151723       0.661158E-001            NaN            NaN            NaN
  1300.21        500.000                 NaN   99.5614       0.221334                 NaN            NaN  0.150515       0.667536E-001            NaN            NaN            NaN
  1299.14        500.000                 NaN   99.5630       0.509833E-002  0.219811                 NaN  0.149426       0.627014E-001            NaN            NaN            NaN
  1298.08        500.000                 NaN   99.5620       0.203021       0.323599E-001            NaN  0.148372       0.542150E-001            NaN            NaN            NaN
  1297.01        500.000                 NaN   99.5619       0.481803E-001  0.193643                 NaN  0.147794       0.484371E-001            NaN            NaN            NaN
  1295.94        500.000                 NaN   99.5724       0.188041E-001  0.207179                 NaN  0.145039       0.565592E-001            NaN            NaN            NaN
  1294.87        500.000                 NaN   99.5701       0.196242       0.384997E-001            NaN  0.145201       0.499753E-001            NaN            NaN            NaN
  1293.80        500.000                 NaN   99.5744       0.412813E-001  0.193621                 NaN  0.143080       0.476309E-001            NaN            NaN            NaN
  1292.73        500.000                 NaN   99.5775       0.191991       0.404906E-001            NaN  0.142361       0.476395E-001            NaN            NaN            NaN
  1291.67        500.000                 NaN   99.5800       0.424982E-001  0.191413                 NaN  0.140817       0.452610E-001            NaN            NaN            NaN
  1290.60        500.000                 NaN   99.5829       0.390684E-001  0.192692                 NaN  0.139952       0.453463E-001            NaN            NaN            NaN
  1289.53        500.000                 NaN   99.5850       0.184717       0.501671E-001            NaN  0.138702       0.413898E-001            NaN            NaN            NaN
  1288.46        500.000                 NaN   99.5886       0.360823E-001  0.194534                 NaN  0.137702       0.430804E-001            NaN            NaN            NaN
  1287.39        500.000                 NaN   99.5890       0.175378       0.621482E-001            NaN  0.136647       0.367846E-001            NaN            NaN            NaN
  1286.32        500.000                 NaN   99.5935       0.397296E-001  0.190256                 NaN  0.135735       0.408022E-001            NaN            NaN            NaN
  1285.26        500.000                 NaN   99.5939       0.195714                 NaN            NaN  0.141009       0.693679E-001            NaN            NaN            NaN
  1284.19        500.000                 NaN   99.6046       0.821803E-001  0.174285                 NaN  0.126566       0.123572E-001            NaN            NaN            NaN
  1283.12        500.000                 NaN   99.5986       0.787730E-001  0.163663                 NaN  0.132074       0.269087E-001            NaN            NaN            NaN
  1282.05        500.000                 NaN   96.4793       0.692804       0.285988                 NaN  0.481261       0.566907E-003   2.06008                 NaN            NaN
  1280.98        500.000                 NaN   94.4418        1.15012       0.286331                 NaN  0.709705                 NaN   3.41200                 NaN            NaN
  1279.91        500.000                 NaN   94.7505        1.36143                 NaN            NaN  0.673921                 NaN   3.21419                 NaN            NaN
  1278.84        500.000                 NaN   95.0312        1.29529                 NaN            NaN  0.640045                 NaN   3.03344                 NaN            NaN
  1277.78        500.000                 NaN   95.2863        1.23296                 NaN            NaN  0.610162                 NaN   2.87058                 NaN            NaN
  1276.71        500.000                 NaN   95.5154        1.17776                 NaN            NaN  0.583419                 NaN   2.72339                 NaN            NaN
  1275.64        500.000                 NaN   95.7272        1.12654                 NaN            NaN  0.558029                 NaN   2.58819                 NaN            NaN
  1274.57        500.000                 NaN   95.9242        1.07857                 NaN            NaN  0.534887                 NaN   2.46236                 NaN            NaN
  1273.50        500.000                 NaN   96.0944        1.03785                 NaN            NaN  0.514969                 NaN   2.35278                 NaN            NaN
  1272.43        500.000                 NaN   96.2683       0.994691                 NaN            NaN  0.493824                 NaN   2.24315                 NaN            NaN
  1271.37        500.000                 NaN   95.3203        1.15159                 NaN            NaN  0.616623                 NaN   2.83336       0.781384E-001            NaN
  1270.30        500.000                 NaN   95.4254        1.11994                 NaN            NaN  0.599563                 NaN   2.77056       0.845464E-001            NaN
  1269.23        500.000                 NaN   95.6695        1.06275                 NaN            NaN  0.568784                 NaN   2.61920       0.797658E-001            NaN
  1268.16        500.000                 NaN   95.8863        1.01225                 NaN            NaN  0.541017                 NaN   2.48484       0.756169E-001            NaN
  1267.09        500.000                 NaN   96.0840       0.966050                 NaN            NaN  0.515609                 NaN   2.36256       0.718010E-001            NaN
  1266.02        500.000                 NaN   96.2700       0.921427                 NaN            NaN  0.491068                 NaN   2.24907       0.684598E-001            NaN
  1264.96        500.000                 NaN   96.4292       0.885950                 NaN            NaN  0.472690                 NaN   2.14770       0.645063E-001            NaN
  1263.89        500.000                 NaN   96.5868       0.847623                 NaN            NaN  0.451524                 NaN   2.05235       0.617474E-001            NaN
  1262.82        500.000                 NaN   96.7224       0.816629                 NaN            NaN  0.434222                 NaN   1.96787       0.588778E-001            NaN
  1261.75        500.000                 NaN   97.9612       0.276580                 NaN            NaN  0.261837                 NaN   1.44973       0.506151E-001            NaN
  1260.68        500.000                 NaN   96.2560        1.09792                 NaN            NaN  0.507470                 NaN   2.08262       0.560316E-001            NaN
  1259.61        500.000                 NaN   96.6369       0.931414                 NaN            NaN  0.447102                 NaN   1.93078       0.538231E-001            NaN
  1258.55        500.000                 NaN   98.1482                 NaN            NaN            NaN  0.226947       0.337722E-001   1.52741       0.636471E-001            NaN
  1257.48        500.000                 NaN   98.5873                 NaN            NaN            NaN  0.217644       0.167027       0.995781       0.322156E-001            NaN
  1256.41        500.000                 NaN   95.1638        1.80838                 NaN            NaN  0.652468                 NaN   2.32855       0.468507E-001            NaN
  1255.34        500.000                 NaN   97.5089       0.621798                 NaN            NaN  0.325051                 NaN   1.49889       0.453195E-001            NaN
  1254.27        500.000                 NaN   97.5848       0.604744                 NaN            NaN  0.316252                 NaN   1.45099       0.432571E-001            NaN
  1253.20        500.000                 NaN   97.6557       0.589079                 NaN            NaN  0.308129                 NaN   1.40595       0.411934E-001            NaN
  1252.14        500.000                 NaN   97.7273       0.572093                 NaN            NaN  0.298867                 NaN   1.36218       0.395874E-001            NaN
  1251.07        500.000                 NaN   97.7963       0.555556                 NaN            NaN  0.290198                 NaN   1.32004       0.379077E-001            NaN
  1250.00        500.000                 NaN   97.8561       0.542370                 NaN            NaN  0.282892                 NaN   1.28237       0.362703E-001            NaN
  1248.93        500.000                 NaN   97.9191       0.527203                 NaN            NaN  0.274847                 NaN   1.24404       0.347974E-001            NaN
  1247.86        500.000                 NaN   97.9724       0.515464                 NaN            NaN  0.267939                 NaN   1.21077       0.334111E-001            NaN
  1246.79        500.000                 NaN   98.0320       0.500346                 NaN            NaN  0.259743                 NaN   1.17569       0.321960E-001            NaN
  1245.73        500.000                 NaN   98.0864       0.487255                 NaN            NaN  0.252415                 NaN   1.14291       0.310047E-001            NaN
  1244.66        500.000                 NaN   98.1351       0.475806                 NaN            NaN  0.246177                 NaN   1.11320       0.297433E-001            NaN
  1243.59        500.000                 NaN   98.1872       0.462814                 NaN            NaN  0.238463                 NaN   1.08268       0.288076E-001            NaN
  1242.52        500.000                 NaN   98.2340       0.451426                 NaN            NaN  0.232342                 NaN   1.05457       0.276916E-001            NaN
  1241.45        500.000                 NaN   98.2794       0.440304                 NaN            NaN  0.226084                 NaN   1.02758       0.266802E-001            NaN
  1240.38        500.000                 NaN   98.3227       0.429885                 NaN            NaN  0.220643                 NaN   1.00120       0.255713E-001            NaN
  1239.32        500.000                 NaN   98.3633       0.419929                 NaN            NaN  0.214193                 NaN  0.977663       0.248706E-001            NaN
  1238.25        500.000                 NaN   98.4018       0.411112                 NaN            NaN  0.209067                 NaN  0.954078       0.239232E-001            NaN
  1237.18        500.000                 NaN   98.4418       0.400832                 NaN            NaN  0.203464                 NaN  0.930878       0.230645E-001            NaN
  1236.11        500.000                 NaN   98.4804       0.390955                 NaN            NaN  0.198041                 NaN  0.908298       0.222731E-001            NaN
  1235.04        500.000                 NaN   98.5147       0.382884                 NaN            NaN  0.193060                 NaN  0.887821       0.215116E-001            NaN
  1233.97        500.000                 NaN   98.5509       0.372963                 NaN            NaN  0.187054                 NaN  0.868072       0.210329E-001            NaN
  1232.90        500.000                 NaN   98.5845       0.365899                 NaN            NaN  0.183710                 NaN  0.846047       0.198608E-001            NaN
  1231.84        500.000                 NaN   98.6158       0.357853                 NaN            NaN  0.179013                 NaN  0.828087       0.192935E-001            NaN
  1230.77        500.000                 NaN   98.6455       0.350604                 NaN            NaN  0.174759                 NaN  0.810531       0.185768E-001            NaN
  1229.70        500.000                 NaN   98.6773       0.342499                 NaN            NaN  0.170065                 NaN  0.792160       0.179979E-001            NaN
  1228.63        500.000                 NaN   98.7064       0.334989                 NaN            NaN  0.166028                 NaN  0.775233       0.173521E-001            NaN
  1227.56        500.000                 NaN   98.7340       0.328403                 NaN            NaN  0.161857                 NaN  0.758904       0.167871E-001            NaN
  1226.49        500.000                 NaN   98.7624       0.320717                 NaN            NaN  0.157674                 NaN  0.743005       0.162524E-001            NaN
  1225.43        500.000                 NaN   98.7869       0.315375                 NaN            NaN  0.154547                 NaN  0.727552       0.155780E-001            NaN
  1224.36        500.000                 NaN   98.8147       0.307785                 NaN            NaN  0.150959                 NaN  0.711629       0.149456E-001            NaN
  1223.29        500.000                 NaN   98.8395       0.300714                 NaN            NaN  0.148018                 NaN  0.697379       0.143574E-001            NaN
  1222.22        500.000                 NaN   98.8684       0.294027                 NaN            NaN  0.142967                 NaN  0.680652       0.139806E-001            NaN
  1221.15        500.000                 NaN   98.8890       0.288673                 NaN            NaN  0.140168                 NaN  0.668675       0.135110E-001            NaN
  1220.08        500.000                 NaN   98.9114       0.282990                 NaN            NaN  0.136390                 NaN  0.656024       0.131530E-001            NaN
  1219.02        500.000                 NaN   98.9345       0.276494                 NaN            NaN  0.133131                 NaN  0.643205       0.127071E-001            NaN
  1217.95        500.000                 NaN   98.9546       0.272219                 NaN            NaN  0.130590                 NaN  0.630403       0.121594E-001            NaN
  1216.88        500.000                 NaN   98.9782       0.265537                 NaN            NaN  0.127396                 NaN  0.617151       0.117518E-001            NaN
  1215.81        500.000                 NaN   98.9993       0.259450                 NaN            NaN  0.123998                 NaN  0.605793       0.114711E-001            NaN
  1214.74        500.000                 NaN   99.0199       0.254338                 NaN            NaN  0.121093                 NaN  0.593722       0.109967E-001            NaN
  1213.67        500.000                 NaN   99.0401       0.248654                 NaN            NaN  0.118654                 NaN  0.582014       0.105644E-001            NaN
  1212.61        500.000                 NaN   95.9675       0.551090                 NaN            NaN  0.357016                 NaN   1.72926       0.214375E-001   1.37374     
  1211.54        500.000                 NaN   73.1355       0.103602        2.59616                 NaN   2.15747                 NaN   10.7014       0.114291        11.1916     
  1210.47        500.000                 NaN   99.1817       0.625967                 NaN            NaN  0.192296                 NaN            NaN            NaN            NaN
  1209.40        500.000                 NaN   91.2630       0.135537       0.832860                 NaN  0.739110       0.856282E-005   3.73721       0.212810E-001   3.27103     
  1208.33        500.000                 NaN   94.3941       0.480329       0.150287                 NaN  0.382607                 NaN   1.94135       0.224157E-001   2.62889     
  1207.26        500.000                 NaN   93.3284       0.641915                 NaN            NaN  0.492219                 NaN   2.75878       0.370893E-001   2.74162     
  1206.20        500.000                 NaN   95.9077       0.701954                 NaN            NaN  0.377463                 NaN   1.51842       0.643794E-002   1.48801     
  1205.13        500.000                 NaN   83.5330        1.70386       0.995646E-001            NaN   1.30855                 NaN   6.42110       0.628009E-001   6.87116     
  1204.06        500.000                 NaN   89.6898        1.31350       0.211990E-004            NaN  0.841477       0.133049E-001   4.07126       0.366543E-001   4.03396     
  1202.99        500.000                 NaN   99.8803       0.390639E-001            NaN            NaN  0.130331E-001            NaN  0.666696E-001  0.950281E-003            NaN
  1201.92        500.000                 NaN   85.1774        1.53361                 NaN            NaN   1.19642       0.117691        5.89740       0.547294E-001   6.02278     
  1200.85        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.79        500.000                 NaN   94.6939       0.373871       0.215592                 NaN  0.437039                 NaN   2.09970       0.168661E-001   2.16301     
  1198.72        500.000                 NaN   92.9270       0.664820                 NaN            NaN  0.559998       0.603624E-001   2.84093       0.260104E-001   2.92084     
  1197.65        500.000                 NaN   99.0647       0.112026                 NaN            NaN  0.740586E-001            NaN  0.377336       0.339743E-002  0.368443     
  1196.58        500.000                 NaN   98.4247       0.181387                 NaN            NaN  0.124807                 NaN  0.634431       0.508493E-002  0.629587     
  1195.51        500.000                 NaN   84.7642        1.63932                 NaN            NaN   1.18972                 NaN   6.14406       0.513487E-001   6.21136     
  1194.44        500.000                 NaN   88.2882        1.18985                 NaN            NaN  0.883398                 NaN   4.81121       0.434958E-001   4.78389     
  1193.38        500.000                 NaN   99.8415       0.149296E-001            NaN            NaN  0.106747E-001            NaN  0.665680E-001  0.801768E-003  0.655497E-001
  1192.31        500.000                 NaN   99.8533       0.122707E-001            NaN            NaN  0.103004E-001            NaN  0.601631E-001  0.721187E-003  0.632647E-001
  1191.24        500.000                 NaN   41.6933        5.20387                 NaN            NaN   4.21380                 NaN   24.7778       0.188531        23.9226     
  1190.17        500.000                 NaN            NaN   8.34473                 NaN            NaN   7.02767                 NaN   43.0703       0.323055        41.2342     
  1189.10        500.000                 NaN            NaN   7.21501        1.12996                 NaN   7.02811                 NaN   43.0690       0.322944        41.2350     
  1188.03        500.000                 NaN            NaN   8.34518                 NaN            NaN   7.02854                 NaN   43.0676       0.322836        41.2358     
  1186.96        500.000                 NaN            NaN   8.34539                 NaN            NaN   7.02896                 NaN   43.0663       0.322729        41.2367     
