|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/ALH/ALH_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1477.86        2500.00       0.163177E-002   99.3409                 NaN            NaN  0.420226       0.237195                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00       0.234035E-002   99.0267                 NaN            NaN  0.349830       0.621139                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.228177E-002   99.0336                 NaN            NaN  0.616836       0.347245                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.218509E-002   99.0419                 NaN            NaN  0.610713       0.345159                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.212794E-002   99.0434                 NaN  0.614730E-004  0.343180       0.611199                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.204523E-002   99.0556                 NaN            NaN  0.340998       0.601371                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.197402E-002   99.0560                 NaN            NaN  0.340629       0.601383                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.188091E-002   99.0755                 NaN            NaN  0.588191       0.334459                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.180201E-002   99.0759                 NaN            NaN  0.588047       0.334279                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00       0.174421E-002   99.0802                 NaN            NaN  0.585533       0.332551                 NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.168054E-002   99.0879                 NaN            NaN  0.580171       0.330288                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.159700E-002   99.0934                 NaN            NaN  0.328110       0.576916                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.156687E-002   99.0996                 NaN            NaN  0.326270       0.572579                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.147255E-002   99.1047                 NaN            NaN  0.569522       0.324347                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.143214E-002   99.1105                 NaN            NaN  0.565655       0.322366                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.135505E-002   99.1157                 NaN            NaN  0.320732       0.562224                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.101936E-002   99.3116                 NaN            NaN  0.249820       0.437525                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.151912E-002   98.9351                 NaN            NaN  0.386401       0.677028                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.121245E-002   99.1323                 NaN            NaN  0.314779       0.551748                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.114174E-002   99.1372                 NaN            NaN  0.312896       0.548758                 NaN            NaN            NaN            NaN            NaN
  1449.58        2500.00       0.109549E-002   99.1419                 NaN            NaN  0.545523       0.311433                 NaN            NaN            NaN            NaN            NaN
  1448.17        2500.00       0.102391E-002   99.1474                 NaN            NaN  0.541991       0.309553                 NaN            NaN            NaN            NaN            NaN
  1446.76        2500.00       0.969419E-003   99.1522                 NaN            NaN  0.539086       0.307719                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00       0.927367E-003   99.1561                 NaN            NaN  0.537041       0.305958                 NaN            NaN            NaN            NaN            NaN
  1443.93        2500.00       0.864949E-003   99.1597                 NaN            NaN  0.304498       0.534893                 NaN            NaN            NaN            NaN            NaN
  1442.51        2500.00       0.826096E-003   99.1668                 NaN            NaN  0.530086       0.302262                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00       0.802431E-003   99.1696                 NaN            NaN  0.301009       0.528589                 NaN            NaN            NaN            NaN            NaN
  1439.69        2500.00       0.744350E-003   99.1741                 NaN            NaN  0.299529       0.525613                 NaN            NaN            NaN            NaN            NaN
  1438.27        2500.00       0.706050E-003   99.1781                 NaN            NaN  0.523183       0.297977                 NaN            NaN            NaN            NaN            NaN
  1436.86        2500.00       0.667313E-003   99.1817                 NaN  0.253722E-004  0.521557       0.296024                 NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00       0.611449E-003   99.1849                 NaN            NaN  0.294802       0.519706                 NaN            NaN            NaN            NaN            NaN
  1434.03        2500.00       0.581329E-003   99.1909                 NaN            NaN  0.515698       0.292809                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.470180E-003   99.3974                 NaN            NaN  0.216368       0.385766                 NaN            NaN            NaN            NaN            NaN
  1431.20        2500.00       0.686217E-003   98.9896                 NaN            NaN  0.365777       0.643920                 NaN            NaN            NaN            NaN            NaN
  1429.79        2500.00       0.478881E-003   99.2010                 NaN            NaN  0.288140       0.510422                 NaN            NaN            NaN            NaN            NaN
  1428.38        2500.00                 NaN   98.9157                 NaN            NaN  0.528925       0.417619       0.137730                 NaN            NaN            NaN            NaN
  1426.96        2500.00       0.146718E-002   98.1753                 NaN            NaN  0.763776       0.562440       0.496995                 NaN            NaN            NaN            NaN
  1425.55        2500.00       0.328193E-003   98.1976                 NaN            NaN  0.752407       0.559354       0.490276                 NaN            NaN            NaN            NaN
  1424.14        2500.00                 NaN   98.2317                 NaN            NaN  0.737897       0.550118       0.480299                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.2460                 NaN  0.355759E-001  0.556036       0.680022       0.482336                 NaN            NaN            NaN            NaN
  1421.31        2500.00                 NaN   98.2044                 NaN  0.268375       0.639488       0.351772       0.535948                 NaN            NaN            NaN            NaN
  1419.89        2500.00                 NaN   98.2461                 NaN  0.265211       0.626722       0.338871       0.523048                 NaN            NaN            NaN            NaN
  1418.48        2500.00                 NaN   98.2672                 NaN  0.264814       0.328038       0.623518       0.516441                 NaN            NaN            NaN            NaN
  1417.07        2500.00                 NaN   98.2891                 NaN  0.264953       0.617964       0.317722       0.510216                 NaN            NaN            NaN            NaN
  1415.65        2500.00                 NaN   98.3112                 NaN  0.264734       0.307345       0.613006       0.503758                 NaN            NaN            NaN            NaN
  1414.24        2500.00                 NaN   98.3328                 NaN  0.264093       0.297752       0.607966       0.497342                 NaN            NaN            NaN            NaN
  1412.83        2500.00                 NaN   98.3599                 NaN  0.263276       0.286839       0.600664       0.489332                 NaN            NaN            NaN            NaN
  1411.41        2500.00                 NaN   98.3797                 NaN  0.262832       0.278152       0.595968       0.483362                 NaN            NaN            NaN            NaN
  1410.00        2500.00                 NaN   98.4012                 NaN  0.262500       0.590689       0.268465       0.477140                 NaN            NaN            NaN            NaN
  1408.58        2500.00                 NaN   98.4183                 NaN  0.262697       0.259936       0.587160       0.471901                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.3905                 NaN  0.271417       0.247534       0.606731       0.483773                 NaN            NaN            NaN            NaN
  1405.76        2500.00                 NaN   98.5083                 NaN  0.250941       0.241066       0.557872       0.441840                 NaN            NaN            NaN            NaN
  1404.34        2500.00                 NaN   98.4804                 NaN  0.260310       0.571708       0.234447       0.453182                 NaN            NaN            NaN            NaN
  1402.93        2500.00                 NaN   98.4993                 NaN  0.259797       0.225555       0.567834       0.447558                 NaN            NaN            NaN            NaN
  1401.51        2500.00                 NaN   98.5179                 NaN  0.258935       0.218087       0.563259       0.441844                 NaN            NaN            NaN            NaN
  1400.10        2500.00                 NaN   98.5362                 NaN  0.258450       0.558663       0.210273       0.436438                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.5535                 NaN  0.257753       0.555130       0.202551       0.431035                 NaN            NaN            NaN            NaN
  1397.27        2500.00                 NaN   98.5706                 NaN  0.257105       0.195658       0.550752       0.425841                 NaN            NaN            NaN            NaN
  1395.86        2500.00                 NaN   98.5868                 NaN  0.256474       0.547954       0.187837       0.420916                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.6030                 NaN  0.255884       0.544682       0.180426       0.415993                 NaN            NaN            NaN            NaN
  1393.03        2500.00                 NaN   98.6201                 NaN  0.254766       0.540029       0.174432       0.410639                 NaN            NaN            NaN            NaN
  1391.62        2500.00                 NaN   98.6350                 NaN  0.254320       0.537507       0.166986       0.406167                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.6510                 NaN  0.253354       0.161353       0.533198       0.401142                 NaN            NaN            NaN            NaN
  1388.79        2500.00                 NaN   98.6601                 NaN  0.253191       0.531993       0.156125       0.398567                 NaN            NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.6853                 NaN  0.251103       0.526400       0.146923       0.390260                 NaN            NaN            NaN            NaN
  1385.96        2500.00                 NaN   98.6921                 NaN  0.251363       0.141622       0.526477       0.388486                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.7094                 NaN  0.249595       0.138367       0.519853       0.382830                 NaN            NaN            NaN            NaN
  1383.14        2500.00                 NaN   98.7224                 NaN  0.248612       0.521895       0.128138       0.378936                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.7363                 NaN  0.247245       0.515665       0.126524       0.374262                 NaN            NaN            NaN            NaN
  1380.31        2500.00                 NaN   98.7493                 NaN  0.246707       0.121325       0.512290       0.370420                 NaN            NaN            NaN            NaN
  1378.89        2500.00                 NaN   98.7610                 NaN  0.245752       0.115506       0.511057       0.366647                 NaN            NaN            NaN            NaN
  1377.48        2500.00                 NaN   98.7742                 NaN  0.243633       0.507991       0.112102       0.362041                 NaN            NaN            NaN            NaN
  1376.07        2500.00                 NaN   98.7865                 NaN  0.242882       0.106276       0.505976       0.358350                 NaN            NaN            NaN            NaN
  1374.65        2500.00                 NaN   98.7944                 NaN  0.242705       0.506675       0.100222       0.355997                 NaN            NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.8117                 NaN  0.238654       0.100145       0.499686       0.349828                 NaN            NaN            NaN            NaN
  1371.83        2500.00                 NaN   98.8210                 NaN  0.238851       0.930946E-001  0.500015       0.347037                 NaN            NaN            NaN            NaN
  1370.41        2500.00                 NaN   98.8332                 NaN  0.237498       0.497204       0.890195E-001  0.343108                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   98.8442                 NaN  0.235253       0.495058       0.862103E-001  0.339317                 NaN            NaN            NaN            NaN
  1367.58        2500.00                 NaN   98.8543                 NaN  0.233850       0.820260E-001  0.493837       0.335948                 NaN            NaN            NaN            NaN
  1366.17        2500.00                 NaN   98.8651                 NaN  0.232158       0.491578       0.787859E-001  0.332401                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   98.8729                 NaN  0.232027       0.722753E-001  0.492948       0.329874                 NaN            NaN            NaN            NaN
  1363.34        2500.00                 NaN   98.8880                 NaN  0.226821       0.485738       0.751936E-001  0.324272                 NaN            NaN            NaN            NaN
  1361.93        2500.00                 NaN   98.8925                 NaN  0.227530       0.486624       0.702891E-001  0.323014                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   98.9079                 NaN  0.223688       0.674729E-001  0.483223       0.317683                 NaN            NaN            NaN            NaN
  1359.10        2500.00                 NaN   98.9149                 NaN  0.222814       0.483283       0.634538E-001  0.315557                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   98.8857                 NaN  0.198335       0.477302       0.117976       0.320696                 NaN            NaN            NaN            NaN
  1356.27        2500.00                 NaN   98.9703                 NaN  0.239555       0.485866       0.412463E-002  0.300188                 NaN            NaN            NaN            NaN
  1354.86        2500.00                 NaN   98.9318                 NaN  0.197970       0.460866       0.102035       0.307311                 NaN            NaN            NaN            NaN
  1353.45        2500.00                 NaN   98.9629                 NaN  0.231950       0.492720       0.113407E-001  0.301056                 NaN            NaN            NaN            NaN
  1352.03        2500.00                 NaN   98.9588                 NaN  0.210679       0.541592E-001  0.476722       0.299669                 NaN            NaN            NaN            NaN
  1350.62        2500.00                 NaN   98.9671                 NaN  0.208294       0.474399       0.534274E-001  0.296763                 NaN            NaN            NaN            NaN
  1349.20        2500.00                 NaN   98.9753                 NaN  0.205500       0.473359       0.521162E-001  0.293761                 NaN            NaN            NaN            NaN
  1347.79        2500.00                 NaN   98.9838                 NaN  0.202907       0.503576E-001  0.472196       0.290770                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   98.9900                 NaN  0.199993       0.472167       0.495610E-001  0.288237                 NaN            NaN            NaN            NaN
  1344.96        2500.00                 NaN   98.9985                 NaN  0.196952       0.478040E-001  0.471558       0.285157                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.0059                 NaN  0.194082       0.468948       0.485582E-001  0.282477                 NaN            NaN            NaN            NaN
  1342.14        2500.00                 NaN   99.0124                 NaN  0.191055       0.469723       0.469880E-001  0.279862                 NaN            NaN            NaN            NaN
  1340.72        2500.00                 NaN   99.0194                 NaN  0.187679       0.468046       0.476681E-001  0.277218                 NaN            NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.0253                 NaN  0.184695       0.468395       0.468178E-001  0.274804                 NaN            NaN            NaN            NaN
  1337.89        2500.00                 NaN   99.0334                 NaN  0.181093       0.466486       0.472097E-001  0.271802                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.0389                 NaN  0.177551       0.469653E-001  0.467069       0.269480                 NaN            NaN            NaN            NaN
  1335.07        2500.00                 NaN   99.0471                 NaN  0.177067       0.464804       0.434122E-001  0.267583                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN   99.0534                 NaN  0.169177       0.487643E-001  0.465006       0.263624                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.0507                 NaN  0.170701       0.270462E-001  0.483216       0.264084       0.429270E-002            NaN            NaN            NaN
  1330.83        2500.00                 NaN   98.9388                 NaN  0.160735       0.544197                 NaN  0.286480       0.697823E-001            NaN            NaN            NaN
  1329.41        2500.00                 NaN   98.9526                 NaN  0.161649       0.533949                 NaN  0.283131       0.686432E-001            NaN            NaN            NaN
  1328.00        2500.00                 NaN   98.9636                 NaN  0.162779       0.525769                 NaN  0.280149       0.676760E-001            NaN            NaN            NaN
  1326.58        2500.00                 NaN   98.9737                 NaN  0.154608       0.529165                 NaN  0.276633       0.659363E-001            NaN            NaN            NaN
  1325.17        2500.00                 NaN   98.9858                 NaN  0.154452       0.521362                 NaN  0.273527       0.648601E-001            NaN            NaN            NaN
  1323.76        2500.00                 NaN   98.9973                 NaN  0.154597       0.513835                 NaN  0.270512       0.637848E-001            NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.0099                 NaN  0.157876       0.501416                 NaN  0.267854       0.629658E-001            NaN            NaN            NaN
  1320.93        2500.00                 NaN   99.0194                 NaN  0.150701       0.504373                 NaN  0.264140       0.613822E-001            NaN            NaN            NaN
  1319.52        2500.00                 NaN   99.0299                 NaN  0.150942       0.496955                 NaN  0.261762       0.604480E-001            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.0403                 NaN  0.147536       0.494497                 NaN  0.258483       0.591662E-001            NaN            NaN            NaN
  1316.69        2500.00                 NaN   99.0502                 NaN  0.144631       0.491356                 NaN  0.255756       0.580153E-001            NaN            NaN            NaN
  1315.27        2500.00                 NaN   99.0599                 NaN  0.143214       0.486882                 NaN  0.252995       0.569649E-001            NaN            NaN            NaN
  1313.86        2500.00                 NaN   99.0685                 NaN  0.138528       0.486929                 NaN  0.250345       0.556906E-001            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.0791                 NaN  0.138284       0.480368                 NaN  0.247534       0.547463E-001            NaN            NaN            NaN
  1311.03        2500.00                 NaN   99.0875                 NaN  0.136221       0.477343                 NaN  0.245204       0.536877E-001            NaN            NaN            NaN
  1309.62        2500.00                 NaN   99.0972                 NaN  0.134246       0.473606                 NaN  0.242313       0.526682E-001            NaN            NaN            NaN
  1308.21        2500.00                 NaN   99.1066                 NaN  0.131833       0.470208                 NaN  0.239701       0.516298E-001            NaN            NaN            NaN
  1306.79        2500.00                 NaN   99.1149                 NaN  0.129342       0.467805                 NaN  0.237378       0.505703E-001            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.1233                 NaN  0.126845       0.465406                 NaN  0.234887       0.495535E-001            NaN            NaN            NaN
  1303.96        2500.00                 NaN   99.1318                 NaN  0.124826       0.462211                 NaN  0.232563       0.485604E-001            NaN            NaN            NaN
  1302.55        2500.00                 NaN   93.3650                 NaN  0.544571        1.56210                 NaN  0.962492       0.267672        3.29813                 NaN            NaN
  1301.14        2500.00                 NaN   74.0387                 NaN   2.16636        5.03935                 NaN   3.39696        1.00152        14.3571                 NaN            NaN
  1299.72        2500.00                 NaN   77.4965                 NaN   1.98276        4.32657                 NaN   2.94596       0.859960        12.3883                 NaN            NaN
  1298.31        2500.00                 NaN   80.6651                 NaN   1.76923        3.70535                 NaN   2.53506       0.731918        10.5934                 NaN            NaN
  1296.89        2500.00                 NaN   83.2744                 NaN   1.57901        3.20771                 NaN   2.19790       0.627051        9.11391                 NaN            NaN
  1295.48        2500.00                 NaN   85.4567                 NaN   1.40582        2.80079                 NaN   1.91639       0.540619        7.87969                 NaN            NaN
  1294.07        2500.00                 NaN   87.2718                 NaN   1.25722        2.46226                 NaN   1.68251       0.469920        6.85627                 NaN            NaN
  1292.65        2500.00       0.853973        85.9975                 NaN  0.911104        2.90878                 NaN   1.78420                 NaN   7.54448                 NaN            NaN
  1291.24        2500.00       0.774365        87.5072                 NaN  0.819419        2.60063                 NaN   1.59193                 NaN   6.70649                 NaN            NaN
  1289.83        2500.00        1.39704        78.6262                 NaN   1.60984        3.80380                 NaN   2.83846                 NaN   11.7246                 NaN            NaN
  1288.41        2500.00       0.915477E-001   95.8435                 NaN  0.538238       0.457192                 NaN  0.635950                 NaN   2.43356                 NaN            NaN
  1287.00        2500.00       0.280426        95.8344                 NaN            NaN   2.09568                 NaN  0.318538                 NaN   1.47094                 NaN            NaN
  1285.58        2500.00       0.477224        92.7478                 NaN  0.379874        1.61168                 NaN  0.911913                 NaN   3.87151                 NaN            NaN
  1284.17        2500.00       0.425365        93.2622                 NaN  0.393126        1.52403                 NaN  0.853747                 NaN   3.54156                 NaN            NaN
  1282.76        2500.00       0.375540        93.0406                 NaN  0.658199        1.43431                 NaN  0.920203                 NaN   3.57119                 NaN            NaN
  1281.34        2500.00       0.349622        94.0559                 NaN  0.450620        1.30233                 NaN  0.770072                 NaN   3.07145                 NaN            NaN
  1279.93        2500.00       0.322763        94.4683                 NaN  0.422705        1.22876                 NaN  0.718758                 NaN   2.83869                 NaN            NaN
  1278.52        2500.00       0.335035        94.2933                 NaN  0.426184        1.26828                 NaN  0.744364                 NaN   2.93280                 NaN            NaN
  1277.10        2500.00       0.707570        86.7831                 NaN  0.996731        3.08057                 NaN   1.74521                 NaN   6.68683                 NaN            NaN
  1275.69        2500.00       0.125999        99.3495                 NaN            NaN            NaN            NaN  0.178570E-001            NaN  0.506619                 NaN            NaN
  1274.27        2500.00       0.252723E-003   99.8778                 NaN  0.620191E-001            NaN            NaN  0.599683E-001            NaN            NaN            NaN            NaN
  1272.86        2500.00       0.265711        94.2729                 NaN  0.488727        1.37149                 NaN  0.770615                 NaN   2.83057                 NaN            NaN
  1271.45        2500.00       0.104938        98.8466                 NaN  0.845696E-001  0.327133                 NaN  0.134237                 NaN  0.502548                 NaN            NaN
  1270.03        2500.00       0.210376        96.0779                 NaN  0.342595       0.925104                 NaN  0.520984                 NaN   1.92303                 NaN            NaN
  1268.62        2500.00       0.732516        85.8314                 NaN   1.22628        3.46678                 NaN   1.92320                 NaN   6.81987                 NaN            NaN
  1267.21        2500.00       0.295165E-002   99.8632                 NaN            NaN  0.226982E-001            NaN            NaN            NaN  0.111147                 NaN            NaN
  1265.79        2500.00       0.778170E-001   98.2652                 NaN  0.166395       0.518597                 NaN  0.250134                 NaN  0.721860                 NaN            NaN
  1264.38        2500.00       0.652122E-001   99.7093                 NaN            NaN  0.123425E-001            NaN  0.693467E-003            NaN  0.212455                 NaN            NaN
