|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1544.31        2500.00                 NaN   99.0977       0.830689       0.715952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.5035       0.451692       0.447903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        2500.00                 NaN   99.4912       0.463766       0.450512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.5226       0.398937       0.784822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        2500.00                 NaN   99.5097       0.482349       0.790618E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00                 NaN   99.5155       0.442221       0.422313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        2500.00                 NaN   99.5172       0.441487       0.412879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.5206       0.437911       0.415239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        2500.00                 NaN   99.5244       0.434709       0.408988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.4598       0.232271       0.666440E-002  0.301215                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        2500.00                 NaN   99.3577       0.102718E-001            NaN  0.631996                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.4374       0.698234E-002            NaN  0.555657                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        2500.00                 NaN   99.3808       0.325732E-001            NaN  0.586642                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4178                 NaN  0.182005E-002  0.580370                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        2500.00                 NaN   99.2976       0.289174E-001            NaN  0.673499                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.5181       0.225274                 NaN  0.256645                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00                 NaN   99.4074       0.887111E-001            NaN  0.503885                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.4022                 NaN            NaN  0.597802                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.3530                 NaN            NaN  0.646997                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.5624                 NaN            NaN  0.437573                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.2915                 NaN            NaN  0.708528                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.4014                 NaN            NaN  0.598638                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00                 NaN   99.3706                 NaN            NaN  0.629425                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.6152                 NaN            NaN  0.384826                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00                 NaN   99.2112                 NaN            NaN  0.788808                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN   99.3968                 NaN            NaN  0.603191                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00                 NaN   99.3954                 NaN            NaN  0.604556                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00                 NaN   99.3883                 NaN            NaN  0.611710                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00       0.194173E-002   99.3832                 NaN            NaN  0.614826                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00       0.423100E-002   99.3778                 NaN            NaN  0.617981                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.420233E-002   99.3693                 NaN            NaN  0.626520                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.415588E-002   99.3644                 NaN            NaN  0.631448                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.412865E-002   99.3525                 NaN            NaN  0.643384                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.403255E-002   99.3532                 NaN            NaN  0.642764                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.289663E-002   99.1411                 NaN            NaN  0.437517       0.418471                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.229923E-002   99.0526                 NaN            NaN  0.611869       0.333189                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.221986E-002   99.0584                 NaN            NaN  0.331722       0.607702                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00       0.214934E-002   99.0747                 NaN            NaN  0.326770       0.596354                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.210287E-002   99.0767                 NaN            NaN  0.594841       0.326327                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.203032E-002   99.0886                 NaN            NaN  0.322524       0.586806                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00       0.198375E-002   99.0930                 NaN  0.669561E-005  0.321133       0.583925                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.190858E-002   99.1028                 NaN            NaN  0.577020       0.318296                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.185593E-002   99.1103                 NaN            NaN  0.572004       0.315857                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.180512E-002   99.1168                 NaN            NaN  0.567564       0.313827                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.173718E-002   99.1246                 NaN            NaN  0.561293       0.312412                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.169247E-002   99.1323                 NaN            NaN  0.309034       0.556939                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.214123E-002   98.8584                 NaN            NaN  0.406697       0.732750                 NaN            NaN            NaN            NaN            NaN
  1477.86        2500.00       0.105934E-002   99.4263                 NaN            NaN  0.367330       0.205349                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00       0.152084E-002   99.1527                 NaN            NaN  0.302835       0.542987                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.148328E-002   99.1591                 NaN            NaN  0.538994       0.300425                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.142134E-002   99.1667                 NaN            NaN  0.533445       0.298460                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.138463E-002   99.1685                 NaN  0.500942E-004  0.296517       0.533537                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.133148E-002   99.1793                 NaN            NaN  0.294518       0.524838                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.128585E-002   99.1800                 NaN            NaN  0.294045       0.524652                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.122556E-002   99.1973                 NaN            NaN  0.512890       0.288552                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.117540E-002   99.1980                 NaN            NaN  0.512571       0.288238                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00       0.113802E-002   99.2021                 NaN            NaN  0.510149       0.286574                 NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.109734E-002   99.2091                 NaN            NaN  0.505292       0.284476                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.104319E-002   99.2143                 NaN            NaN  0.282421       0.502203                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.102420E-002   99.2200                 NaN            NaN  0.280695       0.498243                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.962951E-003   99.2249                 NaN            NaN  0.495323       0.278848                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.937036E-003   99.2303                 NaN            NaN  0.491753       0.276985                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.887180E-003   99.2351                 NaN            NaN  0.275424       0.488555                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.667667E-003   99.4050                 NaN            NaN  0.214372       0.379978                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.996118E-003   99.0796                 NaN            NaN  0.331495       0.587919                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.795002E-003   99.2506                 NaN            NaN  0.269823       0.478787                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.749116E-003   99.2553                 NaN            NaN  0.268032       0.475950                 NaN            NaN            NaN            NaN            NaN
  1449.58        2500.00       0.719296E-003   99.2597                 NaN            NaN  0.472965       0.266643                 NaN            NaN            NaN            NaN            NaN
  1448.17        2500.00       0.672641E-003   99.2648                 NaN            NaN  0.469648       0.264847                 NaN            NaN            NaN            NaN            NaN
  1446.76        2500.00       0.637190E-003   99.2693                 NaN            NaN  0.466907       0.263115                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00       0.609904E-003   99.2731                 NaN            NaN  0.464880       0.261427                 NaN            NaN            NaN            NaN            NaN
  1443.93        2500.00       0.569213E-003   99.2766                 NaN            NaN  0.260023       0.462805                 NaN            NaN            NaN            NaN            NaN
  1442.51        2500.00       0.544006E-003   99.2830                 NaN            NaN  0.458448       0.257970                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00       0.528750E-003   99.2858                 NaN            NaN  0.256726       0.456911                 NaN            NaN            NaN            NaN            NaN
  1439.69        2500.00       0.490854E-003   99.2900                 NaN            NaN  0.255320       0.454140                 NaN            NaN            NaN            NaN            NaN
  1438.27        2500.00       0.465836E-003   99.2939                 NaN            NaN  0.451797       0.253820                 NaN            NaN            NaN            NaN            NaN
  1436.86        2500.00       0.440453E-003   99.2974                 NaN  0.202359E-004  0.450140       0.252002                 NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00       0.403931E-003   99.3005                 NaN            NaN  0.250796       0.448336                 NaN            NaN            NaN            NaN            NaN
  1434.03        2500.00       0.384246E-003   99.3061                 NaN            NaN  0.444620       0.248918                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.310638E-003   99.4840                 NaN            NaN  0.183586       0.332085                 NaN            NaN            NaN            NaN            NaN
  1431.20        2500.00       0.454415E-003   99.1341                 NaN            NaN  0.310652       0.554775                 NaN            NaN            NaN            NaN            NaN
  1429.79        2500.00       0.317262E-003   99.3158                 NaN            NaN  0.244473       0.439379                 NaN            NaN            NaN            NaN            NaN
  1428.38        2500.00                 NaN   99.0462                 NaN            NaN  0.455086       0.354131       0.144545                 NaN            NaN            NaN            NaN
  1426.96        2500.00       0.972261E-003   98.3461                 NaN            NaN  0.647382       0.483811       0.521719                 NaN            NaN            NaN            NaN
  1425.55        2500.00       0.217428E-003   98.3672                 NaN            NaN  0.637230       0.480769       0.514572                 NaN            NaN            NaN            NaN
  1424.14        2500.00                 NaN   98.3989                 NaN            NaN  0.624483       0.472624       0.504001                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.4135                 NaN  0.280720E-001  0.477361       0.575012       0.506029                 NaN            NaN            NaN            NaN
  1421.31        2500.00                 NaN   98.3807                 NaN  0.211363       0.548672       0.297145       0.562073                 NaN            NaN            NaN            NaN
  1419.89        2500.00                 NaN   98.4201                 NaN  0.208497       0.537174       0.285910       0.548279                 NaN            NaN            NaN            NaN
  1418.48        2500.00                 NaN   98.4408                 NaN  0.207726       0.276501       0.533834       0.541096                 NaN            NaN            NaN            NaN
  1417.07        2500.00                 NaN   98.4622                 NaN  0.207428       0.528554       0.267505       0.534314                 NaN            NaN            NaN            NaN
  1415.65        2500.00                 NaN   98.4836                 NaN  0.206848       0.258482       0.523808       0.527287                 NaN            NaN            NaN            NaN
  1414.24        2500.00                 NaN   98.5047                 NaN  0.205932       0.250134       0.518964       0.520305                 NaN            NaN            NaN            NaN
  1412.83        2500.00                 NaN   98.5305                 NaN  0.204905       0.240714       0.512251       0.511657                 NaN            NaN            NaN            NaN
  1411.41        2500.00                 NaN   98.5499                 NaN  0.204155       0.233145       0.507696       0.505147                 NaN            NaN            NaN            NaN
  1410.00        2500.00                 NaN   98.5706                 NaN  0.203509       0.502725       0.224789       0.498375                 NaN            NaN            NaN            NaN
  1408.58        2500.00                 NaN   98.5876                 NaN  0.203216       0.217376       0.499161       0.492633                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.5640                 NaN  0.209422       0.206759       0.515104       0.504758                 NaN            NaN            NaN            NaN
  1405.76        2500.00                 NaN   98.6715                 NaN  0.193372       0.201146       0.473276       0.460706                 NaN            NaN            NaN            NaN
  1404.34        2500.00                 NaN   98.6476                 NaN  0.200166       0.484515       0.195402       0.472281                 NaN            NaN            NaN            NaN
  1402.93        2500.00                 NaN   98.6659                 NaN  0.199378       0.187783       0.480749       0.466146                 NaN            NaN            NaN            NaN
  1401.51        2500.00                 NaN   98.6841                 NaN  0.198316       0.181337       0.476337       0.459920                 NaN            NaN            NaN            NaN
  1400.10        2500.00                 NaN   98.7018                 NaN  0.197576       0.471950       0.174651       0.454018                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.7188                 NaN  0.196660       0.468417       0.168028       0.448123                 NaN            NaN            NaN            NaN
  1397.27        2500.00                 NaN   98.7355                 NaN  0.195749       0.162124       0.464221       0.442447                 NaN            NaN            NaN            NaN
  1395.86        2500.00                 NaN   98.7512                 NaN  0.194878       0.461357       0.155463       0.437055                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7670                 NaN  0.194074       0.458062       0.149162       0.431667                 NaN            NaN            NaN            NaN
  1393.03        2500.00                 NaN   98.7837                 NaN  0.192818       0.453652       0.144025       0.425835                 NaN            NaN            NaN            NaN
  1391.62        2500.00                 NaN   98.7982                 NaN  0.192107       0.451020       0.137727       0.420923                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.8137                 NaN  0.190989       0.132913       0.446948       0.415439                 NaN            NaN            NaN            NaN
  1388.79        2500.00                 NaN   98.8231                 NaN  0.190467       0.445446       0.128472       0.412498                 NaN            NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.8469                 NaN  0.188521       0.440210       0.120740       0.403624                 NaN            NaN            NaN            NaN
  1385.96        2500.00                 NaN   98.8541                 NaN  0.188350       0.116250       0.439798       0.401517                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.8708                 NaN  0.186637       0.113439       0.433707       0.395397                 NaN            NaN            NaN            NaN
  1383.14        2500.00                 NaN   98.8835                 NaN  0.185632       0.434846       0.104953       0.391102                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8971                 NaN  0.184164       0.429222       0.103487       0.386006                 NaN            NaN            NaN            NaN
  1380.31        2500.00                 NaN   98.9098                 NaN  0.183409       0.991212E-001  0.425927       0.381771                 NaN            NaN            NaN            NaN
  1378.89        2500.00                 NaN   98.9215                 NaN  0.182331       0.942440E-001  0.424344       0.377612                 NaN            NaN            NaN            NaN
  1377.48        2500.00                 NaN   98.9343                 NaN  0.180381       0.421311       0.913625E-001  0.372598                 NaN            NaN            NaN            NaN
  1376.07        2500.00                 NaN   98.9463                 NaN  0.179489       0.865118E-001  0.419144       0.368530                 NaN            NaN            NaN            NaN
  1374.65        2500.00                 NaN   98.9546                 NaN  0.178909       0.419175       0.814813E-001  0.365841                 NaN            NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.9709                 NaN  0.175653       0.813253E-001  0.412922       0.359233                 NaN            NaN            NaN            NaN
  1371.83        2500.00                 NaN   98.9802                 NaN  0.175449       0.755174E-001  0.412698       0.356101                 NaN            NaN            NaN            NaN
  1370.41        2500.00                 NaN   98.9921                 NaN  0.174120       0.409858       0.721175E-001  0.351804                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0029                 NaN  0.172123       0.407605       0.697618E-001  0.347653                 NaN            NaN            NaN            NaN
  1367.58        2500.00                 NaN   99.0129                 NaN  0.170756       0.662942E-001  0.406076       0.343938                 NaN            NaN            NaN            NaN
  1366.17        2500.00                 NaN   99.0234                 NaN  0.169193       0.403713       0.635997E-001  0.340045                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.0314                 NaN  0.168789       0.582744E-001  0.404326       0.337200                 NaN            NaN            NaN            NaN
  1363.34        2500.00                 NaN   99.0457                 NaN  0.164662       0.397913       0.605550E-001  0.331214                 NaN            NaN            NaN            NaN
  1361.93        2500.00                 NaN   99.0509                 NaN  0.164804       0.398085       0.565315E-001  0.329671                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.0651                 NaN  0.161780       0.542127E-001  0.394919       0.323974                 NaN            NaN            NaN            NaN
  1359.10        2500.00                 NaN   99.0723                 NaN  0.160830       0.394441       0.509259E-001  0.321552                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.0471                 NaN  0.142830       0.388997       0.945694E-001  0.326544                 NaN            NaN            NaN            NaN
  1356.27        2500.00                 NaN   99.1237                 NaN  0.172176       0.395471       0.330208E-002  0.305391                 NaN            NaN            NaN            NaN
  1354.86        2500.00                 NaN   99.0892                 NaN  0.142004       0.374806       0.816213E-001  0.312405                 NaN            NaN            NaN            NaN
  1353.45        2500.00                 NaN   99.1190                 NaN  0.166111       0.400016       0.905811E-002  0.305791                 NaN            NaN            NaN            NaN
  1352.03        2500.00                 NaN   99.1155                 NaN  0.150578       0.432095E-001  0.386531       0.304139                 NaN            NaN            NaN            NaN
  1350.62        2500.00                 NaN   99.1237                 NaN  0.148595       0.384148       0.425763E-001  0.300945                 NaN            NaN            NaN            NaN
  1349.20        2500.00                 NaN   99.1318                 NaN  0.146297       0.382807       0.414844E-001  0.297657                 NaN            NaN            NaN            NaN
  1347.79        2500.00                 NaN   99.1400                 NaN  0.144194       0.400398E-001  0.381382       0.294385                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   99.1464                 NaN  0.141840       0.380804       0.393588E-001  0.291581                 NaN            NaN            NaN            NaN
  1344.96        2500.00                 NaN   99.1546                 NaN  0.139443       0.379227E-001  0.379824       0.288227                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1619                 NaN  0.137144       0.377223       0.384768E-001  0.285282                 NaN            NaN            NaN            NaN
  1342.14        2500.00                 NaN   99.1683                 NaN  0.134745       0.377320       0.371913E-001  0.282407                 NaN            NaN            NaN            NaN
  1340.72        2500.00                 NaN   99.1753                 NaN  0.132110       0.375445       0.376858E-001  0.279507                 NaN            NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.1812                 NaN  0.129773       0.375212       0.369737E-001  0.276842                 NaN            NaN            NaN            NaN
  1337.89        2500.00                 NaN   99.1890                 NaN  0.127007       0.373197       0.372445E-001  0.273589                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1945                 NaN  0.124279       0.370117E-001  0.373143       0.271025                 NaN            NaN            NaN            NaN
  1335.07        2500.00                 NaN   99.2021                 NaN  0.123800       0.370983       0.341833E-001  0.268891                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN   99.2085                 NaN  0.117986       0.383485E-001  0.370429       0.264692                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.2080                 NaN  0.118825       0.212483E-001  0.384436       0.264931       0.251707E-002            NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1277                 NaN  0.111700       0.432538                 NaN  0.287164       0.408834E-001            NaN            NaN            NaN
  1329.41        2500.00                 NaN   99.1404                 NaN  0.112061       0.423926                 NaN  0.283482       0.401691E-001            NaN            NaN            NaN
  1328.00        2500.00                 NaN   99.1507                 NaN  0.112652       0.416952                 NaN  0.280176       0.395571E-001            NaN            NaN            NaN
  1326.58        2500.00                 NaN   99.1596                 NaN  0.106777       0.418794                 NaN  0.276344       0.384956E-001            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.1707                 NaN  0.106462       0.412102                 NaN  0.272930       0.378235E-001            NaN            NaN            NaN
  1323.76        2500.00                 NaN   99.1812                 NaN  0.106336       0.405648                 NaN  0.269615       0.371535E-001            NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.1929                 NaN  0.108360       0.395436                 NaN  0.266662       0.366341E-001            NaN            NaN            NaN
  1320.93        2500.00                 NaN   99.2014                 NaN  0.103240       0.397056                 NaN  0.262669       0.356717E-001            NaN            NaN            NaN
  1319.52        2500.00                 NaN   99.2110                 NaN  0.103215       0.390682                 NaN  0.260011       0.350886E-001            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2204                 NaN  0.100674       0.388199                 NaN  0.256465       0.343053E-001            NaN            NaN            NaN
  1316.69        2500.00                 NaN   99.2293                 NaN  0.985090E-001  0.385148                 NaN  0.253475       0.335998E-001            NaN            NaN            NaN
  1315.27        2500.00                 NaN   99.2381                 NaN  0.973457E-001  0.381121                 NaN  0.250460       0.329541E-001            NaN            NaN            NaN
  1313.86        2500.00                 NaN   99.2457                 NaN  0.939756E-001  0.380538                 NaN  0.247562       0.321806E-001            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.2553                 NaN  0.936303E-001  0.374934                 NaN  0.244511       0.315994E-001            NaN            NaN            NaN
  1311.03        2500.00                 NaN   99.2631                 NaN  0.920545E-001  0.371989                 NaN  0.241943       0.309537E-001            NaN            NaN            NaN
  1309.62        2500.00                 NaN   99.2717                 NaN  0.905533E-001  0.368628                 NaN  0.238829       0.303319E-001            NaN            NaN            NaN
  1308.21        2500.00                 NaN   99.2801                 NaN  0.887596E-001  0.365472                 NaN  0.235996       0.297008E-001            NaN            NaN            NaN
  1306.79        2500.00                 NaN   99.2875                 NaN  0.869147E-001  0.363053                 NaN  0.233454       0.290592E-001            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.2951                 NaN  0.850837E-001  0.360668                 NaN  0.230754       0.284435E-001            NaN            NaN            NaN
  1303.96        2500.00                 NaN   99.3027                 NaN  0.835758E-001  0.357673                 NaN  0.228225       0.278429E-001            NaN            NaN            NaN
  1302.55        2500.00                 NaN   93.8332                 NaN  0.364952        1.21292                 NaN  0.947094       0.153887        3.48796                 NaN            NaN
  1301.14        2500.00                 NaN   75.2356                 NaN   1.46212        3.96657                 NaN   3.38332       0.582784        15.3696                 NaN            NaN
  1299.72        2500.00                 NaN   78.5890                 NaN   1.33065        3.40275                 NaN   2.93062       0.499801        13.2472                 NaN            NaN
  1298.31        2500.00                 NaN   81.6488                 NaN   1.18190        2.91090                 NaN   2.51874       0.424850        11.3148                 NaN            NaN
  1296.89        2500.00                 NaN   84.1624                 NaN   1.05021        2.51741                 NaN   2.18141       0.363582        9.72499                 NaN            NaN
  1295.48        2500.00                 NaN   86.2588                 NaN  0.931529        2.19599                 NaN   1.90014       0.313151        8.40042                 NaN            NaN
  1294.07        2500.00                 NaN   87.9986                 NaN  0.830465        1.92899                 NaN   1.66672       0.271945        7.30327                 NaN            NaN
  1292.65        2500.00       0.506658        86.7994                 NaN  0.601072        2.28118                 NaN   1.76872                 NaN   8.04295                 NaN            NaN
  1291.24        2500.00       0.458705        88.2466                 NaN  0.539050        2.03810                 NaN   1.57614                 NaN   7.14138                 NaN            NaN
  1289.83        2500.00       0.830633        79.7385                 NaN   1.06760        2.99137                 NaN   2.82395                 NaN   12.5479                 NaN            NaN
  1288.41        2500.00       0.537944E-001   96.0453                 NaN  0.346679       0.355018                 NaN  0.625359                 NaN   2.57385                 NaN            NaN
  1287.00        2500.00       0.165109        96.3274                 NaN            NaN   1.63539                 NaN  0.313705                 NaN   1.55841                 NaN            NaN
  1285.58        2500.00       0.280796        93.2160                 NaN  0.247384        1.25758                 NaN  0.897713                 NaN   4.10058                 NaN            NaN
  1284.17        2500.00       0.250083        93.7169                 NaN  0.254974        1.18878                 NaN  0.839923                 NaN   3.74932                 NaN            NaN
  1282.76        2500.00       0.220591        93.5500                 NaN  0.426744        1.11860                 NaN  0.904915                 NaN   3.77912                 NaN            NaN
  1281.34        2500.00       0.205041        94.4872                 NaN  0.291810        1.01462                 NaN  0.756055                 NaN   3.24528                 NaN            NaN
  1279.93        2500.00       0.189052        94.8797                 NaN  0.273128       0.956530                 NaN  0.704978                 NaN   2.99656                 NaN            NaN
  1278.52        2500.00       0.195969        94.7171                 NaN  0.275117       0.987852                 NaN  0.729612                 NaN   3.09432                 NaN            NaN
  1277.10        2500.00       0.415524        87.7182                 NaN  0.642397        2.42193                 NaN   1.71754                 NaN   7.08439                 NaN            NaN
  1275.69        2500.00       0.732408E-001   99.3782                 NaN            NaN            NaN            NaN  0.173931E-001            NaN  0.531193                 NaN            NaN
  1274.27        2500.00       0.146832E-003   99.9019                 NaN  0.395153E-001            NaN            NaN  0.583976E-001            NaN            NaN            NaN            NaN
  1272.86        2500.00       0.154898        94.7347                 NaN  0.311339        1.06835                 NaN  0.753095                 NaN   2.97761                 NaN            NaN
  1271.45        2500.00       0.609238E-001   98.9747                 NaN  0.539564E-001  0.253136                 NaN  0.130651                 NaN  0.526600                 NaN            NaN
  1270.03        2500.00       0.122268        96.4171                 NaN  0.218641       0.716581                 NaN  0.507715                 NaN   2.01768                 NaN            NaN
  1268.62        2500.00       0.427892        87.0156                 NaN  0.782199        2.69214                 NaN   1.88504                 NaN   7.19716                 NaN            NaN
  1267.21        2500.00       0.170124E-002   99.8650                 NaN            NaN  0.175209E-001            NaN            NaN            NaN  0.115757                 NaN            NaN
  1265.79        2500.00       0.449060E-001   98.4573                 NaN  0.104700       0.398418                 NaN  0.242162                 NaN  0.752520                 NaN            NaN
