|6.6.6
Archiving\03_Data\frac/QFM_m4.75/TAY13/TAY13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1877.19        2500.00        99.4711                 NaN            NaN            NaN  0.528936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4735                 NaN            NaN            NaN  0.526503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4760                 NaN            NaN            NaN  0.523986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4777                 NaN            NaN            NaN  0.522349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4796                 NaN            NaN            NaN  0.520420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4797                 NaN            NaN            NaN  0.520278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4850                 NaN            NaN            NaN  0.514986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4860                 NaN            NaN            NaN  0.514011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4872                 NaN            NaN            NaN  0.512836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4877                 NaN            NaN            NaN  0.512324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4864                 NaN            NaN            NaN  0.513635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4956                 NaN            NaN            NaN  0.504392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4971                 NaN            NaN            NaN  0.502948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4921                 NaN            NaN            NaN  0.507882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4946                 NaN            NaN            NaN  0.503937                 NaN            NaN  0.144334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4954                 NaN            NaN            NaN  0.504555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4968                 NaN            NaN            NaN  0.500284                 NaN            NaN  0.292731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4875                 NaN            NaN            NaN  0.502145                 NaN            NaN  0.103435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4885                 NaN            NaN            NaN  0.501169                 NaN            NaN  0.103278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4915                 NaN            NaN            NaN  0.498242                 NaN            NaN  0.102206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4906                 NaN            NaN            NaN  0.499157                 NaN            NaN  0.102202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4915                 NaN            NaN            NaN  0.498338                 NaN            NaN  0.101873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4915                 NaN            NaN            NaN  0.498340                 NaN            NaN  0.101449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4919                 NaN            NaN            NaN  0.498003                 NaN            NaN  0.101166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4921                 NaN            NaN            NaN  0.497820                 NaN            NaN  0.100858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4912                 NaN            NaN            NaN  0.498676                 NaN            NaN  0.100820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4912                 NaN            NaN            NaN  0.498760                 NaN            NaN  0.100483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4935                 NaN            NaN            NaN  0.496524                 NaN            NaN  0.996551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4924                 NaN            NaN            NaN  0.497663                 NaN            NaN  0.995600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4915                 NaN            NaN            NaN  0.498532                 NaN            NaN  0.994737E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4887                 NaN            NaN            NaN  0.501367                 NaN            NaN  0.996467E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4939                 NaN            NaN            NaN  0.496239                 NaN            NaN  0.982284E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4792                 NaN            NaN            NaN  0.510653                 NaN            NaN  0.101119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5025                 NaN            NaN            NaN  0.487975                 NaN            NaN  0.954196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4897                 NaN            NaN            NaN  0.500490                 NaN            NaN  0.979954E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4891                 NaN            NaN            NaN  0.501113                 NaN            NaN  0.976650E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4875                 NaN            NaN            NaN  0.502738                 NaN            NaN  0.975068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4863                 NaN            NaN            NaN  0.503969                 NaN            NaN  0.974904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4873                 NaN            NaN            NaN  0.503079                 NaN            NaN  0.966321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4830                 NaN            NaN            NaN  0.507312                 NaN            NaN  0.969393E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4860                 NaN            NaN            NaN  0.504375                 NaN            NaN  0.959712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4824                 NaN            NaN            NaN  0.507935                 NaN            NaN  0.962080E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4794                 NaN            NaN            NaN  0.511045                 NaN            NaN  0.957213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4833                 NaN            NaN            NaN  0.507122                 NaN            NaN  0.956657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5249                 NaN            NaN            NaN  0.466353                 NaN            NaN  0.877133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4311                 NaN            NaN            NaN  0.558555                 NaN            NaN  0.103069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        98.6518                 NaN            NaN            NaN   1.32385                 NaN            NaN  0.243383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.9122                 NaN            NaN            NaN  0.860972E-001            NaN            NaN  0.171517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3445                 NaN            NaN            NaN  0.643809                 NaN            NaN  0.116793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4699                 NaN            NaN            NaN  0.520757                 NaN            NaN  0.938704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4679                 NaN            NaN            NaN  0.522720                 NaN            NaN  0.937328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4663                 NaN            NaN            NaN  0.524305                 NaN            NaN  0.936123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4639                 NaN            NaN            NaN  0.526754                 NaN            NaN  0.935323E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4628                 NaN            NaN            NaN  0.527885                 NaN            NaN  0.931732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2621                 NaN            NaN            NaN  0.725131                 NaN            NaN  0.127523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.6600                 NaN            NaN            NaN  0.334217                 NaN            NaN  0.581995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4544                 NaN            NaN            NaN  0.536267                 NaN            NaN  0.932672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4594                 NaN            NaN            NaN  0.531409                 NaN            NaN  0.916095E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4524                 NaN            NaN            NaN  0.538342                 NaN            NaN  0.921630E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4546                 NaN            NaN            NaN  0.536233                 NaN            NaN  0.915544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4462                 NaN            NaN            NaN  0.544548                 NaN            NaN  0.924277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4458                 NaN            NaN            NaN  0.544957                 NaN            NaN  0.919408E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4493                 NaN            NaN            NaN  0.541579                 NaN            NaN  0.908669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4435                 NaN            NaN            NaN  0.547407                 NaN            NaN  0.913513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4404                 NaN            NaN            NaN  0.550408                 NaN            NaN  0.916241E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4441                 NaN            NaN            NaN  0.546847                 NaN            NaN  0.902559E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4397                 NaN            NaN            NaN  0.551231                 NaN            NaN  0.906151E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4370                 NaN            NaN            NaN  0.553917                 NaN            NaN  0.905992E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4358                 NaN            NaN            NaN  0.555139                 NaN            NaN  0.905165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4344                 NaN            NaN            NaN  0.556609                 NaN            NaN  0.901064E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4328                 NaN            NaN            NaN  0.558187                 NaN            NaN  0.903358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4417                 NaN            NaN            NaN  0.549436                 NaN            NaN  0.881401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4206                 NaN            NaN            NaN  0.570278                 NaN            NaN  0.911910E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4289                 NaN            NaN            NaN  0.562193                 NaN            NaN  0.894667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4265                 NaN            NaN            NaN  0.564567                 NaN            NaN  0.894645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4279                 NaN            NaN            NaN  0.563235                 NaN            NaN  0.888869E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4243                 NaN            NaN            NaN  0.566751                 NaN            NaN  0.891284E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4258                 NaN            NaN            NaN  0.565379                 NaN            NaN  0.885877E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4235                 NaN            NaN            NaN  0.567631                 NaN            NaN  0.886770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4228                 NaN            NaN            NaN  0.568367                 NaN            NaN  0.884930E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4229                 NaN            NaN            NaN  0.568334                 NaN            NaN  0.881437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4215                 NaN            NaN            NaN  0.569708                 NaN            NaN  0.881515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4202                 NaN            NaN            NaN  0.571005                 NaN            NaN  0.880114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4238                 NaN            NaN            NaN  0.567493                 NaN            NaN  0.873345E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4172                 NaN            NaN            NaN  0.573980                 NaN            NaN  0.883356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4258                 NaN            NaN            NaN  0.565550                 NaN            NaN  0.865620E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2886                 NaN            NaN            NaN  0.528077                 NaN            NaN  0.685723E-002  0.176467                 NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.2883                 NaN            NaN            NaN  0.195140                 NaN            NaN            NaN   1.51656                 NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.3208                 NaN            NaN            NaN  0.191766                 NaN            NaN            NaN   1.48743                 NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.3519                 NaN            NaN            NaN  0.187339                 NaN            NaN            NaN   1.46072                 NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.3932                 NaN            NaN            NaN  0.182801                 NaN            NaN            NaN   1.42400                 NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.4227                 NaN            NaN            NaN  0.177618                 NaN            NaN            NaN   1.39967                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.4535                 NaN            NaN            NaN  0.174507                 NaN            NaN            NaN   1.37195                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.4739                 NaN            NaN            NaN  0.170852                 NaN            NaN            NaN   1.35520                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.5208                 NaN            NaN            NaN  0.165108                 NaN            NaN            NaN   1.31411                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5408                 NaN            NaN            NaN  0.161478                 NaN            NaN            NaN   1.29770                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5697                 NaN            NaN            NaN  0.159150                 NaN            NaN            NaN   1.27116                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5927                 NaN            NaN            NaN  0.156236                 NaN            NaN            NaN   1.25110                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.6269                 NaN            NaN            NaN  0.150564                 NaN            NaN            NaN   1.22258                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6470                 NaN            NaN            NaN  0.146857                 NaN            NaN            NaN   1.20613                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6700                 NaN            NaN            NaN  0.142585                 NaN            NaN            NaN   1.18746                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6962                 NaN            NaN            NaN  0.141812                 NaN            NaN            NaN   1.16200                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7200                 NaN            NaN            NaN  0.137993                 NaN            NaN            NaN   1.14196                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7383                 NaN            NaN            NaN  0.132574                 NaN            NaN            NaN   1.12917                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.2349                 NaN            NaN            NaN  0.813255E-001            NaN            NaN            NaN  0.683818                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.3136                 NaN            NaN            NaN  0.177701                 NaN            NaN            NaN   1.50872                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.8044                 NaN            NaN            NaN  0.123983                 NaN            NaN            NaN   1.07166                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8242                 NaN            NaN            NaN  0.120445                 NaN            NaN            NaN   1.05539                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4063                 NaN            NaN            NaN  0.644815E-001            NaN            NaN            NaN  0.529241                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.3029                 NaN            NaN            NaN  0.171216                 NaN            NaN            NaN   1.52586                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8791                 NaN            NaN            NaN  0.110534                 NaN            NaN            NaN   1.01038                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8978                 NaN            NaN            NaN  0.108163                 NaN            NaN            NaN  0.994033                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9426                 NaN            NaN            NaN  0.105206                 NaN            NaN            NaN  0.952185                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9092                 NaN            NaN            NaN  0.109180                 NaN            NaN            NaN  0.981662                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9511                 NaN            NaN            NaN  0.102747                 NaN            NaN            NaN  0.946182                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9674                 NaN            NaN            NaN  0.891042E-001            NaN            NaN            NaN  0.943478                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9803                 NaN            NaN            NaN  0.104126                 NaN            NaN            NaN  0.915540                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9968                 NaN            NaN            NaN  0.930671E-001            NaN            NaN            NaN  0.910147                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.0113                 NaN            NaN            NaN  0.911762E-001            NaN            NaN            NaN  0.897479                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0247                 NaN            NaN            NaN  0.879348E-001            NaN            NaN            NaN  0.887325                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0409                 NaN            NaN            NaN  0.857421E-001            NaN            NaN            NaN  0.873385                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0536                 NaN            NaN            NaN  0.829342E-001            NaN            NaN            NaN  0.863495                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0625                 NaN            NaN            NaN  0.783127E-001            NaN            NaN            NaN  0.859170                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0810                 NaN            NaN            NaN  0.778161E-001            NaN            NaN            NaN  0.841183                 NaN            NaN            NaN            NaN            NaN            NaN
