|6.6.6
Archiving\03_Data\frac/QFM_m4.75/TAY13/TAY13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1822.06        2500.00        99.4364                 NaN            NaN            NaN  0.548351                 NaN            NaN  0.152268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4365                 NaN            NaN            NaN  0.548276                 NaN            NaN  0.151903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4364                 NaN            NaN            NaN  0.548402                 NaN            NaN  0.151510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4351                 NaN            NaN            NaN  0.549727                 NaN            NaN  0.151525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4348                 NaN            NaN            NaN  0.550110                 NaN            NaN  0.151089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4370                 NaN            NaN            NaN  0.547964                 NaN            NaN  0.149908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4355                 NaN            NaN            NaN  0.549518                 NaN            NaN  0.149842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4342                 NaN            NaN            NaN  0.550869                 NaN            NaN  0.149791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4307                 NaN            NaN            NaN  0.554324                 NaN            NaN  0.150148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4362                 NaN            NaN            NaN  0.548971                 NaN            NaN  0.148044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4196                 NaN            NaN            NaN  0.565120                 NaN            NaN  0.152514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4451                 NaN            NaN            NaN  0.540490                 NaN            NaN  0.143953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4306                 NaN            NaN            NaN  0.554617                 NaN            NaN  0.147907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4295                 NaN            NaN            NaN  0.555780                 NaN            NaN  0.147482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4273                 NaN            NaN            NaN  0.557987                 NaN            NaN  0.147334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4255                 NaN            NaN            NaN  0.559725                 NaN            NaN  0.147333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4264                 NaN            NaN            NaN  0.559011                 NaN            NaN  0.146167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4211                 NaN            NaN            NaN  0.564190                 NaN            NaN  0.146743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4242                 NaN            NaN            NaN  0.561252                 NaN            NaN  0.145311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4198                 NaN            NaN            NaN  0.565584                 NaN            NaN  0.145742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4161                 NaN            NaN            NaN  0.569394                 NaN            NaN  0.145077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4200                 NaN            NaN            NaN  0.565488                 NaN            NaN  0.145076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4664                 NaN            NaN            NaN  0.520264                 NaN            NaN  0.133008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3606                 NaN            NaN            NaN  0.623741                 NaN            NaN  0.156493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        98.4863                 NaN            NaN            NaN   1.47678                 NaN            NaN  0.368929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.9011                 NaN            NaN            NaN  0.962898E-001            NaN            NaN  0.261048E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2613                 NaN            NaN            NaN  0.720962                 NaN            NaN  0.177662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4021                 NaN            NaN            NaN  0.583629                 NaN            NaN  0.142901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3995                 NaN            NaN            NaN  0.586226                 NaN            NaN  0.142766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3973                 NaN            NaN            NaN  0.588441                 NaN            NaN  0.142625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.3941                 NaN            NaN            NaN  0.591640                 NaN            NaN  0.142579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.3927                 NaN            NaN            NaN  0.593052                 NaN            NaN  0.142170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.1650                 NaN            NaN            NaN  0.815524                 NaN            NaN  0.194517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.6149                 NaN            NaN            NaN  0.376234                 NaN            NaN  0.888941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3819                 NaN            NaN            NaN  0.603861                 NaN            NaN  0.142452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3869                 NaN            NaN            NaN  0.599102                 NaN            NaN  0.140042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3783                 NaN            NaN            NaN  0.607598                 NaN            NaN  0.140997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3806                 NaN            NaN            NaN  0.605438                 NaN            NaN  0.140096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3704                 NaN            NaN            NaN  0.615460                 NaN            NaN  0.141528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3695                 NaN            NaN            NaN  0.616382                 NaN            NaN  0.140873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3731                 NaN            NaN            NaN  0.612963                 NaN            NaN  0.139278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3657                 NaN            NaN            NaN  0.620274                 NaN            NaN  0.140136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3622                 NaN            NaN            NaN  0.623755                 NaN            NaN  0.140595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3656                 NaN            NaN            NaN  0.620585                 NaN            NaN  0.138597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3601                 NaN            NaN            NaN  0.625990                 NaN            NaN  0.139230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3564                 NaN            NaN            NaN  0.629634                 NaN            NaN  0.139294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3546                 NaN            NaN            NaN  0.631465                 NaN            NaN  0.139207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3524                 NaN            NaN            NaN  0.633750                 NaN            NaN  0.138712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3502                 NaN            NaN            NaN  0.635895                 NaN            NaN  0.139098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3598                 NaN            NaN            NaN  0.626633                 NaN            NaN  0.135842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3350                 NaN            NaN            NaN  0.650970                 NaN            NaN  0.140598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3438                 NaN            NaN            NaN  0.642409                 NaN            NaN  0.138051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3406                 NaN            NaN            NaN  0.645575                 NaN            NaN  0.138137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3416                 NaN            NaN            NaN  0.644673                 NaN            NaN  0.137314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3369                 NaN            NaN            NaN  0.649325                 NaN            NaN  0.137779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3380                 NaN            NaN            NaN  0.648310                 NaN            NaN  0.137022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3348                 NaN            NaN            NaN  0.651512                 NaN            NaN  0.137240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3334                 NaN            NaN            NaN  0.652941                 NaN            NaN  0.137040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3329                 NaN            NaN            NaN  0.653470                 NaN            NaN  0.136597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3307                 NaN            NaN            NaN  0.655618                 NaN            NaN  0.136681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3285                 NaN            NaN            NaN  0.657826                 NaN            NaN  0.136569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3322                 NaN            NaN            NaN  0.654281                 NaN            NaN  0.135595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3239                 NaN            NaN            NaN  0.662390                 NaN            NaN  0.137170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3333                 NaN            NaN            NaN  0.653247                 NaN            NaN  0.134557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.1798                 NaN            NaN            NaN  0.610567                 NaN            NaN  0.106639E-001  0.198951                 NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.0659                 NaN            NaN            NaN  0.225497                 NaN            NaN            NaN   1.70860                 NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.1014                 NaN            NaN            NaN  0.221796                 NaN            NaN            NaN   1.67679                 NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.1353                 NaN            NaN            NaN  0.216839                 NaN            NaN            NaN   1.64787                 NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.1811                 NaN            NaN            NaN  0.211699                 NaN            NaN            NaN   1.60724                 NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.2133                 NaN            NaN            NaN  0.205887                 NaN            NaN            NaN   1.58082                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.2472                 NaN            NaN            NaN  0.202415                 NaN            NaN            NaN   1.55038                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.2689                 NaN            NaN            NaN  0.198419                 NaN            NaN            NaN   1.53269                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3212                 NaN            NaN            NaN  0.191859                 NaN            NaN            NaN   1.48694                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.3429                 NaN            NaN            NaN  0.187801                 NaN            NaN            NaN   1.46926                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3745                 NaN            NaN            NaN  0.185262                 NaN            NaN            NaN   1.44025                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4000                 NaN            NaN            NaN  0.181920                 NaN            NaN            NaN   1.41806                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4376                 NaN            NaN            NaN  0.175524                 NaN            NaN            NaN   1.38692                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4599                 NaN            NaN            NaN  0.171314                 NaN            NaN            NaN   1.36879                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4852                 NaN            NaN            NaN  0.166466                 NaN            NaN            NaN   1.34836                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5138                 NaN            NaN            NaN  0.165691                 NaN            NaN            NaN   1.32055                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5403                 NaN            NaN            NaN  0.161355                 NaN            NaN            NaN   1.29839                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5601                 NaN            NaN            NaN  0.155189                 NaN            NaN            NaN   1.28467                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.1258                 NaN            NaN            NaN  0.952770E-001            NaN            NaN            NaN  0.778950                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.0742                 NaN            NaN            NaN  0.208187                 NaN            NaN            NaN   1.71760                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6332                 NaN            NaN            NaN  0.145452                 NaN            NaN            NaN   1.22136                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6550                 NaN            NaN            NaN  0.141416                 NaN            NaN            NaN   1.20358                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.3195                 NaN            NaN            NaN  0.758420E-001            NaN            NaN            NaN  0.604690                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.0581                 NaN            NaN            NaN  0.201198                 NaN            NaN            NaN   1.74073                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7157                 NaN            NaN            NaN  0.130101                 NaN            NaN            NaN   1.15422                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7364                 NaN            NaN            NaN  0.127398                 NaN            NaN            NaN   1.13620                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7870                 NaN            NaN            NaN  0.124005                 NaN            NaN            NaN   1.08904                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7477                 NaN            NaN            NaN  0.128848                 NaN            NaN            NaN   1.12349                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7951                 NaN            NaN            NaN  0.121306                 NaN            NaN            NaN   1.08363                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8137                 NaN            NaN            NaN  0.105298                 NaN            NaN            NaN   1.08104                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8270                 NaN            NaN            NaN  0.123162                 NaN            NaN            NaN   1.04980                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8457                 NaN            NaN            NaN  0.110160                 NaN            NaN            NaN   1.04411                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8617                 NaN            NaN            NaN  0.108034                 NaN            NaN            NaN   1.03028                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8769                 NaN            NaN            NaN  0.104242                 NaN            NaN            NaN   1.01887                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8945                 NaN            NaN            NaN  0.101745                 NaN            NaN            NaN   1.00375                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9086                 NaN            NaN            NaN  0.984885E-001            NaN            NaN            NaN  0.992934                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9185                 NaN            NaN            NaN  0.930759E-001            NaN            NaN            NaN  0.988375                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9391                 NaN            NaN            NaN  0.925524E-001            NaN            NaN            NaN  0.968299                 NaN            NaN            NaN            NaN            NaN            NaN
