|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1472.22        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        99.2614                 NaN            NaN            NaN  0.454892       0.283691                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.30        2500.00        99.1365                 NaN            NaN            NaN  0.532755       0.330706                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.83        2500.00        99.1504                 NaN            NaN            NaN  0.524955       0.324626                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.37        2500.00        99.1570                 NaN            NaN            NaN  0.520883       0.322127                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.91        2500.00        99.1641                 NaN            NaN            NaN  0.516533       0.319413                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.45        2500.00        99.1700                 NaN            NaN            NaN  0.513111       0.316892                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.99        2500.00        99.1757                 NaN            NaN            NaN  0.313411       0.510904                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.52        2500.00        99.1826                 NaN            NaN            NaN  0.310959       0.506436                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.06        2500.00        99.1891                 NaN            NaN            NaN  0.502826       0.308074                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.60        2500.00        99.1942                 NaN            NaN            NaN  0.304885       0.500907                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        2500.00        99.2018                 NaN            NaN            NaN  0.495159       0.303022                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.68        2500.00        99.2070                 NaN            NaN            NaN  0.300737       0.492311                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.21        2500.00        99.2121                 NaN            NaN            NaN  0.298508       0.489435                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.75        2500.00        99.2178                 NaN            NaN            NaN  0.485396       0.296820                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00        99.2254                 NaN            NaN            NaN  0.482121       0.292436                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.83        2500.00        99.2293                 NaN            NaN            NaN  0.290315       0.480341                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.37        2500.00        99.2340                 NaN            NaN            NaN  0.288347       0.477697                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.90        2500.00        99.2401                 NaN            NaN            NaN  0.473128       0.286744                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        99.1603                 NaN            NaN            NaN  0.476143       0.323506       0.400394E-001            NaN            NaN            NaN            NaN            NaN
  1442.98        2500.00        98.0155                 NaN            NaN            NaN  0.541092       0.863594       0.579773                 NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        98.0536                 NaN            NaN            NaN  0.847237       0.530465       0.568675                 NaN            NaN            NaN            NaN            NaN
  1440.06        2500.00        98.0923                 NaN  0.673251E-003            NaN  0.519231       0.830452       0.557353                 NaN            NaN            NaN            NaN            NaN
  1438.59        2500.00        98.1283                 NaN            NaN            NaN  0.816087       0.509049       0.546579                 NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00        98.1387                 NaN  0.148417                 NaN  0.603244       0.543397       0.566273                 NaN            NaN            NaN            NaN            NaN
  1435.67        2500.00        98.1700                 NaN  0.183164                 NaN  0.544120       0.540582       0.562171                 NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00        98.2024                 NaN  0.181781                 NaN  0.528270       0.535021       0.552542                 NaN            NaN            NaN            NaN            NaN
  1432.75        2500.00        98.2353                 NaN  0.180211                 NaN  0.515536       0.526391       0.542582                 NaN            NaN            NaN            NaN            NaN
  1431.28        2500.00        98.2592                 NaN  0.179221                 NaN  0.507313       0.518173       0.536083                 NaN            NaN            NaN            NaN            NaN
  1429.82        2500.00        98.3046                 NaN  0.177068                 NaN  0.489761       0.507330       0.521205                 NaN            NaN            NaN            NaN            NaN
  1428.36        2500.00        98.3294                 NaN  0.175914                 NaN  0.480403       0.500198       0.514131                 NaN            NaN            NaN            NaN            NaN
  1426.90        2500.00        98.0926                 NaN  0.206787                 NaN  0.545091       0.563044       0.592449                 NaN            NaN            NaN            NaN            NaN
  1425.44        2500.00        98.6394                 NaN  0.138719                 NaN  0.429299       0.376310       0.416239                 NaN            NaN            NaN            NaN            NaN
  1423.97        2500.00        98.4124                 NaN  0.171901                 NaN  0.450193       0.476323       0.489150                 NaN            NaN            NaN            NaN            NaN
  1422.51        2500.00        98.4411                 NaN  0.170440                 NaN  0.469087       0.439253       0.480094                 NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00        98.4661                 NaN  0.169760                 NaN  0.429087       0.462346       0.472685                 NaN            NaN            NaN            NaN            NaN
  1419.59        2500.00        98.4920                 NaN  0.168113                 NaN  0.455355       0.419921       0.464620                 NaN            NaN            NaN            NaN            NaN
  1418.13        2500.00        98.5161                 NaN  0.168103                 NaN  0.408515       0.449458       0.457870                 NaN            NaN            NaN            NaN            NaN
  1416.66        2500.00        98.5410                 NaN  0.164560                 NaN  0.404163       0.440884       0.449360                 NaN            NaN            NaN            NaN            NaN
  1415.20        2500.00        98.5634                 NaN  0.164845                 NaN  0.435071       0.393749       0.442945                 NaN            NaN            NaN            NaN            NaN
  1413.74        2500.00        98.5860                 NaN  0.163381                 NaN  0.428519       0.386078       0.436020                 NaN            NaN            NaN            NaN            NaN
  1412.28        2500.00        98.6079                 NaN  0.162368                 NaN  0.422801       0.377525       0.429367                 NaN            NaN            NaN            NaN            NaN
  1410.82        2500.00        98.6297                 NaN  0.161362                 NaN  0.369391       0.416946       0.422617                 NaN            NaN            NaN            NaN            NaN
  1409.35        2500.00        98.6507                 NaN  0.159972                 NaN  0.362010       0.411038       0.416299                 NaN            NaN            NaN            NaN            NaN
  1407.89        2500.00        98.6703                 NaN  0.160099                 NaN  0.353113       0.406203       0.410322                 NaN            NaN            NaN            NaN            NaN
  1406.43        2500.00        98.6914                 NaN  0.157377                 NaN  0.399907       0.347974       0.403371                 NaN            NaN            NaN            NaN            NaN
  1404.97        2500.00        98.7103                 NaN  0.156886                 NaN  0.394478       0.340553       0.397782                 NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.7282                 NaN  0.155996                 NaN  0.390023       0.333529       0.392210                 NaN            NaN            NaN            NaN            NaN
  1402.04        2500.00        98.7474                 NaN  0.154913                 NaN  0.327049       0.384341       0.386289                 NaN            NaN            NaN            NaN            NaN
  1400.58        2500.00        98.7643                 NaN  0.153945                 NaN  0.320674       0.380040       0.381074                 NaN            NaN            NaN            NaN            NaN
  1399.12        2500.00        98.7843                 NaN  0.152533                 NaN  0.374223       0.314173       0.374784                 NaN            NaN            NaN            NaN            NaN
  1397.66        2500.00        98.8006                 NaN  0.151671                 NaN  0.308372       0.369468       0.369850                 NaN            NaN            NaN            NaN            NaN
  1396.20        2500.00        98.8167                 NaN  0.150917                 NaN  0.365292       0.302289       0.364779                 NaN            NaN            NaN            NaN            NaN
  1394.73        2500.00        98.8340                 NaN  0.149474                 NaN  0.297533       0.359655       0.359321                 NaN            NaN            NaN            NaN            NaN
  1393.27        2500.00        98.8500                 NaN  0.148827                 NaN  0.291144       0.355507       0.354543                 NaN            NaN            NaN            NaN            NaN
  1391.81        2500.00        98.8660                 NaN  0.147253                 NaN  0.350881       0.286587       0.349311                 NaN            NaN            NaN            NaN            NaN
  1390.35        2500.00        98.8799                 NaN  0.146725                 NaN  0.347193       0.281073       0.345078                 NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        98.8970                 NaN  0.145324                 NaN  0.342291       0.275747       0.339616                 NaN            NaN            NaN            NaN            NaN
  1387.42        2500.00        98.9074                 NaN  0.145113                 NaN  0.274024       0.336633       0.336863                 NaN            NaN            NaN            NaN            NaN
  1385.96        2500.00        98.9268                 NaN  0.143323                 NaN  0.264109       0.336030       0.329757                 NaN            NaN            NaN            NaN            NaN
  1384.50        2500.00        98.9392                 NaN  0.142732                 NaN  0.331193       0.260483       0.326375                 NaN            NaN            NaN            NaN            NaN
  1383.04        2500.00        98.9534                 NaN  0.141346                 NaN  0.257112       0.326234       0.321877                 NaN            NaN            NaN            NaN            NaN
  1381.58        2500.00        98.9666                 NaN  0.140422                 NaN  0.321666       0.253190       0.318159                 NaN            NaN            NaN            NaN            NaN
  1380.11        2500.00        98.9812                 NaN  0.138047                 NaN  0.249845       0.318245       0.312706                 NaN            NaN            NaN            NaN            NaN
  1378.65        2500.00        98.9925                 NaN  0.138086                 NaN  0.244701       0.315145       0.309528                 NaN            NaN            NaN            NaN            NaN
  1377.19        2500.00        98.9990                 NaN  0.139051                 NaN  0.313800       0.240299       0.307881                 NaN            NaN            NaN            NaN            NaN
  1375.73        2500.00        99.0241                 NaN  0.123207                 NaN  0.253824       0.301300       0.297582                 NaN            NaN            NaN            NaN            NaN
  1374.27        2500.00        99.0302                 NaN  0.145848                 NaN  0.309400       0.215590       0.298958                 NaN            NaN            NaN            NaN            NaN
  1372.80        2500.00        99.0428                 NaN  0.133155                 NaN  0.300347       0.230327       0.293367                 NaN            NaN            NaN            NaN            NaN
  1371.34        2500.00        99.0528                 NaN  0.132781                 NaN  0.298480       0.225717       0.290231                 NaN            NaN            NaN            NaN            NaN
  1369.88        2500.00        99.0651                 NaN  0.131237                 NaN  0.222844       0.294722       0.286139                 NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        99.0762                 NaN  0.130339                 NaN  0.219497       0.291260       0.282677                 NaN            NaN            NaN            NaN            NaN
  1366.96        2500.00        99.0876                 NaN  0.129152                 NaN  0.287273       0.216895       0.279040                 NaN            NaN            NaN            NaN            NaN
  1365.49        2500.00        99.0956                 NaN  0.130979                 NaN  0.284785       0.211047       0.277618                 NaN            NaN            NaN            NaN            NaN
  1364.03        2500.00        99.1123                 NaN  0.124174                 NaN  0.213322       0.280240       0.269917                 NaN            NaN            NaN            NaN            NaN
  1362.57        2500.00        99.1194                 NaN  0.125335                 NaN  0.208191       0.278480       0.268642                 NaN            NaN            NaN            NaN            NaN
  1361.11        2500.00        99.1295                 NaN  0.124519                 NaN  0.275426       0.205069       0.265444                 NaN            NaN            NaN            NaN            NaN
  1359.65        2500.00        99.1381                 NaN  0.123134                 NaN  0.202719       0.273288       0.262712                 NaN            NaN            NaN            NaN            NaN
  1358.19        2500.00        99.1476                 NaN  0.122700                 NaN  0.272003       0.198356       0.259334                 NaN            NaN            NaN            NaN            NaN
  1356.72        2500.00        99.1608                 NaN  0.119544                 NaN  0.199222       0.265439       0.254950                 NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00        99.1684                 NaN  0.119310                 NaN  0.195603       0.263982       0.252686                 NaN            NaN            NaN            NaN            NaN
  1353.80        2500.00        99.1782                 NaN  0.118216                 NaN  0.193307       0.260765       0.249544                 NaN            NaN            NaN            NaN            NaN
  1352.34        2500.00        99.1871                 NaN  0.117647                 NaN  0.190363       0.258093       0.246803                 NaN            NaN            NaN            NaN            NaN
  1350.88        2500.00        99.1966                 NaN  0.114922                 NaN  0.190390       0.254752       0.243372                 NaN            NaN            NaN            NaN            NaN
  1349.41        2500.00        98.5710                 NaN  0.214096                 NaN  0.471010       0.310441       0.433429                 NaN            NaN            NaN            NaN            NaN
  1347.95        2500.00        99.8440                 NaN  0.160360E-001            NaN  0.493089E-001  0.464499E-001  0.442516E-001            NaN            NaN            NaN            NaN            NaN
  1346.49        2500.00        99.2217                 NaN  0.111173                 NaN  0.246556       0.185434       0.235124                 NaN            NaN            NaN            NaN            NaN
  1345.03        2500.00        99.2298                 NaN  0.110633                 NaN  0.244452       0.182418       0.232668                 NaN            NaN            NaN            NaN            NaN
  1343.57        2500.00        99.2391                 NaN  0.107833                 NaN  0.240796       0.183075       0.229187                 NaN            NaN            NaN            NaN            NaN
  1342.10        2500.00        99.2460                 NaN  0.107800                 NaN  0.238437       0.180438       0.227353                 NaN            NaN            NaN            NaN            NaN
  1340.64        2500.00        99.2547                 NaN  0.104994                 NaN  0.236137       0.180312       0.223905                 NaN            NaN            NaN            NaN            NaN
  1339.18        2500.00        99.2627                 NaN  0.104177                 NaN  0.178773       0.232768       0.221579                 NaN            NaN            NaN            NaN            NaN
  1337.72        2500.00        99.2660                 NaN  0.101793                 NaN  0.228905       0.182742       0.220520                 NaN            NaN            NaN            NaN            NaN
  1336.26        2500.00        99.2816                 NaN  0.102324                 NaN  0.230536       0.170546       0.214948                 NaN            NaN            NaN            NaN            NaN
  1334.79        2500.00        99.2847                 NaN  0.996160E-001            NaN  0.225577       0.176031       0.214109                 NaN            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.2919                 NaN  0.981430E-001            NaN  0.175144       0.223189       0.211633                 NaN            NaN            NaN            NaN            NaN
  1331.87        2500.00        99.2994                 NaN  0.962339E-001            NaN  0.220107       0.175098       0.209189                 NaN            NaN            NaN            NaN            NaN
  1330.41        2500.00        99.3071                 NaN  0.980786E-001            NaN  0.219379       0.168062       0.207409                 NaN            NaN            NaN            NaN            NaN
  1328.95        2500.00        99.3135                 NaN  0.920051E-001            NaN  0.177187       0.213259       0.204084                 NaN            NaN            NaN            NaN            NaN
  1327.48        2500.00        99.3197                 NaN  0.903389E-001            NaN  0.175909       0.212004       0.202002                 NaN            NaN            NaN            NaN            NaN
  1326.02        2500.00        99.3246                 NaN  0.910541E-001            NaN  0.171325       0.212450       0.200619                 NaN            NaN            NaN            NaN            NaN
  1324.56        2500.00        99.3337                 NaN  0.877608E-001            NaN  0.206786       0.174398       0.197358                 NaN            NaN            NaN            NaN            NaN
  1323.10        2500.00        99.3387                 NaN  0.869910E-001            NaN  0.173196       0.205281       0.195854                 NaN            NaN            NaN            NaN            NaN
  1321.64        2500.00        99.3458                 NaN  0.860230E-001            NaN  0.203261       0.171357       0.193511                 NaN            NaN            NaN            NaN            NaN
  1320.17        2500.00        99.3517                 NaN  0.826482E-001            NaN  0.199188       0.175187       0.191262                 NaN            NaN            NaN            NaN            NaN
  1318.71        2500.00        99.3571                 NaN  0.823491E-001            NaN  0.173575       0.197183       0.189816                 NaN            NaN            NaN            NaN            NaN
  1317.25        2500.00        86.1807                 NaN   1.32462                 NaN   2.23141       0.300886        1.76743        8.19499                 NaN            NaN            NaN            NaN
  1315.79        2500.00        80.3942                 NaN   1.90746                 NaN   3.27391       0.155785        2.45463        11.8140                 NaN            NaN            NaN            NaN
  1314.33        2500.00        82.8312                 NaN   1.69988                 NaN   2.99441                 NaN   2.15856        10.3159                 NaN            NaN            NaN            NaN
  1312.86        2500.00        84.7544                 NaN   1.39100                 NaN   2.48853       0.351649        1.92534        9.08910                 NaN            NaN            NaN            NaN
  1311.40        2500.00        86.4780                 NaN   1.34243                 NaN   2.40050                 NaN   1.71408        8.06497                 NaN            NaN            NaN            NaN
  1309.94        2500.00        87.3190                 NaN   1.14709                 NaN   2.32893                 NaN   1.61535        7.53561       0.540695E-001            NaN            NaN            NaN
  1308.48        2500.00        85.4402                 NaN  0.541029                 NaN   3.14125                 NaN   1.87079        8.59122       0.415530                 NaN            NaN            NaN
  1307.02        2500.00        86.1621                 NaN            NaN            NaN   1.35719        2.25342        1.79701        7.97529       0.454997                 NaN            NaN            NaN
  1305.55        2500.00        87.7166                 NaN            NaN            NaN   1.19048        2.01583        1.59766        7.07181       0.407635                 NaN            NaN            NaN
  1304.09        2500.00        88.9941                 NaN            NaN            NaN   1.82168        1.05254        1.43378        6.32915       0.368763                 NaN            NaN            NaN
  1302.63        2500.00        90.0493                 NaN            NaN            NaN   1.65943       0.943023        1.29878        5.71342       0.336089                 NaN            NaN            NaN
  1301.17        2500.00        90.9549                 NaN            NaN            NaN   1.52030       0.849577        1.18277        5.18482       0.307638                 NaN            NaN            NaN
  1299.71        2500.00        91.7163                 NaN            NaN            NaN   1.40034       0.775264        1.08537        4.73922       0.283540                 NaN            NaN            NaN
  1298.24        2500.00        92.3709                 NaN            NaN            NaN  0.713879        1.29688        1.00190        4.35443       0.262046                 NaN            NaN            NaN
  1296.78        2500.00        92.9471                 NaN            NaN            NaN   1.20567       0.660112       0.928163        4.01547       0.243454                 NaN            NaN            NaN
  1295.32        2500.00        93.4462                 NaN            NaN            NaN   1.12426       0.616676       0.864415        3.72148       0.226989                 NaN            NaN            NaN
  1293.86        2500.00        93.8378                 NaN            NaN            NaN   1.06501       0.578367       0.814914        3.49017       0.213730                 NaN            NaN            NaN
  1292.40        2500.00        92.7260                 NaN            NaN            NaN   1.72092                 NaN  0.927109        4.23969       0.253739       0.132506                 NaN            NaN
  1290.93        2500.00        93.1595                 NaN  0.221571                 NaN   1.41800                 NaN  0.866136        3.93356       0.119554       0.281648                 NaN            NaN
  1289.47        2500.00        93.0313                 NaN  0.332432                 NaN   1.30814                 NaN  0.884142        4.04307       0.103429       0.297513                 NaN            NaN
  1288.01        2500.00        85.4686                 NaN  0.732284                 NaN   2.67353                 NaN   1.94216        8.24312       0.254240       0.686100                 NaN            NaN
  1286.55        2500.00        98.2778                 NaN            NaN            NaN  0.701621                 NaN  0.168401       0.842684                 NaN  0.945636E-002            NaN            NaN
  1285.09        2500.00        94.3558                 NaN  0.403804                 NaN  0.968639                 NaN  0.682173        3.31358       0.110693E-001  0.264962                 NaN            NaN
  1283.62        2500.00        97.4920                 NaN  0.695099E-001            NaN  0.213640                 NaN  0.248261        1.78018       0.977626E-001  0.986928E-001            NaN            NaN
