|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1521.54        2500.00        99.3682                 NaN            NaN  0.800660E-001  0.551754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.5165       0.390874E-005            NaN            NaN  0.483511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        99.3329                 NaN            NaN            NaN  0.667099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.4070                 NaN            NaN  0.549088E-002  0.587484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.4071                 NaN            NaN            NaN  0.592864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.4048                 NaN            NaN            NaN  0.595236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.4033                 NaN            NaN            NaN  0.596692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.4047                 NaN            NaN            NaN  0.595253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.3208                 NaN            NaN            NaN  0.679164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.4825                 NaN            NaN            NaN  0.517537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00        99.3999       0.384402E-005            NaN            NaN  0.600074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.3950                 NaN            NaN            NaN  0.604968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00        99.3953                 NaN            NaN            NaN  0.604651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.3912                 NaN            NaN            NaN  0.608764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.3858                 NaN            NaN            NaN  0.614199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.3779                 NaN            NaN            NaN  0.621775                 NaN  0.351252E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.3714                 NaN            NaN            NaN  0.626753                 NaN  0.180859E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.3594                 NaN            NaN            NaN  0.636556                 NaN  0.404327E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.3129                 NaN            NaN            NaN  0.732375E-001  0.610097       0.379920E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        99.0481                 NaN            NaN            NaN  0.607681       0.341845       0.236969E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        99.0592                 NaN            NaN            NaN  0.601370       0.337183       0.227996E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        99.0656                 NaN            NaN            NaN  0.335166       0.596981       0.221131E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        99.0753                 NaN            NaN            NaN  0.590434       0.332156       0.215704E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        99.0818                 NaN            NaN            NaN  0.330015       0.586056       0.208487E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        99.0913                 NaN            NaN            NaN  0.327336       0.579300       0.203950E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        99.0960                 NaN            NaN            NaN  0.576395       0.325567       0.199028E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        99.1075                 NaN            NaN            NaN  0.568283       0.322327       0.190364E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        99.1129                 NaN            NaN            NaN  0.320761       0.564438       0.185744E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        99.1199                 NaN            NaN            NaN  0.560058       0.318255       0.180899E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        99.1278                 NaN            NaN            NaN  0.554480       0.315960       0.173516E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.1304                 NaN            NaN            NaN  0.554329       0.313575       0.172126E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.1467                 NaN            NaN            NaN  0.310585       0.541080       0.162983E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.1482                 NaN            NaN            NaN  0.540692       0.309518       0.158096E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.1547                 NaN            NaN            NaN  0.536444       0.307353       0.153303E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.1615                 NaN            NaN            NaN  0.304929       0.532056       0.148577E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.1672                 NaN            NaN            NaN  0.303496       0.527893       0.144219E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        99.1738                 NaN            NaN            NaN  0.523721       0.301089       0.138453E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.1799                 NaN            NaN            NaN  0.298440       0.520335       0.134664E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.1873                 NaN            NaN            NaN  0.296560       0.514820       0.129215E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.1920                 NaN            NaN            NaN  0.294665       0.512081       0.124595E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.1981                 NaN            NaN            NaN  0.292951       0.507778       0.120617E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.2023                 NaN            NaN            NaN  0.505171       0.291381       0.115078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        99.2106                 NaN            NaN            NaN  0.288838       0.499421       0.111721E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.2144                 NaN            NaN            NaN  0.287067       0.497429       0.106666E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        98.9369                 NaN            NaN            NaN  0.388112       0.673570       0.141237E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.5089                 NaN            NaN            NaN  0.179812       0.310656       0.619983E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        98.4662                 NaN            NaN            NaN  0.970905       0.561031       0.187724E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.2403                 NaN            NaN            NaN  0.278307       0.480530       0.884232E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.2456       0.571073E-005            NaN            NaN  0.477039       0.276505       0.840597E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.2489                 NaN            NaN            NaN  0.475354       0.274933       0.805209E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        99.2557                 NaN            NaN            NaN  0.471025       0.272495       0.764200E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.2166                 NaN            NaN            NaN  0.496304       0.286324       0.817780E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.3068                 NaN            NaN            NaN  0.254220       0.438309       0.668532E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.2673       0.820982E-006            NaN            NaN  0.463710       0.268330       0.677188E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.2727                 NaN            NaN            NaN  0.266207       0.460449       0.667410E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.2771                 NaN            NaN            NaN  0.457977       0.264338       0.621985E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.2813                 NaN            NaN            NaN  0.262991       0.455100       0.579531E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.2846                 NaN            NaN            NaN  0.453292       0.261531       0.568115E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.2886                 NaN            NaN            NaN  0.260128       0.450721       0.523717E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.2924                 NaN            NaN            NaN  0.448606       0.258547       0.492903E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.2961                 NaN            NaN            NaN  0.446360       0.257099       0.478894E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.3001                 NaN            NaN            NaN  0.255527       0.443907       0.444585E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.3032                 NaN            NaN            NaN  0.442224       0.254135       0.426245E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.3068                 NaN            NaN            NaN  0.440226       0.252557       0.410347E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.3102                 NaN            NaN            NaN  0.438271       0.251179       0.380645E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.3108                 NaN            NaN            NaN  0.438317       0.250543       0.354369E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.3189                 NaN            NaN            NaN  0.247605       0.433187       0.339652E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        99.0292                 NaN            NaN            NaN  0.368324       0.445796       0.100123E-002            NaN  0.155658                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.3918       0.491077E-005            NaN            NaN  0.629917       0.475981                 NaN            NaN  0.502339                 NaN            NaN            NaN            NaN
  1423.14        2500.00        98.4037       0.505062E-001            NaN            NaN  0.486320       0.548511                 NaN            NaN  0.510923                 NaN            NaN            NaN            NaN
  1421.73        2500.00        98.3808       0.211514                 NaN            NaN  0.540496       0.309594                 NaN            NaN  0.557623                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.4055       0.210663                 NaN            NaN  0.299872       0.534567                 NaN            NaN  0.549427                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.4249       0.210709                 NaN            NaN  0.530879       0.289857                 NaN            NaN  0.543610                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.4558       0.208452                 NaN            NaN  0.281800       0.521373                 NaN            NaN  0.532604                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.4685       0.209331                 NaN            NaN  0.273640       0.519571                 NaN            NaN  0.528985                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.5001       0.207471                 NaN            NaN  0.510800       0.263570                 NaN            NaN  0.518010                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.5182       0.206829                 NaN            NaN  0.505116       0.257542                 NaN            NaN  0.512336                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.5440       0.206022                 NaN            NaN  0.498262       0.247944                 NaN            NaN  0.503747                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.5626       0.206127                 NaN            NaN  0.495492       0.237848                 NaN            NaN  0.497975                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.5817       0.204878                 NaN            NaN  0.231578       0.490594                 NaN            NaN  0.491263                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.6014       0.204220                 NaN            NaN  0.223993       0.485580                 NaN            NaN  0.484800                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.6215       0.203331                 NaN            NaN  0.480309       0.216765                 NaN            NaN  0.478132                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.6381       0.202993                 NaN            NaN  0.477322       0.209127                 NaN            NaN  0.472502                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.6574       0.201991                 NaN            NaN  0.472709       0.201817                 NaN            NaN  0.466066                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.6743       0.201671                 NaN            NaN  0.467849       0.195562                 NaN            NaN  0.460628                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.6938       0.200484                 NaN            NaN  0.463657       0.188200                 NaN            NaN  0.453847                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.7094       0.199877                 NaN            NaN  0.181956       0.460220                 NaN            NaN  0.448521                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.7255       0.199122                 NaN            NaN  0.456586       0.175585                 NaN            NaN  0.443176                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.7415       0.198717                 NaN            NaN  0.452596       0.169537                 NaN            NaN  0.437616                 NaN            NaN            NaN            NaN
  1395.02        2500.00        98.7566       0.197935                 NaN            NaN  0.449417       0.163568                 NaN            NaN  0.432521                 NaN            NaN            NaN            NaN
  1393.61        2500.00        98.7740       0.196543                 NaN            NaN  0.157882       0.445048                 NaN            NaN  0.426566                 NaN            NaN            NaN            NaN
  1392.21        2500.00        98.7895       0.196883                 NaN            NaN  0.151055       0.440388                 NaN            NaN  0.422138                 NaN            NaN            NaN            NaN
  1390.80        2500.00        98.8064       0.194315                 NaN            NaN  0.437079       0.146947                 NaN            NaN  0.415259                 NaN            NaN            NaN            NaN
  1389.40        2500.00        98.8155       0.194978                 NaN            NaN  0.139948       0.437005                 NaN            NaN  0.412599                 NaN            NaN            NaN            NaN
  1387.99        2500.00        98.8344       0.192922                 NaN            NaN  0.430660       0.136235                 NaN            NaN  0.405735                 NaN            NaN            NaN            NaN
  1386.59        2500.00        98.8459       0.192750                 NaN            NaN  0.428346       0.130940                 NaN            NaN  0.402057                 NaN            NaN            NaN            NaN
  1385.18        2500.00        98.8603       0.191868                 NaN            NaN  0.126082       0.424652                 NaN            NaN  0.397078                 NaN            NaN            NaN            NaN
  1383.77        2500.00        98.8742       0.190509                 NaN            NaN  0.421946       0.121224                 NaN            NaN  0.392101                 NaN            NaN            NaN            NaN
  1382.37        2500.00        98.8841       0.190420                 NaN            NaN  0.116611       0.419852                 NaN            NaN  0.389006                 NaN            NaN            NaN            NaN
  1380.96        2500.00        98.9017       0.188329                 NaN            NaN  0.112062       0.415499                 NaN            NaN  0.382432                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.9113       0.187461                 NaN            NaN  0.108458       0.413813                 NaN            NaN  0.378954                 NaN            NaN            NaN            NaN
  1378.15        2500.00        98.9245       0.186761                 NaN            NaN  0.103321       0.410929                 NaN            NaN  0.374537                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.9366       0.185251                 NaN            NaN  0.407807       0.100217                 NaN            NaN  0.370098                 NaN            NaN            NaN            NaN
  1375.34        2500.00        98.9481       0.184416                 NaN            NaN  0.957877E-001  0.405636                 NaN            NaN  0.366096                 NaN            NaN            NaN            NaN
  1373.93        2500.00        98.9577       0.183758                 NaN            NaN  0.406006       0.897534E-001            NaN            NaN  0.362793                 NaN            NaN            NaN            NaN
  1372.53        2500.00        98.9732       0.181365                 NaN            NaN  0.887409E-001  0.399840                 NaN            NaN  0.356862                 NaN            NaN            NaN            NaN
  1371.12        2500.00        98.9807       0.181432                 NaN            NaN  0.399944       0.832034E-001            NaN            NaN  0.354695                 NaN            NaN            NaN            NaN
  1369.72        2500.00        98.9947       0.178930                 NaN            NaN  0.821200E-001  0.395147                 NaN            NaN  0.349056                 NaN            NaN            NaN            NaN
  1368.31        2500.00        99.0033       0.178165                 NaN            NaN  0.791090E-001  0.393333                 NaN            NaN  0.346080                 NaN            NaN            NaN            NaN
  1366.90        2500.00        99.0133       0.176838                 NaN            NaN  0.391640       0.757883E-001            NaN            NaN  0.342385                 NaN            NaN            NaN            NaN
  1365.50        2500.00        99.0251       0.174907                 NaN            NaN  0.388224       0.738669E-001            NaN            NaN  0.337948                 NaN            NaN            NaN            NaN
  1364.09        2500.00        99.0342       0.173857                 NaN            NaN  0.386780       0.705535E-001            NaN            NaN  0.334616                 NaN            NaN            NaN            NaN
  1362.69        2500.00        99.0439       0.172268                 NaN            NaN  0.384475       0.683748E-001            NaN            NaN  0.330989                 NaN            NaN            NaN            NaN
  1361.28        2500.00        99.0536       0.170665                 NaN            NaN  0.382444       0.659718E-001            NaN            NaN  0.327318                 NaN            NaN            NaN            NaN
  1359.88        2500.00        99.0630       0.169236                 NaN            NaN  0.380250       0.637104E-001            NaN            NaN  0.323811                 NaN            NaN            NaN            NaN
  1358.47        2500.00        99.0723       0.167601                 NaN            NaN  0.609951E-001  0.378802                 NaN            NaN  0.320320                 NaN            NaN            NaN            NaN
  1357.06        2500.00        99.0806       0.165669                 NaN            NaN  0.376194       0.605966E-001            NaN            NaN  0.316936                 NaN            NaN            NaN            NaN
  1355.66        2500.00        99.0898       0.163934                 NaN            NaN  0.374470       0.583923E-001            NaN            NaN  0.313357                 NaN            NaN            NaN            NaN
  1354.25        2500.00        99.0983       0.162303                 NaN            NaN  0.563983E-001  0.372910                 NaN            NaN  0.310079                 NaN            NaN            NaN            NaN
  1352.85        2500.00        99.1070       0.160255                 NaN            NaN  0.559944E-001  0.370012                 NaN            NaN  0.306725                 NaN            NaN            NaN            NaN
  1351.44        2500.00        99.1154       0.158613                 NaN            NaN  0.539549E-001  0.368503                 NaN            NaN  0.303484                 NaN            NaN            NaN            NaN
  1350.04        2500.00        99.1228       0.156561                 NaN            NaN  0.533152E-001  0.366965                 NaN            NaN  0.300388                 NaN            NaN            NaN            NaN
  1348.63        2500.00        99.1307       0.154517                 NaN            NaN  0.365161       0.524603E-001            NaN            NaN  0.297146                 NaN            NaN            NaN            NaN
  1347.22        2500.00        99.1381       0.152946                 NaN            NaN  0.363818       0.507754E-001            NaN            NaN  0.294341                 NaN            NaN            NaN            NaN
  1345.82        2500.00        99.1467       0.149937                 NaN            NaN  0.360541       0.521972E-001            NaN            NaN  0.290655                 NaN            NaN            NaN            NaN
  1344.41        2500.00        99.1539       0.148184                 NaN            NaN  0.359135       0.509312E-001            NaN            NaN  0.287804                 NaN            NaN            NaN            NaN
  1343.01        2500.00        99.1609       0.146087                 NaN            NaN  0.506143E-001  0.357440                 NaN            NaN  0.284988                 NaN            NaN            NaN            NaN
  1341.60        2500.00        99.1671       0.144057                 NaN            NaN  0.493201E-001  0.357153                 NaN            NaN  0.282352                 NaN            NaN            NaN            NaN
  1340.19        2500.00        99.1749       0.141306                 NaN            NaN  0.509421E-001  0.353832                 NaN            NaN  0.278997                 NaN            NaN            NaN            NaN
  1338.79        2500.00        99.1818       0.139473                 NaN            NaN  0.352479       0.499937E-001            NaN            NaN  0.276265                 NaN            NaN            NaN            NaN
  1337.38        2500.00        99.1875       0.136693                 NaN            NaN  0.350701       0.514391E-001            NaN            NaN  0.273661                 NaN            NaN            NaN            NaN
  1335.98        2500.00        99.1939       0.134938                 NaN            NaN  0.509890E-001  0.348977                 NaN            NaN  0.271211                 NaN            NaN            NaN            NaN
  1334.57        2500.00        99.2015       0.131608                 NaN            NaN  0.346150       0.530069E-001            NaN            NaN  0.267782                 NaN            NaN            NaN            NaN
  1333.17        2500.00        99.2062       0.129628                 NaN            NaN  0.530612E-001  0.345346                 NaN            NaN  0.265717                 NaN            NaN            NaN            NaN
  1331.76        2500.00        99.1863       0.138010                 NaN            NaN  0.388172       0.975990E-003            NaN            NaN  0.272672       0.138249E-001            NaN            NaN            NaN
  1330.35        2500.00        99.1214       0.130168                 NaN            NaN  0.415700                 NaN            NaN            NaN  0.289594       0.431591E-001            NaN            NaN            NaN
  1328.95        2500.00        99.1326       0.129216                 NaN            NaN  0.409787                 NaN            NaN            NaN  0.286061       0.423601E-001            NaN            NaN            NaN
  1327.54        2500.00        99.1434       0.127218                 NaN            NaN  0.405417                 NaN            NaN            NaN  0.282365       0.415887E-001            NaN            NaN            NaN
  1326.14        2500.00        99.1547       0.125844                 NaN            NaN  0.400275                 NaN            NaN            NaN  0.278517       0.407073E-001            NaN            NaN            NaN
  1324.73        2500.00        99.1651       0.123060                 NaN            NaN  0.396917                 NaN            NaN            NaN  0.275074       0.398799E-001            NaN            NaN            NaN
  1323.33        2500.00        99.1745       0.122642                 NaN            NaN  0.391705                 NaN            NaN            NaN  0.271999       0.391955E-001            NaN            NaN            NaN
  1321.92        2500.00        99.1849       0.120308                 NaN            NaN  0.387948                 NaN            NaN            NaN  0.268405       0.384110E-001            NaN            NaN            NaN
  1320.51        2500.00        99.1951       0.119202                 NaN            NaN  0.382654                 NaN            NaN            NaN  0.265353       0.376922E-001            NaN            NaN            NaN
  1319.11        2500.00        99.2049       0.117599                 NaN            NaN  0.378895                 NaN            NaN            NaN  0.261646       0.369676E-001            NaN            NaN            NaN
  1317.70        2500.00        99.2138       0.116571                 NaN            NaN  0.374300                 NaN            NaN            NaN  0.259033       0.363078E-001            NaN            NaN            NaN
  1316.30        2500.00        99.2245       0.115488                 NaN            NaN  0.368983                 NaN            NaN            NaN  0.255381       0.356139E-001            NaN            NaN            NaN
  1314.89        2500.00        99.2320       0.112175                 NaN            NaN  0.368381                 NaN            NaN            NaN  0.252558       0.348498E-001            NaN            NaN            NaN
  1313.49        2500.00        99.2414       0.110469                 NaN            NaN  0.364576                 NaN            NaN            NaN  0.249423       0.341814E-001            NaN            NaN            NaN
  1312.08        2500.00        99.2497       0.108320                 NaN            NaN  0.361966                 NaN            NaN            NaN  0.246500       0.334732E-001            NaN            NaN            NaN
  1310.67        2500.00        99.2577       0.106875                 NaN            NaN  0.358870                 NaN            NaN            NaN  0.243756       0.328356E-001            NaN            NaN            NaN
  1309.27        2500.00        99.2667       0.104974                 NaN            NaN  0.355431                 NaN            NaN            NaN  0.240777       0.321480E-001            NaN            NaN            NaN
  1307.86        2500.00        99.2750       0.103740                 NaN            NaN  0.351730                 NaN            NaN            NaN  0.237951       0.315671E-001            NaN            NaN            NaN
  1306.46        2500.00        99.2826       0.101105                 NaN            NaN  0.350220                 NaN            NaN            NaN  0.235150       0.308823E-001            NaN            NaN            NaN
  1305.05        2500.00        99.2902       0.996039E-001            NaN            NaN  0.347323                 NaN            NaN            NaN  0.232570       0.302847E-001            NaN            NaN            NaN
  1303.65        2500.00        99.2981       0.975512E-001            NaN            NaN  0.344832                 NaN            NaN            NaN  0.229918       0.296420E-001            NaN            NaN            NaN
  1302.24        2500.00        99.3048       0.950172E-001            NaN            NaN  0.343803                 NaN            NaN            NaN  0.227381       0.289967E-001            NaN            NaN            NaN
  1300.83        2500.00        93.8056       0.414778                 NaN            NaN   1.17011                 NaN            NaN            NaN  0.954321       0.159574        3.49563                 NaN            NaN
  1299.43        2500.00        74.7412        1.64331                 NaN            NaN   3.91363                 NaN            NaN            NaN   3.47214       0.609996        15.6198                 NaN            NaN
  1298.02        2500.00        78.3978        1.46007                 NaN            NaN   3.32837                 NaN            NaN            NaN   2.97855       0.517387        13.3178                 NaN            NaN
  1296.62        2500.00        81.0536        1.32804                 NaN            NaN   2.92229                 NaN            NaN            NaN   2.62228       0.448382        11.6254                 NaN            NaN
  1295.21        2500.00        79.9259       0.932586                 NaN            NaN   3.37109                 NaN  0.774285                 NaN   2.69071                 NaN   12.3054                 NaN            NaN
  1293.80        2500.00        80.3821       0.884344                 NaN            NaN   3.30469                 NaN  0.805950                 NaN   2.62188                 NaN   12.0011                 NaN            NaN
