|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1417.51        2500.00        98.2863       0.264906                 NaN            NaN  0.333630       0.607741                 NaN            NaN  0.507387                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.2987       0.266582                 NaN            NaN  0.324337       0.606255                 NaN            NaN  0.504165                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.3321       0.264657                 NaN            NaN  0.596601       0.312750                 NaN            NaN  0.493942                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.3504       0.264393                 NaN            NaN  0.590507       0.305918                 NaN            NaN  0.488763                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.3776       0.263859                 NaN            NaN  0.582950       0.294826                 NaN            NaN  0.480807                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.3967       0.264429                 NaN            NaN  0.580276       0.283107                 NaN            NaN  0.475533                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.4161       0.263397                 NaN            NaN  0.275974       0.575161                 NaN            NaN  0.469360                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.4365       0.263054                 NaN            NaN  0.267218       0.569821                 NaN            NaN  0.463425                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.4573       0.262414                 NaN            NaN  0.564172       0.258867                 NaN            NaN  0.457292                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.4740       0.262543                 NaN            NaN  0.561246       0.250040                 NaN            NaN  0.452148                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.4941       0.261716                 NaN            NaN  0.556389       0.241571                 NaN            NaN  0.446234                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.5113       0.261840                 NaN            NaN  0.551263       0.234365                 NaN            NaN  0.441271                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.5317       0.260775                 NaN            NaN  0.546786       0.225752                 NaN            NaN  0.435021                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.5474       0.260512                 NaN            NaN  0.218538       0.543362                 NaN            NaN  0.430161                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.5639       0.260040                 NaN            NaN  0.539637       0.211127                 NaN            NaN  0.425281                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.5802       0.260038                 NaN            NaN  0.535451       0.204096                 NaN            NaN  0.420193                 NaN            NaN            NaN            NaN
  1395.02        2500.00        98.5954       0.259524                 NaN            NaN  0.532337       0.197148                 NaN            NaN  0.415549                 NaN            NaN            NaN            NaN
  1393.61        2500.00        98.6135       0.258196                 NaN            NaN  0.190501       0.527698                 NaN            NaN  0.410078                 NaN            NaN            NaN            NaN
  1392.21        2500.00        98.6298       0.259062                 NaN            NaN  0.182433       0.522637                 NaN            NaN  0.406071                 NaN            NaN            NaN            NaN
  1390.80        2500.00        98.6470       0.256245                 NaN            NaN  0.519353       0.177712                 NaN            NaN  0.399702                 NaN            NaN            NaN            NaN
  1389.40        2500.00        98.6557       0.257671                 NaN            NaN  0.169439       0.519810                 NaN            NaN  0.397390                 NaN            NaN            NaN            NaN
  1387.99        2500.00        98.6756       0.255434                 NaN            NaN  0.512828       0.165133                 NaN            NaN  0.391030                 NaN            NaN            NaN            NaN
  1386.59        2500.00        98.6870       0.255754                 NaN            NaN  0.510644       0.158901                 NaN            NaN  0.387735                 NaN            NaN            NaN            NaN
  1385.18        2500.00        98.7018       0.255019                 NaN            NaN  0.153192       0.506809                 NaN            NaN  0.383183                 NaN            NaN            NaN            NaN
  1383.77        2500.00        98.7160       0.253733                 NaN            NaN  0.504153       0.147459                 NaN            NaN  0.378631                 NaN            NaN            NaN            NaN
  1382.37        2500.00        98.7256       0.254155                 NaN            NaN  0.142050       0.502351                 NaN            NaN  0.375893                 NaN            NaN            NaN            NaN
  1380.96        2500.00        98.7443       0.251694                 NaN            NaN  0.136612       0.497556                 NaN            NaN  0.369792                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.7535       0.251190                 NaN            NaN  0.132415       0.496191                 NaN            NaN  0.366677                 NaN            NaN            NaN            NaN
  1378.15        2500.00        98.7672       0.250704                 NaN            NaN  0.126268       0.493203                 NaN            NaN  0.362654                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.7795       0.249172                 NaN            NaN  0.490051       0.122626                 NaN            NaN  0.358605                 NaN            NaN            NaN            NaN
  1375.34        2500.00        98.7912       0.248525                 NaN            NaN  0.117342       0.488000                 NaN            NaN  0.354976                 NaN            NaN            NaN            NaN
  1373.93        2500.00        98.8009       0.248013                 NaN            NaN  0.489031       0.110079                 NaN            NaN  0.352022                 NaN            NaN            NaN            NaN
  1372.53        2500.00        98.8170       0.245358                 NaN            NaN  0.108968       0.482148                 NaN            NaN  0.346516                 NaN            NaN            NaN            NaN
  1371.12        2500.00        98.8244       0.245916                 NaN            NaN  0.482748       0.102268                 NaN            NaN  0.344659                 NaN            NaN            NaN            NaN
  1369.72        2500.00        98.8389       0.243037                 NaN            NaN  0.101073       0.477603                 NaN            NaN  0.339426                 NaN            NaN            NaN            NaN
  1368.31        2500.00        98.8473       0.242477                 NaN            NaN  0.974857E-001  0.475991                 NaN            NaN  0.336778                 NaN            NaN            NaN            NaN
  1366.90        2500.00        98.8574       0.241166                 NaN            NaN  0.474494       0.935010E-001            NaN            NaN  0.333429                 NaN            NaN            NaN            NaN
  1365.50        2500.00        98.8695       0.238943                 NaN            NaN  0.470935       0.912435E-001            NaN            NaN  0.329353                 NaN            NaN            NaN            NaN
  1364.09        2500.00        98.8787       0.237984                 NaN            NaN  0.469745       0.872513E-001            NaN            NaN  0.326349                 NaN            NaN            NaN            NaN
  1362.69        2500.00        98.8885       0.236262                 NaN            NaN  0.467546       0.846628E-001            NaN            NaN  0.323055                 NaN            NaN            NaN            NaN
  1361.28        2500.00        98.8984       0.234509                 NaN            NaN  0.465625       0.817798E-001            NaN            NaN  0.319714                 NaN            NaN            NaN            NaN
  1359.88        2500.00        98.9079       0.233012                 NaN            NaN  0.463508       0.790688E-001            NaN            NaN  0.316530                 NaN            NaN            NaN            NaN
  1358.47        2500.00        98.9174       0.231169                 NaN            NaN  0.757885E-001  0.462314                 NaN            NaN  0.313358                 NaN            NaN            NaN            NaN
  1357.06        2500.00        98.9256       0.229001                 NaN            NaN  0.459731       0.753873E-001            NaN            NaN  0.310287                 NaN            NaN            NaN            NaN
  1355.66        2500.00        98.9351       0.227007                 NaN            NaN  0.458187       0.727300E-001            NaN            NaN  0.307022                 NaN            NaN            NaN            NaN
  1354.25        2500.00        98.9436       0.225181                 NaN            NaN  0.703288E-001  0.456811                 NaN            NaN  0.304048                 NaN            NaN            NaN            NaN
  1352.85        2500.00        98.9525       0.222777                 NaN            NaN  0.699057E-001  0.453851                 NaN            NaN  0.300995                 NaN            NaN            NaN            NaN
  1351.44        2500.00        98.9611       0.220896                 NaN            NaN  0.674351E-001  0.452545                 NaN            NaN  0.298049                 NaN            NaN            NaN            NaN
  1350.04        2500.00        98.9683       0.218471                 NaN            NaN  0.667187E-001  0.451266                 NaN            NaN  0.295243                 NaN            NaN            NaN            NaN
  1348.63        2500.00        98.9764       0.216020                 NaN            NaN  0.449592       0.657219E-001            NaN            NaN  0.292289                 NaN            NaN            NaN            NaN
  1347.22        2500.00        98.9838       0.214244                 NaN            NaN  0.448520       0.636864E-001            NaN            NaN  0.289761                 NaN            NaN            NaN            NaN
  1345.82        2500.00        98.9926       0.210415                 NaN            NaN  0.445047       0.655457E-001            NaN            NaN  0.286363                 NaN            NaN            NaN            NaN
  1344.41        2500.00        99.0000       0.208346                 NaN            NaN  0.443858       0.640268E-001            NaN            NaN  0.283782                 NaN            NaN            NaN            NaN
  1343.01        2500.00        99.0069       0.205784                 NaN            NaN  0.637019E-001  0.442335                 NaN            NaN  0.281232                 NaN            NaN            NaN            NaN
  1341.60        2500.00        99.0131       0.203302                 NaN            NaN  0.621414E-001  0.442598                 NaN            NaN  0.278857                 NaN            NaN            NaN            NaN
  1340.19        2500.00        99.0212       0.199802                 NaN            NaN  0.642589E-001  0.438992                 NaN            NaN  0.275768                 NaN            NaN            NaN            NaN
  1338.79        2500.00        99.0282       0.197554                 NaN            NaN  0.437842       0.631318E-001            NaN            NaN  0.273290                 NaN            NaN            NaN            NaN
  1337.38        2500.00        99.0338       0.194010                 NaN            NaN  0.436264       0.650349E-001            NaN            NaN  0.270936                 NaN            NaN            NaN            NaN
  1335.98        2500.00        99.0402       0.191856                 NaN            NaN  0.645347E-001  0.434659                 NaN            NaN  0.268730                 NaN            NaN            NaN            NaN
  1334.57        2500.00        99.0482       0.187464                 NaN            NaN  0.431655       0.671563E-001            NaN            NaN  0.265552                 NaN            NaN            NaN            NaN
  1333.17        2500.00        99.0527       0.184985                 NaN            NaN  0.673006E-001  0.431257                 NaN            NaN  0.263720                 NaN            NaN            NaN            NaN
  1331.76        2500.00        99.0217       0.197311                 NaN            NaN  0.485373       0.123928E-002            NaN            NaN  0.270846       0.234949E-001            NaN            NaN            NaN
  1330.35        2500.00        98.9319       0.186456                 NaN            NaN  0.520358                 NaN            NaN            NaN  0.287911       0.734141E-001            NaN            NaN            NaN
  1328.95        2500.00        98.9440       0.185500                 NaN            NaN  0.513668                 NaN            NaN            NaN  0.284728       0.721397E-001            NaN            NaN            NaN
  1327.54        2500.00        98.9559       0.182988                 NaN            NaN  0.508800                 NaN            NaN            NaN  0.281374       0.709093E-001            NaN            NaN            NaN
  1326.14        2500.00        98.9681       0.181393                 NaN            NaN  0.503174                 NaN            NaN            NaN  0.277859       0.694876E-001            NaN            NaN            NaN
  1324.73        2500.00        98.9797       0.177719                 NaN            NaN  0.499734                 NaN            NaN            NaN  0.274740       0.681548E-001            NaN            NaN            NaN
  1323.33        2500.00        98.9896       0.177513                 NaN            NaN  0.493833                 NaN            NaN            NaN  0.271979       0.670630E-001            NaN            NaN            NaN
  1321.92        2500.00        99.0013       0.174458                 NaN            NaN  0.489790                 NaN            NaN            NaN  0.268692       0.657971E-001            NaN            NaN            NaN
  1320.51        2500.00        99.0124       0.173226                 NaN            NaN  0.483796                 NaN            NaN            NaN  0.265940       0.646408E-001            NaN            NaN            NaN
  1319.11        2500.00        99.0231       0.171207                 NaN            NaN  0.479671                 NaN            NaN            NaN  0.262524       0.634714E-001            NaN            NaN            NaN
  1317.70        2500.00        99.0328       0.170051                 NaN            NaN  0.474591                 NaN            NaN            NaN  0.260196       0.624104E-001            NaN            NaN            NaN
  1316.30        2500.00        99.0447       0.168790                 NaN            NaN  0.468402                 NaN            NaN            NaN  0.256819       0.612881E-001            NaN            NaN            NaN
  1314.89        2500.00        99.0530       0.164265                 NaN            NaN  0.468463                 NaN            NaN            NaN  0.254266       0.600418E-001            NaN            NaN            NaN
  1313.49        2500.00        99.0633       0.162072                 NaN            NaN  0.464233                 NaN            NaN            NaN  0.251391       0.589575E-001            NaN            NaN            NaN
  1312.08        2500.00        99.0726       0.159254                 NaN            NaN  0.461593                 NaN            NaN            NaN  0.248723       0.578016E-001            NaN            NaN            NaN
  1310.67        2500.00        99.0812       0.157439                 NaN            NaN  0.458326                 NaN            NaN            NaN  0.246229       0.567649E-001            NaN            NaN            NaN
  1309.27        2500.00        99.0914       0.154943                 NaN            NaN  0.454574                 NaN            NaN            NaN  0.243490       0.556390E-001            NaN            NaN            NaN
  1307.86        2500.00        99.1006       0.153396                 NaN            NaN  0.450432                 NaN            NaN            NaN  0.240899       0.546952E-001            NaN            NaN            NaN
  1306.46        2500.00        99.1091       0.149773                 NaN            NaN  0.449188                 NaN            NaN            NaN  0.238326       0.535686E-001            NaN            NaN            NaN
  1305.05        2500.00        99.1175       0.147841                 NaN            NaN  0.446098                 NaN            NaN            NaN  0.235969       0.525906E-001            NaN            NaN            NaN
  1303.65        2500.00        99.1263       0.145032                 NaN            NaN  0.443593                 NaN            NaN            NaN  0.233533       0.515318E-001            NaN            NaN            NaN
  1302.24        2500.00        99.1339       0.141545                 NaN            NaN  0.442898                 NaN            NaN            NaN  0.231208       0.504656E-001            NaN            NaN            NaN
  1300.83        2500.00        93.3370       0.617283                 NaN            NaN   1.50258                 NaN            NaN            NaN  0.967760       0.276976        3.29837                 NaN            NaN
  1299.43        2500.00        73.5350        2.42804                 NaN            NaN   4.95818                 NaN            NaN            NaN   3.47763        1.04575        14.5554                 NaN            NaN
  1298.02        2500.00        77.3089        2.16803                 NaN            NaN   4.22182                 NaN            NaN            NaN   2.98723       0.888186        12.4258                 NaN            NaN
  1296.62        2500.00        80.0505        1.98287                 NaN            NaN   3.70950                 NaN            NaN            NaN   2.63209       0.770375        10.8547                 NaN            NaN
  1295.21        2500.00        78.8595        1.39482                 NaN            NaN   4.27399                 NaN   1.29929                 NaN   2.69762                 NaN   11.4748                 NaN            NaN
  1293.80        2500.00        79.3105        1.32677                 NaN            NaN   4.18905                 NaN   1.35358                 NaN   2.62900                 NaN   11.1911                 NaN            NaN
