|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1334.30        2500.00                 NaN   99.4068       0.293429                 NaN            NaN  0.940754E-001  0.205706                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.4020       0.288038                 NaN            NaN  0.991697E-001  0.210837                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.4049       0.290927                 NaN            NaN  0.954052E-001  0.208808                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.4108       0.286746                 NaN            NaN  0.955502E-001  0.206895                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.4129       0.292022                 NaN            NaN  0.899138E-001  0.205212                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.4191       0.286728                 NaN            NaN  0.910913E-001  0.203086                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.4237       0.284482                 NaN            NaN  0.904404E-001  0.201334                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.4277       0.285641                 NaN            NaN  0.870694E-001  0.199620                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.4180       0.311559                 NaN            NaN  0.706325E-001  0.199837                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.4423       0.282576                 NaN            NaN  0.813447E-001  0.193740                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.4429       0.278154                 NaN            NaN  0.855202E-001  0.193471                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.4456       0.279739                 NaN            NaN  0.825396E-001  0.192096                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.4491       0.280266                 NaN            NaN  0.801359E-001  0.190473                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.4530       0.280633                 NaN            NaN  0.775424E-001  0.188842                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.4583       0.275983                 NaN            NaN  0.787363E-001  0.186943                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.4617       0.276660                 NaN            NaN  0.763918E-001  0.185278                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.4655       0.276923                 NaN            NaN  0.739868E-001  0.183594                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.4717       0.268992                 NaN            NaN  0.773567E-001  0.181959                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.4734       0.275016                 NaN            NaN  0.712851E-001  0.180273                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.4787       0.269587                 NaN            NaN  0.730592E-001  0.178623                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.4792       0.277224                 NaN            NaN  0.661138E-001  0.177502                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.4836       0.273615                 NaN            NaN  0.667677E-001  0.175989                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.4870       0.275052                 NaN            NaN  0.636079E-001  0.174333                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   90.7819        1.89770                 NaN            NaN  0.416326        1.27984        5.62419                 NaN            NaN
  1306.54        2500.00                 NaN   89.7517        2.11818                 NaN            NaN  0.443234        1.41163        6.27521                 NaN            NaN
  1305.38        2500.00                 NaN   90.2701        2.04728                 NaN            NaN  0.408594        1.34696        5.92708                 NaN            NaN
  1304.22        2500.00                 NaN   90.7465        1.96302                 NaN            NaN  0.390416        1.28720        5.61282                 NaN            NaN
  1303.07        2500.00                 NaN   91.1691        1.91446                 NaN            NaN  0.355382        1.23439        5.32663                 NaN            NaN
  1301.91        2500.00                 NaN   91.5508        1.85853                 NaN            NaN  0.332756        1.18674        5.07114                 NaN            NaN
  1300.75        2500.00                 NaN   91.8960        1.81529                 NaN            NaN  0.307007        1.14368        4.83802                 NaN            NaN
  1299.60        2500.00                 NaN   88.2806        2.48786                 NaN            NaN  0.418273        1.64554        7.01711       0.150571                 NaN
  1298.44        2500.00                 NaN   84.9223        3.09244                 NaN            NaN  0.546756        2.10957        9.03346       0.295487                 NaN
  1297.28        2500.00                 NaN   85.8988        2.88022                 NaN            NaN  0.545296        1.97577        8.42552       0.274413                 NaN
  1296.13        2500.00                 NaN   86.8862        2.69866                 NaN            NaN  0.514943        1.84104        7.80706       0.252045                 NaN
  1294.97        2500.00                 NaN   87.8005        2.52866                 NaN            NaN  0.485260        1.71604        7.23777       0.231744                 NaN
  1293.81        2500.00                 NaN   88.6331        2.37934                 NaN            NaN  0.452597        1.60197        6.71983       0.213210                 NaN
  1292.66        2500.00                 NaN   89.3871        2.24479                 NaN            NaN  0.421170        1.49877        6.25157       0.196641                 NaN
  1291.50        2500.00                 NaN   90.0655        2.12216                 NaN            NaN  0.392714        1.40541        5.83221       0.181972                 NaN
  1290.34        2500.00                 NaN   90.6343        2.00919                 NaN            NaN  0.375949        1.32759        5.48299       0.169980                 NaN
  1289.19        2500.00                 NaN   89.9609        2.10524                 NaN            NaN  0.426047        1.41622        5.90786       0.183747                 NaN
  1288.03        2500.00                 NaN   92.5193        1.74467                 NaN            NaN  0.254831        1.07036        4.28328       0.127595                 NaN
  1286.87        2500.00                 NaN   91.6436        1.87062                 NaN            NaN  0.267120        1.18865        4.88086       0.149187                 NaN
  1285.72        2500.00                 NaN   85.1994        3.82822                 NaN            NaN  0.249412        2.13935        8.35619       0.227397                 NaN
  1284.56        2500.00                 NaN   99.6568       0.706231E-001            NaN            NaN  0.220825E-002  0.449424E-001  0.179990       0.454728E-001            NaN
  1283.40        2500.00                 NaN   81.2533        4.38440                 NaN            NaN  0.627271        2.67461        10.7802       0.280171                 NaN
  1282.25        2500.00                 NaN   96.8956       0.766117                 NaN            NaN  0.653452E-001  0.456903        1.75635       0.597123E-001            NaN
  1281.09        2500.00                 NaN   98.0352       0.628191                 NaN            NaN            NaN  0.268932        1.03349       0.342313E-001            NaN
  1279.93        2500.00                 NaN   99.7008                 NaN            NaN            NaN  0.847674E-001  0.495418E-001  0.164904                 NaN            NaN
  1278.77        2500.00                 NaN   95.6032       0.749671                 NaN            NaN  0.284601       0.668818        2.62914       0.645941E-001            NaN
  1277.62        2500.00                 NaN   96.1817        1.13682                 NaN            NaN            NaN  0.519075        2.10091       0.615448E-001            NaN
  1276.46        2500.00                 NaN   95.0535        1.36889                 NaN            NaN  0.148762E-001  0.698128        2.78874       0.759169E-001            NaN
  1275.30        2500.00                 NaN   94.1967        1.11969                 NaN            NaN  0.263249       0.852465        3.46716       0.100731                 NaN
  1274.15        2500.00                 NaN   95.0652        1.19754                 NaN            NaN  0.195380       0.771847        2.67603       0.940412E-001            NaN
  1272.99        2500.00                 NaN   96.6277       0.978802                 NaN            NaN            NaN  0.414771        1.94480       0.339213E-001            NaN
  1271.83        2500.00                 NaN   93.7493        1.06638       0.594327                 NaN            NaN  0.896315        3.60299       0.906604E-001            NaN
  1270.68        2500.00                 NaN   96.3175       0.818674                 NaN            NaN            NaN  0.411421        2.35286       0.995741E-001            NaN
  1269.52        2500.00                 NaN   96.6743        1.18863                 NaN            NaN            NaN  0.576620        1.56043                 NaN            NaN
  1268.36        2500.00                 NaN   97.0470       0.912286                 NaN            NaN            NaN  0.423121        1.57645       0.411880E-001            NaN
  1267.21        2500.00                 NaN   92.7563        1.98189                 NaN            NaN            NaN   1.08463        4.04564       0.131575                 NaN
  1266.05        2500.00                 NaN   98.6066       0.293219                 NaN            NaN            NaN  0.211407       0.869058       0.197180E-001            NaN
  1264.89        2500.00                 NaN   99.3576       0.106390                 NaN            NaN            NaN  0.106764       0.408761       0.204350E-001            NaN
  1263.74        2500.00                 NaN   99.3025       0.263735                 NaN            NaN            NaN  0.885203E-001  0.337071       0.813304E-002            NaN
  1262.58        2500.00                 NaN   91.8276        2.43964                 NaN            NaN            NaN   1.07284        4.58724       0.726463E-001            NaN
  1261.42        2500.00                 NaN   96.5711       0.971722                 NaN            NaN            NaN  0.485657        1.92593       0.455833E-001            NaN
  1260.27        2500.00                 NaN   96.5077       0.708883                 NaN            NaN            NaN  0.390150        2.31269       0.806175E-001            NaN
  1259.11        2500.00                 NaN   97.0319        1.07774                 NaN            NaN            NaN  0.531294        1.35628       0.277586E-002            NaN
  1257.95        2500.00                 NaN   96.7783       0.146811       0.721531                 NaN            NaN  0.485495        1.80432       0.635416E-001            NaN
  1256.80        2500.00                 NaN   96.4639        1.03224                 NaN            NaN            NaN  0.522099        1.94624       0.355135E-001            NaN
  1255.64        2500.00                 NaN   97.8966       0.527594                 NaN            NaN            NaN  0.242286        1.31693       0.165906E-001            NaN
  1254.48        2500.00                 NaN   97.1188       0.302720       0.485234                 NaN            NaN  0.404133        1.65168       0.374595E-001            NaN
  1253.33        2500.00                 NaN   88.7878        2.37828                 NaN            NaN            NaN   1.55978        7.07399       0.200197                 NaN
  1252.17        2500.00                 NaN   99.7027       0.297297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1251.01        2500.00                 NaN   99.8146       0.812236E-001            NaN            NaN            NaN  0.104180                 NaN            NaN            NaN
  1249.86        2500.00                 NaN   99.7886       0.211440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1248.70        2500.00                 NaN   99.8069       0.192658                 NaN            NaN            NaN  0.441451E-003            NaN            NaN            NaN
  1247.54        2500.00                 NaN   98.1217       0.568525                 NaN            NaN            NaN  0.260245        1.04956                 NaN            NaN
  1246.39        2500.00                 NaN   96.6864       0.733977                 NaN            NaN            NaN  0.377690        2.15440       0.475431E-001            NaN
  1245.23        2500.00                 NaN   98.3724       0.582495                 NaN            NaN            NaN  0.330581       0.705494       0.900046E-002            NaN
  1244.07        2500.00                 NaN   98.5074       0.470089                 NaN            NaN            NaN  0.238843       0.768850       0.147786E-001            NaN
  1242.92        2500.00                 NaN   98.0177       0.457897                 NaN            NaN            NaN  0.224499        1.28196       0.179733E-001            NaN
  1241.76        2500.00                 NaN   91.2722        1.19267                 NaN            NaN            NaN   1.12447        6.20414       0.206471                 NaN
  1240.60        2500.00                 NaN   99.6091       0.570035E-001  0.252124                 NaN            NaN  0.817565E-001            NaN            NaN            NaN
  1239.45        2500.00                 NaN   99.6492       0.263289       0.107057E-001            NaN            NaN  0.768387E-001            NaN            NaN            NaN
  1238.29        2500.00                 NaN   99.4280       0.520249                 NaN            NaN            NaN  0.450141E-001            NaN  0.674467E-002            NaN
  1237.13        2500.00                 NaN   99.7026       0.276055E-001  0.205627                 NaN            NaN  0.631910E-001            NaN  0.936335E-003            NaN
  1235.98        2500.00                 NaN   98.3707                 NaN            NaN            NaN            NaN  0.194381        1.43491                 NaN            NaN
  1234.82        2500.00                 NaN   99.1979       0.590065                 NaN            NaN            NaN  0.159757                 NaN  0.523026E-001            NaN
  1233.66        2500.00                 NaN   97.4852       0.523002                 NaN            NaN            NaN  0.326629        1.65836       0.680734E-002            NaN
  1232.51        2500.00                 NaN   99.4301       0.164157       0.247045                 NaN            NaN  0.750056E-001  0.836455E-001            NaN            NaN
  1231.35        2500.00                 NaN   83.2714       0.841969       0.258570                 NaN            NaN   1.21119        8.09844       0.975765E-001   6.22083     
  1230.19        2500.00                 NaN  0.306515E-002   9.07003        3.21533                 NaN            NaN   8.23554        46.5511       0.558239        32.3667     
  1229.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1227.88        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1226.72        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1225.56        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1224.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1223.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1222.09        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1220.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1219.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1218.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1217.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1216.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1215.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1214.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1212.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1211.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1210.53        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1209.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1208.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1207.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1205.90        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1204.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1203.59        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1202.43        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1201.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1200.12        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1198.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1197.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1196.65        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
