|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1560.26        500.000                 NaN   99.3018       0.690961       0.726185E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000                 NaN   99.3028       0.349276       0.347928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000                 NaN   99.4045       0.595535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN   99.3333       0.655670       0.110641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000                 NaN   99.3407       0.659309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000                 NaN   99.3449       0.655083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000                 NaN   99.3169       0.683103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000                 NaN   99.4067       0.593325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000                 NaN   99.3453       0.654734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN   99.3698       0.630175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN   99.3481       0.651902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.4502       0.549769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000                 NaN   99.3345       0.665526       0.233499E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000                 NaN   99.3886       0.611377       0.147837E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000                 NaN   99.3933       0.606673       0.234369E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000                 NaN   99.4013       0.598743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000                 NaN   99.4021       0.597914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN   99.4078       0.592159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000                 NaN   99.4092       0.590759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN   99.4230       0.576987       0.111319E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000                 NaN   99.4215       0.578467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000                 NaN   99.4217       0.578299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000                 NaN   99.4343       0.565651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN   99.4332       0.566832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000                 NaN   99.4397       0.560327       0.281191E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.4428       0.557179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000                 NaN   99.4452       0.554795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN   99.4523       0.547703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000                 NaN   99.4554       0.544614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000                 NaN   99.4614       0.538561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000                 NaN   99.4627       0.537281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.4694       0.530594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000                 NaN   99.4695       0.530516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000                 NaN   99.4704       0.529620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000                 NaN   99.4777       0.522313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN   99.4811       0.518934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000                 NaN   99.4826       0.517379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.4890       0.511041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000                 NaN   99.4908       0.509190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN   99.4932       0.506833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000                 NaN   99.4963       0.503733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000                 NaN   99.5008       0.499186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000                 NaN   99.5053       0.494663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000                 NaN   99.5080       0.491984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000                 NaN   99.5057       0.494275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000                 NaN   99.5117       0.488255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000                 NaN   99.5160       0.483988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN   99.4342       0.150636                 NaN            NaN  0.415159                 NaN            NaN            NaN            NaN            NaN
  1488.92        500.000                 NaN   99.3761                 NaN            NaN            NaN  0.623946                 NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.3790                 NaN            NaN            NaN  0.620978                 NaN            NaN            NaN            NaN            NaN
  1485.95        500.000                 NaN   99.3787       0.229461E-001            NaN            NaN  0.598310                 NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.3772                 NaN            NaN            NaN  0.622776                 NaN            NaN            NaN            NaN            NaN
  1482.98        500.000                 NaN   99.3742                 NaN            NaN            NaN  0.625847                 NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN   99.3688                 NaN            NaN            NaN  0.631189                 NaN            NaN            NaN            NaN            NaN
  1480.01        500.000                 NaN   99.2161                 NaN            NaN            NaN  0.220787       0.563112                 NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN   98.9593                 NaN            NaN            NaN  0.439841       0.600820                 NaN            NaN            NaN            NaN
  1477.03        500.000                 NaN   98.9714                 NaN            NaN            NaN  0.593815       0.434738                 NaN            NaN            NaN            NaN
  1475.55        500.000                 NaN   98.9847                 NaN            NaN            NaN  0.586702       0.428577                 NaN            NaN            NaN            NaN
  1474.06        500.000                 NaN   98.9945                 NaN            NaN            NaN  0.582008       0.423538                 NaN            NaN            NaN            NaN
  1472.58        500.000                 NaN   99.0071                 NaN            NaN            NaN  0.575106       0.417797                 NaN            NaN            NaN            NaN
  1471.09        500.000                 NaN   99.0182                 NaN            NaN            NaN  0.413125       0.568657                 NaN            NaN            NaN            NaN
  1469.60        500.000                 NaN   99.0307                 NaN            NaN            NaN  0.561947       0.407396                 NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN   98.8390       0.171850E-003            NaN            NaN  0.675352       0.485447                 NaN            NaN            NaN            NaN
  1466.63        500.000                 NaN   99.2530                 NaN            NaN            NaN  0.313323       0.433714                 NaN            NaN            NaN            NaN
  1465.15        500.000                 NaN   99.0615                 NaN            NaN            NaN  0.391683       0.546860                 NaN            NaN            NaN            NaN
  1463.66        500.000                 NaN   99.0712                 NaN            NaN            NaN  0.541878       0.386880                 NaN            NaN            NaN            NaN
  1462.17        500.000                 NaN   99.0833                 NaN            NaN            NaN  0.534912       0.381811                 NaN            NaN            NaN            NaN
  1460.69        500.000                 NaN   99.0918                 NaN            NaN            NaN  0.377349       0.530804                 NaN            NaN            NaN            NaN
  1459.20        500.000                 NaN   99.0996                 NaN            NaN            NaN  0.373713       0.526696                 NaN            NaN            NaN            NaN
  1457.72        500.000                 NaN   99.1133                 NaN            NaN            NaN  0.519441       0.367265                 NaN            NaN            NaN            NaN
  1456.23        500.000                 NaN   99.1217                 NaN            NaN            NaN  0.363694       0.514605                 NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   99.1303                 NaN            NaN            NaN  0.510314       0.359365                 NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   99.1394                 NaN            NaN            NaN  0.505632       0.354933                 NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN   99.1478                 NaN            NaN            NaN  0.501187       0.351043                 NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN   99.1567                 NaN            NaN            NaN  0.496303       0.347031                 NaN            NaN            NaN            NaN
  1448.80        500.000                 NaN   99.1647                 NaN            NaN            NaN  0.492168       0.343098                 NaN            NaN            NaN            NaN
  1447.31        500.000                 NaN   99.1718                 NaN            NaN            NaN  0.488241       0.339989                 NaN            NaN            NaN            NaN
  1445.83        500.000                 NaN   99.1840                 NaN            NaN            NaN  0.333808       0.482211                 NaN            NaN            NaN            NaN
  1444.34        500.000                 NaN   99.1887                 NaN            NaN            NaN  0.479451       0.331807                 NaN            NaN            NaN            NaN
  1442.85        500.000                 NaN   99.1981                 NaN            NaN            NaN  0.326925       0.475004                 NaN            NaN            NaN            NaN
  1441.37        500.000                 NaN   99.2055                 NaN            NaN            NaN  0.470638       0.323835                 NaN            NaN            NaN            NaN
  1439.88        500.000                 NaN   99.2167                 NaN            NaN            NaN  0.465012       0.318293                 NaN            NaN            NaN            NaN
  1438.40        500.000                 NaN   99.2215                 NaN            NaN            NaN  0.462697       0.315800                 NaN            NaN            NaN            NaN
  1436.91        500.000                 NaN   98.1975                 NaN            NaN            NaN  0.733510       0.595928       0.473087                 NaN            NaN            NaN
  1435.42        500.000                 NaN   97.5634                 NaN            NaN            NaN  0.991642       0.671665       0.773316                 NaN            NaN            NaN
  1433.94        500.000                 NaN   97.6222                 NaN            NaN            NaN  0.967115       0.655550       0.755146                 NaN            NaN            NaN
  1432.45        500.000                 NaN   97.6809                 NaN            NaN            NaN  0.942159       0.640279       0.736626                 NaN            NaN            NaN
  1430.97        500.000                 NaN   97.7387                 NaN            NaN            NaN  0.918416       0.623765       0.719100                 NaN            NaN            NaN
  1429.48        500.000                 NaN   97.7895                 NaN            NaN            NaN  0.897584       0.609413       0.703458                 NaN            NaN            NaN
  1427.99        500.000                 NaN   97.8430                 NaN            NaN            NaN  0.875237       0.594833       0.686923                 NaN            NaN            NaN
  1426.51        500.000                 NaN   97.8918                 NaN            NaN            NaN  0.855237       0.581074       0.671880                 NaN            NaN            NaN
  1425.02        500.000                 NaN   97.9402                 NaN            NaN            NaN  0.567812       0.835157       0.656832                 NaN            NaN            NaN
  1423.54        500.000                 NaN   97.9862                 NaN            NaN            NaN  0.816464       0.554847       0.642501                 NaN            NaN            NaN
  1422.05        500.000                 NaN   98.0304                 NaN            NaN            NaN  0.542583       0.798249       0.628817                 NaN            NaN            NaN
  1420.56        500.000                 NaN   98.0719                 NaN            NaN            NaN  0.530896       0.781382       0.615825                 NaN            NaN            NaN
  1419.08        500.000                 NaN   98.1143                 NaN            NaN            NaN  0.763543       0.519514       0.602613                 NaN            NaN            NaN
  1417.59        500.000                 NaN   98.1550                 NaN            NaN            NaN  0.747283       0.507838       0.589884                 NaN            NaN            NaN
  1416.11        500.000                 NaN   98.1915                 NaN            NaN            NaN  0.497595       0.732484       0.578413                 NaN            NaN            NaN
  1414.62        500.000                 NaN   98.2285                 NaN            NaN            NaN  0.487593       0.716992       0.566907                 NaN            NaN            NaN
  1413.13        500.000                 NaN   98.2655                 NaN            NaN            NaN  0.702706       0.476462       0.555342                 NaN            NaN            NaN
  1411.65        500.000                 NaN   98.2989                 NaN            NaN            NaN  0.467577       0.688678       0.544877                 NaN            NaN            NaN
  1410.16        500.000                 NaN   98.3326                 NaN            NaN            NaN  0.457688       0.675419       0.534251                 NaN            NaN            NaN
  1408.67        500.000                 NaN   98.3657                 NaN            NaN            NaN  0.448646       0.662025       0.523646                 NaN            NaN            NaN
  1407.19        500.000                 NaN   98.3954                 NaN            NaN            NaN  0.649686       0.440482       0.514444                 NaN            NaN            NaN
  1405.70        500.000                 NaN   98.4277                 NaN            NaN            NaN  0.431054       0.637080       0.504212                 NaN            NaN            NaN
  1404.22        500.000                 NaN   98.4545                 NaN            NaN            NaN  0.626594       0.423569       0.495374                 NaN            NaN            NaN
  1402.73        500.000                 NaN   98.4846                 NaN            NaN            NaN  0.614364       0.414775       0.486213                 NaN            NaN            NaN
  1401.24        500.000                 NaN   98.5131                 NaN            NaN            NaN  0.603193       0.406459       0.477211                 NaN            NaN            NaN
  1399.76        500.000                 NaN   98.5397                 NaN            NaN            NaN  0.592639       0.398815       0.468820                 NaN            NaN            NaN
  1398.27        500.000                 NaN   98.5642                 NaN            NaN            NaN  0.391804       0.582975       0.461026                 NaN            NaN            NaN
  1396.79        500.000                 NaN   98.5915                 NaN            NaN            NaN  0.384088       0.572171       0.452206                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.6146                 NaN            NaN            NaN  0.563022       0.377433       0.444927                 NaN            NaN            NaN
  1393.81        500.000                 NaN   98.6395                 NaN            NaN            NaN  0.553194       0.370302       0.436976                 NaN            NaN            NaN
  1392.33        500.000                 NaN   98.6623                 NaN            NaN            NaN  0.363604       0.544296       0.429760                 NaN            NaN            NaN
  1390.84        500.000                 NaN   98.6838                 NaN            NaN            NaN  0.535998       0.357478       0.422722                 NaN            NaN            NaN
  1389.36        500.000                 NaN   98.7060                 NaN            NaN            NaN  0.527224       0.350988       0.415752                 NaN            NaN            NaN
  1387.87        500.000                 NaN   98.7292                 NaN            NaN            NaN  0.344138       0.518336       0.408373                 NaN            NaN            NaN
  1386.38        500.000                 NaN   98.7492                 NaN            NaN            NaN  0.338444       0.510467       0.401863                 NaN            NaN            NaN
  1384.90        500.000                 NaN   98.7690                 NaN            NaN            NaN  0.332693       0.502744       0.395521                 NaN            NaN            NaN
  1383.41        500.000                 NaN   98.7878                 NaN            NaN            NaN  0.495472       0.327181       0.389558                 NaN            NaN            NaN
  1381.93        500.000                 NaN   98.8087                 NaN            NaN            NaN  0.321059       0.487488       0.382709                 NaN            NaN            NaN
  1380.44        500.000                 NaN   98.8256                 NaN            NaN            NaN  0.316007       0.481001       0.377404                 NaN            NaN            NaN
  1378.95        500.000                 NaN   98.8444                 NaN            NaN            NaN  0.473809       0.310571       0.371213                 NaN            NaN            NaN
  1377.47        500.000                 NaN   98.8624                 NaN            NaN            NaN  0.466994       0.305197       0.365452                 NaN            NaN            NaN
  1375.98        500.000                 NaN   98.8800                 NaN            NaN            NaN  0.460159       0.300117       0.359758                 NaN            NaN            NaN
  1374.49        500.000                 NaN   98.8966                 NaN            NaN            NaN  0.453956       0.295045       0.354433                 NaN            NaN            NaN
  1373.01        500.000                 NaN   98.9126                 NaN            NaN            NaN  0.290307       0.447846       0.349220                 NaN            NaN            NaN
  1371.52        500.000                 NaN   98.9286                 NaN            NaN            NaN  0.441813       0.285530       0.344063                 NaN            NaN            NaN
  1370.04        500.000                 NaN   98.9443                 NaN            NaN            NaN  0.435796       0.281015       0.338927                 NaN            NaN            NaN
  1368.55        500.000                 NaN   98.9597                 NaN            NaN            NaN  0.429943       0.276397       0.333948                 NaN            NaN            NaN
  1367.06        500.000                 NaN   98.9745                 NaN            NaN            NaN  0.424312       0.272112       0.329103                 NaN            NaN            NaN
  1365.58        500.000                 NaN   98.9885                 NaN            NaN            NaN  0.267997       0.418943       0.324518                 NaN            NaN            NaN
  1364.09        500.000                 NaN   99.0029                 NaN            NaN            NaN  0.263460       0.413557       0.320041                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.0174                 NaN            NaN            NaN  0.258930       0.408462       0.315234                 NaN            NaN            NaN
  1361.12        500.000                 NaN   99.0308                 NaN            NaN            NaN  0.403506       0.254943       0.310800                 NaN            NaN            NaN
  1359.63        500.000                 NaN   99.0440                 NaN            NaN            NaN  0.251025       0.398520       0.306476                 NaN            NaN            NaN
  1358.15        500.000                 NaN   99.0546                 NaN            NaN            NaN  0.247905       0.394408       0.303065                 NaN            NaN            NaN
  1356.66        500.000                 NaN   99.0710                 NaN            NaN            NaN  0.388374       0.243090       0.297555                 NaN            NaN            NaN
  1355.18        500.000                 NaN   99.0820                 NaN            NaN            NaN  0.384733       0.239175       0.294076                 NaN            NaN            NaN
  1353.69        500.000                 NaN   99.0939                 NaN            NaN            NaN  0.380012       0.236016       0.290106                 NaN            NaN            NaN
  1352.20        500.000                 NaN   99.1059                 NaN            NaN            NaN  0.232429       0.375583       0.286075                 NaN            NaN            NaN
  1350.72        500.000                 NaN   99.1166                 NaN            NaN            NaN  0.371499       0.229235       0.282648                 NaN            NaN            NaN
  1349.23        500.000                 NaN   99.1294                 NaN            NaN            NaN  0.225247       0.366913       0.278398                 NaN            NaN            NaN
  1347.75        500.000                 NaN   99.1396                 NaN            NaN            NaN  0.222011       0.363248       0.275143                 NaN            NaN            NaN
  1346.26        500.000                 NaN   99.1508                 NaN            NaN            NaN  0.359056       0.218665       0.271446                 NaN            NaN            NaN
  1344.77        500.000                 NaN   99.1612                 NaN            NaN            NaN  0.215645       0.355166       0.268011                 NaN            NaN            NaN
  1343.29        500.000                 NaN   99.1725                 NaN            NaN            NaN  0.351130       0.212092       0.264232                 NaN            NaN            NaN
  1341.80        500.000                 NaN   99.1821                 NaN            NaN            NaN  0.209174       0.347620       0.261115                 NaN            NaN            NaN
  1340.31        500.000                 NaN   99.1922                 NaN            NaN            NaN  0.206046       0.343818       0.257886                 NaN            NaN            NaN
  1338.83        500.000                 NaN   99.2020                 NaN            NaN            NaN  0.340635       0.202886       0.254515                 NaN            NaN            NaN
  1337.34        500.000                 NaN   99.2109                 NaN            NaN            NaN  0.200066       0.337476       0.251529                 NaN            NaN            NaN
  1335.86        500.000                 NaN   99.2192                 NaN            NaN            NaN  0.333979       0.197963       0.248891                 NaN            NaN            NaN
  1334.37        500.000                 NaN   99.2307                 NaN            NaN            NaN  0.330444       0.193980       0.244860                 NaN            NaN            NaN
  1332.88        500.000                 NaN   99.2391                 NaN            NaN            NaN  0.191455       0.327198       0.242238                 NaN            NaN            NaN
  1331.40        500.000                 NaN   99.2479                 NaN            NaN            NaN  0.188765       0.323959       0.239410                 NaN            NaN            NaN
  1329.91        500.000                 NaN   99.2546                 NaN            NaN            NaN  0.321643       0.186706       0.237021                 NaN            NaN            NaN
  1328.43        500.000                 NaN   99.2654                 NaN            NaN            NaN  0.182895       0.318195       0.233560                 NaN            NaN            NaN
  1326.94        500.000                 NaN   99.2738                 NaN            NaN            NaN  0.314830       0.180654       0.230711                 NaN            NaN            NaN
  1325.45        500.000                 NaN   99.2814                 NaN            NaN            NaN  0.178162       0.312220       0.228184                 NaN            NaN            NaN
  1323.97        500.000                 NaN   99.2893                 NaN            NaN            NaN  0.175600       0.309519       0.225578                 NaN            NaN            NaN
  1322.48        500.000                 NaN   99.2968                 NaN  0.228027E-005            NaN  0.306680       0.173449       0.223052                 NaN            NaN            NaN
  1321.00        500.000                 NaN   99.3084                 NaN  0.147792E-001            NaN  0.276976       0.178084       0.221714                 NaN            NaN            NaN
  1319.51        500.000                 NaN   99.3346                 NaN  0.959488E-001            NaN  0.217047       0.125915       0.226477                 NaN            NaN            NaN
  1318.02        500.000                 NaN   99.3429                 NaN  0.950265E-001            NaN  0.124027       0.214499       0.223555                 NaN            NaN            NaN
  1316.54        500.000                 NaN   99.3510                 NaN  0.943581E-001            NaN  0.212419       0.121513       0.220698                 NaN            NaN            NaN
  1315.05        500.000                 NaN   99.3589                 NaN  0.943555E-001            NaN  0.209420       0.119034       0.218289                 NaN            NaN            NaN
  1313.57        500.000                 NaN   99.3590                 NaN  0.795903E-001            NaN  0.200610       0.144907       0.215901                 NaN            NaN            NaN
  1312.08        500.000                 NaN   99.3846                 NaN  0.103089                 NaN  0.209691       0.921675E-001  0.210487                 NaN            NaN            NaN
  1310.59        500.000                 NaN   99.3814                 NaN  0.901189E-001            NaN  0.116255       0.202445       0.209765                 NaN            NaN            NaN
  1309.11        500.000                 NaN   99.3886                 NaN  0.884589E-001            NaN  0.199621       0.116268       0.207071                 NaN            NaN            NaN
  1307.62        500.000                 NaN   99.3959                 NaN  0.876672E-001            NaN  0.197415       0.114478       0.204495                 NaN            NaN            NaN
  1306.13        500.000                 NaN   99.4028                 NaN  0.863337E-001            NaN  0.113988       0.194939       0.201941                 NaN            NaN            NaN
  1304.65        500.000                 NaN   99.4098                 NaN  0.856294E-001            NaN  0.111908       0.193154       0.199481                 NaN            NaN            NaN
  1303.16        500.000                 NaN   99.4165                 NaN  0.836099E-001            NaN  0.190008       0.113012       0.196908                 NaN            NaN            NaN
  1301.68        500.000                 NaN   99.4229                 NaN  0.846150E-001            NaN  0.187855       0.109311       0.195282                 NaN            NaN            NaN
  1300.19        500.000                 NaN   99.4331                 NaN  0.810669E-001            NaN  0.109653       0.185569       0.190593                 NaN            NaN            NaN
  1298.70        500.000                 NaN   99.4362                 NaN  0.797688E-001            NaN  0.182801       0.111551       0.189643                 NaN            NaN            NaN
  1297.22        500.000                 NaN   99.4423                 NaN  0.787252E-001            NaN  0.180745       0.110760       0.187442                 NaN            NaN            NaN
  1295.73        500.000                 NaN   99.4474                 NaN  0.771636E-001            NaN  0.178635       0.111352       0.185422                 NaN            NaN            NaN
  1294.25        500.000                 NaN   99.4543                 NaN  0.755299E-001            NaN  0.111454       0.175834       0.182902                 NaN            NaN            NaN
  1292.76        500.000                 NaN   99.4601                 NaN  0.744231E-001            NaN  0.110956       0.173742       0.180766                 NaN            NaN            NaN
  1291.27        500.000                 NaN   99.4657                 NaN  0.728333E-001            NaN  0.111512       0.171311       0.178667                 NaN            NaN            NaN
  1289.79        500.000                 NaN   99.4716                 NaN  0.711871E-001            NaN  0.168663       0.112119       0.176401                 NaN            NaN            NaN
  1288.30        500.000                 NaN   99.4772                 NaN  0.698052E-001            NaN  0.166367       0.112266       0.174379                 NaN            NaN            NaN
  1286.82        500.000                 NaN   99.4825                 NaN  0.682142E-001            NaN  0.164195       0.112763       0.172301                 NaN            NaN            NaN
  1285.33        500.000                 NaN   99.3535                 NaN  0.137129                 NaN  0.917111E-001  0.186850       0.230811                 NaN            NaN            NaN
  1283.84        500.000                 NaN   99.6291                 NaN  0.117612E-002            NaN  0.136259       0.125093       0.108343                 NaN            NaN            NaN
  1282.36        500.000                 NaN   99.4954                 NaN  0.549802E-001            NaN  0.131859       0.151658       0.166075                 NaN            NaN            NaN
  1280.87        500.000                 NaN   99.5033                 NaN  0.619631E-001            NaN  0.115563       0.154755       0.164435                 NaN            NaN            NaN
  1279.38        500.000                 NaN   99.5078                 NaN  0.611868E-001            NaN  0.153329       0.114817       0.162898                 NaN            NaN            NaN
  1277.90        500.000                 NaN   99.5138                 NaN  0.580689E-001            NaN  0.118390       0.149453       0.160304                 NaN            NaN            NaN
  1276.41        500.000                 NaN   99.5180                 NaN  0.573195E-001            NaN  0.117955       0.147881       0.158874                 NaN            NaN            NaN
  1274.93        500.000                 NaN   98.4635                 NaN  0.538512                 NaN  0.415102                 NaN  0.582862                 NaN            NaN            NaN
  1273.44        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1271.95        500.000                 NaN   99.9850                 NaN            NaN            NaN  0.150200E-001            NaN            NaN            NaN            NaN            NaN
  1270.47        500.000                 NaN   99.7179                 NaN            NaN            NaN  0.217807                 NaN  0.642836E-001            NaN            NaN            NaN
  1268.98        500.000                 NaN   71.2057                 NaN   2.47125                 NaN   3.77379                 NaN   3.53379        19.0154                 NaN            NaN
  1267.50        500.000                 NaN   96.3110                 NaN  0.289366                 NaN  0.491049                 NaN  0.432687        2.47585                 NaN            NaN
  1266.01        500.000                 NaN   97.4465                 NaN  0.195731                 NaN  0.344359                 NaN  0.298474        1.71490                 NaN            NaN
  1264.52        500.000                 NaN   98.0292                 NaN  0.146878                 NaN  0.270488                 NaN  0.229500        1.32397                 NaN            NaN
  1263.04        500.000                 NaN   98.1388                 NaN  0.136045                 NaN  0.257568                 NaN  0.216215        1.25141                 NaN            NaN
  1261.55        500.000                 NaN   86.4533                 NaN  0.845353                 NaN   1.69045       0.342616        1.55150        9.11675                 NaN            NaN
