|6.6.6
Archiving\03_Data\frac/QFM_m4/Y98/Y98_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1829.57        2500.00        99.2103       0.781284       0.838256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.2103       0.781343       0.838263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.2102       0.781402       0.838271E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.2102       0.781461       0.838278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.2101       0.781519       0.838286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.2100       0.781578       0.838293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.2100       0.781637       0.838301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.2099       0.781696       0.838309E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2099       0.781755       0.838317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.2098       0.781814       0.838325E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.2097       0.781873       0.838333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.2097       0.781932       0.838342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.2096       0.781991       0.838350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.2096       0.782050       0.838359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.2095       0.782109       0.838367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.2094       0.782168       0.838376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.2094       0.782227       0.838385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.2093       0.782287       0.838394E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.2093       0.782346       0.838403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.2092       0.782405       0.838412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2092       0.782465       0.838422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.2091       0.782522       0.838429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.2090       0.782583       0.838441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.2090       0.782643       0.838450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.2089       0.782703       0.838460E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.2089       0.782762       0.838470E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.2088       0.782822       0.838480E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.2087       0.782881       0.838490E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.2087       0.782941       0.838500E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.2086       0.783001       0.838510E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.2086       0.783061       0.838520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.2085       0.783120       0.838531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.2084       0.783180       0.838541E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.2084       0.783240       0.838552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.2083       0.783300       0.838563E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2083       0.783360       0.838574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2082       0.783420       0.838585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.2081       0.783480       0.838596E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2081       0.783540       0.838607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.2080       0.783600       0.838618E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.2080       0.783660       0.838629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.2079       0.783720       0.838641E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2078       0.783781       0.838652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2078       0.783841       0.838664E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.2077       0.783901       0.838676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.2077       0.783961       0.838688E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2076       0.784022       0.838700E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2075       0.784082       0.838712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2075       0.784143       0.838724E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2074       0.784203       0.838736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2073       0.784264       0.838749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2073       0.784324       0.838761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2012       0.784394       0.838783E-002  0.599456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.1977       0.784516       0.838861E-002  0.936042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.1977       0.784664       0.838967E-002  0.928636E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1976       0.784811       0.839073E-002  0.920032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1975       0.784958       0.839178E-002  0.914003E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.1974       0.785104       0.839282E-002  0.906396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.1974       0.785249       0.839386E-002  0.900074E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.1973       0.785394       0.839489E-002  0.892914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1972       0.785539       0.839591E-002  0.887430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.1971       0.785682       0.839693E-002  0.878671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.1971       0.785825       0.839795E-002  0.870119E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1885       0.785985       0.839914E-002  0.170799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2052       0.786176       0.840066E-002  0.173838E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.1968       0.786251       0.840095E-002  0.851194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.1968       0.786392       0.840194E-002  0.844555E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.1967       0.786532       0.840292E-002  0.839534E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.1961       0.786672       0.840325E-002  0.831331E-002  0.480497E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9917                 NaN            NaN  0.830743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4583                 NaN            NaN  0.205996E-002  0.539626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4716                 NaN            NaN  0.154558E-001  0.512953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4003                 NaN            NaN  0.878197E-002  0.590886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3871                 NaN            NaN  0.894278E-002  0.603922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4168                 NaN            NaN  0.850428E-002  0.574680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4041                 NaN            NaN  0.869933E-002  0.587183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4050                 NaN            NaN  0.867245E-002  0.586316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.4066                 NaN            NaN  0.864591E-002  0.584773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4082                 NaN            NaN  0.862862E-002  0.583203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.4097                 NaN            NaN  0.859979E-002  0.581687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.4111                 NaN            NaN  0.857901E-002  0.580348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3758                 NaN            NaN  0.912165E-002  0.615054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.4531                 NaN            NaN  0.796626E-002  0.538947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6621                 NaN            NaN            NaN  0.225380                 NaN   1.11251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5789                 NaN            NaN            NaN  0.171683                 NaN   1.24945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5284                 NaN            NaN            NaN  0.178824                 NaN   1.29281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7005                 NaN            NaN            NaN  0.156684                 NaN   1.14279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6463                 NaN            NaN            NaN  0.160186                 NaN   1.19348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6655                 NaN            NaN            NaN  0.157527                 NaN   1.17695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6928                 NaN            NaN            NaN  0.153712                 NaN   1.15352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7085                 NaN            NaN            NaN  0.151113                 NaN   1.14035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7336                 NaN            NaN            NaN  0.148237                 NaN   1.11820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7505                 NaN            NaN            NaN  0.145324                 NaN   1.10422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7706                 NaN            NaN            NaN  0.141595                 NaN   1.08784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7891                 NaN            NaN            NaN  0.138202                 NaN   1.07269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8065                 NaN            NaN            NaN  0.134349                 NaN   1.05911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8216                 NaN            NaN            NaN  0.130241                 NaN   1.04815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8337                 NaN            NaN            NaN  0.131205                 NaN   1.03514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.5774                 NaN            NaN            NaN  0.490957E-001            NaN  0.373486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.1677                 NaN            NaN            NaN  0.203903                 NaN   1.62839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8913                 NaN            NaN            NaN  0.118331                 NaN  0.990416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9054                 NaN            NaN            NaN  0.118211                 NaN  0.976370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9215                 NaN            NaN            NaN  0.919914E-001            NaN  0.986481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9326                 NaN            NaN            NaN  0.132665                 NaN  0.934705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9509                 NaN            NaN            NaN  0.110239                 NaN  0.938907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9044                 NaN            NaN            NaN  0.113253                 NaN  0.982351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0362                 NaN            NaN            NaN  0.990593E-001            NaN  0.864790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9901                 NaN            NaN            NaN  0.102964                 NaN  0.906976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0027                 NaN            NaN            NaN  0.101319                 NaN  0.895973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0178                 NaN            NaN            NaN  0.969860E-001            NaN  0.885213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0236                 NaN            NaN            NaN  0.929503E-001            NaN  0.883436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.5999                 NaN            NaN            NaN  0.211878                 NaN   1.18824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.4934                 NaN            NaN            NaN  0.718488E-002            NaN   1.49945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.8160                 NaN            NaN            NaN  0.630661E-001            NaN  0.120948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.3211                 NaN            NaN            NaN  0.644508E-001            NaN  0.614485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0840                 NaN            NaN            NaN  0.857671E-001            NaN  0.830186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0969                 NaN            NaN            NaN  0.839373E-001            NaN  0.819176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
